Orthogroup	MHP_ES2_protein	MHP_168L_protein
OG0000380	WP_135619148.1	WP_014580018.1
OG0000381	WP_238374142.1	WP_233417356.1
OG0000382	WP_011290421.1	WP_011284368.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_014580014.1	WP_014580014.1
OG0000385	WP_135619140.1	WP_014580013.1
OG0000386	WP_014580012.1	WP_014580012.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_240536356.1	WP_014580010.1
OG0000389	WP_044272663.1	WP_014580009.1
OG0000390	WP_011206484.1	WP_014580008.1
OG0000391	WP_011290413.1	WP_014580007.1
OG0000392	WP_135619136.1	WP_016340251.1
OG0000393	WP_135618934.1	WP_014579875.1
OG0000394	WP_135618946.1	WP_011206297.1
OG0000395	WP_011284218.1	WP_011284218.1
OG0000396	WP_020835793.1	WP_014579889.1
OG0000397	WP_011206303.1	WP_014579891.1
OG0000398	WP_135618967.1	WP_014579908.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_011206319.1	WP_014579905.1
OG0000401	WP_135618964.1	WP_014579904.1
OG0000402	WP_135618960.1	WP_014579902.1
OG0000403	WP_011206315.1	WP_014579901.1
OG0000404	WP_135618956.1	WP_016340234.1
OG0000405	WP_011284228.1	WP_014579898.1
OG0000406	WP_135618953.1	WP_014579895.1
OG0000407	WP_041361673.1	WP_014579894.1
OG0000408	WP_020835798.1	WP_014579893.1
OG0000409	WP_135618474.1	WP_014579538.1
OG0000410	WP_135618482.1	WP_011205878.1
OG0000411	WP_014579572.1	WP_014579572.1
OG0000412	WP_135618529.1	WP_011283891.1
OG0000413	WP_011205925.1	WP_014579576.1
OG0000414	WP_011206118.1	WP_014579593.1
OG0000415	WP_011283978.1	WP_044277963.1
OG0000416	WP_135619020.1	WP_014579943.1
OG0000417	WP_135618990.1	WP_014579928.1
OG0000418	WP_135618974.1	WP_016340236.1
OG0000419	WP_020835811.1	WP_014579911.1
OG0000420	WP_135618958.1	WP_011206313.1
OG0000421	WP_135618948.1	WP_011206298.1
OG0000422	WP_011206293.1	WP_014579885.1
OG0000423	WP_011206141.1	WP_014579776.1
OG0000424	WP_135618838.1	WP_014579810.1
OG0000425	WP_135618850.1	WP_014579816.1
OG0000426	WP_014579818.1	WP_014579818.1
OG0000427	WP_135618864.1	WP_016340221.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_240536307.1	WP_233417345.1
OG0000430	WP_135618880.1	WP_014579833.1
OG0000431	WP_135618919.1	WP_016340226.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_014579724.1
OG0000434	WP_135618712.1	WP_014579736.1
OG0000435	WP_135618886.1	WP_014579849.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_135618577.1	WP_014579637.1
OG0000438	WP_135618579.1	WP_011206076.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_014579627.1
OG0000441	WP_135618597.1	WP_011206056.1
OG0000442	WP_135618603.1	WP_014579622.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_135619040.1	WP_011206405.1
OG0000445	WP_135619068.1	WP_011290372.1
OG0000446	WP_135619072.1	WP_011206433.1
OG0000447	WP_135619225.1	WP_014579986.1
OG0000448	WP_135619096.1	WP_016340248.1
OG0000449	WP_135619138.1	WP_011206488.1
OG0000450	WP_135619142.1	WP_014580015.1
OG0000451	WP_011206506.1	WP_014580023.1
OG0000452	WP_135618722.1	WP_014579742.1
OG0000453	WP_050195472.1	WP_011206520.1
OG0000454	WP_011284394.1	WP_014580051.1
OG0000455	WP_135618962.1	WP_014579903.1
OG0000456	WP_135618866.1	WP_014579838.1
OG0000457	WP_135618913.1	WP_014579860.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_135618892.1	WP_014579853.1
OG0000460	WP_135618571.1	WP_014579646.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_135619146.1	WP_011284367.1
OG0000463	WP_135618682.1	WP_014579718.1
OG0000464	WP_052269168.1	WP_014579596.1
OG0000465	WP_014579611.1	WP_014579611.1
OG0000466	WP_014580011.1	WP_014580011.1
OG0000467	WP_135619162.1	WP_143826159.1
OG0000468	WP_135618695.1	WP_011205955.1
OG0000469	WP_240536364.1	WP_225973015.1
OG0000470	WP_020835837.1	WP_014579938.1
OG0000471	WP_135619151.1	WP_014580020.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_228729169.1	WP_044277969.1
OG0000474	WP_044284839.1	WP_228365390.1
OG0000475	WP_240536362.1	WP_014579582.1
OG0000476	WP_135618830.1	WP_016340212.1
OG0000477	WP_011206227.1	WP_014579841.1
OG0000478	WP_135618688.1	WP_014579723.1
OG0000479	WP_233417361.1	WP_233417361.1
OG0000480	WP_011206194.1	WP_011206194.1
OG0000481	WP_240536306.1	WP_233417344.1
OG0000482	WP_240536352.1	WP_228366113.1
OG0000483	WP_135619062.1	WP_014579968.1
OG0000484	WP_225973007.1	WP_228365405.1
OG0000485	WP_225973008.1	WP_228365406.1
OG0000486	WP_011289979.1	WP_014579561.1
OG0000487	WP_094521719.1	WP_011206302.1
OG0000488	WP_240536351.1	WP_014579961.1
OG0000489	WP_276310470.1	WP_233417364.1
OG0000490	WP_240536367.1	WP_228365415.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011205844.1	WP_011205844.1
OG0000493	WP_135618444.1	WP_011205843.1
OG0000494	WP_011206527.1	WP_014580050.1
OG0000495	WP_240536358.1	WP_014580041.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_135618693.1	WP_011205957.1
OG0000499	WP_135618697.1	WP_014579727.1
OG0000500	WP_135618542.1	WP_014579587.1
OG0000501	WP_135618552.1	WP_044277961.1
OG0000503	WP_228366107.1	WP_014579949.1
OG0000504	WP_011206375.1	WP_011206375.1
OG0000506	WP_011290313.1	WP_014579921.1
OG0000509	WP_318026018.1, WP_318026019.1	WP_014579965.1
OG0000510	WP_187145658.1	WP_200859210.1
OG0000511	WP_240536322.1	WP_228365414.1
OG0000511	WP_135618754.1, WP_240536323.1	WP_014580035.1
OG0000512	WP_135618890.1	WP_044889038.1
OG0000513	WP_135618599.1	WP_011283957.1
OG0000516	WP_135618618.1	WP_011290062.1
OG0000518	WP_135618523.1	WP_014579571.1
OG0000519	WP_135618525.1	WP_014579573.1
OG0000520	WP_135618531.1	WP_016340184.1
OG0000521	WP_135618904.1	WP_016340205.1
OG0000522	WP_135619132.1	WP_014580004.1
OG0000523	WP_020835904.1	WP_014580003.1
OG0000524	WP_011206301.1	WP_014579890.1
OG0000525	WP_135618950.1	WP_016340233.1
OG0000526	WP_135618955.1	WP_014579897.1
OG0000527	WP_011206309.1	WP_044278026.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000530	WP_135618841.1	WP_014579812.1
OG0000532	WP_135619154.1	WP_044889046.1
OG0000533	WP_014579695.1	WP_014579695.1
OG0000534	WP_135618643.1	WP_014579671.1
OG0000535	WP_135619014.1	WP_014579941.1
OG0000536	WP_135618895.1	WP_044278009.1
OG0000537	WP_135618559.1	WP_014579659.1
OG0000538	WP_081430767.1	WP_011206235.1
OG0000540	WP_135619126.1	WP_014579999.1
OG0000541	WP_240536387.1, WP_135618911.1, WP_135618741.1	WP_014579678.1, WP_014580039.1
OG0000542	WP_135619166.1	WP_016340256.1
OG0000543	WP_011206110.1	WP_011206110.1
OG0000544	WP_135619114.1	WP_014579994.1
OG0000545	WP_135618761.1	WP_014579771.1
OG0000547	WP_135618906.1	WP_044889050.1, WP_014580033.1
OG0000548	WP_135618965.1	WP_014579907.1
OG0000549	WP_240536417.1	WP_318023914.1
OG0000550	WP_135619202.1	WP_016340222.1
OG0000552	WP_014579790.1	WP_014579790.1
OG0000553	WP_240536328.1, WP_240536326.1	WP_081632350.1
OG0000554	WP_240536396.1	WP_228365426.1
OG0000555	WP_135618789.1	WP_014579752.1
OG0000556	WP_011206170.1	WP_014579750.1
OG0000558	WP_135618928.1	WP_014579871.1
OG0000559	WP_135618976.1	WP_014579915.1
OG0000562	WP_240536382.1	WP_233417362.1
OG0000563	WP_228729173.1	WP_020835684.1
OG0000564	WP_276310459.1, WP_135618908.1, WP_135618753.1	WP_228365397.1
OG0000565	WP_135618450.1	WP_014579527.1
OG0000566	WP_135618452.1	WP_014579529.1
OG0000567	WP_135618666.1	WP_014579705.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_240536369.1	WP_228365416.1
OG0000570	WP_135618664.1	WP_014579702.1
OG0000571	WP_135618662.1	WP_014579701.1
OG0000572	WP_135618660.1	WP_014579700.1
OG0000573	WP_135618658.1	WP_014579699.1
OG0000574	WP_135618654.1	WP_014579697.1
OG0000575	WP_240536365.1	WP_011206015.1
OG0000576	WP_135618569.1	WP_011206097.1
OG0000577	WP_011206153.1	WP_014579765.1
OG0000578	WP_135618767.1	WP_044277993.1
OG0000579	WP_135618769.1	WP_011284074.1
