Orthogroup	MHP_ES2_protein	MFC_MF33_protein
OG0000257	WP_011283923.1	WP_002557768.1
OG0000258	WP_094521583.1	WP_002557769.1
OG0000259	WP_011206093.1	WP_160609366.1
OG0000260	WP_020835572.1	WP_002557773.1
OG0000261	WP_228729168.1	WP_002557774.1
OG0000262	WP_041361572.1	WP_002557775.1
OG0000263	WP_011283930.1	WP_160605468.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_020835574.1	WP_220190044.1
OG0000266	WP_014579644.1	WP_160609364.1
OG0000267	WP_020835576.1	WP_002557782.1
OG0000268	WP_011283934.1	WP_160609363.1
OG0000269	WP_011290034.1	WP_160609362.1
OG0000270	WP_135618573.1	WP_002557785.1
OG0000271	WP_135618575.1	WP_160609361.1
OG0000272	WP_011290039.1	WP_002557791.1
OG0000273	WP_011206072.1	WP_160583979.1
OG0000274	WP_011206071.1	WP_160609309.1
OG0000275	WP_135618583.1	WP_002557794.1
OG0000276	WP_135618585.1	WP_002557796.1
OG0000277	WP_135618587.1	WP_160581357.1
OG0000278	WP_135618589.1	WP_002557798.1
OG0000279	WP_011206065.1	WP_160609310.1
OG0000280	WP_011206064.1	WP_160609311.1
OG0000281	WP_011206063.1	WP_160609312.1
OG0000282	WP_135618591.1	WP_002557802.1
OG0000283	WP_011206061.1	WP_002557803.1
OG0000284	WP_135618601.1	WP_160581348.1
OG0000285	WP_135618604.1	WP_160581347.1
OG0000286	WP_135618610.1	WP_002557813.1
OG0000287	WP_011206049.1	WP_002557814.1
OG0000288	WP_011206048.1	WP_002557815.1
OG0000289	WP_011283963.1	WP_002557816.1
OG0000290	WP_011206047.1	WP_002557817.1
OG0000291	WP_011283965.1	WP_160581343.1
OG0000292	WP_135618612.1	WP_160609314.1
OG0000293	WP_011206042.1	WP_160609315.1
OG0000294	WP_228729170.1	WP_160603160.1
OG0000295	WP_135618616.1	WP_002557824.1
OG0000296	WP_011206039.1	WP_002557825.1
OG0000297	WP_011206038.1	WP_002557826.1
OG0000298	WP_041361589.1	WP_002557827.1
OG0000299	WP_135618620.1	WP_002557831.1
OG0000300	WP_011206032.1	WP_002557832.1
OG0000301	WP_011290064.1	WP_002557833.1
OG0000302	WP_135618622.1	WP_160609316.1
OG0000303	WP_011206028.1	WP_002557835.1
OG0000304	WP_014579605.1	WP_002557836.1
OG0000305	WP_014579604.1	WP_160609317.1
OG0000306	WP_011206025.1	WP_160581334.1
OG0000307	WP_011290067.1	WP_002557839.1
OG0000308	WP_014579601.1	WP_002557840.1
OG0000309	WP_011290071.1	WP_160581330.1
OG0000310	WP_135618631.1	WP_160609318.1
OG0000311	WP_011206014.1	WP_002557845.1
OG0000312	WP_020835607.1	WP_160583871.1
OG0000313	WP_135618635.1	WP_160609320.1
OG0000314	WP_020835610.1	WP_160603168.1
OG0000315	WP_135618637.1	WP_002557850.1
OG0000316	WP_135618639.1	WP_160581215.1
OG0000317	WP_135618641.1	WP_160593437.1
OG0000318	WP_011206006.1	WP_002557856.1
OG0000319	WP_011206005.1	WP_002557857.1
OG0000320	WP_014579672.1	WP_160609321.1
OG0000321	WP_135618644.1	WP_160609322.1
OG0000322	WP_020835619.1	WP_160583885.1
OG0000323	WP_011206399.1	WP_002557863.1
OG0000324	WP_135619034.1	WP_002557864.1
OG0000325	WP_020835852.1	WP_160593441.1
OG0000326	WP_135619036.1	WP_002557866.1
OG0000327	WP_135619038.1	WP_002557867.1
OG0000328	WP_011290352.1	WP_002557868.1
OG0000329	WP_011206406.1	WP_002557870.1
OG0000330	WP_135619044.1	WP_002557872.1
OG0000331	WP_135619046.1	WP_160583926.1
OG0000332	WP_050195463.1	WP_002557875.1
OG0000333	WP_135618466.1	WP_160609389.1
OG0000334	WP_135618468.1	WP_002557877.1
OG0000335	WP_020835500.1	WP_160609392.1
OG0000336	WP_135618472.1	WP_308704740.1
OG0000337	WP_135618476.1	WP_002557886.1
OG0000338	WP_135618480.1	WP_160581057.1
OG0000339	WP_011205880.1	WP_002557890.1
OG0000340	WP_014579544.1	WP_002557891.1
OG0000341	WP_135618487.1	WP_002557892.1
OG0000342	WP_011205883.1	WP_160581051.1
OG0000343	WP_135618489.1	WP_160583733.1
OG0000344	WP_135618491.1	WP_002557895.1
OG0000345	WP_020835510.1	WP_160583731.1
OG0000346	WP_014579550.1	WP_002557898.1
OG0000347	WP_011205889.1	WP_002557899.1
OG0000348	WP_135618495.1	WP_002557900.1
OG0000349	WP_135618497.1	WP_002557901.1
OG0000350	WP_014579553.1	WP_160609237.1
OG0000351	WP_135618499.1	WP_002557903.1
OG0000352	WP_135618501.1	WP_160609238.1
OG0000353	WP_135618503.1	WP_160609239.1
OG0000354	WP_020835518.1	WP_002557906.1
OG0000355	WP_011289976.1	WP_160609240.1
OG0000356	WP_011289977.1	WP_160609241.1
OG0000357	WP_135618505.1	WP_002557909.1
OG0000358	WP_020835520.1	WP_160609242.1
OG0000359	WP_135618507.1	WP_002557912.1
OG0000360	WP_135618509.1	WP_002557913.1
OG0000361	WP_135618511.1	WP_002557914.1
OG0000362	WP_135618513.1	WP_160609243.1
OG0000363	WP_135618519.1	WP_002557919.1
OG0000364	WP_135618521.1	WP_002557921.1
OG0000365	WP_011283885.1	WP_160609245.1
OG0000366	WP_011283887.1	WP_160581017.1
OG0000367	WP_135618527.1	WP_002557927.1
OG0000368	WP_011205921.1	WP_002557928.1
OG0000369	WP_011205923.1	WP_002557930.1
OG0000370	WP_014579577.1	WP_002557932.1
OG0000371	WP_011283894.1	WP_160583705.1
OG0000372	WP_011206135.1	WP_002557935.1
OG0000373	WP_014579579.1	WP_002557936.1
OG0000374	WP_135619156.1	WP_160609403.1
OG0000375	WP_011206505.1	WP_160583792.1
OG0000376	WP_135619152.1	WP_002557946.1
OG0000377	WP_011206503.1	WP_002557947.1
OG0000378	WP_011206502.1	WP_002557948.1
OG0000379	WP_228729166.1	WP_160609406.1
OG0000380	WP_135619148.1	WP_160581375.1
OG0000381	WP_238374142.1	WP_160581377.1
OG0000382	WP_011290421.1	WP_002557954.1
OG0000383	WP_011206494.1	WP_002557956.1
OG0000384	WP_014580014.1	WP_160609409.1
OG0000385	WP_135619140.1	WP_002557960.1
OG0000386	WP_014580012.1	WP_002557961.1
OG0000387	WP_011206487.1	WP_160609410.1
OG0000388	WP_240536356.1	WP_160609411.1
OG0000389	WP_044272663.1	WP_002557965.1
OG0000390	WP_011206484.1	WP_160609412.1
OG0000391	WP_011290413.1	WP_002557967.1
OG0000392	WP_135619136.1	WP_002557968.1
OG0000393	WP_135618934.1	WP_160580983.1
OG0000394	WP_135618946.1	WP_160609294.1
OG0000395	WP_011284218.1	WP_002557980.1
OG0000396	WP_020835793.1	WP_160609292.1
OG0000397	WP_011206303.1	WP_160609291.1
OG0000398	WP_135618967.1	WP_002558003.1
OG0000399	WP_011206320.1	WP_002558005.1
OG0000400	WP_011206319.1	WP_002558006.1
OG0000401	WP_135618964.1	WP_160609286.1
OG0000402	WP_135618960.1	WP_160609287.1
OG0000403	WP_011206315.1	WP_160580958.1
OG0000404	WP_135618956.1	WP_160609288.1
OG0000405	WP_011284228.1	WP_160609289.1
OG0000406	WP_135618953.1	WP_160583624.1
OG0000407	WP_041361673.1	WP_160580964.1
OG0000408	WP_020835798.1	WP_160580966.1
OG0000409	WP_135618474.1	WP_160605278.1
OG0000410	WP_135618482.1	WP_039387487.1
OG0000411	WP_014579572.1	WP_039387496.1
OG0000412	WP_135618529.1	WP_039387501.1
OG0000413	WP_011205925.1	WP_039387504.1
OG0000414	WP_011206118.1	WP_039387509.1
OG0000415	WP_011283978.1	WP_160609254.1
OG0000416	WP_135619020.1	WP_160580890.1
OG0000417	WP_135618990.1	WP_160603060.1
OG0000418	WP_135618974.1	WP_220189982.1
OG0000419	WP_020835811.1	WP_160609284.1
OG0000420	WP_135618958.1	WP_039387539.1
OG0000421	WP_135618948.1	WP_160609293.1
OG0000422	WP_011206293.1	WP_039387548.1
OG0000423	WP_011206141.1	WP_039387554.1
OG0000424	WP_135618838.1	WP_160609427.1
OG0000425	WP_135618850.1	WP_160581431.1
OG0000426	WP_014579818.1	WP_160609424.1
OG0000427	WP_135618864.1	WP_039387578.1
OG0000428	WP_014579824.1	WP_160609446.1
OG0000429	WP_240536307.1	WP_160609440.1
OG0000430	WP_135618880.1	WP_039387606.1
OG0000431	WP_135618919.1	WP_160609355.1
OG0000432	WP_011205969.1	WP_039387610.1
OG0000433	WP_020835642.1	WP_039387613.1
OG0000434	WP_135618712.1	WP_039387619.1
OG0000435	WP_135618886.1	WP_160609369.1
OG0000436	WP_011206094.1	WP_039387628.1
OG0000437	WP_135618577.1	WP_039387636.1
OG0000438	WP_135618579.1	WP_160581309.1
OG0000439	WP_011206069.1	WP_039387641.1
OG0000440	WP_041361583.1	WP_039387644.1
OG0000441	WP_135618597.1	WP_039387648.1
OG0000442	WP_135618603.1	WP_039387651.1
OG0000443	WP_011206016.1	WP_039387658.1
OG0000444	WP_135619040.1	WP_039387665.1
OG0000445	WP_135619068.1	WP_039387681.1
OG0000446	WP_135619072.1	WP_039387683.1
OG0000447	WP_135619225.1	WP_160581276.1
OG0000448	WP_135619096.1	WP_160609336.1
OG0000449	WP_135619138.1	WP_039387704.1
OG0000450	WP_135619142.1	WP_160609408.1
OG0000451	WP_011206506.1	WP_039387713.1
OG0000452	WP_135618722.1	WP_039387719.1
OG0000453	WP_050195472.1	WP_039387722.1
OG0000454	WP_011284394.1	WP_160609381.1
OG0000455	WP_135618962.1	WP_039387750.1
OG0000456	WP_135618866.1	WP_160609435.1
OG0000457	WP_135618913.1	WP_160605518.1
OG0000458	WP_011205973.1	WP_039387777.1
OG0000459	WP_135618892.1	WP_039387782.1
OG0000460	WP_135618571.1	WP_160609365.1
OG0000461	WP_011206435.1	WP_039387808.1
OG0000462	WP_135619146.1	WP_160609407.1
OG0000463	WP_135618682.1	WP_258556770.1
OG0000464	WP_052269168.1	WP_160609253.1
OG0000465	WP_014579611.1	WP_051054304.1
OG0000466	WP_014580011.1	WP_308704741.1
OG0000467	WP_135619162.1	WP_160609397.1
OG0000468	WP_135618695.1	WP_081605280.1
OG0000469	WP_240536364.1	WP_308704659.1
OG0000470	WP_020835837.1	WP_160609265.1
OG0000471	WP_135619151.1	WP_155897264.1
OG0000472	WP_011206218.1	WP_169742226.1
OG0000473	WP_228729169.1	WP_002557790.1
OG0000474	WP_044284839.1	WP_220189980.1
OG0000475	WP_240536362.1	WP_220189978.1
OG0000476	WP_135618830.1	WP_220190084.1
OG0000477	WP_011206227.1	WP_258556792.1
OG0000478	WP_135618688.1	WP_002557547.1
OG0000479	WP_233417361.1	WP_220189979.1
OG0000480	WP_011206194.1	WP_308704742.1
OG0000481	WP_240536306.1	WP_308704743.1
OG0000482	WP_240536352.1	WP_160605540.1
OG0000483	WP_135619062.1	WP_160609327.1
OG0000484	WP_225973007.1	WP_308704720.1
OG0000485	WP_225973008.1	WP_231237879.1
OG0000486	WP_011289979.1	WP_258556748.1
OG0000487	WP_094521719.1	WP_258556596.1
OG0000488	WP_240536351.1	WP_308704732.1
OG0000489	WP_276310470.1	WP_334296055.1
OG0000491	WP_011283834.1	WP_002557466.1
OG0000492	WP_011205844.1	WP_160609384.1
OG0000493	WP_135618444.1	WP_002557476.1
OG0000494	WP_011206527.1	WP_002557481.1
OG0000495	WP_240536358.1	WP_160609394.1
OG0000497	WP_011205962.1	WP_002557546.1
OG0000498	WP_135618693.1	WP_002557550.1
OG0000499	WP_135618697.1	WP_160603196.1
OG0000500	WP_135618542.1	WP_160580848.1
OG0000501	WP_135618552.1	WP_160580862.1
OG0000502	WP_052259108.1	WP_160609257.1
OG0000503	WP_228366107.1	WP_258556752.1
OG0000504	WP_011206375.1	WP_160609267.1
OG0000506	WP_011290313.1	WP_002557640.1
OG0000509	WP_318026018.1, WP_318026019.1	WP_160583899.1
OG0000510	WP_187145658.1	WP_160609330.1
OG0000511	WP_240536321.1	WP_160581288.1
OG0000512	WP_135618890.1	WP_160609371.1
OG0000513	WP_135618599.1	WP_002557809.1
OG0000516	WP_135618618.1	WP_160581337.1
OG0000518	WP_135618523.1	WP_002557923.1
OG0000519	WP_135618525.1	WP_002557926.1
OG0000520	WP_135618531.1	WP_002557934.1
OG0000522	WP_135619132.1	WP_160593509.1
OG0000523	WP_020835904.1	WP_160609414.1
OG0000524	WP_011206301.1	WP_002557982.1
OG0000525	WP_135618950.1	WP_002557985.1
OG0000526	WP_135618955.1	WP_002558014.1
OG0000527	WP_011206309.1	WP_002558016.1
OG0000528	WP_011205922.1	WP_039387498.1
OG0000530	WP_135618841.1	WP_160609425.1
OG0000531	WP_011284377.1	WP_039387714.1
OG0000532	WP_135619154.1	WP_220190068.1
OG0000533	WP_014579695.1	WP_334296056.1
OG0000534	WP_135618643.1	WP_039387661.1
OG0000535	WP_135619014.1	WP_160609264.1
OG0000536	WP_135618895.1	WP_236681773.1
OG0000537	WP_135618559.1	WP_160609256.1
OG0000538	WP_081430767.1	WP_002557696.1
OG0000539	WP_135618595.1	WP_002557806.1
OG0000542	WP_135619166.1	WP_160609395.1
OG0000543	WP_011206110.1	WP_002557841.1
OG0000545	WP_135618761.1	WP_258556750.1
OG0000549	WP_240536417.1	WP_308704747.1
OG0000550	WP_135619202.1	WP_160609430.1
OG0000555	WP_135618789.1	WP_160609391.1
OG0000556	WP_011206170.1	WP_160581075.1
OG0000563	WP_228729173.1	WP_160609390.1
OG0000605	WP_135618870.1	WP_160609436.1
OG0000619	WP_002557988.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_011284157.1
OG0000625	WP_135618872.1	WP_002557992.1
OG0000630	WP_002557993.1	WP_002557993.1
OG0000631	WP_215773932.1	WP_160602617.1
