Orthogroup	MFC_MF18_protein	MHP_168_protein
OG0000134	WP_160583963.1	WP_014579716.1
OG0000135	WP_160581182.1	WP_014579717.1
OG0000136	WP_002557540.1	WP_011284023.1
OG0000137	WP_160593469.1	WP_044277984.1
OG0000138	WP_002557542.1	WP_014579721.1
OG0000139	WP_002557543.1	WP_011205965.1
OG0000140	WP_160581189.1	WP_011284027.1
OG0000141	WP_160581190.1	WP_044277987.1
OG0000142	WP_160583971.1	WP_011290114.1
OG0000143	WP_002557549.1	WP_014579725.1
OG0000144	WP_002557551.1	WP_011205956.1
OG0000145	WP_160581199.1	WP_011205954.1
OG0000146	WP_160593536.1	WP_014579726.1
OG0000147	WP_160581203.1	WP_011205952.1
OG0000148	WP_002557557.1	WP_011290120.1
OG0000149	WP_160593534.1	WP_014579728.1
OG0000150	WP_160593532.1	WP_011284040.1
OG0000151	WP_160593530.1	WP_014579730.1
OG0000152	WP_160593528.1	WP_014579731.1
OG0000153	WP_002557563.1	WP_014579732.1
OG0000154	WP_160581461.1	WP_014579733.1
OG0000155	WP_160593526.1	WP_011284046.1
OG0000156	WP_002557566.1	WP_014579734.1
OG0000157	WP_002557567.1	WP_014579735.1
OG0000158	WP_160584038.1	WP_014579737.1
OG0000159	WP_160581005.1	WP_014579586.1
OG0000160	WP_160583697.1	WP_014579588.1
OG0000161	WP_002557574.1	WP_014579589.1
OG0000162	WP_160583695.1	WP_228365407.1
OG0000163	WP_002557576.1	WP_014579591.1
OG0000164	WP_002557577.1	WP_011206120.1
OG0000165	WP_002557578.1	WP_014579592.1
OG0000166	WP_160583691.1	WP_014579594.1
OG0000167	WP_160593359.1	WP_014579595.1
OG0000168	WP_160583687.1	WP_014579598.1
OG0000169	WP_002557589.1	WP_014579657.1
OG0000170	WP_160580868.1	WP_014579656.1
OG0000171	WP_160583681.1	WP_011206102.1
OG0000172	WP_160583679.1	WP_011206101.1
OG0000173	WP_002557602.1	WP_014579951.1
OG0000174	WP_002557603.1	WP_011206395.1
OG0000175	WP_160580878.1	WP_014579948.1
OG0000176	WP_160593367.1	WP_011206391.1
OG0000177	WP_160583674.1	WP_011206390.1
OG0000178	WP_002557609.1	WP_014579946.1
OG0000179	WP_160583673.1	WP_014579945.1
OG0000180	WP_002557613.1	WP_011206385.1
OG0000181	WP_002557614.1	WP_011206384.1
OG0000182	WP_160593369.1	WP_014579942.1
OG0000183	WP_160583667.1	WP_014579939.1
OG0000184	WP_002557620.1	WP_011290331.1
OG0000185	WP_160580902.1	WP_014579937.1
OG0000186	WP_160580903.1	WP_011284272.1
OG0000187	WP_002557623.1	WP_011206376.1
OG0000188	WP_160583663.1	WP_014579935.1
OG0000189	WP_160580918.1	WP_014579931.1
OG0000190	WP_160583657.1	WP_228365391.1
OG0000191	WP_160580922.1	WP_014579929.1
OG0000192	WP_002557638.1	WP_044278028.1
OG0000193	WP_160583653.1	WP_014579920.1
OG0000194	WP_002557642.1	WP_011206337.1
OG0000195	WP_160583649.1	WP_014579919.1
OG0000196	WP_160583648.1	WP_011206335.1
OG0000197	WP_160583646.1	WP_014579918.1
OG0000198	WP_160583643.1	WP_014579917.1
OG0000199	WP_002557667.1	WP_011206289.1
OG0000200	WP_002557668.1	WP_044278019.1
OG0000201	WP_160593407.1	WP_014579880.1
OG0000202	WP_160581410.1	WP_014579777.1
OG0000203	WP_160584009.1	WP_011284063.1
OG0000204	WP_160593411.1	WP_014579775.1
OG0000205	WP_160581416.1	WP_014579804.1
OG0000206	WP_160584011.1	WP_014579805.1
OG0000207	WP_160593513.1	WP_011206197.1
OG0000208	WP_160593515.1	WP_014579806.1
OG0000209	WP_002557684.1	WP_014579808.1
OG0000210	WP_002557689.1	WP_014579811.1
OG0000211	WP_220190081.1	WP_014579813.1
OG0000212	WP_160581429.1	WP_014579814.1
OG0000213	WP_160584058.1	WP_014579815.1
OG0000214	WP_002557703.1	WP_014579962.1
OG0000215	WP_160581256.1	WP_014579966.1
OG0000216	WP_160583901.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_011206425.1
OG0000218	WP_160583903.1	WP_014579967.1
OG0000219	WP_160583907.1	WP_014579970.1
OG0000220	WP_160581263.1	WP_014579971.1
OG0000221	WP_160581265.1	WP_014579972.1
OG0000222	WP_160593449.1	WP_014579976.1
OG0000223	WP_160581270.1	WP_014579977.1
OG0000224	WP_002557721.1	WP_011206441.1
OG0000225	WP_039387689.1	WP_014579978.1
OG0000226	WP_160581274.1	WP_014579979.1
OG0000227	WP_002557725.1	WP_011206445.1
OG0000228	WP_002557726.1	WP_014579980.1
OG0000229	WP_039387691.1	WP_014579985.1
OG0000230	WP_002557729.1	WP_014579987.1
OG0000231	WP_002557731.1	WP_014579989.1
OG0000232	WP_160583916.1	WP_014579990.1
OG0000233	WP_002557733.1	WP_011206457.1
OG0000234	WP_002557734.1	WP_011206458.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160593453.1	WP_014579992.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160584044.1	WP_011206468.1
OG0000239	WP_160584046.1	WP_014579996.1
OG0000240	WP_002557742.1	WP_014579995.1
OG0000241	WP_160584048.1	WP_011206465.1
OG0000242	WP_160593511.1	WP_014579997.1
OG0000243	WP_002557749.1	WP_014579738.1
OG0000244	WP_160583995.1	WP_014579739.1
OG0000245	WP_002557751.1	WP_011284053.1
OG0000246	WP_002557752.1	WP_014579740.1
OG0000247	WP_002557753.1	WP_014579741.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_002557755.1	WP_011205932.1
OG0000250	WP_160593473.1	WP_014579854.1
OG0000251	WP_002557757.1	WP_011206256.1
OG0000252	WP_220190413.1	WP_228365384.1
OG0000253	WP_255454511.1	WP_014579850.1
OG0000254	WP_002557763.1	WP_011284001.1
OG0000255	WP_002557766.1	WP_011283999.1
OG0000256	WP_160593475.1	WP_014579694.1
OG0000257	WP_002557768.1	WP_011283923.1
OG0000258	WP_002557769.1	WP_011283924.1
OG0000259	WP_039387630.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_014579649.1
OG0000261	WP_160581303.1	WP_014579648.1
OG0000262	WP_160593477.1	WP_014579647.1
OG0000263	WP_002557778.1	WP_014579645.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_002557780.1	WP_011206085.1
OG0000266	WP_002557781.1	WP_014579644.1
OG0000267	WP_002557782.1	WP_014579643.1
OG0000268	WP_002557783.1	WP_014579642.1
OG0000269	WP_002557784.1	WP_044277971.1
OG0000270	WP_002557785.1	WP_014579639.1
OG0000271	WP_160581307.1	WP_014579638.1
OG0000272	WP_160593482.1	WP_014579634.1
OG0000273	WP_160583979.1	WP_011206072.1
OG0000274	WP_160593422.1	WP_014579633.1
OG0000275	WP_160593424.1	WP_014579632.1
OG0000276	WP_002557796.1	WP_014579631.1
OG0000277	WP_160583849.1	WP_011206067.1
OG0000278	WP_002557798.1	WP_011206066.1
OG0000279	WP_160583851.1	WP_044277967.1
OG0000280	WP_308507107.1	WP_011206064.1
OG0000281	WP_160583853.1	WP_014579629.1
OG0000282	WP_002557802.1	WP_011206062.1
OG0000283	WP_002557803.1	WP_014579628.1
OG0000284	WP_160583859.1	WP_014579623.1
OG0000285	WP_160581347.1	WP_014579621.1
OG0000286	WP_002557813.1	WP_011206050.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_014579618.1
OG0000289	WP_002557816.1	WP_011283963.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_014579616.1
OG0000292	WP_160583863.1	WP_011206044.1
OG0000293	WP_160581339.1	WP_014579615.1
OG0000294	WP_160583865.1	WP_020835591.1
OG0000295	WP_002557824.1	WP_011206040.1
OG0000296	WP_002557825.1	WP_011206039.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_014579610.1
OG0000300	WP_160593426.1	WP_014579609.1
OG0000301	WP_002557833.1	WP_014579608.1
OG0000302	WP_002557834.1	WP_014579607.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_002557836.1	WP_014579605.1
OG0000305	WP_002557837.1	WP_014579604.1
OG0000306	WP_160581334.1	WP_014579603.1
OG0000307	WP_002557839.1	WP_014579602.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_002557842.1	WP_011290071.1
OG0000310	WP_160583869.1	WP_014579662.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160583871.1	WP_011206013.1
OG0000313	WP_318026338.1	WP_014579664.1
OG0000314	WP_160593430.1	WP_011283987.1
OG0000315	WP_002557850.1	WP_014579665.1
OG0000316	WP_160581215.1	WP_014579666.1
OG0000317	WP_160593437.1	WP_014579667.1
OG0000318	WP_002557856.1	WP_014579669.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_160581219.1	WP_014579672.1
OG0000321	WP_160593439.1	WP_014579673.1
OG0000322	WP_160583885.1	WP_014579674.1
OG0000323	WP_160583887.1	WP_011206399.1
OG0000324	WP_160583889.1	WP_011206400.1
OG0000325	WP_160593441.1	WP_014579953.1
OG0000326	WP_002557866.1	WP_011206402.1
OG0000327	WP_160583893.1	WP_044278032.1
OG0000328	WP_002557868.1	WP_014579955.1
OG0000329	WP_002557870.1	WP_014579956.1
OG0000330	WP_002557872.1	WP_011206408.1
OG0000331	WP_160583926.1	WP_044278034.1
OG0000332	WP_002557875.1	WP_014579532.1
OG0000333	WP_002557876.1	WP_014579533.1
OG0000334	WP_160593344.1	WP_014579534.1
OG0000335	WP_160583745.1	WP_228365403.1
OG0000336	WP_160583739.1	WP_044277949.1
OG0000337	WP_002557886.1	WP_011289957.1
OG0000338	WP_002557888.1	WP_014579542.1
OG0000339	WP_002557890.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_014579544.1
OG0000341	WP_002557892.1	WP_011205882.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160583733.1	WP_014579546.1
OG0000344	WP_002557895.1	WP_014579547.1
OG0000345	WP_160583731.1	WP_014579548.1
OG0000346	WP_002557898.1	WP_014579550.1
OG0000347	WP_002557899.1	WP_011283865.1
OG0000348	WP_002557900.1	WP_044277952.1
OG0000349	WP_002557901.1	WP_014579552.1
OG0000350	WP_160583729.1	WP_014579553.1
OG0000351	WP_160583727.1	WP_014579554.1
OG0000352	WP_160583725.1	WP_014579555.1
OG0000353	WP_002557905.1	WP_011283871.1
OG0000354	WP_220190183.1	WP_187286314.1
OG0000355	WP_160581042.1	WP_044277955.1
OG0000356	WP_002557908.1	WP_014579560.1
OG0000357	WP_002557909.1	WP_011205899.1
OG0000358	WP_160583721.1	WP_014579562.1
OG0000359	WP_002557912.1	WP_014579563.1
OG0000360	WP_002557913.1	WP_011205903.1
OG0000361	WP_160583715.1	WP_044277956.1
OG0000362	WP_160593354.1	WP_014579565.1
OG0000363	WP_160583709.1	WP_014579569.1
OG0000364	WP_160593357.1	WP_011289987.1
OG0000365	WP_002557922.1	WP_011283885.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_014579574.1
OG0000368	WP_002557928.1	WP_011205921.1
OG0000369	WP_002557930.1	WP_044277957.1
OG0000370	WP_160581015.1	WP_014579577.1
OG0000371	WP_160581013.1	WP_011283894.1
OG0000372	WP_002557935.1	WP_011206135.1
OG0000373	WP_160583703.1	WP_014579579.1
OG0000374	WP_160583788.1	WP_014580026.1
OG0000375	WP_160593486.1	WP_014580022.1
OG0000376	WP_002557946.1	WP_014580021.1
OG0000377	WP_002557947.1	WP_011284373.1
OG0000378	WP_002557948.1	WP_011206502.1
OG0000379	WP_002557950.1	WP_014580019.1
OG0000380	WP_160583796.1	WP_014580018.1
OG0000381	WP_160581377.1	WP_044278043.1
OG0000382	WP_160593503.1	WP_011284368.1
OG0000383	WP_160581382.1	WP_011206494.1
OG0000384	WP_002557959.1	WP_014580014.1
OG0000385	WP_002557960.1	WP_014580013.1
OG0000386	WP_002557961.1	WP_014580012.1
OG0000387	WP_160583804.1	WP_011206487.1
OG0000388	WP_160593507.1	WP_014580010.1
OG0000389	WP_002557965.1	WP_014580009.1
OG0000390	WP_002557966.1	WP_014580008.1
OG0000391	WP_160583808.1	WP_014580007.1
OG0000392	WP_160583810.1	WP_014580006.1
OG0000393	WP_002557972.1	WP_014579875.1
OG0000394	WP_160593397.1	WP_011206297.1
OG0000395	WP_002557980.1	WP_011284218.1
OG0000396	WP_160583616.1	WP_014579889.1
OG0000397	WP_002557984.1	WP_014579891.1
OG0000398	WP_002558003.1	WP_014579908.1
OG0000399	WP_160593389.1	WP_014579906.1
OG0000400	WP_160583633.1	WP_014579905.1
OG0000401	WP_160583631.1	WP_014579904.1
OG0000402	WP_160583629.1	WP_014579902.1
OG0000403	WP_160580958.1	WP_014579901.1
OG0000404	WP_160583627.1	WP_014579899.1
OG0000405	WP_160583626.1	WP_014579898.1
OG0000406	WP_002558017.1	WP_014579895.1
OG0000407	WP_160593391.1	WP_014579894.1
OG0000408	WP_160593393.1	WP_014579893.1
OG0000409	WP_160593350.1	WP_014579538.1
OG0000410	WP_039387487.1	WP_011205878.1
OG0000411	WP_039387496.1	WP_014579572.1
OG0000412	WP_039387501.1	WP_011283891.1
OG0000413	WP_039387504.1	WP_014579576.1
OG0000414	WP_160580856.1	WP_014579593.1
OG0000415	WP_160580864.1	WP_044277963.1
OG0000416	WP_160580890.1	WP_014579943.1
OG0000417	WP_160593378.1	WP_014579928.1
OG0000418	WP_308507106.1	WP_014579913.1
OG0000419	WP_160583637.1	WP_014579911.1
OG0000420	WP_160580960.1	WP_011206313.1
OG0000421	WP_160593395.1	WP_011206298.1
OG0000422	WP_039387548.1	WP_014579885.1
OG0000423	WP_039387554.1	WP_014579776.1
OG0000424	WP_160593518.1	WP_014579810.1
OG0000425	WP_160581431.1	WP_014579816.1
OG0000426	WP_160581432.1	WP_014579818.1
OG0000427	WP_160581441.1	WP_011290211.1
OG0000428	WP_039387592.1	WP_014579824.1
OG0000429	WP_160593540.1	WP_228365380.1
OG0000430	WP_236681771.1	WP_014579833.1
OG0000431	WP_160583953.1	WP_014579866.1
OG0000432	WP_160583967.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_014579724.1
OG0000434	WP_039387619.1	WP_014579736.1
OG0000435	WP_160581297.1	WP_014579849.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_014579637.1
OG0000438	WP_160581309.1	WP_011206076.1
OG0000439	WP_039387641.1	WP_011206069.1
OG0000440	WP_039387644.1	WP_014579627.1
OG0000441	WP_160583857.1	WP_011206056.1
OG0000442	WP_039387651.1	WP_014579622.1
OG0000443	WP_160593428.1	WP_011206016.1
OG0000444	WP_039387665.1	WP_011206405.1
OG0000445	WP_039387681.1	WP_011290372.1
OG0000446	WP_039387683.1	WP_011206433.1
OG0000447	WP_039387693.1	WP_014579986.1
OG0000448	WP_160593451.1	WP_014579988.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_160593505.1	WP_014580015.1
OG0000451	WP_039387713.1	WP_014580023.1
OG0000452	WP_039387719.1	WP_014579742.1
OG0000453	WP_160581112.1	WP_011206520.1
OG0000454	WP_039387723.1	WP_014580051.1
OG0000455	WP_039387750.1	WP_014579903.1
OG0000456	WP_160593522.1	WP_014579838.1
OG0000457	WP_160593467.1	WP_014579860.1
OG0000458	WP_039387777.1	WP_011205973.1
OG0000459	WP_039387782.1	WP_014579853.1
OG0000460	WP_039387785.1	WP_014579646.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160583800.1	WP_011284367.1
OG0000463	WP_160583965.1	WP_014579718.1
OG0000464	WP_160583688.1	WP_014579596.1
OG0000465	WP_051054304.1	WP_014579611.1
OG0000466	WP_051054328.1	WP_014580011.1
OG0000467	WP_160593493.1	WP_148218555.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_308507114.1	WP_225973015.1
OG0000470	WP_160593373.1	WP_014579938.1
OG0000471	WP_155897264.1	WP_014580020.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_308507115.1	WP_044277969.1
OG0000474	WP_220190179.1	WP_228365390.1
OG0000475	WP_220190182.1	WP_044277958.1
OG0000476	WP_220190084.1	WP_014579807.1
OG0000477	WP_255454526.1	WP_014579841.1
OG0000478	WP_308507110.1	WP_014579723.1
OG0000479	WP_220190180.1	WP_044277974.1
OG0000480	WP_308507104.1	WP_011206194.1
OG0000481	WP_308507120.1	WP_228365379.1
OG0000482	WP_002557710.1	WP_011206427.1
OG0000483	WP_160583905.1	WP_014579968.1
OG0000484	WP_308507103.1	WP_228365405.1
OG0000485	WP_231237879.1	WP_228365406.1
OG0000486	WP_255454451.1	WP_014579561.1
OG0000487	WP_255454460.1	WP_011206302.1
OG0000488	WP_258556255.1	WP_014579961.1
OG0000489	WP_334296055.1	WP_233417364.1
OG0000492	WP_160583756.1	WP_011205844.1
OG0000493	WP_002557476.1	WP_011205843.1
OG0000494	WP_002557481.1	WP_014580050.1
OG0000495	WP_160583771.1	WP_014580041.1
OG0000496	WP_160593464.1	WP_011284186.1
OG0000497	WP_002557546.1	WP_011205962.1
OG0000499	WP_160583973.1	WP_014579727.1
OG0000500	WP_160580848.1	WP_014579587.1
OG0000501	WP_160580862.1	WP_044277961.1
OG0000502	WP_160583682.1	WP_014579654.1
OG0000503	WP_255454458.1	WP_014579949.1
OG0000504	WP_160593374.1	WP_011206375.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000506	WP_002557640.1	WP_014579921.1
OG0000507	WP_160593382.1	WP_011206333.1
OG0000508	WP_002557673.1	WP_014579876.1
OG0000509	WP_160593447.1	WP_014579965.1
OG0000510	WP_160583910.1	WP_187286312.1
OG0000512	WP_160583991.1	WP_014579852.1
OG0000513	WP_160581350.1	WP_011283957.1
OG0000514	WP_160581345.1	WP_044277964.1
OG0000515	WP_002557821.1	WP_011206043.1
OG0000516	WP_160581337.1	WP_011290062.1
OG0000517	WP_160581026.1	WP_011289986.1
OG0000518	WP_160581019.1	WP_014579571.1
OG0000519	WP_002557926.1	WP_014579573.1
OG0000520	WP_002557934.1	WP_014579578.1
OG0000522	WP_160593509.1	WP_014580004.1
OG0000523	WP_160583816.1	WP_014580003.1
OG0000524	WP_160580973.1	WP_014579890.1
OG0000525	WP_160583622.1	WP_014579892.1
OG0000526	WP_002558014.1	WP_014579897.1
OG0000527	WP_002558016.1	WP_044278026.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220190397.1	WP_014579912.1
OG0000530	WP_039387564.1	WP_014579812.1
OG0000531	WP_039387714.1	WP_011284377.1
OG0000532	WP_220190185.1	WP_044278045.1
OG0000533	WP_334296058.1	WP_014579695.1
OG0000534	WP_039387661.1	WP_014579671.1
OG0000535	WP_160593371.1	WP_014579941.1
OG0000536	WP_255454510.1	WP_044278009.1
OG0000537	WP_160593361.1	WP_014579659.1
OG0000538	WP_160584060.1	WP_158209055.1
OG0000540	WP_160583818.1	WP_014579999.1
OG0000542	WP_160593497.1	WP_014580031.1
OG0000543	WP_160581332.1	WP_011206110.1
OG0000546	WP_258556254.1	WP_011206407.1
OG0000549	WP_220190423.1	WP_014579837.1
OG0000550	WP_220190419.1	WP_014579847.1
OG0000555	WP_160593348.1	WP_014579752.1
OG0000556	WP_039387482.1	WP_014579750.1
OG0000563	WP_160593346.1	WP_020835684.1
OG0000668	WP_160593499.1	WP_014580040.1
