Orthogroup	MFC_MF30_protein	MHP_98_protein
OG0000211	WP_220190081.1	WP_179696005.1
OG0000212	WP_160581429.1	WP_011206207.1
OG0000213	WP_160605430.1	WP_135618848.1
OG0000214	WP_160603208.1	WP_179695913.1
OG0000215	WP_002557706.1	WP_050195447.1
OG0000216	WP_002557707.1	WP_011206424.1
OG0000217	WP_002557708.1	WP_011206425.1
OG0000218	WP_160605538.1	WP_179695911.1
OG0000219	WP_160605542.1	WP_179695909.1
OG0000220	WP_160581263.1	WP_135619070.1
OG0000221	WP_002557715.1	WP_020835872.1
OG0000222	WP_160593449.1	WP_160585271.1
OG0000223	WP_160581270.1	WP_160585273.1
OG0000224	WP_002557721.1	WP_020835878.1
OG0000225	WP_160605546.1	WP_179695906.1
OG0000226	WP_002557724.1	WP_014579979.1
OG0000227	WP_002557725.1	WP_011206445.1
OG0000228	WP_160605547.1	WP_179695905.1
OG0000229	WP_039387691.1	WP_020835888.1
OG0000230	WP_002557729.1	WP_011284337.1
OG0000231	WP_002557731.1	WP_014579989.1
OG0000232	WP_160583916.1	WP_179695898.1
OG0000233	WP_160605549.1	WP_011206457.1
OG0000234	WP_002557734.1	WP_179695897.1
OG0000235	WP_002557735.1	WP_011206459.1
OG0000236	WP_160605550.1	WP_308705279.1
OG0000237	WP_002557739.1	WP_011206469.1
OG0000238	WP_160605633.1	WP_135619119.1
OG0000239	WP_160605635.1	WP_179695892.1
OG0000240	WP_002557742.1	WP_179695893.1
OG0000241	WP_002557743.1	WP_020835897.1
OG0000242	WP_160605609.1	WP_179695891.1
OG0000243	WP_002557749.1	WP_011290129.1
OG0000244	WP_160603234.1	WP_179696043.1
OG0000245	WP_002557751.1	WP_011205936.1
OG0000246	WP_160603232.1	WP_020835657.1
OG0000247	WP_002557753.1	WP_011284055.1
OG0000248	WP_002557754.1	WP_011284056.1
OG0000249	WP_002557755.1	WP_011205932.1
OG0000250	WP_160605456.1	WP_179696024.1
OG0000251	WP_160605458.1	WP_179696023.1
OG0000252	WP_002557760.1	WP_179696021.1
OG0000253	WP_255454511.1	WP_020835755.1
OG0000254	WP_160605464.1	WP_179696089.1
OG0000255	WP_002557766.1	WP_094521610.1
OG0000256	WP_160583987.1	WP_179696088.1
OG0000257	WP_002557768.1	WP_011283923.1
OG0000258	WP_002557769.1	WP_011283924.1
OG0000259	WP_039387630.1	WP_011206093.1
OG0000260	WP_002557773.1	WP_020835572.1
OG0000261	WP_160581303.1	WP_179695841.1
OG0000262	WP_160605466.1	WP_041361572.1
OG0000263	WP_160605468.1	WP_011283930.1
OG0000264	WP_002557779.1	WP_011206086.1
OG0000265	WP_002557780.1	WP_020835574.1
OG0000266	WP_002557781.1	WP_179695842.1
OG0000267	WP_002557782.1	WP_020835576.1
OG0000268	WP_160605470.1	WP_011283934.1
OG0000269	WP_002557784.1	WP_179695844.1
OG0000270	WP_160605472.1	WP_160584803.1
OG0000271	WP_160581307.1	WP_179695845.1
OG0000272	WP_160605476.1	WP_011283943.1
OG0000273	WP_160583979.1	WP_011206072.1
OG0000274	WP_160605479.1	WP_011206071.1
OG0000275	WP_002557794.1	WP_179695848.1
OG0000276	WP_002557796.1	WP_011206068.1
OG0000277	WP_160581357.1	WP_179695849.1
OG0000278	WP_002557798.1	WP_011206066.1
OG0000279	WP_002557799.1	WP_011283949.1
OG0000280	WP_002557800.1	WP_011283950.1
OG0000281	WP_002557801.1	WP_179695850.1
OG0000282	WP_002557802.1	WP_179695851.1
OG0000283	WP_002557803.1	WP_011206061.1
OG0000284	WP_160581348.1	WP_179695853.1
OG0000285	WP_160581347.1	WP_011206052.1
OG0000286	WP_002557813.1	WP_011290054.1
OG0000287	WP_002557814.1	WP_011206049.1
OG0000288	WP_002557815.1	WP_011206048.1
OG0000289	WP_002557816.1	WP_011283963.1
OG0000290	WP_002557817.1	WP_011206047.1
OG0000291	WP_160581343.1	WP_014579616.1
OG0000292	WP_160605481.1	WP_011206044.1
OG0000293	WP_160605485.1	WP_179695969.1
OG0000294	WP_160603160.1	WP_020835591.1
OG0000295	WP_002557824.1	WP_160606682.1
OG0000296	WP_002557825.1	WP_011206039.1
OG0000297	WP_002557826.1	WP_011206038.1
OG0000298	WP_002557827.1	WP_041361589.1
OG0000299	WP_002557831.1	WP_179695968.1
OG0000300	WP_002557832.1	WP_011206032.1
OG0000301	WP_002557833.1	WP_011290064.1
OG0000302	WP_002557834.1	WP_041361593.1
OG0000303	WP_002557835.1	WP_011206028.1
OG0000304	WP_002557836.1	WP_160585185.1
OG0000305	WP_002557837.1	WP_050195474.1
OG0000306	WP_002557838.1	WP_011206025.1
OG0000307	WP_002557839.1	WP_011290067.1
OG0000308	WP_002557840.1	WP_014579601.1
OG0000309	WP_160605487.1	WP_179696062.1
OG0000310	WP_160603164.1	WP_179696063.1
OG0000311	WP_002557845.1	WP_011206014.1
OG0000312	WP_160583871.1	WP_160584674.1
OG0000313	WP_002557848.1	WP_146379533.1
OG0000314	WP_002557849.1	WP_011290077.1
OG0000315	WP_002557850.1	WP_011290078.1
OG0000316	WP_160581215.1	WP_011283989.1
OG0000317	WP_160583882.1	WP_179221055.1
OG0000318	WP_160605501.1	WP_011206006.1
OG0000319	WP_002557857.1	WP_011206005.1
OG0000320	WP_002557860.1	WP_179696067.1
OG0000321	WP_160605495.1	WP_179696068.1
OG0000322	WP_160603176.1	WP_020835619.1
OG0000323	WP_160583887.1	WP_011290347.1
OG0000324	WP_002557864.1	WP_020835851.1
OG0000325	WP_160583891.1	WP_160588325.1
OG0000326	WP_002557866.1	WP_044272588.1
OG0000327	WP_002557867.1	WP_146379702.1
OG0000328	WP_002557868.1	WP_146379703.1
OG0000329	WP_002557870.1	WP_160615603.1
OG0000330	WP_002557872.1	WP_179695916.1
OG0000331	WP_002557873.1	WP_011284299.1
OG0000332	WP_002557875.1	WP_050195463.1
OG0000333	WP_002557876.1	WP_179695931.1
OG0000334	WP_160593344.1	WP_179695932.1
OG0000335	WP_002557881.1	WP_020835500.1
OG0000336	WP_160605572.1	WP_179695934.1
OG0000337	WP_002557886.1	WP_011289957.1
OG0000338	WP_160581057.1	WP_179695936.1
OG0000339	WP_002557890.1	WP_011205880.1
OG0000340	WP_002557891.1	WP_014579544.1
OG0000341	WP_002557892.1	WP_179695937.1
OG0000342	WP_160581051.1	WP_011205883.1
OG0000343	WP_160605282.1	WP_179695938.1
OG0000344	WP_002557895.1	WP_044284571.1
OG0000345	WP_160605284.1	WP_020835510.1
OG0000346	WP_002557898.1	WP_044284572.1
OG0000347	WP_002557899.1	WP_011283865.1
OG0000348	WP_160605286.1	WP_179695939.1
OG0000349	WP_002557901.1	WP_011205891.1
OG0000350	WP_160605288.1	WP_179695940.1
OG0000351	WP_002557903.1	WP_179695941.1
OG0000352	WP_002557904.1	WP_011289973.1
OG0000353	WP_160605290.1	WP_011289974.1
OG0000354	WP_220190747.1	WP_020835518.1
OG0000355	WP_160605292.1	WP_011289976.1
OG0000356	WP_160605294.1	WP_050195448.1
OG0000357	WP_160605296.1	WP_179695942.1
OG0000358	WP_160581036.1	WP_308705283.1
OG0000359	WP_002557912.1	WP_011289981.1
OG0000360	WP_160605298.1	WP_179695943.1
OG0000361	WP_160605300.1	WP_160584761.1
OG0000362	WP_160605302.1	WP_179695944.1
OG0000363	WP_002557919.1	WP_041361531.1
OG0000364	WP_002557921.1	WP_146379475.1
OG0000365	WP_002557922.1	WP_160585532.1
OG0000366	WP_160581017.1	WP_011283887.1
OG0000367	WP_002557927.1	WP_179695949.1
OG0000368	WP_002557928.1	WP_011205921.1
OG0000369	WP_002557930.1	WP_011205923.1
OG0000370	WP_160581015.1	WP_044284773.1
OG0000371	WP_160583705.1	WP_179695950.1
OG0000372	WP_002557935.1	WP_179695952.1
OG0000373	WP_160583703.1	WP_179695953.1
OG0000374	WP_160583788.1	WP_179695861.1
OG0000375	WP_160605574.1	WP_179695859.1
OG0000376	WP_002557946.1	WP_179695858.1
OG0000377	WP_002557947.1	WP_011284373.1
OG0000378	WP_002557948.1	WP_011206502.1
OG0000379	WP_160603142.1	WP_258556512.1
OG0000380	WP_160605591.1	WP_179695856.1
OG0000381	WP_039387710.1	WP_011290422.1
OG0000382	WP_002557954.1	WP_011290421.1
OG0000383	WP_160581382.1	WP_011206494.1
OG0000384	WP_002557959.1	WP_179695854.1
OG0000385	WP_002557960.1	WP_011206490.1
OG0000386	WP_002557961.1	WP_011290416.1
OG0000387	WP_160605595.1	WP_011206487.1
OG0000388	WP_160605597.1	WP_179695880.1
OG0000389	WP_002557965.1	WP_179695881.1
OG0000390	WP_002557966.1	WP_011206484.1
OG0000391	WP_002557967.1	WP_179695882.1
OG0000392	WP_160605599.1	WP_179695883.1
OG0000393	WP_160605389.1	WP_044284668.1
OG0000394	WP_160605383.1	WP_011206297.1
OG0000395	WP_002557980.1	WP_160585009.1
OG0000396	WP_160605379.1	WP_179695979.1
OG0000397	WP_160605377.1	WP_179695980.1
OG0000398	WP_160605363.1	WP_014579908.1
OG0000399	WP_002558005.1	WP_011206320.1
OG0000400	WP_002558006.1	WP_044272553.1
OG0000401	WP_002558007.1	WP_160590129.1
OG0000402	WP_160605367.1	WP_146379669.1
OG0000403	WP_160580958.1	WP_011206315.1
OG0000404	WP_160605369.1	WP_179695986.1
OG0000405	WP_160603085.1	WP_011284228.1
OG0000406	WP_160605373.1	WP_179695983.1
OG0000407	WP_160580964.1	WP_041361673.1
OG0000408	WP_160580966.1	WP_146379664.1
OG0000409	WP_160605278.1	WP_179695935.1
OG0000410	WP_039387487.1	WP_160606529.1
OG0000411	WP_039387496.1	WP_041361533.1
OG0000412	WP_039387501.1	WP_011283891.1
OG0000413	WP_039387504.1	WP_011205925.1
OG0000414	WP_160580856.1	WP_146379484.1
OG0000415	WP_160580864.1	WP_011283978.1
OG0000416	WP_160605330.1	WP_179695921.1
OG0000417	WP_160580924.1	WP_179696079.1
OG0000418	WP_220190751.1	WP_179695993.1
OG0000419	WP_160605361.1	WP_020835811.1
OG0000420	WP_039387539.1	WP_179695987.1
OG0000421	WP_160605381.1	WP_179695978.1
OG0000422	WP_039387548.1	WP_011206293.1
OG0000423	WP_039387554.1	WP_011206141.1
OG0000424	WP_160605424.1	WP_179696097.1
OG0000425	WP_160581431.1	WP_011290197.1
OG0000426	WP_160605432.1	WP_179696008.1
OG0000427	WP_160605615.1	WP_146379589.1
OG0000428	WP_039387592.1	WP_014579824.1
OG0000429	WP_160605629.1	WP_220200501.1
OG0000430	WP_039387606.1	WP_135618880.1
OG0000431	WP_160605516.1	WP_179696028.1
OG0000432	WP_039387610.1	WP_011205969.1
OG0000433	WP_039387613.1	WP_020835642.1
OG0000434	WP_039387619.1	WP_179696045.1
OG0000435	WP_160605462.1	WP_094521693.1
OG0000436	WP_039387628.1	WP_011206094.1
OG0000437	WP_039387636.1	WP_179695846.1
OG0000438	WP_039387638.1	WP_011206076.1
OG0000439	WP_039387641.1	WP_011206069.1
OG0000440	WP_039387644.1	WP_041361583.1
OG0000441	WP_039387648.1	WP_011206056.1
OG0000442	WP_039387651.1	WP_044272348.1
OG0000443	WP_160605489.1	WP_160584670.1
OG0000444	WP_039387665.1	WP_146379704.1
OG0000445	WP_160605543.1	WP_011290372.1
OG0000446	WP_160605544.1	WP_011206433.1
OG0000447	WP_039387693.1	WP_179695900.1
OG0000448	WP_160605548.1	WP_179695899.1
OG0000449	WP_039387704.1	WP_011206488.1
OG0000450	WP_160605593.1	WP_179695855.1
OG0000451	WP_039387713.1	WP_014580023.1
OG0000452	WP_039387719.1	WP_179696042.1
OG0000453	WP_160581112.1	WP_011284387.1
OG0000454	WP_039387723.1	WP_014580051.1
OG0000455	WP_039387750.1	WP_179695989.1
OG0000456	WP_160605621.1	WP_179696016.1
OG0000457	WP_160605518.1	WP_179696038.1
OG0000458	WP_039387777.1	WP_011205973.1
OG0000459	WP_039387782.1	WP_011290226.1
OG0000460	WP_039387785.1	WP_050195494.1
OG0000461	WP_039387808.1	WP_011206435.1
OG0000462	WP_160603144.1	WP_146379753.1
OG0000463	WP_160583965.1	WP_179696057.1
OG0000464	WP_051054279.1	WP_179695964.1
OG0000465	WP_051054304.1	WP_014579611.1
OG0000466	WP_081605287.1	WP_232039558.1
OG0000467	WP_160605584.1	WP_179695863.1
OG0000468	WP_081605280.1	WP_011205955.1
OG0000469	WP_160605474.1	WP_179695847.1
OG0000470	WP_160605334.1	WP_011206380.1
OG0000471	WP_155897264.1	WP_179695857.1
OG0000472	WP_169742226.1	WP_011206218.1
OG0000473	WP_308507115.1	WP_044272343.1
OG0000474	WP_201771011.1	WP_258556579.1
OG0000475	WP_220190748.1	WP_160584739.1
OG0000476	WP_220190755.1	WP_179696100.1
OG0000477	WP_236681784.1	WP_160587946.1
OG0000478	WP_308705452.1	WP_044284615.1
OG0000479	WP_220190750.1	WP_258556592.1
OG0000480	WP_231237866.1	WP_220200538.1
OG0000481	WP_308705446.1	WP_308705286.1
OG0000482	WP_160605540.1	WP_011206427.1
OG0000483	WP_002557711.1	WP_179695910.1
OG0000484	WP_308705441.1	WP_225973007.1
OG0000485	WP_231237879.1	WP_225973008.1
OG0000486	WP_258555097.1	WP_011289979.1
OG0000487	WP_255454460.1	WP_011290282.1
OG0000488	WP_308705455.1	WP_179695914.1
OG0000489	WP_334199004.1	WP_308705292.1
OG0000491	WP_160581087.1	WP_011283834.1
OG0000492	WP_039387473.1	WP_160588112.1
OG0000493	WP_002557476.1	WP_011205843.1
OG0000494	WP_002557481.1	WP_179695870.1
OG0000496	WP_002557529.1	WP_179696026.1
OG0000498	WP_002557550.1	WP_179696051.1
OG0000499	WP_160605530.1	WP_020835646.1
OG0000500	WP_160605312.1	WP_179695957.1
OG0000501	WP_160580862.1	WP_179695965.1
OG0000502	WP_160580870.1	WP_052259108.1
OG0000503	WP_258555108.1	WP_228366107.1
OG0000504	WP_160605336.1	WP_011206375.1
OG0000505	WP_002557639.1	WP_011290314.1
OG0000507	WP_160605354.1	WP_179695996.1
OG0000508	WP_002557673.1	WP_160606819.1
OG0000509	WP_160605536.1	WP_179695912.1
OG0000510	WP_160605545.1	WP_179695908.1
OG0000512	WP_160605460.1	WP_179696022.1
OG0000513	WP_002557809.1	WP_011283957.1
OG0000514	WP_160581345.1	WP_146379519.1
OG0000515	WP_160605483.1	WP_020835590.1
OG0000516	WP_160581337.1	WP_011206036.1
OG0000517	WP_160581026.1	WP_011289986.1
OG0000518	WP_002557923.1	WP_179695947.1
OG0000519	WP_002557926.1	WP_179695948.1
OG0000520	WP_002557934.1	WP_179695951.1
OG0000522	WP_160605603.1	WP_179695885.1
OG0000523	WP_160605605.1	WP_308705275.1
OG0000524	WP_002557982.1	WP_014579890.1
OG0000525	WP_160605375.1	WP_179695981.1
OG0000526	WP_002558014.1	WP_179695985.1
OG0000527	WP_160605371.1	WP_179695984.1
OG0000528	WP_039387498.1	WP_011205922.1
OG0000529	WP_220190752.1	WP_179695992.1
OG0000530	WP_160605428.1	WP_160585598.1
OG0000531	WP_039387714.1	WP_011284377.1
OG0000532	WP_220190796.1	WP_179695860.1
OG0000533	WP_334296058.1	WP_220200531.1
OG0000534	WP_039387661.1	WP_179696066.1
OG0000535	WP_160605332.1	WP_179695922.1
OG0000536	WP_258555124.1	WP_160585249.1
OG0000537	WP_160605322.1	WP_179696117.1
OG0000538	WP_160605643.1, WP_160605434.1	WP_160585767.1
OG0000539	WP_160583855.1	WP_179695852.1
OG0000540	WP_308705459.1	WP_179695889.1
OG0000542	WP_160605588.1	WP_179695865.1
OG0000546	WP_231237875.1	WP_146379706.1
OG0000548	WP_160605365.1	WP_179695990.1
OG0000549	WP_308705463.1	WP_308705288.1
OG0000550	WP_220190799.1	WP_179696011.1
