Orthogroup	MFC_MF29_genes	MHP_TB1_genes
OG0000064	DR095_RS01165	B5M19_RS01990
OG0000065	DR095_RS01310	B5M19_RS02925
OG0000066	DR095_RS01440	B5M19_RS01220
OG0000068	DR095_RS00120	B5M19_RS04480
OG0000069	DR095_RS00275	B5M19_RS03520
OG0000070	DR095_RS00605	B5M19_RS02795
OG0000071	DR095_RS01935	B5M19_RS02995
OG0000072	DR095_RS03885	B5M19_RS02990
OG0000073	DR095_RS02080	B5M19_RS01840
OG0000074	DR095_RS03915	B5M19_RS01645
OG0000075	DR095_RS00815	B5M19_RS00265
OG0000076	DR095_RS00800	B5M19_RS00280
OG0000077	DR095_RS00715	B5M19_RS03440
OG0000078	DR095_RS00415	B5M19_RS02055
OG0000079	DR095_RS00525	B5M19_RS01010
OG0000080	DR095_RS03375	B5M19_RS03900
OG0000081	DR095_RS00820	B5M19_RS00260
OG0000082	DR095_RS00585	B5M19_RS04420, B5M19_RS04415
OG0000083	DR095_RS03045	B5M19_RS00845
OG0000084	DR095_RS02880	B5M19_RS02760
OG0000085	DR095_RS02875	B5M19_RS02755
OG0000086	DR095_RS03990	B5M19_RS02745
OG0000087	DR095_RS02850	B5M19_RS02730
OG0000088	DR095_RS02845	B5M19_RS02725
OG0000089	DR095_RS02835	B5M19_RS03690
OG0000090	DR095_RS01045	B5M19_RS03775
OG0000091	DR095_RS01060	B5M19_RS04280
OG0000092	DR095_RS01075	B5M19_RS01895
OG0000093	DR095_RS01080	B5M19_RS01900
OG0000094	DR095_RS01085	B5M19_RS01905
OG0000095	DR095_RS01110	B5M19_RS04290
OG0000096	DR095_RS01115	B5M19_RS01935
OG0000097	DR095_RS01135	B5M19_RS01955
OG0000098	DR095_RS01145	B5M19_RS04295
OG0000099	DR095_RS01200	B5M19_RS00370
OG0000100	DR095_RS01210	B5M19_RS00385
OG0000101	DR095_RS01215	B5M19_RS00390
OG0000102	DR095_RS01225	B5M19_RS02080
OG0000103	DR095_RS01275	B5M19_RS02960
OG0000104	DR095_RS01280	B5M19_RS04460
OG0000105	DR095_RS01295	B5M19_RS02940
OG0000106	DR095_RS01305	B5M19_RS02930
OG0000107	DR095_RS01315	B5M19_RS04455
OG0000108	DR095_RS01320	B5M19_RS04620
OG0000109	DR095_RS01325	B5M19_RS02910
OG0000110	DR095_RS01330	B5M19_RS02660
OG0000111	DR095_RS01335	B5M19_RS02665
OG0000112	DR095_RS01345	B5M19_RS02675
OG0000113	DR095_RS03830	B5M19_RS02700
OG0000114	DR095_RS01370	B5M19_RS02710
OG0000115	DR095_RS01380	B5M19_RS03610
OG0000116	DR095_RS01390	B5M19_RS02580
OG0000117	DR095_RS01395	B5M19_RS02575
OG0000118	DR095_RS01425	B5M19_RS01235
OG0000119	DR095_RS01430	B5M19_RS01230
OG0000120	DR095_RS01445	B5M19_RS01215
OG0000121	DR095_RS01470	B5M19_RS01190
OG0000122	DR095_RS01475	B5M19_RS01185
OG0000123	DR095_RS01495	B5M19_RS01165
OG0000124	DR095_RS01500	B5M19_RS01160
OG0000125	DR095_RS01505	B5M19_RS01155
OG0000126	DR095_RS01515	B5M19_RS01145
OG0000127	DR095_RS01525	B5M19_RS01135
OG0000128	DR095_RS02900	B5M19_RS01115
OG0000129	DR095_RS02905	B5M19_RS01110
OG0000130	DR095_RS02915	B5M19_RS01100
OG0000131	DR095_RS02945	B5M19_RS01075
OG0000132	DR095_RS04000	B5M19_RS01060
OG0000133	DR095_RS00015	B5M19_RS02380
OG0000134	DR095_RS03750	B5M19_RS02385
OG0000135	DR095_RS00035	B5M19_RS02400
OG0000136	DR095_RS00040	B5M19_RS02405
OG0000137	DR095_RS00070	B5M19_RS02445
OG0000138	DR095_RS00095	B5M19_RS03090
OG0000139	DR095_RS00125	B5M19_RS03070
OG0000140	DR095_RS00130	B5M19_RS03065
OG0000141	DR095_RS00155	B5M19_RS01330
OG0000142	DR095_RS03765	B5M19_RS01335
OG0000143	DR095_RS00185	B5M19_RS01360
OG0000144	DR095_RS00195	B5M19_RS01370
OG0000145	DR095_RS00205	B5M19_RS01380
OG0000146	DR095_RS00215	B5M19_RS01390
OG0000147	DR095_RS00220	B5M19_RS01395
OG0000148	DR095_RS00235	B5M19_RS01410
OG0000149	DR095_RS00245	B5M19_RS01420
OG0000150	DR095_RS00260	B5M19_RS04180
OG0000151	DR095_RS00315	B5M19_RS02540
OG0000152	DR095_RS00320	B5M19_RS02535
OG0000153	DR095_RS00325	B5M19_RS02530
OG0000154	DR095_RS00335	B5M19_RS02520
OG0000155	DR095_RS00355	B5M19_RS02480
OG0000156	DR095_RS00390	B5M19_RS00860
OG0000157	DR095_RS03780	B5M19_RS00865
OG0000158	DR095_RS03785	B5M19_RS04580
OG0000159	DR095_RS00635	B5M19_RS02810
OG0000160	DR095_RS00640	B5M19_RS02815
OG0000161	DR095_RS00650	B5M19_RS02820
OG0000162	DR095_RS02680	B5M19_RS02830
OG0000163	DR095_RS02685	B5M19_RS02835
OG0000164	DR095_RS03975	B5M19_RS04495
OG0000165	DR095_RS02760	B5M19_RS00760
OG0000166	DR095_RS02780	B5M19_RS00785
OG0000167	DR095_RS02795	B5M19_RS00800
OG0000168	DR095_RS02800	B5M19_RS00805
OG0000169	DR095_RS01750	B5M19_RS01450
OG0000170	DR095_RS01765	B5M19_RS01465
OG0000171	DR095_RS01775	B5M19_RS01475
OG0000172	DR095_RS01780	B5M19_RS01480
OG0000173	DR095_RS01785	B5M19_RS01490
OG0000174	DR095_RS01790	B5M19_RS01495
OG0000175	DR095_RS01805	B5M19_RS01510
OG0000176	DR095_RS01845	B5M19_RS01560
OG0000177	DR095_RS01850	B5M19_RS01565
OG0000178	DR095_RS01855	B5M19_RS04200
OG0000179	DR095_RS01865	B5M19_RS01580
OG0000180	DR095_RS01870	B5M19_RS01585
OG0000181	DR095_RS03870	B5M19_RS03045
OG0000182	DR095_RS01895	B5M19_RS03035
OG0000183	DR095_RS01930	B5M19_RS03000
OG0000184	DR095_RS02970	B5M19_RS03105
OG0000185	DR095_RS02985	B5M19_RS03120
OG0000186	DR095_RS01970	B5M19_RS03550
OG0000187	DR095_RS01985	B5M19_RS03535
OG0000188	DR095_RS01995	B5M19_RS03525
OG0000189	DR095_RS03890	B5M19_RS03210
OG0000190	DR095_RS02010	B5M19_RS03215
OG0000191	DR095_RS02030	B5M19_RS03235
OG0000192	DR095_RS02040	B5M19_RS03675
OG0000193	DR095_RS02055	B5M19_RS02360
OG0000194	DR095_RS02065	B5M19_RS01855
OG0000195	DR095_RS02070	B5M19_RS01850
OG0000196	DR095_RS03895	B5M19_RS01830
OG0000197	DR095_RS02095	B5M19_RS01825
OG0000198	DR095_RS02110	B5M19_RS01810
OG0000199	DR095_RS02115	B5M19_RS01805
OG0000200	DR095_RS02130	B5M19_RS01790
OG0000201	DR095_RS02140	B5M19_RS01780
OG0000202	DR095_RS02195	B5M19_RS01725
OG0000203	DR095_RS02200	B5M19_RS01720
OG0000204	DR095_RS03925	B5M19_RS01715
OG0000205	DR095_RS02490	B5M19_RS01710
OG0000206	DR095_RS02470	B5M19_RS01690
OG0000207	DR095_RS02455	B5M19_RS01675
OG0000208	DR095_RS02450	B5M19_RS01670
OG0000209	DR095_RS02445	B5M19_RS01665
OG0000210	DR095_RS02400	B5M19_RS01620
OG0000211	DR095_RS02390	B5M19_RS03415
OG0000212	DR095_RS02380	B5M19_RS03405
OG0000213	DR095_RS02375	B5M19_RS03400
OG0000214	DR095_RS02370	B5M19_RS03395
OG0000215	DR095_RS02365	B5M19_RS03390
OG0000216	DR095_RS02360	B5M19_RS03385
OG0000217	DR095_RS02355	B5M19_RS03380
OG0000218	DR095_RS03910	B5M19_RS03370
OG0000219	DR095_RS02340	B5M19_RS03365
OG0000220	DR095_RS02335	B5M19_RS03360
OG0000221	DR095_RS02330	B5M19_RS03355
OG0000222	DR095_RS02325	B5M19_RS03350
OG0000223	DR095_RS02320	B5M19_RS03345
OG0000224	DR095_RS02310	B5M19_RS03130
OG0000225	DR095_RS02300	B5M19_RS03140
OG0000226	DR095_RS02295	B5M19_RS03145
OG0000227	DR095_RS02290	B5M19_RS03150
OG0000228	DR095_RS04045	B5M19_RS04630
OG0000229	DR095_RS02280	B5M19_RS03160
OG0000230	DR095_RS02275	B5M19_RS03165
OG0000231	DR095_RS02265	B5M19_RS03175
OG0000232	DR095_RS02255	B5M19_RS03185
OG0000233	DR095_RS02245	B5M19_RS02225
OG0000234	DR095_RS02215	B5M19_RS04335
OG0000235	DR095_RS02205	B5M19_RS02175
OG0000236	DR095_RS01540	B5M19_RS02170
OG0000237	DR095_RS01560	B5M19_RS02165
OG0000238	DR095_RS01565	B5M19_RS02155
OG0000239	DR095_RS01595	B5M19_RS01315
OG0000240	DR095_RS01600	B5M19_RS01310
OG0000241	DR095_RS01705	B5M19_RS01300
OG0000242	DR095_RS01710	B5M19_RS04160
OG0000243	DR095_RS01715	B5M19_RS01290
OG0000244	DR095_RS01725	B5M19_RS01280
OG0000245	DR095_RS01735	B5M19_RS01270
OG0000246	DR095_RS01030	B5M19_RS00050
OG0000247	DR095_RS01020	B5M19_RS00060
OG0000248	DR095_RS00995	B5M19_RS00070
OG0000249	DR095_RS00990	B5M19_RS00075
OG0000250	DR095_RS00975	B5M19_RS03880
OG0000251	DR095_RS00945	B5M19_RS00125
OG0000252	DR095_RS00935	B5M19_RS00135
OG0000253	DR095_RS00930	B5M19_RS00140
OG0000254	DR095_RS00920	B5M19_RS00150
OG0000255	DR095_RS00915	B5M19_RS00160
OG0000256	DR095_RS00910	B5M19_RS00165
OG0000257	DR095_RS00885	B5M19_RS00190
OG0000258	DR095_RS00875	B5M19_RS04020
OG0000259	DR095_RS00845	B5M19_RS00230
OG0000260	DR095_RS00835	B5M19_RS00240
OG0000261	DR095_RS03795	B5M19_RS00250
OG0000262	DR095_RS00810	B5M19_RS00270
OG0000263	DR095_RS00795	B5M19_RS00285
OG0000264	DR095_RS00780	B5M19_RS04030
OG0000265	DR095_RS00770	B5M19_RS00315
OG0000266	DR095_RS00755	B5M19_RS00335
OG0000267	DR095_RS00740	B5M19_RS04035
OG0000268	DR095_RS00735	B5M19_RS00355
OG0000269	DR095_RS00720	B5M19_RS03680
OG0000270	DR095_RS03930	B5M19_RS00415
OG0000271	DR095_RS02520	B5M19_RS00420
OG0000272	DR095_RS02525	B5M19_RS00425
OG0000273	DR095_RS02530	B5M19_RS00430
OG0000274	DR095_RS02550	B5M19_RS00450
OG0000275	DR095_RS03935	B5M19_RS00455
OG0000276	DR095_RS02560	B5M19_RS00460
OG0000277	DR095_RS03940	B5M19_RS00470
OG0000278	DR095_RS02575	B5M19_RS00475
OG0000279	DR095_RS02585	B5M19_RS00485
OG0000280	DR095_RS02590	B5M19_RS00490
OG0000281	DR095_RS02595	B5M19_RS00495
OG0000282	DR095_RS02620	B5M19_RS00520
OG0000283	DR095_RS02625	B5M19_RS00525
OG0000284	DR095_RS02630	B5M19_RS00530
OG0000285	DR095_RS03955	B5M19_RS00535
OG0000286	DR095_RS00590	B5M19_RS02850
OG0000287	DR095_RS00565	B5M19_RS01050
OG0000288	DR095_RS00555	B5M19_RS01040
OG0000289	DR095_RS00550	B5M19_RS01035
OG0000290	DR095_RS03370	B5M19_RS04120
OG0000291	DR095_RS00450	B5M19_RS00935
OG0000292	DR095_RS00455	B5M19_RS00940
OG0000293	DR095_RS00460	B5M19_RS00945
OG0000294	DR095_RS00470	B5M19_RS00955
OG0000295	DR095_RS00475	B5M19_RS00960
OG0000296	DR095_RS00515	B5M19_RS01000
OG0000297	DR095_RS00520	B5M19_RS01005
OG0000298	DR095_RS00980	B5M19_RS00085
OG0000299	DR095_RS00960	B5M19_RS00110
OG0000300	DR095_RS00785	B5M19_RS00300
OG0000301	DR095_RS00750	B5M19_RS00340
OG0000302	DR095_RS00745	B5M19_RS00345
OG0000303	DR095_RS00045	B5M19_RS02410
OG0000304	DR095_RS00080	B5M19_RS03190
OG0000305	DR095_RS00210	B5M19_RS01385
OG0000306	DR095_RS00290	B5M19_RS02560
OG0000307	DR095_RS00330	B5M19_RS02525
OG0000308	DR095_RS00430	B5M19_RS00905
OG0000309	DR095_RS00485	B5M19_RS00970
OG0000310	DR095_RS00560	B5M19_RS01045
OG0000311	DR095_RS00610	B5M19_RS02790
OG0000312	DR095_RS00630	B5M19_RS02805
OG0000313	DR095_RS02705	B5M19_RS03300
OG0000314	DR095_RS02775	B5M19_RS00780
OG0000315	DR095_RS02805	B5M19_RS00810
OG0000316	DR095_RS02815	B5M19_RS00820
OG0000317	DR095_RS02840	B5M19_RS02720
OG0000318	DR095_RS04005	B5M19_RS00825
OG0000319	DR095_RS01290	B5M19_RS02945
OG0000320	DR095_RS01355	B5M19_RS04425
OG0000321	DR095_RS01420	B5M19_RS01240
OG0000322	DR095_RS01465	B5M19_RS01195
OG0000323	DR095_RS02955	B5M19_RS01065
OG0000324	DR095_RS02035	B5M19_RS03240
OG0000325	DR095_RS02075	B5M19_RS01845
OG0000326	DR095_RS02170	B5M19_RS01750
OG0000327	DR095_RS02175	B5M19_RS01745
OG0000328	DR095_RS02440	B5M19_RS01660
OG0000329	DR095_RS02420	B5M19_RS01640
OG0000330	DR095_RS02235	B5M19_RS02210
OG0000331	DR095_RS01720	B5M19_RS01285
OG0000332	DR095_RS01815	B5M19_RS01520
OG0000333	DR095_RS01825	B5M19_RS01530
OG0000334	DR095_RS01890	B5M19_RS03040
OG0000335	DR095_RS03875	B5M19_RS03030
OG0000336	DR095_RS03950	B5M19_RS00505
OG0000337	DR095_RS01160	B5M19_RS01985
OG0000338	DR095_RS01120	B5M19_RS01940
OG0000339	DR095_RS01375	B5M19_RS03615
OG0000340	DR095_RS01400	B5M19_RS02565
OG0000341	DR095_RS02015	B5M19_RS03220
OG0000342	DR095_RS02105	B5M19_RS01815
OG0000343	DR095_RS01835	B5M19_RS04195
OG0000344	DR095_RS00060	B5M19_RS02425
OG0000345	DR095_RS02305	B5M19_RS03135
OG0000346	DR095_RS03945	B5M19_RS04590
OG0000347	DR095_RS01490	B5M19_RS01170
OG0000348	DR095_RS03905	B5M19_RS01740
OG0000349	DR095_RS02540	B5M19_RS00440
OG0000350	DR095_RS00295	B5M19_RS02515
OG0000351	DR095_RS00660	B5M19_RS03490
OG0000352	DR095_RS02755	B5M19_RS00755
OG0000353	DR095_RS01460	B5M19_RS01200
OG0000354	DR095_RS00110	B5M19_RS03080
OG0000355	DR095_RS03980	B5M19_RS00725
OG0000356	DR095_RS03985	B5M19_RS00815
OG0000357	DR095_RS03860	B5M19_RS01500
OG0000358	DR095_RS01800	B5M19_RS01505
OG0000359	DR095_RS03900	B5M19_RS01770
OG0000360	DR095_RS00880	B5M19_RS00195
OG0000361	DR095_RS00850	B5M19_RS00225
OG0000362	DR095_RS00540	B5M19_RS01025
OG0000363	DR095_RS01530	B5M19_RS01125
OG0000365	DR095_RS04025	B5M19_RS02775
OG0000366	DR095_RS02870	B5M19_RS02750
OG0000367	DR095_RS02860	B5M19_RS02740
OG0000368	DR095_RS01055	B5M19_RS04270
OG0000369	DR095_RS03410	B5M19_RS01910
OG0000370	DR095_RS01095	B5M19_RS01915
OG0000371	DR095_RS01100	B5M19_RS01920
OG0000372	DR095_RS01105	B5M19_RS01925
OG0000373	DR095_RS01130	B5M19_RS01950
OG0000374	DR095_RS01140	B5M19_RS01960
OG0000375	DR095_RS01285	B5M19_RS02950
OG0000376	DR095_RS01340	B5M19_RS02670
OG0000377	DR095_RS01350	B5M19_RS02680
OG0000378	DR095_RS01385	B5M19_RS02585
OG0000379	DR095_RS01455	B5M19_RS01205
OG0000380	DR095_RS01480	B5M19_RS01180
OG0000381	DR095_RS01520	B5M19_RS01140
OG0000382	DR095_RS02910	B5M19_RS01105
OG0000383	DR095_RS02950	B5M19_RS01070
OG0000384	DR095_RS00655	B5M19_RS02365
OG0000385	DR095_RS00005	B5M19_RS02370
OG0000386	DR095_RS00025	B5M19_RS02390
OG0000387	DR095_RS00050	B5M19_RS02415
OG0000388	DR095_RS03755	B5M19_RS02420
OG0000389	DR095_RS00090	B5M19_RS03095
OG0000390	DR095_RS00190	B5M19_RS01365
OG0000391	DR095_RS00200	B5M19_RS01375
OG0000392	DR095_RS00225	B5M19_RS01400
OG0000393	DR095_RS00280	B5M19_RS03515
OG0000394	DR095_RS00345	B5M19_RS02490
OG0000395	DR095_RS00350	B5M19_RS02485
OG0000396	DR095_RS02695	B5M19_RS02845
OG0000397	DR095_RS02740	B5M19_RS00740
OG0000398	DR095_RS02745	B5M19_RS00745
OG0000399	DR095_RS02790	B5M19_RS00795
OG0000400	DR095_RS01760	B5M19_RS01460
OG0000401	DR095_RS01820	B5M19_RS01525
OG0000402	DR095_RS01830	B5M19_RS01535
OG0000404	DR095_RS03865	B5M19_RS04205
OG0000405	DR095_RS01875	B5M19_RS01590
OG0000406	DR095_RS01905	B5M19_RS03025
OG0000407	DR095_RS03880	B5M19_RS03020
OG0000408	DR095_RS01915	B5M19_RS03015
OG0000409	DR095_RS01920	B5M19_RS03010
OG0000410	DR095_RS02965	B5M19_RS03100
OG0000411	DR095_RS02975	B5M19_RS03110
OG0000412	DR095_RS02980	B5M19_RS03115
OG0000413	DR095_RS01965	B5M19_RS03555
OG0000414	DR095_RS01975	B5M19_RS03545
OG0000415	DR095_RS01980	B5M19_RS03540
OG0000416	DR095_RS01990	B5M19_RS03530
OG0000417	DR095_RS02020	B5M19_RS03225
OG0000418	DR095_RS02025	B5M19_RS03230
OG0000419	DR095_RS02085	B5M19_RS01835
OG0000420	DR095_RS02120	B5M19_RS01800
OG0000421	DR095_RS02155	B5M19_RS01765
OG0000422	DR095_RS02165	B5M19_RS01755
OG0000423	DR095_RS02480	B5M19_RS01700
OG0000424	DR095_RS02475	B5M19_RS01695
OG0000425	DR095_RS02465	B5M19_RS01685
OG0000426	DR095_RS03585	B5M19_RS01680
OG0000427	DR095_RS03920	B5M19_RS01655
OG0000428	DR095_RS02410	B5M19_RS01630
OG0000430	DR095_RS02270	B5M19_RS03170
OG0000431	DR095_RS02260	B5M19_RS03180
OG0000432	DR095_RS02240	B5M19_RS04345
OG0000433	DR095_RS02230	B5M19_RS02200
OG0000434	DR095_RS02225	B5M19_RS02195
OG0000435	DR095_RS02210	B5M19_RS02180
OG0000436	DR095_RS01570	B5M19_RS02150
OG0000437	DR095_RS01580	B5M19_RS02140
OG0000438	DR095_RS03840	B5M19_RS02135
OG0000439	DR095_RS01590	B5M19_RS02130
OG0000440	DR095_RS03855	B5M19_RS04165
OG0000441	DR095_RS01745	B5M19_RS01265
OG0000442	DR095_RS01025	B5M19_RS00055
OG0000443	DR095_RS00965	B5M19_RS00105
OG0000444	DR095_RS00950	B5M19_RS00120
OG0000445	DR095_RS00925	B5M19_RS00145
OG0000446	DR095_RS00900	B5M19_RS00175
OG0000447	DR095_RS00895	B5M19_RS00180
OG0000448	DR095_RS00865	B5M19_RS00210
OG0000449	DR095_RS00840	B5M19_RS00235
OG0000450	DR095_RS00830	B5M19_RS00245
OG0000451	DR095_RS00790	B5M19_RS00295
OG0000452	DR095_RS00765	B5M19_RS00330
OG0000453	DR095_RS00730	B5M19_RS04040
OG0000455	DR095_RS03825	B5M19_RS00395
OG0000456	DR095_RS02615	B5M19_RS00515
OG0000457	DR095_RS02640	B5M19_RS00540
OG0000458	DR095_RS00570	B5M19_RS01055
OG0000459	DR095_RS00545	B5M19_RS01030
OG0000460	DR095_RS00535	B5M19_RS01020
OG0000461	DR095_RS00490	B5M19_RS04125
OG0000462	DR095_RS00495	B5M19_RS00980
OG0000463	DR095_RS00500	B5M19_RS04130
OG0000464	DR095_RS00505	B5M19_RS00990
OG0000465	DR095_RS00510	B5M19_RS00995
OG0000467	DR095_RS03790	B5M19_RS00895
OG0000468	DR095_RS02785	B5M19_RS00790
OG0000469	DR095_RS03050	B5M19_RS00850
OG0000470	DR095_RS02485	B5M19_RS03910
OG0000471	DR095_RS02405	B5M19_RS01625
OG0000472	DR095_RS02665	B5M19_RS00580
OG0000473	DR095_RS02510	B5M19_RS00410
OG0000474	DR095_RS02505	B5M19_RS00405
OG0000475	DR095_RS02500	B5M19_RS00400
OG0000476	DR095_RS01220	B5M19_RS03280
OG0000477	DR095_RS00465	B5M19_RS00950
OG0000478	DR095_RS02565	B5M19_RS00465
OG0000479	DR095_RS01415	B5M19_RS04145
OG0000480	DR095_RS03245	B5M19_RS03895
OG0000481	DR095_RS02190	B5M19_RS01730
OG0000482	DR095_RS02050	B5M19_RS03730
OG0000483	DR095_RS02855	B5M19_RS02735
OG0000484	DR095_RS03800	B5M19_RS00115
OG0000485	DR095_RS01575	B5M19_RS02145
OG0000486	DR095_RS02000	B5M19_RS03205
OG0000487	DR095_RS04010	B5M19_RS00830
OG0000488	DR095_RS02885	B5M19_RS02770
OG0000489	DR095_RS01065	B5M19_RS01885
OG0000490	DR095_RS01125	B5M19_RS01945
OG0000491	DR095_RS01435	B5M19_RS01225
OG0000492	DR095_RS01510	B5M19_RS04140
OG0000493	DR095_RS00065	B5M19_RS02430
OG0000494	DR095_RS00115	B5M19_RS03075
OG0000495	DR095_RS00255	B5M19_RS01430
OG0000497	DR095_RS00270	B5M19_RS01445
OG0000498	DR095_RS00340	B5M19_RS02495
OG0000499	DR095_RS00400	B5M19_RS00870
OG0000500	DR095_RS02750	B5M19_RS00750
OG0000501	DR095_RS01770	B5M19_RS01470
OG0000502	DR095_RS02060	B5M19_RS02350
OG0000503	DR095_RS02135	B5M19_RS04250
OG0000504	DR095_RS02430	B5M19_RS01650
OG0000505	DR095_RS02395	B5M19_RS03420
OG0000506	DR095_RS02385	B5M19_RS03410
OG0000507	DR095_RS02350	B5M19_RS03375
OG0000508	DR095_RS00905	B5M19_RS00170
OG0000509	DR095_RS00870	B5M19_RS00205
OG0000510	DR095_RS00860	B5M19_RS00215
OG0000511	DR095_RS00725	B5M19_RS03685
OG0000512	DR095_RS00530	B5M19_RS01015
OG0000513	DR095_RS02580	B5M19_RS00480
OG0000514	DR095_RS00230	B5M19_RS01405
OG0000516	DR095_RS03000	B5M19_RS00835
OG0000517	DR095_RS01050	B5M19_RS01870
OG0000518	DR095_RS01810	B5M19_RS01515
OG0000519	DR095_RS02160	B5M19_RS01760
OG0000520	DR095_RS02415	B5M19_RS01635
OG0000521	DR095_RS00890	B5M19_RS00185
OG0000522	DR095_RS00855	B5M19_RS00220
OG0000523	DR095_RS02645	B5M19_RS00545
OG0000524	DR095_RS00425	B5M19_RS00900
OG0000525	DR095_RS04060	B5M19_RS00575
OG0000528	DR095_RS03010	B5M19_RS00840
OG0000529	DR095_RS01300	B5M19_RS02935
OG0000530	DR095_RS01365	B5M19_RS02705
OG0000531	DR095_RS01485	B5M19_RS01175
OG0000533	DR095_RS02250	B5M19_RS04515
OG0000535	DR095_RS01070	B5M19_RS04610
OG0000536	DR095_RS01195	B5M19_RS00365
OG0000537	DR095_RS02100	B5M19_RS01820
OG0000538	DR095_RS02220	B5M19_RS04340
OG0000539	DR095_RS00940	B5M19_RS00130
OG0000541	DR095_RS00385	B5M19_RS00855
OG0000542	DR095_RS00805	B5M19_RS00275
OG0000547	DR095_RS00180	B5M19_RS01355
OG0000548	DR095_RS02700	B5M19_RS03295
OG0000549	DR095_RS02670	B5M19_RS00585
OG0000550	DR095_RS02545	B5M19_RS04055
OG0000551	DR095_RS01730	B5M19_RS01275
OG0000555	DR095_RS03315	B5M19_RS01350
OG0000556	DR095_RS03845	B5M19_RS02255
OG0000584	DR095_RS01670	B5M19_RS02310
OG0000585	DR095_RS03450	B5M19_RS02965
OG0000590	DR095_RS01680	B5M19_RS02320
OG0000596	DR095_RS01005	B5M19_RS02110
OG0000598	DR095_RS01010	B5M19_RS02115
OG0000599	DR095_RS01015	B5M19_RS02120
OG0000600	DR095_RS01665	B5M19_RS02305
OG0000603	DR095_RS01650	B5M19_RS02285
OG0000605	DR095_RS01645	B5M19_RS02280
OG0000628	DR095_RS01615	B5M19_RS02245
OG0000629	DR095_RS01690	B5M19_RS03875
OG0000630	DR095_RS01605	B5M19_RS02235
OG0000631	DR095_RS01610	B5M19_RS02240
OG0000632	DR095_RS03775	B5M19_RS04325
