#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRB01000001.1:1561-2352|-   -            264 1679at2085           -            265   5.3e-79  260.6  12.5   1   1   5.5e-81   5.8e-79  260.5  12.5    12   256     1   255     1   263 0.91 NZ_QQRB01000001.1_2 # 1561 # 2352 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.268
NZ_QQRB01000001.1:58438-59697|- -            420 1679at2085           -            265   2.2e-05   19.3  11.0   1   2   4.4e-07   4.6e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_QQRB01000001.1_50 # 58438 # 59697 # -1 # ID=11_50;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
NZ_QQRB01000001.1:58438-59697|- -            420 1679at2085           -            265   2.2e-05   19.3  11.0   2   2     0.036       3.7    2.1   7.6    39   121   257   343   253   346 0.83 NZ_QQRB01000001.1_50 # 58438 # 59697 # -1 # ID=11_50;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.309
NZ_QQRB01000006.1:31618-32721|- -            368 1679at2085           -            265   3.2e-05   18.8   0.1   1   2     3e-07   3.2e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_QQRB01000006.1_28 # 31618 # 32721 # -1 # ID=65_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
NZ_QQRB01000006.1:31618-32721|- -            368 1679at2085           -            265   3.2e-05   18.8   0.1   2   2       1.7   1.8e+02   -3.4   0.1   100   103   148   151   119   177 0.52 NZ_QQRB01000006.1_28 # 31618 # 32721 # -1 # ID=65_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.299
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP653/Use
# Date:            Thu Nov 28 19:38:07 2024
# [ok]
