Orthogroup	MFC_Ms42_genes	MHP_F72C_genes
OG0000146	MYF_RS00695	EHI52_RS02865
OG0000147	MYF_RS00700	EHI52_RS02860
OG0000148	MYF_RS00715	EHI52_RS02845
OG0000149	MYF_RS00725	EHI52_RS02835
OG0000150	MYF_RS00740	EHI52_RS02820
OG0000151	MYF_RS00795	EHI52_RS02775
OG0000152	MYF_RS00800	EHI52_RS02770
OG0000153	MYF_RS00805	EHI52_RS02765
OG0000154	MYF_RS00815	EHI52_RS02755
OG0000155	MYF_RS00835	EHI52_RS02715
OG0000156	MYF_RS00855	EHI52_RS02705
OG0000157	MYF_RS00860	EHI52_RS02700
OG0000158	MYF_RS00870	EHI52_RS03885
OG0000159	MYF_RS01165	EHI52_RS03925
OG0000160	MYF_RS01170	EHI52_RS02460
OG0000161	MYF_RS01175	EHI52_RS02455
OG0000162	MYF_RS01185	EHI52_RS02445
OG0000163	MYF_RS01190	EHI52_RS02440
OG0000164	MYF_RS01220	EHI52_RS01665
OG0000165	MYF_RS01265	EHI52_RS01995
OG0000166	MYF_RS01285	EHI52_RS01975
OG0000167	MYF_RS01300	EHI52_RS01960
OG0000168	MYF_RS01305	EHI52_RS01955
OG0000169	MYF_RS02560	EHI52_RS03055
OG0000170	MYF_RS02585	EHI52_RS03075
OG0000171	MYF_RS02595	EHI52_RS03085
OG0000172	MYF_RS02600	EHI52_RS03095
OG0000173	MYF_RS02605	EHI52_RS03100
OG0000174	MYF_RS02610	EHI52_RS03105
OG0000175	MYF_RS02625	EHI52_RS03120
OG0000176	MYF_RS02670	EHI52_RS03170
OG0000177	MYF_RS02675	EHI52_RS03175
OG0000178	MYF_RS02680	EHI52_RS03180
OG0000179	MYF_RS02690	EHI52_RS03190
OG0000180	MYF_RS02695	EHI52_RS03195
OG0000181	MYF_RS02710	EHI52_RS03235
OG0000182	MYF_RS02720	EHI52_RS03245
OG0000183	MYF_RS02755	EHI52_RS03280
OG0000184	MYF_RS02785	EHI52_RS03325
OG0000185	MYF_RS02800	EHI52_RS03310
OG0000186	MYF_RS01895	EHI52_RS01585
OG0000187	MYF_RS01910	EHI52_RS01600
OG0000188	MYF_RS01920	EHI52_RS01610
OG0000189	MYF_RS01930	EHI52_RS02310
OG0000190	MYF_RS01935	EHI52_RS02305
OG0000191	MYF_RS01955	EHI52_RS02285
OG0000192	MYF_RS01965	EHI52_RS01280
OG0000193	MYF_RS01980	EHI52_RS01270
OG0000194	MYF_RS01990	EHI52_RS00690
OG0000195	MYF_RS01995	EHI52_RS00695
OG0000196	MYF_RS02015	EHI52_RS00715
OG0000197	MYF_RS02020	EHI52_RS00720
OG0000198	MYF_RS02035	EHI52_RS00735
OG0000199	MYF_RS02040	EHI52_RS00740
OG0000200	MYF_RS02050	EHI52_RS00755
OG0000201	MYF_RS02060	EHI52_RS00765
OG0000202	MYF_RS02115	EHI52_RS00820
OG0000203	MYF_RS02120	EHI52_RS00825
OG0000204	MYF_RS02125	EHI52_RS00830
OG0000205	MYF_RS02130	EHI52_RS00835
OG0000206	MYF_RS02150	EHI52_RS00855
OG0000207	MYF_RS02165	EHI52_RS00870
OG0000208	MYF_RS02170	EHI52_RS00875
OG0000209	MYF_RS02175	EHI52_RS00880
OG0000210	MYF_RS02220	EHI52_RS00925
OG0000211	MYF_RS02230	EHI52_RS01005
OG0000212	MYF_RS02240	EHI52_RS01015
OG0000213	MYF_RS02245	EHI52_RS01020
OG0000214	MYF_RS02250	EHI52_RS01025
OG0000215	MYF_RS02255	EHI52_RS01030
OG0000216	MYF_RS02260	EHI52_RS01035
OG0000217	MYF_RS02265	EHI52_RS01040
OG0000218	MYF_RS02275	EHI52_RS01050
OG0000219	MYF_RS02280	EHI52_RS01055
OG0000220	MYF_RS02285	EHI52_RS01060
OG0000221	MYF_RS02290	EHI52_RS01065
OG0000222	MYF_RS03240	EHI52_RS01070
OG0000223	MYF_RS02295	EHI52_RS01075
OG0000224	MYF_RS02305	EHI52_RS01085
OG0000225	MYF_RS02315	EHI52_RS01095
OG0000226	MYF_RS02320	EHI52_RS01100
OG0000227	MYF_RS02325	EHI52_RS01105
OG0000228	MYF_RS03530	EHI52_RS03905
OG0000229	MYF_RS02335	EHI52_RS01115
OG0000230	MYF_RS02340	EHI52_RS01120
OG0000231	MYF_RS02350	EHI52_RS01130
OG0000232	MYF_RS02360	EHI52_RS01140
OG0000233	MYF_RS02370	EHI52_RS01165
OG0000234	MYF_RS02400	EHI52_RS01200
OG0000235	MYF_RS02410	EHI52_RS01210
OG0000236	MYF_RS02415	EHI52_RS01215
OG0000237	MYF_RS02430	EHI52_RS01220
OG0000238	MYF_RS02435	EHI52_RS01230
OG0000239	MYF_RS02465	EHI52_RS02935
OG0000240	MYF_RS02470	EHI52_RS02940
OG0000241	MYF_RS02480	EHI52_RS02950
OG0000242	MYF_RS02485	EHI52_RS02955
OG0000243	MYF_RS02490	EHI52_RS02960
OG0000244	MYF_RS02500	EHI52_RS02970
OG0000245	MYF_RS02510	EHI52_RS02980
OG0000246	MYF_RS00085	EHI52_RS00140
OG0000247	MYF_RS00095	EHI52_RS00150
OG0000248	MYF_RS00120	EHI52_RS00160
OG0000249	MYF_RS00125	EHI52_RS00165
OG0000250	MYF_RS00140	EHI52_RS00180
OG0000251	MYF_RS00170	EHI52_RS00215
OG0000252	MYF_RS00180	EHI52_RS00225
OG0000253	MYF_RS00185	EHI52_RS00230
OG0000254	MYF_RS00195	EHI52_RS00240
OG0000255	MYF_RS00205	EHI52_RS00250
OG0000256	MYF_RS00210	EHI52_RS00255
OG0000257	MYF_RS00235	EHI52_RS00280
OG0000258	MYF_RS00245	EHI52_RS00290
OG0000259	MYF_RS00275	EHI52_RS00320
OG0000260	MYF_RS00285	EHI52_RS00330
OG0000261	MYF_RS00295	EHI52_RS00340
OG0000262	MYF_RS00310	EHI52_RS00360
OG0000263	MYF_RS00325	EHI52_RS00375
OG0000264	MYF_RS00340	EHI52_RS00390
OG0000265	MYF_RS00350	EHI52_RS00400
OG0000266	MYF_RS00365	EHI52_RS00415
OG0000267	MYF_RS00380	EHI52_RS00430
OG0000268	MYF_RS00385	EHI52_RS00435
OG0000269	MYF_RS00400	EHI52_RS00450
OG0000270	MYF_RS02955	EHI52_RS03490
OG0000271	MYF_RS02950	EHI52_RS03485
OG0000272	MYF_RS02945	EHI52_RS03480
OG0000273	MYF_RS02940	EHI52_RS03475
OG0000274	MYF_RS02920	EHI52_RS03455
OG0000275	MYF_RS02915	EHI52_RS03450
OG0000276	MYF_RS02910	EHI52_RS03445
OG0000277	MYF_RS02900	EHI52_RS03435
OG0000278	MYF_RS02895	EHI52_RS03430
OG0000279	MYF_RS02885	EHI52_RS03420
OG0000280	MYF_RS02880	EHI52_RS03415
OG0000281	MYF_RS03275	EHI52_RS03410
OG0000282	MYF_RS02855	EHI52_RS03385
OG0000283	MYF_RS02850	EHI52_RS03380
OG0000284	MYF_RS02845	EHI52_RS03375
OG0000285	MYF_RS02840	EHI52_RS03370
OG0000286	MYF_RS01115	EHI52_RS02425
OG0000287	MYF_RS01090	EHI52_RS02515
OG0000288	MYF_RS01080	EHI52_RS02525
OG0000289	MYF_RS01075	EHI52_RS02530
OG0000290	MYF_RS00905	EHI52_RS02640
OG0000291	MYF_RS00915	EHI52_RS02630
OG0000292	MYF_RS00920	EHI52_RS02625
OG0000293	MYF_RS00925	EHI52_RS02620
OG0000294	MYF_RS00935	EHI52_RS02610
OG0000295	MYF_RS00940	EHI52_RS02605
OG0000296	MYF_RS01040	EHI52_RS02565
OG0000297	MYF_RS01045	EHI52_RS02560
OG0000298	MYF_RS00135	EHI52_RS00175
OG0000299	MYF_RS00155	EHI52_RS00200
OG0000300	MYF_RS00335	EHI52_RS00385
OG0000301	MYF_RS00370	EHI52_RS00420
OG0000302	MYF_RS00375	EHI52_RS00425
OG0000303	MYF_RS00515	EHI52_RS00575
OG0000304	MYF_RS00545	EHI52_RS01145
OG0000305	MYF_RS00690	EHI52_RS02870
OG0000306	MYF_RS00770	EHI52_RS02795
OG0000307	MYF_RS00810	EHI52_RS02760
OG0000308	MYF_RS00895	EHI52_RS02660
OG0000309	MYF_RS01005	EHI52_RS02595
OG0000310	MYF_RS01085	EHI52_RS02520
OG0000311	MYF_RS01140	EHI52_RS02485
OG0000312	MYF_RS01160	EHI52_RS02470
OG0000313	MYF_RS01210	EHI52_RS01655
OG0000314	MYF_RS01280	EHI52_RS01980
OG0000315	MYF_RS01310	EHI52_RS01950
OG0000316	MYF_RS01320	EHI52_RS01940
OG0000317	MYF_RS01360	EHI52_RS01850
OG0000318	MYF_RS01450	EHI52_RS01935
OG0000319	MYF_RS01555	EHI52_RS02240
OG0000320	MYF_RS01620	EHI52_RS02370
OG0000321	MYF_RS01685	EHI52_RS01395
OG0000322	MYF_RS01730	EHI52_RS01440
OG0000323	MYF_RS01860	EHI52_RS01570
OG0000324	MYF_RS01960	EHI52_RS02280
OG0000325	MYF_RS02000	EHI52_RS00700
OG0000326	MYF_RS02090	EHI52_RS00795
OG0000327	MYF_RS02095	EHI52_RS00800
OG0000328	MYF_RS02180	EHI52_RS00885
OG0000329	MYF_RS02200	EHI52_RS00905
OG0000330	MYF_RS02380	EHI52_RS01175
OG0000331	MYF_RS02495	EHI52_RS02965
OG0000332	MYF_RS02635	EHI52_RS03130
OG0000333	MYF_RS02645	EHI52_RS03140
OG0000334	MYF_RS02715	EHI52_RS03240
OG0000335	MYF_RS02725	EHI52_RS03250
OG0000336	MYF_RS02870	EHI52_RS03400
OG0000337	MYF_RS03105	EHI52_RS03575
OG0000338	MYF_RS03145	EHI52_RS03615
OG0000339	MYF_RS01640	EHI52_RS02340
OG0000340	MYF_RS01665	EHI52_RS01375
OG0000341	MYF_RS01940	EHI52_RS02300
OG0000342	MYF_RS02030	EHI52_RS00730
OG0000343	MYF_RS02655	EHI52_RS03150
OG0000344	MYF_RS00530	EHI52_RS00590
OG0000345	MYF_RS02310	EHI52_RS01090
OG0000346	MYF_RS02875	EHI52_RS03405
OG0000347	MYF_RS01755	EHI52_RS01465
OG0000348	MYF_RS02100	EHI52_RS00805
OG0000349	MYF_RS02930	EHI52_RS03465
OG0000350	MYF_RS03360	EHI52_RS02750
OG0000351	MYF_RS00465	EHI52_RS00510
OG0000352	MYF_RS01260	EHI52_RS02000
OG0000353	MYF_RS01725	EHI52_RS01435
OG0000354	MYF_RS00580	EHI52_RS00650
OG0000355	MYF_RS01235	EHI52_RS02030
OG0000356	MYF_RS01315	EHI52_RS01945
OG0000357	MYF_RS02615	EHI52_RS03110
OG0000358	MYF_RS02620	EHI52_RS03115
OG0000359	MYF_RS02070	EHI52_RS00775
OG0000360	MYF_RS00240	EHI52_RS00285
OG0000361	MYF_RS00270	EHI52_RS00315
OG0000362	MYF_RS01065	EHI52_RS02540
OG0000363	MYF_RS01795	EHI52_RS01505
OG0000365	MYF_RS01420	EHI52_RS01905
OG0000366	MYF_RS01390	EHI52_RS01880
OG0000367	MYF_RS01380	EHI52_RS01870
OG0000368	MYF_RS00060	EHI52_RS00060
OG0000369	MYF_RS00025	EHI52_RS00025
OG0000370	MYF_RS00020	EHI52_RS00020
OG0000371	MYF_RS00015	EHI52_RS00015
OG0000372	MYF_RS00010	EHI52_RS00010
OG0000373	MYF_RS03135	EHI52_RS03605
OG0000374	MYF_RS03125	EHI52_RS03595
OG0000375	MYF_RS01550	EHI52_RS02235
OG0000376	MYF_RS01605	EHI52_RS02385
OG0000377	MYF_RS01615	EHI52_RS02375
OG0000378	MYF_RS01650	EHI52_RS01355
OG0000379	MYF_RS01720	EHI52_RS01430
OG0000380	MYF_RS01745	EHI52_RS01455
OG0000381	MYF_RS01785	EHI52_RS01495
OG0000382	MYF_RS01815	EHI52_RS01525
OG0000383	MYF_RS01855	EHI52_RS01565
OG0000384	MYF_RS00470	EHI52_RS00530
OG0000385	MYF_RS00475	EHI52_RS00535
OG0000386	MYF_RS00495	EHI52_RS00555
OG0000387	MYF_RS00520	EHI52_RS00580
OG0000388	MYF_RS00525	EHI52_RS00585
OG0000389	MYF_RS00560	EHI52_RS00630
OG0000390	MYF_RS00670	EHI52_RS02890
OG0000391	MYF_RS00680	EHI52_RS02880
OG0000392	MYF_RS00705	EHI52_RS02855
OG0000393	MYF_RS00760	EHI52_RS02800
OG0000394	MYF_RS00825	EHI52_RS02725
OG0000395	MYF_RS00830	EHI52_RS02720
OG0000396	MYF_RS01200	EHI52_RS02430
OG0000397	MYF_RS01245	EHI52_RS02015
OG0000398	MYF_RS01250	EHI52_RS02010
OG0000399	MYF_RS01295	EHI52_RS01965
OG0000400	MYF_RS02580	EHI52_RS03070
OG0000401	MYF_RS02640	EHI52_RS03135
OG0000402	MYF_RS02650	EHI52_RS03145
OG0000403	MYF_RS02660	EHI52_RS03155
OG0000404	MYF_RS02685	EHI52_RS03185
OG0000405	MYF_RS02700	EHI52_RS03200
OG0000406	MYF_RS02730	EHI52_RS03255
OG0000407	MYF_RS02735	EHI52_RS03260
OG0000408	MYF_RS02740	EHI52_RS03265
OG0000409	MYF_RS02745	EHI52_RS03270
OG0000410	MYF_RS02780	EHI52_RS03330
OG0000411	MYF_RS02790	EHI52_RS03320
OG0000412	MYF_RS02795	EHI52_RS03315
OG0000413	MYF_RS01890	EHI52_RS01580
OG0000414	MYF_RS01900	EHI52_RS01590
OG0000415	MYF_RS01905	EHI52_RS01595
OG0000416	MYF_RS01915	EHI52_RS01605
OG0000417	MYF_RS01945	EHI52_RS02295
OG0000418	MYF_RS01950	EHI52_RS02290
OG0000419	MYF_RS02010	EHI52_RS00710
OG0000420	MYF_RS02045	EHI52_RS00745
OG0000421	MYF_RS02075	EHI52_RS00780
OG0000422	MYF_RS02085	EHI52_RS00790
OG0000423	MYF_RS02140	EHI52_RS00845
OG0000424	MYF_RS02145	EHI52_RS00850
OG0000425	MYF_RS02155	EHI52_RS00860
OG0000426	MYF_RS02160	EHI52_RS00865
OG0000427	MYF_RS02185	EHI52_RS00890
OG0000428	MYF_RS02210	EHI52_RS00915
OG0000429	MYF_RS02300	EHI52_RS01080
OG0000430	MYF_RS02345	EHI52_RS01125
OG0000431	MYF_RS02355	EHI52_RS01135
OG0000432	MYF_RS02375	EHI52_RS01170
OG0000433	MYF_RS02385	EHI52_RS01185
OG0000434	MYF_RS02390	EHI52_RS01190
OG0000435	MYF_RS02405	EHI52_RS01205
OG0000436	MYF_RS02440	EHI52_RS01235
OG0000437	MYF_RS02450	EHI52_RS01245
OG0000438	MYF_RS02455	EHI52_RS01250
OG0000439	MYF_RS02460	EHI52_RS01255
OG0000440	MYF_RS02475	EHI52_RS02945
OG0000441	MYF_RS02515	EHI52_RS02985
OG0000442	MYF_RS00090	EHI52_RS00145
OG0000443	MYF_RS00150	EHI52_RS00195
OG0000444	MYF_RS00165	EHI52_RS00210
OG0000445	MYF_RS00190	EHI52_RS00235
OG0000446	MYF_RS00220	EHI52_RS00265
OG0000447	MYF_RS00225	EHI52_RS00270
OG0000448	MYF_RS00255	EHI52_RS00300
OG0000449	MYF_RS00280	EHI52_RS00325
OG0000450	MYF_RS00290	EHI52_RS00335
OG0000451	MYF_RS00330	EHI52_RS00380
OG0000452	MYF_RS00355	EHI52_RS00405
OG0000453	MYF_RS00390	EHI52_RS00440
OG0000455	MYF_RS02975	EHI52_RS03510
OG0000456	MYF_RS02860	EHI52_RS03390
OG0000457	MYF_RS02835	EHI52_RS03365
OG0000458	MYF_RS01095	EHI52_RS02510
OG0000459	MYF_RS01070	EHI52_RS02535
OG0000460	MYF_RS01060	EHI52_RS02545
OG0000461	MYF_RS01010	EHI52_RS02590
OG0000462	MYF_RS01015	EHI52_RS02585
OG0000463	MYF_RS01020	EHI52_RS02580
OG0000464	MYF_RS01030	EHI52_RS02575
OG0000465	MYF_RS01035	EHI52_RS02570
OG0000466	MYF_RS00360	EHI52_RS00410
OG0000467	MYF_RS03505	EHI52_RS02670
OG0000468	MYF_RS01290	EHI52_RS01970
OG0000469	MYF_RS01425	EHI52_RS01910
OG0000470	MYF_RS02135	EHI52_RS03650
OG0000471	MYF_RS02215	EHI52_RS00920
OG0000472	MYF_RS03535	EHI52_RS03340
OG0000473	MYF_RS02960	EHI52_RS03495
OG0000474	MYF_RS02965	EHI52_RS03500
OG0000475	MYF_RS02970	EHI52_RS03505
OG0000476	MYF_RS03040	EHI52_RS01615
OG0000477	MYF_RS00930	EHI52_RS02615
OG0000478	MYF_RS02905	EHI52_RS03440
OG0000479	MYF_RS01680	EHI52_RS01390
OG0000480	MYF_RS03350	EHI52_RS03665
OG0000481	MYF_RS02110	EHI52_RS00815
OG0000482	MYF_RS01975	EHI52_RS01275
OG0000483	MYF_RS01375	EHI52_RS01865
OG0000484	MYF_RS00160	EHI52_RS00205
OG0000485	MYF_RS02445	EHI52_RS01240
OG0000486	MYF_RS01925	EHI52_RS02315
OG0000487	MYF_RS01445	EHI52_RS01930
OG0000488	MYF_RS01405	EHI52_RS01895
OG0000489	MYF_RS00050	EHI52_RS00050
OG0000490	MYF_RS03140	EHI52_RS03610
OG0000491	MYF_RS01700	EHI52_RS01410
OG0000492	MYF_RS01775	EHI52_RS01485
OG0000493	MYF_RS00535	EHI52_RS00595
OG0000494	MYF_RS00585	EHI52_RS00655
OG0000495	MYF_RS00735	EHI52_RS02825
OG0000496	MYF_RS00745	EHI52_RS02815
OG0000497	MYF_RS00750	EHI52_RS02810
OG0000498	MYF_RS00820	EHI52_RS02730
OG0000499	MYF_RS00865	EHI52_RS02695
OG0000500	MYF_RS01255	EHI52_RS02005
OG0000501	MYF_RS02590	EHI52_RS03080
OG0000502	MYF_RS01985	EHI52_RS01265
OG0000503	MYF_RS02055	EHI52_RS00760
OG0000504	MYF_RS02190	EHI52_RS00895
OG0000505	MYF_RS02225	EHI52_RS01000
OG0000506	MYF_RS02235	EHI52_RS01010
OG0000507	MYF_RS02270	EHI52_RS01045
OG0000508	MYF_RS00215	EHI52_RS00260
OG0000509	MYF_RS00250	EHI52_RS00295
OG0000510	MYF_RS00260	EHI52_RS00305
OG0000511	MYF_RS00395	EHI52_RS00445
OG0000512	MYF_RS01055	EHI52_RS02550
OG0000513	MYF_RS02890	EHI52_RS03425
OG0000514	MYF_RS00710	EHI52_RS02850
OG0000516	MYF_RS01440	EHI52_RS01925
OG0000517	MYF_RS00065	EHI52_RS00065
OG0000518	MYF_RS02630	EHI52_RS03125
OG0000519	MYF_RS02080	EHI52_RS00785
OG0000520	MYF_RS02205	EHI52_RS00910
OG0000521	MYF_RS00230	EHI52_RS00275
OG0000522	MYF_RS00265	EHI52_RS00310
OG0000523	MYF_RS02830	EHI52_RS03360
OG0000524	MYF_RS00890	EHI52_RS02665
OG0000528	MYF_RS01435	EHI52_RS01920
OG0000529	MYF_RS01565	EHI52_RS02250
OG0000530	MYF_RS01630	EHI52_RS02355
OG0000531	MYF_RS01750	EHI52_RS01460
OG0000532	MYF_RS00620	EHI52_RS01685
OG0000534	MYF_RS00345	EHI52_RS00395
OG0000535	MYF_RS00045	EHI52_RS00045
OG0000536	MYF_RS03070	EHI52_RS03545
OG0000537	MYF_RS02025	EHI52_RS00725
OG0000538	MYF_RS02395	EHI52_RS01195
OG0000539	MYF_RS00175	EHI52_RS00220
OG0000540	MYF_RS00910	EHI52_RS02635
OG0000541	MYF_RS00850	EHI52_RS02710
OG0000542	MYF_RS00315	EHI52_RS00365
OG0000547	MYF_RS00660	EHI52_RS02900
OG0000548	MYF_RS01205	EHI52_RS01650
OG0000549	MYF_RS02805	EHI52_RS03335
OG0000550	MYF_RS02925	EHI52_RS03460
OG0000551	MYF_RS02505	EHI52_RS02975
OG0000555	MYF_RS03410	EHI52_RS03850
OG0000589	MYF_RS03220	EHI52_RS00950
OG0000595	MYF_RS02570	EHI52_RS03000
OG0000596	MYF_RS00110	EHI52_RS01785
OG0000598	MYF_RS00105	EHI52_RS01790
OG0000599	MYF_RS00100	EHI52_RS01795
OG0000602	MYF_RS01415	EHI52_RS01900
