Orthogroup	MFC_Ms42_genes	MHP_133A_genes
OG0000048	MYF_RS01350	NB626_RS02235
OG0000049	MYF_RS03265, MYF_RS03455	NB626_RS03235
OG0000050	MYF_RS01180	NB626_RS02625
OG0000051	MYF_RS02420	NB626_RS02835
OG0000052	MYF_RS00075	NB626_RS00075
OG0000053	MYF_RS01800	NB626_RS01570
OG0000054	MYF_RS01155	NB626_RS02650
OG0000055	MYF_RS03395, MYF_RS03525	NB626_RS00135
OG0000056	MYF_RS03060	NB626_RS03740
OG0000057	MYF_RS00645	NB626_RS03105
OG0000062	MYF_RS03115	NB626_RS03790
OG0000063	MYF_RS03110	NB626_RS03785
OG0000064	MYF_RS03100	NB626_RS03775
OG0000065	MYF_RS01575	NB626_RS02405
OG0000066	MYF_RS01705	NB626_RS01470
OG0000068	MYF_RS00590	NB626_RS00745
OG0000069	MYF_RS00755	NB626_RS03000
OG0000070	MYF_RS01135	NB626_RS02655
OG0000071	MYF_RS02760	NB626_RS03460
OG0000072	MYF_RS02765	NB626_RS03465
OG0000073	MYF_RS02005	NB626_RS00810
OG0000074	MYF_RS02195	NB626_RS01025
OG0000076	MYF_RS00320	NB626_RS00355
OG0000077	MYF_RS00410	NB626_RS00540
OG0000079	MYF_RS01050	NB626_RS02740
OG0000080	MYF_RS01000, MYF_RS03365	NB626_RS02790
OG0000081	MYF_RS00300	NB626_RS00335
OG0000083	MYF_RS01430	NB626_RS02155
OG0000084	MYF_RS01400	NB626_RS02185
OG0000085	MYF_RS01395	NB626_RS02190
OG0000086	MYF_RS01385	NB626_RS02200
OG0000087	MYF_RS01370	NB626_RS02215
OG0000088	MYF_RS01365	NB626_RS02220
OG0000089	MYF_RS01355	NB626_RS02230
OG0000090	MYF_RS00070	NB626_RS00070
OG0000091	MYF_RS00055	NB626_RS00055
OG0000092	MYF_RS00040	NB626_RS00045
OG0000093	MYF_RS00035	NB626_RS00035
OG0000094	MYF_RS00030	NB626_RS00030
OG0000095	MYF_RS00005	NB626_RS00005
OG0000096	MYF_RS03150	NB626_RS03825
OG0000097	MYF_RS03130	NB626_RS03805
OG0000098	MYF_RS03120	NB626_RS03795
OG0000099	MYF_RS03065	NB626_RS03745
OG0000100	MYF_RS03050	NB626_RS03730
OG0000101	MYF_RS03045	NB626_RS03725
OG0000102	MYF_RS03035	NB626_RS01820
OG0000103	MYF_RS01540	NB626_RS02370
OG0000104	MYF_RS01545	NB626_RS02375
OG0000105	MYF_RS01560	NB626_RS02395
OG0000106	MYF_RS01570	NB626_RS02400
OG0000107	MYF_RS01580	NB626_RS02410
OG0000108	MYF_RS01585	NB626_RS02415
OG0000109	MYF_RS01590	NB626_RS02420
OG0000110	MYF_RS01595	NB626_RS02550
OG0000111	MYF_RS01600	NB626_RS02545
OG0000112	MYF_RS01610	NB626_RS02535
OG0000113	MYF_RS01625	NB626_RS02510
OG0000114	MYF_RS01635	NB626_RS02500
OG0000115	MYF_RS01645	NB626_RS02490
OG0000116	MYF_RS01655	NB626_RS01415
OG0000117	MYF_RS01660	NB626_RS01420
OG0000118	MYF_RS01690	NB626_RS01455
OG0000119	MYF_RS01695	NB626_RS01460
OG0000120	MYF_RS01710	NB626_RS01475
OG0000121	MYF_RS01735	NB626_RS01505
OG0000122	MYF_RS01740	NB626_RS01510
OG0000123	MYF_RS01760	NB626_RS01530
OG0000124	MYF_RS01765	NB626_RS01535
OG0000125	MYF_RS01770	NB626_RS01540
OG0000126	MYF_RS01780	NB626_RS01550
OG0000127	MYF_RS01790	NB626_RS01560
OG0000128	MYF_RS01805	NB626_RS01575
OG0000129	MYF_RS01810	NB626_RS01580
OG0000130	MYF_RS01820	NB626_RS01590
OG0000131	MYF_RS01850	NB626_RS01620
OG0000132	MYF_RS01865	NB626_RS01635
OG0000133	MYF_RS00485	NB626_RS00630
OG0000134	MYF_RS00490	NB626_RS00635
OG0000135	MYF_RS00505	NB626_RS00650
OG0000136	MYF_RS00510	NB626_RS00655
OG0000137	MYF_RS00540	NB626_RS00685
OG0000138	MYF_RS00565	NB626_RS00720
OG0000139	MYF_RS00595	NB626_RS00750
OG0000140	MYF_RS00600	NB626_RS00755
OG0000141	MYF_RS00635	NB626_RS03115
OG0000142	MYF_RS00640	NB626_RS03110
OG0000143	MYF_RS00665	NB626_RS03095
OG0000144	MYF_RS00675	NB626_RS03080
OG0000145	MYF_RS00685	NB626_RS03070
OG0000146	MYF_RS00695	NB626_RS03060
OG0000147	MYF_RS00700	NB626_RS03055
OG0000148	MYF_RS00715	NB626_RS03040
OG0000149	MYF_RS00725	NB626_RS03030
OG0000150	MYF_RS00740	NB626_RS03025
OG0000151	MYF_RS00795	NB626_RS02965
OG0000152	MYF_RS00800	NB626_RS02960
OG0000153	MYF_RS00805	NB626_RS02955
OG0000154	MYF_RS00815	NB626_RS02945
OG0000155	MYF_RS00835	NB626_RS02905
OG0000156	MYF_RS00855	NB626_RS02895
OG0000157	MYF_RS00860	NB626_RS02890
OG0000158	MYF_RS00870	NB626_RS02880
OG0000159	MYF_RS01165	NB626_RS02640
OG0000160	MYF_RS01170	NB626_RS02635
OG0000161	MYF_RS01175	NB626_RS02630
OG0000162	MYF_RS01185	NB626_RS02620
OG0000163	MYF_RS01190	NB626_RS02615
OG0000164	MYF_RS01220	NB626_RS01715
OG0000165	MYF_RS01265	NB626_RS02075
OG0000166	MYF_RS01285	NB626_RS02090
OG0000167	MYF_RS01300	NB626_RS02105
OG0000168	MYF_RS01305	NB626_RS02110
OG0000169	MYF_RS02560	NB626_RS03230
OG0000170	MYF_RS02585	NB626_RS03245
OG0000171	MYF_RS02595	NB626_RS03255
OG0000172	MYF_RS02600	NB626_RS03260
OG0000173	MYF_RS02605	NB626_RS03265
OG0000174	MYF_RS02610	NB626_RS03270
OG0000175	MYF_RS02625	NB626_RS03290
OG0000176	MYF_RS02670	NB626_RS03345
OG0000177	MYF_RS02675	NB626_RS03350
OG0000178	MYF_RS02680	NB626_RS03355
OG0000179	MYF_RS02690	NB626_RS03365
OG0000180	MYF_RS02695	NB626_RS03370
OG0000181	MYF_RS02710	NB626_RS03410
OG0000182	MYF_RS02720	NB626_RS03420
OG0000183	MYF_RS02755	NB626_RS03455
OG0000184	MYF_RS02785	NB626_RS03500
OG0000185	MYF_RS02800	NB626_RS03485
OG0000186	MYF_RS01895	NB626_RS01645
OG0000187	MYF_RS01910	NB626_RS01660
OG0000188	MYF_RS01920	NB626_RS01670
OG0000189	MYF_RS01930	NB626_RS02460
OG0000190	MYF_RS01935	NB626_RS02455
OG0000191	MYF_RS01955	NB626_RS02430
OG0000192	MYF_RS01965	NB626_RS01335
OG0000193	MYF_RS01980	NB626_RS01320
OG0000194	MYF_RS01990	NB626_RS00790
OG0000195	MYF_RS01995	NB626_RS00795
OG0000196	MYF_RS02015	NB626_RS00820
OG0000197	MYF_RS02020	NB626_RS00830
OG0000198	MYF_RS02035	NB626_RS00840
OG0000199	MYF_RS02040	NB626_RS00845
OG0000200	MYF_RS02050	NB626_RS00860
OG0000201	MYF_RS02060	NB626_RS00870
OG0000202	MYF_RS02115	NB626_RS00940
OG0000203	MYF_RS02120	NB626_RS00945
OG0000204	MYF_RS02125	NB626_RS00950
OG0000205	MYF_RS02130	NB626_RS00955
OG0000206	MYF_RS02150	NB626_RS00975
OG0000207	MYF_RS02165	NB626_RS00990
OG0000208	MYF_RS02170	NB626_RS00995
OG0000209	MYF_RS02175	NB626_RS01000
OG0000210	MYF_RS02220	NB626_RS01050
OG0000211	MYF_RS02230	NB626_RS01065
OG0000212	MYF_RS02240	NB626_RS01070
OG0000213	MYF_RS02245	NB626_RS01075
OG0000214	MYF_RS02250	NB626_RS01080
OG0000215	MYF_RS02255	NB626_RS01085
OG0000216	MYF_RS02260	NB626_RS01090
OG0000217	MYF_RS02265	NB626_RS01095
OG0000218	MYF_RS02275	NB626_RS01105
OG0000219	MYF_RS02280	NB626_RS01110
OG0000220	MYF_RS02285	NB626_RS01115
OG0000221	MYF_RS02290	NB626_RS01120
OG0000222	MYF_RS03240	NB626_RS01125
OG0000223	MYF_RS02295	NB626_RS01130
OG0000224	MYF_RS02305	NB626_RS01140
OG0000225	MYF_RS02315	NB626_RS01150
OG0000226	MYF_RS02320	NB626_RS01155
OG0000227	MYF_RS02325	NB626_RS01160
OG0000228	MYF_RS03530	NB626_RS01165
OG0000229	MYF_RS02335	NB626_RS01170
OG0000230	MYF_RS02340	NB626_RS01180
OG0000231	MYF_RS02350	NB626_RS01185
OG0000232	MYF_RS02360	NB626_RS01195
OG0000233	MYF_RS02370	NB626_RS01215
OG0000234	MYF_RS02400	NB626_RS01250
OG0000235	MYF_RS02410	NB626_RS01260
OG0000236	MYF_RS02415	NB626_RS01265
OG0000237	MYF_RS02430	NB626_RS01270
OG0000238	MYF_RS02435	NB626_RS01275
OG0000239	MYF_RS02465	NB626_RS03125
OG0000240	MYF_RS02470	NB626_RS03130
OG0000241	MYF_RS02480	NB626_RS03140
OG0000242	MYF_RS02485	NB626_RS03145
OG0000243	MYF_RS02490	NB626_RS03150
OG0000244	MYF_RS02500	NB626_RS03160
OG0000245	MYF_RS02510	NB626_RS03170
OG0000246	MYF_RS00085	NB626_RS00140
OG0000247	MYF_RS00095	NB626_RS00150
OG0000248	MYF_RS00120	NB626_RS00160
OG0000249	MYF_RS00125	NB626_RS00165
OG0000250	MYF_RS00140	NB626_RS00180
OG0000251	MYF_RS00170	NB626_RS00215
OG0000252	MYF_RS00180	NB626_RS00220
OG0000253	MYF_RS00185	NB626_RS00225
OG0000254	MYF_RS00195	NB626_RS00235
OG0000255	MYF_RS00205	NB626_RS00240
OG0000256	MYF_RS00210	NB626_RS00250
OG0000257	MYF_RS00235	NB626_RS00270
OG0000258	MYF_RS00245	NB626_RS00280
OG0000259	MYF_RS00275	NB626_RS00310
OG0000260	MYF_RS00285	NB626_RS00320
OG0000261	MYF_RS00295	NB626_RS00330
OG0000262	MYF_RS00310	NB626_RS00350
OG0000263	MYF_RS00325	NB626_RS00365
OG0000264	MYF_RS00340	NB626_RS00380
OG0000265	MYF_RS00350	NB626_RS00390
OG0000266	MYF_RS00365	NB626_RS00405
OG0000267	MYF_RS00380	NB626_RS00420
OG0000268	MYF_RS00385	NB626_RS00520
OG0000269	MYF_RS00400	NB626_RS00535
OG0000270	MYF_RS02955	NB626_RS03700
OG0000271	MYF_RS02950	NB626_RS03695
OG0000272	MYF_RS02945	NB626_RS03690
OG0000273	MYF_RS02940	NB626_RS03685
OG0000274	MYF_RS02920	NB626_RS03670
OG0000275	MYF_RS02915	NB626_RS03660
OG0000276	MYF_RS02910	NB626_RS03655
OG0000277	MYF_RS02900	NB626_RS03645
OG0000278	MYF_RS02895	NB626_RS03640
OG0000279	MYF_RS02885	NB626_RS03630
OG0000280	MYF_RS02880	NB626_RS03620
OG0000281	MYF_RS03275	NB626_RS03615
OG0000282	MYF_RS02855	NB626_RS03590
OG0000283	MYF_RS02850	NB626_RS03585
OG0000284	MYF_RS02845	NB626_RS03580
OG0000285	MYF_RS02840	NB626_RS03575
OG0000286	MYF_RS01115	NB626_RS02600
OG0000287	MYF_RS01090	NB626_RS02700
OG0000288	MYF_RS01080	NB626_RS02710
OG0000289	MYF_RS01075	NB626_RS02715
OG0000290	MYF_RS00905	NB626_RS02830
OG0000291	MYF_RS00915	NB626_RS02820
OG0000292	MYF_RS00920	NB626_RS02815
OG0000293	MYF_RS00925	NB626_RS02810
OG0000294	MYF_RS00935	NB626_RS02800
OG0000295	MYF_RS00940	NB626_RS02795
OG0000296	MYF_RS01040	NB626_RS02750
OG0000297	MYF_RS01045	NB626_RS02745
OG0000298	MYF_RS00135	NB626_RS00175
OG0000299	MYF_RS00155	NB626_RS00195
OG0000300	MYF_RS00335	NB626_RS00375
OG0000301	MYF_RS00370	NB626_RS00410
OG0000302	MYF_RS00375	NB626_RS00415
OG0000303	MYF_RS00515	NB626_RS00660
OG0000304	MYF_RS00545	NB626_RS01200
OG0000305	MYF_RS00690	NB626_RS03065
OG0000306	MYF_RS00770	NB626_RS02990
OG0000307	MYF_RS00810	NB626_RS02950
OG0000308	MYF_RS00895	NB626_RS02850
OG0000309	MYF_RS01005	NB626_RS02785
OG0000310	MYF_RS01085	NB626_RS02705
OG0000311	MYF_RS01140	NB626_RS02660
OG0000312	MYF_RS01160	NB626_RS02645
OG0000313	MYF_RS01210	NB626_RS01705
OG0000314	MYF_RS01280	NB626_RS02085
OG0000315	MYF_RS01310	NB626_RS02115
OG0000316	MYF_RS01320	NB626_RS02125
OG0000317	MYF_RS01360	NB626_RS02225
OG0000318	MYF_RS01450	NB626_RS02130
OG0000319	MYF_RS01555	NB626_RS02385
OG0000320	MYF_RS01620	NB626_RS02525
OG0000321	MYF_RS01685	NB626_RS01450
OG0000322	MYF_RS01730	NB626_RS01500
OG0000323	MYF_RS01860	NB626_RS01630
OG0000324	MYF_RS01960	NB626_RS02425
OG0000325	MYF_RS02000	NB626_RS00805
OG0000326	MYF_RS02090	NB626_RS00910
OG0000327	MYF_RS02095	NB626_RS00915
OG0000328	MYF_RS02180	NB626_RS01005
OG0000329	MYF_RS02200	NB626_RS01035
OG0000330	MYF_RS02380	NB626_RS01225
OG0000331	MYF_RS02495	NB626_RS03155
OG0000332	MYF_RS02635	NB626_RS03300
OG0000333	MYF_RS02645	NB626_RS03310
OG0000334	MYF_RS02715	NB626_RS03415
OG0000335	MYF_RS02725	NB626_RS03425
OG0000336	MYF_RS02870	NB626_RS03605
OG0000337	MYF_RS03105	NB626_RS03780
OG0000338	MYF_RS03145	NB626_RS03820
OG0000339	MYF_RS01640	NB626_RS02495
OG0000340	MYF_RS01665	NB626_RS01430
OG0000341	MYF_RS01940	NB626_RS02450
OG0000342	MYF_RS02030	NB626_RS00835
OG0000343	MYF_RS02655	NB626_RS03320
OG0000344	MYF_RS00530	NB626_RS00675
OG0000345	MYF_RS02310	NB626_RS01145
OG0000346	MYF_RS02875	NB626_RS03610
OG0000347	MYF_RS01755	NB626_RS01525
OG0000348	MYF_RS02100	NB626_RS00920
OG0000349	MYF_RS02930	NB626_RS03675
OG0000350	MYF_RS03360	NB626_RS02940
OG0000351	MYF_RS00465	NB626_RS00590
OG0000352	MYF_RS01260	NB626_RS02065
OG0000353	MYF_RS01725	NB626_RS01490
OG0000354	MYF_RS00580	NB626_RS00735
OG0000355	MYF_RS01235	NB626_RS02040
OG0000356	MYF_RS01315	NB626_RS02120
OG0000357	MYF_RS02615	NB626_RS03275
OG0000358	MYF_RS02620	NB626_RS03280
OG0000359	MYF_RS02070	NB626_RS00880
OG0000360	MYF_RS00240	NB626_RS00275
OG0000361	MYF_RS00270	NB626_RS00305
OG0000362	MYF_RS01065	NB626_RS02725
OG0000363	MYF_RS01795	NB626_RS01565
OG0000365	MYF_RS01420	NB626_RS02175
OG0000366	MYF_RS01390	NB626_RS02195
OG0000367	MYF_RS01380	NB626_RS02205
OG0000368	MYF_RS00060	NB626_RS00060
OG0000369	MYF_RS00025	NB626_RS00025
OG0000370	MYF_RS00020	NB626_RS00020
OG0000371	MYF_RS00015	NB626_RS00015
OG0000372	MYF_RS00010	NB626_RS00010
OG0000373	MYF_RS03135	NB626_RS03810
OG0000374	MYF_RS03125	NB626_RS03800
OG0000375	MYF_RS01550	NB626_RS02380
OG0000376	MYF_RS01605	NB626_RS02540
OG0000377	MYF_RS01615	NB626_RS02530
OG0000379	MYF_RS01720	NB626_RS01485
OG0000380	MYF_RS01745	NB626_RS01520
OG0000381	MYF_RS01785	NB626_RS01555
OG0000382	MYF_RS01815	NB626_RS01585
OG0000383	MYF_RS01855	NB626_RS01625
OG0000384	MYF_RS00470	NB626_RS00615
OG0000385	MYF_RS00475	NB626_RS00625
OG0000386	MYF_RS00495	NB626_RS00640
OG0000387	MYF_RS00520	NB626_RS00665
OG0000388	MYF_RS00525	NB626_RS00670
OG0000389	MYF_RS00560	NB626_RS00715
OG0000390	MYF_RS00670	NB626_RS03085
OG0000391	MYF_RS00680	NB626_RS03075
OG0000392	MYF_RS00705	NB626_RS03050
OG0000393	MYF_RS00760	NB626_RS02995
OG0000394	MYF_RS00825	NB626_RS02915
OG0000395	MYF_RS00830	NB626_RS02910
OG0000396	MYF_RS01200	NB626_RS02605
OG0000397	MYF_RS01245	NB626_RS02050
OG0000398	MYF_RS01250	NB626_RS02060
OG0000399	MYF_RS01295	NB626_RS02100
OG0000400	MYF_RS02580	NB626_RS03240
OG0000401	MYF_RS02640	NB626_RS03305
OG0000402	MYF_RS02650	NB626_RS03315
OG0000403	MYF_RS02660	NB626_RS03325
OG0000404	MYF_RS02685	NB626_RS03360
OG0000405	MYF_RS02700	NB626_RS03375
OG0000406	MYF_RS02730	NB626_RS03430
OG0000407	MYF_RS02735	NB626_RS03435
OG0000408	MYF_RS02740	NB626_RS03440
OG0000409	MYF_RS02745	NB626_RS03445
OG0000410	MYF_RS02780	NB626_RS03510
OG0000411	MYF_RS02790	NB626_RS03495
OG0000412	MYF_RS02795	NB626_RS03490
OG0000413	MYF_RS01890	NB626_RS01640
OG0000414	MYF_RS01900	NB626_RS01650
OG0000415	MYF_RS01905	NB626_RS01655
OG0000416	MYF_RS01915	NB626_RS01665
OG0000417	MYF_RS01945	NB626_RS02445
OG0000418	MYF_RS01950	NB626_RS02435
OG0000419	MYF_RS02010	NB626_RS00815
OG0000420	MYF_RS02045	NB626_RS00850
OG0000421	MYF_RS02075	NB626_RS00895
OG0000422	MYF_RS02085	NB626_RS00905
OG0000423	MYF_RS02140	NB626_RS00965
OG0000424	MYF_RS02145	NB626_RS00970
OG0000425	MYF_RS02155	NB626_RS00980
OG0000426	MYF_RS02160	NB626_RS00985
OG0000427	MYF_RS02185	NB626_RS01010
OG0000428	MYF_RS02210	NB626_RS01040
OG0000429	MYF_RS02300	NB626_RS01135
OG0000431	MYF_RS02355	NB626_RS01190
OG0000432	MYF_RS02375	NB626_RS01220
OG0000433	MYF_RS02385	NB626_RS01235
OG0000434	MYF_RS02390	NB626_RS01245
OG0000435	MYF_RS02405	NB626_RS01255
OG0000436	MYF_RS02440	NB626_RS01280
OG0000437	MYF_RS02450	NB626_RS01290
OG0000438	MYF_RS02455	NB626_RS01295
OG0000439	MYF_RS02460	NB626_RS01300
OG0000440	MYF_RS02475	NB626_RS03135
OG0000441	MYF_RS02515	NB626_RS03180
OG0000442	MYF_RS00090	NB626_RS00145
OG0000443	MYF_RS00150	NB626_RS00190
OG0000444	MYF_RS00165	NB626_RS00205
OG0000445	MYF_RS00190	NB626_RS00230
OG0000446	MYF_RS00220	NB626_RS00255
OG0000447	MYF_RS00225	NB626_RS00265
OG0000448	MYF_RS00255	NB626_RS00290
OG0000449	MYF_RS00280	NB626_RS00315
OG0000450	MYF_RS00290	NB626_RS00325
OG0000451	MYF_RS00330	NB626_RS00370
OG0000452	MYF_RS00355	NB626_RS00395
OG0000453	MYF_RS00390	NB626_RS00525
OG0000454	MYF_RS03485	NB626_RS01685
OG0000455	MYF_RS02975	NB626_RS03720
OG0000456	MYF_RS02860	NB626_RS03595
OG0000457	MYF_RS02835	NB626_RS03565
OG0000458	MYF_RS01095	NB626_RS02695
OG0000459	MYF_RS01070	NB626_RS02720
OG0000460	MYF_RS01060	NB626_RS02730
OG0000461	MYF_RS01010	NB626_RS02775
OG0000462	MYF_RS01015	NB626_RS02770
OG0000463	MYF_RS01020	NB626_RS02765
OG0000464	MYF_RS01030	NB626_RS02760
OG0000465	MYF_RS01035	NB626_RS02755
OG0000466	MYF_RS00360	NB626_RS00400
OG0000467	MYF_RS03505	NB626_RS02860
OG0000468	MYF_RS01290	NB626_RS02095
OG0000469	MYF_RS01425	NB626_RS02160
OG0000470	MYF_RS02135	NB626_RS00960
OG0000471	MYF_RS02215	NB626_RS01045
OG0000472	MYF_RS03535	NB626_RS03515
OG0000473	MYF_RS02960	NB626_RS03705
OG0000474	MYF_RS02965	NB626_RS03710
OG0000475	MYF_RS02970	NB626_RS03715
OG0000476	MYF_RS03040	NB626_RS01675
OG0000477	MYF_RS00930	NB626_RS02805
OG0000478	MYF_RS02905	NB626_RS03650
OG0000479	MYF_RS01680	NB626_RS01445
OG0000480	MYF_RS03350	NB626_RS02165
OG0000481	MYF_RS02110	NB626_RS00935
OG0000482	MYF_RS01975	NB626_RS01325
OG0000483	MYF_RS01375	NB626_RS02210
OG0000484	MYF_RS00160	NB626_RS00200
OG0000485	MYF_RS02445	NB626_RS01285
OG0000486	MYF_RS01925	NB626_RS02465
OG0000487	MYF_RS01445	NB626_RS02150
OG0000488	MYF_RS01405	NB626_RS02180
OG0000489	MYF_RS00050	NB626_RS00050
OG0000490	MYF_RS03140	NB626_RS03815
OG0000491	MYF_RS01700	NB626_RS01465
OG0000492	MYF_RS01775	NB626_RS01545
OG0000493	MYF_RS00535	NB626_RS00680
OG0000494	MYF_RS00585	NB626_RS00740
OG0000496	MYF_RS00745	NB626_RS03010
OG0000497	MYF_RS00750	NB626_RS03005
OG0000498	MYF_RS00820	NB626_RS02920
OG0000499	MYF_RS00865	NB626_RS02885
OG0000501	MYF_RS02590	NB626_RS03250
OG0000502	MYF_RS01985	NB626_RS01315
OG0000503	MYF_RS02055	NB626_RS00865
OG0000504	MYF_RS02190	NB626_RS01015
OG0000505	MYF_RS02225	NB626_RS01055
OG0000507	MYF_RS02270	NB626_RS01100
OG0000509	MYF_RS00250	NB626_RS00285
OG0000510	MYF_RS00260	NB626_RS00295
OG0000511	MYF_RS00395	NB626_RS00530
OG0000512	MYF_RS01055	NB626_RS02735
OG0000513	MYF_RS02890	NB626_RS03635
OG0000514	MYF_RS00710	NB626_RS03045
OG0000517	MYF_RS00065	NB626_RS00065
OG0000518	MYF_RS02630	NB626_RS03295
OG0000519	MYF_RS02080	NB626_RS00900
OG0000522	MYF_RS00265	NB626_RS00300
OG0000523	MYF_RS02830	NB626_RS03560
OG0000524	MYF_RS00890	NB626_RS02855
OG0000530	MYF_RS01630	NB626_RS02505
OG0000532	MYF_RS00620	NB626_RS01735
OG0000533	MYF_RS02365	NB626_RS00700
OG0000534	MYF_RS00345	NB626_RS00385
OG0000536	MYF_RS03070	NB626_RS03750
OG0000540	MYF_RS00910	NB626_RS02825
OG0000541	MYF_RS00850	NB626_RS02900
OG0000551	MYF_RS02505	NB626_RS03165
OG0000555	MYF_RS03410	NB626_RS03100
OG0000589	MYF_RS03220	NB626_RS02290
OG0000595	MYF_RS02570	NB626_RS03190
OG0000596	MYF_RS00110	NB626_RS01860
OG0000597	MYF_RS02565	NB626_RS03185
OG0000598	MYF_RS00105	NB626_RS01865
OG0000599	MYF_RS00100	NB626_RS01870
OG0000627	MYF_RS03075	NB626_RS03755
