Orthogroup	MFC_Ms42_genes	MFC_MF18_genes
OG0000066	MYF_RS01705	DR082_RS02035
OG0000067	MYF_RS00480	DR082_RS00530
OG0000068	MYF_RS00590	DR082_RS00640
OG0000069	MYF_RS00755	DR082_RS00795
OG0000070	MYF_RS01135	DR082_RS01115
OG0000071	MYF_RS02760	DR082_RS01840
OG0000072	MYF_RS02765	DR082_RS03775
OG0000073	MYF_RS02005	DR082_RS02205
OG0000074	MYF_RS02195	DR082_RS03730
OG0000075	MYF_RS00305	DR082_RS00360
OG0000076	MYF_RS00320	DR082_RS00375
OG0000077	MYF_RS00410	DR082_RS00460
OG0000078	MYF_RS00880	DR082_RS00920
OG0000079	MYF_RS01050	DR082_RS01035
OG0000080	MYF_RS01000, MYF_RS03365	DR082_RS03280
OG0000081	MYF_RS00300	DR082_RS00355
OG0000082	MYF_RS01110	DR082_RS01095
OG0000083	MYF_RS01430	DR082_RS02990
OG0000084	MYF_RS01400	DR082_RS02700
OG0000085	MYF_RS01395	DR082_RS02705
OG0000086	MYF_RS01385	DR082_RS03910
OG0000087	MYF_RS01370	DR082_RS02730
OG0000088	MYF_RS01365	DR082_RS02735
OG0000089	MYF_RS01355	DR082_RS02745
OG0000090	MYF_RS00070	DR082_RS00130
OG0000091	MYF_RS00055	DR082_RS00115
OG0000092	MYF_RS00040	DR082_RS00100
OG0000093	MYF_RS00035	DR082_RS00095
OG0000094	MYF_RS00030	DR082_RS00090
OG0000095	MYF_RS00005	DR082_RS00065
OG0000096	MYF_RS03150	DR082_RS00060
OG0000097	MYF_RS03130	DR082_RS00040
OG0000098	MYF_RS03120	DR082_RS00030
OG0000099	MYF_RS03065	DR082_RS02420
OG0000100	MYF_RS03050	DR082_RS02410
OG0000101	MYF_RS03045	DR082_RS02405
OG0000102	MYF_RS03035	DR082_RS02395
OG0000103	MYF_RS01540	DR082_RS01870
OG0000104	MYF_RS01545	DR082_RS01875
OG0000105	MYF_RS01560	DR082_RS01890
OG0000106	MYF_RS01570	DR082_RS01900
OG0000107	MYF_RS01580	DR082_RS01910
OG0000108	MYF_RS01585	DR082_RS01915
OG0000109	MYF_RS01590	DR082_RS01920
OG0000110	MYF_RS01595	DR082_RS01925
OG0000111	MYF_RS01600	DR082_RS01930
OG0000112	MYF_RS01610	DR082_RS01940
OG0000113	MYF_RS01625	DR082_RS03785
OG0000114	MYF_RS01635	DR082_RS01965
OG0000115	MYF_RS01645	DR082_RS01975
OG0000116	MYF_RS01655	DR082_RS01985
OG0000117	MYF_RS01660	DR082_RS01990
OG0000118	MYF_RS01690	DR082_RS02020
OG0000119	MYF_RS01695	DR082_RS02025
OG0000120	MYF_RS01710	DR082_RS02040
OG0000121	MYF_RS01735	DR082_RS02065
OG0000122	MYF_RS01740	DR082_RS02080
OG0000123	MYF_RS01760	DR082_RS02870
OG0000124	MYF_RS01765	DR082_RS02865
OG0000125	MYF_RS01770	DR082_RS02860
OG0000126	MYF_RS01780	DR082_RS02850
OG0000127	MYF_RS01790	DR082_RS02840
OG0000128	MYF_RS01805	DR082_RS02820
OG0000129	MYF_RS01810	DR082_RS02815
OG0000130	MYF_RS01820	DR082_RS02805
OG0000131	MYF_RS01850	DR082_RS02775
OG0000132	MYF_RS01865	DR082_RS03915
OG0000133	MYF_RS00485	DR082_RS00535
OG0000134	MYF_RS00490	DR082_RS03675
OG0000135	MYF_RS00505	DR082_RS00555
OG0000136	MYF_RS00510	DR082_RS00560
OG0000137	MYF_RS00540	DR082_RS00590
OG0000138	MYF_RS00565	DR082_RS00615
OG0000139	MYF_RS00595	DR082_RS00645
OG0000140	MYF_RS00600	DR082_RS00650
OG0000141	MYF_RS00635	DR082_RS00675
OG0000142	MYF_RS00640	DR082_RS03690
OG0000143	MYF_RS00665	DR082_RS00705
OG0000144	MYF_RS00675	DR082_RS00715
OG0000145	MYF_RS00685	DR082_RS00725
OG0000146	MYF_RS00695	DR082_RS00735
OG0000147	MYF_RS00700	DR082_RS00740
OG0000148	MYF_RS00715	DR082_RS00755
OG0000149	MYF_RS00725	DR082_RS00765
OG0000150	MYF_RS00740	DR082_RS00780
OG0000151	MYF_RS00795	DR082_RS00840
OG0000152	MYF_RS00800	DR082_RS00845
OG0000153	MYF_RS00805	DR082_RS00850
OG0000154	MYF_RS00815	DR082_RS00860
OG0000155	MYF_RS00835	DR082_RS00880
OG0000156	MYF_RS00855	DR082_RS00895
OG0000157	MYF_RS00860	DR082_RS03695
OG0000158	MYF_RS00870	DR082_RS03700
OG0000159	MYF_RS01165	DR082_RS01145
OG0000160	MYF_RS01170	DR082_RS01150
OG0000161	MYF_RS01175	DR082_RS01155
OG0000162	MYF_RS01185	DR082_RS01165
OG0000163	MYF_RS01190	DR082_RS01170
OG0000164	MYF_RS01220	DR082_RS03710
OG0000165	MYF_RS01265	DR082_RS02620
OG0000166	MYF_RS01285	DR082_RS02640
OG0000167	MYF_RS01300	DR082_RS02655
OG0000168	MYF_RS01305	DR082_RS02660
OG0000169	MYF_RS02560	DR082_RS01635
OG0000170	MYF_RS02585	DR082_RS01670
OG0000171	MYF_RS02595	DR082_RS01680
OG0000172	MYF_RS02600	DR082_RS01685
OG0000173	MYF_RS02605	DR082_RS01690
OG0000174	MYF_RS02610	DR082_RS01695
OG0000175	MYF_RS02625	DR082_RS01710
OG0000176	MYF_RS02670	DR082_RS01750
OG0000177	MYF_RS02675	DR082_RS01755
OG0000178	MYF_RS02680	DR082_RS01760
OG0000179	MYF_RS02690	DR082_RS01770
OG0000180	MYF_RS02695	DR082_RS01775
OG0000181	MYF_RS02710	DR082_RS03760
OG0000182	MYF_RS02720	DR082_RS01800
OG0000183	MYF_RS02755	DR082_RS01835
OG0000184	MYF_RS02785	DR082_RS02940
OG0000185	MYF_RS02800	DR082_RS02925
OG0000186	MYF_RS01895	DR082_RS02095
OG0000187	MYF_RS01910	DR082_RS02110
OG0000188	MYF_RS01920	DR082_RS02120
OG0000189	MYF_RS01930	DR082_RS03800
OG0000190	MYF_RS01935	DR082_RS02135
OG0000191	MYF_RS01955	DR082_RS02155
OG0000192	MYF_RS01965	DR082_RS02165
OG0000193	MYF_RS01980	DR082_RS02180
OG0000194	MYF_RS01990	DR082_RS02190
OG0000195	MYF_RS01995	DR082_RS02195
OG0000196	MYF_RS02015	DR082_RS03805
OG0000197	MYF_RS02020	DR082_RS02220
OG0000198	MYF_RS02035	DR082_RS02235
OG0000199	MYF_RS02040	DR082_RS02240
OG0000200	MYF_RS02050	DR082_RS02255
OG0000201	MYF_RS02060	DR082_RS02265
OG0000202	MYF_RS02115	DR082_RS02320
OG0000203	MYF_RS02120	DR082_RS02325
OG0000204	MYF_RS02125	DR082_RS01220
OG0000205	MYF_RS02130	DR082_RS01225
OG0000206	MYF_RS02150	DR082_RS01245
OG0000207	MYF_RS02165	DR082_RS01260
OG0000208	MYF_RS02170	DR082_RS01265
OG0000209	MYF_RS02175	DR082_RS01270
OG0000210	MYF_RS02220	DR082_RS01315
OG0000211	MYF_RS02230	DR082_RS01325
OG0000212	MYF_RS02240	DR082_RS01335
OG0000213	MYF_RS02245	DR082_RS01340
OG0000214	MYF_RS02250	DR082_RS01345
OG0000215	MYF_RS02255	DR082_RS01350
OG0000216	MYF_RS02260	DR082_RS01355
OG0000217	MYF_RS02265	DR082_RS01360
OG0000218	MYF_RS02275	DR082_RS03735
OG0000219	MYF_RS02280	DR082_RS01375
OG0000220	MYF_RS02285	DR082_RS01380
OG0000221	MYF_RS02290	DR082_RS01385
OG0000222	MYF_RS03240	DR082_RS01390
OG0000223	MYF_RS02295	DR082_RS01395
OG0000224	MYF_RS02305	DR082_RS01405
OG0000225	MYF_RS02315	DR082_RS01415
OG0000226	MYF_RS02320	DR082_RS01420
OG0000227	MYF_RS02325	DR082_RS01425
OG0000228	MYF_RS03530	DR082_RS03975
OG0000229	MYF_RS02335	DR082_RS01435
OG0000230	MYF_RS02340	DR082_RS01440
OG0000231	MYF_RS02350	DR082_RS01450
OG0000232	MYF_RS02360	DR082_RS01460
OG0000233	MYF_RS02370	DR082_RS01470
OG0000234	MYF_RS02400	DR082_RS01500
OG0000235	MYF_RS02410	DR082_RS01510
OG0000236	MYF_RS02415	DR082_RS01515
OG0000237	MYF_RS02430	DR082_RS01535
OG0000238	MYF_RS02435	DR082_RS01540
OG0000239	MYF_RS02465	DR082_RS01570
OG0000240	MYF_RS02470	DR082_RS01575
OG0000241	MYF_RS02480	DR082_RS01585
OG0000242	MYF_RS02485	DR082_RS01590
OG0000243	MYF_RS02490	DR082_RS01595
OG0000244	MYF_RS02500	DR082_RS01605
OG0000245	MYF_RS02510	DR082_RS01615
OG0000246	MYF_RS00085	DR082_RS00145
OG0000247	MYF_RS00095	DR082_RS00155
OG0000248	MYF_RS00120	DR082_RS00180
OG0000249	MYF_RS00125	DR082_RS00185
OG0000250	MYF_RS00140	DR082_RS00200
OG0000251	MYF_RS00170	DR082_RS00230
OG0000252	MYF_RS00180	DR082_RS00240
OG0000253	MYF_RS00185	DR082_RS00245
OG0000254	MYF_RS00195	DR082_RS00255
OG0000255	MYF_RS00205	DR082_RS00260
OG0000256	MYF_RS00210	DR082_RS00265
OG0000257	MYF_RS00235	DR082_RS00290
OG0000258	MYF_RS00245	DR082_RS00300
OG0000259	MYF_RS00275	DR082_RS00330
OG0000260	MYF_RS00285	DR082_RS00340
OG0000261	MYF_RS00295	DR082_RS03670
OG0000262	MYF_RS00310	DR082_RS00365
OG0000263	MYF_RS00325	DR082_RS00380
OG0000264	MYF_RS00340	DR082_RS00395
OG0000265	MYF_RS00350	DR082_RS00405
OG0000266	MYF_RS00365	DR082_RS00420
OG0000267	MYF_RS00380	DR082_RS00435
OG0000268	MYF_RS00385	DR082_RS00440
OG0000269	MYF_RS00400	DR082_RS00455
OG0000270	MYF_RS02955	DR082_RS03820
OG0000271	MYF_RS02950	DR082_RS02340
OG0000272	MYF_RS02945	DR082_RS02335
OG0000273	MYF_RS02940	DR082_RS02330
OG0000274	MYF_RS02920	DR082_RS02460
OG0000275	MYF_RS02915	DR082_RS03850
OG0000276	MYF_RS02910	DR082_RS02470
OG0000277	MYF_RS02900	DR082_RS03855
OG0000278	MYF_RS02895	DR082_RS02485
OG0000279	MYF_RS02885	DR082_RS02495
OG0000280	MYF_RS02880	DR082_RS02500
OG0000281	MYF_RS03275	DR082_RS02505
OG0000282	MYF_RS02855	DR082_RS02530
OG0000283	MYF_RS02850	DR082_RS02535
OG0000284	MYF_RS02845	DR082_RS02540
OG0000285	MYF_RS02840	DR082_RS03870
OG0000286	MYF_RS01115	DR082_RS01100
OG0000287	MYF_RS01090	DR082_RS01075
OG0000288	MYF_RS01080	DR082_RS01065
OG0000289	MYF_RS01075	DR082_RS01060
OG0000290	MYF_RS00905	DR082_RS03275
OG0000291	MYF_RS00915	DR082_RS00960
OG0000292	MYF_RS00920	DR082_RS00965
OG0000293	MYF_RS00925	DR082_RS00970
OG0000294	MYF_RS00935	DR082_RS00980
OG0000295	MYF_RS00940	DR082_RS00985
OG0000296	MYF_RS01040	DR082_RS01025
OG0000297	MYF_RS01045	DR082_RS01030
OG0000298	MYF_RS00135	DR082_RS00195
OG0000299	MYF_RS00155	DR082_RS00215
OG0000300	MYF_RS00335	DR082_RS00390
OG0000301	MYF_RS00370	DR082_RS00425
OG0000302	MYF_RS00375	DR082_RS00430
OG0000303	MYF_RS00515	DR082_RS00565
OG0000304	MYF_RS00545	DR082_RS00600
OG0000305	MYF_RS00690	DR082_RS00730
OG0000306	MYF_RS00770	DR082_RS00810
OG0000307	MYF_RS00810	DR082_RS00855
OG0000308	MYF_RS00895	DR082_RS00940
OG0000309	MYF_RS01005	DR082_RS00995
OG0000310	MYF_RS01085	DR082_RS01070
OG0000311	MYF_RS01140	DR082_RS01120
OG0000312	MYF_RS01160	DR082_RS01140
OG0000313	MYF_RS01210	DR082_RS01190
OG0000314	MYF_RS01280	DR082_RS02635
OG0000315	MYF_RS01310	DR082_RS02665
OG0000316	MYF_RS01320	DR082_RS02675
OG0000317	MYF_RS01360	DR082_RS02740
OG0000318	MYF_RS01450	DR082_RS03940
OG0000319	MYF_RS01555	DR082_RS01885
OG0000320	MYF_RS01620	DR082_RS01950
OG0000321	MYF_RS01685	DR082_RS02015
OG0000322	MYF_RS01730	DR082_RS02060
OG0000323	MYF_RS01860	DR082_RS02765
OG0000324	MYF_RS01960	DR082_RS02160
OG0000325	MYF_RS02000	DR082_RS02200
OG0000326	MYF_RS02090	DR082_RS02295
OG0000327	MYF_RS02095	DR082_RS02300
OG0000328	MYF_RS02180	DR082_RS01275
OG0000329	MYF_RS02200	DR082_RS01295
OG0000330	MYF_RS02380	DR082_RS01480
OG0000331	MYF_RS02495	DR082_RS01600
OG0000332	MYF_RS02635	DR082_RS01720
OG0000333	MYF_RS02645	DR082_RS01730
OG0000334	MYF_RS02715	DR082_RS01795
OG0000335	MYF_RS02725	DR082_RS03765
OG0000336	MYF_RS02870	DR082_RS03865
OG0000337	MYF_RS03105	DR082_RS00015
OG0000338	MYF_RS03145	DR082_RS00055
OG0000339	MYF_RS01640	DR082_RS01970
OG0000340	MYF_RS01665	DR082_RS01995
OG0000341	MYF_RS01940	DR082_RS02140
OG0000342	MYF_RS02030	DR082_RS02230
OG0000343	MYF_RS02655	DR082_RS01740
OG0000344	MYF_RS00530	DR082_RS00580
OG0000345	MYF_RS02310	DR082_RS01410
OG0000346	MYF_RS02875	DR082_RS03860
OG0000347	MYF_RS01755	DR082_RS02875
OG0000348	MYF_RS02100	DR082_RS03815
OG0000349	MYF_RS02930	DR082_RS02450
OG0000350	MYF_RS03360	DR082_RS00815
OG0000351	MYF_RS00465	DR082_RS00515
OG0000352	MYF_RS01260	DR082_RS02615
OG0000353	MYF_RS01725	DR082_RS02055
OG0000354	MYF_RS00580	DR082_RS00630
OG0000355	MYF_RS01235	DR082_RS03715
OG0000356	MYF_RS01315	DR082_RS03900
OG0000357	MYF_RS02615	DR082_RS03750
OG0000358	MYF_RS02620	DR082_RS01705
OG0000359	MYF_RS02070	DR082_RS03810
OG0000360	MYF_RS00240	DR082_RS00295
OG0000361	MYF_RS00270	DR082_RS00325
OG0000362	MYF_RS01065	DR082_RS01050
OG0000363	MYF_RS01795	DR082_RS03985
OG0000365	MYF_RS01420	DR082_RS03955
OG0000366	MYF_RS01390	DR082_RS02710
OG0000367	MYF_RS01380	DR082_RS02720
OG0000368	MYF_RS00060	DR082_RS00120
OG0000369	MYF_RS00025	DR082_RS03655
OG0000370	MYF_RS00020	DR082_RS00080
OG0000371	MYF_RS00015	DR082_RS00075
OG0000372	MYF_RS00010	DR082_RS00070
OG0000373	MYF_RS03135	DR082_RS00045
OG0000374	MYF_RS03125	DR082_RS00035
OG0000375	MYF_RS01550	DR082_RS01880
OG0000376	MYF_RS01605	DR082_RS01935
OG0000377	MYF_RS01615	DR082_RS01945
OG0000378	MYF_RS01650	DR082_RS01980
OG0000379	MYF_RS01720	DR082_RS02050
OG0000381	MYF_RS01785	DR082_RS02845
OG0000382	MYF_RS01815	DR082_RS02810
OG0000383	MYF_RS01855	DR082_RS02770
OG0000384	MYF_RS00470	DR082_RS00520
OG0000385	MYF_RS00475	DR082_RS00525
OG0000386	MYF_RS00495	DR082_RS00545
OG0000387	MYF_RS00520	DR082_RS00570
OG0000388	MYF_RS00525	DR082_RS03680
OG0000389	MYF_RS00560	DR082_RS00610
OG0000390	MYF_RS00670	DR082_RS00710
OG0000391	MYF_RS00680	DR082_RS00720
OG0000392	MYF_RS00705	DR082_RS00745
OG0000393	MYF_RS00760	DR082_RS00800
OG0000394	MYF_RS00825	DR082_RS00870
OG0000395	MYF_RS00830	DR082_RS00875
OG0000396	MYF_RS01200	DR082_RS01180
OG0000397	MYF_RS01245	DR082_RS02600
OG0000398	MYF_RS01250	DR082_RS02605
OG0000399	MYF_RS01295	DR082_RS02650
OG0000400	MYF_RS02580	DR082_RS01665
OG0000401	MYF_RS02640	DR082_RS01725
OG0000402	MYF_RS02650	DR082_RS01735
OG0000403	MYF_RS02660	DR082_RS01745
OG0000404	MYF_RS02685	DR082_RS03755
OG0000405	MYF_RS02700	DR082_RS01780
OG0000406	MYF_RS02730	DR082_RS01810
OG0000407	MYF_RS02735	DR082_RS03770
OG0000408	MYF_RS02740	DR082_RS01820
OG0000409	MYF_RS02745	DR082_RS01825
OG0000410	MYF_RS02780	DR082_RS02945
OG0000411	MYF_RS02790	DR082_RS02935
OG0000412	MYF_RS02795	DR082_RS02930
OG0000413	MYF_RS01890	DR082_RS02090
OG0000414	MYF_RS01900	DR082_RS02100
OG0000415	MYF_RS01905	DR082_RS02105
OG0000416	MYF_RS01915	DR082_RS02115
OG0000417	MYF_RS01945	DR082_RS02145
OG0000418	MYF_RS01950	DR082_RS02150
OG0000419	MYF_RS02010	DR082_RS02210
OG0000420	MYF_RS02045	DR082_RS02245
OG0000421	MYF_RS02075	DR082_RS02280
OG0000422	MYF_RS02085	DR082_RS02290
OG0000423	MYF_RS02140	DR082_RS01235
OG0000424	MYF_RS02145	DR082_RS01240
OG0000425	MYF_RS02155	DR082_RS01250
OG0000426	MYF_RS02160	DR082_RS03720
OG0000427	MYF_RS02185	DR082_RS03725
OG0000428	MYF_RS02210	DR082_RS01305
OG0000429	MYF_RS02300	DR082_RS01400
OG0000430	MYF_RS02345	DR082_RS01445
OG0000431	MYF_RS02355	DR082_RS01455
OG0000432	MYF_RS02375	DR082_RS01475
OG0000433	MYF_RS02385	DR082_RS01485
OG0000434	MYF_RS02390	DR082_RS01490
OG0000435	MYF_RS02405	DR082_RS01505
OG0000436	MYF_RS02440	DR082_RS01545
OG0000437	MYF_RS02450	DR082_RS01555
OG0000438	MYF_RS02455	DR082_RS03740
OG0000439	MYF_RS02460	DR082_RS01565
OG0000440	MYF_RS02475	DR082_RS01580
OG0000441	MYF_RS02515	DR082_RS01620
OG0000442	MYF_RS00090	DR082_RS00150
OG0000443	MYF_RS00150	DR082_RS00210
OG0000444	MYF_RS00165	DR082_RS00225
OG0000445	MYF_RS00190	DR082_RS00250
OG0000446	MYF_RS00220	DR082_RS00275
OG0000447	MYF_RS00225	DR082_RS00280
OG0000448	MYF_RS00255	DR082_RS00310
OG0000449	MYF_RS00280	DR082_RS00335
OG0000450	MYF_RS00290	DR082_RS00345
OG0000451	MYF_RS00330	DR082_RS00385
OG0000452	MYF_RS00355	DR082_RS00410
OG0000453	MYF_RS00390	DR082_RS00445
OG0000455	MYF_RS02975	DR082_RS03825
OG0000456	MYF_RS02860	DR082_RS02525
OG0000457	MYF_RS02835	DR082_RS02550
OG0000458	MYF_RS01095	DR082_RS01080
OG0000459	MYF_RS01070	DR082_RS01055
OG0000460	MYF_RS01060	DR082_RS01045
OG0000461	MYF_RS01010	DR082_RS01000
OG0000462	MYF_RS01015	DR082_RS01005
OG0000463	MYF_RS01020	DR082_RS01010
OG0000464	MYF_RS01030	DR082_RS01015
OG0000465	MYF_RS01035	DR082_RS01020
OG0000466	MYF_RS00360	DR082_RS00415
OG0000467	MYF_RS03505	DR082_RS03705
OG0000468	MYF_RS01290	DR082_RS02645
OG0000469	MYF_RS01425	DR082_RS02985
OG0000470	MYF_RS02135	DR082_RS01230
OG0000471	MYF_RS02215	DR082_RS01310
OG0000472	MYF_RS03535	DR082_RS02585
OG0000473	MYF_RS02960	DR082_RS02350
OG0000474	MYF_RS02965	DR082_RS02355
OG0000475	MYF_RS02970	DR082_RS02360
OG0000476	MYF_RS03040	DR082_RS02400
OG0000477	MYF_RS00930	DR082_RS00975
OG0000478	MYF_RS02905	DR082_RS02475
OG0000479	MYF_RS01680	DR082_RS02010
OG0000480	MYF_RS03350	DR082_RS03145
OG0000481	MYF_RS02110	DR082_RS02315
OG0000482	MYF_RS01975	DR082_RS02175
OG0000483	MYF_RS01375	DR082_RS02725
OG0000484	MYF_RS00160	DR082_RS03665
OG0000485	MYF_RS02445	DR082_RS01550
OG0000486	MYF_RS01925	DR082_RS02125
OG0000487	MYF_RS01445	DR082_RS03945
OG0000488	MYF_RS01405	DR082_RS02695
OG0000489	MYF_RS00050	DR082_RS00110
OG0000490	MYF_RS03140	DR082_RS00050
OG0000491	MYF_RS01700	DR082_RS02030
OG0000492	MYF_RS01775	DR082_RS02855
OG0000493	MYF_RS00535	DR082_RS00585
OG0000494	MYF_RS00585	DR082_RS00635
OG0000495	MYF_RS00735	DR082_RS00775
OG0000496	MYF_RS00745	DR082_RS00785
OG0000497	MYF_RS00750	DR082_RS00790
OG0000498	MYF_RS00820	DR082_RS00865
OG0000499	MYF_RS00865	DR082_RS00905
OG0000500	MYF_RS01255	DR082_RS02610
OG0000501	MYF_RS02590	DR082_RS01675
OG0000502	MYF_RS01985	DR082_RS02185
OG0000503	MYF_RS02055	DR082_RS02260
OG0000504	MYF_RS02190	DR082_RS01285
OG0000505	MYF_RS02225	DR082_RS01320
OG0000506	MYF_RS02235	DR082_RS01330
OG0000507	MYF_RS02270	DR082_RS01365
OG0000508	MYF_RS00215	DR082_RS00270
OG0000509	MYF_RS00250	DR082_RS00305
OG0000510	MYF_RS00260	DR082_RS00315
OG0000511	MYF_RS00395	DR082_RS00450
OG0000512	MYF_RS01055	DR082_RS01040
OG0000513	MYF_RS02890	DR082_RS02490
OG0000514	MYF_RS00710	DR082_RS00750
OG0000516	MYF_RS01440	DR082_RS02960
OG0000517	MYF_RS00065	DR082_RS00125
OG0000518	MYF_RS02630	DR082_RS01715
OG0000519	MYF_RS02080	DR082_RS02285
OG0000520	MYF_RS02205	DR082_RS01300
OG0000521	MYF_RS00230	DR082_RS00285
OG0000522	MYF_RS00265	DR082_RS00320
OG0000523	MYF_RS02830	DR082_RS02555
OG0000524	MYF_RS00890	DR082_RS00935
OG0000528	MYF_RS01435	DR082_RS02970
OG0000529	MYF_RS01565	DR082_RS01895
OG0000530	MYF_RS01630	DR082_RS01960
OG0000531	MYF_RS01750	DR082_RS03140
OG0000533	MYF_RS02365	DR082_RS01465
OG0000534	MYF_RS00345	DR082_RS00400
OG0000535	MYF_RS00045	DR082_RS00105
OG0000536	MYF_RS03070	DR082_RS02425
OG0000537	MYF_RS02025	DR082_RS02225
OG0000538	MYF_RS02395	DR082_RS01495
OG0000539	MYF_RS00175	DR082_RS00235
OG0000541	MYF_RS00850	DR082_RS00890
OG0000542	MYF_RS00315	DR082_RS00370
OG0000547	MYF_RS00660	DR082_RS00700
OG0000548	MYF_RS01205	DR082_RS01185
OG0000549	MYF_RS02805	DR082_RS03890
OG0000550	MYF_RS02925	DR082_RS02455
OG0000551	MYF_RS02505	DR082_RS01610
OG0000555	MYF_RS03410	DR082_RS03245
OG0000589	MYF_RS03220	DR082_RS02910
OG0000595	MYF_RS02570	DR082_RS01655
OG0000596	MYF_RS00110	DR082_RS00170
OG0000597	MYF_RS02565	DR082_RS01645
OG0000598	MYF_RS00105	DR082_RS00165
OG0000599	MYF_RS00100	DR082_RS00160
OG0000602	MYF_RS01415	DR082_RS02690
OG0000627	MYF_RS03075	DR082_RS02430
OG0000634	MYF_RS01535	DR082_RS01865
OG0000635	MYF_RS00875	DR082_RS00915
OG0000636	MYF_RS03460	DR082_RS03355
OG0000637	MYF_RS01970	DR082_RS02170
OG0000638	MYF_RS00415	DR082_RS00465
OG0000639	MYF_RS03175	DR082_RS01530
OG0000640	MYF_RS03500	DR082_RS03220
OG0000666	MYF_RS03340	DR082_RS01525
