Orthogroup	MFC_Ms42_genes	MHP_KM014_genes
OG0000056	MYF_RS03060	CIB43_RS00630, CIB43_RS03960
OG0000057	MYF_RS00645	CIB43_RS03840
OG0000062	MYF_RS03115	CIB43_RS00675
OG0000063	MYF_RS03110	CIB43_RS00660
OG0000064	MYF_RS03100	CIB43_RS00650
OG0000065	MYF_RS01575	CIB43_RS03145
OG0000067	MYF_RS00480	CIB43_RS01410
OG0000068	MYF_RS00590	CIB43_RS01520
OG0000069	MYF_RS00755	CIB43_RS03740
OG0000070	MYF_RS01135	CIB43_RS03400
OG0000071	MYF_RS02760	CIB43_RS00360
OG0000072	MYF_RS02765	CIB43_RS00375
OG0000073	MYF_RS02005	CIB43_RS01580
OG0000075	MYF_RS00305	CIB43_RS01060
OG0000077	MYF_RS00410	CIB43_RS01330
OG0000078	MYF_RS00880	CIB43_RS02560
OG0000079	MYF_RS01050	CIB43_RS03480
OG0000080	MYF_RS01000, MYF_RS03365	CIB43_RS03525
OG0000081	MYF_RS00300	CIB43_RS01055
OG0000082	MYF_RS01110	CIB43_RS03315
OG0000083	MYF_RS01430	CIB43_RS02935
OG0000084	MYF_RS01400	CIB43_RS02955
OG0000086	MYF_RS01385	CIB43_RS02970
OG0000087	MYF_RS01370	CIB43_RS02975
OG0000088	MYF_RS01365	CIB43_RS02980
OG0000089	MYF_RS01355	CIB43_RS02990
OG0000090	MYF_RS00070	CIB43_RS00770
OG0000091	MYF_RS00055	CIB43_RS00760
OG0000092	MYF_RS00040	CIB43_RS00745
OG0000093	MYF_RS00035	CIB43_RS00735
OG0000094	MYF_RS00030	CIB43_RS00730
OG0000095	MYF_RS00005	CIB43_RS00715
OG0000096	MYF_RS03150	CIB43_RS00700
OG0000097	MYF_RS03130	CIB43_RS00690
OG0000100	MYF_RS03050	CIB43_RS00610
OG0000101	MYF_RS03045	CIB43_RS00600
OG0000102	MYF_RS03035	CIB43_RS02580
OG0000103	MYF_RS01540	CIB43_RS03110
OG0000104	MYF_RS01545	CIB43_RS03120
OG0000105	MYF_RS01560	CIB43_RS03130
OG0000106	MYF_RS01570	CIB43_RS03140
OG0000107	MYF_RS01580	CIB43_RS03150
OG0000108	MYF_RS01585	CIB43_RS03155
OG0000109	MYF_RS01590	CIB43_RS03160
OG0000110	MYF_RS01595	CIB43_RS03290
OG0000111	MYF_RS01600	CIB43_RS03285
OG0000112	MYF_RS01610	CIB43_RS03280
OG0000113	MYF_RS01625	CIB43_RS03260
OG0000114	MYF_RS01635	CIB43_RS03245
OG0000115	MYF_RS01645	CIB43_RS03230
OG0000116	MYF_RS01655	CIB43_RS02165
OG0000117	MYF_RS01660	CIB43_RS02170
OG0000118	MYF_RS01690	CIB43_RS02205
OG0000119	MYF_RS01695	CIB43_RS02210
OG0000120	MYF_RS01710	CIB43_RS02230
OG0000121	MYF_RS01735	CIB43_RS02250
OG0000122	MYF_RS01740	CIB43_RS02255
OG0000123	MYF_RS01760	CIB43_RS02275
OG0000124	MYF_RS01765	CIB43_RS02280
OG0000125	MYF_RS01770	CIB43_RS02285
OG0000126	MYF_RS01780	CIB43_RS02295
OG0000127	MYF_RS01790	CIB43_RS02305
OG0000128	MYF_RS01805	CIB43_RS02320
OG0000129	MYF_RS01810	CIB43_RS02330
OG0000130	MYF_RS01820	CIB43_RS02335
OG0000131	MYF_RS01850	CIB43_RS02370
OG0000132	MYF_RS01865	CIB43_RS02385
OG0000133	MYF_RS00485	CIB43_RS01415
OG0000134	MYF_RS00490	CIB43_RS01425
OG0000135	MYF_RS00505	CIB43_RS01435
OG0000136	MYF_RS00510	CIB43_RS01440
OG0000137	MYF_RS00540	CIB43_RS01470
OG0000138	MYF_RS00565	CIB43_RS01495
OG0000139	MYF_RS00595	CIB43_RS01525
OG0000140	MYF_RS00600	CIB43_RS01540
OG0000141	MYF_RS00635	CIB43_RS03850
OG0000142	MYF_RS00640	CIB43_RS03845
OG0000143	MYF_RS00665	CIB43_RS03835
OG0000144	MYF_RS00675	CIB43_RS03815
OG0000145	MYF_RS00685	CIB43_RS03805
OG0000146	MYF_RS00695	CIB43_RS03790
OG0000147	MYF_RS00700	CIB43_RS03785
OG0000148	MYF_RS00715	CIB43_RS03780
OG0000149	MYF_RS00725	CIB43_RS03760
OG0000150	MYF_RS00740	CIB43_RS03745
OG0000151	MYF_RS00795	CIB43_RS03700
OG0000152	MYF_RS00800	CIB43_RS03695
OG0000153	MYF_RS00805	CIB43_RS03690
OG0000154	MYF_RS00815	CIB43_RS03680
OG0000155	MYF_RS00835	CIB43_RS03645
OG0000156	MYF_RS00855	CIB43_RS03635
OG0000157	MYF_RS00860	CIB43_RS03625
OG0000158	MYF_RS00870	CIB43_RS03620
OG0000159	MYF_RS01165	CIB43_RS03385
OG0000160	MYF_RS01170	CIB43_RS03380
OG0000161	MYF_RS01175	CIB43_RS03375
OG0000163	MYF_RS01190	CIB43_RS03370
OG0000164	MYF_RS01220	CIB43_RS02495
OG0000165	MYF_RS01265	CIB43_RS02840
OG0000166	MYF_RS01285	CIB43_RS02860
OG0000167	MYF_RS01300	CIB43_RS02875
OG0000168	MYF_RS01305	CIB43_RS02880
OG0000169	MYF_RS02560	CIB43_RS00130
OG0000171	MYF_RS02595	CIB43_RS00155
OG0000172	MYF_RS02600	CIB43_RS00160
OG0000173	MYF_RS02605	CIB43_RS00165
OG0000174	MYF_RS02610	CIB43_RS00170
OG0000175	MYF_RS02625	CIB43_RS00190
OG0000176	MYF_RS02670	CIB43_RS00235
OG0000177	MYF_RS02675	CIB43_RS00240
OG0000178	MYF_RS02680	CIB43_RS00245
OG0000179	MYF_RS02690	CIB43_RS00255
OG0000180	MYF_RS02695	CIB43_RS00260
OG0000181	MYF_RS02710	CIB43_RS00310
OG0000182	MYF_RS02720	CIB43_RS00320
OG0000183	MYF_RS02755	CIB43_RS00355
OG0000184	MYF_RS02785	CIB43_RS00430
OG0000185	MYF_RS02800	CIB43_RS00380
OG0000186	MYF_RS01895	CIB43_RS02400
OG0000187	MYF_RS01910	CIB43_RS02410
OG0000188	MYF_RS01920	CIB43_RS02425
OG0000189	MYF_RS01930	CIB43_RS03200
OG0000190	MYF_RS01935	CIB43_RS03195
OG0000191	MYF_RS01955	CIB43_RS03180
OG0000192	MYF_RS01965	CIB43_RS02085
OG0000193	MYF_RS01980	CIB43_RS02075
OG0000194	MYF_RS01990	CIB43_RS01560
OG0000195	MYF_RS01995	CIB43_RS01565
OG0000196	MYF_RS02015	CIB43_RS01585
OG0000197	MYF_RS02020	CIB43_RS01590
OG0000198	MYF_RS02035	CIB43_RS01605
OG0000199	MYF_RS02040	CIB43_RS01615
OG0000200	MYF_RS02050	CIB43_RS01630
OG0000201	MYF_RS02060	CIB43_RS01635
OG0000202	MYF_RS02115	CIB43_RS01690
OG0000203	MYF_RS02120	CIB43_RS01695
OG0000204	MYF_RS02125	CIB43_RS01700
OG0000205	MYF_RS02130	CIB43_RS01705
OG0000206	MYF_RS02150	CIB43_RS01735
OG0000207	MYF_RS02165	CIB43_RS01740
OG0000208	MYF_RS02170	CIB43_RS01745
OG0000209	MYF_RS02175	CIB43_RS01750
OG0000210	MYF_RS02220	CIB43_RS01800
OG0000211	MYF_RS02230	CIB43_RS01805
OG0000212	MYF_RS02240	CIB43_RS01815
OG0000213	MYF_RS02245	CIB43_RS01820
OG0000214	MYF_RS02250	CIB43_RS01825
OG0000215	MYF_RS02255	CIB43_RS01830
OG0000216	MYF_RS02260	CIB43_RS01835
OG0000217	MYF_RS02265	CIB43_RS01845
OG0000218	MYF_RS02275	CIB43_RS01850
OG0000219	MYF_RS02280	CIB43_RS01855
OG0000220	MYF_RS02285	CIB43_RS01860
OG0000221	MYF_RS02290	CIB43_RS01865
OG0000222	MYF_RS03240	CIB43_RS01870
OG0000223	MYF_RS02295	CIB43_RS01875
OG0000225	MYF_RS02315	CIB43_RS01895
OG0000226	MYF_RS02320	CIB43_RS01900
OG0000227	MYF_RS02325	CIB43_RS01905
OG0000228	MYF_RS03530	CIB43_RS01910
OG0000229	MYF_RS02335	CIB43_RS01915
OG0000230	MYF_RS02340	CIB43_RS01920
OG0000231	MYF_RS02350	CIB43_RS01935
OG0000232	MYF_RS02360	CIB43_RS01940
OG0000233	MYF_RS02370	CIB43_RS01965
OG0000234	MYF_RS02400	CIB43_RS02000
OG0000235	MYF_RS02410	CIB43_RS02005
OG0000236	MYF_RS02415	CIB43_RS02010
OG0000237	MYF_RS02430	CIB43_RS02015
OG0000238	MYF_RS02435	CIB43_RS02025
OG0000239	MYF_RS02465	CIB43_RS03860
OG0000240	MYF_RS02470	CIB43_RS03870
OG0000241	MYF_RS02480	CIB43_RS03875
OG0000242	MYF_RS02485	CIB43_RS03880
OG0000243	MYF_RS02490	CIB43_RS03885
OG0000244	MYF_RS02500	CIB43_RS03900
OG0000245	MYF_RS02510	CIB43_RS03905
OG0000246	MYF_RS00085	CIB43_RS00845
OG0000247	MYF_RS00095	CIB43_RS00850
OG0000248	MYF_RS00120	CIB43_RS00875
OG0000250	MYF_RS00140	CIB43_RS00885
OG0000251	MYF_RS00170	CIB43_RS00925
OG0000252	MYF_RS00180	CIB43_RS00930
OG0000253	MYF_RS00185	CIB43_RS00940
OG0000254	MYF_RS00195	CIB43_RS00950
OG0000255	MYF_RS00205	CIB43_RS00955
OG0000256	MYF_RS00210	CIB43_RS00960
OG0000257	MYF_RS00235	CIB43_RS00985
OG0000258	MYF_RS00245	CIB43_RS01015
OG0000259	MYF_RS00275	CIB43_RS01030
OG0000260	MYF_RS00285	CIB43_RS01045
OG0000262	MYF_RS00310	CIB43_RS01075
OG0000263	MYF_RS00325	CIB43_RS01080
OG0000264	MYF_RS00340	CIB43_RS01100
OG0000265	MYF_RS00350	CIB43_RS01110
OG0000266	MYF_RS00365	CIB43_RS01120
OG0000267	MYF_RS00380	CIB43_RS01135
OG0000268	MYF_RS00385	CIB43_RS01305
OG0000269	MYF_RS00400	CIB43_RS01320
OG0000270	MYF_RS02955	CIB43_RS00575
OG0000271	MYF_RS02950	CIB43_RS00570
OG0000272	MYF_RS02945	CIB43_RS00565
OG0000273	MYF_RS02940	CIB43_RS00560
OG0000274	MYF_RS02920	CIB43_RS00545
OG0000275	MYF_RS02915	CIB43_RS00535
OG0000276	MYF_RS02910	CIB43_RS00530
OG0000277	MYF_RS02900	CIB43_RS00525
OG0000278	MYF_RS02895	CIB43_RS00515
OG0000279	MYF_RS02885	CIB43_RS00510
OG0000280	MYF_RS02880	CIB43_RS00500
OG0000281	MYF_RS03275	CIB43_RS00495
OG0000283	MYF_RS02850	CIB43_RS00475
OG0000284	MYF_RS02845	CIB43_RS00460
OG0000285	MYF_RS02840	CIB43_RS00455
OG0000286	MYF_RS01115	CIB43_RS03345
OG0000287	MYF_RS01090	CIB43_RS03440
OG0000288	MYF_RS01080	CIB43_RS03450
OG0000289	MYF_RS01075	CIB43_RS03455
OG0000290	MYF_RS00905	CIB43_RS03565
OG0000291	MYF_RS00915	CIB43_RS03560
OG0000292	MYF_RS00920	CIB43_RS03550
OG0000293	MYF_RS00925	CIB43_RS03545
OG0000294	MYF_RS00935	CIB43_RS03540
OG0000295	MYF_RS00940	CIB43_RS03530
OG0000296	MYF_RS01040	CIB43_RS03495
OG0000297	MYF_RS01045	CIB43_RS03485
OG0000298	MYF_RS00135	CIB43_RS00880
OG0000299	MYF_RS00155	CIB43_RS00915
OG0000300	MYF_RS00335	CIB43_RS01090
OG0000301	MYF_RS00370	CIB43_RS01125
OG0000302	MYF_RS00375	CIB43_RS01130
OG0000303	MYF_RS00515	CIB43_RS01455
OG0000304	MYF_RS00545	CIB43_RS01950
OG0000305	MYF_RS00690	CIB43_RS03795
OG0000306	MYF_RS00770	CIB43_RS03725
OG0000307	MYF_RS00810	CIB43_RS03685
OG0000308	MYF_RS00895	CIB43_RS03600
OG0000309	MYF_RS01005	CIB43_RS03520
OG0000310	MYF_RS01085	CIB43_RS03445
OG0000311	MYF_RS01140	CIB43_RS03405
OG0000312	MYF_RS01160	CIB43_RS03390
OG0000313	MYF_RS01210	CIB43_RS02485
OG0000314	MYF_RS01280	CIB43_RS02855
OG0000315	MYF_RS01310	CIB43_RS02885
OG0000316	MYF_RS01320	CIB43_RS02895
OG0000317	MYF_RS01360	CIB43_RS02985
OG0000318	MYF_RS01450	CIB43_RS02900
OG0000319	MYF_RS01555	CIB43_RS03125
OG0000320	MYF_RS01620	CIB43_RS03270
OG0000321	MYF_RS01685	CIB43_RS02200
OG0000322	MYF_RS01730	CIB43_RS02245
OG0000323	MYF_RS01860	CIB43_RS02375
OG0000324	MYF_RS01960	CIB43_RS03170
OG0000325	MYF_RS02000	CIB43_RS01570
OG0000326	MYF_RS02090	CIB43_RS01665
OG0000327	MYF_RS02095	CIB43_RS01670
OG0000328	MYF_RS02180	CIB43_RS01760
OG0000329	MYF_RS02200	CIB43_RS01775
OG0000330	MYF_RS02380	CIB43_RS01970
OG0000331	MYF_RS02495	CIB43_RS03890
OG0000332	MYF_RS02635	CIB43_RS00200
OG0000333	MYF_RS02645	CIB43_RS00210
OG0000334	MYF_RS02715	CIB43_RS00315
OG0000335	MYF_RS02725	CIB43_RS00340
OG0000336	MYF_RS02870	CIB43_RS00485
OG0000337	MYF_RS03105	CIB43_RS00655
OG0000338	MYF_RS03145	CIB43_RS00695
OG0000339	MYF_RS01640	CIB43_RS03235
OG0000340	MYF_RS01665	CIB43_RS02185
OG0000341	MYF_RS01940	CIB43_RS03190
OG0000342	MYF_RS02030	CIB43_RS01600
OG0000343	MYF_RS02655	CIB43_RS00215
OG0000344	MYF_RS00530	CIB43_RS01465
OG0000345	MYF_RS02310	CIB43_RS01890
OG0000346	MYF_RS02875	CIB43_RS00490
OG0000347	MYF_RS01755	CIB43_RS02270
OG0000348	MYF_RS02100	CIB43_RS01685
OG0000349	MYF_RS02930	CIB43_RS00550
OG0000350	MYF_RS03360	CIB43_RS03675
OG0000351	MYF_RS00465	CIB43_RS01385
OG0000352	MYF_RS01260	CIB43_RS02830
OG0000353	MYF_RS01725	CIB43_RS02240
OG0000354	MYF_RS00580	CIB43_RS01515
OG0000355	MYF_RS01235	CIB43_RS02805
OG0000356	MYF_RS01315	CIB43_RS02890
OG0000357	MYF_RS02615	CIB43_RS00175
OG0000358	MYF_RS02620	CIB43_RS00180
OG0000359	MYF_RS02070	CIB43_RS01650
OG0000360	MYF_RS00240	CIB43_RS00990
OG0000361	MYF_RS00270	CIB43_RS01020
OG0000362	MYF_RS01065	CIB43_RS03475
OG0000363	MYF_RS01795	CIB43_RS02310
OG0000369	MYF_RS00025	CIB43_RS00725
OG0000370	MYF_RS00020	CIB43_RS00720
OG0000378	MYF_RS01650	CIB43_RS02160
OG0000379	MYF_RS01720	CIB43_RS02235
OG0000380	MYF_RS01745	CIB43_RS02260
OG0000381	MYF_RS01785	CIB43_RS02300
OG0000385	MYF_RS00475	CIB43_RS01405
OG0000389	MYF_RS00560	CIB43_RS01490
OG0000394	MYF_RS00825	CIB43_RS03660
OG0000396	MYF_RS01200	CIB43_RS03350
OG0000403	MYF_RS02660	CIB43_RS00220
OG0000404	MYF_RS02685	CIB43_RS00250
OG0000405	MYF_RS02700	CIB43_RS00265
OG0000409	MYF_RS02745	CIB43_RS00345
OG0000412	MYF_RS02795	CIB43_RS00390
OG0000417	MYF_RS01945	CIB43_RS03185
OG0000428	MYF_RS02210	CIB43_RS01785
OG0000429	MYF_RS02300	CIB43_RS01885
OG0000430	MYF_RS02345	CIB43_RS01925
OG0000434	MYF_RS02390	CIB43_RS01985
OG0000436	MYF_RS02440	CIB43_RS02030
OG0000437	MYF_RS02450	CIB43_RS02065
OG0000441	MYF_RS02515	CIB43_RS03910
OG0000451	MYF_RS00330	CIB43_RS01085
OG0000453	MYF_RS00390	CIB43_RS01315
OG0000457	MYF_RS02835	CIB43_RS00450
OG0000459	MYF_RS01070	CIB43_RS03460
OG0000463	MYF_RS01020	CIB43_RS03515
OG0000464	MYF_RS01030	CIB43_RS03500
OG0000466	MYF_RS00360	CIB43_RS01115
OG0000468	MYF_RS01290	CIB43_RS02870
OG0000471	MYF_RS02215	CIB43_RS01790
OG0000473	MYF_RS02960	CIB43_RS00580
OG0000474	MYF_RS02965	CIB43_RS00585
OG0000475	MYF_RS02970	CIB43_RS00595
OG0000482	MYF_RS01975	CIB43_RS02080
OG0000485	MYF_RS02445	CIB43_RS02035
OG0000486	MYF_RS01925	CIB43_RS03205
OG0000487	MYF_RS01445	CIB43_RS02915
OG0000488	MYF_RS01405	CIB43_RS02940
OG0000489	MYF_RS00050	CIB43_RS00750
OG0000491	MYF_RS01700	CIB43_RS02220
OG0000492	MYF_RS01775	CIB43_RS02290
OG0000495	MYF_RS00735	CIB43_RS03750
OG0000502	MYF_RS01985	CIB43_RS02070
OG0000504	MYF_RS02190	CIB43_RS01770
OG0000506	MYF_RS02235	CIB43_RS01810
OG0000508	MYF_RS00215	CIB43_RS00980
OG0000517	MYF_RS00065	CIB43_RS00765
OG0000519	MYF_RS02080	CIB43_RS01660
OG0000520	MYF_RS02205	CIB43_RS01780
OG0000523	MYF_RS02830	CIB43_RS00445
OG0000529	MYF_RS01565	CIB43_RS03135
OG0000530	MYF_RS01630	CIB43_RS03250
OG0000531	MYF_RS01750	CIB43_RS02265
OG0000537	MYF_RS02025	CIB43_RS01595
OG0000538	MYF_RS02395	CIB43_RS01990
OG0000589	MYF_RS03220	CIB43_RS03055
OG0000595	MYF_RS02570	CIB43_RS03920
OG0000597	MYF_RS02565	CIB43_RS03915
