Orthogroup	MHP_153B_genes	MHP_KM014_genes
OG0000266	NB625_RS00405	CIB43_RS01120
OG0000267	NB625_RS00420	CIB43_RS01135
OG0000268	NB625_RS00425	CIB43_RS01305
OG0000269	NB625_RS00440	CIB43_RS01320
OG0000270	NB625_RS03640	CIB43_RS00575
OG0000271	NB625_RS03635	CIB43_RS00570
OG0000272	NB625_RS03630	CIB43_RS00565
OG0000273	NB625_RS03625	CIB43_RS00560
OG0000274	NB625_RS03610	CIB43_RS00545
OG0000275	NB625_RS03600	CIB43_RS00535
OG0000276	NB625_RS03595	CIB43_RS00530
OG0000277	NB625_RS03585	CIB43_RS00525
OG0000278	NB625_RS03580	CIB43_RS00515
OG0000279	NB625_RS03570	CIB43_RS00510
OG0000280	NB625_RS03565	CIB43_RS00500
OG0000281	NB625_RS03560	CIB43_RS00495
OG0000283	NB625_RS03530	CIB43_RS00475
OG0000284	NB625_RS03525	CIB43_RS00460
OG0000285	NB625_RS03520	CIB43_RS00455
OG0000286	NB625_RS02570	CIB43_RS03345
OG0000287	NB625_RS02670	CIB43_RS03440
OG0000288	NB625_RS02680	CIB43_RS03450
OG0000289	NB625_RS02685	CIB43_RS03455
OG0000290	NB625_RS02800	CIB43_RS03565
OG0000291	NB625_RS02790	CIB43_RS03560
OG0000292	NB625_RS02785	CIB43_RS03550
OG0000293	NB625_RS02780	CIB43_RS03545
OG0000294	NB625_RS02770	CIB43_RS03540
OG0000295	NB625_RS02765	CIB43_RS03530
OG0000296	NB625_RS02720	CIB43_RS03495
OG0000297	NB625_RS02715	CIB43_RS03485
OG0000298	NB625_RS00180	CIB43_RS00880
OG0000299	NB625_RS00200	CIB43_RS00915
OG0000300	NB625_RS00375	CIB43_RS01090
OG0000301	NB625_RS00410	CIB43_RS01125
OG0000302	NB625_RS00415	CIB43_RS01130
OG0000303	NB625_RS00560	CIB43_RS01455
OG0000304	NB625_RS00605	CIB43_RS01950
OG0000305	NB625_RS03035	CIB43_RS03795
OG0000306	NB625_RS02960	CIB43_RS03725
OG0000307	NB625_RS02925	CIB43_RS03685
OG0000308	NB625_RS02825	CIB43_RS03600
OG0000309	NB625_RS02755	CIB43_RS03520
OG0000310	NB625_RS02675	CIB43_RS03445
OG0000311	NB625_RS02630	CIB43_RS03405
OG0000312	NB625_RS02615	CIB43_RS03390
OG0000313	NB625_RS01600	CIB43_RS02485
OG0000314	NB625_RS01955	CIB43_RS02855
OG0000315	NB625_RS01985	CIB43_RS02885
OG0000316	NB625_RS01995	CIB43_RS02895
OG0000317	NB625_RS02185	CIB43_RS02985
OG0000318	NB625_RS02000	CIB43_RS02900
OG0000319	NB625_RS02375	CIB43_RS03125
OG0000320	NB625_RS02505	CIB43_RS03270
OG0000321	NB625_RS01335	CIB43_RS02200
OG0000322	NB625_RS01380	CIB43_RS02245
OG0000323	NB625_RS01515	CIB43_RS02375
OG0000324	NB625_RS02415	CIB43_RS03170
OG0000325	NB625_RS00985	CIB43_RS01570
OG0000326	NB625_RS00885	CIB43_RS01665
OG0000327	NB625_RS00880	CIB43_RS01670
OG0000328	NB625_RS00795	CIB43_RS01760
OG0000329	NB625_RS00775	CIB43_RS01775
OG0000330	NB625_RS01110	CIB43_RS01970
OG0000331	NB625_RS03130	CIB43_RS03890
OG0000332	NB625_RS03270	CIB43_RS00200
OG0000333	NB625_RS03280	CIB43_RS00210
OG0000334	NB625_RS03385	CIB43_RS00315
OG0000335	NB625_RS03395	CIB43_RS00340
OG0000336	NB625_RS03550	CIB43_RS00485
OG0000337	NB625_RS03715	CIB43_RS00655
OG0000338	NB625_RS03755	CIB43_RS00695
OG0000339	NB625_RS02480	CIB43_RS03235
OG0000340	NB625_RS01315	CIB43_RS02185
OG0000341	NB625_RS02440	CIB43_RS03190
OG0000342	NB625_RS00955	CIB43_RS01600
OG0000343	NB625_RS03290	CIB43_RS00215
OG0000344	NB625_RS00575	CIB43_RS01465
OG0000345	NB625_RS00660	CIB43_RS01890
OG0000346	NB625_RS03555	CIB43_RS00490
OG0000347	NB625_RS01405	CIB43_RS02270
OG0000348	NB625_RS00875	CIB43_RS01685
OG0000349	NB625_RS03615	CIB43_RS00550
OG0000350	NB625_RS02915	CIB43_RS03675
OG0000351	NB625_RS00495	CIB43_RS01385
OG0000352	NB625_RS01935	CIB43_RS02830
OG0000353	NB625_RS01375	CIB43_RS02240
OG0000354	NB625_RS01050	CIB43_RS01515
OG0000355	NB625_RS01910	CIB43_RS02805
OG0000356	NB625_RS01990	CIB43_RS02890
OG0000357	NB625_RS03245	CIB43_RS00175
OG0000358	NB625_RS03250	CIB43_RS00180
OG0000359	NB625_RS00905	CIB43_RS01650
OG0000360	NB625_RS00280	CIB43_RS00990
OG0000361	NB625_RS00310	CIB43_RS01020
OG0000362	NB625_RS02695	CIB43_RS03475
OG0000363	NB625_RS01445	CIB43_RS02310
OG0000369	NB625_RS00025	CIB43_RS00725
OG0000370	NB625_RS00020	CIB43_RS00720
OG0000378	NB625_RS01295	CIB43_RS02160
OG0000379	NB625_RS01370	CIB43_RS02235
OG0000380	NB625_RS01400	CIB43_RS02260
OG0000381	NB625_RS01435	CIB43_RS02300
OG0000385	NB625_RS00520	CIB43_RS01405
OG0000389	NB625_RS01070	CIB43_RS01490
OG0000394	NB625_RS02895	CIB43_RS03660
OG0000396	NB625_RS02575	CIB43_RS03350
OG0000403	NB625_RS03295	CIB43_RS00220
OG0000405	NB625_RS03350	CIB43_RS00265
OG0000409	NB625_RS03415	CIB43_RS00345
OG0000412	NB625_RS03460	CIB43_RS00390
OG0000417	NB625_RS02435	CIB43_RS03185
OG0000428	NB625_RS00765	CIB43_RS01785
OG0000429	NB625_RS00670	CIB43_RS01885
OG0000430	NB625_RS00625	CIB43_RS01925
OG0000434	NB625_RS01130	CIB43_RS01985
OG0000436	NB625_RS01165	CIB43_RS02030
OG0000437	NB625_RS01175	CIB43_RS02065
OG0000441	NB625_RS03150	CIB43_RS03910
OG0000451	NB625_RS00370	CIB43_RS01085
OG0000453	NB625_RS00430	CIB43_RS01315
OG0000457	NB625_RS03510	CIB43_RS00450
OG0000459	NB625_RS02690	CIB43_RS03460
OG0000463	NB625_RS02735	CIB43_RS03515
OG0000464	NB625_RS02730	CIB43_RS03500
OG0000466	NB625_RS00400	CIB43_RS01115
OG0000468	NB625_RS01965	CIB43_RS02870
OG0000471	NB625_RS00760	CIB43_RS01790
OG0000473	NB625_RS03645	CIB43_RS00580
OG0000474	NB625_RS03650	CIB43_RS00585
OG0000475	NB625_RS03655	CIB43_RS00595
OG0000482	NB625_RS01205	CIB43_RS02080
OG0000485	NB625_RS01170	CIB43_RS02035
OG0000486	NB625_RS02455	CIB43_RS03205
OG0000487	NB625_RS02005	CIB43_RS02915
OG0000488	NB625_RS02045	CIB43_RS02940
OG0000489	NB625_RS00050	CIB43_RS00750
OG0000491	NB625_RS01350	CIB43_RS02220
OG0000492	NB625_RS01425	CIB43_RS02290
OG0000495	NB625_RS02990	CIB43_RS03750
OG0000504	NB625_RS00785	CIB43_RS01770
OG0000506	NB625_RS00740	CIB43_RS01810
OG0000508	NB625_RS00255	CIB43_RS00980
OG0000517	NB625_RS00065	CIB43_RS00765
OG0000520	NB625_RS00770	CIB43_RS01780
OG0000526	NB625_RS01825	CIB43_RS02720
OG0000527	NB625_RS01765	CIB43_RS02640
OG0000529	NB625_RS02385	CIB43_RS03135
OG0000530	NB625_RS02490	CIB43_RS03250
OG0000543	NB625_RS02070	CIB43_RS01215
OG0000544	NB625_RS01250	CIB43_RS02125
OG0000545	NB625_RS01815	CIB43_RS02715
OG0000546	NB625_RS02945	CIB43_RS03705
OG0000552	NB625_RS03305	CIB43_RS00225
OG0000553	NB625_RS02850, NB625_RS02845	CIB43_RS03610
OG0000554	NB625_RS02535	CIB43_RS03295
OG0000556	NB625_RS02130	CIB43_RS01290
OG0000557	NB625_RS01265	CIB43_RS02130
OG0000558	NB625_RS01230	CIB43_RS02100
OG0000559	NB625_RS01705	CIB43_RS02575
OG0000560	NB625_RS01805	CIB43_RS02680
OG0000561	NB625_RS01115	CIB43_RS01980
OG0000562	NB625_RS01810	CIB43_RS02685
OG0000563	NB625_RS01800	CIB43_RS02670
OG0000564	NB625_RS01290	CIB43_RS02155
OG0000565	NB625_RS01875	CIB43_RS02760
OG0000566	NB625_RS01855	CIB43_RS02740
OG0000568	NB625_RS01000	CIB43_RS01555
OG0000569	NB625_RS01235	CIB43_RS02105
OG0000570	NB625_RS01240	CIB43_RS02110
OG0000571	NB625_RS01245	CIB43_RS02115
OG0000572	NB625_RS01270	CIB43_RS02135
OG0000573	NB625_RS01700	CIB43_RS02570
OG0000574	NB625_RS01310	CIB43_RS02175
OG0000575	NB625_RS01220	CIB43_RS02090
OG0000576	NB625_RS01655	CIB43_RS02530
OG0000577	NB625_RS02815	CIB43_RS03580
OG0000579	NB625_RS01785	CIB43_RS02660
OG0000580	NB625_RS02950	CIB43_RS03710
OG0000581	NB625_RS01770	CIB43_RS02645
OG0000584	NB625_RS02095	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255
OG0000585	NB625_RS02355	CIB43_RS03105
OG0000588	NB625_RS01645	CIB43_RS02525
OG0000589	NB625_RS02245	CIB43_RS03055
OG0000590	NB625_RS02085	CIB43_RS01190
OG0000592	NB625_RS02805	CIB43_RS03570
OG0000594	NB625_RS01225	CIB43_RS02095
OG0000595	NB625_RS03165	CIB43_RS03920
OG0000597	NB625_RS03160	CIB43_RS03915
OG0000600	NB625_RS02100	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260
OG0000603	NB625_RS02105	CIB43_RS01270
OG0000606	NB625_RS01775	CIB43_RS02655
OG0000609	NB625_RS01835	CIB43_RS02730
OG0000614	NB625_RS02265	CIB43_RS03070
OG0000616	NB625_RS02120	CIB43_RS01280
OG0000624	NB625_RS03310	CIB43_RS00230
