Orthogroup	MHP_153B_genes	MHP_F72C_genes
OG0000038	NB625_RS01745	EHI52_RS02145
OG0000038	NB625_RS00500	EHI52_RS00515
OG0000039	NB625_RS01615	EHI52_RS01675
OG0000040	NB625_RS03440	EHI52_RS03295
OG0000041	NB625_RS01015, NB625_RS01195	EHI52_RS03655
OG0000043	NB625_RS01915	EHI52_RS02020
OG0000044	NB625_RS01680	EHI52_RS03910
OG0000045	NB625_RS01620	EHI52_RS01680
OG0000046	NB625_RS03445	EHI52_RS03305
OG0000048	NB625_RS02195	EHI52_RS01840
OG0000049	NB625_RS03205	EHI52_RS03065
OG0000050	NB625_RS02595	EHI52_RS02450
OG0000051	NB625_RS02810	EHI52_RS02650
OG0000052	NB625_RS00075	EHI52_RS00075
OG0000053	NB625_RS01450	EHI52_RS01510
OG0000054	NB625_RS02620	EHI52_RS02475
OG0000055	NB625_RS00135	EHI52_RS00135
OG0000056	NB625_RS03680	EHI52_RS03530
OG0000057	NB625_RS03080	EHI52_RS02915
OG0000060	NB625_RS00080	EHI52_RS00080
OG0000061	NB625_RS01860	EHI52_RS02075
OG0000062	NB625_RS03725	EHI52_RS03585
OG0000063	NB625_RS03720	EHI52_RS03580
OG0000064	NB625_RS03710	EHI52_RS03570
OG0000065	NB625_RS02395	EHI52_RS02260
OG0000066	NB625_RS01355	EHI52_RS01415
OG0000067	NB625_RS00525	EHI52_RS00540
OG0000068	NB625_RS01040	EHI52_RS00660
OG0000069	NB625_RS02975	EHI52_RS02805
OG0000070	NB625_RS02625	EHI52_RS02480
OG0000071	NB625_RS03430	EHI52_RS03285
OG0000072	NB625_RS03435	EHI52_RS03290
OG0000073	NB625_RS00980	EHI52_RS00705
OG0000074	NB625_RS00780	EHI52_RS00900
OG0000075	NB625_RS00345	EHI52_RS00355
OG0000076	NB625_RS00360	EHI52_RS00370
OG0000077	NB625_RS00445	EHI52_RS00460
OG0000078	NB625_RS01685	EHI52_RS01735
OG0000079	NB625_RS02710	EHI52_RS02555
OG0000080	NB625_RS02760	EHI52_RS03675
OG0000081	NB625_RS00340	EHI52_RS00350
OG0000082	NB625_RS02540	EHI52_RS02405
OG0000083	NB625_RS02020	EHI52_RS01915
OG0000084	NB625_RS02050	EHI52_RS01890
OG0000085	NB625_RS02055	EHI52_RS01885
OG0000086	NB625_RS02160	EHI52_RS01875
OG0000087	NB625_RS02175	EHI52_RS01860
OG0000088	NB625_RS02180	EHI52_RS01855
OG0000089	NB625_RS02190	EHI52_RS01845
OG0000090	NB625_RS00070	EHI52_RS00070
OG0000091	NB625_RS00055	EHI52_RS00055
OG0000092	NB625_RS00040	EHI52_RS00040
OG0000093	NB625_RS00035	EHI52_RS00035
OG0000094	NB625_RS00030	EHI52_RS00030
OG0000095	NB625_RS00005	EHI52_RS00005
OG0000096	NB625_RS03760	EHI52_RS03620
OG0000097	NB625_RS03740	EHI52_RS03600
OG0000098	NB625_RS03730	EHI52_RS03590
OG0000099	NB625_RS03685	EHI52_RS03540
OG0000100	NB625_RS03675	EHI52_RS03520
OG0000101	NB625_RS03665	EHI52_RS03515
OG0000102	NB625_RS01710	EHI52_RS01760
OG0000103	NB625_RS02360	EHI52_RS02225
OG0000104	NB625_RS02365	EHI52_RS02230
OG0000105	NB625_RS02380	EHI52_RS02245
OG0000106	NB625_RS02390	EHI52_RS02255
OG0000107	NB625_RS02400	EHI52_RS02265
OG0000108	NB625_RS02405	EHI52_RS02270
OG0000109	NB625_RS02410	EHI52_RS02275
OG0000110	NB625_RS02530	EHI52_RS02395
OG0000111	NB625_RS02525	EHI52_RS02390
OG0000112	NB625_RS02515	EHI52_RS02380
OG0000113	NB625_RS02495	EHI52_RS02360
OG0000114	NB625_RS02485	EHI52_RS02350
OG0000115	NB625_RS02475	EHI52_RS02335
OG0000116	NB625_RS01300	EHI52_RS01360
OG0000117	NB625_RS01305	EHI52_RS01365
OG0000118	NB625_RS01340	EHI52_RS01400
OG0000119	NB625_RS01345	EHI52_RS01405
OG0000120	NB625_RS01360	EHI52_RS01420
OG0000121	NB625_RS01385	EHI52_RS01445
OG0000122	NB625_RS01390	EHI52_RS01450
OG0000123	NB625_RS01410	EHI52_RS01470
OG0000124	NB625_RS01415	EHI52_RS01475
OG0000125	NB625_RS01420	EHI52_RS01480
OG0000126	NB625_RS01430	EHI52_RS01490
OG0000127	NB625_RS01440	EHI52_RS01500
OG0000128	NB625_RS01460	EHI52_RS01515
OG0000129	NB625_RS01465	EHI52_RS01520
OG0000130	NB625_RS01475	EHI52_RS01530
OG0000131	NB625_RS01505	EHI52_RS01560
OG0000132	NB625_RS01520	EHI52_RS01575
OG0000133	NB625_RS00530	EHI52_RS00545
OG0000134	NB625_RS00535	EHI52_RS00550
OG0000135	NB625_RS00550	EHI52_RS00565
OG0000136	NB625_RS00555	EHI52_RS00570
OG0000137	NB625_RS00595	EHI52_RS00600
OG0000138	NB625_RS01065	EHI52_RS00635
OG0000139	NB625_RS01035	EHI52_RS00665
OG0000140	NB625_RS01030	EHI52_RS00670
OG0000141	NB625_RS03090	EHI52_RS02925
OG0000142	NB625_RS03085	EHI52_RS02920
OG0000143	NB625_RS03065	EHI52_RS02895
OG0000144	NB625_RS03050	EHI52_RS02885
OG0000145	NB625_RS03040	EHI52_RS02875
OG0000146	NB625_RS03030	EHI52_RS02865
OG0000147	NB625_RS03025	EHI52_RS02860
OG0000148	NB625_RS03010	EHI52_RS02845
OG0000149	NB625_RS03000	EHI52_RS02835
OG0000150	NB625_RS02985	EHI52_RS02820
OG0000151	NB625_RS02940	EHI52_RS02775
OG0000152	NB625_RS02935	EHI52_RS02770
OG0000153	NB625_RS02930	EHI52_RS02765
OG0000154	NB625_RS02920	EHI52_RS02755
OG0000155	NB625_RS02880	EHI52_RS02715
OG0000156	NB625_RS02870	EHI52_RS02705
OG0000157	NB625_RS02865	EHI52_RS02700
OG0000158	NB625_RS02855	EHI52_RS03885
OG0000159	NB625_RS02610	EHI52_RS03925
OG0000160	NB625_RS02605	EHI52_RS02460
OG0000161	NB625_RS02600	EHI52_RS02455
OG0000162	NB625_RS02590	EHI52_RS02445
OG0000163	NB625_RS02585	EHI52_RS02440
OG0000164	NB625_RS01610	EHI52_RS01665
OG0000165	NB625_RS01945	EHI52_RS01995
OG0000166	NB625_RS01960	EHI52_RS01975
OG0000167	NB625_RS01975	EHI52_RS01960
OG0000168	NB625_RS01980	EHI52_RS01955
OG0000169	NB625_RS03200	EHI52_RS03055
OG0000170	NB625_RS03215	EHI52_RS03075
OG0000171	NB625_RS03225	EHI52_RS03085
OG0000172	NB625_RS03230	EHI52_RS03095
OG0000173	NB625_RS03235	EHI52_RS03100
OG0000174	NB625_RS03240	EHI52_RS03105
OG0000175	NB625_RS03255	EHI52_RS03120
OG0000176	NB625_RS03315	EHI52_RS03170
OG0000177	NB625_RS03320	EHI52_RS03175
OG0000178	NB625_RS03330	EHI52_RS03180
OG0000179	NB625_RS03335	EHI52_RS03190
OG0000180	NB625_RS03340	EHI52_RS03195
OG0000181	NB625_RS03380	EHI52_RS03235
OG0000182	NB625_RS03390	EHI52_RS03245
OG0000183	NB625_RS03425	EHI52_RS03280
OG0000184	NB625_RS03470	EHI52_RS03325
OG0000185	NB625_RS03455	EHI52_RS03310
OG0000186	NB625_RS01530	EHI52_RS01585
OG0000187	NB625_RS01545	EHI52_RS01600
OG0000188	NB625_RS01555	EHI52_RS01610
OG0000189	NB625_RS02450	EHI52_RS02310
OG0000190	NB625_RS02445	EHI52_RS02305
OG0000191	NB625_RS02420	EHI52_RS02285
OG0000192	NB625_RS01215	EHI52_RS01280
OG0000193	NB625_RS01200	EHI52_RS01270
OG0000194	NB625_RS00995	EHI52_RS00690
OG0000195	NB625_RS00990	EHI52_RS00695
OG0000196	NB625_RS00965	EHI52_RS00715
OG0000197	NB625_RS00960	EHI52_RS00720
OG0000198	NB625_RS00945	EHI52_RS00735
OG0000199	NB625_RS00940	EHI52_RS00740
OG0000200	NB625_RS00925	EHI52_RS00755
OG0000201	NB625_RS00915	EHI52_RS00765
OG0000202	NB625_RS00860	EHI52_RS00820
OG0000203	NB625_RS00855	EHI52_RS00825
OG0000204	NB625_RS00850	EHI52_RS00830
OG0000205	NB625_RS00845	EHI52_RS00835
OG0000206	NB625_RS00825	EHI52_RS00855
OG0000207	NB625_RS00810	EHI52_RS00870
OG0000208	NB625_RS00805	EHI52_RS00875
OG0000209	NB625_RS00800	EHI52_RS00880
OG0000210	NB625_RS00755	EHI52_RS00925
OG0000211	NB625_RS00745	EHI52_RS01005
OG0000212	NB625_RS00735	EHI52_RS01015
OG0000213	NB625_RS00730	EHI52_RS01020
OG0000214	NB625_RS00725	EHI52_RS01025
OG0000215	NB625_RS00720	EHI52_RS01030
OG0000216	NB625_RS00715	EHI52_RS01035
OG0000217	NB625_RS00710	EHI52_RS01040
OG0000218	NB625_RS00700	EHI52_RS01050
OG0000219	NB625_RS00695	EHI52_RS01055
OG0000220	NB625_RS00690	EHI52_RS01060
OG0000221	NB625_RS00685	EHI52_RS01065
OG0000222	NB625_RS00680	EHI52_RS01070
OG0000223	NB625_RS00675	EHI52_RS01075
OG0000224	NB625_RS00665	EHI52_RS01085
OG0000225	NB625_RS00655	EHI52_RS01095
OG0000226	NB625_RS00650	EHI52_RS01100
OG0000227	NB625_RS00645	EHI52_RS01105
OG0000228	NB625_RS00640	EHI52_RS03905
OG0000229	NB625_RS00635	EHI52_RS01115
OG0000230	NB625_RS00630	EHI52_RS01120
OG0000231	NB625_RS00620	EHI52_RS01130
OG0000232	NB625_RS00610	EHI52_RS01140
OG0000233	NB625_RS01100	EHI52_RS01165
OG0000234	NB625_RS01135	EHI52_RS01200
OG0000235	NB625_RS01145	EHI52_RS01210
OG0000236	NB625_RS01150	EHI52_RS01215
OG0000237	NB625_RS01155	EHI52_RS01220
OG0000238	NB625_RS01160	EHI52_RS01230
OG0000239	NB625_RS03100	EHI52_RS02935
OG0000240	NB625_RS03105	EHI52_RS02940
OG0000241	NB625_RS03115	EHI52_RS02950
OG0000242	NB625_RS03120	EHI52_RS02955
OG0000243	NB625_RS03125	EHI52_RS02960
OG0000244	NB625_RS03135	EHI52_RS02970
OG0000245	NB625_RS03145	EHI52_RS02980
OG0000246	NB625_RS00145	EHI52_RS00140
OG0000247	NB625_RS00155	EHI52_RS00150
OG0000248	NB625_RS00165	EHI52_RS00160
OG0000249	NB625_RS00170	EHI52_RS00165
OG0000250	NB625_RS00185	EHI52_RS00180
OG0000251	NB625_RS00215	EHI52_RS00215
OG0000252	NB625_RS00225	EHI52_RS00225
OG0000253	NB625_RS00230	EHI52_RS00230
OG0000254	NB625_RS00240	EHI52_RS00240
OG0000255	NB625_RS00245	EHI52_RS00250
OG0000256	NB625_RS00250	EHI52_RS00255
OG0000257	NB625_RS00275	EHI52_RS00280
OG0000258	NB625_RS00285	EHI52_RS00290
OG0000259	NB625_RS00315	EHI52_RS00320
OG0000260	NB625_RS00325	EHI52_RS00330
OG0000261	NB625_RS00335	EHI52_RS00340
OG0000262	NB625_RS00350	EHI52_RS00360
OG0000263	NB625_RS00365	EHI52_RS00375
OG0000264	NB625_RS00385	EHI52_RS00390
OG0000265	NB625_RS00390	EHI52_RS00400
OG0000266	NB625_RS00405	EHI52_RS00415
OG0000267	NB625_RS00420	EHI52_RS00430
OG0000268	NB625_RS00425	EHI52_RS00435
OG0000269	NB625_RS00440	EHI52_RS00450
OG0000270	NB625_RS03640	EHI52_RS03490
OG0000271	NB625_RS03635	EHI52_RS03485
OG0000272	NB625_RS03630	EHI52_RS03480
OG0000273	NB625_RS03625	EHI52_RS03475
OG0000274	NB625_RS03610	EHI52_RS03455
OG0000275	NB625_RS03600	EHI52_RS03450
OG0000276	NB625_RS03595	EHI52_RS03445
OG0000277	NB625_RS03585	EHI52_RS03435
OG0000278	NB625_RS03580	EHI52_RS03430
OG0000279	NB625_RS03570	EHI52_RS03420
OG0000280	NB625_RS03565	EHI52_RS03415
OG0000281	NB625_RS03560	EHI52_RS03410
OG0000282	NB625_RS03535	EHI52_RS03385
OG0000283	NB625_RS03530	EHI52_RS03380
OG0000284	NB625_RS03525	EHI52_RS03375
OG0000285	NB625_RS03520	EHI52_RS03370
OG0000286	NB625_RS02570	EHI52_RS02425
OG0000287	NB625_RS02670	EHI52_RS02515
OG0000288	NB625_RS02680	EHI52_RS02525
OG0000289	NB625_RS02685	EHI52_RS02530
OG0000290	NB625_RS02800	EHI52_RS02640
OG0000291	NB625_RS02790	EHI52_RS02630
OG0000292	NB625_RS02785	EHI52_RS02625
OG0000293	NB625_RS02780	EHI52_RS02620
OG0000294	NB625_RS02770	EHI52_RS02610
OG0000295	NB625_RS02765	EHI52_RS02605
OG0000296	NB625_RS02720	EHI52_RS02565
OG0000297	NB625_RS02715	EHI52_RS02560
OG0000298	NB625_RS00180	EHI52_RS00175
OG0000299	NB625_RS00200	EHI52_RS00200
OG0000300	NB625_RS00375	EHI52_RS00385
OG0000301	NB625_RS00410	EHI52_RS00420
OG0000302	NB625_RS00415	EHI52_RS00425
OG0000303	NB625_RS00560	EHI52_RS00575
OG0000304	NB625_RS00605	EHI52_RS01145
OG0000305	NB625_RS03035	EHI52_RS02870
OG0000306	NB625_RS02960	EHI52_RS02795
OG0000307	NB625_RS02925	EHI52_RS02760
OG0000308	NB625_RS02825	EHI52_RS02660
OG0000309	NB625_RS02755	EHI52_RS02595
OG0000310	NB625_RS02675	EHI52_RS02520
OG0000311	NB625_RS02630	EHI52_RS02485
OG0000312	NB625_RS02615	EHI52_RS02470
OG0000313	NB625_RS01600	EHI52_RS01655
OG0000314	NB625_RS01955	EHI52_RS01980
OG0000315	NB625_RS01985	EHI52_RS01950
OG0000316	NB625_RS01995	EHI52_RS01940
OG0000317	NB625_RS02185	EHI52_RS01850
OG0000318	NB625_RS02000	EHI52_RS01935
OG0000319	NB625_RS02375	EHI52_RS02240
OG0000320	NB625_RS02505	EHI52_RS02370
OG0000321	NB625_RS01335	EHI52_RS01395
OG0000322	NB625_RS01380	EHI52_RS01440
OG0000323	NB625_RS01515	EHI52_RS01570
OG0000324	NB625_RS02415	EHI52_RS02280
OG0000325	NB625_RS00985	EHI52_RS00700
OG0000326	NB625_RS00885	EHI52_RS00795
OG0000327	NB625_RS00880	EHI52_RS00800
OG0000328	NB625_RS00795	EHI52_RS00885
OG0000329	NB625_RS00775	EHI52_RS00905
OG0000330	NB625_RS01110	EHI52_RS01175
OG0000331	NB625_RS03130	EHI52_RS02965
OG0000332	NB625_RS03270	EHI52_RS03130
OG0000333	NB625_RS03280	EHI52_RS03140
OG0000334	NB625_RS03385	EHI52_RS03240
OG0000335	NB625_RS03395	EHI52_RS03250
OG0000336	NB625_RS03550	EHI52_RS03400
OG0000337	NB625_RS03715	EHI52_RS03575
OG0000338	NB625_RS03755	EHI52_RS03615
OG0000339	NB625_RS02480	EHI52_RS02340
OG0000340	NB625_RS01315	EHI52_RS01375
OG0000341	NB625_RS02440	EHI52_RS02300
OG0000342	NB625_RS00955	EHI52_RS00730
OG0000343	NB625_RS03290	EHI52_RS03150
OG0000344	NB625_RS00575	EHI52_RS00590
OG0000345	NB625_RS00660	EHI52_RS01090
OG0000346	NB625_RS03555	EHI52_RS03405
OG0000347	NB625_RS01405	EHI52_RS01465
OG0000348	NB625_RS00875	EHI52_RS00805
OG0000349	NB625_RS03615	EHI52_RS03465
OG0000350	NB625_RS02915	EHI52_RS02750
OG0000351	NB625_RS00495	EHI52_RS00510
OG0000352	NB625_RS01935	EHI52_RS02000
OG0000353	NB625_RS01375	EHI52_RS01435
OG0000354	NB625_RS01050	EHI52_RS00650
OG0000355	NB625_RS01910	EHI52_RS02030
OG0000356	NB625_RS01990	EHI52_RS01945
OG0000357	NB625_RS03245	EHI52_RS03110
OG0000358	NB625_RS03250	EHI52_RS03115
OG0000359	NB625_RS00905	EHI52_RS00775
OG0000360	NB625_RS00280	EHI52_RS00285
OG0000361	NB625_RS00310	EHI52_RS00315
OG0000362	NB625_RS02695	EHI52_RS02540
OG0000363	NB625_RS01445	EHI52_RS01505
OG0000364	NB625_RS01885	EHI52_RS02055
OG0000365	NB625_RS02040	EHI52_RS01905
OG0000366	NB625_RS02060	EHI52_RS01880
OG0000367	NB625_RS02165	EHI52_RS01870
OG0000368	NB625_RS00060	EHI52_RS00060
OG0000369	NB625_RS00025	EHI52_RS00025
OG0000370	NB625_RS00020	EHI52_RS00020
OG0000371	NB625_RS00015	EHI52_RS00015
OG0000372	NB625_RS00010	EHI52_RS00010
OG0000373	NB625_RS03745	EHI52_RS03605
OG0000374	NB625_RS03735	EHI52_RS03595
OG0000375	NB625_RS02370	EHI52_RS02235
OG0000376	NB625_RS02520	EHI52_RS02385
OG0000377	NB625_RS02510	EHI52_RS02375
OG0000378	NB625_RS01295	EHI52_RS01355
OG0000379	NB625_RS01370	EHI52_RS01430
OG0000380	NB625_RS01400	EHI52_RS01455
OG0000381	NB625_RS01435	EHI52_RS01495
OG0000382	NB625_RS01470	EHI52_RS01525
OG0000383	NB625_RS01510	EHI52_RS01565
OG0000384	NB625_RS00515	EHI52_RS00530
OG0000385	NB625_RS00520	EHI52_RS00535
OG0000386	NB625_RS00540	EHI52_RS00555
OG0000387	NB625_RS00565	EHI52_RS00580
OG0000388	NB625_RS00570	EHI52_RS00585
OG0000389	NB625_RS01070	EHI52_RS00630
OG0000390	NB625_RS03055	EHI52_RS02890
OG0000391	NB625_RS03045	EHI52_RS02880
OG0000392	NB625_RS03020	EHI52_RS02855
OG0000393	NB625_RS02965	EHI52_RS02800
OG0000394	NB625_RS02895	EHI52_RS02725
OG0000395	NB625_RS02885	EHI52_RS02720
OG0000396	NB625_RS02575	EHI52_RS02430
OG0000397	NB625_RS01920	EHI52_RS02015
OG0000398	NB625_RS01925	EHI52_RS02010
OG0000399	NB625_RS01970	EHI52_RS01965
OG0000400	NB625_RS03210	EHI52_RS03070
OG0000401	NB625_RS03275	EHI52_RS03135
OG0000402	NB625_RS03285	EHI52_RS03145
OG0000403	NB625_RS03295	EHI52_RS03155
OG0000405	NB625_RS03350	EHI52_RS03200
OG0000406	NB625_RS03400	EHI52_RS03255
OG0000407	NB625_RS03405	EHI52_RS03260
OG0000408	NB625_RS03410	EHI52_RS03265
OG0000409	NB625_RS03415	EHI52_RS03270
OG0000410	NB625_RS03480	EHI52_RS03330
OG0000411	NB625_RS03465	EHI52_RS03320
OG0000412	NB625_RS03460	EHI52_RS03315
OG0000413	NB625_RS01525	EHI52_RS01580
OG0000414	NB625_RS01535	EHI52_RS01590
OG0000415	NB625_RS01540	EHI52_RS01595
OG0000416	NB625_RS01550	EHI52_RS01605
OG0000417	NB625_RS02435	EHI52_RS02295
OG0000418	NB625_RS02425	EHI52_RS02290
OG0000419	NB625_RS00970	EHI52_RS00710
OG0000420	NB625_RS00935	EHI52_RS00745
OG0000421	NB625_RS00900	EHI52_RS00780
OG0000422	NB625_RS00895	EHI52_RS00790
OG0000423	NB625_RS00835	EHI52_RS00845
OG0000424	NB625_RS00830	EHI52_RS00850
OG0000425	NB625_RS00820	EHI52_RS00860
OG0000426	NB625_RS00815	EHI52_RS00865
OG0000427	NB625_RS00790	EHI52_RS00890
OG0000428	NB625_RS00765	EHI52_RS00915
OG0000429	NB625_RS00670	EHI52_RS01080
OG0000430	NB625_RS00625	EHI52_RS01125
OG0000431	NB625_RS00615	EHI52_RS01135
OG0000432	NB625_RS01105	EHI52_RS01170
OG0000433	NB625_RS01120	EHI52_RS01185
OG0000434	NB625_RS01130	EHI52_RS01190
OG0000435	NB625_RS01140	EHI52_RS01205
OG0000436	NB625_RS01165	EHI52_RS01235
OG0000437	NB625_RS01175	EHI52_RS01245
OG0000438	NB625_RS01180	EHI52_RS01250
OG0000439	NB625_RS01185	EHI52_RS01255
OG0000440	NB625_RS03110	EHI52_RS02945
OG0000441	NB625_RS03150	EHI52_RS02985
OG0000442	NB625_RS00150	EHI52_RS00145
OG0000443	NB625_RS00195	EHI52_RS00195
OG0000444	NB625_RS00210	EHI52_RS00210
OG0000445	NB625_RS00235	EHI52_RS00235
OG0000446	NB625_RS00260	EHI52_RS00265
OG0000447	NB625_RS00265	EHI52_RS00270
OG0000448	NB625_RS00295	EHI52_RS00300
OG0000449	NB625_RS00320	EHI52_RS00325
OG0000450	NB625_RS00330	EHI52_RS00335
OG0000451	NB625_RS00370	EHI52_RS00380
OG0000452	NB625_RS00395	EHI52_RS00405
OG0000453	NB625_RS00430	EHI52_RS00440
OG0000455	NB625_RS03660	EHI52_RS03510
OG0000456	NB625_RS03540	EHI52_RS03390
OG0000457	NB625_RS03510	EHI52_RS03365
OG0000458	NB625_RS02665	EHI52_RS02510
OG0000459	NB625_RS02690	EHI52_RS02535
OG0000460	NB625_RS02700	EHI52_RS02545
OG0000461	NB625_RS02745	EHI52_RS02590
OG0000462	NB625_RS02740	EHI52_RS02585
OG0000463	NB625_RS02735	EHI52_RS02580
OG0000464	NB625_RS02730	EHI52_RS02575
OG0000465	NB625_RS02725	EHI52_RS02570
OG0000466	NB625_RS00400	EHI52_RS00410
OG0000467	NB625_RS02835	EHI52_RS02670
OG0000468	NB625_RS01965	EHI52_RS01970
OG0000469	NB625_RS02025	EHI52_RS01910
OG0000470	NB625_RS00840	EHI52_RS03650
OG0000471	NB625_RS00760	EHI52_RS00920
OG0000472	NB625_RS03485	EHI52_RS03340
OG0000473	NB625_RS03645	EHI52_RS03495
OG0000474	NB625_RS03650	EHI52_RS03500
OG0000475	NB625_RS03655	EHI52_RS03505
OG0000476	NB625_RS01565	EHI52_RS01615
OG0000477	NB625_RS02775	EHI52_RS02615
OG0000478	NB625_RS03590	EHI52_RS03440
OG0000479	NB625_RS01330	EHI52_RS01390
OG0000480	NB625_RS02030	EHI52_RS03665
OG0000481	NB625_RS00865	EHI52_RS00815
OG0000482	NB625_RS01205	EHI52_RS01275
OG0000483	NB625_RS02170	EHI52_RS01865
OG0000484	NB625_RS00205	EHI52_RS00205
OG0000485	NB625_RS01170	EHI52_RS01240
OG0000486	NB625_RS02455	EHI52_RS02315
OG0000487	NB625_RS02005	EHI52_RS01930
OG0000488	NB625_RS02045	EHI52_RS01895
OG0000489	NB625_RS00050	EHI52_RS00050
OG0000490	NB625_RS03750	EHI52_RS03610
OG0000491	NB625_RS01350	EHI52_RS01410
OG0000492	NB625_RS01425	EHI52_RS01485
OG0000493	NB625_RS00580	EHI52_RS00595
OG0000494	NB625_RS01045	EHI52_RS00655
OG0000495	NB625_RS02990	EHI52_RS02825
OG0000496	NB625_RS02980	EHI52_RS02815
OG0000498	NB625_RS02900	EHI52_RS02730
OG0000499	NB625_RS02860	EHI52_RS02695
OG0000500	NB625_RS01930	EHI52_RS02005
OG0000501	NB625_RS03220	EHI52_RS03080
OG0000503	NB625_RS00920	EHI52_RS00760
OG0000504	NB625_RS00785	EHI52_RS00895
OG0000505	NB625_RS00750	EHI52_RS01000
OG0000506	NB625_RS00740	EHI52_RS01010
OG0000507	NB625_RS00705	EHI52_RS01045
OG0000508	NB625_RS00255	EHI52_RS00260
OG0000509	NB625_RS00290	EHI52_RS00295
OG0000510	NB625_RS00300	EHI52_RS00305
OG0000511	NB625_RS00435	EHI52_RS00445
OG0000512	NB625_RS02705	EHI52_RS02550
OG0000513	NB625_RS03575	EHI52_RS03425
OG0000514	NB625_RS03015	EHI52_RS02850
OG0000515	NB625_RS01570, NB625_RS01840	EHI52_RS02090
OG0000516	NB625_RS02015	EHI52_RS01925
OG0000517	NB625_RS00065	EHI52_RS00065
OG0000518	NB625_RS03260	EHI52_RS03125
OG0000520	NB625_RS00770	EHI52_RS00910
OG0000521	NB625_RS00270	EHI52_RS00275
OG0000522	NB625_RS00305	EHI52_RS00310
OG0000524	NB625_RS02830	EHI52_RS02665
OG0000525	NB625_RS03490	EHI52_RS03345
OG0000526	NB625_RS01825	EHI52_RS03800
OG0000527	NB625_RS01765	EHI52_RS02185
OG0000529	NB625_RS02385	EHI52_RS02250
OG0000530	NB625_RS02490	EHI52_RS02355
