Orthogroup	MHP_112B_genes	MHP_KM014_genes
OG0000069	NBX26_RS02990	CIB43_RS03740
OG0000070	NBX26_RS02640	CIB43_RS03400
OG0000071	NBX26_RS03445	CIB43_RS00360
OG0000072	NBX26_RS03450	CIB43_RS00375
OG0000073	NBX26_RS00715	CIB43_RS01580
OG0000075	NBX26_RS00335	CIB43_RS01060
OG0000077	NBX26_RS00435	CIB43_RS01330
OG0000078	NBX26_RS01810	CIB43_RS02560
OG0000079	NBX26_RS02720	CIB43_RS03480
OG0000080	NBX26_RS02765	CIB43_RS03525
OG0000081	NBX26_RS00330	CIB43_RS01055
OG0000083	NBX26_RS02080	CIB43_RS02935
OG0000084	NBX26_RS02050	CIB43_RS02955
OG0000086	NBX26_RS02030	CIB43_RS02970
OG0000087	NBX26_RS02015	CIB43_RS02975
OG0000088	NBX26_RS02010	CIB43_RS02980
OG0000089	NBX26_RS02000	CIB43_RS02990
OG0000090	NBX26_RS00070	CIB43_RS00770
OG0000091	NBX26_RS00055	CIB43_RS00760
OG0000092	NBX26_RS00040	CIB43_RS00745
OG0000093	NBX26_RS00035	CIB43_RS00735
OG0000094	NBX26_RS00030	CIB43_RS00730
OG0000095	NBX26_RS00005	CIB43_RS00715
OG0000096	NBX26_RS03810	CIB43_RS00700
OG0000097	NBX26_RS03790	CIB43_RS00690
OG0000100	NBX26_RS03720	CIB43_RS00610
OG0000101	NBX26_RS03715	CIB43_RS00600
OG0000102	NBX26_RS01835	CIB43_RS02580
OG0000103	NBX26_RS02365	CIB43_RS03110
OG0000104	NBX26_RS02370	CIB43_RS03120
OG0000105	NBX26_RS02390	CIB43_RS03130
OG0000106	NBX26_RS02395	CIB43_RS03140
OG0000107	NBX26_RS02405	CIB43_RS03150
OG0000108	NBX26_RS02410	CIB43_RS03155
OG0000109	NBX26_RS02415	CIB43_RS03160
OG0000110	NBX26_RS02535	CIB43_RS03290
OG0000111	NBX26_RS02530	CIB43_RS03285
OG0000112	NBX26_RS02520	CIB43_RS03280
OG0000113	NBX26_RS02500	CIB43_RS03260
OG0000114	NBX26_RS02490	CIB43_RS03245
OG0000115	NBX26_RS02480	CIB43_RS03230
OG0000116	NBX26_RS01420	CIB43_RS02165
OG0000117	NBX26_RS01425	CIB43_RS02170
OG0000118	NBX26_RS01460	CIB43_RS02205
OG0000119	NBX26_RS01470	CIB43_RS02210
OG0000120	NBX26_RS01485	CIB43_RS02230
OG0000121	NBX26_RS01515	CIB43_RS02250
OG0000122	NBX26_RS01520	CIB43_RS02255
OG0000123	NBX26_RS01540	CIB43_RS02275
OG0000124	NBX26_RS01545	CIB43_RS02280
OG0000125	NBX26_RS01550	CIB43_RS02285
OG0000126	NBX26_RS01560	CIB43_RS02295
OG0000127	NBX26_RS01570	CIB43_RS02305
OG0000128	NBX26_RS01585	CIB43_RS02320
OG0000129	NBX26_RS01590	CIB43_RS02330
OG0000130	NBX26_RS01600	CIB43_RS02335
OG0000131	NBX26_RS01630	CIB43_RS02370
OG0000132	NBX26_RS01645	CIB43_RS02385
OG0000133	NBX26_RS00530	CIB43_RS01415
OG0000134	NBX26_RS00535	CIB43_RS01425
OG0000135	NBX26_RS00550	CIB43_RS01435
OG0000136	NBX26_RS00555	CIB43_RS01440
OG0000137	NBX26_RS00595	CIB43_RS01470
OG0000138	NBX26_RS00620	CIB43_RS01495
OG0000139	NBX26_RS00650	CIB43_RS01525
OG0000140	NBX26_RS00655	CIB43_RS01540
OG0000141	NBX26_RS03105	CIB43_RS03850
OG0000142	NBX26_RS03100	CIB43_RS03845
OG0000143	NBX26_RS03085	CIB43_RS03835
OG0000144	NBX26_RS03070	CIB43_RS03815
OG0000145	NBX26_RS03060	CIB43_RS03805
OG0000146	NBX26_RS03050	CIB43_RS03790
OG0000147	NBX26_RS03045	CIB43_RS03785
OG0000148	NBX26_RS03030	CIB43_RS03780
OG0000149	NBX26_RS03020	CIB43_RS03760
OG0000150	NBX26_RS03005	CIB43_RS03745
OG0000151	NBX26_RS02955	CIB43_RS03700
OG0000152	NBX26_RS02950	CIB43_RS03695
OG0000153	NBX26_RS02945	CIB43_RS03690
OG0000154	NBX26_RS02935	CIB43_RS03680
OG0000155	NBX26_RS02895	CIB43_RS03645
OG0000156	NBX26_RS02890	CIB43_RS03635
OG0000157	NBX26_RS02880	CIB43_RS03625
OG0000158	NBX26_RS02870	CIB43_RS03620
OG0000159	NBX26_RS02625	CIB43_RS03385
OG0000160	NBX26_RS02620	CIB43_RS03380
OG0000161	NBX26_RS02615	CIB43_RS03375
OG0000163	NBX26_RS02600	CIB43_RS03370
OG0000164	NBX26_RS01730	CIB43_RS02495
OG0000165	NBX26_RS02160	CIB43_RS02840
OG0000166	NBX26_RS02140	CIB43_RS02860
OG0000167	NBX26_RS02125	CIB43_RS02875
OG0000168	NBX26_RS02120	CIB43_RS02880
OG0000169	NBX26_RS03215	CIB43_RS00130
OG0000171	NBX26_RS03240	CIB43_RS00155
OG0000172	NBX26_RS03245	CIB43_RS00160
OG0000173	NBX26_RS03250	CIB43_RS00165
OG0000174	NBX26_RS03255	CIB43_RS00170
OG0000175	NBX26_RS03270	CIB43_RS00190
OG0000176	NBX26_RS03330	CIB43_RS00235
OG0000177	NBX26_RS03335	CIB43_RS00240
OG0000178	NBX26_RS03340	CIB43_RS00245
OG0000179	NBX26_RS03350	CIB43_RS00255
OG0000180	NBX26_RS03355	CIB43_RS00260
OG0000181	NBX26_RS03395	CIB43_RS00310
OG0000182	NBX26_RS03405	CIB43_RS00320
OG0000183	NBX26_RS03440	CIB43_RS00355
OG0000184	NBX26_RS03495	CIB43_RS00430
OG0000185	NBX26_RS03480	CIB43_RS00380
OG0000186	NBX26_RS01655	CIB43_RS02400
OG0000187	NBX26_RS01670	CIB43_RS02410
OG0000188	NBX26_RS01680	CIB43_RS02425
OG0000189	NBX26_RS02455	CIB43_RS03200
OG0000190	NBX26_RS02450	CIB43_RS03195
OG0000191	NBX26_RS02425	CIB43_RS03180
OG0000192	NBX26_RS01345	CIB43_RS02085
OG0000193	NBX26_RS01330	CIB43_RS02075
OG0000194	NBX26_RS00695	CIB43_RS01560
OG0000195	NBX26_RS00700	CIB43_RS01565
OG0000196	NBX26_RS00725	CIB43_RS01585
OG0000197	NBX26_RS00735	CIB43_RS01590
OG0000198	NBX26_RS00745	CIB43_RS01605
OG0000199	NBX26_RS00750	CIB43_RS01615
OG0000200	NBX26_RS00765	CIB43_RS01630
OG0000201	NBX26_RS00775	CIB43_RS01635
OG0000202	NBX26_RS00830	CIB43_RS01690
OG0000203	NBX26_RS00835	CIB43_RS01695
OG0000204	NBX26_RS00840	CIB43_RS01700
OG0000205	NBX26_RS00845	CIB43_RS01705
OG0000206	NBX26_RS00865	CIB43_RS01735
OG0000207	NBX26_RS00880	CIB43_RS01740
OG0000208	NBX26_RS00885	CIB43_RS01745
OG0000209	NBX26_RS00890	CIB43_RS01750
OG0000210	NBX26_RS00935	CIB43_RS01800
OG0000211	NBX26_RS01080	CIB43_RS01805
OG0000212	NBX26_RS01085	CIB43_RS01815
OG0000213	NBX26_RS01090	CIB43_RS01820
OG0000214	NBX26_RS01095	CIB43_RS01825
OG0000215	NBX26_RS01100	CIB43_RS01830
OG0000216	NBX26_RS01105	CIB43_RS01835
OG0000217	NBX26_RS01110	CIB43_RS01845
OG0000218	NBX26_RS01120	CIB43_RS01850
OG0000219	NBX26_RS01125	CIB43_RS01855
OG0000220	NBX26_RS01130	CIB43_RS01860
OG0000221	NBX26_RS01135	CIB43_RS01865
OG0000222	NBX26_RS01140	CIB43_RS01870
OG0000223	NBX26_RS01145	CIB43_RS01875
OG0000225	NBX26_RS01165	CIB43_RS01895
OG0000226	NBX26_RS01170	CIB43_RS01900
OG0000227	NBX26_RS01175	CIB43_RS01905
OG0000228	NBX26_RS01180	CIB43_RS01910
OG0000229	NBX26_RS01185	CIB43_RS01915
OG0000230	NBX26_RS01190	CIB43_RS01920
OG0000231	NBX26_RS01200	CIB43_RS01935
OG0000232	NBX26_RS01210	CIB43_RS01940
OG0000233	NBX26_RS01230	CIB43_RS01965
OG0000234	NBX26_RS01265	CIB43_RS02000
OG0000235	NBX26_RS01275	CIB43_RS02005
OG0000236	NBX26_RS01280	CIB43_RS02010
OG0000237	NBX26_RS01285	CIB43_RS02015
OG0000238	NBX26_RS01295	CIB43_RS02025
OG0000239	NBX26_RS03115	CIB43_RS03860
OG0000240	NBX26_RS03120	CIB43_RS03870
OG0000241	NBX26_RS03130	CIB43_RS03875
OG0000242	NBX26_RS03135	CIB43_RS03880
OG0000243	NBX26_RS03140	CIB43_RS03885
OG0000244	NBX26_RS03150	CIB43_RS03900
OG0000245	NBX26_RS03160	CIB43_RS03905
OG0000246	NBX26_RS00130	CIB43_RS00845
OG0000247	NBX26_RS00140	CIB43_RS00850
OG0000248	NBX26_RS00150	CIB43_RS00875
OG0000250	NBX26_RS00180	CIB43_RS00885
OG0000251	NBX26_RS00210	CIB43_RS00925
OG0000252	NBX26_RS00215	CIB43_RS00930
OG0000253	NBX26_RS00220	CIB43_RS00940
OG0000254	NBX26_RS00230	CIB43_RS00950
OG0000255	NBX26_RS00235	CIB43_RS00955
OG0000256	NBX26_RS00240	CIB43_RS00960
OG0000257	NBX26_RS00265	CIB43_RS00985
OG0000258	NBX26_RS00280	CIB43_RS01015
OG0000259	NBX26_RS00305	CIB43_RS01030
OG0000260	NBX26_RS00315	CIB43_RS01045
OG0000262	NBX26_RS00340	CIB43_RS01075
OG0000263	NBX26_RS00355	CIB43_RS01080
OG0000264	NBX26_RS00370	CIB43_RS01100
OG0000265	NBX26_RS00380	CIB43_RS01110
OG0000266	NBX26_RS00395	CIB43_RS01120
OG0000267	NBX26_RS00410	CIB43_RS01135
OG0000268	NBX26_RS00415	CIB43_RS01305
OG0000269	NBX26_RS00430	CIB43_RS01320
OG0000270	NBX26_RS03690	CIB43_RS00575
OG0000271	NBX26_RS03685	CIB43_RS00570
OG0000272	NBX26_RS03680	CIB43_RS00565
OG0000273	NBX26_RS03675	CIB43_RS00560
OG0000274	NBX26_RS03660	CIB43_RS00545
OG0000275	NBX26_RS03650	CIB43_RS00535
OG0000276	NBX26_RS03645	CIB43_RS00530
OG0000277	NBX26_RS03635	CIB43_RS00525
OG0000278	NBX26_RS03630	CIB43_RS00515
OG0000279	NBX26_RS03620	CIB43_RS00510
OG0000280	NBX26_RS03615	CIB43_RS00500
OG0000281	NBX26_RS03610	CIB43_RS00495
OG0000283	NBX26_RS03580	CIB43_RS00475
OG0000284	NBX26_RS03575	CIB43_RS00460
OG0000285	NBX26_RS03570	CIB43_RS00455
OG0000286	NBX26_RS02585	CIB43_RS03345
OG0000287	NBX26_RS02680	CIB43_RS03440
OG0000288	NBX26_RS02690	CIB43_RS03450
OG0000289	NBX26_RS02695	CIB43_RS03455
OG0000290	NBX26_RS02815	CIB43_RS03565
OG0000291	NBX26_RS02800	CIB43_RS03560
OG0000292	NBX26_RS02795	CIB43_RS03550
OG0000293	NBX26_RS02785	CIB43_RS03545
OG0000294	NBX26_RS02775	CIB43_RS03540
OG0000295	NBX26_RS02770	CIB43_RS03530
OG0000296	NBX26_RS02730	CIB43_RS03495
OG0000297	NBX26_RS02725	CIB43_RS03485
OG0000298	NBX26_RS00165	CIB43_RS00880
OG0000299	NBX26_RS00190	CIB43_RS00915
OG0000300	NBX26_RS00365	CIB43_RS01090
OG0000301	NBX26_RS00400	CIB43_RS01125
OG0000302	NBX26_RS00405	CIB43_RS01130
OG0000303	NBX26_RS00560	CIB43_RS01455
OG0000304	NBX26_RS01215	CIB43_RS01950
OG0000305	NBX26_RS03055	CIB43_RS03795
OG0000306	NBX26_RS02980	CIB43_RS03725
OG0000307	NBX26_RS02940	CIB43_RS03685
OG0000308	NBX26_RS02850	CIB43_RS03600
OG0000309	NBX26_RS02760	CIB43_RS03520
OG0000310	NBX26_RS02685	CIB43_RS03445
OG0000311	NBX26_RS02645	CIB43_RS03405
OG0000312	NBX26_RS02630	CIB43_RS03390
OG0000313	NBX26_RS01720	CIB43_RS02485
OG0000314	NBX26_RS02145	CIB43_RS02855
OG0000315	NBX26_RS02115	CIB43_RS02885
OG0000316	NBX26_RS02105	CIB43_RS02895
OG0000317	NBX26_RS02005	CIB43_RS02985
OG0000318	NBX26_RS02100	CIB43_RS02900
OG0000319	NBX26_RS02380	CIB43_RS03125
OG0000320	NBX26_RS02510	CIB43_RS03270
OG0000321	NBX26_RS01455	CIB43_RS02200
OG0000322	NBX26_RS01510	CIB43_RS02245
OG0000323	NBX26_RS01640	CIB43_RS02375
OG0000324	NBX26_RS02420	CIB43_RS03170
OG0000325	NBX26_RS00710	CIB43_RS01570
OG0000326	NBX26_RS00805	CIB43_RS01665
OG0000327	NBX26_RS00810	CIB43_RS01670
OG0000328	NBX26_RS00895	CIB43_RS01760
OG0000329	NBX26_RS00920	CIB43_RS01775
OG0000330	NBX26_RS01240	CIB43_RS01970
OG0000331	NBX26_RS03145	CIB43_RS03890
OG0000332	NBX26_RS03285	CIB43_RS00200
OG0000333	NBX26_RS03295	CIB43_RS00210
OG0000334	NBX26_RS03400	CIB43_RS00315
OG0000335	NBX26_RS03410	CIB43_RS00340
OG0000336	NBX26_RS03600	CIB43_RS00485
OG0000337	NBX26_RS03765	CIB43_RS00655
OG0000338	NBX26_RS03805	CIB43_RS00695
OG0000339	NBX26_RS02485	CIB43_RS03235
OG0000340	NBX26_RS01435	CIB43_RS02185
OG0000341	NBX26_RS02445	CIB43_RS03190
OG0000342	NBX26_RS00740	CIB43_RS01600
OG0000343	NBX26_RS03305	CIB43_RS00215
OG0000344	NBX26_RS00575	CIB43_RS01465
OG0000345	NBX26_RS01160	CIB43_RS01890
OG0000346	NBX26_RS03605	CIB43_RS00490
OG0000347	NBX26_RS01535	CIB43_RS02270
OG0000348	NBX26_RS00815	CIB43_RS01685
OG0000349	NBX26_RS03665	CIB43_RS00550
OG0000350	NBX26_RS02930	CIB43_RS03675
OG0000351	NBX26_RS00485	CIB43_RS01385
OG0000352	NBX26_RS02165	CIB43_RS02830
OG0000353	NBX26_RS01500	CIB43_RS02240
OG0000354	NBX26_RS00635	CIB43_RS01515
OG0000355	NBX26_RS02190	CIB43_RS02805
OG0000356	NBX26_RS02110	CIB43_RS02890
OG0000357	NBX26_RS03260	CIB43_RS00175
OG0000358	NBX26_RS03265	CIB43_RS00180
OG0000359	NBX26_RS00785	CIB43_RS01650
OG0000360	NBX26_RS00270	CIB43_RS00990
OG0000361	NBX26_RS00300	CIB43_RS01020
OG0000362	NBX26_RS02705	CIB43_RS03475
OG0000363	NBX26_RS01575	CIB43_RS02310
OG0000369	NBX26_RS00025	CIB43_RS00725
OG0000370	NBX26_RS00020	CIB43_RS00720
OG0000378	NBX26_RS01415	CIB43_RS02160
OG0000379	NBX26_RS01495	CIB43_RS02235
OG0000380	NBX26_RS01530	CIB43_RS02260
OG0000381	NBX26_RS01565	CIB43_RS02300
OG0000385	NBX26_RS00525	CIB43_RS01405
OG0000389	NBX26_RS00615	CIB43_RS01490
OG0000394	NBX26_RS02905	CIB43_RS03660
OG0000396	NBX26_RS02590	CIB43_RS03350
OG0000403	NBX26_RS03310	CIB43_RS00220
OG0000404	NBX26_RS03345	CIB43_RS00250
OG0000405	NBX26_RS03360	CIB43_RS00265
OG0000409	NBX26_RS03430	CIB43_RS00345
OG0000412	NBX26_RS03485	CIB43_RS00390
OG0000417	NBX26_RS02440	CIB43_RS03185
OG0000428	NBX26_RS00925	CIB43_RS01785
OG0000429	NBX26_RS01150	CIB43_RS01885
OG0000430	NBX26_RS01195	CIB43_RS01925
OG0000437	NBX26_RS01305	CIB43_RS02065
OG0000441	NBX26_RS03165	CIB43_RS03910
OG0000451	NBX26_RS00360	CIB43_RS01085
OG0000453	NBX26_RS00420	CIB43_RS01315
OG0000457	NBX26_RS03565	CIB43_RS00450
OG0000459	NBX26_RS02700	CIB43_RS03460
OG0000463	NBX26_RS02745	CIB43_RS03515
OG0000464	NBX26_RS02740	CIB43_RS03500
OG0000466	NBX26_RS00390	CIB43_RS01115
OG0000468	NBX26_RS02135	CIB43_RS02870
OG0000471	NBX26_RS00930	CIB43_RS01790
OG0000473	NBX26_RS03695	CIB43_RS00580
OG0000474	NBX26_RS03700	CIB43_RS00585
OG0000475	NBX26_RS03705	CIB43_RS00595
OG0000482	NBX26_RS01335	CIB43_RS02080
OG0000485	NBX26_RS01300	CIB43_RS02035
OG0000486	NBX26_RS02460	CIB43_RS03205
OG0000487	NBX26_RS02095	CIB43_RS02915
OG0000488	NBX26_RS02055	CIB43_RS02940
OG0000489	NBX26_RS00050	CIB43_RS00750
OG0000492	NBX26_RS01555	CIB43_RS02290
OG0000495	NBX26_RS03015	CIB43_RS03750
OG0000502	NBX26_RS01325	CIB43_RS02070
OG0000504	NBX26_RS00905	CIB43_RS01770
OG0000508	NBX26_RS00245	CIB43_RS00980
OG0000517	NBX26_RS00065	CIB43_RS00765
OG0000523	NBX26_RS03560	CIB43_RS00445
OG0000526	NBX26_RS02270	CIB43_RS02720
OG0000527	NBX26_RS02325	CIB43_RS02640
OG0000530	NBX26_RS02495	CIB43_RS03250
OG0000543	NBX26_RS01930	CIB43_RS01215
OG0000544	NBX26_RS01380	CIB43_RS02125
OG0000545	NBX26_RS02280	CIB43_RS02715
OG0000546	NBX26_RS02960	CIB43_RS03705
OG0000552	NBX26_RS03320	CIB43_RS00225
OG0000553	NBX26_RS02865	CIB43_RS03610
OG0000554	NBX26_RS02545	CIB43_RS03295
OG0000557	NBX26_RS01390	CIB43_RS02130
OG0000558	NBX26_RS01360	CIB43_RS02100
OG0000559	NBX26_RS01830	CIB43_RS02575
OG0000560	NBX26_RS02300	CIB43_RS02680
OG0000561	NBX26_RS01245	CIB43_RS01980
OG0000562	NBX26_RS02290	CIB43_RS02685
OG0000563	NBX26_RS02305	CIB43_RS02670
OG0000564	NBX26_RS01410	CIB43_RS02155
OG0000565	NBX26_RS02225	CIB43_RS02760
OG0000566	NBX26_RS02245	CIB43_RS02740
OG0000568	NBX26_RS00690	CIB43_RS01555
OG0000569	NBX26_RS01365	CIB43_RS02105
OG0000570	NBX26_RS01370	CIB43_RS02110
OG0000571	NBX26_RS01375	CIB43_RS02115
OG0000572	NBX26_RS01395	CIB43_RS02135
OG0000573	NBX26_RS01825	CIB43_RS02570
OG0000574	NBX26_RS01430	CIB43_RS02175
OG0000575	NBX26_RS01355	CIB43_RS02090
OG0000576	NBX26_RS01780	CIB43_RS02530
OG0000577	NBX26_RS02830	CIB43_RS03580
OG0000579	NBX26_RS02315	CIB43_RS02660
OG0000580	NBX26_RS02965	CIB43_RS03710
OG0000581	NBX26_RS02320	CIB43_RS02645
OG0000584	NBX26_RS01955	CIB43_RS01180, CIB43_RS00035, CIB43_RS01255
OG0000585	NBX26_RS02360	CIB43_RS03105
OG0000588	NBX26_RS01770	CIB43_RS02525
OG0000589	NBX26_RS01005	CIB43_RS03055
OG0000590	NBX26_RS01945	CIB43_RS01190
OG0000592	NBX26_RS02820	CIB43_RS03570
OG0000595	NBX26_RS03175	CIB43_RS03920
OG0000597	NBX26_RS03170	CIB43_RS03915
OG0000600	NBX26_RS01960	CIB43_RS01175, CIB43_RS00040, CIB43_RS01260
OG0000603	NBX26_RS01965	CIB43_RS01270
OG0000608	NBX26_RS02285	CIB43_RS02695, CIB43_RS02705, CIB43_RS02690
OG0000609	NBX26_RS02260	CIB43_RS02730
OG0000613	NBX26_RS02210	CIB43_RS02785
OG0000614	NBX26_RS00970	CIB43_RS03070
OG0000616	NBX26_RS01980	CIB43_RS01280
OG0000624	NBX26_RS03325	CIB43_RS00230
