Orthogroup	MHP_112B_genes	MHP_168L_genes
OG0000057	NBX26_RS03095	MHP168L_RS02955
OG0000058	NBX26_RS01995	MHP168L_RS01190
OG0000060	NBX26_RS00085	MHP168L_RS00080
OG0000061	NBX26_RS02240	MHP168L_RS01960, MHP168L_RS01660
OG0000062	NBX26_RS03775	MHP168L_RS03630
OG0000063	NBX26_RS03770	MHP168L_RS03625
OG0000064	NBX26_RS03760	MHP168L_RS03615
OG0000065	NBX26_RS02400	MHP168L_RS04005
OG0000066	NBX26_RS01480	MHP168L_RS01445
OG0000068	NBX26_RS00645	MHP168L_RS04135
OG0000069	NBX26_RS02990	MHP168L_RS02845
OG0000070	NBX26_RS02640	MHP168L_RS02505
OG0000071	NBX26_RS03445	MHP168L_RS03265
OG0000072	NBX26_RS03450	MHP168L_RS03270
OG0000073	NBX26_RS00715	MHP168L_RS00955
OG0000074	NBX26_RS00910	MHP168L_RS00765
OG0000075	NBX26_RS00335	MHP168L_RS00320
OG0000077	NBX26_RS00435	MHP168L_RS00425
OG0000079	NBX26_RS02720	MHP168L_RS02590
OG0000080	NBX26_RS02765	MHP168L_RS03895
OG0000081	NBX26_RS00330	MHP168L_RS00315
OG0000083	NBX26_RS02080	MHP168L_RS02110
OG0000084	NBX26_RS02050	MHP168L_RS02265
OG0000085	NBX26_RS02045	MHP168L_RS02260
OG0000086	NBX26_RS02030	MHP168L_RS02250
OG0000087	NBX26_RS02015	MHP168L_RS02235
OG0000088	NBX26_RS02010	MHP168L_RS02230
OG0000089	NBX26_RS02000	MHP168L_RS02215
OG0000090	NBX26_RS00070	MHP168L_RS00070
OG0000091	NBX26_RS00055	MHP168L_RS00055
OG0000092	NBX26_RS00040	MHP168L_RS00040
OG0000093	NBX26_RS00035	MHP168L_RS00035
OG0000094	NBX26_RS00030	MHP168L_RS00030
OG0000095	NBX26_RS00005	MHP168L_RS00005
OG0000096	NBX26_RS03810	MHP168L_RS03665
OG0000097	NBX26_RS03790	MHP168L_RS03645
OG0000098	NBX26_RS03780	MHP168L_RS03635
OG0000099	NBX26_RS03735	MHP168L_RS03520
OG0000100	NBX26_RS03720	MHP168L_RS03505
OG0000101	NBX26_RS03715	MHP168L_RS03500
OG0000102	NBX26_RS01835	MHP168L_RS01735
OG0000103	NBX26_RS02365	MHP168L_RS02175
OG0000104	NBX26_RS02370	MHP168L_RS02170
OG0000105	NBX26_RS02390	MHP168L_RS02155
OG0000106	NBX26_RS02395	MHP168L_RS02145
OG0000107	NBX26_RS02405	MHP168L_RS02135
OG0000108	NBX26_RS02410	MHP168L_RS02130
OG0000109	NBX26_RS02415	MHP168L_RS02125
OG0000110	NBX26_RS02535	MHP168L_RS02410
OG0000111	NBX26_RS02530	MHP168L_RS02405
OG0000112	NBX26_RS02520	MHP168L_RS02395
OG0000113	NBX26_RS02500	MHP168L_RS02375
OG0000114	NBX26_RS02490	MHP168L_RS02365
OG0000115	NBX26_RS02480	MHP168L_RS02350
OG0000116	NBX26_RS01420	MHP168L_RS01385
OG0000117	NBX26_RS01425	MHP168L_RS01390
OG0000118	NBX26_RS01460	MHP168L_RS01430
OG0000119	NBX26_RS01470	MHP168L_RS01435
OG0000120	NBX26_RS01485	MHP168L_RS01450
OG0000121	NBX26_RS01515	MHP168L_RS01475
OG0000122	NBX26_RS01520	MHP168L_RS01480
OG0000123	NBX26_RS01540	MHP168L_RS01500
OG0000124	NBX26_RS01545	MHP168L_RS01505
OG0000125	NBX26_RS01550	MHP168L_RS01510
OG0000126	NBX26_RS01560	MHP168L_RS01520
OG0000127	NBX26_RS01570	MHP168L_RS01530
OG0000128	NBX26_RS01585	MHP168L_RS01545
OG0000129	NBX26_RS01590	MHP168L_RS01550
OG0000130	NBX26_RS01600	MHP168L_RS01560
OG0000131	NBX26_RS01630	MHP168L_RS01590
OG0000132	NBX26_RS01645	MHP168L_RS01605
OG0000133	NBX26_RS00530	MHP168L_RS00515
OG0000134	NBX26_RS00535	MHP168L_RS00520
OG0000135	NBX26_RS00550	MHP168L_RS00535
OG0000136	NBX26_RS00555	MHP168L_RS00540
OG0000137	NBX26_RS00595	MHP168L_RS00575
OG0000138	NBX26_RS00620	MHP168L_RS01030
OG0000139	NBX26_RS00650	MHP168L_RS01005
OG0000140	NBX26_RS00655	MHP168L_RS01000
OG0000141	NBX26_RS03105	MHP168L_RS02965
OG0000142	NBX26_RS03100	MHP168L_RS02960
OG0000143	NBX26_RS03085	MHP168L_RS02935
OG0000144	NBX26_RS03070	MHP168L_RS02925
OG0000145	NBX26_RS03060	MHP168L_RS02915
OG0000146	NBX26_RS03050	MHP168L_RS02905
OG0000147	NBX26_RS03045	MHP168L_RS02900
OG0000148	NBX26_RS03030	MHP168L_RS02885
OG0000149	NBX26_RS03020	MHP168L_RS02875
OG0000150	NBX26_RS03005	MHP168L_RS02860
OG0000151	NBX26_RS02955	MHP168L_RS02815
OG0000152	NBX26_RS02950	MHP168L_RS02810
OG0000153	NBX26_RS02945	MHP168L_RS02805
OG0000154	NBX26_RS02935	MHP168L_RS02795
OG0000155	NBX26_RS02895	MHP168L_RS02755
OG0000156	NBX26_RS02890	MHP168L_RS02745
OG0000157	NBX26_RS02880	MHP168L_RS02740
OG0000158	NBX26_RS02870	MHP168L_RS04120
OG0000159	NBX26_RS02625	MHP168L_RS04145
OG0000160	NBX26_RS02620	MHP168L_RS02485
OG0000161	NBX26_RS02615	MHP168L_RS02480
OG0000162	NBX26_RS02605	MHP168L_RS02470
OG0000163	NBX26_RS02600	MHP168L_RS02465
OG0000164	NBX26_RS01730	MHP168L_RS01825
OG0000165	NBX26_RS02160	MHP168L_RS02030
OG0000166	NBX26_RS02140	MHP168L_RS02050
OG0000167	NBX26_RS02125	MHP168L_RS02065
OG0000168	NBX26_RS02120	MHP168L_RS02070
OG0000169	NBX26_RS03215	MHP168L_RS03045
OG0000170	NBX26_RS03230	MHP168L_RS03060
OG0000171	NBX26_RS03240	MHP168L_RS03070
OG0000172	NBX26_RS03245	MHP168L_RS03075
OG0000173	NBX26_RS03250	MHP168L_RS03080
OG0000174	NBX26_RS03255	MHP168L_RS03085
OG0000175	NBX26_RS03270	MHP168L_RS03100
OG0000176	NBX26_RS03330	MHP168L_RS03150
OG0000177	NBX26_RS03335	MHP168L_RS03155
OG0000178	NBX26_RS03340	MHP168L_RS03160
OG0000179	NBX26_RS03350	MHP168L_RS03170
OG0000180	NBX26_RS03355	MHP168L_RS03175
OG0000181	NBX26_RS03395	MHP168L_RS03215
OG0000182	NBX26_RS03405	MHP168L_RS03225
OG0000183	NBX26_RS03440	MHP168L_RS03260
OG0000184	NBX26_RS03495	MHP168L_RS03300
OG0000185	NBX26_RS03480	MHP168L_RS03285
OG0000186	NBX26_RS01655	MHP168L_RS01615
OG0000187	NBX26_RS01670	MHP168L_RS01630
OG0000188	NBX26_RS01680	MHP168L_RS01640
OG0000189	NBX26_RS02455	MHP168L_RS02320
OG0000190	NBX26_RS02450	MHP168L_RS02315
OG0000191	NBX26_RS02425	MHP168L_RS02295
OG0000192	NBX26_RS01345	MHP168L_RS01300
OG0000193	NBX26_RS01330	MHP168L_RS01290
OG0000194	NBX26_RS00695	MHP168L_RS00970
OG0000195	NBX26_RS00700	MHP168L_RS00965
OG0000196	NBX26_RS00725	MHP168L_RS00945
OG0000197	NBX26_RS00735	MHP168L_RS00940
OG0000198	NBX26_RS00745	MHP168L_RS00925
OG0000199	NBX26_RS00750	MHP168L_RS00920
OG0000200	NBX26_RS00765	MHP168L_RS00910
OG0000201	NBX26_RS00775	MHP168L_RS00900
OG0000202	NBX26_RS00830	MHP168L_RS00845
OG0000203	NBX26_RS00835	MHP168L_RS00840
OG0000204	NBX26_RS00840	MHP168L_RS00835
OG0000205	NBX26_RS00845	MHP168L_RS00830
OG0000206	NBX26_RS00865	MHP168L_RS00810
OG0000207	NBX26_RS00880	MHP168L_RS00795
OG0000208	NBX26_RS00885	MHP168L_RS00790
OG0000209	NBX26_RS00890	MHP168L_RS00785
OG0000210	NBX26_RS00935	MHP168L_RS00735
OG0000211	NBX26_RS01080	MHP168L_RS00720
OG0000212	NBX26_RS01085	MHP168L_RS00710
OG0000213	NBX26_RS01090	MHP168L_RS03705
OG0000214	NBX26_RS01095	MHP168L_RS00705
OG0000215	NBX26_RS01100	MHP168L_RS00700
OG0000216	NBX26_RS01105	MHP168L_RS00695
OG0000217	NBX26_RS01110	MHP168L_RS00690
OG0000218	NBX26_RS01120	MHP168L_RS00680
OG0000219	NBX26_RS01125	MHP168L_RS00675
OG0000220	NBX26_RS01130	MHP168L_RS00670
OG0000221	NBX26_RS01135	MHP168L_RS00665
OG0000222	NBX26_RS01140	MHP168L_RS00660
OG0000223	NBX26_RS01145	MHP168L_RS00655
OG0000224	NBX26_RS01155	MHP168L_RS00645
OG0000225	NBX26_RS01165	MHP168L_RS00635
OG0000226	NBX26_RS01170	MHP168L_RS00630
OG0000227	NBX26_RS01175	MHP168L_RS00625
OG0000228	NBX26_RS01180	MHP168L_RS04125
OG0000229	NBX26_RS01185	MHP168L_RS00615
OG0000230	NBX26_RS01190	MHP168L_RS00610
OG0000231	NBX26_RS01200	MHP168L_RS00600
OG0000232	NBX26_RS01210	MHP168L_RS00590
OG0000233	NBX26_RS01230	MHP168L_RS01075
OG0000234	NBX26_RS01265	MHP168L_RS01110
OG0000235	NBX26_RS01275	MHP168L_RS01120
OG0000236	NBX26_RS01280	MHP168L_RS01125
OG0000237	NBX26_RS01285	MHP168L_RS01130
OG0000238	NBX26_RS01295	MHP168L_RS01140
OG0000239	NBX26_RS03115	MHP168L_RS02975
OG0000240	NBX26_RS03120	MHP168L_RS02980
OG0000241	NBX26_RS03130	MHP168L_RS02990
OG0000242	NBX26_RS03135	MHP168L_RS02995
OG0000243	NBX26_RS03140	MHP168L_RS03000
OG0000244	NBX26_RS03150	MHP168L_RS03010
OG0000245	NBX26_RS03160	MHP168L_RS03020
OG0000246	NBX26_RS00130	MHP168L_RS00120
OG0000247	NBX26_RS00140	MHP168L_RS00130
OG0000248	NBX26_RS00150	MHP168L_RS00140
OG0000249	NBX26_RS00155	MHP168L_RS00145
OG0000250	NBX26_RS00180	MHP168L_RS00160
OG0000251	NBX26_RS00210	MHP168L_RS00185
OG0000252	NBX26_RS00215	MHP168L_RS00195
OG0000253	NBX26_RS00220	MHP168L_RS00200
OG0000254	NBX26_RS00230	MHP168L_RS00210
OG0000255	NBX26_RS00235	MHP168L_RS00220
OG0000256	NBX26_RS00240	MHP168L_RS00225
OG0000257	NBX26_RS00265	MHP168L_RS00250
OG0000258	NBX26_RS00280	MHP168L_RS00260
OG0000259	NBX26_RS00305	MHP168L_RS00290
OG0000260	NBX26_RS00315	MHP168L_RS00300
OG0000261	NBX26_RS00325	MHP168L_RS00310
OG0000262	NBX26_RS00340	MHP168L_RS00325
OG0000263	NBX26_RS00355	MHP168L_RS00340
OG0000264	NBX26_RS00370	MHP168L_RS00355
OG0000265	NBX26_RS00380	MHP168L_RS00365
OG0000266	NBX26_RS00395	MHP168L_RS00380
OG0000267	NBX26_RS00410	MHP168L_RS00395
OG0000268	NBX26_RS00415	MHP168L_RS00400
OG0000269	NBX26_RS00430	MHP168L_RS00415
OG0000270	NBX26_RS03690	MHP168L_RS03475
OG0000271	NBX26_RS03685	MHP168L_RS03470
OG0000272	NBX26_RS03680	MHP168L_RS03465
OG0000273	NBX26_RS03675	MHP168L_RS03460
OG0000274	NBX26_RS03660	MHP168L_RS03440
OG0000275	NBX26_RS03650	MHP168L_RS03435
OG0000276	NBX26_RS03645	MHP168L_RS03430
OG0000277	NBX26_RS03635	MHP168L_RS03420
OG0000278	NBX26_RS03630	MHP168L_RS03415
OG0000279	NBX26_RS03620	MHP168L_RS03405
OG0000280	NBX26_RS03615	MHP168L_RS03400
OG0000281	NBX26_RS03610	MHP168L_RS03780
OG0000282	NBX26_RS03585	MHP168L_RS03375
OG0000283	NBX26_RS03580	MHP168L_RS03370
OG0000284	NBX26_RS03575	MHP168L_RS03365
OG0000285	NBX26_RS03570	MHP168L_RS03360
OG0000286	NBX26_RS02585	MHP168L_RS02450
OG0000287	NBX26_RS02680	MHP168L_RS02550
OG0000288	NBX26_RS02690	MHP168L_RS02560
OG0000289	NBX26_RS02695	MHP168L_RS02565
OG0000290	NBX26_RS02815	MHP168L_RS02675
OG0000291	NBX26_RS02800	MHP168L_RS02665
OG0000292	NBX26_RS02795	MHP168L_RS02660
OG0000293	NBX26_RS02785	MHP168L_RS02655
OG0000294	NBX26_RS02775	MHP168L_RS02645
OG0000295	NBX26_RS02770	MHP168L_RS02640
OG0000296	NBX26_RS02730	MHP168L_RS02600
OG0000297	NBX26_RS02725	MHP168L_RS02595
OG0000298	NBX26_RS00165	MHP168L_RS00155
OG0000299	NBX26_RS00190	MHP168L_RS03690
OG0000300	NBX26_RS00365	MHP168L_RS00350
OG0000301	NBX26_RS00400	MHP168L_RS00385
OG0000302	NBX26_RS00405	MHP168L_RS00390
OG0000303	NBX26_RS00560	MHP168L_RS00545
OG0000304	NBX26_RS01215	MHP168L_RS00585
OG0000305	NBX26_RS03055	MHP168L_RS02910
OG0000306	NBX26_RS02980	MHP168L_RS02835
OG0000307	NBX26_RS02940	MHP168L_RS02800
OG0000308	NBX26_RS02850	MHP168L_RS02700
OG0000309	NBX26_RS02760	MHP168L_RS02630
OG0000310	NBX26_RS02685	MHP168L_RS02555
OG0000311	NBX26_RS02645	MHP168L_RS02510
OG0000312	NBX26_RS02630	MHP168L_RS02495
OG0000313	NBX26_RS01720	MHP168L_RS01835
OG0000314	NBX26_RS02145	MHP168L_RS02045
OG0000315	NBX26_RS02115	MHP168L_RS02075
OG0000316	NBX26_RS02105	MHP168L_RS02085
OG0000317	NBX26_RS02005	MHP168L_RS02225
OG0000318	NBX26_RS02100	MHP168L_RS02090
OG0000319	NBX26_RS02380	MHP168L_RS02160
OG0000320	NBX26_RS02510	MHP168L_RS02385
OG0000321	NBX26_RS01455	MHP168L_RS01425
OG0000322	NBX26_RS01510	MHP168L_RS01470
OG0000323	NBX26_RS01640	MHP168L_RS01600
OG0000324	NBX26_RS02420	MHP168L_RS02290
OG0000325	NBX26_RS00710	MHP168L_RS00960
OG0000326	NBX26_RS00805	MHP168L_RS00870
OG0000327	NBX26_RS00810	MHP168L_RS00865
OG0000328	NBX26_RS00895	MHP168L_RS00780
OG0000329	NBX26_RS00920	MHP168L_RS00755
OG0000330	NBX26_RS01240	MHP168L_RS01085
OG0000331	NBX26_RS03145	MHP168L_RS03005
OG0000332	NBX26_RS03285	MHP168L_RS03110
OG0000333	NBX26_RS03295	MHP168L_RS03120
OG0000334	NBX26_RS03400	MHP168L_RS03220
OG0000335	NBX26_RS03410	MHP168L_RS03230
OG0000336	NBX26_RS03600	MHP168L_RS03390
OG0000337	NBX26_RS03765	MHP168L_RS03620
OG0000338	NBX26_RS03805	MHP168L_RS03660
OG0000339	NBX26_RS02485	MHP168L_RS02355
OG0000340	NBX26_RS01435	MHP168L_RS01400
OG0000341	NBX26_RS02445	MHP168L_RS02310
OG0000342	NBX26_RS00740	MHP168L_RS00930
OG0000343	NBX26_RS03305	MHP168L_RS03130
OG0000344	NBX26_RS00575	MHP168L_RS00560
OG0000345	NBX26_RS01160	MHP168L_RS00640
OG0000346	NBX26_RS03605	MHP168L_RS03395
OG0000347	NBX26_RS01535	MHP168L_RS01495
OG0000348	NBX26_RS00815	MHP168L_RS00860
OG0000349	NBX26_RS03665	MHP168L_RS03450
OG0000350	NBX26_RS02930	MHP168L_RS02790
OG0000351	NBX26_RS00485	MHP168L_RS00475
OG0000352	NBX26_RS02165	MHP168L_RS02025
OG0000353	NBX26_RS01500	MHP168L_RS01465
OG0000354	NBX26_RS00635	MHP168L_RS01015
OG0000355	NBX26_RS02190	MHP168L_RS01995
OG0000356	NBX26_RS02110	MHP168L_RS02080
OG0000357	NBX26_RS03260	MHP168L_RS03090
OG0000358	NBX26_RS03265	MHP168L_RS03095
OG0000359	NBX26_RS00785	MHP168L_RS00890
OG0000360	NBX26_RS00270	MHP168L_RS00255
OG0000361	NBX26_RS00300	MHP168L_RS00285
OG0000362	NBX26_RS02705	MHP168L_RS02575
OG0000363	NBX26_RS01575	MHP168L_RS03960
OG0000364	NBX26_RS02215	MHP168L_RS01970
OG0000365	NBX26_RS02065	MHP168L_RS02280
OG0000366	NBX26_RS02040	MHP168L_RS02255
OG0000367	NBX26_RS02025	MHP168L_RS02245
OG0000368	NBX26_RS00060	MHP168L_RS00060
OG0000369	NBX26_RS00025	MHP168L_RS00025
OG0000370	NBX26_RS00020	MHP168L_RS00020
OG0000371	NBX26_RS00015	MHP168L_RS00015
OG0000372	NBX26_RS00010	MHP168L_RS00010
OG0000373	NBX26_RS03795	MHP168L_RS03650
OG0000374	NBX26_RS03785	MHP168L_RS03640
OG0000375	NBX26_RS02375	MHP168L_RS02165
OG0000376	NBX26_RS02525	MHP168L_RS02400
OG0000377	NBX26_RS02515	MHP168L_RS02390
OG0000378	NBX26_RS01415	MHP168L_RS01380
OG0000379	NBX26_RS01495	MHP168L_RS01460
OG0000380	NBX26_RS01530	MHP168L_RS01485
OG0000381	NBX26_RS01565	MHP168L_RS01525
OG0000382	NBX26_RS01595	MHP168L_RS01555
OG0000383	NBX26_RS01635	MHP168L_RS01595
OG0000384	NBX26_RS00515	MHP168L_RS00500
OG0000385	NBX26_RS00525	MHP168L_RS00505
OG0000386	NBX26_RS00540	MHP168L_RS00525
OG0000387	NBX26_RS00565	MHP168L_RS00550
OG0000388	NBX26_RS00570	MHP168L_RS00555
OG0000389	NBX26_RS00615	MHP168L_RS01035
OG0000390	NBX26_RS03075	MHP168L_RS02930
OG0000391	NBX26_RS03065	MHP168L_RS02920
OG0000392	NBX26_RS03040	MHP168L_RS02895
OG0000393	NBX26_RS02985	MHP168L_RS02840
OG0000394	NBX26_RS02905	MHP168L_RS02765
OG0000395	NBX26_RS02900	MHP168L_RS02760
OG0000396	NBX26_RS02590	MHP168L_RS02455
OG0000397	NBX26_RS02180	MHP168L_RS02010
OG0000398	NBX26_RS02175	MHP168L_RS02015
OG0000399	NBX26_RS02130	MHP168L_RS02060
OG0000400	NBX26_RS03225	MHP168L_RS03055
OG0000401	NBX26_RS03290	MHP168L_RS03115
OG0000402	NBX26_RS03300	MHP168L_RS03125
OG0000403	NBX26_RS03310	MHP168L_RS03135
OG0000404	NBX26_RS03345	MHP168L_RS03165
OG0000405	NBX26_RS03360	MHP168L_RS03180
OG0000406	NBX26_RS03415	MHP168L_RS03235
OG0000407	NBX26_RS03420	MHP168L_RS03240
OG0000408	NBX26_RS03425	MHP168L_RS03245
OG0000409	NBX26_RS03430	MHP168L_RS03250
OG0000410	NBX26_RS03505	MHP168L_RS03305
OG0000411	NBX26_RS03490	MHP168L_RS03295
OG0000412	NBX26_RS03485	MHP168L_RS03290
OG0000413	NBX26_RS01650	MHP168L_RS01610
OG0000414	NBX26_RS01660	MHP168L_RS01620
OG0000415	NBX26_RS01665	MHP168L_RS01625
OG0000416	NBX26_RS01675	MHP168L_RS01635
OG0000417	NBX26_RS02440	MHP168L_RS02305
OG0000418	NBX26_RS02430	MHP168L_RS02300
OG0000419	NBX26_RS00720	MHP168L_RS00950
OG0000420	NBX26_RS00755	MHP168L_RS00915
OG0000421	NBX26_RS00795	MHP168L_RS00885
OG0000422	NBX26_RS00800	MHP168L_RS00875
OG0000423	NBX26_RS00855	MHP168L_RS00820
OG0000424	NBX26_RS00860	MHP168L_RS00815
OG0000425	NBX26_RS00870	MHP168L_RS00805
OG0000426	NBX26_RS00875	MHP168L_RS00800
OG0000427	NBX26_RS00900	MHP168L_RS00775
OG0000428	NBX26_RS00925	MHP168L_RS00745
OG0000429	NBX26_RS01150	MHP168L_RS00650
OG0000430	NBX26_RS01195	MHP168L_RS00605
OG0000431	NBX26_RS01205	MHP168L_RS00595
OG0000432	NBX26_RS01235	MHP168L_RS01080
OG0000433	NBX26_RS01260	MHP168L_RS01095
OG0000435	NBX26_RS01270	MHP168L_RS01115
OG0000437	NBX26_RS01305	MHP168L_RS01155
OG0000438	NBX26_RS01310	MHP168L_RS01160
OG0000439	NBX26_RS01315	MHP168L_RS01165
OG0000440	NBX26_RS03125	MHP168L_RS02985
OG0000441	NBX26_RS03165	MHP168L_RS03025
OG0000442	NBX26_RS00135	MHP168L_RS00125
OG0000443	NBX26_RS00185	MHP168L_RS00170
OG0000444	NBX26_RS00200	MHP168L_RS00180
OG0000445	NBX26_RS00225	MHP168L_RS00205
OG0000446	NBX26_RS00250	MHP168L_RS00235
OG0000447	NBX26_RS00255	MHP168L_RS00240
OG0000448	NBX26_RS00290	MHP168L_RS00270
OG0000449	NBX26_RS00310	MHP168L_RS00295
OG0000450	NBX26_RS00320	MHP168L_RS00305
OG0000451	NBX26_RS00360	MHP168L_RS00345
OG0000452	NBX26_RS00385	MHP168L_RS00370
OG0000453	NBX26_RS00420	MHP168L_RS00405
OG0000454	NBX26_RS01695	MHP168L_RS01670
OG0000454	NBX26_RS01760	MHP168L_RS01800
OG0000455	NBX26_RS03710	MHP168L_RS03495
OG0000456	NBX26_RS03590	MHP168L_RS03380
OG0000457	NBX26_RS03565	MHP168L_RS03355
OG0000458	NBX26_RS02675	MHP168L_RS02545
OG0000459	NBX26_RS02700	MHP168L_RS02570
OG0000460	NBX26_RS02710	MHP168L_RS02580
OG0000461	NBX26_RS02755	MHP168L_RS02625
OG0000462	NBX26_RS02750	MHP168L_RS02620
OG0000463	NBX26_RS02745	MHP168L_RS02615
OG0000464	NBX26_RS02740	MHP168L_RS02610
OG0000465	NBX26_RS02735	MHP168L_RS02605
OG0000466	NBX26_RS00390	MHP168L_RS00375
OG0000467	NBX26_RS02855	MHP168L_RS02710
OG0000468	NBX26_RS02135	MHP168L_RS02055
OG0000469	NBX26_RS02075	MHP168L_RS02115
OG0000470	NBX26_RS00850	MHP168L_RS03850
OG0000471	NBX26_RS00930	MHP168L_RS00740
OG0000472	NBX26_RS03515	MHP168L_RS03315
OG0000473	NBX26_RS03695	MHP168L_RS03485
OG0000475	NBX26_RS03705	MHP168L_RS03490
OG0000476	NBX26_RS01685	MHP168L_RS01645
OG0000477	NBX26_RS02780	MHP168L_RS02650
OG0000478	NBX26_RS03640	MHP168L_RS03425
OG0000479	NBX26_RS01450	MHP168L_RS01420
OG0000480	NBX26_RS02070	MHP168L_RS03885
OG0000481	NBX26_RS00825	MHP168L_RS00850
OG0000482	NBX26_RS01335	MHP168L_RS01295
OG0000483	NBX26_RS02020	MHP168L_RS02240
OG0000484	NBX26_RS00195	MHP168L_RS00175
OG0000485	NBX26_RS01300	MHP168L_RS01150
OG0000486	NBX26_RS02460	MHP168L_RS02325
OG0000487	NBX26_RS02095	MHP168L_RS02095
OG0000488	NBX26_RS02055	MHP168L_RS02270
OG0000489	NBX26_RS00050	MHP168L_RS00050
OG0000490	NBX26_RS03800	MHP168L_RS03655
OG0000492	NBX26_RS01555	MHP168L_RS01515
OG0000493	NBX26_RS00580	MHP168L_RS00565
OG0000495	NBX26_RS03015	MHP168L_RS02865
OG0000496	NBX26_RS03000	MHP168L_RS02855
OG0000497	NBX26_RS02995	MHP168L_RS02850
OG0000498	NBX26_RS02910	MHP168L_RS02770
OG0000499	NBX26_RS02875	MHP168L_RS02735
OG0000500	NBX26_RS02170	MHP168L_RS02020
OG0000501	NBX26_RS03235	MHP168L_RS03065
