Orthogroup	MHP_112B_genes	MHP_111A_genes
OG0000044	NBX26_RS01805	NB623_RS01800
OG0000044	NBX26_RS02310	NB623_RS02300
OG0000045	NBX26_RS01745	NB623_RS01740
OG0000045	NBX26_RS01740	NB623_RS01735
OG0000046	NBX26_RS03470	NB623_RS03460
OG0000046	NBX26_RS03475	NB623_RS03465
OG0000046	NBX26_RS03465	NB623_RS03455
OG0000046	NBX26_RS03460	NB623_RS03450
OG0000047	NBX26_RS01935	NB623_RS01935
OG0000048	NBX26_RS01920	NB623_RS01920
OG0000049	NBX26_RS03220	NB623_RS03205
OG0000050	NBX26_RS02610	NB623_RS02600
OG0000051	NBX26_RS02825	NB623_RS02820
OG0000052	NBX26_RS00080	NB623_RS00080
OG0000052	NBX26_RS00075	NB623_RS00075
OG0000053	NBX26_RS01580	NB623_RS01570
OG0000054	NBX26_RS02635	NB623_RS02625
OG0000055	NBX26_RS00125	NB623_RS00125
OG0000056	NBX26_RS03730	NB623_RS03725
OG0000057	NBX26_RS03095	NB623_RS03085
OG0000058	NBX26_RS01995	NB623_RS01995
OG0000059	NBX26_RS01985	NB623_RS01980
OG0000060	NBX26_RS00085	NB623_RS00085
OG0000061	NBX26_RS02240	NB623_RS02235
OG0000062	NBX26_RS03775	NB623_RS03775
OG0000063	NBX26_RS03770	NB623_RS03770
OG0000064	NBX26_RS03760	NB623_RS03760
OG0000065	NBX26_RS02400	NB623_RS02390
OG0000066	NBX26_RS01480	NB623_RS01470
OG0000068	NBX26_RS00645	NB623_RS00640
OG0000069	NBX26_RS02990	NB623_RS02980
OG0000070	NBX26_RS02640	NB623_RS02630
OG0000071	NBX26_RS03445	NB623_RS03425
OG0000072	NBX26_RS03450	NB623_RS03430
OG0000073	NBX26_RS00715	NB623_RS00710
OG0000074	NBX26_RS00910	NB623_RS00910
OG0000075	NBX26_RS00335	NB623_RS00330
OG0000076	NBX26_RS00350	NB623_RS00345
OG0000077	NBX26_RS00435	NB623_RS00430
OG0000078	NBX26_RS01810	NB623_RS01805
OG0000079	NBX26_RS02720	NB623_RS02720
OG0000080	NBX26_RS02765	NB623_RS02770
OG0000081	NBX26_RS00330	NB623_RS00325
OG0000083	NBX26_RS02080	NB623_RS02075
OG0000084	NBX26_RS02050	NB623_RS02045
OG0000085	NBX26_RS02045	NB623_RS02040
OG0000086	NBX26_RS02030	NB623_RS02030
OG0000087	NBX26_RS02015	NB623_RS02015
OG0000088	NBX26_RS02010	NB623_RS02010
OG0000089	NBX26_RS02000	NB623_RS02000
OG0000090	NBX26_RS00070	NB623_RS00070
OG0000091	NBX26_RS00055	NB623_RS00055
OG0000092	NBX26_RS00040	NB623_RS00050
OG0000093	NBX26_RS00035	NB623_RS00035
OG0000094	NBX26_RS00030	NB623_RS00030
OG0000095	NBX26_RS00005	NB623_RS00005
OG0000096	NBX26_RS03810	NB623_RS03810
OG0000097	NBX26_RS03790	NB623_RS03790
OG0000098	NBX26_RS03780	NB623_RS03780
OG0000099	NBX26_RS03735	NB623_RS03730
OG0000100	NBX26_RS03720	NB623_RS03715
OG0000101	NBX26_RS03715	NB623_RS03710
OG0000102	NBX26_RS01835	NB623_RS01830
OG0000103	NBX26_RS02365	NB623_RS02355
OG0000104	NBX26_RS02370	NB623_RS02360
OG0000105	NBX26_RS02390	NB623_RS02380
OG0000106	NBX26_RS02395	NB623_RS02385
OG0000107	NBX26_RS02405	NB623_RS02395
OG0000108	NBX26_RS02410	NB623_RS02400
OG0000109	NBX26_RS02415	NB623_RS02405
OG0000110	NBX26_RS02535	NB623_RS02525
OG0000111	NBX26_RS02530	NB623_RS02520
OG0000112	NBX26_RS02520	NB623_RS02510
OG0000113	NBX26_RS02500	NB623_RS02490
OG0000114	NBX26_RS02490	NB623_RS02485
OG0000115	NBX26_RS02480	NB623_RS02470
OG0000116	NBX26_RS01420	NB623_RS01415
OG0000117	NBX26_RS01425	NB623_RS01420
OG0000118	NBX26_RS01460	NB623_RS01455
OG0000119	NBX26_RS01470	NB623_RS01465
OG0000120	NBX26_RS01485	NB623_RS01475
OG0000121	NBX26_RS01515	NB623_RS01505
OG0000122	NBX26_RS01520	NB623_RS01510
OG0000123	NBX26_RS01540	NB623_RS01530
OG0000124	NBX26_RS01545	NB623_RS01535
OG0000125	NBX26_RS01550	NB623_RS01545
OG0000126	NBX26_RS01560	NB623_RS01550
OG0000127	NBX26_RS01570	NB623_RS01560
OG0000128	NBX26_RS01585	NB623_RS01575
OG0000129	NBX26_RS01590	NB623_RS01580
OG0000130	NBX26_RS01600	NB623_RS01590
OG0000131	NBX26_RS01630	NB623_RS01620
OG0000132	NBX26_RS01645	NB623_RS01635
OG0000133	NBX26_RS00530	NB623_RS00525
OG0000134	NBX26_RS00535	NB623_RS00530
OG0000135	NBX26_RS00550	NB623_RS00545
OG0000136	NBX26_RS00555	NB623_RS00550
OG0000137	NBX26_RS00595	NB623_RS00590
OG0000138	NBX26_RS00620	NB623_RS00615
OG0000139	NBX26_RS00650	NB623_RS00645
OG0000140	NBX26_RS00655	NB623_RS00650
OG0000141	NBX26_RS03105	NB623_RS03095
OG0000142	NBX26_RS03100	NB623_RS03090
OG0000143	NBX26_RS03085	NB623_RS03075
OG0000144	NBX26_RS03070	NB623_RS03060
OG0000145	NBX26_RS03060	NB623_RS03050
OG0000146	NBX26_RS03050	NB623_RS03040
OG0000147	NBX26_RS03045	NB623_RS03035
OG0000148	NBX26_RS03030	NB623_RS03020
OG0000149	NBX26_RS03020	NB623_RS03010
OG0000150	NBX26_RS03005	NB623_RS02995
OG0000151	NBX26_RS02955	NB623_RS02945
OG0000152	NBX26_RS02950	NB623_RS02940
OG0000153	NBX26_RS02945	NB623_RS02935
OG0000154	NBX26_RS02935	NB623_RS02925
OG0000155	NBX26_RS02895	NB623_RS02885
OG0000156	NBX26_RS02890	NB623_RS02875
OG0000157	NBX26_RS02880	NB623_RS02870
OG0000158	NBX26_RS02870	NB623_RS02860
OG0000159	NBX26_RS02625	NB623_RS02615
OG0000160	NBX26_RS02620	NB623_RS02610
OG0000161	NBX26_RS02615	NB623_RS02605
OG0000162	NBX26_RS02605	NB623_RS02595
OG0000163	NBX26_RS02600	NB623_RS02590
OG0000164	NBX26_RS01730	NB623_RS01725
OG0000165	NBX26_RS02160	NB623_RS02155
OG0000166	NBX26_RS02140	NB623_RS02135
OG0000167	NBX26_RS02125	NB623_RS02120
OG0000168	NBX26_RS02120	NB623_RS02115
OG0000169	NBX26_RS03215	NB623_RS03200
OG0000170	NBX26_RS03230	NB623_RS03215
OG0000171	NBX26_RS03240	NB623_RS03225
OG0000172	NBX26_RS03245	NB623_RS03230
OG0000173	NBX26_RS03250	NB623_RS03235
OG0000174	NBX26_RS03255	NB623_RS03240
OG0000175	NBX26_RS03270	NB623_RS03265
OG0000176	NBX26_RS03330	NB623_RS03310
OG0000177	NBX26_RS03335	NB623_RS03315
OG0000178	NBX26_RS03340	NB623_RS03320
OG0000179	NBX26_RS03350	NB623_RS03330
OG0000180	NBX26_RS03355	NB623_RS03335
OG0000181	NBX26_RS03395	NB623_RS03375
OG0000182	NBX26_RS03405	NB623_RS03385
OG0000183	NBX26_RS03440	NB623_RS03420
OG0000184	NBX26_RS03495	NB623_RS03485
OG0000185	NBX26_RS03480	NB623_RS03475
OG0000186	NBX26_RS01655	NB623_RS01645
OG0000187	NBX26_RS01670	NB623_RS01660
OG0000188	NBX26_RS01680	NB623_RS01670
OG0000189	NBX26_RS02455	NB623_RS02445
OG0000190	NBX26_RS02450	NB623_RS02440
OG0000191	NBX26_RS02425	NB623_RS02415
OG0000192	NBX26_RS01345	NB623_RS01340
OG0000193	NBX26_RS01330	NB623_RS01325
OG0000194	NBX26_RS00695	NB623_RS00690
OG0000195	NBX26_RS00700	NB623_RS00695
OG0000196	NBX26_RS00725	NB623_RS00720
OG0000197	NBX26_RS00735	NB623_RS00730
OG0000198	NBX26_RS00745	NB623_RS00740
OG0000199	NBX26_RS00750	NB623_RS00745
OG0000200	NBX26_RS00765	NB623_RS00760
OG0000201	NBX26_RS00775	NB623_RS00770
OG0000202	NBX26_RS00830	NB623_RS00830
OG0000203	NBX26_RS00835	NB623_RS00835
OG0000204	NBX26_RS00840	NB623_RS00840
OG0000205	NBX26_RS00845	NB623_RS00845
OG0000206	NBX26_RS00865	NB623_RS00865
OG0000207	NBX26_RS00880	NB623_RS00880
OG0000208	NBX26_RS00885	NB623_RS00885
OG0000209	NBX26_RS00890	NB623_RS00890
OG0000210	NBX26_RS00935	NB623_RS00935
OG0000211	NBX26_RS01080	NB623_RS01070
OG0000212	NBX26_RS01085	NB623_RS01080
OG0000213	NBX26_RS01090	NB623_RS01085
OG0000214	NBX26_RS01095	NB623_RS01090
OG0000215	NBX26_RS01100	NB623_RS01095
OG0000216	NBX26_RS01105	NB623_RS01100
OG0000217	NBX26_RS01110	NB623_RS01105
OG0000218	NBX26_RS01120	NB623_RS01115
OG0000219	NBX26_RS01125	NB623_RS01120
OG0000220	NBX26_RS01130	NB623_RS01125
OG0000221	NBX26_RS01135	NB623_RS01130
OG0000222	NBX26_RS01140	NB623_RS01135
OG0000223	NBX26_RS01145	NB623_RS01140
OG0000224	NBX26_RS01155	NB623_RS01150
OG0000225	NBX26_RS01165	NB623_RS01160
OG0000226	NBX26_RS01170	NB623_RS01165
OG0000227	NBX26_RS01175	NB623_RS01170
OG0000228	NBX26_RS01180	NB623_RS01175
OG0000229	NBX26_RS01185	NB623_RS01180
OG0000230	NBX26_RS01190	NB623_RS01185
OG0000231	NBX26_RS01200	NB623_RS01195
OG0000232	NBX26_RS01210	NB623_RS01205
OG0000233	NBX26_RS01230	NB623_RS01225
OG0000234	NBX26_RS01265	NB623_RS01260
OG0000235	NBX26_RS01275	NB623_RS01270
OG0000236	NBX26_RS01280	NB623_RS01275
OG0000237	NBX26_RS01285	NB623_RS01280
OG0000238	NBX26_RS01295	NB623_RS01285
OG0000239	NBX26_RS03115	NB623_RS03105
OG0000240	NBX26_RS03120	NB623_RS03110
OG0000241	NBX26_RS03130	NB623_RS03120
OG0000242	NBX26_RS03135	NB623_RS03125
OG0000243	NBX26_RS03140	NB623_RS03130
OG0000244	NBX26_RS03150	NB623_RS03140
OG0000245	NBX26_RS03160	NB623_RS03145
OG0000246	NBX26_RS00130	NB623_RS00130
OG0000247	NBX26_RS00140	NB623_RS00140
OG0000248	NBX26_RS00150	NB623_RS00150
OG0000249	NBX26_RS00155	NB623_RS00155
OG0000250	NBX26_RS00180	NB623_RS00175
OG0000251	NBX26_RS00210	NB623_RS00205
OG0000252	NBX26_RS00215	NB623_RS00210
OG0000253	NBX26_RS00220	NB623_RS00215
OG0000254	NBX26_RS00230	NB623_RS00225
OG0000255	NBX26_RS00235	NB623_RS00230
OG0000256	NBX26_RS00240	NB623_RS00240
OG0000257	NBX26_RS00265	NB623_RS00260
OG0000258	NBX26_RS00280	NB623_RS00270
OG0000259	NBX26_RS00305	NB623_RS00300
OG0000260	NBX26_RS00315	NB623_RS00310
OG0000261	NBX26_RS00325	NB623_RS00320
OG0000262	NBX26_RS00340	NB623_RS00340
OG0000263	NBX26_RS00355	NB623_RS00350
OG0000264	NBX26_RS00370	NB623_RS00365
OG0000265	NBX26_RS00380	NB623_RS00375
OG0000266	NBX26_RS00395	NB623_RS00390
OG0000267	NBX26_RS00410	NB623_RS00405
OG0000268	NBX26_RS00415	NB623_RS00410
OG0000269	NBX26_RS00430	NB623_RS00425
OG0000270	NBX26_RS03690	NB623_RS03685
OG0000271	NBX26_RS03685	NB623_RS03675
OG0000272	NBX26_RS03680	NB623_RS03670
OG0000273	NBX26_RS03675	NB623_RS03665
OG0000274	NBX26_RS03660	NB623_RS03650
OG0000275	NBX26_RS03650	NB623_RS03640
OG0000276	NBX26_RS03645	NB623_RS03635
OG0000277	NBX26_RS03635	NB623_RS03625
OG0000278	NBX26_RS03630	NB623_RS03620
OG0000279	NBX26_RS03620	NB623_RS03615
OG0000280	NBX26_RS03615	NB623_RS03605
OG0000281	NBX26_RS03610	NB623_RS03600
OG0000282	NBX26_RS03585	NB623_RS03570, NB623_RS03575
OG0000283	NBX26_RS03580	NB623_RS03565
OG0000284	NBX26_RS03575	NB623_RS03560
OG0000285	NBX26_RS03570	NB623_RS03555
OG0000286	NBX26_RS02585	NB623_RS02575
OG0000287	NBX26_RS02680	NB623_RS02675
OG0000288	NBX26_RS02690	NB623_RS02685
OG0000289	NBX26_RS02695	NB623_RS02690
OG0000290	NBX26_RS02815	NB623_RS02810
OG0000291	NBX26_RS02800	NB623_RS02800
OG0000292	NBX26_RS02795	NB623_RS02795
OG0000293	NBX26_RS02785	NB623_RS02790
OG0000294	NBX26_RS02775	NB623_RS02780
OG0000295	NBX26_RS02770	NB623_RS02775
OG0000296	NBX26_RS02730	NB623_RS02730
OG0000297	NBX26_RS02725	NB623_RS02725
OG0000298	NBX26_RS00165	NB623_RS00165
OG0000299	NBX26_RS00190	NB623_RS00185
OG0000300	NBX26_RS00365	NB623_RS00360
OG0000301	NBX26_RS00400	NB623_RS00395
OG0000302	NBX26_RS00405	NB623_RS00400
OG0000303	NBX26_RS00560	NB623_RS00555
OG0000304	NBX26_RS01215	NB623_RS01210
OG0000305	NBX26_RS03055	NB623_RS03045
OG0000306	NBX26_RS02980	NB623_RS02970
OG0000307	NBX26_RS02940	NB623_RS02930
OG0000308	NBX26_RS02850	NB623_RS02835
OG0000309	NBX26_RS02760	NB623_RS02765
OG0000310	NBX26_RS02685	NB623_RS02680
OG0000311	NBX26_RS02645	NB623_RS02635
OG0000312	NBX26_RS02630	NB623_RS02620
OG0000313	NBX26_RS01720	NB623_RS01715
OG0000314	NBX26_RS02145	NB623_RS02140
OG0000315	NBX26_RS02115	NB623_RS02110
OG0000316	NBX26_RS02105	NB623_RS02100
OG0000317	NBX26_RS02005	NB623_RS02005
OG0000318	NBX26_RS02100	NB623_RS02095
OG0000319	NBX26_RS02380	NB623_RS02370
OG0000320	NBX26_RS02510	NB623_RS02500
OG0000321	NBX26_RS01455	NB623_RS01450
OG0000322	NBX26_RS01510	NB623_RS01500
OG0000323	NBX26_RS01640	NB623_RS01630
OG0000324	NBX26_RS02420	NB623_RS02410
OG0000325	NBX26_RS00710	NB623_RS00705
OG0000326	NBX26_RS00805	NB623_RS00805
OG0000327	NBX26_RS00810	NB623_RS00810
OG0000328	NBX26_RS00895	NB623_RS00895
OG0000329	NBX26_RS00920	NB623_RS00915
OG0000330	NBX26_RS01240	NB623_RS01235
OG0000331	NBX26_RS03145	NB623_RS03135
OG0000332	NBX26_RS03285	NB623_RS03270
OG0000333	NBX26_RS03295	NB623_RS03280
OG0000334	NBX26_RS03400	NB623_RS03380
OG0000335	NBX26_RS03410	NB623_RS03390
OG0000336	NBX26_RS03600	NB623_RS03590
OG0000337	NBX26_RS03765	NB623_RS03765
OG0000338	NBX26_RS03805	NB623_RS03805
OG0000339	NBX26_RS02485	NB623_RS02475
OG0000340	NBX26_RS01435	NB623_RS01430
OG0000341	NBX26_RS02445	NB623_RS02435
OG0000342	NBX26_RS00740	NB623_RS00735
OG0000343	NBX26_RS03305	NB623_RS03290
OG0000344	NBX26_RS00575	NB623_RS00570
OG0000345	NBX26_RS01160	NB623_RS01155
OG0000346	NBX26_RS03605	NB623_RS03595
OG0000347	NBX26_RS01535	NB623_RS01525
OG0000348	NBX26_RS00815	NB623_RS00815
OG0000349	NBX26_RS03665	NB623_RS03655
OG0000350	NBX26_RS02930	NB623_RS02920
OG0000351	NBX26_RS00485	NB623_RS00480
OG0000352	NBX26_RS02165	NB623_RS02160
OG0000353	NBX26_RS01500	NB623_RS01490
OG0000354	NBX26_RS00635	NB623_RS00630
OG0000355	NBX26_RS02190	NB623_RS02185
OG0000356	NBX26_RS02110	NB623_RS02105
OG0000357	NBX26_RS03260	NB623_RS03245
OG0000358	NBX26_RS03265	NB623_RS03250
OG0000359	NBX26_RS00785	NB623_RS00780
OG0000360	NBX26_RS00270	NB623_RS00265
OG0000361	NBX26_RS00300	NB623_RS00295
OG0000362	NBX26_RS02705	NB623_RS02705
OG0000363	NBX26_RS01575	NB623_RS01565
OG0000364	NBX26_RS02215	NB623_RS02210
OG0000365	NBX26_RS02065	NB623_RS02060
OG0000366	NBX26_RS02040	NB623_RS02035
OG0000367	NBX26_RS02025	NB623_RS02025
OG0000368	NBX26_RS00060	NB623_RS00060
OG0000369	NBX26_RS00025	NB623_RS00025
OG0000370	NBX26_RS00020	NB623_RS00020
OG0000371	NBX26_RS00015	NB623_RS00015
OG0000372	NBX26_RS00010	NB623_RS00010
OG0000373	NBX26_RS03795	NB623_RS03795
OG0000374	NBX26_RS03785	NB623_RS03785
OG0000375	NBX26_RS02375	NB623_RS02365
OG0000376	NBX26_RS02525	NB623_RS02515
OG0000377	NBX26_RS02515	NB623_RS02505
OG0000378	NBX26_RS01415	NB623_RS01410
OG0000379	NBX26_RS01495	NB623_RS01485
OG0000380	NBX26_RS01530	NB623_RS01515
OG0000381	NBX26_RS01565	NB623_RS01555
OG0000382	NBX26_RS01595	NB623_RS01585
OG0000383	NBX26_RS01635	NB623_RS01625
OG0000384	NBX26_RS00515	NB623_RS00510
OG0000385	NBX26_RS00525	NB623_RS00520
OG0000386	NBX26_RS00540	NB623_RS00535
OG0000387	NBX26_RS00565	NB623_RS00560
OG0000388	NBX26_RS00570	NB623_RS00565
OG0000389	NBX26_RS00615	NB623_RS00610
OG0000390	NBX26_RS03075	NB623_RS03065
OG0000391	NBX26_RS03065	NB623_RS03055
OG0000392	NBX26_RS03040	NB623_RS03030
OG0000393	NBX26_RS02985	NB623_RS02975
OG0000394	NBX26_RS02905	NB623_RS02895
OG0000395	NBX26_RS02900	NB623_RS02890
OG0000396	NBX26_RS02590	NB623_RS02580
OG0000397	NBX26_RS02180	NB623_RS02175
OG0000398	NBX26_RS02175	NB623_RS02170
OG0000399	NBX26_RS02130	NB623_RS02125
OG0000400	NBX26_RS03225	NB623_RS03210
OG0000401	NBX26_RS03290	NB623_RS03275
OG0000402	NBX26_RS03300	NB623_RS03285
OG0000403	NBX26_RS03310	NB623_RS03295
OG0000404	NBX26_RS03345	NB623_RS03325
OG0000405	NBX26_RS03360	NB623_RS03340
OG0000406	NBX26_RS03415	NB623_RS03395
OG0000407	NBX26_RS03420	NB623_RS03400
OG0000408	NBX26_RS03425	NB623_RS03405
OG0000409	NBX26_RS03430	NB623_RS03410
OG0000410	NBX26_RS03505	NB623_RS03495
OG0000411	NBX26_RS03490	NB623_RS03480
OG0000413	NBX26_RS01650	NB623_RS01640
OG0000414	NBX26_RS01660	NB623_RS01650
OG0000415	NBX26_RS01665	NB623_RS01655
OG0000416	NBX26_RS01675	NB623_RS01665
OG0000417	NBX26_RS02440	NB623_RS02430
OG0000418	NBX26_RS02430	NB623_RS02420
OG0000419	NBX26_RS00720	NB623_RS00715
OG0000420	NBX26_RS00755	NB623_RS00750
OG0000421	NBX26_RS00795	NB623_RS00790
OG0000422	NBX26_RS00800	NB623_RS00800
OG0000423	NBX26_RS00855	NB623_RS00855
OG0000424	NBX26_RS00860	NB623_RS00860
OG0000425	NBX26_RS00870	NB623_RS00870
OG0000426	NBX26_RS00875	NB623_RS00875
OG0000427	NBX26_RS00900	NB623_RS00900
OG0000428	NBX26_RS00925	NB623_RS00925
OG0000429	NBX26_RS01150	NB623_RS01145
OG0000430	NBX26_RS01195	NB623_RS01190
OG0000431	NBX26_RS01205	NB623_RS01200
OG0000432	NBX26_RS01235	NB623_RS01230
OG0000433	NBX26_RS01260	NB623_RS01245
OG0000435	NBX26_RS01270	NB623_RS01265
OG0000437	NBX26_RS01305	NB623_RS01300
OG0000438	NBX26_RS01310	NB623_RS01305
OG0000439	NBX26_RS01315	NB623_RS01310
OG0000440	NBX26_RS03125	NB623_RS03115
OG0000441	NBX26_RS03165	NB623_RS03150
OG0000442	NBX26_RS00135	NB623_RS00135
OG0000443	NBX26_RS00185	NB623_RS00180
OG0000444	NBX26_RS00200	NB623_RS00195
OG0000445	NBX26_RS00225	NB623_RS00220
OG0000446	NBX26_RS00250	NB623_RS00245
OG0000447	NBX26_RS00255	NB623_RS00255
OG0000448	NBX26_RS00290	NB623_RS00280
OG0000449	NBX26_RS00310	NB623_RS00305
OG0000450	NBX26_RS00320	NB623_RS00315
OG0000451	NBX26_RS00360	NB623_RS00355
OG0000452	NBX26_RS00385	NB623_RS00380
OG0000453	NBX26_RS00420	NB623_RS00415
OG0000454	NBX26_RS01760	NB623_RS01755
OG0000455	NBX26_RS03710	NB623_RS03705
OG0000456	NBX26_RS03590	NB623_RS03580
OG0000457	NBX26_RS03565	NB623_RS03545
OG0000458	NBX26_RS02675	NB623_RS02670
OG0000459	NBX26_RS02700	NB623_RS02700
OG0000460	NBX26_RS02710	NB623_RS02710
OG0000461	NBX26_RS02755	NB623_RS02755
OG0000462	NBX26_RS02750	NB623_RS02750
OG0000463	NBX26_RS02745	NB623_RS02745
OG0000464	NBX26_RS02740	NB623_RS02740
OG0000465	NBX26_RS02735	NB623_RS02735
OG0000466	NBX26_RS00390	NB623_RS00385
OG0000467	NBX26_RS02855	NB623_RS02845
OG0000468	NBX26_RS02135	NB623_RS02130
OG0000469	NBX26_RS02075	NB623_RS02070
OG0000470	NBX26_RS00850	NB623_RS00850
OG0000471	NBX26_RS00930	NB623_RS00930
OG0000472	NBX26_RS03515	NB623_RS03500
OG0000473	NBX26_RS03695	NB623_RS03690
OG0000474	NBX26_RS03700	NB623_RS03695
OG0000475	NBX26_RS03705	NB623_RS03700
OG0000476	NBX26_RS01685	NB623_RS01675
OG0000477	NBX26_RS02780	NB623_RS02785
OG0000478	NBX26_RS03640	NB623_RS03630
OG0000479	NBX26_RS01450	NB623_RS01445
OG0000480	NBX26_RS02070	NB623_RS02065
OG0000481	NBX26_RS00825	NB623_RS00825
OG0000482	NBX26_RS01335	NB623_RS01330
OG0000483	NBX26_RS02020	NB623_RS02020
OG0000484	NBX26_RS00195	NB623_RS00190
OG0000485	NBX26_RS01300	NB623_RS01295
OG0000486	NBX26_RS02460	NB623_RS02450
OG0000488	NBX26_RS02055	NB623_RS02055
OG0000490	NBX26_RS03800	NB623_RS03800
OG0000493	NBX26_RS00580	NB623_RS00575
OG0000494	NBX26_RS00640	NB623_RS00635
OG0000495	NBX26_RS03015	NB623_RS03005
OG0000496	NBX26_RS03000	NB623_RS02990
OG0000497	NBX26_RS02995	NB623_RS02985
OG0000498	NBX26_RS02910	NB623_RS02900
