Orthogroup	MHP_112B_genes	MHP_F72C_genes
OG0000122	NBX26_RS01520	EHI52_RS01450
OG0000123	NBX26_RS01540	EHI52_RS01470
OG0000124	NBX26_RS01545	EHI52_RS01475
OG0000125	NBX26_RS01550	EHI52_RS01480
OG0000126	NBX26_RS01560	EHI52_RS01490
OG0000127	NBX26_RS01570	EHI52_RS01500
OG0000128	NBX26_RS01585	EHI52_RS01515
OG0000129	NBX26_RS01590	EHI52_RS01520
OG0000130	NBX26_RS01600	EHI52_RS01530
OG0000131	NBX26_RS01630	EHI52_RS01560
OG0000132	NBX26_RS01645	EHI52_RS01575
OG0000133	NBX26_RS00530	EHI52_RS00545
OG0000134	NBX26_RS00535	EHI52_RS00550
OG0000135	NBX26_RS00550	EHI52_RS00565
OG0000136	NBX26_RS00555	EHI52_RS00570
OG0000137	NBX26_RS00595	EHI52_RS00600
OG0000138	NBX26_RS00620	EHI52_RS00635
OG0000139	NBX26_RS00650	EHI52_RS00665
OG0000140	NBX26_RS00655	EHI52_RS00670
OG0000141	NBX26_RS03105	EHI52_RS02925
OG0000142	NBX26_RS03100	EHI52_RS02920
OG0000143	NBX26_RS03085	EHI52_RS02895
OG0000144	NBX26_RS03070	EHI52_RS02885
OG0000145	NBX26_RS03060	EHI52_RS02875
OG0000146	NBX26_RS03050	EHI52_RS02865
OG0000147	NBX26_RS03045	EHI52_RS02860
OG0000148	NBX26_RS03030	EHI52_RS02845
OG0000149	NBX26_RS03020	EHI52_RS02835
OG0000150	NBX26_RS03005	EHI52_RS02820
OG0000151	NBX26_RS02955	EHI52_RS02775
OG0000152	NBX26_RS02950	EHI52_RS02770
OG0000153	NBX26_RS02945	EHI52_RS02765
OG0000154	NBX26_RS02935	EHI52_RS02755
OG0000155	NBX26_RS02895	EHI52_RS02715
OG0000156	NBX26_RS02890	EHI52_RS02705
OG0000157	NBX26_RS02880	EHI52_RS02700
OG0000158	NBX26_RS02870	EHI52_RS03885
OG0000159	NBX26_RS02625	EHI52_RS03925
OG0000160	NBX26_RS02620	EHI52_RS02460
OG0000161	NBX26_RS02615	EHI52_RS02455
OG0000162	NBX26_RS02605	EHI52_RS02445
OG0000163	NBX26_RS02600	EHI52_RS02440
OG0000164	NBX26_RS01730	EHI52_RS01665
OG0000165	NBX26_RS02160	EHI52_RS01995
OG0000166	NBX26_RS02140	EHI52_RS01975
OG0000167	NBX26_RS02125	EHI52_RS01960
OG0000168	NBX26_RS02120	EHI52_RS01955
OG0000169	NBX26_RS03215	EHI52_RS03055
OG0000170	NBX26_RS03230	EHI52_RS03075
OG0000171	NBX26_RS03240	EHI52_RS03085
OG0000172	NBX26_RS03245	EHI52_RS03095
OG0000173	NBX26_RS03250	EHI52_RS03100
OG0000174	NBX26_RS03255	EHI52_RS03105
OG0000175	NBX26_RS03270	EHI52_RS03120
OG0000176	NBX26_RS03330	EHI52_RS03170
OG0000177	NBX26_RS03335	EHI52_RS03175
OG0000178	NBX26_RS03340	EHI52_RS03180
OG0000179	NBX26_RS03350	EHI52_RS03190
OG0000180	NBX26_RS03355	EHI52_RS03195
OG0000181	NBX26_RS03395	EHI52_RS03235
OG0000182	NBX26_RS03405	EHI52_RS03245
OG0000183	NBX26_RS03440	EHI52_RS03280
OG0000184	NBX26_RS03495	EHI52_RS03325
OG0000185	NBX26_RS03480	EHI52_RS03310
OG0000186	NBX26_RS01655	EHI52_RS01585
OG0000187	NBX26_RS01670	EHI52_RS01600
OG0000188	NBX26_RS01680	EHI52_RS01610
OG0000189	NBX26_RS02455	EHI52_RS02310
OG0000190	NBX26_RS02450	EHI52_RS02305
OG0000191	NBX26_RS02425	EHI52_RS02285
OG0000192	NBX26_RS01345	EHI52_RS01280
OG0000193	NBX26_RS01330	EHI52_RS01270
OG0000194	NBX26_RS00695	EHI52_RS00690
OG0000195	NBX26_RS00700	EHI52_RS00695
OG0000196	NBX26_RS00725	EHI52_RS00715
OG0000197	NBX26_RS00735	EHI52_RS00720
OG0000198	NBX26_RS00745	EHI52_RS00735
OG0000199	NBX26_RS00750	EHI52_RS00740
OG0000200	NBX26_RS00765	EHI52_RS00755
OG0000201	NBX26_RS00775	EHI52_RS00765
OG0000202	NBX26_RS00830	EHI52_RS00820
OG0000203	NBX26_RS00835	EHI52_RS00825
OG0000204	NBX26_RS00840	EHI52_RS00830
OG0000205	NBX26_RS00845	EHI52_RS00835
OG0000206	NBX26_RS00865	EHI52_RS00855
OG0000207	NBX26_RS00880	EHI52_RS00870
OG0000208	NBX26_RS00885	EHI52_RS00875
OG0000209	NBX26_RS00890	EHI52_RS00880
OG0000210	NBX26_RS00935	EHI52_RS00925
OG0000211	NBX26_RS01080	EHI52_RS01005
OG0000212	NBX26_RS01085	EHI52_RS01015
OG0000213	NBX26_RS01090	EHI52_RS01020
OG0000214	NBX26_RS01095	EHI52_RS01025
OG0000215	NBX26_RS01100	EHI52_RS01030
OG0000216	NBX26_RS01105	EHI52_RS01035
OG0000217	NBX26_RS01110	EHI52_RS01040
OG0000218	NBX26_RS01120	EHI52_RS01050
OG0000219	NBX26_RS01125	EHI52_RS01055
OG0000220	NBX26_RS01130	EHI52_RS01060
OG0000221	NBX26_RS01135	EHI52_RS01065
OG0000222	NBX26_RS01140	EHI52_RS01070
OG0000223	NBX26_RS01145	EHI52_RS01075
OG0000224	NBX26_RS01155	EHI52_RS01085
OG0000225	NBX26_RS01165	EHI52_RS01095
OG0000226	NBX26_RS01170	EHI52_RS01100
OG0000227	NBX26_RS01175	EHI52_RS01105
OG0000228	NBX26_RS01180	EHI52_RS03905
OG0000229	NBX26_RS01185	EHI52_RS01115
OG0000230	NBX26_RS01190	EHI52_RS01120
OG0000231	NBX26_RS01200	EHI52_RS01130
OG0000232	NBX26_RS01210	EHI52_RS01140
OG0000233	NBX26_RS01230	EHI52_RS01165
OG0000234	NBX26_RS01265	EHI52_RS01200
OG0000235	NBX26_RS01275	EHI52_RS01210
OG0000236	NBX26_RS01280	EHI52_RS01215
OG0000237	NBX26_RS01285	EHI52_RS01220
OG0000238	NBX26_RS01295	EHI52_RS01230
OG0000239	NBX26_RS03115	EHI52_RS02935
OG0000240	NBX26_RS03120	EHI52_RS02940
OG0000241	NBX26_RS03130	EHI52_RS02950
OG0000242	NBX26_RS03135	EHI52_RS02955
OG0000243	NBX26_RS03140	EHI52_RS02960
OG0000244	NBX26_RS03150	EHI52_RS02970
OG0000245	NBX26_RS03160	EHI52_RS02980
OG0000246	NBX26_RS00130	EHI52_RS00140
OG0000247	NBX26_RS00140	EHI52_RS00150
OG0000248	NBX26_RS00150	EHI52_RS00160
OG0000249	NBX26_RS00155	EHI52_RS00165
OG0000250	NBX26_RS00180	EHI52_RS00180
OG0000251	NBX26_RS00210	EHI52_RS00215
OG0000252	NBX26_RS00215	EHI52_RS00225
OG0000253	NBX26_RS00220	EHI52_RS00230
OG0000254	NBX26_RS00230	EHI52_RS00240
OG0000255	NBX26_RS00235	EHI52_RS00250
OG0000256	NBX26_RS00240	EHI52_RS00255
OG0000257	NBX26_RS00265	EHI52_RS00280
OG0000258	NBX26_RS00280	EHI52_RS00290
OG0000259	NBX26_RS00305	EHI52_RS00320
OG0000260	NBX26_RS00315	EHI52_RS00330
OG0000261	NBX26_RS00325	EHI52_RS00340
OG0000262	NBX26_RS00340	EHI52_RS00360
OG0000263	NBX26_RS00355	EHI52_RS00375
OG0000264	NBX26_RS00370	EHI52_RS00390
OG0000265	NBX26_RS00380	EHI52_RS00400
OG0000266	NBX26_RS00395	EHI52_RS00415
OG0000267	NBX26_RS00410	EHI52_RS00430
OG0000268	NBX26_RS00415	EHI52_RS00435
OG0000269	NBX26_RS00430	EHI52_RS00450
OG0000270	NBX26_RS03690	EHI52_RS03490
OG0000271	NBX26_RS03685	EHI52_RS03485
OG0000272	NBX26_RS03680	EHI52_RS03480
OG0000273	NBX26_RS03675	EHI52_RS03475
OG0000274	NBX26_RS03660	EHI52_RS03455
OG0000275	NBX26_RS03650	EHI52_RS03450
OG0000276	NBX26_RS03645	EHI52_RS03445
OG0000277	NBX26_RS03635	EHI52_RS03435
OG0000278	NBX26_RS03630	EHI52_RS03430
OG0000279	NBX26_RS03620	EHI52_RS03420
OG0000280	NBX26_RS03615	EHI52_RS03415
OG0000281	NBX26_RS03610	EHI52_RS03410
OG0000282	NBX26_RS03585	EHI52_RS03385
OG0000283	NBX26_RS03580	EHI52_RS03380
OG0000284	NBX26_RS03575	EHI52_RS03375
OG0000285	NBX26_RS03570	EHI52_RS03370
OG0000286	NBX26_RS02585	EHI52_RS02425
OG0000287	NBX26_RS02680	EHI52_RS02515
OG0000288	NBX26_RS02690	EHI52_RS02525
OG0000289	NBX26_RS02695	EHI52_RS02530
OG0000290	NBX26_RS02815	EHI52_RS02640
OG0000291	NBX26_RS02800	EHI52_RS02630
OG0000292	NBX26_RS02795	EHI52_RS02625
OG0000293	NBX26_RS02785	EHI52_RS02620
OG0000294	NBX26_RS02775	EHI52_RS02610
OG0000295	NBX26_RS02770	EHI52_RS02605
OG0000296	NBX26_RS02730	EHI52_RS02565
OG0000297	NBX26_RS02725	EHI52_RS02560
OG0000298	NBX26_RS00165	EHI52_RS00175
OG0000299	NBX26_RS00190	EHI52_RS00200
OG0000300	NBX26_RS00365	EHI52_RS00385
OG0000301	NBX26_RS00400	EHI52_RS00420
OG0000302	NBX26_RS00405	EHI52_RS00425
OG0000303	NBX26_RS00560	EHI52_RS00575
OG0000304	NBX26_RS01215	EHI52_RS01145
OG0000305	NBX26_RS03055	EHI52_RS02870
OG0000306	NBX26_RS02980	EHI52_RS02795
OG0000307	NBX26_RS02940	EHI52_RS02760
OG0000308	NBX26_RS02850	EHI52_RS02660
OG0000309	NBX26_RS02760	EHI52_RS02595
OG0000310	NBX26_RS02685	EHI52_RS02520
OG0000311	NBX26_RS02645	EHI52_RS02485
OG0000312	NBX26_RS02630	EHI52_RS02470
OG0000313	NBX26_RS01720	EHI52_RS01655
OG0000314	NBX26_RS02145	EHI52_RS01980
OG0000315	NBX26_RS02115	EHI52_RS01950
OG0000316	NBX26_RS02105	EHI52_RS01940
OG0000317	NBX26_RS02005	EHI52_RS01850
OG0000318	NBX26_RS02100	EHI52_RS01935
OG0000319	NBX26_RS02380	EHI52_RS02240
OG0000320	NBX26_RS02510	EHI52_RS02370
OG0000321	NBX26_RS01455	EHI52_RS01395
OG0000322	NBX26_RS01510	EHI52_RS01440
OG0000323	NBX26_RS01640	EHI52_RS01570
OG0000324	NBX26_RS02420	EHI52_RS02280
OG0000325	NBX26_RS00710	EHI52_RS00700
OG0000326	NBX26_RS00805	EHI52_RS00795
OG0000327	NBX26_RS00810	EHI52_RS00800
OG0000328	NBX26_RS00895	EHI52_RS00885
OG0000329	NBX26_RS00920	EHI52_RS00905
OG0000330	NBX26_RS01240	EHI52_RS01175
OG0000331	NBX26_RS03145	EHI52_RS02965
OG0000332	NBX26_RS03285	EHI52_RS03130
OG0000333	NBX26_RS03295	EHI52_RS03140
OG0000334	NBX26_RS03400	EHI52_RS03240
OG0000335	NBX26_RS03410	EHI52_RS03250
OG0000336	NBX26_RS03600	EHI52_RS03400
OG0000337	NBX26_RS03765	EHI52_RS03575
OG0000338	NBX26_RS03805	EHI52_RS03615
OG0000339	NBX26_RS02485	EHI52_RS02340
OG0000340	NBX26_RS01435	EHI52_RS01375
OG0000341	NBX26_RS02445	EHI52_RS02300
OG0000342	NBX26_RS00740	EHI52_RS00730
OG0000343	NBX26_RS03305	EHI52_RS03150
OG0000344	NBX26_RS00575	EHI52_RS00590
OG0000345	NBX26_RS01160	EHI52_RS01090
OG0000346	NBX26_RS03605	EHI52_RS03405
OG0000347	NBX26_RS01535	EHI52_RS01465
OG0000348	NBX26_RS00815	EHI52_RS00805
OG0000349	NBX26_RS03665	EHI52_RS03465
OG0000350	NBX26_RS02930	EHI52_RS02750
OG0000351	NBX26_RS00485	EHI52_RS00510
OG0000352	NBX26_RS02165	EHI52_RS02000
OG0000353	NBX26_RS01500	EHI52_RS01435
OG0000354	NBX26_RS00635	EHI52_RS00650
OG0000355	NBX26_RS02190	EHI52_RS02030
OG0000356	NBX26_RS02110	EHI52_RS01945
OG0000357	NBX26_RS03260	EHI52_RS03110
OG0000358	NBX26_RS03265	EHI52_RS03115
OG0000359	NBX26_RS00785	EHI52_RS00775
OG0000360	NBX26_RS00270	EHI52_RS00285
OG0000361	NBX26_RS00300	EHI52_RS00315
OG0000362	NBX26_RS02705	EHI52_RS02540
OG0000363	NBX26_RS01575	EHI52_RS01505
OG0000364	NBX26_RS02215	EHI52_RS03790, EHI52_RS02055
OG0000365	NBX26_RS02065	EHI52_RS01905
OG0000366	NBX26_RS02040	EHI52_RS01880
OG0000367	NBX26_RS02025	EHI52_RS01870
OG0000368	NBX26_RS00060	EHI52_RS00060
OG0000369	NBX26_RS00025	EHI52_RS00025
OG0000370	NBX26_RS00020	EHI52_RS00020
OG0000371	NBX26_RS00015	EHI52_RS00015
OG0000372	NBX26_RS00010	EHI52_RS00010
OG0000373	NBX26_RS03795	EHI52_RS03605
OG0000374	NBX26_RS03785	EHI52_RS03595
OG0000375	NBX26_RS02375	EHI52_RS02235
OG0000376	NBX26_RS02525	EHI52_RS02385
OG0000377	NBX26_RS02515	EHI52_RS02375
OG0000378	NBX26_RS01415	EHI52_RS01355
OG0000379	NBX26_RS01495	EHI52_RS01430
OG0000380	NBX26_RS01530	EHI52_RS01455
OG0000381	NBX26_RS01565	EHI52_RS01495
OG0000382	NBX26_RS01595	EHI52_RS01525
OG0000383	NBX26_RS01635	EHI52_RS01565
OG0000384	NBX26_RS00515	EHI52_RS00530
OG0000385	NBX26_RS00525	EHI52_RS00535
OG0000386	NBX26_RS00540	EHI52_RS00555
OG0000387	NBX26_RS00565	EHI52_RS00580
OG0000388	NBX26_RS00570	EHI52_RS00585
OG0000389	NBX26_RS00615	EHI52_RS00630
OG0000390	NBX26_RS03075	EHI52_RS02890
OG0000391	NBX26_RS03065	EHI52_RS02880
OG0000392	NBX26_RS03040	EHI52_RS02855
OG0000393	NBX26_RS02985	EHI52_RS02800
OG0000394	NBX26_RS02905	EHI52_RS02725
OG0000395	NBX26_RS02900	EHI52_RS02720
OG0000396	NBX26_RS02590	EHI52_RS02430
OG0000397	NBX26_RS02180	EHI52_RS02015
OG0000398	NBX26_RS02175	EHI52_RS02010
OG0000399	NBX26_RS02130	EHI52_RS01965
OG0000400	NBX26_RS03225	EHI52_RS03070
OG0000401	NBX26_RS03290	EHI52_RS03135
OG0000402	NBX26_RS03300	EHI52_RS03145
OG0000403	NBX26_RS03310	EHI52_RS03155
OG0000404	NBX26_RS03345	EHI52_RS03185
OG0000405	NBX26_RS03360	EHI52_RS03200
OG0000406	NBX26_RS03415	EHI52_RS03255
OG0000407	NBX26_RS03420	EHI52_RS03260
OG0000408	NBX26_RS03425	EHI52_RS03265
OG0000409	NBX26_RS03430	EHI52_RS03270
OG0000410	NBX26_RS03505	EHI52_RS03330
OG0000411	NBX26_RS03490	EHI52_RS03320
OG0000412	NBX26_RS03485	EHI52_RS03315
OG0000413	NBX26_RS01650	EHI52_RS01580
OG0000414	NBX26_RS01660	EHI52_RS01590
OG0000415	NBX26_RS01665	EHI52_RS01595
OG0000416	NBX26_RS01675	EHI52_RS01605
OG0000417	NBX26_RS02440	EHI52_RS02295
OG0000418	NBX26_RS02430	EHI52_RS02290
OG0000419	NBX26_RS00720	EHI52_RS00710
OG0000420	NBX26_RS00755	EHI52_RS00745
OG0000421	NBX26_RS00795	EHI52_RS00780
OG0000422	NBX26_RS00800	EHI52_RS00790
OG0000423	NBX26_RS00855	EHI52_RS00845
OG0000424	NBX26_RS00860	EHI52_RS00850
OG0000425	NBX26_RS00870	EHI52_RS00860
OG0000426	NBX26_RS00875	EHI52_RS00865
OG0000427	NBX26_RS00900	EHI52_RS00890
OG0000428	NBX26_RS00925	EHI52_RS00915
OG0000429	NBX26_RS01150	EHI52_RS01080
OG0000430	NBX26_RS01195	EHI52_RS01125
OG0000431	NBX26_RS01205	EHI52_RS01135
OG0000432	NBX26_RS01235	EHI52_RS01170
OG0000433	NBX26_RS01260	EHI52_RS01185
OG0000435	NBX26_RS01270	EHI52_RS01205
OG0000437	NBX26_RS01305	EHI52_RS01245
OG0000438	NBX26_RS01310	EHI52_RS01250
OG0000439	NBX26_RS01315	EHI52_RS01255
OG0000440	NBX26_RS03125	EHI52_RS02945
OG0000441	NBX26_RS03165	EHI52_RS02985
OG0000442	NBX26_RS00135	EHI52_RS00145
OG0000443	NBX26_RS00185	EHI52_RS00195
OG0000444	NBX26_RS00200	EHI52_RS00210
OG0000445	NBX26_RS00225	EHI52_RS00235
OG0000446	NBX26_RS00250	EHI52_RS00265
OG0000447	NBX26_RS00255	EHI52_RS00270
OG0000448	NBX26_RS00290	EHI52_RS00300
OG0000449	NBX26_RS00310	EHI52_RS00325
OG0000450	NBX26_RS00320	EHI52_RS00335
OG0000451	NBX26_RS00360	EHI52_RS00380
OG0000452	NBX26_RS00385	EHI52_RS00405
OG0000453	NBX26_RS00420	EHI52_RS00440
OG0000455	NBX26_RS03710	EHI52_RS03510
OG0000456	NBX26_RS03590	EHI52_RS03390
OG0000457	NBX26_RS03565	EHI52_RS03365
OG0000458	NBX26_RS02675	EHI52_RS02510
OG0000459	NBX26_RS02700	EHI52_RS02535
OG0000460	NBX26_RS02710	EHI52_RS02545
OG0000461	NBX26_RS02755	EHI52_RS02590
OG0000462	NBX26_RS02750	EHI52_RS02585
OG0000463	NBX26_RS02745	EHI52_RS02580
OG0000464	NBX26_RS02740	EHI52_RS02575
OG0000465	NBX26_RS02735	EHI52_RS02570
OG0000466	NBX26_RS00390	EHI52_RS00410
OG0000467	NBX26_RS02855	EHI52_RS02670
OG0000468	NBX26_RS02135	EHI52_RS01970
OG0000469	NBX26_RS02075	EHI52_RS01910
OG0000470	NBX26_RS00850	EHI52_RS03650
OG0000471	NBX26_RS00930	EHI52_RS00920
OG0000472	NBX26_RS03515	EHI52_RS03340
OG0000473	NBX26_RS03695	EHI52_RS03495
OG0000474	NBX26_RS03700	EHI52_RS03500
OG0000475	NBX26_RS03705	EHI52_RS03505
OG0000476	NBX26_RS01685	EHI52_RS01615
OG0000477	NBX26_RS02780	EHI52_RS02615
OG0000478	NBX26_RS03640	EHI52_RS03440
OG0000479	NBX26_RS01450	EHI52_RS01390
OG0000480	NBX26_RS02070	EHI52_RS03665
OG0000481	NBX26_RS00825	EHI52_RS00815
OG0000482	NBX26_RS01335	EHI52_RS01275
OG0000483	NBX26_RS02020	EHI52_RS01865
OG0000484	NBX26_RS00195	EHI52_RS00205
OG0000485	NBX26_RS01300	EHI52_RS01240
OG0000486	NBX26_RS02460	EHI52_RS02315
OG0000487	NBX26_RS02095	EHI52_RS01930
OG0000488	NBX26_RS02055	EHI52_RS01895
OG0000489	NBX26_RS00050	EHI52_RS00050
OG0000490	NBX26_RS03800	EHI52_RS03610
OG0000492	NBX26_RS01555	EHI52_RS01485
OG0000493	NBX26_RS00580	EHI52_RS00595
OG0000494	NBX26_RS00640	EHI52_RS00655
OG0000495	NBX26_RS03015	EHI52_RS02825
OG0000496	NBX26_RS03000	EHI52_RS02815
OG0000497	NBX26_RS02995	EHI52_RS02810
OG0000498	NBX26_RS02910	EHI52_RS02730
OG0000499	NBX26_RS02875	EHI52_RS02695
OG0000500	NBX26_RS02170	EHI52_RS02005
OG0000501	NBX26_RS03235	EHI52_RS03080
OG0000502	NBX26_RS01325	EHI52_RS01265
OG0000503	NBX26_RS00770	EHI52_RS00760
OG0000504	NBX26_RS00905	EHI52_RS00895
OG0000505	NBX26_RS01070	EHI52_RS01000
OG0000507	NBX26_RS01115	EHI52_RS01045
OG0000508	NBX26_RS00245	EHI52_RS00260
OG0000511	NBX26_RS00425	EHI52_RS00445
OG0000512	NBX26_RS02715	EHI52_RS02550
OG0000513	NBX26_RS03625	EHI52_RS03425
