Orthogroup	MHP_112B_genes	MFC_Ms42_genes
OG0000211	NBX26_RS01080	MYF_RS02230
OG0000212	NBX26_RS01085	MYF_RS02240
OG0000213	NBX26_RS01090	MYF_RS02245
OG0000214	NBX26_RS01095	MYF_RS02250
OG0000215	NBX26_RS01100	MYF_RS02255
OG0000216	NBX26_RS01105	MYF_RS02260
OG0000217	NBX26_RS01110	MYF_RS02265
OG0000218	NBX26_RS01120	MYF_RS02275
OG0000219	NBX26_RS01125	MYF_RS02280
OG0000220	NBX26_RS01130	MYF_RS02285
OG0000221	NBX26_RS01135	MYF_RS02290
OG0000222	NBX26_RS01140	MYF_RS03240
OG0000223	NBX26_RS01145	MYF_RS02295
OG0000224	NBX26_RS01155	MYF_RS02305
OG0000225	NBX26_RS01165	MYF_RS02315
OG0000226	NBX26_RS01170	MYF_RS02320
OG0000227	NBX26_RS01175	MYF_RS02325
OG0000228	NBX26_RS01180	MYF_RS03530
OG0000229	NBX26_RS01185	MYF_RS02335
OG0000230	NBX26_RS01190	MYF_RS02340
OG0000231	NBX26_RS01200	MYF_RS02350
OG0000232	NBX26_RS01210	MYF_RS02360
OG0000233	NBX26_RS01230	MYF_RS02370
OG0000234	NBX26_RS01265	MYF_RS02400
OG0000235	NBX26_RS01275	MYF_RS02410
OG0000236	NBX26_RS01280	MYF_RS02415
OG0000237	NBX26_RS01285	MYF_RS02430
OG0000238	NBX26_RS01295	MYF_RS02435
OG0000239	NBX26_RS03115	MYF_RS02465
OG0000240	NBX26_RS03120	MYF_RS02470
OG0000241	NBX26_RS03130	MYF_RS02480
OG0000242	NBX26_RS03135	MYF_RS02485
OG0000243	NBX26_RS03140	MYF_RS02490
OG0000244	NBX26_RS03150	MYF_RS02500
OG0000245	NBX26_RS03160	MYF_RS02510
OG0000246	NBX26_RS00130	MYF_RS00085
OG0000247	NBX26_RS00140	MYF_RS00095
OG0000248	NBX26_RS00150	MYF_RS00120
OG0000249	NBX26_RS00155	MYF_RS00125
OG0000250	NBX26_RS00180	MYF_RS00140
OG0000251	NBX26_RS00210	MYF_RS00170
OG0000252	NBX26_RS00215	MYF_RS00180
OG0000253	NBX26_RS00220	MYF_RS00185
OG0000254	NBX26_RS00230	MYF_RS00195
OG0000255	NBX26_RS00235	MYF_RS00205
OG0000256	NBX26_RS00240	MYF_RS00210
OG0000257	NBX26_RS00265	MYF_RS00235
OG0000258	NBX26_RS00280	MYF_RS00245
OG0000259	NBX26_RS00305	MYF_RS00275
OG0000260	NBX26_RS00315	MYF_RS00285
OG0000261	NBX26_RS00325	MYF_RS00295
OG0000262	NBX26_RS00340	MYF_RS00310
OG0000263	NBX26_RS00355	MYF_RS00325
OG0000264	NBX26_RS00370	MYF_RS00340
OG0000265	NBX26_RS00380	MYF_RS00350
OG0000266	NBX26_RS00395	MYF_RS00365
OG0000267	NBX26_RS00410	MYF_RS00380
OG0000268	NBX26_RS00415	MYF_RS00385
OG0000269	NBX26_RS00430	MYF_RS00400
OG0000270	NBX26_RS03690	MYF_RS02955
OG0000271	NBX26_RS03685	MYF_RS02950
OG0000272	NBX26_RS03680	MYF_RS02945
OG0000273	NBX26_RS03675	MYF_RS02940
OG0000274	NBX26_RS03660	MYF_RS02920
OG0000275	NBX26_RS03650	MYF_RS02915
OG0000276	NBX26_RS03645	MYF_RS02910
OG0000277	NBX26_RS03635	MYF_RS02900
OG0000278	NBX26_RS03630	MYF_RS02895
OG0000279	NBX26_RS03620	MYF_RS02885
OG0000280	NBX26_RS03615	MYF_RS02880
OG0000281	NBX26_RS03610	MYF_RS03275
OG0000282	NBX26_RS03585	MYF_RS02855
OG0000283	NBX26_RS03580	MYF_RS02850
OG0000284	NBX26_RS03575	MYF_RS02845
OG0000285	NBX26_RS03570	MYF_RS02840
OG0000286	NBX26_RS02585	MYF_RS01115
OG0000287	NBX26_RS02680	MYF_RS01090
OG0000288	NBX26_RS02690	MYF_RS01080
OG0000289	NBX26_RS02695	MYF_RS01075
OG0000290	NBX26_RS02815	MYF_RS00905
OG0000291	NBX26_RS02800	MYF_RS00915
OG0000292	NBX26_RS02795	MYF_RS00920
OG0000293	NBX26_RS02785	MYF_RS00925
OG0000294	NBX26_RS02775	MYF_RS00935
OG0000295	NBX26_RS02770	MYF_RS00940
OG0000296	NBX26_RS02730	MYF_RS01040
OG0000297	NBX26_RS02725	MYF_RS01045
OG0000298	NBX26_RS00165	MYF_RS00135
OG0000299	NBX26_RS00190	MYF_RS00155
OG0000300	NBX26_RS00365	MYF_RS00335
OG0000301	NBX26_RS00400	MYF_RS00370
OG0000302	NBX26_RS00405	MYF_RS00375
OG0000303	NBX26_RS00560	MYF_RS00515
OG0000304	NBX26_RS01215	MYF_RS00545
OG0000305	NBX26_RS03055	MYF_RS00690
OG0000306	NBX26_RS02980	MYF_RS00770
OG0000307	NBX26_RS02940	MYF_RS00810
OG0000308	NBX26_RS02850	MYF_RS00895
OG0000309	NBX26_RS02760	MYF_RS01005
OG0000310	NBX26_RS02685	MYF_RS01085
OG0000311	NBX26_RS02645	MYF_RS01140
OG0000312	NBX26_RS02630	MYF_RS01160
OG0000313	NBX26_RS01720	MYF_RS01210
OG0000314	NBX26_RS02145	MYF_RS01280
OG0000315	NBX26_RS02115	MYF_RS01310
OG0000316	NBX26_RS02105	MYF_RS01320
OG0000317	NBX26_RS02005	MYF_RS01360
OG0000318	NBX26_RS02100	MYF_RS01450
OG0000319	NBX26_RS02380	MYF_RS01555
OG0000320	NBX26_RS02510	MYF_RS01620
OG0000321	NBX26_RS01455	MYF_RS01685
OG0000322	NBX26_RS01510	MYF_RS01730
OG0000323	NBX26_RS01640	MYF_RS01860
OG0000324	NBX26_RS02420	MYF_RS01960
OG0000325	NBX26_RS00710	MYF_RS02000
OG0000326	NBX26_RS00805	MYF_RS02090
OG0000327	NBX26_RS00810	MYF_RS02095
OG0000328	NBX26_RS00895	MYF_RS02180
OG0000329	NBX26_RS00920	MYF_RS02200
OG0000330	NBX26_RS01240	MYF_RS02380
OG0000331	NBX26_RS03145	MYF_RS02495
OG0000332	NBX26_RS03285	MYF_RS02635
OG0000333	NBX26_RS03295	MYF_RS02645
OG0000334	NBX26_RS03400	MYF_RS02715
OG0000335	NBX26_RS03410	MYF_RS02725
OG0000336	NBX26_RS03600	MYF_RS02870
OG0000337	NBX26_RS03765	MYF_RS03105
OG0000338	NBX26_RS03805	MYF_RS03145
OG0000339	NBX26_RS02485	MYF_RS01640
OG0000340	NBX26_RS01435	MYF_RS01665
OG0000341	NBX26_RS02445	MYF_RS01940
OG0000342	NBX26_RS00740	MYF_RS02030
OG0000343	NBX26_RS03305	MYF_RS02655
OG0000344	NBX26_RS00575	MYF_RS00530
OG0000345	NBX26_RS01160	MYF_RS02310
OG0000346	NBX26_RS03605	MYF_RS02875
OG0000347	NBX26_RS01535	MYF_RS01755
OG0000348	NBX26_RS00815	MYF_RS02100
OG0000349	NBX26_RS03665	MYF_RS02930
OG0000350	NBX26_RS02930	MYF_RS03360
OG0000351	NBX26_RS00485	MYF_RS00465
OG0000352	NBX26_RS02165	MYF_RS01260
OG0000353	NBX26_RS01500	MYF_RS01725
OG0000354	NBX26_RS00635	MYF_RS00580
OG0000355	NBX26_RS02190	MYF_RS01235
OG0000356	NBX26_RS02110	MYF_RS01315
OG0000357	NBX26_RS03260	MYF_RS02615
OG0000358	NBX26_RS03265	MYF_RS02620
OG0000359	NBX26_RS00785	MYF_RS02070
OG0000360	NBX26_RS00270	MYF_RS00240
OG0000361	NBX26_RS00300	MYF_RS00270
OG0000362	NBX26_RS02705	MYF_RS01065
OG0000363	NBX26_RS01575	MYF_RS01795
OG0000365	NBX26_RS02065	MYF_RS01420
OG0000366	NBX26_RS02040	MYF_RS01390
OG0000367	NBX26_RS02025	MYF_RS01380
OG0000368	NBX26_RS00060	MYF_RS00060
OG0000369	NBX26_RS00025	MYF_RS00025
OG0000370	NBX26_RS00020	MYF_RS00020
OG0000371	NBX26_RS00015	MYF_RS00015
OG0000372	NBX26_RS00010	MYF_RS00010
OG0000373	NBX26_RS03795	MYF_RS03135
OG0000374	NBX26_RS03785	MYF_RS03125
OG0000375	NBX26_RS02375	MYF_RS01550
OG0000376	NBX26_RS02525	MYF_RS01605
OG0000377	NBX26_RS02515	MYF_RS01615
OG0000378	NBX26_RS01415	MYF_RS01650
OG0000379	NBX26_RS01495	MYF_RS01720
OG0000380	NBX26_RS01530	MYF_RS01745
OG0000381	NBX26_RS01565	MYF_RS01785
OG0000382	NBX26_RS01595	MYF_RS01815
OG0000383	NBX26_RS01635	MYF_RS01855
OG0000384	NBX26_RS00515	MYF_RS00470
OG0000385	NBX26_RS00525	MYF_RS00475
OG0000386	NBX26_RS00540	MYF_RS00495
OG0000387	NBX26_RS00565	MYF_RS00520
OG0000388	NBX26_RS00570	MYF_RS00525
OG0000389	NBX26_RS00615	MYF_RS00560
OG0000390	NBX26_RS03075	MYF_RS00670
OG0000391	NBX26_RS03065	MYF_RS00680
OG0000392	NBX26_RS03040	MYF_RS00705
OG0000393	NBX26_RS02985	MYF_RS00760
OG0000394	NBX26_RS02905	MYF_RS00825
OG0000395	NBX26_RS02900	MYF_RS00830
OG0000396	NBX26_RS02590	MYF_RS01200
OG0000397	NBX26_RS02180	MYF_RS01245
OG0000398	NBX26_RS02175	MYF_RS01250
OG0000399	NBX26_RS02130	MYF_RS01295
OG0000400	NBX26_RS03225	MYF_RS02580
OG0000401	NBX26_RS03290	MYF_RS02640
OG0000402	NBX26_RS03300	MYF_RS02650
OG0000403	NBX26_RS03310	MYF_RS02660
OG0000404	NBX26_RS03345	MYF_RS02685
OG0000405	NBX26_RS03360	MYF_RS02700
OG0000406	NBX26_RS03415	MYF_RS02730
OG0000407	NBX26_RS03420	MYF_RS02735
OG0000408	NBX26_RS03425	MYF_RS02740
OG0000409	NBX26_RS03430	MYF_RS02745
OG0000410	NBX26_RS03505	MYF_RS02780
OG0000411	NBX26_RS03490	MYF_RS02790
OG0000412	NBX26_RS03485	MYF_RS02795
OG0000413	NBX26_RS01650	MYF_RS01890
OG0000414	NBX26_RS01660	MYF_RS01900
OG0000415	NBX26_RS01665	MYF_RS01905
OG0000416	NBX26_RS01675	MYF_RS01915
OG0000417	NBX26_RS02440	MYF_RS01945
OG0000418	NBX26_RS02430	MYF_RS01950
OG0000419	NBX26_RS00720	MYF_RS02010
OG0000420	NBX26_RS00755	MYF_RS02045
OG0000421	NBX26_RS00795	MYF_RS02075
OG0000422	NBX26_RS00800	MYF_RS02085
OG0000423	NBX26_RS00855	MYF_RS02140
OG0000424	NBX26_RS00860	MYF_RS02145
OG0000425	NBX26_RS00870	MYF_RS02155
OG0000426	NBX26_RS00875	MYF_RS02160
OG0000427	NBX26_RS00900	MYF_RS02185
OG0000428	NBX26_RS00925	MYF_RS02210
OG0000429	NBX26_RS01150	MYF_RS02300
OG0000430	NBX26_RS01195	MYF_RS02345
OG0000431	NBX26_RS01205	MYF_RS02355
OG0000432	NBX26_RS01235	MYF_RS02375
OG0000433	NBX26_RS01260	MYF_RS02385
OG0000435	NBX26_RS01270	MYF_RS02405
OG0000437	NBX26_RS01305	MYF_RS02450
OG0000438	NBX26_RS01310	MYF_RS02455
OG0000439	NBX26_RS01315	MYF_RS02460
OG0000440	NBX26_RS03125	MYF_RS02475
OG0000441	NBX26_RS03165	MYF_RS02515
OG0000442	NBX26_RS00135	MYF_RS00090
OG0000443	NBX26_RS00185	MYF_RS00150
OG0000444	NBX26_RS00200	MYF_RS00165
OG0000445	NBX26_RS00225	MYF_RS00190
OG0000446	NBX26_RS00250	MYF_RS00220
OG0000447	NBX26_RS00255	MYF_RS00225
OG0000448	NBX26_RS00290	MYF_RS00255
OG0000449	NBX26_RS00310	MYF_RS00280
OG0000450	NBX26_RS00320	MYF_RS00290
OG0000451	NBX26_RS00360	MYF_RS00330
OG0000452	NBX26_RS00385	MYF_RS00355
OG0000453	NBX26_RS00420	MYF_RS00390
OG0000454	NBX26_RS01695	MYF_RS03480, MYF_RS03485
OG0000455	NBX26_RS03710	MYF_RS02975
OG0000456	NBX26_RS03590	MYF_RS02860
OG0000457	NBX26_RS03565	MYF_RS02835
OG0000458	NBX26_RS02675	MYF_RS01095
OG0000459	NBX26_RS02700	MYF_RS01070
OG0000460	NBX26_RS02710	MYF_RS01060
OG0000461	NBX26_RS02755	MYF_RS01010
OG0000462	NBX26_RS02750	MYF_RS01015
OG0000463	NBX26_RS02745	MYF_RS01020
OG0000464	NBX26_RS02740	MYF_RS01030
OG0000465	NBX26_RS02735	MYF_RS01035
OG0000466	NBX26_RS00390	MYF_RS00360
OG0000467	NBX26_RS02855	MYF_RS03505
OG0000468	NBX26_RS02135	MYF_RS01290
OG0000469	NBX26_RS02075	MYF_RS01425
OG0000470	NBX26_RS00850	MYF_RS02135
OG0000471	NBX26_RS00930	MYF_RS02215
OG0000472	NBX26_RS03515	MYF_RS03535
OG0000473	NBX26_RS03695	MYF_RS02960
OG0000474	NBX26_RS03700	MYF_RS02965
OG0000475	NBX26_RS03705	MYF_RS02970
OG0000476	NBX26_RS01685	MYF_RS03040
OG0000477	NBX26_RS02780	MYF_RS00930
OG0000478	NBX26_RS03640	MYF_RS02905
OG0000479	NBX26_RS01450	MYF_RS01680
OG0000480	NBX26_RS02070	MYF_RS03350
OG0000481	NBX26_RS00825	MYF_RS02110
OG0000482	NBX26_RS01335	MYF_RS01975
OG0000483	NBX26_RS02020	MYF_RS01375
OG0000484	NBX26_RS00195	MYF_RS00160
OG0000485	NBX26_RS01300	MYF_RS02445
OG0000486	NBX26_RS02460	MYF_RS01925
OG0000487	NBX26_RS02095	MYF_RS01445
OG0000488	NBX26_RS02055	MYF_RS01405
OG0000489	NBX26_RS00050	MYF_RS00050
OG0000490	NBX26_RS03800	MYF_RS03140
OG0000492	NBX26_RS01555	MYF_RS01775
OG0000493	NBX26_RS00580	MYF_RS00535
OG0000494	NBX26_RS00640	MYF_RS00585
OG0000495	NBX26_RS03015	MYF_RS00735
OG0000496	NBX26_RS03000	MYF_RS00745
OG0000497	NBX26_RS02995	MYF_RS00750
OG0000498	NBX26_RS02910	MYF_RS00820
OG0000499	NBX26_RS02875	MYF_RS00865
OG0000500	NBX26_RS02170	MYF_RS01255
OG0000501	NBX26_RS03235	MYF_RS02590
OG0000502	NBX26_RS01325	MYF_RS01985
OG0000503	NBX26_RS00770	MYF_RS02055
OG0000504	NBX26_RS00905	MYF_RS02190
OG0000505	NBX26_RS01070	MYF_RS02225
OG0000507	NBX26_RS01115	MYF_RS02270
OG0000508	NBX26_RS00245	MYF_RS00215
OG0000511	NBX26_RS00425	MYF_RS00395
OG0000512	NBX26_RS02715	MYF_RS01055
OG0000513	NBX26_RS03625	MYF_RS02890
OG0000514	NBX26_RS03035	MYF_RS00710
OG0000516	NBX26_RS02090	MYF_RS01440
OG0000517	NBX26_RS00065	MYF_RS00065
OG0000518	NBX26_RS03275	MYF_RS02630
OG0000521	NBX26_RS00260	MYF_RS00230
OG0000522	NBX26_RS00295	MYF_RS00265
OG0000523	NBX26_RS03560	MYF_RS02830
OG0000528	NBX26_RS02085	MYF_RS01435
OG0000530	NBX26_RS02495	MYF_RS01630
OG0000532	NBX26_RS01750	MYF_RS00620
OG0000533	NBX26_RS00600	MYF_RS02365
OG0000534	NBX26_RS00375	MYF_RS00345
OG0000535	NBX26_RS00045	MYF_RS00045
OG0000536	NBX26_RS03740	MYF_RS03070
OG0000540	NBX26_RS02805	MYF_RS00910
OG0000542	NBX26_RS00345	MYF_RS00315
OG0000551	NBX26_RS03155	MYF_RS02505
OG0000555	NBX26_RS03090	MYF_RS03410
OG0000589	NBX26_RS01005	MYF_RS03220
OG0000596	NBX26_RS01865	MYF_RS00110
OG0000598	NBX26_RS01870	MYF_RS00105
OG0000599	NBX26_RS01875	MYF_RS00100
OG0000602	NBX26_RS02060	MYF_RS01415
