Orthogroup	MHP_ES2_proteins	MFC_ATCC27716_proteins
OG0000189	WP_135618893.1	WP_002557756.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_135619204.1	WP_002557761.1
OG0000192	WP_011205992.1	WP_002557763.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_011283923.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_228729168.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_014579644.1	WP_002557781.1
OG0000201	WP_011283934.1	WP_002557783.1
OG0000202	WP_011290039.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_002557792.1
OG0000204	WP_011206071.1	WP_002557793.1
OG0000205	WP_135618583.1	WP_002557794.1
OG0000206	WP_135618589.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_002557801.1
OG0000208	WP_135618591.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_135618604.1	WP_002557811.1
OG0000211	WP_135618610.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011206046.1	WP_002557818.1
OG0000216	WP_011283965.1	WP_002557819.1
OG0000217	WP_135618612.1	WP_002557820.1
OG0000218	WP_011206042.1	WP_002557822.1
OG0000219	WP_228729170.1	WP_002557823.1
OG0000220	WP_135618616.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_135618620.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_135618622.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_014579605.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_002557842.1
OG0000234	WP_135618635.1	WP_002557848.1
OG0000235	WP_135618637.1	WP_002557850.1
OG0000236	WP_135618639.1	WP_002557851.1
OG0000237	WP_135618641.1	WP_002557855.1
OG0000238	WP_011206006.1	WP_002557856.1
OG0000239	WP_011206399.1	WP_002557863.1
OG0000240	WP_135619034.1	WP_002557864.1
OG0000241	WP_135619036.1	WP_002557866.1
OG0000242	WP_135619038.1	WP_002557867.1
OG0000243	WP_011290352.1	WP_002557868.1
OG0000244	WP_011206406.1	WP_002557870.1
OG0000245	WP_135619044.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_135618468.1	WP_002557877.1
OG0000248	WP_052259122.1	WP_002557882.1
OG0000249	WP_135618470.1	WP_002557883.1
OG0000250	WP_135618476.1	WP_002557886.1
OG0000251	WP_014579544.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_002557893.1
OG0000253	WP_135618489.1	WP_002557894.1
OG0000254	WP_020835510.1	WP_002557896.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_135618501.1	WP_002557904.1
OG0000258	WP_135618503.1	WP_002557905.1
OG0000259	WP_020835520.1	WP_002557911.1
OG0000260	WP_135618509.1	WP_002557913.1
OG0000261	WP_135618513.1	WP_002557915.1
OG0000262	WP_135618519.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011283887.1	WP_002557925.1
OG0000265	WP_135618527.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_014579577.1	WP_002557932.1
OG0000268	WP_011283894.1	WP_002557933.1
OG0000269	WP_014579579.1	WP_002557936.1
OG0000270	WP_011206505.1	WP_002557945.1
OG0000271	WP_135619152.1	WP_002557946.1
OG0000272	WP_011206503.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_135619148.1	WP_002557951.1
OG0000275	WP_238374142.1	WP_002557952.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_135619144.1	WP_002557957.1
OG0000279	WP_014580014.1	WP_002557959.1
OG0000280	WP_135619140.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_240536356.1	WP_002557964.1
OG0000283	WP_044272663.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_011290413.1	WP_002557967.1
OG0000286	WP_135618934.1	WP_002557972.1
OG0000287	WP_135618946.1	WP_002557978.1
OG0000288	WP_011284218.1	WP_002557980.1
OG0000289	WP_020835793.1	WP_002557981.1
OG0000290	WP_135618967.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_011206319.1	WP_002558006.1
OG0000293	WP_135618964.1	WP_002558007.1
OG0000294	WP_135618960.1	WP_002558009.1
OG0000295	WP_011206315.1	WP_002558010.1
OG0000296	WP_041361673.1	WP_002558018.1
OG0000297	WP_020835798.1	WP_002558019.1
OG0000298	WP_135618474.1	WP_039387485.1
OG0000299	WP_135618482.1	WP_039387487.1
OG0000300	WP_014579572.1	WP_039387496.1
OG0000301	WP_135618529.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_039387509.1
OG0000304	WP_011283978.1	WP_039387510.1
OG0000305	WP_135619020.1	WP_039387514.1
OG0000306	WP_135618998.1	WP_039387523.1
OG0000307	WP_135618990.1	WP_039387525.1
OG0000308	WP_020835811.1	WP_039387535.1
OG0000309	WP_135618958.1	WP_039387539.1
OG0000310	WP_135618948.1	WP_039387544.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_014579882.1	WP_039387550.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_135618838.1	WP_039387562.1
OG0000315	WP_135618850.1	WP_039387569.1
OG0000316	WP_014579818.1	WP_039387574.1
OG0000317	WP_135618864.1	WP_039387578.1
OG0000318	WP_240536307.1	WP_039387594.1
OG0000319	WP_135618880.1	WP_039387606.1
OG0000320	WP_135618919.1	WP_039387609.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_135618712.1	WP_039387619.1
OG0000324	WP_135618886.1	WP_039387626.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_135618577.1	WP_039387636.1
OG0000327	WP_135618579.1	WP_039387638.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_135618597.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_135619040.1	WP_039387665.1
OG0000332	WP_135619068.1	WP_039387681.1
OG0000333	WP_135619072.1	WP_039387683.1
OG0000334	WP_135619225.1	WP_039387693.1
OG0000335	WP_135619096.1	WP_039387695.1
OG0000336	WP_135619138.1	WP_039387704.1
OG0000337	WP_050195472.1	WP_039387722.1
OG0000338	WP_011284394.1	WP_039387723.1
OG0000339	WP_135618913.1	WP_039387775.1
OG0000340	WP_011205973.1	WP_039387777.1
OG0000341	WP_135618892.1	WP_039387782.1
OG0000342	WP_135618571.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_052269168.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_014580011.1	WP_051054328.1
OG0000347	WP_135618695.1	WP_081605280.1
OG0000348	WP_240536364.1	WP_081605285.1
OG0000349	WP_135619151.1	WP_155897264.1
OG0000350	WP_044284839.1	WP_201771011.1
OG0000351	WP_240536362.1	WP_220189978.1
OG0000352	WP_135618830.1	WP_220190833.1
OG0000353	WP_135618688.1	WP_231237861.1
OG0000354	WP_233417361.1	WP_231237863.1
OG0000355	WP_011206194.1	WP_231237866.1
OG0000356	WP_240536306.1	WP_231237867.1
OG0000357	WP_240536352.1	WP_231237871.1
OG0000358	WP_135619062.1	WP_231237872.1
OG0000359	WP_240536363.1	WP_231237874.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_231237880.1
OG0000362	WP_094521719.1	WP_231237889.1
OG0000363	WP_276310470.1	WP_334199004.1
OG0000365	WP_135618854.1	WP_002557448.1
OG0000366	WP_135618858.1	WP_002557453.1
OG0000367	WP_220190703.1	WP_002557455.1
OG0000368	WP_135618446.1	WP_002557467.1
OG0000369	WP_011205844.1	WP_002557475.1
OG0000370	WP_135618444.1	WP_002557476.1
OG0000371	WP_135618442.1	WP_002557477.1
OG0000372	WP_135618439.1	WP_002557478.1
OG0000373	WP_135619174.1	WP_002557482.1
OG0000374	WP_014580047.1	WP_002557484.1
OG0000375	WP_135618878.1	WP_002557511.1
OG0000376	WP_011206273.1	WP_002557524.1
OG0000377	WP_135618921.1	WP_002557526.1
OG0000378	WP_135618672.1	WP_002557533.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_135618693.1	WP_002557550.1
OG0000381	WP_135618699.1	WP_002557558.1
OG0000382	WP_135618709.1	WP_002557564.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_014579586.1	WP_002557571.1
OG0000385	WP_135618542.1	WP_002557572.1
OG0000386	WP_011206121.1	WP_002557576.1
OG0000387	WP_135618548.1	WP_002557580.1
OG0000388	WP_135618550.1	WP_002557581.1
OG0000389	WP_135618561.1	WP_002557589.1
OG0000390	WP_135619024.1	WP_002557608.1
OG0000391	WP_240536347.1	WP_002557610.1
OG0000392	WP_135619016.1	WP_002557615.1
OG0000393	WP_135619000.1	WP_002557627.1
OG0000394	WP_011290313.1	WP_002557640.1
OG0000395	WP_135618986.1	WP_002557641.1
OG0000397	WP_011206196.1	WP_002557680.1
OG0000398	WP_011290187.1	WP_002557681.1
OG0000399	WP_135618843.1	WP_002557691.1
OG0000400	WP_135619057.1	WP_002557703.1
OG0000401	WP_135619070.1	WP_002557714.1
OG0000402	WP_135619073.1	WP_002557715.1
OG0000403	WP_187145658.1	WP_002557717.1
OG0000404	WP_135619079.1	WP_002557722.1, WP_002557723.1
OG0000405	WP_135619081.1	WP_002557726.1
OG0000406	WP_135619227.1	WP_002557731.1
OG0000407	WP_135619098.1	WP_002557732.1
OG0000408	WP_011206457.1	WP_002557733.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_011290400.1	WP_002557741.1
OG0000412	WP_135619118.1	WP_002557742.1
OG0000413	WP_135618716.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_135618720.1	WP_002557752.1
OG0000416	WP_011284056.1	WP_002557754.1
OG0000417	WP_135618890.1	WP_002557759.1
OG0000418	WP_240536314.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_002557780.1
OG0000421	WP_011290034.1	WP_002557784.1
OG0000422	WP_135618575.1	WP_002557786.1
OG0000423	WP_135618585.1	WP_002557796.1
OG0000424	WP_135618587.1	WP_002557797.1
OG0000425	WP_011206065.1	WP_002557799.1
OG0000426	WP_011206064.1	WP_002557800.1
OG0000427	WP_135618593.1	WP_002557805.1
OG0000428	WP_135618601.1	WP_002557810.1
OG0000429	WP_135618618.1	WP_002557828.1
OG0000430	WP_014579604.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_135618631.1	WP_002557843.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_020835607.1	WP_002557846.1
OG0000435	WP_020835610.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_014579672.1	WP_002557860.1
OG0000438	WP_135618644.1	WP_002557861.1
OG0000439	WP_020835619.1	WP_002557862.1
OG0000440	WP_020835852.1	WP_002557865.1
OG0000441	WP_135619046.1	WP_002557873.1
OG0000442	WP_135618466.1	WP_002557876.1
OG0000443	WP_135618480.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_135618491.1	WP_002557895.1
OG0000446	WP_135618497.1	WP_002557901.1
OG0000447	WP_014579553.1	WP_002557902.1
OG0000448	WP_011289976.1	WP_002557907.1
OG0000449	WP_135618507.1	WP_002557912.1
OG0000450	WP_135618511.1	WP_002557914.1
OG0000451	WP_135618523.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_135618531.1	WP_002557934.1
OG0000454	WP_135618759.1, WP_135618904.1	WP_051054325.1, WP_002557940.1
OG0000455	WP_135619156.1	WP_002557941.1
OG0000456	WP_011206487.1	WP_002557963.1
OG0000457	WP_135619136.1	WP_002557968.1
OG0000458	WP_135618944.1	WP_002557977.1
OG0000459	WP_011206301.1	WP_002557982.1
OG0000460	WP_011206303.1	WP_002557984.1
OG0000461	WP_135618956.1	WP_002558012.1
OG0000462	WP_011284228.1	WP_002558013.1
OG0000463	WP_135618955.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_002558016.1
OG0000465	WP_135618953.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_135618974.1	WP_039387531.1
OG0000468	WP_135618841.1	WP_039387564.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_135618603.1	WP_039387651.1
OG0000472	WP_135619124.1	WP_039387700.1
OG0000473	WP_011206506.1	WP_039387713.1
OG0000474	WP_011284377.1	WP_039387714.1
OG0000475	WP_135619154.1	WP_039387715.1
OG0000476	WP_135618722.1	WP_039387719.1
OG0000477	WP_135618962.1	WP_039387750.1
OG0000478	WP_135619146.1	WP_039387817.1
OG0000479	WP_135618682.1	WP_051054268.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_228729169.1	WP_196792421.1
OG0000482	WP_014579695.1	WP_201771017.1
OG0000483	WP_011206227.1	WP_231237857.1
OG0000484	WP_225973007.1	WP_231237877.1
OG0000487	WP_220200502.1	WP_002557443.1
OG0000488	WP_135618856.1	WP_002557450.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_011206527.1	WP_002557481.1
OG0000491	WP_011205966.1	WP_002557542.1
OG0000492	WP_135618697.1	WP_002557556.1
OG0000493	WP_135618552.1	WP_002557584.1
OG0000494	WP_052259108.1	WP_002557592.1
OG0000495	WP_135619008.1	WP_002557622.1
OG0000496	WP_011206375.1	WP_002557624.1
OG0000497	WP_135619004.1	WP_002557625.1
OG0000500	WP_135618828.1	WP_002557682.1
OG0000501	WP_318026019.1, WP_318026018.1	WP_002557705.1
OG0000502	WP_135618652.1	WP_002557767.1
OG0000503	WP_020835576.1	WP_002557782.1
OG0000504	WP_135618595.1	WP_002557806.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000508	WP_135618495.1	WP_002557900.1
OG0000509	WP_020835518.1	WP_002557906.1
OG0000510	WP_011289977.1	WP_002557908.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_135618950.1	WP_002557985.1
OG0000513	WP_135619142.1	WP_039387707.1
OG0000516	WP_240536308.1	WP_002557444.1
OG0000517	WP_011283834.1	WP_002557466.1
OG0000518	WP_135619066.1	WP_002557713.1
OG0000519	WP_135618573.1	WP_002557785.1
OG0000520	WP_135618599.1	WP_002557809.1
OG0000521	WP_135618499.1	WP_002557903.1
OG0000522	WP_135618505.1	WP_002557909.1
OG0000523	WP_240536355.1	WP_002557969.1
OG0000525	WP_135619126.1	WP_040538380.1
OG0000528	WP_135618852.1	WP_002557445.1
OG0000529	WP_011206243.1	WP_002557515.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000532	WP_135618761.1	WP_002557598.1
OG0000533	WP_011206110.1	WP_002557841.1
OG0000534	WP_135618525.1	WP_002557926.1
OG0000535	WP_011205848.1	WP_002557470.1
OG0000536	WP_135619166.1	WP_002557493.1
OG0000537	WP_011206089.1	WP_002557776.1
OG0000538	WP_135618633.1	WP_002557847.1
OG0000539	WP_135618487.1	WP_002557892.1
OG0000540	WP_135618965.1	WP_002558004.1
OG0000541	WP_135618982.1	WP_002557646.1
OG0000547	WP_135619028.1	WP_002557606.1
OG0000548	WP_135618730.1	WP_002557674.1
OG0000549	WP_135619122.1	WP_002557744.1
OG0000550	WP_228729166.1	WP_002557950.1
OG0000555	WP_228366107.1	WP_002557605.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_135619047.1	WP_002557700.1
OG0000596	WP_135618789.1	WP_002557880.1
OG0000597	WP_167871266.1	WP_051054290.1
OG0000598	WP_228729173.1	WP_002557879.1
OG0000599	WP_011206170.1	WP_039387482.1
OG0000602	WP_135619202.1	WP_002557449.1
