Orthogroup	MFC_MF30_genes	MFC_Ms42_genes
OG0000109	DR084_RS01830	MYF_RS01590
OG0000110	DR084_RS01835	MYF_RS01595
OG0000111	DR084_RS01840	MYF_RS01600
OG0000112	DR084_RS01850	MYF_RS01610
OG0000113	DR084_RS03550	MYF_RS01625
OG0000114	DR084_RS01875	MYF_RS01635
OG0000115	DR084_RS01885	MYF_RS01645
OG0000116	DR084_RS01895	MYF_RS01655
OG0000117	DR084_RS01900	MYF_RS01660
OG0000118	DR084_RS01930	MYF_RS01690
OG0000119	DR084_RS01935	MYF_RS01695
OG0000120	DR084_RS01950	MYF_RS01710
OG0000121	DR084_RS01975	MYF_RS01735
OG0000122	DR084_RS01980	MYF_RS01740
OG0000123	DR084_RS02000	MYF_RS01760
OG0000124	DR084_RS02005	MYF_RS01765
OG0000125	DR084_RS02010	MYF_RS01770
OG0000126	DR084_RS02020	MYF_RS01780
OG0000127	DR084_RS02030	MYF_RS01790
OG0000128	DR084_RS02760	MYF_RS01805
OG0000129	DR084_RS02765	MYF_RS01810
OG0000130	DR084_RS02775	MYF_RS01820
OG0000131	DR084_RS02805	MYF_RS01850
OG0000132	DR084_RS03675	MYF_RS01865
OG0000133	DR084_RS00350	MYF_RS00485
OG0000134	DR084_RS03455	MYF_RS00490
OG0000135	DR084_RS00370	MYF_RS00505
OG0000136	DR084_RS00375	MYF_RS00510
OG0000137	DR084_RS00405	MYF_RS00540
OG0000138	DR084_RS00430	MYF_RS00565
OG0000139	DR084_RS00460	MYF_RS00595
OG0000140	DR084_RS00465	MYF_RS00600
OG0000141	DR084_RS00490	MYF_RS00635
OG0000142	DR084_RS03470	MYF_RS00640
OG0000143	DR084_RS00520	MYF_RS00665
OG0000144	DR084_RS00530	MYF_RS00675
OG0000145	DR084_RS00540	MYF_RS00685
OG0000146	DR084_RS00550	MYF_RS00695
OG0000147	DR084_RS00555	MYF_RS00700
OG0000148	DR084_RS00570	MYF_RS00715
OG0000149	DR084_RS00580	MYF_RS00725
OG0000150	DR084_RS00595	MYF_RS00740
OG0000151	DR084_RS00645	MYF_RS00795
OG0000152	DR084_RS00650	MYF_RS00800
OG0000153	DR084_RS00655	MYF_RS00805
OG0000154	DR084_RS00665	MYF_RS00815
OG0000155	DR084_RS00685	MYF_RS00835
OG0000156	DR084_RS00700	MYF_RS00855
OG0000157	DR084_RS03475	MYF_RS00860
OG0000158	DR084_RS03480	MYF_RS00870
OG0000159	DR084_RS00950	MYF_RS01165
OG0000160	DR084_RS00955	MYF_RS01170
OG0000161	DR084_RS00960	MYF_RS01175
OG0000162	DR084_RS02975, DR084_RS00970	MYF_RS01185
OG0000163	DR084_RS00975	MYF_RS01190
OG0000164	DR084_RS03490	MYF_RS01220
OG0000165	DR084_RS01050	MYF_RS01265
OG0000166	DR084_RS01070	MYF_RS01285
OG0000167	DR084_RS01085	MYF_RS01300
OG0000168	DR084_RS01090	MYF_RS01305
OG0000169	DR084_RS02045	MYF_RS02560
OG0000170	DR084_RS02060	MYF_RS02585
OG0000171	DR084_RS02070	MYF_RS02595
OG0000172	DR084_RS02075	MYF_RS02600
OG0000173	DR084_RS02080	MYF_RS02605
OG0000174	DR084_RS02085	MYF_RS02610
OG0000175	DR084_RS02100	MYF_RS02625
OG0000176	DR084_RS02140	MYF_RS02670
OG0000177	DR084_RS02145	MYF_RS02675
OG0000178	DR084_RS02150	MYF_RS02680
OG0000179	DR084_RS02160	MYF_RS02690
OG0000180	DR084_RS02165	MYF_RS02695
OG0000181	DR084_RS03570	MYF_RS02710
OG0000182	DR084_RS02190	MYF_RS02720
OG0000183	DR084_RS02225	MYF_RS02755
OG0000184	DR084_RS02865	MYF_RS02785
OG0000185	DR084_RS02880	MYF_RS02800
OG0000186	DR084_RS01135	MYF_RS01895
OG0000187	DR084_RS01150	MYF_RS01910
OG0000188	DR084_RS01160	MYF_RS01920
OG0000189	DR084_RS03510	MYF_RS01930
OG0000190	DR084_RS01175	MYF_RS01935
OG0000191	DR084_RS01195	MYF_RS01955
OG0000192	DR084_RS01205	MYF_RS01965
OG0000193	DR084_RS01220	MYF_RS01980
OG0000194	DR084_RS01230	MYF_RS01990
OG0000195	DR084_RS01235	MYF_RS01995
OG0000196	DR084_RS03515	MYF_RS02015
OG0000197	DR084_RS01260	MYF_RS02020
OG0000198	DR084_RS01275	MYF_RS02035
OG0000199	DR084_RS01280	MYF_RS02040
OG0000200	DR084_RS01295	MYF_RS02050
OG0000201	DR084_RS01305	MYF_RS02060
OG0000202	DR084_RS01360	MYF_RS02115
OG0000203	DR084_RS01365	MYF_RS02120
OG0000204	DR084_RS01370	MYF_RS02125
OG0000205	DR084_RS01375	MYF_RS02130
OG0000206	DR084_RS01395	MYF_RS02150
OG0000207	DR084_RS01410	MYF_RS02165
OG0000208	DR084_RS01415	MYF_RS02170
OG0000209	DR084_RS01420	MYF_RS02175
OG0000210	DR084_RS01465	MYF_RS02220
OG0000211	DR084_RS01475	MYF_RS02230
OG0000212	DR084_RS01485	MYF_RS02240
OG0000213	DR084_RS01490	MYF_RS02245
OG0000214	DR084_RS01495	MYF_RS02250
OG0000215	DR084_RS01500	MYF_RS02255
OG0000216	DR084_RS01505	MYF_RS02260
OG0000217	DR084_RS01510	MYF_RS02265
OG0000218	DR084_RS01520	MYF_RS02275
OG0000219	DR084_RS01525	MYF_RS02280
OG0000220	DR084_RS01530	MYF_RS02285
OG0000221	DR084_RS01535	MYF_RS02290
OG0000222	DR084_RS01540	MYF_RS03240
OG0000223	DR084_RS01545	MYF_RS02295
OG0000224	DR084_RS01555	MYF_RS02305
OG0000225	DR084_RS01565	MYF_RS02315
OG0000226	DR084_RS01570	MYF_RS02320
OG0000227	DR084_RS01575	MYF_RS02325
OG0000228	DR084_RS03705	MYF_RS03530
OG0000229	DR084_RS01585	MYF_RS02335
OG0000230	DR084_RS01590	MYF_RS02340
OG0000231	DR084_RS01600	MYF_RS02350
OG0000232	DR084_RS01610	MYF_RS02360
OG0000233	DR084_RS01620	MYF_RS02370
OG0000234	DR084_RS01650	MYF_RS02400
OG0000235	DR084_RS01660	MYF_RS02410
OG0000236	DR084_RS01665	MYF_RS02415
OG0000237	DR084_RS01680	MYF_RS02430
OG0000238	DR084_RS01685	MYF_RS02435
OG0000239	DR084_RS01715	MYF_RS02465
OG0000240	DR084_RS01720	MYF_RS02470
OG0000241	DR084_RS01730	MYF_RS02480
OG0000242	DR084_RS01735	MYF_RS02485
OG0000243	DR084_RS01740	MYF_RS02490
OG0000244	DR084_RS01750	MYF_RS02500
OG0000245	DR084_RS01760	MYF_RS02510
OG0000246	DR084_RS02385	MYF_RS00085
OG0000247	DR084_RS02395	MYF_RS00095
OG0000248	DR084_RS02420	MYF_RS00120
OG0000249	DR084_RS02425	MYF_RS00125
OG0000250	DR084_RS00015	MYF_RS00140
OG0000251	DR084_RS00045	MYF_RS00170
OG0000252	DR084_RS00055	MYF_RS00180
OG0000253	DR084_RS00060	MYF_RS00185
OG0000254	DR084_RS00070	MYF_RS00195
OG0000255	DR084_RS00075	MYF_RS00205
OG0000256	DR084_RS00080	MYF_RS00210
OG0000257	DR084_RS00105	MYF_RS00235
OG0000258	DR084_RS00115	MYF_RS00245
OG0000259	DR084_RS00145	MYF_RS00275
OG0000260	DR084_RS00155	MYF_RS00285
OG0000261	DR084_RS03450	MYF_RS00295
OG0000262	DR084_RS00180	MYF_RS00310
OG0000263	DR084_RS00195	MYF_RS00325
OG0000264	DR084_RS00210	MYF_RS00340
OG0000265	DR084_RS00220	MYF_RS00350
OG0000266	DR084_RS00235	MYF_RS00365
OG0000267	DR084_RS00250	MYF_RS00380
OG0000268	DR084_RS00255	MYF_RS00385
OG0000269	DR084_RS00270	MYF_RS00400
OG0000270	DR084_RS03610	MYF_RS02955
OG0000271	DR084_RS02445	MYF_RS02950
OG0000272	DR084_RS02440	MYF_RS02945
OG0000273	DR084_RS02435	MYF_RS02940
OG0000274	DR084_RS02555	MYF_RS02920
OG0000275	DR084_RS03630	MYF_RS02915
OG0000276	DR084_RS02565	MYF_RS02910
OG0000277	DR084_RS03635	MYF_RS02900
OG0000278	DR084_RS02580	MYF_RS02895
OG0000279	DR084_RS02590	MYF_RS02885
OG0000280	DR084_RS02595	MYF_RS02880
OG0000281	DR084_RS02600	MYF_RS03275
OG0000282	DR084_RS02625	MYF_RS02855
OG0000283	DR084_RS02630	MYF_RS02850
OG0000284	DR084_RS02635	MYF_RS02845
OG0000285	DR084_RS03650	MYF_RS02840
OG0000286	DR084_RS00900	MYF_RS01115
OG0000287	DR084_RS00875	MYF_RS01090
OG0000288	DR084_RS00865	MYF_RS01080
OG0000289	DR084_RS00860	MYF_RS01075
OG0000290	DR084_RS00750	MYF_RS00905
OG0000291	DR084_RS00760	MYF_RS00915
OG0000292	DR084_RS00765	MYF_RS00920
OG0000293	DR084_RS00770	MYF_RS00925
OG0000294	DR084_RS00780	MYF_RS00935
OG0000295	DR084_RS00785	MYF_RS00940
OG0000296	DR084_RS00825	MYF_RS01040
OG0000297	DR084_RS00830	MYF_RS01045
OG0000298	DR084_RS00010	MYF_RS00135
OG0000299	DR084_RS00030	MYF_RS00155
OG0000300	DR084_RS00205	MYF_RS00335
OG0000301	DR084_RS00240	MYF_RS00370
OG0000302	DR084_RS00245	MYF_RS00375
OG0000303	DR084_RS00380	MYF_RS00515
OG0000304	DR084_RS00415	MYF_RS00545
OG0000305	DR084_RS00545	MYF_RS00690
OG0000306	DR084_RS00625	MYF_RS00770
OG0000307	DR084_RS00660	MYF_RS00810
OG0000308	DR084_RS00740	MYF_RS00895
OG0000309	DR084_RS00795	MYF_RS01005
OG0000310	DR084_RS00870	MYF_RS01085
OG0000311	DR084_RS00925	MYF_RS01140
OG0000312	DR084_RS00945	MYF_RS01160
OG0000313	DR084_RS00995	MYF_RS01210
OG0000314	DR084_RS01065	MYF_RS01280
OG0000315	DR084_RS01095	MYF_RS01310
OG0000316	DR084_RS01105	MYF_RS01320
OG0000317	DR084_RS02730	MYF_RS01360
OG0000318	DR084_RS03680	MYF_RS01450
OG0000319	DR084_RS01795	MYF_RS01555
OG0000320	DR084_RS01860	MYF_RS01620
OG0000321	DR084_RS01925	MYF_RS01685
OG0000322	DR084_RS01970	MYF_RS01730
OG0000323	DR084_RS02815	MYF_RS01860
OG0000324	DR084_RS01200	MYF_RS01960
OG0000325	DR084_RS01240	MYF_RS02000
OG0000326	DR084_RS01335	MYF_RS02090
OG0000327	DR084_RS01340	MYF_RS02095
OG0000328	DR084_RS01425	MYF_RS02180
OG0000329	DR084_RS01445	MYF_RS02200
OG0000330	DR084_RS01630	MYF_RS02380
OG0000331	DR084_RS01745	MYF_RS02495
OG0000332	DR084_RS02110	MYF_RS02635
OG0000333	DR084_RS02120	MYF_RS02645
OG0000334	DR084_RS02185	MYF_RS02715
OG0000335	DR084_RS03575	MYF_RS02725
OG0000336	DR084_RS03645	MYF_RS02870
OG0000337	DR084_RS02255	MYF_RS03105
OG0000338	DR084_RS02295	MYF_RS03145
OG0000339	DR084_RS01880	MYF_RS01640
OG0000340	DR084_RS01905	MYF_RS01665
OG0000341	DR084_RS01180	MYF_RS01940
OG0000342	DR084_RS01270	MYF_RS02030
OG0000343	DR084_RS02130	MYF_RS02655
OG0000344	DR084_RS00395	MYF_RS00530
OG0000345	DR084_RS01560	MYF_RS02310
OG0000346	DR084_RS03640	MYF_RS02875
OG0000347	DR084_RS01995	MYF_RS01755
OG0000348	DR084_RS03525	MYF_RS02100
OG0000349	DR084_RS02545	MYF_RS02930
OG0000350	DR084_RS02995	MYF_RS03360
OG0000351	DR084_RS00330	MYF_RS00465
OG0000352	DR084_RS01045	MYF_RS01260
OG0000353	DR084_RS01965	MYF_RS01725
OG0000354	DR084_RS00445	MYF_RS00580
OG0000355	DR084_RS03495	MYF_RS01235
OG0000356	DR084_RS03500	MYF_RS01315
OG0000357	DR084_RS03560	MYF_RS02615
OG0000358	DR084_RS02095	MYF_RS02620
OG0000359	DR084_RS03520	MYF_RS02070
OG0000360	DR084_RS00110	MYF_RS00240
OG0000361	DR084_RS00140	MYF_RS00270
OG0000362	DR084_RS00850	MYF_RS01065
OG0000363	DR084_RS02040	MYF_RS01795
OG0000365	DR084_RS03695	MYF_RS01420
OG0000366	DR084_RS02700	MYF_RS01390
OG0000367	DR084_RS02710	MYF_RS01380
OG0000368	DR084_RS02360	MYF_RS00060
OG0000369	DR084_RS03595	MYF_RS00025
OG0000370	DR084_RS02320	MYF_RS00020
OG0000371	DR084_RS02315	MYF_RS00015
OG0000372	DR084_RS02310	MYF_RS00010
OG0000373	DR084_RS02285	MYF_RS03135
OG0000374	DR084_RS02275	MYF_RS03125
OG0000375	DR084_RS01790	MYF_RS01550
OG0000376	DR084_RS01845	MYF_RS01605
OG0000377	DR084_RS01855	MYF_RS01615
OG0000378	DR084_RS01890	MYF_RS01650
OG0000379	DR084_RS01960	MYF_RS01720
OG0000380	DR084_RS01985	MYF_RS01745
OG0000381	DR084_RS02025	MYF_RS01785
OG0000382	DR084_RS02770	MYF_RS01815
OG0000383	DR084_RS02810	MYF_RS01855
OG0000384	DR084_RS00335	MYF_RS00470
OG0000385	DR084_RS00340	MYF_RS00475
OG0000386	DR084_RS00360	MYF_RS00495
OG0000387	DR084_RS00385	MYF_RS00520
OG0000388	DR084_RS03460	MYF_RS00525
OG0000389	DR084_RS00425	MYF_RS00560
OG0000390	DR084_RS00525	MYF_RS00670
OG0000391	DR084_RS00535	MYF_RS00680
OG0000392	DR084_RS00560	MYF_RS00705
OG0000393	DR084_RS00615	MYF_RS00760
OG0000394	DR084_RS00675	MYF_RS00825
OG0000395	DR084_RS00680	MYF_RS00830
OG0000396	DR084_RS00985	MYF_RS01200
OG0000397	DR084_RS01030	MYF_RS01245
OG0000398	DR084_RS01035	MYF_RS01250
OG0000399	DR084_RS01080	MYF_RS01295
OG0000400	DR084_RS02055	MYF_RS02580
OG0000401	DR084_RS02115	MYF_RS02640
OG0000402	DR084_RS02125	MYF_RS02650
OG0000403	DR084_RS02135	MYF_RS02660
OG0000404	DR084_RS03565	MYF_RS02685
OG0000405	DR084_RS02170	MYF_RS02700
OG0000406	DR084_RS02200	MYF_RS02730
OG0000407	DR084_RS03580	MYF_RS02735
OG0000408	DR084_RS02210	MYF_RS02740
OG0000409	DR084_RS02215	MYF_RS02745
OG0000410	DR084_RS02860	MYF_RS02780
OG0000411	DR084_RS02870	MYF_RS02790
OG0000412	DR084_RS02875	MYF_RS02795
OG0000413	DR084_RS01130	MYF_RS01890
OG0000414	DR084_RS01140	MYF_RS01900
OG0000415	DR084_RS01145	MYF_RS01905
OG0000416	DR084_RS01155	MYF_RS01915
OG0000417	DR084_RS01185	MYF_RS01945
OG0000418	DR084_RS01190	MYF_RS01950
OG0000419	DR084_RS01250	MYF_RS02010
OG0000420	DR084_RS01285	MYF_RS02045
OG0000421	DR084_RS01320	MYF_RS02075
OG0000422	DR084_RS01330	MYF_RS02085
OG0000423	DR084_RS01385	MYF_RS02140
OG0000424	DR084_RS01390	MYF_RS02145
OG0000425	DR084_RS01400	MYF_RS02155
OG0000426	DR084_RS03530	MYF_RS02160
OG0000427	DR084_RS03535	MYF_RS02185
OG0000428	DR084_RS01455	MYF_RS02210
OG0000429	DR084_RS01550	MYF_RS02300
OG0000430	DR084_RS01595	MYF_RS02345
OG0000431	DR084_RS01605	MYF_RS02355
OG0000432	DR084_RS01625	MYF_RS02375
OG0000433	DR084_RS01635	MYF_RS02385
OG0000434	DR084_RS01640	MYF_RS02390
OG0000435	DR084_RS01655	MYF_RS02405
OG0000436	DR084_RS01690	MYF_RS02440
OG0000437	DR084_RS01700	MYF_RS02450
OG0000438	DR084_RS03545	MYF_RS02455
OG0000439	DR084_RS01710	MYF_RS02460
OG0000440	DR084_RS01725	MYF_RS02475
OG0000441	DR084_RS01765	MYF_RS02515
OG0000442	DR084_RS02390	MYF_RS00090
OG0000443	DR084_RS00025	MYF_RS00150
OG0000444	DR084_RS00040	MYF_RS00165
OG0000445	DR084_RS00065	MYF_RS00190
OG0000446	DR084_RS00090	MYF_RS00220
OG0000447	DR084_RS00095	MYF_RS00225
OG0000448	DR084_RS00125	MYF_RS00255
OG0000449	DR084_RS00150	MYF_RS00280
OG0000450	DR084_RS00160	MYF_RS00290
OG0000451	DR084_RS00200	MYF_RS00330
OG0000452	DR084_RS00225	MYF_RS00355
OG0000453	DR084_RS00260	MYF_RS00390
OG0000455	DR084_RS03615	MYF_RS02975
OG0000456	DR084_RS02620	MYF_RS02860
OG0000457	DR084_RS02645	MYF_RS02835
OG0000458	DR084_RS00880	MYF_RS01095
OG0000459	DR084_RS00855	MYF_RS01070
OG0000460	DR084_RS00845	MYF_RS01060
OG0000461	DR084_RS00800	MYF_RS01010
OG0000462	DR084_RS00805	MYF_RS01015
OG0000463	DR084_RS00810	MYF_RS01020
OG0000464	DR084_RS00815	MYF_RS01030
OG0000465	DR084_RS00820	MYF_RS01035
OG0000466	DR084_RS00230	MYF_RS00360
OG0000467	DR084_RS03485	MYF_RS03505
OG0000468	DR084_RS01075	MYF_RS01290
OG0000469	DR084_RS02850	MYF_RS01425
OG0000470	DR084_RS01380	MYF_RS02135
OG0000471	DR084_RS01460	MYF_RS02215
OG0000472	DR084_RS02670	MYF_RS03535
OG0000473	DR084_RS02455	MYF_RS02960
OG0000474	DR084_RS02460	MYF_RS02965
OG0000475	DR084_RS02465	MYF_RS02970
OG0000476	DR084_RS02500	MYF_RS03040
OG0000477	DR084_RS00775	MYF_RS00930
OG0000478	DR084_RS02570	MYF_RS02905
OG0000479	DR084_RS01920	MYF_RS01680
OG0000480	DR084_RS03020	MYF_RS03350
OG0000481	DR084_RS01355	MYF_RS02110
OG0000482	DR084_RS01215	MYF_RS01975
OG0000483	DR084_RS02715	MYF_RS01375
OG0000484	DR084_RS03445	MYF_RS00160
OG0000485	DR084_RS01695	MYF_RS02445
OG0000486	DR084_RS01165	MYF_RS01925
OG0000487	DR084_RS03685	MYF_RS01445
OG0000488	DR084_RS02685	MYF_RS01405
OG0000489	DR084_RS02350	MYF_RS00050
OG0000490	DR084_RS02290	MYF_RS03140
OG0000491	DR084_RS01940	MYF_RS01700
OG0000492	DR084_RS02015	MYF_RS01775
OG0000493	DR084_RS00400	MYF_RS00535
OG0000494	DR084_RS00450	MYF_RS00585
OG0000495	DR084_RS00590	MYF_RS00735
OG0000496	DR084_RS00600	MYF_RS00745
OG0000497	DR084_RS00605	MYF_RS00750
OG0000498	DR084_RS00670	MYF_RS00820
OG0000499	DR084_RS00710	MYF_RS00865
OG0000500	DR084_RS01040	MYF_RS01255
OG0000501	DR084_RS02065	MYF_RS02590
OG0000502	DR084_RS01225	MYF_RS01985
OG0000503	DR084_RS01300	MYF_RS02055
OG0000504	DR084_RS01435	MYF_RS02190
OG0000505	DR084_RS01470	MYF_RS02225
OG0000506	DR084_RS01480	MYF_RS02235
OG0000507	DR084_RS01515	MYF_RS02270
OG0000508	DR084_RS00085	MYF_RS00215
OG0000509	DR084_RS00120	MYF_RS00250
OG0000510	DR084_RS00130	MYF_RS00260
OG0000511	DR084_RS00265	MYF_RS00395
OG0000512	DR084_RS00840	MYF_RS01055
OG0000513	DR084_RS02585	MYF_RS02890
OG0000514	DR084_RS00565	MYF_RS00710
OG0000516	DR084_RS03410	MYF_RS01440
OG0000517	DR084_RS02365	MYF_RS00065
OG0000518	DR084_RS02105	MYF_RS02630
OG0000519	DR084_RS01325	MYF_RS02080
OG0000520	DR084_RS01450	MYF_RS02205
OG0000521	DR084_RS00100	MYF_RS00230
OG0000522	DR084_RS00135	MYF_RS00265
OG0000523	DR084_RS02650	MYF_RS02830
OG0000524	DR084_RS00735	MYF_RS00890
OG0000528	DR084_RS03690	MYF_RS01435
OG0000529	DR084_RS01805	MYF_RS01565
OG0000530	DR084_RS01870	MYF_RS01630
OG0000531	DR084_RS01990	MYF_RS01750
OG0000533	DR084_RS01615	MYF_RS02365
OG0000534	DR084_RS00215	MYF_RS00345
OG0000535	DR084_RS02345	MYF_RS00045
OG0000536	DR084_RS02525	MYF_RS03070
OG0000537	DR084_RS01265	MYF_RS02025
OG0000538	DR084_RS01645	MYF_RS02395
OG0000539	DR084_RS00050	MYF_RS00175
OG0000540	DR084_RS00755	MYF_RS00910
OG0000541	DR084_RS00695	MYF_RS00850
OG0000542	DR084_RS00185	MYF_RS00315
OG0000547	DR084_RS00515	MYF_RS00660
OG0000548	DR084_RS00990	MYF_RS01205
OG0000549	DR084_RS02675	MYF_RS02805
OG0000550	DR084_RS02550	MYF_RS02925
OG0000551	DR084_RS01755	MYF_RS02505
OG0000555	DR084_RS03090	MYF_RS03410
OG0000596	DR084_RS02410	MYF_RS00110
OG0000598	DR084_RS02405	MYF_RS00105
OG0000599	DR084_RS02400	MYF_RS00100
OG0000602	DR084_RS02680	MYF_RS01415
OG0000634	DR084_RS01775	MYF_RS01535
OG0000635	DR084_RS00720	MYF_RS00875
OG0000636	DR084_RS03225	MYF_RS03460
OG0000637	DR084_RS01210	MYF_RS01970
OG0000638	DR084_RS00280	MYF_RS00415
OG0000639	DR084_RS01675	MYF_RS03175
OG0000640	DR084_RS03075	MYF_RS03500
OG0000643	DR084_RS03205	MYF_RS03180
