Orthogroup	MFC_MF30_genes	MHP_KM014_genes
OG0000289	DR084_RS00860	CIB43_RS03455
OG0000290	DR084_RS00750	CIB43_RS03565
OG0000291	DR084_RS00760	CIB43_RS03560
OG0000292	DR084_RS00765	CIB43_RS03550
OG0000293	DR084_RS00770	CIB43_RS03545
OG0000294	DR084_RS00780	CIB43_RS03540
OG0000295	DR084_RS00785	CIB43_RS03530
OG0000296	DR084_RS00825	CIB43_RS03495
OG0000297	DR084_RS00830	CIB43_RS03485
OG0000298	DR084_RS00010	CIB43_RS00880
OG0000299	DR084_RS00030	CIB43_RS00915
OG0000300	DR084_RS00205	CIB43_RS01090
OG0000301	DR084_RS00240	CIB43_RS01125
OG0000302	DR084_RS00245	CIB43_RS01130
OG0000303	DR084_RS00380	CIB43_RS01455
OG0000304	DR084_RS00415	CIB43_RS01950
OG0000305	DR084_RS00545	CIB43_RS03795
OG0000306	DR084_RS00625	CIB43_RS03725
OG0000307	DR084_RS00660	CIB43_RS03685
OG0000308	DR084_RS00740	CIB43_RS03600
OG0000309	DR084_RS00795	CIB43_RS03520
OG0000310	DR084_RS00870	CIB43_RS03445
OG0000311	DR084_RS00925	CIB43_RS03405
OG0000312	DR084_RS00945	CIB43_RS03390
OG0000313	DR084_RS00995	CIB43_RS02485
OG0000314	DR084_RS01065	CIB43_RS02855
OG0000315	DR084_RS01095	CIB43_RS02885
OG0000316	DR084_RS01105	CIB43_RS02895
OG0000317	DR084_RS02730	CIB43_RS02985
OG0000318	DR084_RS03680	CIB43_RS02900
OG0000319	DR084_RS01795	CIB43_RS03125
OG0000320	DR084_RS01860	CIB43_RS03270
OG0000321	DR084_RS01925	CIB43_RS02200
OG0000322	DR084_RS01970	CIB43_RS02245
OG0000323	DR084_RS02815	CIB43_RS02375
OG0000324	DR084_RS01200	CIB43_RS03170
OG0000325	DR084_RS01240	CIB43_RS01570
OG0000326	DR084_RS01335	CIB43_RS01665
OG0000327	DR084_RS01340	CIB43_RS01670
OG0000328	DR084_RS01425	CIB43_RS01760
OG0000329	DR084_RS01445	CIB43_RS01775
OG0000330	DR084_RS01630	CIB43_RS01970
OG0000331	DR084_RS01745	CIB43_RS03890
OG0000332	DR084_RS02110	CIB43_RS00200
OG0000333	DR084_RS02120	CIB43_RS00210
OG0000334	DR084_RS02185	CIB43_RS00315
OG0000335	DR084_RS03575	CIB43_RS00340
OG0000336	DR084_RS03645	CIB43_RS00485
OG0000337	DR084_RS02255	CIB43_RS00655
OG0000338	DR084_RS02295	CIB43_RS00695
OG0000339	DR084_RS01880	CIB43_RS03235
OG0000340	DR084_RS01905	CIB43_RS02185
OG0000341	DR084_RS01180	CIB43_RS03190
OG0000342	DR084_RS01270	CIB43_RS01600
OG0000343	DR084_RS02130	CIB43_RS00215
OG0000344	DR084_RS00395	CIB43_RS01465
OG0000345	DR084_RS01560	CIB43_RS01890
OG0000346	DR084_RS03640	CIB43_RS00490
OG0000347	DR084_RS01995	CIB43_RS02270
OG0000348	DR084_RS03525	CIB43_RS01685
OG0000349	DR084_RS02545	CIB43_RS00550
OG0000350	DR084_RS02995	CIB43_RS03675
OG0000351	DR084_RS00330	CIB43_RS01385
OG0000352	DR084_RS01045	CIB43_RS02830
OG0000353	DR084_RS01965	CIB43_RS02240
OG0000354	DR084_RS00445	CIB43_RS01515
OG0000355	DR084_RS03495	CIB43_RS02805
OG0000356	DR084_RS03500	CIB43_RS02890
OG0000357	DR084_RS03560	CIB43_RS00175
OG0000358	DR084_RS02095	CIB43_RS00180
OG0000359	DR084_RS03520	CIB43_RS01650
OG0000360	DR084_RS00110	CIB43_RS00990
OG0000361	DR084_RS00140	CIB43_RS01020
OG0000362	DR084_RS00850	CIB43_RS03475
OG0000363	DR084_RS02040	CIB43_RS02310
OG0000369	DR084_RS03595	CIB43_RS00725
OG0000370	DR084_RS02320	CIB43_RS00720
OG0000378	DR084_RS01890	CIB43_RS02160
OG0000379	DR084_RS01960	CIB43_RS02235
OG0000380	DR084_RS01985	CIB43_RS02260
OG0000381	DR084_RS02025	CIB43_RS02300
OG0000385	DR084_RS00340	CIB43_RS01405
OG0000389	DR084_RS00425	CIB43_RS01490
OG0000394	DR084_RS00675	CIB43_RS03660
OG0000396	DR084_RS00985	CIB43_RS03350
OG0000403	DR084_RS02135	CIB43_RS00220
OG0000404	DR084_RS03565	CIB43_RS00250
OG0000405	DR084_RS02170	CIB43_RS00265
OG0000409	DR084_RS02215	CIB43_RS00345
OG0000412	DR084_RS02875	CIB43_RS00390
OG0000417	DR084_RS01185	CIB43_RS03185
OG0000428	DR084_RS01455	CIB43_RS01785
OG0000429	DR084_RS01550	CIB43_RS01885
OG0000430	DR084_RS01595	CIB43_RS01925
OG0000434	DR084_RS01640	CIB43_RS01985
OG0000436	DR084_RS01690	CIB43_RS02030
OG0000437	DR084_RS01700	CIB43_RS02065
OG0000441	DR084_RS01765	CIB43_RS03910
OG0000451	DR084_RS00200	CIB43_RS01085
OG0000453	DR084_RS00260	CIB43_RS01315
OG0000457	DR084_RS02645	CIB43_RS00450
OG0000459	DR084_RS00855	CIB43_RS03460
OG0000463	DR084_RS00810	CIB43_RS03515
OG0000464	DR084_RS00815	CIB43_RS03500
OG0000466	DR084_RS00230	CIB43_RS01115
OG0000468	DR084_RS01075	CIB43_RS02870
OG0000471	DR084_RS01460	CIB43_RS01790
OG0000473	DR084_RS02455	CIB43_RS00580
OG0000474	DR084_RS02460	CIB43_RS00585
OG0000475	DR084_RS02465	CIB43_RS00595
OG0000482	DR084_RS01215	CIB43_RS02080
OG0000485	DR084_RS01695	CIB43_RS02035
OG0000486	DR084_RS01165	CIB43_RS03205
OG0000487	DR084_RS03685	CIB43_RS02915
OG0000488	DR084_RS02685	CIB43_RS02940
OG0000489	DR084_RS02350	CIB43_RS00750
OG0000491	DR084_RS01940	CIB43_RS02220
OG0000492	DR084_RS02015	CIB43_RS02290
OG0000495	DR084_RS00590	CIB43_RS03750
OG0000502	DR084_RS01225	CIB43_RS02070
OG0000504	DR084_RS01435	CIB43_RS01770
OG0000506	DR084_RS01480	CIB43_RS01810
OG0000508	DR084_RS00085	CIB43_RS00980
OG0000517	DR084_RS02365	CIB43_RS00765
OG0000519	DR084_RS01325	CIB43_RS01660
OG0000520	DR084_RS01450	CIB43_RS01780
OG0000523	DR084_RS02650	CIB43_RS00445
OG0000529	DR084_RS01805	CIB43_RS03135
OG0000530	DR084_RS01870	CIB43_RS03250
OG0000531	DR084_RS01990	CIB43_RS02265
OG0000537	DR084_RS01265	CIB43_RS01595
OG0000538	DR084_RS01645	CIB43_RS01990
