Orthogroup	MFC_MF30_genes	MHP_TB1_genes
OG0000182	DR084_RS02190	B5M19_RS03035
OG0000183	DR084_RS02225	B5M19_RS03000
OG0000184	DR084_RS02865	B5M19_RS03105
OG0000185	DR084_RS02880	B5M19_RS03120
OG0000186	DR084_RS01135	B5M19_RS03550
OG0000187	DR084_RS01150	B5M19_RS03535
OG0000188	DR084_RS01160	B5M19_RS03525
OG0000189	DR084_RS03510	B5M19_RS03210
OG0000190	DR084_RS01175	B5M19_RS03215
OG0000191	DR084_RS01195	B5M19_RS03235
OG0000192	DR084_RS01205	B5M19_RS03675
OG0000193	DR084_RS01220	B5M19_RS02360
OG0000194	DR084_RS01230	B5M19_RS01855
OG0000195	DR084_RS01235	B5M19_RS01850
OG0000196	DR084_RS03515	B5M19_RS01830
OG0000197	DR084_RS01260	B5M19_RS01825
OG0000198	DR084_RS01275	B5M19_RS01810
OG0000199	DR084_RS01280	B5M19_RS01805
OG0000200	DR084_RS01295	B5M19_RS01790
OG0000201	DR084_RS01305	B5M19_RS01780
OG0000202	DR084_RS01360	B5M19_RS01725
OG0000203	DR084_RS01365	B5M19_RS01720
OG0000204	DR084_RS01370	B5M19_RS01715
OG0000205	DR084_RS01375	B5M19_RS01710
OG0000206	DR084_RS01395	B5M19_RS01690
OG0000207	DR084_RS01410	B5M19_RS01675
OG0000208	DR084_RS01415	B5M19_RS01670
OG0000209	DR084_RS01420	B5M19_RS01665
OG0000210	DR084_RS01465	B5M19_RS01620
OG0000211	DR084_RS01475	B5M19_RS03415
OG0000212	DR084_RS01485	B5M19_RS03405
OG0000213	DR084_RS01490	B5M19_RS03400
OG0000214	DR084_RS01495	B5M19_RS03395
OG0000215	DR084_RS01500	B5M19_RS03390
OG0000216	DR084_RS01505	B5M19_RS03385
OG0000217	DR084_RS01510	B5M19_RS03380
OG0000218	DR084_RS01520	B5M19_RS03370
OG0000219	DR084_RS01525	B5M19_RS03365
OG0000220	DR084_RS01530	B5M19_RS03360
OG0000221	DR084_RS01535	B5M19_RS03355
OG0000222	DR084_RS01540	B5M19_RS03350
OG0000223	DR084_RS01545	B5M19_RS03345
OG0000224	DR084_RS01555	B5M19_RS03130
OG0000225	DR084_RS01565	B5M19_RS03140
OG0000226	DR084_RS01570	B5M19_RS03145
OG0000227	DR084_RS01575	B5M19_RS03150
OG0000228	DR084_RS03705	B5M19_RS04630
OG0000229	DR084_RS01585	B5M19_RS03160
OG0000230	DR084_RS01590	B5M19_RS03165
OG0000231	DR084_RS01600	B5M19_RS03175
OG0000232	DR084_RS01610	B5M19_RS03185
OG0000233	DR084_RS01620	B5M19_RS02225
OG0000234	DR084_RS01650	B5M19_RS04335
OG0000235	DR084_RS01660	B5M19_RS02175
OG0000236	DR084_RS01665	B5M19_RS02170
OG0000237	DR084_RS01680	B5M19_RS02165
OG0000238	DR084_RS01685	B5M19_RS02155
OG0000239	DR084_RS01715	B5M19_RS01315
OG0000240	DR084_RS01720	B5M19_RS01310
OG0000241	DR084_RS01730	B5M19_RS01300
OG0000242	DR084_RS01735	B5M19_RS04160
OG0000243	DR084_RS01740	B5M19_RS01290
OG0000244	DR084_RS01750	B5M19_RS01280
OG0000245	DR084_RS01760	B5M19_RS01270
OG0000246	DR084_RS02385	B5M19_RS00050
OG0000247	DR084_RS02395	B5M19_RS00060
OG0000248	DR084_RS02420	B5M19_RS00070
OG0000249	DR084_RS02425	B5M19_RS00075
OG0000250	DR084_RS00015	B5M19_RS03880
OG0000251	DR084_RS00045	B5M19_RS00125
OG0000252	DR084_RS00055	B5M19_RS00135
OG0000253	DR084_RS00060	B5M19_RS00140
OG0000254	DR084_RS00070	B5M19_RS00150
OG0000255	DR084_RS00075	B5M19_RS00160
OG0000256	DR084_RS00080	B5M19_RS00165
OG0000257	DR084_RS00105	B5M19_RS00190
OG0000258	DR084_RS00115	B5M19_RS04020
OG0000259	DR084_RS00145	B5M19_RS00230
OG0000260	DR084_RS00155	B5M19_RS00240
OG0000261	DR084_RS03450	B5M19_RS00250
OG0000262	DR084_RS00180	B5M19_RS00270
OG0000263	DR084_RS00195	B5M19_RS00285
OG0000264	DR084_RS00210	B5M19_RS04030
OG0000265	DR084_RS00220	B5M19_RS00315
OG0000266	DR084_RS00235	B5M19_RS00335
OG0000267	DR084_RS00250	B5M19_RS04035
OG0000268	DR084_RS00255	B5M19_RS00355
OG0000269	DR084_RS00270	B5M19_RS03680
OG0000270	DR084_RS03610	B5M19_RS00415
OG0000271	DR084_RS02445	B5M19_RS00420
OG0000272	DR084_RS02440	B5M19_RS00425
OG0000273	DR084_RS02435	B5M19_RS00430
OG0000274	DR084_RS02555	B5M19_RS00450
OG0000275	DR084_RS03630	B5M19_RS00455
OG0000276	DR084_RS02565	B5M19_RS00460
OG0000277	DR084_RS03635	B5M19_RS00470
OG0000278	DR084_RS02580	B5M19_RS00475
OG0000279	DR084_RS02590	B5M19_RS00485
OG0000280	DR084_RS02595	B5M19_RS00490
OG0000281	DR084_RS02600	B5M19_RS00495
OG0000282	DR084_RS02625	B5M19_RS00520
OG0000283	DR084_RS02630	B5M19_RS00525
OG0000284	DR084_RS02635	B5M19_RS00530
OG0000285	DR084_RS03650	B5M19_RS00535
OG0000286	DR084_RS00900	B5M19_RS02850
OG0000287	DR084_RS00875	B5M19_RS01050
OG0000288	DR084_RS00865	B5M19_RS01040
OG0000289	DR084_RS00860	B5M19_RS01035
OG0000290	DR084_RS00750	B5M19_RS04120
OG0000291	DR084_RS00760	B5M19_RS00935
OG0000292	DR084_RS00765	B5M19_RS00940
OG0000293	DR084_RS00770	B5M19_RS00945
OG0000294	DR084_RS00780	B5M19_RS00955
OG0000295	DR084_RS00785	B5M19_RS00960
OG0000296	DR084_RS00825	B5M19_RS01000
OG0000297	DR084_RS00830	B5M19_RS01005
OG0000298	DR084_RS00010	B5M19_RS00085
OG0000299	DR084_RS00030	B5M19_RS00110
OG0000300	DR084_RS00205	B5M19_RS00300
OG0000301	DR084_RS00240	B5M19_RS00340
OG0000302	DR084_RS00245	B5M19_RS00345
OG0000303	DR084_RS00380	B5M19_RS02410
OG0000304	DR084_RS00415	B5M19_RS03190
OG0000305	DR084_RS00545	B5M19_RS01385
OG0000306	DR084_RS00625	B5M19_RS02560
OG0000307	DR084_RS00660	B5M19_RS02525
OG0000308	DR084_RS00740	B5M19_RS00905
OG0000309	DR084_RS00795	B5M19_RS00970
OG0000310	DR084_RS00870	B5M19_RS01045
OG0000311	DR084_RS00925	B5M19_RS02790
OG0000312	DR084_RS00945	B5M19_RS02805
OG0000313	DR084_RS00995	B5M19_RS03300
OG0000314	DR084_RS01065	B5M19_RS00780
OG0000315	DR084_RS01095	B5M19_RS00810
OG0000316	DR084_RS01105	B5M19_RS00820
OG0000317	DR084_RS02730	B5M19_RS02720
OG0000318	DR084_RS03680	B5M19_RS00825
OG0000319	DR084_RS01795	B5M19_RS02945
OG0000320	DR084_RS01860	B5M19_RS04425
OG0000321	DR084_RS01925	B5M19_RS01240
OG0000322	DR084_RS01970	B5M19_RS01195
OG0000323	DR084_RS02815	B5M19_RS01065
OG0000324	DR084_RS01200	B5M19_RS03240
OG0000325	DR084_RS01240	B5M19_RS01845
OG0000326	DR084_RS01335	B5M19_RS01750
OG0000327	DR084_RS01340	B5M19_RS01745
OG0000328	DR084_RS01425	B5M19_RS01660
OG0000329	DR084_RS01445	B5M19_RS01640
OG0000330	DR084_RS01630	B5M19_RS02210
OG0000331	DR084_RS01745	B5M19_RS01285
OG0000332	DR084_RS02110	B5M19_RS01520
OG0000333	DR084_RS02120	B5M19_RS01530
OG0000334	DR084_RS02185	B5M19_RS03040
OG0000335	DR084_RS03575	B5M19_RS03030
OG0000336	DR084_RS03645	B5M19_RS00505
OG0000337	DR084_RS02255	B5M19_RS01985
OG0000338	DR084_RS02295	B5M19_RS01940
OG0000339	DR084_RS01880	B5M19_RS03615
OG0000340	DR084_RS01905	B5M19_RS02565
OG0000341	DR084_RS01180	B5M19_RS03220
OG0000342	DR084_RS01270	B5M19_RS01815
OG0000343	DR084_RS02130	B5M19_RS04195
OG0000344	DR084_RS00395	B5M19_RS02425
OG0000345	DR084_RS01560	B5M19_RS03135
OG0000346	DR084_RS03640	B5M19_RS04590
OG0000347	DR084_RS01995	B5M19_RS01170
OG0000348	DR084_RS03525	B5M19_RS01740
OG0000349	DR084_RS02545	B5M19_RS00440
OG0000350	DR084_RS02995	B5M19_RS02515
OG0000351	DR084_RS00330	B5M19_RS03490
OG0000352	DR084_RS01045	B5M19_RS00755
OG0000353	DR084_RS01965	B5M19_RS01200
OG0000354	DR084_RS00445	B5M19_RS03080
OG0000355	DR084_RS03495	B5M19_RS00725
OG0000356	DR084_RS03500	B5M19_RS00815
OG0000357	DR084_RS03560	B5M19_RS01500
OG0000358	DR084_RS02095	B5M19_RS01505
OG0000359	DR084_RS03520	B5M19_RS01770
OG0000360	DR084_RS00110	B5M19_RS00195
OG0000361	DR084_RS00140	B5M19_RS00225
OG0000362	DR084_RS00850	B5M19_RS01025
OG0000363	DR084_RS02040	B5M19_RS01125
OG0000365	DR084_RS03695	B5M19_RS02775
OG0000366	DR084_RS02700	B5M19_RS02750
OG0000367	DR084_RS02710	B5M19_RS02740
OG0000368	DR084_RS02360	B5M19_RS04270
OG0000369	DR084_RS03595	B5M19_RS01910
OG0000370	DR084_RS02320	B5M19_RS01915
OG0000371	DR084_RS02315	B5M19_RS01920
OG0000372	DR084_RS02310	B5M19_RS01925
OG0000373	DR084_RS02285	B5M19_RS01950
OG0000374	DR084_RS02275	B5M19_RS01960
OG0000375	DR084_RS01790	B5M19_RS02950
OG0000376	DR084_RS01845	B5M19_RS02670
OG0000377	DR084_RS01855	B5M19_RS02680
OG0000378	DR084_RS01890	B5M19_RS02585
OG0000379	DR084_RS01960	B5M19_RS01205
OG0000380	DR084_RS01985	B5M19_RS01180
OG0000381	DR084_RS02025	B5M19_RS01140
OG0000382	DR084_RS02770	B5M19_RS01105
OG0000383	DR084_RS02810	B5M19_RS01070
OG0000384	DR084_RS00335	B5M19_RS02365
OG0000385	DR084_RS00340	B5M19_RS02370
OG0000386	DR084_RS00360	B5M19_RS02390
OG0000387	DR084_RS00385	B5M19_RS02415
OG0000388	DR084_RS03460	B5M19_RS02420
OG0000389	DR084_RS00425	B5M19_RS03095
OG0000390	DR084_RS00525	B5M19_RS01365
OG0000391	DR084_RS00535	B5M19_RS01375
OG0000392	DR084_RS00560	B5M19_RS01400
OG0000393	DR084_RS00615	B5M19_RS03515
OG0000394	DR084_RS00675	B5M19_RS02490
OG0000395	DR084_RS00680	B5M19_RS02485
OG0000396	DR084_RS00985	B5M19_RS02845
OG0000397	DR084_RS01030	B5M19_RS00740
OG0000398	DR084_RS01035	B5M19_RS00745
OG0000399	DR084_RS01080	B5M19_RS00795
OG0000400	DR084_RS02055	B5M19_RS01460
OG0000401	DR084_RS02115	B5M19_RS01525
OG0000402	DR084_RS02125	B5M19_RS01535
OG0000404	DR084_RS03565	B5M19_RS04205
OG0000405	DR084_RS02170	B5M19_RS01590
OG0000406	DR084_RS02200	B5M19_RS03025
OG0000407	DR084_RS03580	B5M19_RS03020
OG0000408	DR084_RS02210	B5M19_RS03015
OG0000409	DR084_RS02215	B5M19_RS03010
OG0000410	DR084_RS02860	B5M19_RS03100
OG0000411	DR084_RS02870	B5M19_RS03110
OG0000412	DR084_RS02875	B5M19_RS03115
OG0000413	DR084_RS01130	B5M19_RS03555
OG0000414	DR084_RS01140	B5M19_RS03545
OG0000415	DR084_RS01145	B5M19_RS03540
OG0000416	DR084_RS01155	B5M19_RS03530
OG0000417	DR084_RS01185	B5M19_RS03225
OG0000418	DR084_RS01190	B5M19_RS03230
OG0000419	DR084_RS01250	B5M19_RS01835
OG0000420	DR084_RS01285	B5M19_RS01800
OG0000421	DR084_RS01320	B5M19_RS01765
OG0000422	DR084_RS01330	B5M19_RS01755
OG0000423	DR084_RS01385	B5M19_RS01700
OG0000424	DR084_RS01390	B5M19_RS01695
OG0000425	DR084_RS01400	B5M19_RS01685
OG0000426	DR084_RS03530	B5M19_RS01680
OG0000427	DR084_RS03535	B5M19_RS01655
OG0000428	DR084_RS01455	B5M19_RS01630
OG0000430	DR084_RS01595	B5M19_RS03170
OG0000431	DR084_RS01605	B5M19_RS03180
OG0000432	DR084_RS01625	B5M19_RS04345
OG0000433	DR084_RS01635	B5M19_RS02200
OG0000434	DR084_RS01640	B5M19_RS02195
OG0000435	DR084_RS01655	B5M19_RS02180
OG0000436	DR084_RS01690	B5M19_RS02150
OG0000437	DR084_RS01700	B5M19_RS02140
OG0000438	DR084_RS03545	B5M19_RS02135
OG0000439	DR084_RS01710	B5M19_RS02130
OG0000440	DR084_RS01725	B5M19_RS04165
OG0000441	DR084_RS01765	B5M19_RS01265
OG0000442	DR084_RS02390	B5M19_RS00055
OG0000443	DR084_RS00025	B5M19_RS00105
OG0000444	DR084_RS00040	B5M19_RS00120
OG0000445	DR084_RS00065	B5M19_RS00145
OG0000446	DR084_RS00090	B5M19_RS00175
OG0000447	DR084_RS00095	B5M19_RS00180
OG0000448	DR084_RS00125	B5M19_RS00210
OG0000449	DR084_RS00150	B5M19_RS00235
OG0000450	DR084_RS00160	B5M19_RS00245
OG0000451	DR084_RS00200	B5M19_RS00295
OG0000452	DR084_RS00225	B5M19_RS00330
OG0000453	DR084_RS00260	B5M19_RS04040
OG0000455	DR084_RS03615	B5M19_RS00395
OG0000456	DR084_RS02620	B5M19_RS00515
OG0000457	DR084_RS02645	B5M19_RS00540
OG0000458	DR084_RS00880	B5M19_RS01055
OG0000459	DR084_RS00855	B5M19_RS01030
OG0000460	DR084_RS00845	B5M19_RS01020
OG0000461	DR084_RS00800	B5M19_RS04125
OG0000462	DR084_RS00805	B5M19_RS00980
OG0000463	DR084_RS00810	B5M19_RS04130
OG0000464	DR084_RS00815	B5M19_RS00990
OG0000465	DR084_RS00820	B5M19_RS00995
OG0000467	DR084_RS03485	B5M19_RS00895
OG0000468	DR084_RS01075	B5M19_RS00790
OG0000469	DR084_RS02850	B5M19_RS00850
OG0000470	DR084_RS01380	B5M19_RS03910
OG0000471	DR084_RS01460	B5M19_RS01625
OG0000472	DR084_RS02670	B5M19_RS00580
OG0000473	DR084_RS02455	B5M19_RS00410
OG0000474	DR084_RS02460	B5M19_RS00405
OG0000475	DR084_RS02465	B5M19_RS00400
OG0000476	DR084_RS02500	B5M19_RS03280
OG0000477	DR084_RS00775	B5M19_RS00950
OG0000478	DR084_RS02570	B5M19_RS00465
OG0000479	DR084_RS01920	B5M19_RS04145
OG0000480	DR084_RS03020	B5M19_RS03895
OG0000481	DR084_RS01355	B5M19_RS01730
OG0000482	DR084_RS01215	B5M19_RS03730
OG0000483	DR084_RS02715	B5M19_RS02735
OG0000484	DR084_RS03445	B5M19_RS00115
OG0000485	DR084_RS01695	B5M19_RS02145
OG0000486	DR084_RS01165	B5M19_RS03205
OG0000487	DR084_RS03685	B5M19_RS00830
OG0000488	DR084_RS02685	B5M19_RS02770
OG0000489	DR084_RS02350	B5M19_RS01885
OG0000490	DR084_RS02290	B5M19_RS01945
OG0000491	DR084_RS01940	B5M19_RS01225
OG0000492	DR084_RS02015	B5M19_RS04140
OG0000493	DR084_RS00400	B5M19_RS02430
OG0000494	DR084_RS00450	B5M19_RS03075
OG0000495	DR084_RS00590	B5M19_RS01430
OG0000497	DR084_RS00605	B5M19_RS01445
OG0000498	DR084_RS00670	B5M19_RS02495
OG0000499	DR084_RS00710	B5M19_RS00870
OG0000500	DR084_RS01040	B5M19_RS00750
OG0000501	DR084_RS02065	B5M19_RS01470
OG0000502	DR084_RS01225	B5M19_RS02350
OG0000503	DR084_RS01300	B5M19_RS04250
OG0000504	DR084_RS01435	B5M19_RS01650
OG0000505	DR084_RS01470	B5M19_RS03420
OG0000506	DR084_RS01480	B5M19_RS03410
OG0000507	DR084_RS01515	B5M19_RS03375
OG0000508	DR084_RS00085	B5M19_RS00170
OG0000509	DR084_RS00120	B5M19_RS00205
OG0000510	DR084_RS00130	B5M19_RS00215
OG0000511	DR084_RS00265	B5M19_RS03685
OG0000512	DR084_RS00840	B5M19_RS01015
OG0000513	DR084_RS02585	B5M19_RS00480
OG0000514	DR084_RS00565	B5M19_RS01405
OG0000516	DR084_RS03415, DR084_RS03410	B5M19_RS00835
OG0000517	DR084_RS02365	B5M19_RS01870
OG0000518	DR084_RS02105	B5M19_RS01515
OG0000519	DR084_RS01325	B5M19_RS01760
OG0000520	DR084_RS01450	B5M19_RS01635
OG0000521	DR084_RS00100	B5M19_RS00185
OG0000522	DR084_RS00135	B5M19_RS00220
OG0000523	DR084_RS02650	B5M19_RS00545
OG0000524	DR084_RS00735	B5M19_RS00900
OG0000525	DR084_RS03715	B5M19_RS00575
OG0000528	DR084_RS03690	B5M19_RS00840
OG0000529	DR084_RS01805	B5M19_RS02935
OG0000530	DR084_RS01870	B5M19_RS02705
OG0000531	DR084_RS01990	B5M19_RS01175
OG0000533	DR084_RS01615	B5M19_RS04515
OG0000535	DR084_RS02345	B5M19_RS04610
OG0000536	DR084_RS02525	B5M19_RS00365
OG0000537	DR084_RS01265	B5M19_RS01820
OG0000538	DR084_RS01645	B5M19_RS04340
OG0000539	DR084_RS00050	B5M19_RS00130
OG0000540	DR084_RS00755	B5M19_RS00930
OG0000541	DR084_RS00695	B5M19_RS00855
OG0000542	DR084_RS00185	B5M19_RS00275
OG0000547	DR084_RS00515	B5M19_RS01355
OG0000548	DR084_RS00990	B5M19_RS03295
OG0000549	DR084_RS02675	B5M19_RS00585
OG0000550	DR084_RS02550	B5M19_RS04055
OG0000551	DR084_RS01755	B5M19_RS01275
OG0000555	DR084_RS03090	B5M19_RS01350
OG0000596	DR084_RS02410	B5M19_RS02110
OG0000598	DR084_RS02405	B5M19_RS02115
OG0000599	DR084_RS02400	B5M19_RS02120
