Orthogroup	MFC_MF30_genes	MHP_LH_genes
OG0000193	DR084_RS01220	KUD10_RS01275
OG0000194	DR084_RS01230	KUD10_RS00685
OG0000195	DR084_RS01235	KUD10_RS00690
OG0000196	DR084_RS03515	KUD10_RS00710
OG0000197	DR084_RS01260	KUD10_RS00715
OG0000198	DR084_RS01275	KUD10_RS00730
OG0000199	DR084_RS01280	KUD10_RS00735
OG0000200	DR084_RS01295	KUD10_RS00750
OG0000201	DR084_RS01305	KUD10_RS00760
OG0000202	DR084_RS01360	KUD10_RS00815
OG0000203	DR084_RS01365	KUD10_RS00820
OG0000204	DR084_RS01370	KUD10_RS00825
OG0000205	DR084_RS01375	KUD10_RS00830
OG0000206	DR084_RS01395	KUD10_RS00850
OG0000207	DR084_RS01410	KUD10_RS00865
OG0000208	DR084_RS01415	KUD10_RS00870
OG0000209	DR084_RS01420	KUD10_RS00875
OG0000210	DR084_RS01465	KUD10_RS00920
OG0000211	DR084_RS01475	KUD10_RS00930
OG0000212	DR084_RS01485	KUD10_RS00940
OG0000213	DR084_RS01490	KUD10_RS00945
OG0000214	DR084_RS01495	KUD10_RS00950
OG0000215	DR084_RS01500	KUD10_RS00955
OG0000216	DR084_RS01505	KUD10_RS00960
OG0000217	DR084_RS01510	KUD10_RS00965
OG0000218	DR084_RS01520	KUD10_RS00975
OG0000219	DR084_RS01525	KUD10_RS00980
OG0000220	DR084_RS01530	KUD10_RS00985
OG0000221	DR084_RS01535	KUD10_RS00990
OG0000222	DR084_RS01540	KUD10_RS00995
OG0000223	DR084_RS01545	KUD10_RS01000
OG0000224	DR084_RS01555	KUD10_RS01010
OG0000225	DR084_RS01565	KUD10_RS01020
OG0000226	DR084_RS01570	KUD10_RS01025
OG0000227	DR084_RS01575	KUD10_RS01030
OG0000228	DR084_RS03705	KUD10_RS03740
OG0000229	DR084_RS01585	KUD10_RS01040
OG0000230	DR084_RS01590	KUD10_RS01045
OG0000231	DR084_RS01600	KUD10_RS01055
OG0000232	DR084_RS01610	KUD10_RS01065
OG0000233	DR084_RS01620	KUD10_RS01090
OG0000234	DR084_RS01650	KUD10_RS01125
OG0000235	DR084_RS01660	KUD10_RS01135
OG0000236	DR084_RS01665	KUD10_RS01140
OG0000237	DR084_RS01680	KUD10_RS01230
OG0000238	DR084_RS01685	KUD10_RS01235
OG0000239	DR084_RS01715	KUD10_RS03015
OG0000240	DR084_RS01720	KUD10_RS03020
OG0000241	DR084_RS01730	KUD10_RS03030
OG0000242	DR084_RS01735	KUD10_RS03035
OG0000243	DR084_RS01740	KUD10_RS03040
OG0000244	DR084_RS01750	KUD10_RS03050
OG0000245	DR084_RS01760	KUD10_RS03055
OG0000246	DR084_RS02385	KUD10_RS00140
OG0000247	DR084_RS02395	KUD10_RS00150
OG0000248	DR084_RS02420	KUD10_RS00160
OG0000249	DR084_RS02425	KUD10_RS00165
OG0000250	DR084_RS00015	KUD10_RS00180
OG0000251	DR084_RS00045	KUD10_RS00210
OG0000252	DR084_RS00055	KUD10_RS00220
OG0000253	DR084_RS00060	KUD10_RS00225
OG0000254	DR084_RS00070	KUD10_RS00235
OG0000255	DR084_RS00075	KUD10_RS00240
OG0000256	DR084_RS00080	KUD10_RS00245
OG0000257	DR084_RS00105	KUD10_RS00270
OG0000258	DR084_RS00115	KUD10_RS00280
OG0000259	DR084_RS00145	KUD10_RS00310
OG0000260	DR084_RS00155	KUD10_RS00320
OG0000261	DR084_RS03450	KUD10_RS00330
OG0000262	DR084_RS00180	KUD10_RS00345
OG0000263	DR084_RS00195	KUD10_RS00360
OG0000264	DR084_RS00210	KUD10_RS00375
OG0000265	DR084_RS00220	KUD10_RS00385
OG0000266	DR084_RS00235	KUD10_RS00400
OG0000267	DR084_RS00250	KUD10_RS00415
OG0000268	DR084_RS00255	KUD10_RS00420
OG0000269	DR084_RS00270	KUD10_RS00435
OG0000270	DR084_RS03610	KUD10_RS03560
OG0000271	DR084_RS02445	KUD10_RS03555
OG0000272	DR084_RS02440	KUD10_RS03550
OG0000273	DR084_RS02435	KUD10_RS03545
OG0000274	DR084_RS02555	KUD10_RS03525
OG0000275	DR084_RS03630	KUD10_RS03520
OG0000276	DR084_RS02565	KUD10_RS03515
OG0000277	DR084_RS03635	KUD10_RS03505
OG0000278	DR084_RS02580	KUD10_RS03500
OG0000279	DR084_RS02590	KUD10_RS03490
OG0000280	DR084_RS02595	KUD10_RS03485
OG0000281	DR084_RS02600	KUD10_RS03480
OG0000282	DR084_RS02625	KUD10_RS03455
OG0000283	DR084_RS02630	KUD10_RS03450
OG0000284	DR084_RS02635	KUD10_RS03445
OG0000285	DR084_RS03650	KUD10_RS03440
OG0000286	DR084_RS00900	KUD10_RS02505
OG0000287	DR084_RS00875	KUD10_RS02600
OG0000288	DR084_RS00865	KUD10_RS02610
OG0000289	DR084_RS00860	KUD10_RS02615
OG0000290	DR084_RS00750	KUD10_RS02730
OG0000291	DR084_RS00760	KUD10_RS02720
OG0000292	DR084_RS00765	KUD10_RS02715
OG0000293	DR084_RS00770	KUD10_RS02710
OG0000294	DR084_RS00780	KUD10_RS02700
OG0000295	DR084_RS00785	KUD10_RS02695
OG0000296	DR084_RS00825	KUD10_RS02650
OG0000297	DR084_RS00830	KUD10_RS02645
OG0000298	DR084_RS00010	KUD10_RS00175
OG0000299	DR084_RS00030	KUD10_RS00195
OG0000300	DR084_RS00205	KUD10_RS00370
OG0000301	DR084_RS00240	KUD10_RS00405
OG0000302	DR084_RS00245	KUD10_RS00410
OG0000303	DR084_RS00380	KUD10_RS00565
OG0000304	DR084_RS00415	KUD10_RS01070
OG0000305	DR084_RS00545	KUD10_RS02955
OG0000306	DR084_RS00625	KUD10_RS02880
OG0000307	DR084_RS00660	KUD10_RS02845
OG0000308	DR084_RS00740	KUD10_RS02750
OG0000309	DR084_RS00795	KUD10_RS02685
OG0000310	DR084_RS00870	KUD10_RS02605
OG0000311	DR084_RS00925	KUD10_RS02565
OG0000312	DR084_RS00945	KUD10_RS02550
OG0000313	DR084_RS00995	KUD10_RS01660
OG0000314	DR084_RS01065	KUD10_RS02005
OG0000315	DR084_RS01095	KUD10_RS02035
OG0000316	DR084_RS01105	KUD10_RS02045
OG0000317	DR084_RS02730	KUD10_RS02140
OG0000318	DR084_RS03680	KUD10_RS02050
OG0000319	DR084_RS01795	KUD10_RS02295
OG0000320	DR084_RS01860	KUD10_RS02425
OG0000321	DR084_RS01925	KUD10_RS01405
OG0000322	DR084_RS01970	KUD10_RS01450
OG0000323	DR084_RS02815	KUD10_RS01580
OG0000324	DR084_RS01200	KUD10_RS02335
OG0000325	DR084_RS01240	KUD10_RS00695
OG0000326	DR084_RS01335	KUD10_RS00790
OG0000327	DR084_RS01340	KUD10_RS00795
OG0000328	DR084_RS01425	KUD10_RS00880
OG0000329	DR084_RS01445	KUD10_RS00900
OG0000330	DR084_RS01630	KUD10_RS01100
OG0000331	DR084_RS01745	KUD10_RS03045
OG0000332	DR084_RS02110	KUD10_RS03180
OG0000333	DR084_RS02120	KUD10_RS03190
OG0000334	DR084_RS02185	KUD10_RS03290
OG0000335	DR084_RS03575	KUD10_RS03300
OG0000336	DR084_RS03645	KUD10_RS03470
OG0000337	DR084_RS02255	KUD10_RS03645
OG0000338	DR084_RS02295	KUD10_RS03685
OG0000339	DR084_RS01880	KUD10_RS02400
OG0000340	DR084_RS01905	KUD10_RS01385
OG0000341	DR084_RS01180	KUD10_RS02355
OG0000342	DR084_RS01270	KUD10_RS00725
OG0000343	DR084_RS02130	KUD10_RS03200
OG0000344	DR084_RS00395	KUD10_RS00580
OG0000345	DR084_RS01560	KUD10_RS01015
OG0000346	DR084_RS03640	KUD10_RS03475
OG0000347	DR084_RS01995	KUD10_RS01475
OG0000348	DR084_RS03525	KUD10_RS00800
OG0000349	DR084_RS02545	KUD10_RS03535
OG0000350	DR084_RS02995	KUD10_RS02835
OG0000351	DR084_RS00330	KUD10_RS00490
OG0000352	DR084_RS01045	KUD10_RS01985
OG0000353	DR084_RS01965	KUD10_RS01445
OG0000354	DR084_RS00445	KUD10_RS00645
OG0000355	DR084_RS03495	KUD10_RS01960
OG0000356	DR084_RS03500	KUD10_RS02040
OG0000357	DR084_RS03560	KUD10_RS03160
OG0000358	DR084_RS02095	KUD10_RS03165
OG0000359	DR084_RS03520	KUD10_RS00770
OG0000360	DR084_RS00110	KUD10_RS00275
OG0000361	DR084_RS00140	KUD10_RS00305
OG0000362	DR084_RS00850	KUD10_RS02625
OG0000363	DR084_RS02040	KUD10_RS01515
OG0000365	DR084_RS03695	KUD10_RS02085
OG0000366	DR084_RS02700	KUD10_RS02110
OG0000367	DR084_RS02710	KUD10_RS02120
OG0000368	DR084_RS02360	KUD10_RS00060
OG0000369	DR084_RS03595	KUD10_RS00025
OG0000370	DR084_RS02320	KUD10_RS00020
OG0000371	DR084_RS02315	KUD10_RS00015
OG0000372	DR084_RS02310	KUD10_RS00010
OG0000373	DR084_RS02285	KUD10_RS03675
OG0000374	DR084_RS02275	KUD10_RS03665
OG0000375	DR084_RS01790	KUD10_RS02290
OG0000376	DR084_RS01845	KUD10_RS02440
OG0000377	DR084_RS01855	KUD10_RS02430
OG0000378	DR084_RS01890	KUD10_RS01365
OG0000379	DR084_RS01960	KUD10_RS01440
OG0000380	DR084_RS01985	KUD10_RS01465
OG0000381	DR084_RS02025	KUD10_RS01505
OG0000382	DR084_RS02770	KUD10_RS01535
OG0000383	DR084_RS02810	KUD10_RS01575
OG0000384	DR084_RS00335	KUD10_RS00520
OG0000385	DR084_RS00340	KUD10_RS00525
OG0000386	DR084_RS00360	KUD10_RS00545
OG0000387	DR084_RS00385	KUD10_RS00570
OG0000388	DR084_RS03460	KUD10_RS00575
OG0000389	DR084_RS00425	KUD10_RS00625
OG0000390	DR084_RS00525	KUD10_RS02975
OG0000391	DR084_RS00535	KUD10_RS02965
OG0000392	DR084_RS00560	KUD10_RS02940
OG0000393	DR084_RS00615	KUD10_RS02885
OG0000394	DR084_RS00675	KUD10_RS02815
OG0000395	DR084_RS00680	KUD10_RS02810
OG0000396	DR084_RS00985	KUD10_RS02510
OG0000397	DR084_RS01030	KUD10_RS01970
OG0000398	DR084_RS01035	KUD10_RS01975
OG0000399	DR084_RS01080	KUD10_RS02020
OG0000400	DR084_RS02055	KUD10_RS03125
OG0000401	DR084_RS02115	KUD10_RS03185
OG0000402	DR084_RS02125	KUD10_RS03195
OG0000403	DR084_RS02135	KUD10_RS03205
OG0000404	DR084_RS03565	KUD10_RS03230
OG0000405	DR084_RS02170	KUD10_RS03245
OG0000406	DR084_RS02200	KUD10_RS03305
OG0000407	DR084_RS03580	KUD10_RS03310
OG0000408	DR084_RS02210	KUD10_RS03315
OG0000409	DR084_RS02215	KUD10_RS03320
OG0000410	DR084_RS02860	KUD10_RS03380
OG0000411	DR084_RS02870	KUD10_RS03370
OG0000412	DR084_RS02875	KUD10_RS03365
OG0000413	DR084_RS01130	KUD10_RS01590
OG0000414	DR084_RS01140	KUD10_RS01600
OG0000415	DR084_RS01145	KUD10_RS01605
OG0000416	DR084_RS01155	KUD10_RS01615
OG0000417	DR084_RS01185	KUD10_RS02350
OG0000418	DR084_RS01190	KUD10_RS02345
OG0000419	DR084_RS01250	KUD10_RS00705
OG0000420	DR084_RS01285	KUD10_RS00740
OG0000421	DR084_RS01320	KUD10_RS00775
OG0000422	DR084_RS01330	KUD10_RS00785
OG0000423	DR084_RS01385	KUD10_RS00840
OG0000424	DR084_RS01390	KUD10_RS00845
OG0000425	DR084_RS01400	KUD10_RS00855
OG0000426	DR084_RS03530	KUD10_RS00860
OG0000427	DR084_RS03535	KUD10_RS00885
OG0000428	DR084_RS01455	KUD10_RS00910
OG0000429	DR084_RS01550	KUD10_RS01005
OG0000430	DR084_RS01595	KUD10_RS01050
OG0000431	DR084_RS01605	KUD10_RS01060
OG0000432	DR084_RS01625	KUD10_RS01095
OG0000433	DR084_RS01635	KUD10_RS01110
OG0000434	DR084_RS01640	KUD10_RS01115
OG0000435	DR084_RS01655	KUD10_RS01130
OG0000436	DR084_RS01690	KUD10_RS01240
OG0000437	DR084_RS01700	KUD10_RS01250
OG0000438	DR084_RS03545	KUD10_RS01255
OG0000439	DR084_RS01710	KUD10_RS01260
OG0000440	DR084_RS01725	KUD10_RS03025
OG0000441	DR084_RS01765	KUD10_RS03060
OG0000442	DR084_RS02390	KUD10_RS00145
OG0000443	DR084_RS00025	KUD10_RS00190
OG0000444	DR084_RS00040	KUD10_RS00205
OG0000445	DR084_RS00065	KUD10_RS00230
OG0000446	DR084_RS00090	KUD10_RS00255
OG0000447	DR084_RS00095	KUD10_RS00260
OG0000448	DR084_RS00125	KUD10_RS00290
OG0000449	DR084_RS00150	KUD10_RS00315
OG0000450	DR084_RS00160	KUD10_RS00325
OG0000451	DR084_RS00200	KUD10_RS00365
OG0000452	DR084_RS00225	KUD10_RS00390
OG0000453	DR084_RS00260	KUD10_RS00425
OG0000455	DR084_RS03615	KUD10_RS03580
OG0000456	DR084_RS02620	KUD10_RS03460
OG0000457	DR084_RS02645	KUD10_RS03435
OG0000458	DR084_RS00880	KUD10_RS02595
OG0000459	DR084_RS00855	KUD10_RS02620
OG0000460	DR084_RS00845	KUD10_RS02630
OG0000461	DR084_RS00800	KUD10_RS02680
OG0000462	DR084_RS00805	KUD10_RS02670
OG0000463	DR084_RS00810	KUD10_RS02665
OG0000464	DR084_RS00815	KUD10_RS02660
OG0000465	DR084_RS00820	KUD10_RS02655
OG0000466	DR084_RS00230	KUD10_RS00395
OG0000467	DR084_RS03485	KUD10_RS02760
OG0000468	DR084_RS01075	KUD10_RS02015
OG0000469	DR084_RS02850	KUD10_RS02075
OG0000470	DR084_RS01380	KUD10_RS00835
OG0000471	DR084_RS01460	KUD10_RS00915
OG0000472	DR084_RS02670	KUD10_RS03390
OG0000473	DR084_RS02455	KUD10_RS03565
OG0000474	DR084_RS02460	KUD10_RS03570
OG0000475	DR084_RS02465	KUD10_RS03575
OG0000476	DR084_RS02500	KUD10_RS01625
OG0000477	DR084_RS00775	KUD10_RS02705
OG0000478	DR084_RS02570	KUD10_RS03510
OG0000479	DR084_RS01920	KUD10_RS01400
OG0000480	DR084_RS03020	KUD10_RS02080
OG0000481	DR084_RS01355	KUD10_RS00810
OG0000482	DR084_RS01215	KUD10_RS01280
OG0000483	DR084_RS02715	KUD10_RS02125
OG0000484	DR084_RS03445	KUD10_RS00200
OG0000485	DR084_RS01695	KUD10_RS01245
OG0000486	DR084_RS01165	KUD10_RS02370
OG0000487	DR084_RS03685	KUD10_RS02055
OG0000488	DR084_RS02685	KUD10_RS02095
OG0000489	DR084_RS02350	KUD10_RS00050
OG0000490	DR084_RS02290	KUD10_RS03680
OG0000491	DR084_RS01940	KUD10_RS01420
OG0000492	DR084_RS02015	KUD10_RS01495
OG0000493	DR084_RS00400	KUD10_RS00585
OG0000494	DR084_RS00450	KUD10_RS00650
OG0000495	DR084_RS00590	KUD10_RS02910
OG0000496	DR084_RS00600	KUD10_RS02900
OG0000497	DR084_RS00605	KUD10_RS02895
OG0000498	DR084_RS00670	KUD10_RS02820
OG0000499	DR084_RS00710	KUD10_RS02785
OG0000500	DR084_RS01040	KUD10_RS01980
OG0000501	DR084_RS02065	KUD10_RS03135
OG0000502	DR084_RS01225	KUD10_RS01270
OG0000503	DR084_RS01300	KUD10_RS00755
OG0000504	DR084_RS01435	KUD10_RS00890
OG0000505	DR084_RS01470	KUD10_RS00925
OG0000506	DR084_RS01480	KUD10_RS00935
OG0000507	DR084_RS01515	KUD10_RS00970
OG0000508	DR084_RS00085	KUD10_RS00250
OG0000509	DR084_RS00120	KUD10_RS00285
OG0000510	DR084_RS00130	KUD10_RS00295
OG0000511	DR084_RS00265	KUD10_RS00430
OG0000512	DR084_RS00840	KUD10_RS02635
OG0000513	DR084_RS02585	KUD10_RS03495
OG0000514	DR084_RS00565	KUD10_RS02935
OG0000516	DR084_RS03415, DR084_RS03410	KUD10_RS02060
OG0000517	DR084_RS02365	KUD10_RS00065
OG0000518	DR084_RS02105	KUD10_RS03175
OG0000519	DR084_RS01325	KUD10_RS00780
OG0000520	DR084_RS01450	KUD10_RS00905
OG0000521	DR084_RS00100	KUD10_RS00265
OG0000522	DR084_RS00135	KUD10_RS00300
OG0000523	DR084_RS02650	KUD10_RS03430
OG0000524	DR084_RS00735	KUD10_RS02755
OG0000525	DR084_RS03715	KUD10_RS03395
OG0000528	DR084_RS03690	KUD10_RS02065
OG0000529	DR084_RS01805	KUD10_RS02305
OG0000530	DR084_RS01870	KUD10_RS02410
OG0000531	DR084_RS01990	KUD10_RS01470
OG0000533	DR084_RS01615	KUD10_RS00605
OG0000534	DR084_RS00215	KUD10_RS00380
OG0000535	DR084_RS02345	KUD10_RS00045
OG0000536	DR084_RS02525	KUD10_RS03615
OG0000537	DR084_RS01265	KUD10_RS00720
OG0000538	DR084_RS01645	KUD10_RS01120
OG0000539	DR084_RS00050	KUD10_RS00215
OG0000540	DR084_RS00755	KUD10_RS02725
OG0000541	DR084_RS00695	KUD10_RS02800
OG0000542	DR084_RS00185	KUD10_RS00350
OG0000547	DR084_RS00515	KUD10_RS02985
OG0000548	DR084_RS00990	KUD10_RS01655
OG0000549	DR084_RS02675	KUD10_RS03385
OG0000550	DR084_RS02550	KUD10_RS03530
OG0000555	DR084_RS03090	KUD10_RS02990
OG0000596	DR084_RS02410	KUD10_RS01795
OG0000598	DR084_RS02405	KUD10_RS01800
OG0000599	DR084_RS02400	KUD10_RS01805
OG0000602	DR084_RS02680	KUD10_RS02090
