Orthogroup	MFC_MF30_genes	MHP_131B_genes
OG0000159	DR084_RS00950	NB627_RS02645
OG0000160	DR084_RS00955	NB627_RS02640
OG0000161	DR084_RS00960	NB627_RS02635
OG0000162	DR084_RS02975, DR084_RS00970	NB627_RS02625
OG0000163	DR084_RS00975	NB627_RS02620
OG0000164	DR084_RS03490	NB627_RS01735
OG0000165	DR084_RS01050	NB627_RS02080
OG0000166	DR084_RS01070	NB627_RS02100
OG0000167	DR084_RS01085	NB627_RS02115
OG0000168	DR084_RS01090	NB627_RS02120
OG0000169	DR084_RS02045	NB627_RS03235
OG0000170	DR084_RS02060	NB627_RS03255
OG0000171	DR084_RS02070	NB627_RS03265
OG0000172	DR084_RS02075	NB627_RS03270
OG0000173	DR084_RS02080	NB627_RS03275
OG0000174	DR084_RS02085	NB627_RS03280
OG0000175	DR084_RS02100	NB627_RS03295
OG0000176	DR084_RS02140	NB627_RS03350
OG0000177	DR084_RS02145	NB627_RS03355
OG0000178	DR084_RS02150	NB627_RS03365
OG0000179	DR084_RS02160	NB627_RS03370
OG0000180	DR084_RS02165	NB627_RS03375
OG0000181	DR084_RS03570	NB627_RS03415
OG0000182	DR084_RS02190	NB627_RS03425
OG0000183	DR084_RS02225	NB627_RS03460
OG0000184	DR084_RS02865	NB627_RS03505
OG0000185	DR084_RS02880	NB627_RS03490
OG0000186	DR084_RS01135	NB627_RS01655
OG0000187	DR084_RS01150	NB627_RS01670
OG0000188	DR084_RS01160	NB627_RS01680
OG0000189	DR084_RS03510	NB627_RS02465
OG0000190	DR084_RS01175	NB627_RS02460
OG0000191	DR084_RS01195	NB627_RS02435
OG0000192	DR084_RS01205	NB627_RS01335
OG0000193	DR084_RS01220	NB627_RS01315
OG0000194	DR084_RS01230	NB627_RS00800
OG0000195	DR084_RS01235	NB627_RS00805
OG0000196	DR084_RS03515	NB627_RS00830
OG0000197	DR084_RS01260	NB627_RS00840
OG0000198	DR084_RS01275	NB627_RS00850
OG0000199	DR084_RS01280	NB627_RS00855
OG0000200	DR084_RS01295	NB627_RS00875
OG0000201	DR084_RS01305	NB627_RS00880
OG0000202	DR084_RS01360	NB627_RS00940
OG0000203	DR084_RS01365	NB627_RS00945
OG0000204	DR084_RS01370	NB627_RS00950
OG0000205	DR084_RS01375	NB627_RS00955
OG0000206	DR084_RS01395	NB627_RS00975
OG0000207	DR084_RS01410	NB627_RS00990
OG0000208	DR084_RS01415	NB627_RS00995
OG0000209	DR084_RS01420	NB627_RS01000
OG0000210	DR084_RS01465	NB627_RS01045
OG0000211	DR084_RS01475	NB627_RS01055
OG0000212	DR084_RS01485	NB627_RS01065
OG0000213	DR084_RS01490	NB627_RS01070
OG0000214	DR084_RS01495	NB627_RS01075
OG0000215	DR084_RS01500	NB627_RS01080
OG0000216	DR084_RS01505	NB627_RS01085
OG0000217	DR084_RS01510	NB627_RS01090
OG0000218	DR084_RS01520	NB627_RS01100
OG0000219	DR084_RS01525	NB627_RS01105
OG0000220	DR084_RS01530	NB627_RS01110
OG0000221	DR084_RS01535	NB627_RS01115
OG0000222	DR084_RS01540	NB627_RS01120
OG0000223	DR084_RS01545	NB627_RS01125
OG0000224	DR084_RS01555	NB627_RS01135
OG0000225	DR084_RS01565	NB627_RS01145
OG0000226	DR084_RS01570	NB627_RS01150
OG0000227	DR084_RS01575	NB627_RS01155
OG0000228	DR084_RS03705	NB627_RS01160
OG0000229	DR084_RS01585	NB627_RS01165
OG0000230	DR084_RS01590	NB627_RS01170
OG0000231	DR084_RS01600	NB627_RS01180
OG0000232	DR084_RS01610	NB627_RS01190
OG0000233	DR084_RS01620	NB627_RS01210
OG0000234	DR084_RS01650	NB627_RS01245
OG0000235	DR084_RS01660	NB627_RS01255
OG0000236	DR084_RS01665	NB627_RS01260
OG0000237	DR084_RS01680	NB627_RS01265
OG0000238	DR084_RS01685	NB627_RS01270
OG0000239	DR084_RS01715	NB627_RS03130
OG0000240	DR084_RS01720	NB627_RS03135
OG0000241	DR084_RS01730	NB627_RS03145
OG0000242	DR084_RS01735	NB627_RS03150
OG0000243	DR084_RS01740	NB627_RS03155
OG0000244	DR084_RS01750	NB627_RS03165
OG0000245	DR084_RS01760	NB627_RS03175
OG0000246	DR084_RS02385	NB627_RS00140
OG0000247	DR084_RS02395	NB627_RS00150
OG0000248	DR084_RS02420	NB627_RS00160
OG0000249	DR084_RS02425	NB627_RS00165
OG0000250	DR084_RS00015	NB627_RS00180
OG0000251	DR084_RS00045	NB627_RS00215
OG0000252	DR084_RS00055	NB627_RS00220
OG0000253	DR084_RS00060	NB627_RS00225
OG0000254	DR084_RS00070	NB627_RS00235
OG0000255	DR084_RS00075	NB627_RS00240
OG0000256	DR084_RS00080	NB627_RS00245
OG0000257	DR084_RS00105	NB627_RS00270
OG0000258	DR084_RS00115	NB627_RS00280
OG0000259	DR084_RS00145	NB627_RS00310
OG0000260	DR084_RS00155	NB627_RS00320
OG0000261	DR084_RS03450	NB627_RS00330
OG0000262	DR084_RS00180	NB627_RS00360
OG0000263	DR084_RS00195	NB627_RS00375
OG0000264	DR084_RS00210	NB627_RS00395
OG0000265	DR084_RS00220	NB627_RS00400
OG0000266	DR084_RS00235	NB627_RS00415
OG0000267	DR084_RS00250	NB627_RS00430
OG0000268	DR084_RS00255	NB627_RS00530
OG0000269	DR084_RS00270	NB627_RS00545
OG0000270	DR084_RS03610	NB627_RS03700
OG0000271	DR084_RS02445	NB627_RS03690
OG0000272	DR084_RS02440	NB627_RS03685
OG0000273	DR084_RS02435	NB627_RS03680
OG0000274	DR084_RS02555	NB627_RS03665
OG0000275	DR084_RS03630	NB627_RS03655
OG0000276	DR084_RS02565	NB627_RS03650
OG0000277	DR084_RS03635	NB627_RS03640
OG0000278	DR084_RS02580	NB627_RS03635
OG0000279	DR084_RS02590	NB627_RS03625
OG0000280	DR084_RS02595	NB627_RS03620
OG0000281	DR084_RS02600	NB627_RS03615
OG0000282	DR084_RS02625	NB627_RS03590
OG0000283	DR084_RS02630	NB627_RS03585
OG0000284	DR084_RS02635	NB627_RS03580
OG0000285	DR084_RS03650	NB627_RS03575
OG0000286	DR084_RS00900	NB627_RS02605
OG0000287	DR084_RS00875	NB627_RS02705
OG0000288	DR084_RS00865	NB627_RS02715
OG0000289	DR084_RS00860	NB627_RS02720
OG0000290	DR084_RS00750	NB627_RS02840
OG0000291	DR084_RS00760	NB627_RS02825
OG0000292	DR084_RS00765	NB627_RS02820
OG0000293	DR084_RS00770	NB627_RS02815
OG0000294	DR084_RS00780	NB627_RS02805
OG0000295	DR084_RS00785	NB627_RS02800
OG0000296	DR084_RS00825	NB627_RS02755
OG0000297	DR084_RS00830	NB627_RS02750
OG0000298	DR084_RS00010	NB627_RS00175
OG0000299	DR084_RS00030	NB627_RS00195
OG0000300	DR084_RS00205	NB627_RS00385
OG0000301	DR084_RS00240	NB627_RS00420
OG0000302	DR084_RS00245	NB627_RS00425
OG0000303	DR084_RS00380	NB627_RS00670
OG0000304	DR084_RS00415	NB627_RS01195
OG0000305	DR084_RS00545	NB627_RS03070
OG0000306	DR084_RS00625	NB627_RS02995
OG0000307	DR084_RS00660	NB627_RS02955
OG0000308	DR084_RS00740	NB627_RS02855
OG0000309	DR084_RS00795	NB627_RS02790
OG0000310	DR084_RS00870	NB627_RS02710
OG0000311	DR084_RS00925	NB627_RS02665
OG0000312	DR084_RS00945	NB627_RS02650
OG0000313	DR084_RS00995	NB627_RS01725
OG0000314	DR084_RS01065	NB627_RS02095
OG0000315	DR084_RS01095	NB627_RS02125
OG0000316	DR084_RS01105	NB627_RS02135
OG0000317	DR084_RS02730	NB627_RS02235
OG0000318	DR084_RS03680	NB627_RS02155
OG0000319	DR084_RS01795	NB627_RS02390
OG0000320	DR084_RS01860	NB627_RS02530
OG0000321	DR084_RS01925	NB627_RS01455
OG0000322	DR084_RS01970	NB627_RS01510
OG0000323	DR084_RS02815	NB627_RS01640
OG0000324	DR084_RS01200	NB627_RS02430
OG0000325	DR084_RS01240	NB627_RS00815
OG0000326	DR084_RS01335	NB627_RS00910
OG0000327	DR084_RS01340	NB627_RS00915
OG0000328	DR084_RS01425	NB627_RS01005
OG0000329	DR084_RS01445	NB627_RS01025
OG0000330	DR084_RS01630	NB627_RS01220
OG0000331	DR084_RS01745	NB627_RS03160
OG0000332	DR084_RS02110	NB627_RS03305
OG0000333	DR084_RS02120	NB627_RS03315
OG0000334	DR084_RS02185	NB627_RS03420
OG0000335	DR084_RS03575	NB627_RS03430
OG0000336	DR084_RS03645	NB627_RS03605
OG0000337	DR084_RS02255	NB627_RS03780
OG0000338	DR084_RS02295	NB627_RS03820
OG0000339	DR084_RS01880	NB627_RS02500
OG0000340	DR084_RS01905	NB627_RS01435
OG0000341	DR084_RS01180	NB627_RS02455
OG0000342	DR084_RS01270	NB627_RS00845
OG0000343	DR084_RS02130	NB627_RS03325
OG0000344	DR084_RS00395	NB627_RS00685
OG0000345	DR084_RS01560	NB627_RS01140
OG0000346	DR084_RS03640	NB627_RS03610
OG0000347	DR084_RS01995	NB627_RS01535
OG0000348	DR084_RS03525	NB627_RS00920
OG0000349	DR084_RS02545	NB627_RS03670
OG0000350	DR084_RS02995	NB627_RS02945
OG0000351	DR084_RS00330	NB627_RS00600
OG0000352	DR084_RS01045	NB627_RS02075
OG0000353	DR084_RS01965	NB627_RS01500
OG0000354	DR084_RS00445	NB627_RS00745
OG0000355	DR084_RS03495	NB627_RS02050
OG0000356	DR084_RS03500	NB627_RS02130
OG0000357	DR084_RS03560	NB627_RS03285
OG0000358	DR084_RS02095	NB627_RS03290
OG0000359	DR084_RS03520	NB627_RS00890
OG0000360	DR084_RS00110	NB627_RS00275
OG0000361	DR084_RS00140	NB627_RS00305
OG0000362	DR084_RS00850	NB627_RS02730
OG0000363	DR084_RS02040	NB627_RS01575
OG0000365	DR084_RS03695	NB627_RS02180
OG0000366	DR084_RS02700	NB627_RS02200
OG0000367	DR084_RS02710	NB627_RS02215
OG0000368	DR084_RS02360	NB627_RS00060
OG0000369	DR084_RS03595	NB627_RS00025
OG0000370	DR084_RS02320	NB627_RS00020
OG0000371	DR084_RS02315	NB627_RS00015
OG0000372	DR084_RS02310	NB627_RS00010
OG0000373	DR084_RS02285	NB627_RS03810
OG0000374	DR084_RS02275	NB627_RS03800
OG0000375	DR084_RS01790	NB627_RS02385
OG0000376	DR084_RS01845	NB627_RS02545
OG0000377	DR084_RS01855	NB627_RS02535
OG0000378	DR084_RS01890	NB627_RS01415
OG0000379	DR084_RS01960	NB627_RS01495
OG0000380	DR084_RS01985	NB627_RS01525
OG0000381	DR084_RS02025	NB627_RS01565
OG0000382	DR084_RS02770	NB627_RS01595
OG0000383	DR084_RS02810	NB627_RS01635
OG0000384	DR084_RS00335	NB627_RS00625
OG0000385	DR084_RS00340	NB627_RS00630
OG0000386	DR084_RS00360	NB627_RS00650
OG0000387	DR084_RS00385	NB627_RS00675
OG0000388	DR084_RS03460	NB627_RS00680
OG0000389	DR084_RS00425	NB627_RS00725
OG0000390	DR084_RS00525	NB627_RS03090
OG0000391	DR084_RS00535	NB627_RS03080
OG0000392	DR084_RS00560	NB627_RS03055
OG0000393	DR084_RS00615	NB627_RS03000
OG0000394	DR084_RS00675	NB627_RS02920
OG0000395	DR084_RS00680	NB627_RS02915
OG0000396	DR084_RS00985	NB627_RS02610
OG0000397	DR084_RS01030	NB627_RS02060
OG0000398	DR084_RS01035	NB627_RS02065
OG0000399	DR084_RS01080	NB627_RS02110
OG0000400	DR084_RS02055	NB627_RS03250
OG0000401	DR084_RS02115	NB627_RS03310
OG0000402	DR084_RS02125	NB627_RS03320
OG0000403	DR084_RS02135	NB627_RS03330
OG0000405	DR084_RS02170	NB627_RS03380
OG0000406	DR084_RS02200	NB627_RS03435
OG0000407	DR084_RS03580	NB627_RS03440
OG0000408	DR084_RS02210	NB627_RS03445
OG0000409	DR084_RS02215	NB627_RS03450
OG0000410	DR084_RS02860	NB627_RS03515
OG0000411	DR084_RS02870	NB627_RS03500
OG0000412	DR084_RS02875	NB627_RS03495
OG0000413	DR084_RS01130	NB627_RS01650
OG0000414	DR084_RS01140	NB627_RS01660
OG0000415	DR084_RS01145	NB627_RS01665
OG0000416	DR084_RS01155	NB627_RS01675
OG0000417	DR084_RS01185	NB627_RS02450
OG0000418	DR084_RS01190	NB627_RS02440
OG0000419	DR084_RS01250	NB627_RS00825
OG0000420	DR084_RS01285	NB627_RS00860
OG0000421	DR084_RS01320	NB627_RS00900
OG0000422	DR084_RS01330	NB627_RS00905
OG0000423	DR084_RS01385	NB627_RS00965
OG0000424	DR084_RS01390	NB627_RS00970
OG0000425	DR084_RS01400	NB627_RS00980
OG0000426	DR084_RS03530	NB627_RS00985
OG0000427	DR084_RS03535	NB627_RS01010
OG0000429	DR084_RS01550	NB627_RS01130
OG0000430	DR084_RS01595	NB627_RS01175
OG0000431	DR084_RS01605	NB627_RS01185
OG0000432	DR084_RS01625	NB627_RS01215
OG0000433	DR084_RS01635	NB627_RS01230
OG0000434	DR084_RS01640	NB627_RS01235
OG0000435	DR084_RS01655	NB627_RS01250
OG0000436	DR084_RS01690	NB627_RS01275
OG0000437	DR084_RS01700	NB627_RS01285
OG0000438	DR084_RS03545	NB627_RS01290
OG0000439	DR084_RS01710	NB627_RS01295
OG0000440	DR084_RS01725	NB627_RS03140
OG0000441	DR084_RS01765	NB627_RS03185
OG0000442	DR084_RS02390	NB627_RS00145
OG0000443	DR084_RS00025	NB627_RS00190
OG0000444	DR084_RS00040	NB627_RS00205
OG0000445	DR084_RS00065	NB627_RS00230
OG0000446	DR084_RS00090	NB627_RS00255
OG0000447	DR084_RS00095	NB627_RS00260
OG0000448	DR084_RS00125	NB627_RS00290
OG0000449	DR084_RS00150	NB627_RS00315
OG0000450	DR084_RS00160	NB627_RS00325
OG0000451	DR084_RS00200	NB627_RS00380
OG0000452	DR084_RS00225	NB627_RS00405
OG0000453	DR084_RS00260	NB627_RS00535
OG0000455	DR084_RS03615	NB627_RS03715
OG0000456	DR084_RS02620	NB627_RS03595
OG0000457	DR084_RS02645	NB627_RS03565
OG0000458	DR084_RS00880	NB627_RS02700
OG0000459	DR084_RS00855	NB627_RS02725
OG0000460	DR084_RS00845	NB627_RS02735
OG0000461	DR084_RS00800	NB627_RS02780
OG0000462	DR084_RS00805	NB627_RS02775
OG0000463	DR084_RS00810	NB627_RS02770
OG0000464	DR084_RS00815	NB627_RS02765
OG0000465	DR084_RS00820	NB627_RS02760
OG0000466	DR084_RS00230	NB627_RS00410
OG0000467	DR084_RS03485	NB627_RS02865
OG0000468	DR084_RS01075	NB627_RS02105
OG0000469	DR084_RS02850	NB627_RS02165
OG0000470	DR084_RS01380	NB627_RS00960
OG0000471	DR084_RS01460	NB627_RS01040
OG0000472	DR084_RS02670	NB627_RS03520
OG0000474	DR084_RS02460	NB627_RS03705
OG0000475	DR084_RS02465	NB627_RS03710
OG0000476	DR084_RS02500	NB627_RS01685
OG0000477	DR084_RS00775	NB627_RS02810
OG0000478	DR084_RS02570	NB627_RS03645
OG0000479	DR084_RS01920	NB627_RS01450
OG0000480	DR084_RS03020	NB627_RS02170
OG0000481	DR084_RS01355	NB627_RS00935
OG0000482	DR084_RS01215	NB627_RS01320
OG0000483	DR084_RS02715	NB627_RS02220
OG0000484	DR084_RS03445	NB627_RS00200
OG0000485	DR084_RS01695	NB627_RS01280
OG0000486	DR084_RS01165	NB627_RS02470
OG0000488	DR084_RS02685	NB627_RS02185
OG0000490	DR084_RS02290	NB627_RS03815
OG0000491	DR084_RS01940	NB627_RS01470
OG0000492	DR084_RS02015	NB627_RS01555
OG0000493	DR084_RS00400	NB627_RS00690
OG0000494	DR084_RS00450	NB627_RS00750
OG0000496	DR084_RS00600	NB627_RS03015
OG0000497	DR084_RS00605	NB627_RS03010
OG0000498	DR084_RS00670	NB627_RS02925
OG0000499	DR084_RS00710	NB627_RS02890
OG0000500	DR084_RS01040	NB627_RS02070
OG0000501	DR084_RS02065	NB627_RS03260
OG0000504	DR084_RS01435	NB627_RS01015
OG0000505	DR084_RS01470	NB627_RS01050
OG0000506	DR084_RS01480	NB627_RS01060
OG0000507	DR084_RS01515	NB627_RS01095
OG0000508	DR084_RS00085	NB627_RS00250
OG0000509	DR084_RS00120	NB627_RS00285
OG0000510	DR084_RS00130	NB627_RS00300
OG0000511	DR084_RS00265	NB627_RS00540
OG0000512	DR084_RS00840	NB627_RS02740
OG0000513	DR084_RS02585	NB627_RS03630
OG0000514	DR084_RS00565	NB627_RS03050
OG0000517	DR084_RS02365	NB627_RS00065
OG0000518	DR084_RS02105	NB627_RS03300
OG0000520	DR084_RS01450	NB627_RS01035
OG0000521	DR084_RS00100	NB627_RS00265
OG0000523	DR084_RS02650	NB627_RS03560
OG0000524	DR084_RS00735	NB627_RS02860
OG0000525	DR084_RS03715	NB627_RS03525
OG0000531	DR084_RS01990	NB627_RS01530
OG0000533	DR084_RS01615	NB627_RS00710
OG0000538	DR084_RS01645	NB627_RS01240
OG0000540	DR084_RS00755	NB627_RS02830
OG0000551	DR084_RS01755	NB627_RS03170
OG0000555	DR084_RS03090	NB627_RS03105
OG0000596	DR084_RS02410	NB627_RS01870
OG0000598	DR084_RS02405	NB627_RS01875
OG0000599	DR084_RS02400	NB627_RS01880
