Orthogroup	MFC_MF30_genes	MHP_UFV02_genes
OG0000312	DR084_RS00945	FEF31_RS02200
OG0000313	DR084_RS00995	FEF31_RS01260
OG0000314	DR084_RS01065	FEF31_RS01700
OG0000315	DR084_RS01095	FEF31_RS01730
OG0000316	DR084_RS01105	FEF31_RS01740
OG0000317	DR084_RS02730	FEF31_RS01835
OG0000318	DR084_RS03680	FEF31_RS04480
OG0000319	DR084_RS01795	FEF31_RS01970
OG0000320	DR084_RS01860	FEF31_RS02095
OG0000321	DR084_RS01925	FEF31_RS00990
OG0000322	DR084_RS01970	FEF31_RS01040
OG0000323	DR084_RS02815	FEF31_RS01170
OG0000324	DR084_RS01200	FEF31_RS02010
OG0000325	DR084_RS01240	FEF31_RS00355
OG0000326	DR084_RS01335	FEF31_RS00450
OG0000327	DR084_RS01340	FEF31_RS00455
OG0000328	DR084_RS01425	FEF31_RS00540
OG0000329	DR084_RS01445	FEF31_RS00560
OG0000330	DR084_RS01630	FEF31_RS00760
OG0000331	DR084_RS01745	FEF31_RS02710
OG0000332	DR084_RS02110	FEF31_RS03680
OG0000333	DR084_RS02120	FEF31_RS03690
OG0000334	DR084_RS02185	FEF31_RS03790
OG0000335	DR084_RS03575	FEF31_RS03800
OG0000336	DR084_RS03645	FEF31_RS04620
OG0000337	DR084_RS02255	FEF31_RS03240
OG0000338	DR084_RS02295	FEF31_RS03280
OG0000339	DR084_RS01880	FEF31_RS02070
OG0000340	DR084_RS01905	FEF31_RS00970
OG0000341	DR084_RS01180	FEF31_RS02030
OG0000342	DR084_RS01270	FEF31_RS00385
OG0000343	DR084_RS02130	FEF31_RS03700
OG0000344	DR084_RS00395	FEF31_RS00235
OG0000345	DR084_RS01560	FEF31_RS00675
OG0000346	DR084_RS03640	FEF31_RS03080
OG0000347	DR084_RS01995	FEF31_RS01065
OG0000348	DR084_RS03525	FEF31_RS00460
OG0000349	DR084_RS02545	FEF31_RS04630
OG0000350	DR084_RS02995	FEF31_RS02500
OG0000351	DR084_RS00330	FEF31_RS00155
OG0000352	DR084_RS01045	FEF31_RS01680
OG0000353	DR084_RS01965	FEF31_RS01035
OG0000354	DR084_RS00445	FEF31_RS00295
OG0000355	DR084_RS03495	FEF31_RS04470
OG0000356	DR084_RS03500	FEF31_RS04475
OG0000357	DR084_RS03560	FEF31_RS04685
OG0000358	DR084_RS02095	FEF31_RS03665
OG0000359	DR084_RS03520	FEF31_RS04380
OG0000360	DR084_RS00110	FEF31_RS03545
OG0000361	DR084_RS00140	FEF31_RS03575
OG0000362	DR084_RS00850	FEF31_RS02285
OG0000363	DR084_RS02040	FEF31_RS01105
OG0000365	DR084_RS03695	FEF31_RS01785
OG0000366	DR084_RS02700	FEF31_RS01805
OG0000367	DR084_RS02710	FEF31_RS01815
OG0000368	DR084_RS02360	FEF31_RS03345
OG0000369	DR084_RS03595	FEF31_RS04650
OG0000370	DR084_RS02320	FEF31_RS03305
OG0000371	DR084_RS02315	FEF31_RS03300
OG0000372	DR084_RS02310	FEF31_RS03295
OG0000373	DR084_RS02285	FEF31_RS03270
OG0000374	DR084_RS02275	FEF31_RS03260
OG0000375	DR084_RS01790	FEF31_RS01965
OG0000376	DR084_RS01845	FEF31_RS02110
OG0000377	DR084_RS01855	FEF31_RS02100
OG0000378	DR084_RS01890	FEF31_RS00950
OG0000379	DR084_RS01960	FEF31_RS01030
OG0000380	DR084_RS01985	FEF31_RS01055
OG0000381	DR084_RS02025	FEF31_RS01095
OG0000382	DR084_RS02770	FEF31_RS01125
OG0000383	DR084_RS02810	FEF31_RS01165
OG0000384	DR084_RS00335	FEF31_RS00175
OG0000385	DR084_RS00340	FEF31_RS00180
OG0000386	DR084_RS00360	FEF31_RS00200
OG0000387	DR084_RS00385	FEF31_RS00225
OG0000388	DR084_RS03460	FEF31_RS04370
OG0000389	DR084_RS00425	FEF31_RS00275
OG0000390	DR084_RS00525	FEF31_RS02640
OG0000391	DR084_RS00535	FEF31_RS02630
OG0000392	DR084_RS00560	FEF31_RS02605
OG0000393	DR084_RS00615	FEF31_RS04550
OG0000394	DR084_RS00675	FEF31_RS02475
OG0000395	DR084_RS00680	FEF31_RS02470
OG0000396	DR084_RS00985	FEF31_RS02160
OG0000397	DR084_RS01030	FEF31_RS01665
OG0000398	DR084_RS01035	FEF31_RS01670
OG0000399	DR084_RS01080	FEF31_RS01715
OG0000400	DR084_RS02055	FEF31_RS03625
OG0000401	DR084_RS02115	FEF31_RS03685
OG0000402	DR084_RS02125	FEF31_RS03695
OG0000403	DR084_RS02135	FEF31_RS03705
OG0000404	DR084_RS03565	FEF31_RS03730
OG0000405	DR084_RS02170	FEF31_RS04800
OG0000406	DR084_RS02200	FEF31_RS03805
OG0000407	DR084_RS03580	FEF31_RS04695
OG0000408	DR084_RS02210	FEF31_RS03815
OG0000409	DR084_RS02215	FEF31_RS03820
OG0000410	DR084_RS02860	FEF31_RS02985
OG0000411	DR084_RS02870	FEF31_RS02975
OG0000412	DR084_RS02875	FEF31_RS02970
OG0000413	DR084_RS01130	FEF31_RS01180
OG0000414	DR084_RS01140	FEF31_RS01190
OG0000415	DR084_RS01145	FEF31_RS01195
OG0000416	DR084_RS01155	FEF31_RS01205
OG0000417	DR084_RS01185	FEF31_RS02025
OG0000418	DR084_RS01190	FEF31_RS02020
OG0000419	DR084_RS01250	FEF31_RS00365
OG0000420	DR084_RS01285	FEF31_RS00400
OG0000421	DR084_RS01320	FEF31_RS00435
OG0000422	DR084_RS01330	FEF31_RS00445
OG0000423	DR084_RS01385	FEF31_RS00500
OG0000424	DR084_RS01390	FEF31_RS00505
OG0000425	DR084_RS01400	FEF31_RS00515
OG0000426	DR084_RS03530	FEF31_RS04385
OG0000427	DR084_RS03535	FEF31_RS04390
OG0000428	DR084_RS01455	FEF31_RS00570
OG0000429	DR084_RS01550	FEF31_RS00665
OG0000430	DR084_RS01595	FEF31_RS00710
OG0000431	DR084_RS01605	FEF31_RS00720
OG0000432	DR084_RS01625	FEF31_RS00755
OG0000433	DR084_RS01635	FEF31_RS00770
OG0000434	DR084_RS01640	FEF31_RS00775
OG0000435	DR084_RS01655	FEF31_RS00790
OG0000436	DR084_RS01690	FEF31_RS00815
OG0000437	DR084_RS01700	FEF31_RS00825
OG0000438	DR084_RS03545	FEF31_RS00830
OG0000439	DR084_RS01710	FEF31_RS04400
OG0000440	DR084_RS01725	FEF31_RS02690
OG0000441	DR084_RS01765	FEF31_RS02725
OG0000442	DR084_RS02390	FEF31_RS03415
OG0000443	DR084_RS00025	FEF31_RS03460
OG0000444	DR084_RS00040	FEF31_RS03475
OG0000445	DR084_RS00065	FEF31_RS03500
OG0000446	DR084_RS00090	FEF31_RS03525
OG0000447	DR084_RS00095	FEF31_RS03530
OG0000448	DR084_RS00125	FEF31_RS03560
OG0000449	DR084_RS00150	FEF31_RS03585
OG0000450	DR084_RS00160	FEF31_RS03595
OG0000451	DR084_RS00200	FEF31_RS00030
OG0000452	DR084_RS00225	FEF31_RS00055
OG0000453	DR084_RS00260	FEF31_RS00090
OG0000455	DR084_RS03615	FEF31_RS03185
OG0000456	DR084_RS02620	FEF31_RS03065
OG0000457	DR084_RS02645	FEF31_RS03040
OG0000458	DR084_RS00880	FEF31_RS02255
OG0000459	DR084_RS00855	FEF31_RS02280
OG0000460	DR084_RS00845	FEF31_RS02290
OG0000461	DR084_RS00800	FEF31_RS02335
OG0000462	DR084_RS00805	FEF31_RS02330
OG0000463	DR084_RS00810	FEF31_RS02325
OG0000464	DR084_RS00815	FEF31_RS02320
OG0000465	DR084_RS00820	FEF31_RS02315
OG0000466	DR084_RS00230	FEF31_RS00060
OG0000467	DR084_RS03485	FEF31_RS04530
OG0000468	DR084_RS01075	FEF31_RS01710
OG0000469	DR084_RS02850	FEF31_RS01770
OG0000470	DR084_RS01380	FEF31_RS00495
OG0000471	DR084_RS01460	FEF31_RS00575
OG0000472	DR084_RS02670	FEF31_RS02995
OG0000473	DR084_RS02455	FEF31_RS03170
OG0000474	DR084_RS02460	FEF31_RS03175
OG0000475	DR084_RS02465	FEF31_RS03180
OG0000476	DR084_RS02500	FEF31_RS01215
OG0000477	DR084_RS00775	FEF31_RS02360
OG0000478	DR084_RS02570	FEF31_RS03115
OG0000479	DR084_RS01920	FEF31_RS00985
OG0000480	DR084_RS03020	FEF31_RS01775
OG0000481	DR084_RS01355	FEF31_RS00470
OG0000482	DR084_RS01215	FEF31_RS00865
OG0000483	DR084_RS02715	FEF31_RS01820
OG0000484	DR084_RS03445	FEF31_RS04675
OG0000485	DR084_RS01695	FEF31_RS00820
OG0000486	DR084_RS01165	FEF31_RS02045
OG0000487	DR084_RS03685	FEF31_RS04485
OG0000488	DR084_RS02685	FEF31_RS01790
OG0000489	DR084_RS02350	FEF31_RS03335
OG0000490	DR084_RS02290	FEF31_RS03275
OG0000491	DR084_RS01940	FEF31_RS01005
OG0000492	DR084_RS02015	FEF31_RS01085
OG0000493	DR084_RS00400	FEF31_RS00240
OG0000494	DR084_RS00450	FEF31_RS00300
OG0000495	DR084_RS00590	FEF31_RS02575
OG0000496	DR084_RS00600	FEF31_RS02565
OG0000497	DR084_RS00605	FEF31_RS02560
OG0000498	DR084_RS00670	FEF31_RS02480
OG0000499	DR084_RS00710	FEF31_RS02445
OG0000500	DR084_RS01040	FEF31_RS01675
OG0000502	DR084_RS01225	FEF31_RS00855
OG0000503	DR084_RS01300	FEF31_RS00415
OG0000504	DR084_RS01435	FEF31_RS00550
OG0000505	DR084_RS01470	FEF31_RS00585
OG0000506	DR084_RS01480	FEF31_RS00595
OG0000507	DR084_RS01515	FEF31_RS00630
OG0000508	DR084_RS00085	FEF31_RS03520
OG0000509	DR084_RS00120	FEF31_RS03555
OG0000510	DR084_RS00130	FEF31_RS03565
OG0000511	DR084_RS00265	FEF31_RS00095
OG0000512	DR084_RS00840	FEF31_RS02295
OG0000513	DR084_RS02585	FEF31_RS03100
OG0000514	DR084_RS00565	FEF31_RS02600
OG0000516	DR084_RS03415, DR084_RS03410	FEF31_RS04490
OG0000517	DR084_RS02365	FEF31_RS03350
OG0000518	DR084_RS02105	FEF31_RS03675
OG0000519	DR084_RS01325	FEF31_RS00440
OG0000520	DR084_RS01450	FEF31_RS00565
OG0000521	DR084_RS00100	FEF31_RS03535
OG0000522	DR084_RS00135	FEF31_RS03570
OG0000523	DR084_RS02650	FEF31_RS03035
OG0000524	DR084_RS00735	FEF31_RS02410
OG0000525	DR084_RS03715	FEF31_RS04585
OG0000528	DR084_RS03690	FEF31_RS01760
OG0000529	DR084_RS01805	FEF31_RS01980
OG0000530	DR084_RS01870	FEF31_RS02080
OG0000531	DR084_RS01990	FEF31_RS01060
OG0000533	DR084_RS01615	FEF31_RS00260
OG0000534	DR084_RS00215	FEF31_RS00045
OG0000535	DR084_RS02345	FEF31_RS04655
OG0000536	DR084_RS02525	FEF31_RS03215
OG0000537	DR084_RS01265	FEF31_RS00380
OG0000538	DR084_RS01645	FEF31_RS00780
OG0000539	DR084_RS00050	FEF31_RS03485
OG0000540	DR084_RS00755	FEF31_RS02380
OG0000541	DR084_RS00695	FEF31_RS02460
OG0000542	DR084_RS00185	FEF31_RS00015
OG0000547	DR084_RS00515	FEF31_RS02650
OG0000548	DR084_RS00990	FEF31_RS01255
OG0000549	DR084_RS02675	FEF31_RS04580
OG0000550	DR084_RS02550	FEF31_RS03135
OG0000555	DR084_RS03090	FEF31_RS02655
OG0000596	DR084_RS02410	FEF31_RS01490
OG0000598	DR084_RS02405	FEF31_RS01495
OG0000599	DR084_RS02400	FEF31_RS01500
