Orthogroup	MHP_MHP709_protein	MFC_ATCC27716_protein
OG0000249	WP_011205932.1	WP_002557755.1
OG0000250	WP_160588291.1	WP_002557756.1
OG0000251	WP_146379637.1	WP_002557757.1
OG0000252	WP_160588285.1	WP_002557760.1
OG0000253	WP_020835755.1	WP_002557761.1
OG0000254	WP_160587990.1	WP_002557763.1
OG0000255	WP_094521610.1	WP_002557766.1
OG0000256	WP_094521609.1	WP_002557767.1
OG0000257	WP_011290023.1	WP_002557768.1
OG0000258	WP_094521583.1	WP_002557769.1
OG0000259	WP_011206093.1	WP_002557771.1
OG0000260	WP_160588274.1	WP_002557773.1
OG0000261	WP_179695841.1	WP_002557774.1
OG0000262	WP_041361572.1	WP_002557775.1
OG0000263	WP_011283930.1	WP_002557778.1
OG0000264	WP_011206086.1	WP_002557779.1
OG0000265	WP_020835574.1	WP_002557780.1
OG0000266	WP_160588272.1	WP_002557781.1
OG0000267	WP_016340193.1	WP_002557782.1
OG0000268	WP_011283934.1	WP_002557783.1
OG0000269	WP_011206080.1	WP_002557784.1
OG0000270	WP_020835579.1	WP_002557785.1
OG0000271	WP_146379504.1	WP_002557786.1
OG0000272	WP_160588267.1	WP_002557791.1
OG0000273	WP_160588265.1	WP_002557792.1
OG0000274	WP_160588089.1	WP_002557793.1
OG0000275	WP_160588086.1	WP_002557794.1
OG0000276	WP_135618585.1	WP_002557796.1
OG0000277	WP_135618587.1	WP_002557797.1
OG0000278	WP_011290044.1	WP_002557798.1
OG0000279	WP_011206065.1	WP_002557799.1
OG0000280	WP_011206064.1	WP_002557800.1
OG0000281	WP_094521594.1	WP_002557801.1
OG0000282	WP_011290046.1	WP_002557802.1
OG0000283	WP_011206061.1	WP_002557803.1
OG0000284	WP_011206054.1	WP_002557810.1
OG0000285	WP_011206052.1	WP_002557811.1
OG0000286	WP_011290054.1	WP_002557813.1
OG0000287	WP_011206049.1	WP_002557814.1
OG0000288	WP_011206048.1	WP_002557815.1
OG0000289	WP_011283963.1	WP_002557816.1
OG0000290	WP_160588083.1	WP_002557817.1
OG0000291	WP_014579616.1	WP_002557819.1
OG0000292	WP_160588081.1	WP_002557820.1
OG0000293	WP_011290058.1	WP_002557822.1
OG0000294	WP_020835591.1	WP_002557823.1
OG0000295	WP_020835592.1	WP_002557824.1
OG0000296	WP_011206039.1	WP_002557825.1
OG0000297	WP_011206038.1	WP_002557826.1
OG0000298	WP_160588076.1	WP_002557827.1
OG0000299	WP_160588073.1	WP_002557831.1
OG0000300	WP_011206032.1	WP_002557832.1
OG0000301	WP_011206031.1	WP_002557833.1
OG0000302	WP_041361593.1	WP_002557834.1
OG0000303	WP_011206028.1	WP_002557835.1
OG0000304	WP_014579605.1	WP_002557836.1
OG0000305	WP_014579604.1	WP_002557837.1
OG0000306	WP_011206025.1	WP_002557838.1
OG0000307	WP_011290067.1	WP_002557839.1
OG0000308	WP_014579601.1	WP_002557840.1
OG0000309	WP_011290071.1	WP_002557842.1
OG0000310	WP_160587974.1	WP_002557843.1
OG0000311	WP_011206014.1	WP_002557845.1
OG0000312	WP_160585569.1	WP_002557846.1
OG0000313	WP_160587977.1	WP_002557848.1
OG0000314	WP_011283987.1	WP_002557849.1
OG0000315	WP_160587980.1	WP_002557850.1
OG0000316	WP_011283989.1	WP_002557851.1
OG0000317	WP_160587982.1	WP_002557855.1
OG0000318	WP_011283991.1	WP_002557856.1
OG0000319	WP_011206005.1	WP_002557857.1
OG0000320	WP_044272373.1	WP_002557860.1
OG0000321	WP_160587984.1	WP_002557861.1
OG0000322	WP_020835619.1	WP_002557862.1
OG0000323	WP_011290347.1	WP_002557863.1
OG0000324	WP_020835851.1	WP_002557864.1
OG0000325	WP_160588325.1	WP_002557865.1
OG0000326	WP_044272588.1	WP_002557866.1
OG0000327	WP_160588327.1	WP_002557867.1
OG0000328	WP_146379703.1	WP_002557868.1
OG0000329	WP_041361690.1	WP_002557870.1
OG0000330	WP_146379707.1	WP_002557872.1
OG0000331	WP_011284299.1	WP_002557873.1
OG0000332	WP_050195463.1	WP_002557875.1
OG0000333	WP_258555380.1	WP_002557876.1
OG0000334	WP_308507094.1	WP_002557877.1
OG0000335	WP_020835500.1	WP_002557881.1
OG0000336	WP_160588042.1	WP_002557884.1
OG0000337	WP_160588038.1	WP_002557886.1
OG0000338	WP_160588036.1	WP_002557888.1
OG0000339	WP_011205880.1	WP_002557890.1
OG0000340	WP_020835507.1	WP_002557891.1
OG0000341	WP_011289963.1	WP_002557892.1
OG0000342	WP_011205883.1	WP_002557893.1
OG0000343	WP_160588034.1	WP_002557894.1
OG0000344	WP_044284571.1	WP_002557895.1
OG0000345	WP_160588032.1	WP_002557896.1
OG0000346	WP_014579550.1	WP_002557898.1
OG0000347	WP_011205889.1	WP_002557899.1
OG0000348	WP_044272682.1	WP_002557900.1
OG0000349	WP_135618497.1	WP_002557901.1
OG0000350	WP_160588031.1	WP_002557902.1
OG0000351	WP_020835515.1	WP_002557903.1
OG0000352	WP_160588029.1	WP_002557904.1
OG0000353	WP_011289974.1	WP_002557905.1
OG0000354	WP_020835518.1	WP_002557906.1
OG0000355	WP_146379469.1	WP_002557907.1
OG0000356	WP_011289977.1	WP_002557908.1
OG0000357	WP_135618505.1	WP_002557909.1
OG0000358	WP_041361723.1	WP_002557911.1
OG0000359	WP_011289981.1	WP_002557912.1
OG0000360	WP_011289982.1	WP_002557913.1
OG0000361	WP_160588027.1	WP_002557914.1
OG0000362	WP_160588025.1	WP_002557915.1
OG0000363	WP_041361531.1	WP_002557919.1
OG0000364	WP_160584756.1	WP_002557921.1
OG0000365	WP_160585532.1	WP_002557922.1
OG0000366	WP_011283887.1	WP_002557925.1
OG0000367	WP_146379476.1	WP_002557927.1
OG0000368	WP_011205921.1	WP_002557928.1
OG0000369	WP_011205923.1	WP_002557930.1
OG0000370	WP_014579577.1	WP_002557932.1
OG0000371	WP_160588019.1	WP_002557933.1
OG0000372	WP_160588017.1	WP_002557935.1
OG0000373	WP_160584741.1	WP_002557936.1
OG0000374	WP_146379761.1	WP_002557941.1
OG0000375	WP_160588154.1	WP_002557945.1
OG0000376	WP_160588152.1	WP_002557946.1
OG0000377	WP_160588150.1	WP_002557947.1
OG0000378	WP_011206502.1	WP_002557948.1
OG0000379	WP_160588175.1	WP_002557950.1
OG0000380	WP_160588177.1	WP_002557951.1
OG0000381	WP_160588179.1	WP_002557952.1
OG0000382	WP_011290421.1	WP_002557954.1
OG0000383	WP_011206494.1	WP_002557956.1
OG0000384	WP_160588183.1	WP_002557959.1
OG0000385	WP_094521520.1	WP_002557960.1
OG0000386	WP_014580012.1	WP_002557961.1
OG0000387	WP_011206487.1	WP_002557963.1
OG0000388	WP_160588184.1	WP_002557964.1
OG0000389	WP_011206485.1	WP_002557965.1
OG0000390	WP_011206484.1	WP_002557966.1
OG0000391	WP_160584909.1	WP_002557967.1
OG0000392	WP_160588187.1	WP_002557968.1
OG0000393	WP_146379652.1	WP_002557972.1
OG0000394	WP_011284216.1	WP_002557978.1
OG0000395	WP_011206299.1	WP_002557980.1
OG0000396	WP_020835793.1	WP_002557981.1
OG0000397	WP_044272549.1	WP_002557984.1
OG0000398	WP_011284237.1	WP_002558003.1
OG0000399	WP_011206320.1	WP_002558005.1
OG0000400	WP_160587820.1	WP_002558006.1
OG0000401	WP_160587817.1	WP_002558007.1
OG0000402	WP_160587813.1	WP_002558009.1
OG0000403	WP_011206315.1	WP_002558010.1
OG0000404	WP_160587811.1	WP_002558012.1
OG0000405	WP_160587809.1	WP_002558013.1
OG0000406	WP_160585762.1	WP_002558017.1
OG0000407	WP_044272552.1	WP_002558018.1
OG0000408	WP_160588315.1	WP_002558019.1
OG0000409	WP_160588040.1	WP_039387485.1
OG0000410	WP_094521545.1	WP_039387487.1
OG0000411	WP_041361533.1	WP_039387496.1
OG0000412	WP_011283891.1	WP_039387501.1
OG0000413	WP_014579576.1	WP_039387504.1
OG0000414	WP_146379484.1	WP_039387509.1
OG0000415	WP_011283978.1	WP_039387510.1
OG0000416	WP_160587859.1	WP_039387514.1
OG0000417	WP_160587844.1	WP_039387525.1
OG0000418	WP_160587829.1	WP_039387531.1
OG0000419	WP_044284683.1	WP_039387535.1
OG0000420	WP_011206313.1	WP_039387539.1
OG0000421	WP_160588319.1	WP_039387544.1
OG0000422	WP_011206293.1	WP_039387548.1
OG0000423	WP_011206141.1	WP_039387554.1
OG0000424	WP_160587902.1	WP_039387562.1
OG0000425	WP_011290197.1	WP_039387569.1
OG0000426	WP_160587912.1	WP_039387574.1
OG0000427	WP_160585126.1	WP_039387578.1
OG0000428	WP_014579824.1	WP_039387592.1
OG0000429	WP_220191051.1	WP_039387594.1
OG0000430	WP_160588280.1	WP_039387606.1
OG0000431	WP_160588217.1	WP_039387609.1
OG0000432	WP_011205969.1	WP_039387610.1
OG0000433	WP_020835642.1	WP_039387613.1
OG0000434	WP_160588227.1	WP_039387619.1
OG0000435	WP_160588283.1	WP_039387626.1
OG0000436	WP_011206094.1	WP_039387628.1
OG0000437	WP_160588270.1	WP_039387636.1
OG0000438	WP_146379506.1	WP_039387638.1
OG0000439	WP_011206069.1	WP_039387641.1
OG0000440	WP_041361583.1	WP_039387644.1
OG0000441	WP_011206056.1	WP_039387648.1
OG0000442	WP_044272348.1	WP_039387651.1
OG0000443	WP_011206016.1	WP_039387658.1
OG0000444	WP_146379704.1	WP_039387665.1
OG0000445	WP_011290372.1	WP_039387681.1
OG0000446	WP_011206433.1	WP_039387683.1
OG0000447	WP_044272637.1	WP_039387693.1
OG0000448	WP_160588128.1	WP_039387695.1
OG0000449	WP_011206488.1	WP_039387704.1
OG0000450	WP_160585582.1	WP_039387707.1
OG0000451	WP_160588156.1	WP_039387713.1
OG0000452	WP_011205931.1	WP_039387719.1
OG0000453	WP_011290441.1	WP_039387722.1
OG0000454	WP_160584861.1	WP_039387723.1
OG0000455	WP_160587815.1	WP_039387750.1
OG0000456	WP_011284150.1	WP_039387763.1
OG0000457	WP_160585719.1	WP_039387775.1
OG0000458	WP_160588380.1	WP_039387777.1
OG0000459	WP_160588289.1	WP_039387782.1
OG0000460	WP_011290029.1	WP_039387785.1
OG0000461	WP_011206435.1	WP_039387808.1
OG0000462	WP_146379753.1	WP_039387817.1
OG0000463	WP_160588237.1	WP_051054268.1
OG0000464	WP_160588307.1	WP_051054279.1
OG0000465	WP_014579611.1	WP_051054304.1
OG0000466	WP_232039558.1	WP_051054328.1
OG0000467	WP_160588161.1	WP_081605276.1
OG0000468	WP_011205955.1	WP_081605280.1
OG0000469	WP_225973015.1	WP_081605285.1
OG0000470	WP_020835837.1	WP_144245598.1
OG0000471	WP_160588173.1	WP_155897264.1
OG0000472	WP_011206218.1	WP_169742226.1
OG0000473	WP_308507052.1	WP_196792421.1
OG0000474	WP_258555238.1	WP_201771011.1
OG0000475	WP_160588011.1	WP_220189978.1
OG0000476	WP_160587896.1	WP_220190833.1
OG0000477	WP_160587946.1	WP_231237857.1
OG0000478	WP_160588248.1	WP_231237861.1
OG0000479	WP_308507053.1	WP_231237863.1
OG0000480	WP_020835708.1	WP_231237866.1
OG0000481	WP_308507057.1	WP_231237867.1
OG0000482	WP_011206427.1	WP_231237871.1
OG0000483	WP_160588052.1	WP_231237872.1
OG0000484	WP_225973007.1	WP_231237877.1
OG0000485	WP_225973008.1	WP_231237879.1
OG0000486	WP_011289979.1	WP_231237880.1
OG0000487	WP_160588317.1	WP_231237889.1
OG0000488	WP_020835860.1	WP_318023899.1
OG0000489	WP_233417364.1	WP_334199004.1
OG0000491	WP_011283834.1	WP_002557466.1
OG0000492	WP_160588112.1	WP_002557475.1
OG0000493	WP_160588110.1	WP_002557476.1
OG0000494	WP_160584863.1	WP_002557481.1
OG0000495	WP_160588169.1	WP_002557491.1
OG0000496	WP_160585722.1	WP_002557529.1
OG0000497	WP_011205962.1	WP_002557546.1
OG0000498	WP_160588252.1	WP_002557550.1
OG0000499	WP_160588262.1	WP_002557556.1
OG0000500	WP_044272311.1	WP_002557572.1
OG0000501	WP_146379488.1	WP_002557584.1
OG0000502	WP_052269169.1	WP_002557592.1
OG0000503	WP_228366107.1	WP_002557605.1
OG0000504	WP_011206375.1	WP_002557624.1
OG0000505	WP_011290314.1	WP_002557639.1
OG0000506	WP_011290313.1	WP_002557640.1
OG0000507	WP_011206333.1	WP_002557649.1
OG0000508	WP_160585153.1	WP_002557673.1
OG0000509	WP_220190663.1	WP_002557705.1
OG0000510	WP_020835873.1	WP_002557717.1
OG0000512	WP_160588287.1	WP_002557759.1
OG0000513	WP_146379514.1	WP_002557809.1
OG0000514	WP_011290053.1	WP_002557812.1
OG0000515	WP_160588078.1	WP_002557821.1
OG0000516	WP_011290062.1	WP_002557828.1
OG0000517	WP_011289986.1	WP_002557920.1
OG0000518	WP_160585531.1	WP_002557923.1
OG0000519	WP_160588021.1	WP_002557926.1
OG0000520	WP_011206136.1	WP_002557934.1
OG0000522	WP_160588189.1	WP_002557970.1
OG0000523	WP_020835904.1	WP_002557971.1
OG0000524	WP_011206301.1	WP_002557982.1
OG0000525	WP_160585006.1	WP_002557985.1
OG0000526	WP_160587807.1	WP_002558014.1
OG0000527	WP_011206309.1	WP_002558016.1
OG0000528	WP_011205922.1	WP_039387498.1
OG0000529	WP_160587827.1	WP_039387533.1
OG0000530	WP_160587904.1	WP_039387564.1
OG0000531	WP_160588158.1	WP_039387714.1
OG0000532	WP_160588160.1	WP_039387715.1
OG0000533	WP_160587986.1	WP_201771017.1
OG0000537	WP_160587963.1	WP_002557588.1
OG0000538	WP_160588366.1	WP_002557696.1
OG0000539	WP_146379513.1	WP_002557806.1
OG0000540	WP_160588146.1	WP_040538380.1
OG0000542	WP_160588166.1	WP_002557493.1
OG0000543	WP_011206110.1	WP_002557841.1
OG0000545	WP_308507102.1	WP_002557598.1
OG0000546	WP_011206407.1	WP_231237875.1
OG0000548	WP_160587822.1	WP_002558004.1
OG0000549	WP_258555378.1	WP_318023896.1
OG0000550	WP_160587921.1	WP_002557449.1
OG0000605	WP_160588356.1	WP_002557987.1
OG0000619	WP_220191121.1	WP_002557988.1
OG0000620	WP_011284157.1	WP_002557994.1
OG0000624	WP_160588352.1	WP_002557700.1
OG0000625	WP_258555368.1	WP_002557992.1
OG0000626	WP_220191129.1	WP_051054290.1
OG0000630	WP_002557993.1	WP_002557993.1
OG0000638	WP_160588340.1	WP_002557939.1
