Orthogroup	MHP_ES2L_proteins	MHP_MHP650_proteins
OG0000079	WP_146379663.1	WP_160600966.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_240536634.1	WP_160600689.1
OG0000083	WP_179221128.1	WP_014579823.1
OG0000084	WP_011206222.1	WP_011284142.1
OG0000085	WP_179221131.1	WP_160601152.1
OG0000086	WP_179221132.1	WP_160601147.1
OG0000087	WP_044272477.1	WP_160601142.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_011283835.1
OG0000091	WP_179220979.1	WP_160600822.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_179220977.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_179220973.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_179221279.1	WP_146379771.1
OG0000098	WP_179221277.1	WP_160600816.1
OG0000099	WP_179221273.1	WP_160600812.1
OG0000100	WP_179221270.1	WP_160600806.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_240536650.1	WP_135619192.1
OG0000103	WP_160585202.1	WP_160601114.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011206242.1	WP_160588282.1
OG0000106	WP_160585203.1	WP_011284167.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_014579826.1	WP_160601110.1
OG0000110	WP_179221149.1	WP_160601201.1
OG0000111	WP_240536600.1	WP_258556696.1
OG0000112	WP_240536599.1	WP_258556695.1
OG0000113	WP_011206268.1	WP_160601227.1
OG0000114	WP_240536596.1	WP_258555507.1
OG0000115	WP_179221143.1	WP_011290245.1
OG0000116	WP_179221066.1	WP_160600860.1
OG0000117	WP_179221067.1	WP_160600858.1
OG0000118	WP_179221071.1	WP_011284023.1
OG0000119	WP_179221072.1	WP_160600850.1
OG0000120	WP_011284027.1	WP_160600844.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_160600842.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_146379560.1
OG0000127	WP_011205948.1	WP_011290122.1
OG0000128	WP_179221081.1	WP_160600834.1
OG0000129	WP_014579732.1	WP_160600832.1
OG0000130	WP_011284046.1	WP_160600828.1
OG0000131	WP_179221083.1	WP_146379566.1
OG0000132	WP_179221086.1	WP_094521636.1
OG0000133	WP_179221012.1	WP_011206123.1
OG0000134	WP_237697227.1	WP_308704761.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_179221021.1	WP_160584793.1
OG0000139	WP_179221023.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_160600792.1	WP_160600792.1
OG0000142	WP_179221197.1	WP_160600791.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_179221195.1	WP_160600787.1
OG0000145	WP_228365394.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_160600783.1
OG0000148	WP_179221191.1	WP_160600779.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_160600775.1
OG0000151	WP_160600765.1	WP_160600765.1
OG0000152	WP_011206348.1	WP_160600763.1
OG0000153	WP_160615699.1	WP_160600761.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_179221183.1	WP_011206337.1
OG0000156	WP_179221181.1	WP_160601028.1
OG0000157	WP_011206334.1	WP_160601030.1
OG0000158	WP_179221179.1	WP_160601032.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_011284209.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_179221156.1	WP_160600721.1
OG0000164	WP_179221094.1	WP_160601269.1
OG0000165	WP_011206200.1	WP_160600902.1
OG0000166	WP_179221120.1	WP_160600910.1
OG0000167	WP_135618846.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_160587908.1
OG0000169	WP_179221201.1	WP_002557698.1
OG0000170	WP_179221204.1	WP_011206420.1
OG0000171	WP_050195447.1	WP_050195447.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_135619059.1	WP_160600927.1
OG0000174	WP_011290369.1	WP_160600929.1
OG0000175	WP_011206429.1	WP_160588054.1
OG0000176	WP_179221225.1	WP_160600939.1
OG0000177	WP_160585273.1	WP_014579977.1
OG0000178	WP_011206441.1	WP_020835878.1
OG0000179	WP_179221227.1	WP_160600943.1
OG0000180	WP_160600945.1	WP_160600945.1
OG0000181	WP_179221235.1	WP_160601136.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_146379743.1	WP_135619119.1
OG0000185	WP_011290398.1	WP_020835897.1
OG0000186	WP_011205937.1	WP_160601247.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_160601241.1
OG0000189	WP_179221142.1	WP_160601185.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_135619204.1	WP_135619204.1
OG0000192	WP_179221288.1	WP_011284001.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_094521582.1
OG0000195	WP_011290024.1	WP_094521583.1
OG0000196	WP_179221025.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_179221026.1	WP_160600870.1
OG0000201	WP_011283934.1	WP_160600874.1
OG0000202	WP_011206073.1	WP_308704756.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_179221034.1	WP_014579633.1
OG0000205	WP_179221035.1	WP_014579632.1
OG0000206	WP_011206066.1	WP_160600886.1
OG0000207	WP_179221038.1	WP_011283951.1
OG0000208	WP_179221039.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_044284597.1
OG0000211	WP_135618610.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_160601104.1
OG0000215	WP_011206046.1	WP_011206046.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_179221043.1	WP_011206042.1
OG0000219	WP_020835591.1	WP_220200886.1
OG0000220	WP_179221044.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_179221045.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_044284599.1	WP_160601098.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_179221046.1	WP_011206031.1
OG0000228	WP_179221047.1	WP_094521599.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_179221048.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_179221050.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_044284822.1
OG0000235	WP_160587980.1	WP_020835611.1
OG0000236	WP_011283989.1	WP_160600997.1
OG0000237	WP_179221055.1	WP_160600995.1
OG0000238	WP_011206006.1	WP_160600993.1
OG0000239	WP_011206399.1	WP_160600796.1
OG0000240	WP_011206400.1	WP_011206400.1
OG0000241	WP_160585231.1	WP_011206402.1
OG0000242	WP_179221199.1	WP_160600798.1
OG0000243	WP_014579955.1	WP_011206404.1
OG0000244	WP_011206406.1	WP_160600800.1
OG0000245	WP_020835856.1	WP_011206408.1
OG0000246	WP_240536630.1	WP_050195463.1
OG0000247	WP_179220986.1	WP_160600649.1
OG0000248	WP_179221284.1	WP_160600703.1
OG0000249	WP_179220987.1	WP_160600651.1
OG0000250	WP_011289957.1	WP_011205875.1
OG0000251	WP_179220991.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_179220992.1	WP_011289964.1
OG0000254	WP_160584767.1	WP_160600665.1
OG0000255	WP_014579550.1	WP_160600667.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011283871.1
OG0000259	WP_240536633.1	WP_220200824.1
OG0000260	WP_011289982.1	WP_011283879.1
OG0000261	WP_179221000.1	WP_160600687.1
OG0000262	WP_135618519.1	WP_014579569.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011205916.1
OG0000265	WP_044284579.1	WP_160600699.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_014579577.1
OG0000268	WP_179221004.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_179221266.1	WP_160600753.1
OG0000271	WP_179221265.1	WP_160600751.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_179221264.1	WP_011206502.1
OG0000274	WP_179221261.1	WP_160600745.1
OG0000275	WP_240536623.1	WP_308704753.1
OG0000276	WP_011284368.1	WP_160600741.1
OG0000277	WP_179221259.1	WP_011206494.1
OG0000278	WP_179221258.1	WP_160600739.1
OG0000279	WP_014580014.1	WP_014580014.1
OG0000280	WP_135619140.1	WP_135619140.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_179221256.1	WP_160600735.1
OG0000283	WP_044272663.1	WP_160584907.1
OG0000284	WP_179221255.1	WP_014580008.1
OG0000285	WP_179221254.1	WP_160600733.1
OG0000286	WP_179221154.1	WP_146379652.1
OG0000287	WP_179221161.1	WP_011206297.1
OG0000288	WP_179221163.1	WP_160600959.1
OG0000289	WP_179221164.1	WP_020835793.1
OG0000290	WP_135618967.1	WP_135618967.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_179221172.1	WP_011206319.1
OG0000293	WP_179221171.1	WP_094521723.1
OG0000294	WP_179221170.1	WP_160600980.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_011206307.1	WP_160600968.1
OG0000297	WP_020835798.1	WP_011284225.1
OG0000298	WP_179220989.1	WP_160600655.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_014579572.1	WP_014579572.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_179221193.1	WP_160600785.1
OG0000306	WP_179221188.1	WP_160600769.1
OG0000307	WP_160608072.1	WP_160600759.1
OG0000308	WP_179221175.1	WP_160601043.1
OG0000309	WP_011206313.1	WP_160600978.1
OG0000310	WP_179221162.1	WP_160600957.1
OG0000311	WP_011206293.1	WP_160600729.1
OG0000312	WP_179221159.1	WP_160600725.1
OG0000313	WP_179221093.1	WP_011206141.1
OG0000314	WP_179221119.1	WP_160600908.1
OG0000315	WP_179221124.1	WP_011290197.1
OG0000316	WP_179221125.1	WP_160587912.1
OG0000317	WP_179221134.1	WP_160601140.1
OG0000318	WP_240536661.1	WP_220200854.1
OG0000319	WP_135618880.1	WP_146379629.1
OG0000320	WP_179221145.1	WP_160601193.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179221085.1	WP_135618712.1
OG0000324	WP_135618886.1	WP_011284172.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_179221031.1	WP_160600880.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_220200845.1	WP_220200845.1
OG0000329	WP_044284742.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_011206405.1
OG0000332	WP_179221219.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_160601134.1
OG0000335	WP_179221236.1	WP_160601132.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011290441.1
OG0000338	WP_011284394.1	WP_011284394.1
OG0000339	WP_179221144.1	WP_160601221.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_135618892.1	WP_160601183.1
OG0000342	WP_011290029.1	WP_258556639.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_160601077.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_240536622.1	WP_232039558.1
OG0000347	WP_179221076.1	WP_011205955.1
OG0000348	WP_179221032.1	WP_160600882.1
OG0000349	WP_179221263.1	WP_160600749.1
OG0000350	WP_240536608.1	WP_160600757.1
OG0000351	WP_179221007.1	WP_240536362.1
OG0000352	WP_011290189.1	WP_160600900.1
OG0000353	WP_179221075.1	WP_160584724.1
OG0000354	WP_237697228.1	WP_258556697.1
OG0000355	WP_020835708.1	WP_011206194.1
OG0000356	WP_240536660.1	WP_308507057.1
OG0000357	WP_240536619.1	WP_228366113.1
OG0000358	WP_135619062.1	WP_135619062.1
OG0000359	WP_240536635.1	WP_160600876.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_179220997.1	WP_160600681.1
OG0000362	WP_011206302.1	WP_160600961.1
OG0000363	WP_276310607.1	WP_308704679.1
OG0000364	WP_236607972.1	WP_220200878.1
OG0000365	WP_179221129.1	WP_160600917.1
OG0000366	WP_011206224.1	WP_160601150.1
OG0000367	WP_240536587.1	WP_220200893.1
OG0000368	WP_179220980.1	WP_160600824.1
OG0000369	WP_179220976.1	WP_160588112.1
OG0000370	WP_179220975.1	WP_160588110.1
OG0000371	WP_179220974.1	WP_160600818.1
OG0000372	WP_011205841.1	WP_160584860.1
OG0000373	WP_179221280.1	WP_160585758.1
OG0000374	WP_179221278.1	WP_160590174.1
OG0000375	WP_011206240.1	WP_011284163.1
OG0000376	WP_179221147.1	WP_160601197.1
OG0000377	WP_044284661.1	WP_011206271.1
OG0000378	WP_179221065.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_160588252.1
OG0000381	WP_179221078.1	WP_160600838.1
OG0000382	WP_179221082.1	WP_160600830.1
OG0000383	WP_179221084.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_160601065.1
OG0000385	WP_179221010.1	WP_160601067.1
OG0000386	WP_011290004.1	WP_160601071.1
OG0000387	WP_179221013.1	WP_160601073.1
OG0000388	WP_179221014.1	WP_160601075.1
OG0000390	WP_011206390.1	WP_011206390.1
OG0000391	WP_179221194.1	WP_044284693.1
OG0000392	WP_020835840.1	WP_011284277.1
OG0000393	WP_179221189.1	WP_160600771.1
OG0000394	WP_179221185.1	WP_014579921.1
OG0000395	WP_179221184.1	WP_160601235.1
OG0000396	WP_179221155.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_044284644.1
OG0000398	WP_020835709.1	WP_011206197.1
OG0000399	WP_179221122.1	WP_160600914.1
OG0000400	WP_179221203.1	WP_135619057.1
OG0000401	WP_179221220.1	WP_160600933.1
OG0000402	WP_179221221.1	WP_160600935.1
OG0000403	WP_179221222.1	WP_220200860.1
OG0000404	WP_179221226.1	WP_160600941.1
OG0000406	WP_179221237.1	WP_160601138.1
OG0000407	WP_179221238.1	WP_160601130.1
OG0000408	WP_011206457.1	WP_160601129.1
OG0000409	WP_011206458.1	WP_160601127.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_179221244.1	WP_011206467.1
OG0000412	WP_179221243.1	WP_011290399.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_179221087.1	WP_011284053.1
OG0000415	WP_179221088.1	WP_160601245.1
OG0000416	WP_011284056.1	WP_160601243.1
OG0000417	WP_179221141.1	WP_160601181.1
OG0000418	WP_240536592.1	WP_258556689.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_020835574.1	WP_160600868.1
OG0000421	WP_179221028.1	WP_011283936.1
OG0000422	WP_179221030.1	WP_160600878.1
OG0000423	WP_011206068.1	WP_011206068.1
OG0000424	WP_179221037.1	WP_011206067.1
OG0000425	WP_011283949.1	WP_160600888.1
OG0000426	WP_011283950.1	WP_160600890.1
OG0000427	WP_179221040.1	WP_135618593.1
OG0000428	WP_179221042.1	WP_011283958.1
OG0000429	WP_011206036.1	WP_160601100.1
OG0000430	WP_014579604.1	WP_014579604.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_179221051.1	WP_160601002.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_179221053.1	WP_160601000.1
OG0000435	WP_020835610.1	WP_011283987.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_160584684.1	WP_011206003.1
OG0000438	WP_179221056.1	WP_160600989.1
OG0000439	WP_179221057.1	WP_160600987.1
OG0000440	WP_160585229.1	WP_014579953.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_179220985.1	WP_160600647.1
OG0000443	WP_160600657.1	WP_160600657.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_160600663.1
OG0000446	WP_135618497.1	WP_011205891.1
OG0000447	WP_014579553.1	WP_160600671.1
OG0000448	WP_179220995.1	WP_160600675.1
OG0000449	WP_179220998.1	WP_160600683.1
OG0000450	WP_179220999.1	WP_160600685.1
OG0000451	WP_160600695.1	WP_160600695.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011283895.1	WP_160600701.1
OG0000455	WP_179221269.1	WP_160600804.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_179221253.1	WP_160600731.1
OG0000458	WP_179221160.1	WP_160600955.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_179221165.1	WP_160600962.1
OG0000461	WP_179221169.1	WP_160600976.1
OG0000462	WP_179221168.1	WP_160600974.1
OG0000463	WP_135618955.1	WP_160600972.1
OG0000465	WP_179221167.1	WP_160585762.1
OG0000466	WP_179221003.1	WP_011205922.1
OG0000467	WP_179221177.1	WP_160601040.1
OG0000468	WP_179221121.1	WP_160600912.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_179221036.1	WP_011206069.1
OG0000471	WP_014579622.1	WP_308704757.1
OG0000472	WP_179221246.1	WP_160601175.1
OG0000473	WP_179221267.1	WP_160600755.1
OG0000474	WP_011284377.1	WP_011284377.1
OG0000476	WP_179221089.1	WP_011205931.1
OG0000477	WP_011206317.1	WP_160600982.1
OG0000478	WP_011284367.1	WP_011284367.1
OG0000479	WP_179221070.1	WP_160600852.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_179221033.1	WP_160600884.1
OG0000483	WP_011206227.1	WP_160601144.1
OG0000484	WP_240536632.1	WP_160600659.1
OG0000485	WP_020835615.1	WP_160600991.1
OG0000486	WP_011290228.1	WP_160601187.1
OG0000487	WP_240536662.1	WP_220200855.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_179221281.1	WP_146379773.1
OG0000491	WP_179221073.1	WP_160600848.1
OG0000492	WP_179221077.1	WP_160600840.1
OG0000493	WP_179221015.1	WP_011206114.1
OG0000494	WP_179221022.1	WP_052259108.1
OG0000495	WP_135619008.1	WP_011284272.1
OG0000496	WP_011206375.1	WP_160600773.1
OG0000497	WP_160587850.1	WP_011206374.1
OG0000498	WP_011290314.1	WP_011206340.1
OG0000499	WP_179221180.1	WP_011206333.1
OG0000500	WP_179221117.1	WP_160600898.1
OG0000501	WP_240536614.1	WP_220200859.1
OG0000502	WP_179221058.1	WP_160590375.1
OG0000503	WP_020835576.1	WP_160600872.1
OG0000504	WP_011283955.1	WP_160600892.1
OG0000505	WP_011283961.1	WP_160601106.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_160601102.1
OG0000508	WP_179220993.1	WP_160600669.1
OG0000509	WP_179220994.1	WP_187286314.1
OG0000510	WP_160600677.1	WP_160600677.1
OG0000513	WP_011206492.1	WP_011206492.1
OG0000514	WP_179221192.1	WP_160600781.1
OG0000515	WP_240536642.1	WP_258556704.1
OG0000516	WP_179221126.1	WP_160587914.1
OG0000518	WP_179221218.1	WP_160600931.1
OG0000519	WP_179221029.1	WP_020835579.1
OG0000521	WP_020835515.1	WP_160600673.1
OG0000522	WP_179220996.1	WP_160600679.1
OG0000524	WP_179221176.1	WP_160601041.1
OG0000525	WP_179221247.1	WP_160601177.1
OG0000526	WP_240536654.1	WP_258556670.1
OG0000527	WP_240536651.1	WP_258556663.1
OG0000528	WP_179221127.1	WP_160600916.1
OG0000529	WP_179221138.1	WP_011206243.1
OG0000530	WP_011284186.1	WP_160601225.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_179221096.1	WP_258556706.1
OG0000533	WP_179221017.1	WP_011206110.1
OG0000534	WP_160600697.1	WP_160600697.1
OG0000535	WP_179220978.1	WP_160600820.1
OG0000536	WP_240536624.1	WP_160600814.1
OG0000537	WP_011290028.1	WP_011206089.1
OG0000538	WP_179221054.1	WP_160600998.1
OG0000539	WP_011205882.1	WP_160600661.1
OG0000540	WP_179221173.1	WP_160600983.1
OG0000541	WP_179221182.1	WP_371863324.1
OG0000542	WP_011289986.1	WP_160600691.1
OG0000543	WP_135618906.1	WP_160601167.1, WP_160585706.1
OG0000544	WP_240536637.1	WP_014579703.1
OG0000545	WP_094521665.1	WP_258556669.1, WP_258556667.1
OG0000546	WP_179221187.1	WP_258556622.1
OG0000547	WP_160600789.1	WP_160600789.1
OG0000548	WP_179221092.1	WP_020835662.1
OG0000549	WP_179221245.1	WP_160601173.1
OG0000550	WP_179221262.1	WP_220200832.1
OG0000552	WP_179221223.1	WP_160600937.1
OG0000553	WP_179221178.1	WP_160601038.1
OG0000554	WP_179221150.1	WP_160601203.1
OG0000556	WP_179221207.1, WP_094521569.1	WP_160601239.1
OG0000557	WP_160606544.1	WP_011205983.1
OG0000558	WP_179221059.1	WP_160601087.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011206182.1	WP_011284100.1
OG0000561	WP_179221052.1	WP_011206015.1
OG0000562	WP_179221111.1	WP_160601053.1
