Orthogroup	MFC_Ms42_proteins	MHP_UFV02_proteins
OG0000142	WP_002557603.1	WP_011284289.1
OG0000143	WP_002557607.1	WP_135619026.1
OG0000144	WP_002557609.1	WP_044272582.1
OG0000145	WP_002557611.1	WP_225972996.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_002557618.1	WP_243216296.1
OG0000149	WP_002557620.1	WP_011206379.1
OG0000150	WP_002557623.1	WP_243216288.1
OG0000151	WP_002557634.1	WP_020835828.1
OG0000152	WP_002557635.1	WP_020835827.1
OG0000153	WP_002557636.1	WP_011206347.1
OG0000154	WP_002557638.1	WP_243216280.1
OG0000155	WP_002557642.1	WP_011290311.1
OG0000156	WP_002557647.1	WP_011206335.1
OG0000157	WP_002557648.1	WP_011290309.1
OG0000158	WP_002557650.1	WP_308704549.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_011290271.1
OG0000161	WP_002557669.1	WP_011206287.1
OG0000162	WP_002557671.1	WP_044272532.1
OG0000163	WP_002557672.1	WP_243216224.1
OG0000164	WP_002557677.1	WP_160601269.1
OG0000165	WP_002557684.1	WP_011206200.1
OG0000166	WP_002557689.1	WP_011290193.1
OG0000167	WP_002557692.1	WP_011206207.1
OG0000168	WP_002557693.1	WP_233688406.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_002557704.1	WP_243234994.1, WP_020835862.1
OG0000171	WP_002557706.1	WP_011290367.1
OG0000172	WP_002557707.1	WP_011206424.1
OG0000173	WP_002557708.1	WP_243216312.1
OG0000174	WP_002557709.1	WP_011290369.1
OG0000175	WP_002557712.1	WP_011206429.1
OG0000176	WP_002557719.1	WP_243216326.1
OG0000177	WP_039387687.1	WP_233688536.1
OG0000178	WP_002557721.1	WP_011206441.1
OG0000179	WP_002557724.1	WP_179221227.1
OG0000180	WP_002557725.1	WP_160590181.1
OG0000181	WP_039387691.1	WP_020835888.1
OG0000182	WP_002557729.1	WP_011206453.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_002557740.1	WP_160585238.1
OG0000185	WP_002557743.1	WP_011206465.1
OG0000186	WP_002557750.1	WP_020835656.1
OG0000187	WP_002557753.1	WP_243216062.1
OG0000188	WP_002557755.1	WP_011205932.1
OG0000189	WP_039387623.1	WP_243216195.1
OG0000190	WP_002557757.1	WP_011206256.1
OG0000191	WP_002557761.1	WP_011206251.1
OG0000192	WP_002557763.1	WP_011205992.1
OG0000193	WP_002557766.1	WP_011283999.1
OG0000194	WP_002557768.1	WP_243215993.1
OG0000195	WP_002557769.1	WP_011283924.1
OG0000196	WP_002557774.1	WP_228729168.1
OG0000197	WP_002557775.1	WP_011206090.1
OG0000198	WP_002557778.1	WP_243215996.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_020835575.1
OG0000201	WP_002557783.1	WP_011283934.1
OG0000202	WP_002557791.1	WP_011283943.1
OG0000203	WP_002557792.1	WP_011283944.1
OG0000204	WP_002557793.1	WP_014579633.1
OG0000205	WP_002557794.1	WP_243216001.1
OG0000206	WP_002557798.1	WP_011206066.1
OG0000207	WP_002557801.1	WP_011283951.1
OG0000208	WP_002557802.1	WP_011206062.1
OG0000209	WP_002557803.1	WP_011206061.1
OG0000210	WP_002557811.1	WP_243216005.1
OG0000211	WP_002557813.1	WP_011290054.1
OG0000212	WP_002557815.1	WP_011206048.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_020835589.1
OG0000216	WP_002557819.1	WP_014579616.1
OG0000217	WP_002557820.1	WP_011206044.1
OG0000218	WP_002557822.1	WP_011290058.1
OG0000219	WP_002557823.1	WP_011206041.1
OG0000220	WP_002557824.1	WP_020835592.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_041361589.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_020835596.1
OG0000226	WP_002557832.1	WP_011206032.1
OG0000227	WP_002557833.1	WP_011290064.1
OG0000228	WP_002557834.1	WP_160608021.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_014579605.1
OG0000231	WP_002557838.1	WP_011206025.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_002557842.1	WP_011290071.1
OG0000234	WP_002557848.1	WP_044284822.1
OG0000235	WP_002557850.1	WP_243216014.1
OG0000236	WP_002557851.1	WP_011283989.1
OG0000237	WP_002557855.1	WP_243216016.1
OG0000238	WP_002557856.1	WP_011283991.1
OG0000239	WP_002557863.1	WP_011290347.1
OG0000240	WP_002557864.1	WP_020835851.1
OG0000241	WP_002557866.1	WP_135619036.1
OG0000242	WP_002557867.1	WP_243216305.1
OG0000243	WP_002557868.1	WP_011290352.1
OG0000244	WP_002557870.1	WP_041361690.1
OG0000245	WP_002557872.1	WP_020835856.1
OG0000246	WP_002557875.1	WP_232039502.1
OG0000247	WP_002557877.1	WP_243215932.1
OG0000248	WP_002557882.1	WP_014579535.1
OG0000249	WP_002557883.1	WP_243215934.1
OG0000250	WP_002557886.1	WP_243215937.1
OG0000251	WP_002557891.1	WP_014579544.1
OG0000252	WP_002557893.1	WP_011205883.1
OG0000253	WP_002557894.1	WP_011283860.1
OG0000254	WP_002557896.1	WP_014579548.1
OG0000255	WP_002557898.1	WP_044284572.1
OG0000256	WP_002557899.1	WP_011283865.1
OG0000257	WP_002557904.1	WP_011205894.1
OG0000258	WP_002557905.1	WP_011283871.1
OG0000259	WP_002557911.1	WP_243215945.1
OG0000260	WP_002557913.1	WP_243215948.1
OG0000261	WP_002557915.1	WP_243215950.1
OG0000262	WP_002557919.1	WP_135618519.1
OG0000263	WP_002557922.1	WP_011283885.1
OG0000264	WP_002557925.1	WP_011205916.1
OG0000265	WP_002557927.1	WP_243215961.1
OG0000266	WP_002557930.1	WP_011205923.1
OG0000267	WP_002557932.1	WP_014579577.1
OG0000268	WP_002557933.1	WP_011289993.1
OG0000269	WP_002557936.1	WP_011206134.1
OG0000270	WP_002557945.1	WP_243215887.1
OG0000271	WP_002557946.1	WP_135619152.1
OG0000272	WP_002557947.1	WP_243215885.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_002557951.1	WP_243215879.1
OG0000275	WP_039387710.1	WP_011206497.1
OG0000276	WP_002557954.1	WP_243234998.1
OG0000277	WP_002557956.1	WP_011206494.1
OG0000278	WP_002557957.1	WP_011206493.1
OG0000279	WP_002557959.1	WP_243215875.1
OG0000280	WP_002557960.1	WP_044284728.1
OG0000281	WP_002557961.1	WP_081430772.1
OG0000282	WP_002557964.1	WP_243215874.1
OG0000283	WP_002557965.1	WP_044272663.1
OG0000284	WP_002557966.1	WP_011206484.1
OG0000285	WP_002557967.1	WP_243215870.1
OG0000286	WP_002557972.1	WP_146379652.1
OG0000287	WP_002557978.1	WP_243216240.1
OG0000288	WP_002557980.1	WP_160600959.1
OG0000289	WP_002557981.1	WP_243216242.1
OG0000290	WP_002558003.1	WP_243216258.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_243216256.1
OG0000293	WP_002558007.1	WP_243216254.1
OG0000294	WP_002558009.1	WP_243216251.1
OG0000295	WP_002558010.1	WP_243216250.1
OG0000296	WP_002558018.1	WP_233688476.1
OG0000297	WP_002558019.1	WP_011206306.1
OG0000298	WP_039387485.1	WP_243215936.1
OG0000299	WP_039387487.1	WP_011205878.1
OG0000300	WP_039387496.1	WP_014579572.1
OG0000301	WP_039387501.1	WP_011283891.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_039387509.1	WP_011206118.1
OG0000304	WP_039387510.1	WP_011283978.1
OG0000305	WP_039387514.1	WP_044272575.1
OG0000306	WP_039387523.1	WP_243216282.1
OG0000307	WP_039387525.1	WP_044284687.1
OG0000308	WP_039387535.1	WP_243216263.1
OG0000309	WP_039387539.1	WP_243216248.1
OG0000310	WP_039387544.1	WP_160606445.1
OG0000311	WP_039387548.1	WP_011206293.1
OG0000312	WP_039387550.1	WP_041361671.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_039387562.1	WP_094521675.1
OG0000315	WP_039387569.1	WP_243216153.1
OG0000316	WP_039387574.1	WP_014579818.1
OG0000317	WP_039387578.1	WP_011290211.1
OG0000318	WP_039387594.1	WP_243216157.1
OG0000319	WP_236681771.1	WP_146379629.1
OG0000320	WP_039387609.1	WP_243216204.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_020835642.1
OG0000323	WP_039387619.1	WP_135618712.1
OG0000324	WP_039387626.1	WP_243216187.1
OG0000325	WP_039387628.1	WP_243215994.1
OG0000326	WP_039387636.1	WP_243216000.1
OG0000327	WP_039387638.1	WP_011206076.1
OG0000328	WP_039387644.1	WP_011206060.1
OG0000329	WP_039387648.1	WP_225973017.1
OG0000330	WP_039387658.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_011206405.1
OG0000332	WP_039387681.1	WP_011290372.1
OG0000333	WP_039387683.1	WP_011206433.1
OG0000334	WP_039387693.1	WP_160601134.1
OG0000335	WP_039387695.1	WP_243216335.1
OG0000336	WP_039387704.1	WP_011284361.1
OG0000337	WP_039387722.1	WP_011206520.1
OG0000338	WP_039387723.1	WP_243215903.1
OG0000339	WP_039387775.1	WP_243216236.1
OG0000340	WP_039387777.1	WP_011205973.1
OG0000341	WP_039387782.1	WP_243216193.1
OG0000342	WP_039387785.1	WP_011290029.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_243215977.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_051054328.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_243216053.1
OG0000348	WP_081605285.1	WP_160600882.1
OG0000349	WP_155897264.1	WP_243215882.1
OG0000350	WP_201771011.1	WP_228366105.1
OG0000351	WP_220189978.1	WP_233688626.1
OG0000352	WP_002557683.1	WP_243216148.1
OG0000353	WP_002557547.1	WP_044284615.1
OG0000354	WP_002557591.1	WP_237697228.1
OG0000355	WP_231237866.1	WP_243216143.1
OG0000356	WP_231237867.1	WP_243234974.1
OG0000357	WP_002557710.1	WP_011206427.1
OG0000358	WP_231237872.1	WP_243216314.1
OG0000359	WP_236681774.1	WP_243234960.1
OG0000360	WP_231237879.1	WP_228365406.1
OG0000361	WP_231237880.1	WP_243215944.1
OG0000362	WP_231237889.1	WP_011206302.1
OG0000363	WP_323749062.1	WP_269076322.1
OG0000365	WP_002557448.1	WP_243216163.1
OG0000366	WP_002557453.1	WP_146379594.1
OG0000367	WP_002557455.1	WP_220190703.1
OG0000368	WP_002557467.1	WP_011283833.1
OG0000369	WP_039387473.1	WP_243215913.1
OG0000370	WP_002557476.1	WP_135618444.1
OG0000371	WP_002557477.1	WP_243215911.1
OG0000372	WP_236681780.1	WP_243215909.1
OG0000373	WP_002557482.1	WP_243215901.1
OG0000374	WP_002557484.1	WP_243215899.1
OG0000375	WP_002557511.1	WP_135618878.1
OG0000376	WP_002557524.1	WP_243216206.1
OG0000377	WP_002557526.1	WP_011206271.1
OG0000378	WP_002557533.1	WP_179221065.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_002557550.1	WP_233688710.1
OG0000381	WP_002557558.1	WP_243216055.1
OG0000382	WP_002557564.1	WP_243216060.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_002557571.1	WP_041361727.1
OG0000385	WP_002557572.1	WP_243215971.1
OG0000386	WP_002557576.1	WP_011290004.1
OG0000387	WP_002557580.1	WP_243215975.1
OG0000388	WP_002557581.1	WP_243215976.1
OG0000389	WP_002557589.1	WP_243215983.1
OG0000390	WP_002557608.1	WP_011290340.1
OG0000391	WP_002557610.1	WP_044272578.1
OG0000392	WP_002557615.1	WP_243216301.1
OG0000393	WP_002557627.1	WP_243216285.1
OG0000394	WP_002557640.1	WP_011290313.1
OG0000395	WP_002557641.1	WP_243216274.1
OG0000396	WP_002557673.1	WP_160585153.1
OG0000397	WP_002557680.1	WP_243216145.1
OG0000398	WP_002557681.1	WP_243216146.1
OG0000399	WP_002557691.1	WP_160600914.1
OG0000400	WP_002557703.1	WP_243216310.1
OG0000401	WP_002557714.1	WP_135619070.1
OG0000402	WP_002557715.1	WP_243216318.1
OG0000403	WP_002557717.1	WP_243216321.1
OG0000404	WP_039387689.1	WP_243216329.1
OG0000405	WP_002557726.1	WP_243216331.1
OG0000406	WP_002557731.1	WP_014579989.1
OG0000407	WP_039387697.1	WP_243216339.1
OG0000408	WP_002557733.1	WP_044284717.1
OG0000409	WP_002557734.1	WP_011206458.1
OG0000410	WP_002557739.1	WP_011206469.1
OG0000411	WP_002557741.1	WP_146379742.1
OG0000412	WP_002557742.1	WP_011290399.1
OG0000413	WP_002557749.1	WP_243216061.1
OG0000414	WP_002557751.1	WP_011290131.1
OG0000415	WP_002557752.1	WP_020835657.1
OG0000416	WP_002557754.1	WP_160601243.1
OG0000417	WP_002557759.1	WP_243216192.1
OG0000418	WP_002557760.1	WP_243216189.1
OG0000419	WP_002557773.1	WP_011206092.1
OG0000420	WP_002557780.1	WP_020835574.1
OG0000421	WP_002557784.1	WP_011290034.1
OG0000422	WP_002557786.1	WP_243215999.1
OG0000423	WP_002557796.1	WP_011206068.1
OG0000424	WP_002557797.1	WP_011206067.1
OG0000425	WP_002557799.1	WP_011206065.1
OG0000426	WP_002557800.1	WP_011283950.1
OG0000427	WP_002557805.1	WP_011283954.1
OG0000428	WP_002557810.1	WP_243216004.1
OG0000429	WP_002557828.1	WP_011206036.1
OG0000430	WP_002557837.1	WP_243216006.1
OG0000431	WP_002557839.1	WP_146379524.1
OG0000432	WP_002557843.1	WP_243216010.1
OG0000433	WP_002557845.1	WP_011206014.1
OG0000434	WP_002557846.1	WP_233688674.1
OG0000435	WP_002557849.1	WP_020835610.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_002557860.1	WP_233688689.1
OG0000438	WP_002557861.1	WP_243216021.1
OG0000439	WP_002557862.1	WP_243216023.1
OG0000440	WP_002557865.1	WP_243216303.1
OG0000441	WP_236681776.1	WP_020835857.1
OG0000442	WP_002557876.1	WP_243215931.1
OG0000443	WP_002557888.1	WP_243215940.1
OG0000444	WP_002557890.1	WP_011205880.1
OG0000445	WP_002557895.1	WP_044284571.1
OG0000446	WP_002557901.1	WP_233688612.1
OG0000447	WP_002557902.1	WP_243215941.1
OG0000448	WP_002557907.1	WP_011283873.1
OG0000449	WP_002557912.1	WP_243215947.1
OG0000450	WP_002557914.1	WP_160600685.1
OG0000451	WP_002557923.1	WP_243215959.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_002557934.1	WP_243215963.1
OG0000455	WP_002557941.1	WP_243215890.1
OG0000456	WP_002557963.1	WP_011206487.1
OG0000457	WP_002557968.1	WP_243215868.1
OG0000458	WP_002557977.1	WP_179221160.1
OG0000459	WP_002557982.1	WP_014579890.1
OG0000460	WP_002557984.1	WP_011206303.1
OG0000461	WP_039387541.1	WP_243216245.1
OG0000462	WP_002558013.1	WP_011284228.1
OG0000463	WP_002558014.1	WP_011206310.1
OG0000464	WP_002558016.1	WP_011206309.1
OG0000465	WP_002558017.1	WP_233688477.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000467	WP_039387531.1	WP_243234991.1
OG0000468	WP_039387564.1	WP_243216151.1
OG0000469	WP_039387592.1	WP_014579824.1
OG0000470	WP_039387641.1	WP_243216002.1
OG0000471	WP_039387651.1	WP_094521595.1
OG0000472	WP_039387700.1	WP_243215853.1
OG0000473	WP_039387713.1	WP_243215889.1
OG0000474	WP_039387714.1	WP_011284377.1
OG0000475	WP_039387715.1	WP_044889046.1
OG0000476	WP_039387719.1	WP_243216064.1
OG0000477	WP_039387750.1	WP_243216252.1
OG0000478	WP_039387817.1	WP_243215877.1
OG0000479	WP_051054268.1	WP_243216050.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_002557790.1	WP_160600884.1
OG0000482	WP_201771017.1	WP_014579695.1
OG0000483	WP_236681784.1	WP_011206227.1
OG0000484	WP_231237877.1	WP_233688609.1
OG0000485	WP_039387661.1	WP_243216018.1
OG0000486	WP_236681773.1	WP_243216198.1
OG0000487	WP_052234586.1	WP_243234975.1
OG0000488	WP_002557450.1	WP_020835728.1
OG0000489	WP_002557469.1	WP_243215919.1
OG0000490	WP_002557481.1	WP_243215902.1
OG0000491	WP_002557542.1	WP_011205966.1
OG0000492	WP_002557556.1	WP_160607802.1
OG0000493	WP_002557584.1	WP_179221015.1
OG0000494	WP_002557592.1	WP_052259108.1
OG0000495	WP_002557622.1	WP_243216290.1
OG0000496	WP_002557624.1	WP_011284271.1
OG0000497	WP_002557625.1	WP_014579936.1
OG0000498	WP_002557639.1	WP_011290314.1
OG0000499	WP_002557649.1	WP_011206333.1
OG0000500	WP_002557682.1	WP_243216147.1
OG0000502	WP_002557767.1	WP_243216028.1
OG0000503	WP_002557782.1	WP_020835576.1
OG0000504	WP_002557806.1	WP_088764595.1
OG0000505	WP_002557812.1	WP_011290053.1
OG0000506	WP_002557814.1	WP_011206049.1
OG0000507	WP_002557821.1	WP_020835590.1
OG0000508	WP_002557900.1	WP_233688611.1
OG0000509	WP_002557906.1	WP_193325077.1
OG0000510	WP_002557908.1	WP_011289977.1
OG0000511	WP_002557935.1	WP_011206135.1
OG0000512	WP_002557985.1	WP_011206304.1
OG0000513	WP_039387707.1	WP_243215876.1
OG0000514	WP_039387516.1	WP_243216299.1
OG0000516	WP_002557444.1	WP_011206214.1
OG0000517	WP_002557466.1	WP_011283834.1
OG0000518	WP_002557713.1	WP_243216317.1
OG0000519	WP_002557785.1	WP_135618573.1
OG0000520	WP_002557809.1	WP_243216003.1
OG0000521	WP_002557903.1	WP_243235002.1
OG0000522	WP_002557909.1	WP_243215943.1
OG0000523	WP_002557969.1	WP_243215866.1
OG0000524	WP_039387533.1	WP_243216266.1
OG0000528	WP_002557445.1	WP_243216161.1
OG0000529	WP_002557515.1	WP_011206243.1
OG0000530	WP_002557529.1	WP_011284186.1
OG0000531	WP_002557551.1	WP_011205956.1
OG0000532	WP_002557598.1	WP_243216074.1
OG0000533	WP_002557841.1	WP_179221017.1
OG0000534	WP_002557926.1	WP_160600697.1
OG0000535	WP_002557470.1	WP_160588116.1
OG0000536	WP_002557493.1	WP_243215896.1
OG0000537	WP_002557776.1	WP_011206089.1
OG0000538	WP_002557847.1	WP_243216013.1
OG0000539	WP_002557892.1	WP_160600661.1
OG0000540	WP_002558004.1	WP_243216257.1
OG0000541	WP_002557646.1	WP_243216273.1
OG0000542	WP_002557920.1	WP_044284771.1
OG0000547	WP_002557606.1	WP_020835845.1
OG0000548	WP_002557674.1	WP_243216071.1
OG0000549	WP_002557744.1	WP_243234997.1
OG0000550	WP_002557950.1	WP_243234999.1
OG0000555	WP_002557605.1	WP_228366107.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_002557700.1	WP_020835859.1
OG0000596	WP_002557880.1	WP_243216115.1
OG0000597	WP_051054290.1	WP_243216307.1
OG0000598	WP_002557879.1	WP_243216116.1
OG0000599	WP_039387482.1	WP_011206170.1
