Orthogroup	MFC_Ms42_proteins	MHP_KM014_proteins
OG0000304	WP_039387510.1	WP_094521601.1
OG0000305	WP_039387514.1	WP_094521738.1
OG0000306	WP_039387523.1	WP_094521734.1
OG0000307	WP_039387525.1	WP_011206346.1
OG0000308	WP_039387535.1	WP_157696721.1
OG0000309	WP_039387539.1	WP_011206313.1
OG0000310	WP_039387544.1	WP_094521718.1
OG0000311	WP_039387548.1	WP_011206293.1
OG0000312	WP_039387550.1	WP_094521778.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_039387562.1	WP_094521675.1
OG0000315	WP_039387569.1	WP_011206209.1
OG0000316	WP_039387574.1	WP_094521679.1
OG0000317	WP_039387578.1	WP_094521685.1
OG0000318	WP_039387594.1	WP_094521775.1
OG0000319	WP_236681771.1	WP_094521690.1
OG0000320	WP_039387609.1	WP_094521702.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_011205960.1
OG0000323	WP_039387619.1	WP_094521770.1
OG0000324	WP_039387626.1	WP_094521693.1
OG0000325	WP_039387628.1	WP_011206094.1
OG0000326	WP_039387636.1	WP_094521590.1
OG0000327	WP_039387638.1	WP_011206076.1
OG0000328	WP_039387644.1	WP_011290047.1
OG0000329	WP_039387648.1	WP_044284742.1
OG0000330	WP_039387658.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_094521743.1
OG0000332	WP_039387681.1	WP_011290372.1
OG0000333	WP_039387683.1	WP_011206433.1
OG0000334	WP_039387693.1	WP_094521511.1
OG0000335	WP_039387695.1	WP_041361699.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_039387722.1	WP_094521528.1
OG0000338	WP_039387723.1	WP_094521531.1
OG0000339	WP_039387775.1	WP_094521699.1
OG0000340	WP_039387777.1	WP_011205973.1
OG0000341	WP_039387782.1	WP_011284176.1
OG0000342	WP_039387785.1	WP_094521586.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_094521577.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_051054328.1	WP_041361706.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_081605285.1	WP_014579636.1
OG0000349	WP_155897264.1	WP_094521522.1
OG0000350	WP_201771011.1	WP_094521782.1
OG0000351	WP_220189978.1	WP_094521571.1
OG0000352	WP_002557683.1	WP_094521673.1
OG0000353	WP_002557547.1	WP_094521626.1
OG0000354	WP_002557591.1	WP_094521580.1
OG0000355	WP_231237866.1	WP_011284115.1
OG0000356	WP_231237867.1	WP_094521678.1
OG0000357	WP_002557710.1	WP_094521501.1
OG0000358	WP_231237872.1	WP_094521502.1
OG0000359	WP_236681774.1	WP_094521589.1
OG0000360	WP_231237879.1	WP_094521548.1
OG0000361	WP_231237880.1	WP_094521549.1
OG0000362	WP_231237889.1	WP_094521719.1
OG0000363	WP_323749062.1	WP_094521632.1
OG0000369	WP_039387473.1	WP_094521533.1
OG0000370	WP_002557476.1	WP_044272260.1
OG0000378	WP_002557533.1	WP_094521620.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_002557550.1	WP_094521769.1
OG0000381	WP_002557558.1	WP_094521630.1
OG0000385	WP_002557572.1	WP_094521574.1
OG0000389	WP_002557589.1	WP_094521579.1
OG0000394	WP_002557640.1	WP_094521728.1
OG0000396	WP_002557673.1	WP_094521715.1
OG0000403	WP_002557717.1	WP_094521503.1
OG0000404	WP_039387689.1	WP_094521507.1
OG0000405	WP_002557726.1	WP_094521755.1
OG0000409	WP_002557734.1	WP_011206458.1
OG0000412	WP_002557742.1	WP_011290399.1
OG0000417	WP_002557759.1	WP_094521694.1
OG0000428	WP_002557810.1	WP_011283958.1
OG0000429	WP_002557828.1	WP_011206036.1
OG0000430	WP_002557837.1	WP_094521600.1
OG0000434	WP_002557846.1	WP_157696710.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_002557860.1	WP_011206003.1
OG0000441	WP_236681776.1	WP_094521745.1
OG0000451	WP_002557923.1	WP_094521553.1
OG0000453	WP_002557934.1	WP_011283895.1
OG0000457	WP_002557968.1	WP_094521517.1
OG0000459	WP_002557982.1	WP_014579890.1
OG0000463	WP_002558014.1	WP_094521721.1
OG0000464	WP_002558016.1	WP_094521720.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000468	WP_039387564.1	WP_094521677.1
OG0000471	WP_039387651.1	WP_094521595.1
OG0000473	WP_039387713.1	WP_094521525.1
OG0000474	WP_039387714.1	WP_011284377.1
OG0000475	WP_039387715.1	WP_094521526.1
OG0000482	WP_201771017.1	WP_094521611.1
OG0000485	WP_039387661.1	WP_094521607.1
OG0000486	WP_236681773.1	WP_094521696.1
OG0000487	WP_052234586.1	WP_157696720.1
OG0000488	WP_002557450.1	WP_094521682.1
OG0000489	WP_002557469.1	WP_094521534.1
OG0000491	WP_002557542.1	WP_011205966.1
OG0000492	WP_002557556.1	WP_094521628.1
OG0000495	WP_002557622.1	WP_094521735.1
OG0000502	WP_002557767.1	WP_094521609.1
OG0000504	WP_002557806.1	WP_094521766.1
OG0000506	WP_002557814.1	WP_011206049.1
OG0000508	WP_002557900.1	WP_094521758.1
OG0000517	WP_002557466.1	WP_011283834.1
OG0000519	WP_002557785.1	WP_020835579.1
OG0000520	WP_002557809.1	WP_011283957.1
OG0000523	WP_002557969.1	WP_094521516.1
OG0000529	WP_002557515.1	WP_014579831.1
OG0000530	WP_002557529.1	WP_011284186.1
OG0000531	WP_002557551.1	WP_157696712.1
OG0000537	WP_002557776.1	WP_094521585.1
OG0000538	WP_002557847.1	WP_094521604.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_002557700.1	WP_094521746.1
OG0000597	WP_051054290.1	WP_094521784.1
