Orthogroup	MHP_153B_proteins	MHP_F72C_proteins
OG0000242	WP_020835854.1	WP_146379702.1
OG0000243	WP_160608089.1	WP_146379703.1
OG0000244	WP_041361690.1	WP_146379705.1
OG0000245	WP_404924010.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_146379457.1	WP_146379457.1
OG0000248	WP_404924202.1	WP_146379774.1
OG0000249	WP_404924064.1	WP_146379458.1
OG0000250	WP_404924066.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_146379462.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_404924069.1	WP_146379464.1
OG0000254	WP_404924070.1	WP_146379465.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_146379775.1	WP_225973009.1
OG0000260	WP_011289982.1	WP_146379471.1
OG0000261	WP_404924075.1	WP_146379473.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_160606511.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_404924077.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_146379477.1
OG0000268	WP_404924078.1	WP_146379478.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_404924047.1	WP_146379759.1
OG0000271	WP_404924046.1	WP_020835915.1
OG0000272	WP_404912074.1	WP_146379758.1
OG0000273	WP_011206502.1	WP_146379757.1
OG0000274	WP_404924044.1	WP_011290423.1
OG0000275	WP_011290422.1	WP_225973001.1
OG0000276	WP_160600741.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_146379752.1
OG0000279	WP_404924043.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_094521520.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_404924041.1	WP_146379750.1
OG0000283	WP_044272663.1	WP_014580009.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_404924039.1	WP_011290413.1
OG0000286	WP_404923971.1	WP_146379652.1
OG0000287	WP_146379659.1	WP_146379659.1
OG0000288	WP_348571747.1	WP_146379661.1
OG0000289	WP_404923975.1	WP_020835793.1
OG0000290	WP_404923983.1	WP_146379672.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_160585667.1	WP_146379670.1
OG0000293	WP_020835805.1	WP_020835805.1
OG0000294	WP_404923981.1	WP_146379669.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_044272552.1	WP_041361673.1
OG0000297	WP_160608046.1	WP_146379664.1
OG0000298	WP_135618474.1	WP_146379460.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_220190741.1	WP_220190741.1
OG0000305	WP_404924005.1	WP_020835841.1
OG0000306	WP_404924000.1	WP_146379686.1
OG0000307	WP_020835826.1	WP_135618990.1
OG0000308	WP_404911934.1	WP_146379674.1
OG0000309	WP_404923979.1	WP_146379668.1
OG0000310	WP_011206298.1	WP_146379660.1
OG0000311	WP_160606809.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_020835716.1	WP_146379607.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_404911774.1	WP_014579818.1
OG0000317	WP_146379589.1	WP_146379589.1
OG0000318	WP_404924185.1	WP_220200854.1
OG0000319	WP_044272490.1	WP_146379629.1
OG0000320	WP_404923961.1	WP_146379643.1
OG0000321	WP_404924126.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_404924138.1	WP_146379567.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924096.1	WP_146379505.1
OG0000327	WP_404924095.1	WP_146379506.1
OG0000328	WP_041361583.1	WP_225973016.1
OG0000329	WP_011206056.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_041361688.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_044272637.1	WP_044272637.1
OG0000335	WP_404924029.1	WP_146379731.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_404923957.1	WP_146379639.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_011290226.1	WP_146379636.1
OG0000342	WP_011290029.1	WP_146379499.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160606838.1	WP_146379487.1
OG0000345	WP_014579611.1	WP_146379521.1
OG0000346	WP_232039558.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_225973015.1
OG0000349	WP_404924045.1	WP_146379756.1
OG0000350	WP_404923995.1	WP_146379684.1
OG0000351	WP_404924081.1	WP_146379480.1
OG0000352	WP_404924181.1	WP_146379609.1
OG0000353	WP_404924130.1	WP_146379556.1
OG0000354	WP_404924102.1	WP_225973014.1
OG0000355	WP_404924179.1	WP_011206194.1
OG0000356	WP_404924184.1	WP_225973042.1
OG0000357	WP_404924018.1	WP_011206427.1
OG0000358	WP_404924019.1	WP_146379720.1
OG0000359	WP_404924097.1	WP_192894285.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_094521719.1	WP_011290282.1
OG0000363	WP_233417364.1	WP_233417364.1
OG0000364	WP_404924178.1	WP_225972967.1
OG0000365	WP_404924188.1	WP_146379598.1
OG0000366	WP_011206224.1	WP_146379594.1
OG0000367	WP_225973040.1	WP_225973040.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_011205844.1	WP_146379444.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_146379443.1
OG0000372	WP_160584860.1	WP_146379442.1
OG0000373	WP_404924057.1	WP_146379772.1
OG0000374	WP_404924055.1	WP_146379770.1
OG0000375	WP_011284163.1	WP_146379628.1
OG0000376	WP_404923964.1	WP_146379646.1
OG0000377	WP_404923962.1	WP_146379644.1
OG0000378	WP_020835632.1	WP_146379548.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924131.1	WP_146379558.1
OG0000381	WP_404924134.1	WP_146379561.1
OG0000382	WP_404924137.1	WP_146379565.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_404924084.1	WP_146379485.1
OG0000388	WP_179221014.1	WP_146379486.1
OG0000389	WP_011290013.1	WP_146379493.1
OG0000390	WP_011290340.1	WP_146379695.1
OG0000391	WP_020835843.1	WP_146379693.1
OG0000392	WP_404924004.1	WP_020835840.1
OG0000393	WP_404924001.1	WP_146379687.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_404923992.1	WP_146379682.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_404924180.1	WP_146379611.1
OG0000399	WP_404924183.1	WP_146379605.1
OG0000400	WP_243216310.1	WP_146379715.1
OG0000401	WP_404924021.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_020835872.1
OG0000403	WP_404924022.1	WP_192894281.1
OG0000405	WP_404924026.1	WP_081642900.1
OG0000406	WP_404924030.1	WP_146379732.1
OG0000407	WP_011290391.1	WP_146379733.1
OG0000408	WP_011206457.1	WP_146379734.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_404924035.1	WP_146379742.1
OG0000412	WP_146379741.1	WP_146379741.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_404924139.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_160585790.1	WP_146379635.1
OG0000418	WP_404923952.1	WP_225972976.1
OG0000419	WP_404924100.1	WP_020835572.1
OG0000420	WP_146379500.1	WP_146379500.1
OG0000421	WP_011290034.1	WP_146379503.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_404924094.1	WP_146379510.1
OG0000424	WP_011290043.1	WP_146379511.1
OG0000425	WP_404924093.1	WP_044277967.1
OG0000426	WP_404924092.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_146379512.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_050195474.1	WP_146379523.1
OG0000431	WP_146379524.1	WP_146379524.1
OG0000432	WP_404924108.1	WP_146379529.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_146379531.1
OG0000435	WP_404924110.1	WP_146379534.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_404924114.1	WP_044272373.1
OG0000438	WP_404924115.1	WP_146379539.1
OG0000439	WP_044272377.1	WP_044272377.1
OG0000440	WP_160588325.1	WP_146379701.1
OG0000441	WP_404924011.1	WP_011284299.1
OG0000442	WP_160607726.1	WP_146379456.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_146379467.1	WP_146379467.1
OG0000447	WP_404924071.1	WP_044284573.1
OG0000448	WP_146379469.1	WP_146379469.1
OG0000449	WP_011289981.1	WP_146379470.1
OG0000450	WP_404924074.1	WP_146379472.1
OG0000451	WP_044272294.1	WP_011205913.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_404924079.1	WP_011283895.1
OG0000455	WP_347952324.1	WP_146379761.1
OG0000456	WP_404924042.1	WP_011206487.1
OG0000457	WP_404924201.1	WP_146379749.1
OG0000458	WP_160588321.1	WP_146379658.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_348602552.1	WP_044272549.1
OG0000461	WP_404924197.1	WP_146379667.1
OG0000462	WP_011284228.1	WP_011284228.1
OG0000463	WP_404923977.1	WP_146379666.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_146379665.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404923988.1	WP_146379676.1
OG0000468	WP_160585598.1	WP_146379606.1
OG0000469	WP_404924187.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_192894286.1
OG0000471	WP_044272348.1	WP_044272348.1
OG0000472	WP_404924036.1	WP_146379745.1
OG0000473	WP_020835917.1	WP_020835917.1
OG0000474	WP_041361711.1	WP_041361711.1
OG0000475	WP_404924048.1	WP_146379760.1
OG0000476	WP_404924140.1	WP_011205931.1
OG0000477	WP_135618962.1	WP_135618962.1
OG0000478	WP_011284367.1	WP_146379753.1
OG0000479	WP_404924190.1	WP_146379554.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_404924117.1	WP_146379541.1
OG0000483	WP_347952210.1	WP_146379591.1
OG0000484	WP_135618485.1	WP_225973007.1
OG0000485	WP_020835615.1	WP_146379538.1
OG0000486	WP_160585249.1	WP_011290228.1
OG0000487	WP_404924186.1	WP_225973041.1
OG0000488	WP_020835728.1	WP_146379596.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_146379773.1	WP_146379773.1
OG0000491	WP_404924128.1	WP_020835639.1
OG0000492	WP_404924133.1	WP_146379559.1
OG0000493	WP_404924085.1	WP_146379488.1
OG0000494	WP_404924101.1	WP_052269169.1
OG0000495	WP_011290329.1	WP_146379689.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_020835817.1
OG0000500	WP_347952479.1	WP_146379610.1
OG0000501	WP_220190663.1	WP_192894280.1
OG0000503	WP_404924098.1	WP_020835576.1
OG0000504	WP_011283955.1	WP_146379513.1
OG0000505	WP_404924089.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_020835512.1	WP_020835512.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_404924072.1	WP_011289977.1
OG0000511	WP_011283896.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_146379662.1
OG0000513	WP_179695855.1	WP_146379751.1
OG0000514	WP_404924003.1	WP_146379691.1
OG0000515	WP_404924141.1, WP_404924173.1	WP_014579793.1
OG0000516	WP_160607660.1	WP_146379601.1
OG0000517	WP_011283834.1	WP_146379446.1
OG0000518	WP_404924200.1	WP_146379722.1
OG0000520	WP_404924090.1	WP_146379514.1
OG0000521	WP_020835515.1	WP_146379468.1
OG0000522	WP_404924073.1	WP_135618505.1
OG0000524	WP_404923987.1	WP_146379675.1
OG0000525	WP_404912046.1	WP_146379746.1
OG0000526	WP_404924171.1	WP_225972970.1
OG0000527	WP_404924163.1	WP_225972972.1
OG0000529	WP_014579831.1	WP_014579831.1
OG0000530	WP_011284186.1	WP_146379640.1
OG0000532	WP_404924144.1	WP_011284067.1
OG0000535	WP_404924058.1	WP_146379445.1
OG0000536	WP_404924052.1	WP_146379766.1
OG0000539	WP_404924068.1	WP_146379463.1
OG0000540	WP_404923982.1	WP_146379671.1
OG0000541	WP_404923991.1	WP_146379681.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_014579703.1	WP_014579703.1
OG0000545	WP_404924169.1	WP_146379616.1
OG0000546	WP_404923998.1	WP_225972993.1
OG0000551	WP_011206407.1	WP_146379706.1
OG0000552	WP_404924024.1	WP_146379724.1
OG0000553	WP_404923990.1, WP_404923989.1	WP_146379678.1
OG0000554	WP_404923965.1	WP_146379649.1
OG0000555	WP_308507032.1	WP_225972997.1
OG0000557	WP_011205983.1	WP_146379545.1
OG0000558	WP_404924118.1	WP_020835624.1
OG0000559	WP_020835677.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_146379530.1
OG0000562	WP_348572112.1	WP_146379618.1
OG0000563	WP_011290172.1	WP_146379619.1
