Orthogroup	MHP_153B_proteins	MHP_116_proteins
OG0000019	WP_404924017.1	WP_348602605.1
OG0000020	WP_404924053.1	WP_348602657.1
OG0000021	WP_404924161.1	WP_348602703.1
OG0000022	WP_404924149.1	WP_348602807.1
OG0000022	WP_404924156.1	WP_348602816.1
OG0000023	WP_044272391.1	WP_348602780.1
OG0000024	WP_404923993.1	WP_348602575.1
OG0000024	WP_404924124.1	WP_348602773.1
OG0000025	WP_404924150.1	WP_348602808.1
OG0000025	WP_160606775.1	WP_348602815.1
OG0000026	WP_404924129.1	WP_348602786.1
OG0000026	WP_404924155.1	WP_348602812.1
OG0000027	WP_146379747.1	WP_348602636.1
OG0000028	WP_404923970.1	WP_348602538.1
OG0000029	WP_404924086.1	WP_348602714.1
OG0000029	WP_404924105.1	WP_348602752.1
OG0000030	WP_404924037.1	WP_348602635.1
OG0000031	WP_011206142.1	WP_348602800.1
OG0000032	WP_404924142.1	WP_348602799.1
OG0000035	WP_404924028.1	WP_044284714.1
OG0000036	WP_146379454.1	WP_348602677.1
OG0000039	WP_179221095.1	WP_348602802.1
OG0000040	WP_404924032.1	WP_348602629.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_404924008.1	WP_348602593.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_404924192.1	WP_160606615.1
OG0000046	WP_347952302.1	WP_348602631.1
OG0000048	WP_011290213.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_348602606.1
OG0000050	WP_404923972.1	WP_348602539.1
OG0000051	WP_404923985.1	WP_348602565.1
OG0000052	WP_404924060.1	WP_011283836.1
OG0000053	WP_404924135.1, WP_404924136.1	WP_348602794.1
OG0000054	WP_404923973.1	WP_348602541.1
OG0000055	WP_146379455.1	WP_348602678.1
OG0000056	WP_404924050.1	WP_348571887.1
OG0000057	WP_258555814.1	WP_348602591.1
OG0000061	WP_020835703.1	WP_348602835.1
OG0000062	WP_160588098.1	WP_348602661.1, WP_011206522.1
OG0000063	WP_404924054.1	WP_348602663.1, WP_348602660.1
OG0000064	WP_011290440.1	WP_348602658.1
OG0000065	WP_233688433.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_404924083.1	WP_348602706.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_348602542.1
OG0000071	WP_160585219.1	WP_348571847.1
OG0000072	WP_404924031.1	WP_348602628.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_404924091.1	WP_348602722.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160607908.1	WP_146379475.1
OG0000077	WP_404924080.1	WP_348602701.1
OG0000078	WP_404924153.1	WP_348602810.1
OG0000079	WP_404923976.1	WP_348602553.1
OG0000080	WP_404923980.1	WP_348602560.1
OG0000081	WP_404924076.1	WP_011289985.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_348602498.1
OG0000086	WP_011290207.1	WP_348602499.1
OG0000087	WP_404912425.1	WP_348602502.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_404924059.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_348602669.1
OG0000092	WP_011205847.1	WP_348602668.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_348602667.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924056.1	WP_348602664.1
OG0000098	WP_160588100.1	WP_348602662.1, WP_135619170.1
OG0000099	WP_404924051.1	WP_348602654.1
OG0000100	WP_404924049.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_020835678.1	WP_348602859.1
OG0000103	WP_011290214.1	WP_348571656.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_094521691.1
OG0000106	WP_404923951.1	WP_348602514.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_192894278.1
OG0000109	WP_220200503.1	WP_348602515.1
OG0000110	WP_020835772.1	WP_243216208.1
OG0000111	WP_020835771.1	WP_348602533.1
OG0000112	WP_404923963.1	WP_348602531.1
OG0000113	WP_404923959.1	WP_348602528.1
OG0000114	WP_404923958.1	WP_348602527.1
OG0000115	WP_011284183.1	WP_011290245.1
OG0000116	WP_011290103.1	WP_348602777.1
OG0000117	WP_044272388.1	WP_348602778.1
OG0000118	WP_404924127.1	WP_348572057.1
OG0000119	WP_160585678.1	WP_348602783.1
OG0000120	WP_011284027.1	WP_348602785.1
OG0000121	WP_146379557.1	WP_348602788.1
OG0000122	WP_020835643.1	WP_348602789.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_404924132.1	WP_348602791.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_011205950.1
OG0000127	WP_160590282.1	WP_011205948.1
OG0000128	WP_146379564.1	WP_348602795.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160585099.1	WP_094521635.1
OG0000132	WP_011205939.1	WP_135618714.1
OG0000133	WP_014579589.1	WP_011206123.1
OG0000134	WP_225973012.1	WP_348602707.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_179695961.1	WP_348602708.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_404924103.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160584795.1	WP_146379496.1
OG0000141	WP_011284290.1	WP_160584965.1
OG0000142	WP_011284289.1	WP_348602592.1
OG0000143	WP_135619026.1	WP_011206391.1
OG0000144	WP_404924007.1	WP_348602590.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_348602586.1
OG0000149	WP_011290331.1	WP_348602585.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_404923997.1	WP_348602580.1
OG0000152	WP_404923996.1	WP_348602579.1
OG0000153	WP_011206347.1	WP_233688497.1
OG0000154	WP_011290318.1	WP_011206345.1
OG0000155	WP_020835820.1	WP_348602573.1
OG0000156	WP_011206335.1	WP_348602572.1
OG0000157	WP_020835818.1	WP_348602571.1
OG0000158	WP_404911941.1	WP_348602570.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_011284209.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_167871270.1	WP_135619210.1
OG0000163	WP_044272529.1	WP_348571730.1
OG0000164	WP_404924143.1	WP_233688726.1
OG0000165	WP_020835712.1	WP_348602846.1
OG0000166	WP_404924182.1	WP_348602850.1
OG0000167	WP_011206207.1	WP_348602852.1
OG0000168	WP_135618848.1	WP_348602853.1
OG0000169	WP_179221201.1	WP_179221201.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_011206422.1	WP_348602609.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011290368.1	WP_160588049.1
OG0000174	WP_160600929.1	WP_348602610.1
OG0000175	WP_160585645.1	WP_160585645.1
OG0000176	WP_404924025.1	WP_348602616.1
OG0000177	WP_160585273.1	WP_160606697.1
OG0000178	WP_044272620.1	WP_348602617.1
OG0000179	WP_014579979.1	WP_014579979.1
OG0000180	WP_011206445.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_348602622.1
OG0000182	WP_011206453.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_348571845.1
OG0000184	WP_160585238.1	WP_160585238.1
OG0000185	WP_404924034.1	WP_146379740.1
OG0000186	WP_020835656.1	WP_135618718.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_404923954.1	WP_348602521.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_146379633.1	WP_348602517.1
OG0000192	WP_011205992.1	WP_348602857.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_179695841.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_348602746.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_404924099.1	WP_146379501.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_348602735.1
OG0000203	WP_011206072.1	WP_348602734.1
OG0000204	WP_011206071.1	WP_348602733.1
OG0000205	WP_160606691.1	WP_348602732.1
OG0000206	WP_011290044.1	WP_135618589.1
OG0000207	WP_094521594.1	WP_011283951.1
OG0000208	WP_135618591.1	WP_348602727.1
OG0000209	WP_011206061.1	WP_348602726.1
OG0000210	WP_011206052.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_020835589.1
OG0000216	WP_160585193.1	WP_348602720.1
OG0000217	WP_404924088.1	WP_348602719.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_160590391.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_011206037.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_348602718.1
OG0000228	WP_404924087.1	WP_348602717.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_348602716.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_233688672.1
OG0000234	WP_404924109.1	WP_348602756.1
OG0000235	WP_404924111.1	WP_348602758.1
OG0000236	WP_404924112.1	WP_011283989.1
OG0000237	WP_404924113.1	WP_348572018.1
OG0000238	WP_011206006.1	WP_348572020.1
OG0000239	WP_404924009.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_044284696.1	WP_160585231.1
OG0000242	WP_020835854.1	WP_348602595.1
OG0000243	WP_160608089.1	WP_348602596.1
OG0000244	WP_041361690.1	WP_348602597.1
OG0000245	WP_404924010.1	WP_348602599.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_146379457.1	WP_348602680.1
OG0000248	WP_404924202.1	WP_348602866.1
OG0000249	WP_404924064.1	WP_348602681.1
OG0000250	WP_404924066.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_404924069.1	WP_160606527.1
OG0000254	WP_404924070.1	WP_348602687.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_348602690.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_146379775.1	WP_020835520.1
OG0000260	WP_011289982.1	WP_348602694.1
OG0000261	WP_404924075.1	WP_348602696.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_160606511.1	WP_348602697.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_404924077.1	WP_348602699.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_044284773.1
OG0000268	WP_404924078.1	WP_179695950.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_404924047.1	WP_348602648.1
OG0000271	WP_404924046.1	WP_348602647.1
OG0000272	WP_404912074.1	WP_348602646.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_404924044.1	WP_348602643.1
OG0000275	WP_011290422.1	WP_228366117.1
OG0000276	WP_160600741.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_404924043.1	WP_011290418.1
OG0000280	WP_011206490.1	WP_011206490.1
OG0000281	WP_011290416.1	WP_011290416.1
OG0000282	WP_404924041.1	WP_348602640.1
OG0000283	WP_044272663.1	WP_160584907.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_404924039.1	WP_348602639.1
OG0000286	WP_404923971.1	WP_044272526.1
OG0000287	WP_146379659.1	WP_348602546.1
OG0000288	WP_348571747.1	WP_348602548.1
OG0000289	WP_404923975.1	WP_348602549.1
OG0000290	WP_404923983.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_348602563.1
OG0000292	WP_160585667.1	WP_044284681.1
OG0000293	WP_020835805.1	WP_348602562.1
OG0000294	WP_404923981.1	WP_348602561.1
OG0000295	WP_011206315.1	WP_160590135.1
OG0000296	WP_044272552.1	WP_348602554.1
OG0000297	WP_160608046.1	WP_011206306.1
OG0000298	WP_135618474.1	WP_348602683.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_011206118.1	WP_348602709.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_404924005.1	WP_348602589.1
OG0000306	WP_404924000.1	WP_044272563.1
OG0000307	WP_020835826.1	WP_348602578.1
OG0000308	WP_404911934.1	WP_020835811.1
OG0000309	WP_404923979.1	WP_348602559.1
OG0000310	WP_011206298.1	WP_348602547.1
OG0000311	WP_160606809.1	WP_014579885.1
OG0000312	WP_041361671.1	WP_348602540.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_020835716.1	WP_348602849.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_404911774.1	WP_348571614.1
OG0000317	WP_146379589.1	WP_160585126.1
OG0000318	WP_404924185.1	WP_348602854.1
OG0000319	WP_044272490.1	WP_135618880.1
OG0000320	WP_404923961.1	WP_348602530.1
OG0000321	WP_404924126.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_404924138.1	WP_179696045.1
OG0000324	WP_094521693.1	WP_348602516.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924096.1	WP_348602739.1
OG0000327	WP_404924095.1	WP_348602738.1
OG0000328	WP_041361583.1	WP_348602725.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_041361688.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_044272637.1	WP_348602623.1
OG0000335	WP_404924029.1	WP_348602624.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_014580051.1
OG0000339	WP_404923957.1	WP_348602526.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_348602520.1
OG0000342	WP_011290029.1	WP_348602744.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160606838.1	WP_348602712.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_348602737.1
OG0000349	WP_404924045.1	WP_348602645.1
OG0000350	WP_404923995.1	WP_348602577.1
OG0000351	WP_404924081.1	WP_308704698.1
OG0000352	WP_404924181.1	WP_348602845.1
OG0000353	WP_404924130.1	WP_348602787.1
OG0000354	WP_404924102.1	WP_348602750.1
OG0000355	WP_404924179.1	WP_011206194.1
OG0000356	WP_404924184.1	WP_308507057.1
OG0000357	WP_404924018.1	WP_228366113.1
OG0000358	WP_404924019.1	WP_348602611.1
OG0000359	WP_404924097.1	WP_348602741.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_348602692.1
OG0000362	WP_094521719.1	WP_348602551.1
OG0000363	WP_233417364.1	WP_348572138.1
OG0000364	WP_404924178.1	WP_348602839.1
OG0000365	WP_404924188.1	WP_160606601.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_225973040.1	WP_348602500.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_011205844.1	WP_160588112.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_348602666.1
OG0000372	WP_160584860.1	WP_348571907.1
OG0000373	WP_404924057.1	WP_348602665.1
OG0000374	WP_404924055.1	WP_348571901.1
OG0000375	WP_011284163.1	WP_135618878.1
OG0000376	WP_404923964.1	WP_348602532.1
OG0000377	WP_404923962.1	WP_011206271.1
OG0000378	WP_020835632.1	WP_348602776.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_404924131.1	WP_348602790.1
OG0000381	WP_404924134.1	WP_348602793.1
OG0000382	WP_404924137.1	WP_348602796.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_348602705.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_404924084.1	WP_348602710.1
OG0000388	WP_179221014.1	WP_348602711.1
OG0000389	WP_011290013.1	WP_348602751.1
OG0000390	WP_011290340.1	WP_011284284.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_404924004.1	WP_348602588.1
OG0000393	WP_404924001.1	WP_348602583.1
OG0000394	WP_011290313.1	WP_160585688.1
OG0000395	WP_404923992.1	WP_348602574.1
OG0000396	WP_020835781.1	WP_348571728.1
OG0000397	WP_011206196.1	WP_348602842.1
OG0000398	WP_404924180.1	WP_348602843.1
OG0000399	WP_404924183.1	WP_348602851.1
OG0000400	WP_243216310.1	WP_348602607.1
OG0000401	WP_404924021.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_348602613.1
OG0000403	WP_404924022.1	WP_348602614.1
OG0000405	WP_404924026.1	WP_011290381.1
OG0000406	WP_404924030.1	WP_348602625.1
OG0000407	WP_011290391.1	WP_348602626.1
OG0000408	WP_011206457.1	WP_348602627.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_404924035.1	WP_146379742.1
OG0000412	WP_146379741.1	WP_011290399.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_404924139.1	WP_348602797.1
OG0000415	WP_020835657.1	WP_348602798.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_160585790.1	WP_348602519.1
OG0000418	WP_404923952.1	WP_348602518.1
OG0000419	WP_404924100.1	WP_020835572.1
OG0000420	WP_146379500.1	WP_348602743.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_348602740.1
OG0000423	WP_404924094.1	WP_348602731.1
OG0000424	WP_011290043.1	WP_348602730.1
OG0000425	WP_404924093.1	WP_348602729.1
OG0000426	WP_404924092.1	WP_348602728.1
OG0000427	WP_135618593.1	WP_348602724.1
OG0000428	WP_011206054.1	WP_348602721.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_050195474.1	WP_050195474.1
OG0000431	WP_146379524.1	WP_348602715.1
OG0000432	WP_404924108.1	WP_348602755.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_020835607.1
OG0000435	WP_404924110.1	WP_348602757.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_404924114.1	WP_014579672.1
OG0000438	WP_404924115.1	WP_348602759.1
OG0000439	WP_044272377.1	WP_044272377.1
OG0000440	WP_160588325.1	WP_348602594.1
OG0000441	WP_404924011.1	WP_348602600.1
OG0000442	WP_160607726.1	WP_348602679.1
OG0000443	WP_044272282.1	WP_348602685.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_146379467.1	WP_348602689.1
OG0000447	WP_404924071.1	WP_014579553.1
OG0000448	WP_146379469.1	WP_011289976.1
OG0000449	WP_011289981.1	WP_348602693.1
OG0000450	WP_404924074.1	WP_348602695.1
OG0000451	WP_044272294.1	WP_094521553.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_404924079.1	WP_348602700.1
OG0000455	WP_347952324.1	WP_348602652.1
OG0000456	WP_404924042.1	WP_348602641.1
OG0000457	WP_404924201.1	WP_348602638.1
OG0000458	WP_160588321.1	WP_348602545.1
OG0000459	WP_014579890.1	WP_348602550.1
OG0000460	WP_348602552.1	WP_348602552.1
OG0000461	WP_404924197.1	WP_348602558.1
OG0000462	WP_011284228.1	WP_348602557.1
OG0000463	WP_404923977.1	WP_348602556.1
OG0000464	WP_011206309.1	WP_094521720.1
OG0000465	WP_160585762.1	WP_348602555.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_404923988.1	WP_348602567.1
OG0000468	WP_160585598.1	WP_160585598.1
OG0000469	WP_404924187.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_348571977.1
OG0000472	WP_404924036.1	WP_348602633.1
OG0000473	WP_020835917.1	WP_348602649.1
OG0000474	WP_041361711.1	WP_348602650.1
OG0000475	WP_404924048.1	WP_348602651.1
OG0000476	WP_404924140.1	WP_014579742.1
OG0000477	WP_135618962.1	WP_348571773.1
OG0000478	WP_011284367.1	WP_146379753.1
OG0000479	WP_404924190.1	WP_348602782.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_348602736.1
OG0000482	WP_404924117.1	WP_348572032.1
OG0000483	WP_347952210.1	WP_348602501.1
OG0000484	WP_135618485.1	WP_348602686.1
OG0000485	WP_020835615.1	WP_011206004.1
OG0000486	WP_160585249.1	WP_348602522.1
OG0000487	WP_404924186.1	WP_348602855.1
OG0000488	WP_020835728.1	WP_348571630.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_146379773.1	WP_011206527.1
OG0000491	WP_404924128.1	WP_348602784.1
OG0000492	WP_404924133.1	WP_348602792.1
OG0000493	WP_404924085.1	WP_348571965.1
OG0000494	WP_404924101.1	WP_052269169.1
OG0000495	WP_011290329.1	WP_011284272.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_011206333.1
OG0000500	WP_347952479.1	WP_348602844.1
OG0000501	WP_220190663.1	WP_348602608.1
OG0000503	WP_404924098.1	WP_348602742.1
OG0000504	WP_011283955.1	WP_348602723.1
OG0000505	WP_404924089.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_160585191.1
OG0000508	WP_020835512.1	WP_348602688.1
OG0000509	WP_020835518.1	WP_020835518.1
OG0000510	WP_404924072.1	WP_011289977.1
OG0000511	WP_011283896.1	WP_011206135.1
OG0000512	WP_160585006.1	WP_011206304.1
OG0000513	WP_179695855.1	WP_348602642.1
OG0000514	WP_404924003.1	WP_348602587.1
OG0000516	WP_160607660.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_404924200.1	WP_348602612.1
OG0000520	WP_404924090.1	WP_011283957.1
OG0000521	WP_020835515.1	WP_020835515.1
OG0000522	WP_404924073.1	WP_348602691.1
OG0000524	WP_404923987.1	WP_348602566.1
OG0000525	WP_404912046.1	WP_348602634.1
OG0000526	WP_404924171.1	WP_348602829.1, WP_348602831.1
OG0000527	WP_404924163.1	WP_348602820.1
OG0000529	WP_014579831.1	WP_348602513.1
OG0000530	WP_011284186.1	WP_011290248.1
OG0000532	WP_404924144.1	WP_348602803.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000535	WP_404924058.1	WP_011205848.1
OG0000536	WP_404924052.1	WP_348602655.1
OG0000539	WP_404924068.1	WP_160585545.1
OG0000540	WP_404923982.1	WP_348602564.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_014579703.1	WP_348602770.1
OG0000545	WP_404924169.1	WP_348602827.1
OG0000546	WP_404923998.1	WP_011206350.1
OG0000551	WP_011206407.1	WP_348602598.1
OG0000552	WP_404924024.1	WP_348602615.1
OG0000553	WP_404923990.1, WP_404923989.1	WP_348602569.1
OG0000554	WP_404923965.1	WP_348602534.1
OG0000555	WP_308507032.1	WP_179221196.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_404924118.1	WP_348602767.1
OG0000559	WP_020835677.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_348602826.1
OG0000561	WP_094521603.1	WP_094521603.1
OG0000562	WP_348572112.1	WP_146379618.1
OG0000563	WP_011290172.1	WP_348602824.1
OG0000564	WP_041361605.1	WP_348602775.1
OG0000565	WP_404924177.1	WP_348602837.1
OG0000566	WP_404924176.1	WP_348602834.1
OG0000567	WP_404924170.1	WP_348602828.1
OG0000568	WP_044272325.1	WP_044272325.1
OG0000569	WP_404924119.1	WP_348602768.1
OG0000570	WP_404924120.1	WP_348602769.1
OG0000571	WP_011205986.1	WP_011205986.1
OG0000572	WP_404924123.1	WP_348602772.1
OG0000573	WP_020835676.1	WP_348602814.1
OG0000574	WP_011284018.1	WP_348602779.1
OG0000575	WP_011290089.1	WP_348602765.1
OG0000576	WP_404924148.1	WP_348602806.1
