Orthogroup	MHP_MHP653_protein	MHP_MHP679_protein
OG0000050	WP_011206292.1	WP_011206292.1
OG0000051	WP_044272532.1	WP_135619210.1
OG0000052	WP_160615892.1	WP_160590321.1
OG0000053	WP_160615597.1	WP_160585654.1
OG0000054	WP_020835862.1	WP_160585651.1
OG0000055	WP_160615587.1	WP_160590193.1
OG0000056	WP_160615899.1	WP_160585219.1
OG0000057	WP_160615784.1	WP_011290028.1
OG0000058	WP_135618593.1	WP_160590415.1
OG0000059	WP_160615806.1	WP_308704709.1
OG0000060	WP_011290055.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_160615750.1	WP_146379532.1
OG0000063	WP_052259122.1	WP_160585552.1
OG0000064	WP_160615537.1	WP_160589978.1
OG0000065	WP_014579568.1	WP_135618517.1
OG0000066	WP_160615512.1	WP_160590009.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_258555910.1	WP_258555679.1
OG0000069	WP_020835790.1	WP_020835790.1
OG0000070	WP_160608044.1	WP_020835797.1
OG0000071	WP_044272563.1	WP_160590147.1
OG0000072	WP_160615918.1	WP_160590454.1
OG0000073	WP_011206314.1	WP_179695988.1
OG0000074	WP_258555814.1	WP_020835847.1
OG0000076	WP_308507041.1	WP_308704713.1
OG0000077	WP_160615521.1	WP_160590000.1
OG0000078	WP_308507003.1	WP_308704702.1
OG0000079	WP_220191256.1	WP_220200751.1
OG0000080	WP_160615559.1	WP_160590040.1
OG0000081	WP_160585593.1	WP_160590043.1
OG0000082	WP_160615561.1	WP_160590046.1
OG0000083	WP_160615563.1	WP_011206221.1
OG0000084	WP_011206222.1	WP_011284142.1
OG0000085	WP_160615564.1	WP_146379594.1
OG0000086	WP_160615566.1	WP_160590052.1
OG0000087	WP_220191257.1	WP_220200603.1
OG0000088	WP_020835732.1	WP_020835732.1
OG0000089	WP_020835733.1	WP_160590058.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_146379447.1	WP_160590168.1
OG0000092	WP_094521535.1	WP_094521535.1
OG0000093	WP_011289935.1	WP_160590170.1
OG0000094	WP_160615746.1	WP_160584849.1
OG0000095	WP_011205849.1	WP_160584852.1
OG0000096	WP_160584854.1	WP_160584854.1
OG0000097	WP_011205847.1	WP_011205847.1
OG0000098	WP_160584856.1	WP_020835484.1
OG0000099	WP_014579519.1	WP_014579519.1
OG0000100	WP_160615744.1	WP_044272256.1
OG0000101	WP_160584860.1	WP_160590172.1
OG0000102	WP_044272251.1	WP_044272251.1
OG0000103	WP_160615742.1	WP_011206529.1
OG0000104	WP_160584865.1	WP_160585758.1
OG0000105	WP_258555934.1	WP_146379771.1
OG0000106	WP_160615738.1	WP_160590174.1
OG0000107	WP_146379769.1	WP_146379769.1
OG0000108	WP_160588098.1	WP_094521530.1
OG0000109	WP_041361715.1	WP_041361715.1
OG0000110	WP_160615736.1	WP_011290440.1
OG0000111	WP_011206510.1	WP_011206510.1
OG0000112	WP_020835678.1	WP_135619192.1
OG0000113	WP_160615772.1	WP_135618779.1
OG0000114	WP_160615774.1	WP_160590230.1
OG0000115	WP_160615871.1	WP_160590311.1
OG0000116	WP_011206239.1	WP_011206239.1
OG0000117	WP_160615869.1	WP_146379628.1
OG0000118	WP_011206242.1	WP_160588282.1
OG0000119	WP_011206243.1	WP_014579831.1
OG0000120	WP_135618884.1	WP_146379631.1
OG0000121	WP_011284169.1	WP_011284169.1
OG0000122	WP_308507045.1	WP_192894278.1
OG0000123	WP_146379648.1	WP_146379648.1
OG0000124	WP_225972982.1	WP_258555712.1
OG0000125	WP_146379646.1	WP_160590440.1
OG0000126	WP_258555931.1	WP_258555585.1
OG0000127	WP_160615722.1	WP_160590444.1
OG0000128	WP_020835765.1	WP_160590507.1
OG0000129	WP_258555964.1	WP_258555347.1
OG0000130	WP_011290245.1	WP_011290245.1
OG0000131	WP_160615718.1	WP_011290102.1
OG0000132	WP_160615716.1	WP_160590505.1
OG0000133	WP_160615714.1	WP_160590503.1
OG0000134	WP_160615712.1	WP_160590299.1
OG0000135	WP_020835635.1	WP_160590297.1
OG0000136	WP_308507037.1	WP_179696056.1
OG0000137	WP_160615708.1	WP_135618686.1
OG0000138	WP_020835639.1	WP_160588241.1
OG0000139	WP_011205965.1	WP_160588243.1
OG0000140	WP_160585676.1	WP_160590292.1
OG0000141	WP_220191285.1	WP_044284614.1
OG0000142	WP_011284032.1	WP_011284032.1
OG0000143	WP_020835643.1	WP_020835643.1
OG0000144	WP_020835645.1	WP_160590288.1
OG0000145	WP_011205954.1	WP_011205954.1
OG0000146	WP_011290118.1	WP_011205953.1
OG0000147	WP_011205952.1	WP_011205952.1
OG0000148	WP_011290120.1	WP_011290120.1
OG0000149	WP_160615661.1	WP_160590284.1
OG0000150	WP_011290122.1	WP_160590282.1
OG0000151	WP_160615665.1	WP_160590280.1
OG0000152	WP_160585820.1	WP_160590278.1
OG0000153	WP_014579732.1	WP_014579732.1
OG0000154	WP_160590276.1	WP_160590276.1
OG0000155	WP_011284046.1	WP_160590274.1
OG0000156	WP_146379566.1	WP_146379566.1
OG0000157	WP_014579735.1	WP_014579735.1
OG0000158	WP_094521636.1	WP_160590270.1
OG0000159	WP_014579586.1	WP_041361727.1
OG0000160	WP_160615951.1	WP_160590329.1
OG0000161	WP_094521764.1	WP_014579589.1
OG0000162	WP_308507044.1	WP_233688635.1
OG0000163	WP_160615852.1	WP_011206121.1
OG0000164	WP_160585148.1	WP_011206120.1
OG0000165	WP_135618546.1	WP_135618546.1
OG0000166	WP_160615854.1	WP_160590331.1
OG0000167	WP_160615856.1	WP_160590333.1
OG0000168	WP_011206113.1	WP_011206113.1
OG0000169	WP_160615931.1	WP_160590407.1
OG0000170	WP_160584793.1	WP_160584793.1
OG0000171	WP_011290017.1	WP_011206102.1
OG0000172	WP_160584795.1	WP_160584795.1
OG0000173	WP_011290345.1	WP_011290345.1
OG0000174	WP_160615645.1	WP_160587865.1
OG0000175	WP_011284286.1	WP_011284286.1
OG0000176	WP_011206391.1	WP_135619026.1
OG0000177	WP_160584967.1	WP_160590163.1
OG0000178	WP_160615647.1	WP_044272582.1
OG0000179	WP_160590161.1	WP_160590161.1
OG0000180	WP_160615649.1	WP_011206385.1
OG0000181	WP_011206384.1	WP_011206384.1
OG0000182	WP_020835840.1	WP_020835840.1
OG0000183	WP_135619012.1	WP_160587854.1
OG0000184	WP_011290331.1	WP_011290331.1
OG0000185	WP_160615653.1	WP_160590155.1
OG0000186	WP_146379689.1	WP_146379689.1
OG0000187	WP_135619006.1	WP_160590153.1
OG0000188	WP_160615659.1	WP_160590149.1
OG0000189	WP_020835828.1	WP_160590464.1
OG0000190	WP_020835827.1	WP_160590462.1
OG0000191	WP_160615699.1	WP_011206347.1
OG0000192	WP_011206345.1	WP_160587842.1
OG0000193	WP_160615693.1	WP_160585121.1
OG0000194	WP_020835820.1	WP_020835820.1
OG0000195	WP_160615691.1	WP_160590426.1
OG0000196	WP_011206335.1	WP_011206335.1
OG0000197	WP_020835818.1	WP_014579918.1
OG0000198	WP_160615687.1	WP_160590424.1
OG0000199	WP_011206289.1	WP_160590317.1
OG0000200	WP_160590318.1	WP_160590318.1
OG0000201	WP_011206287.1	WP_011206287.1
OG0000202	WP_020835662.1	WP_135618730.1
OG0000203	WP_011284063.1	WP_011290137.1
OG0000204	WP_146379571.1	WP_146379571.1
OG0000205	WP_160585024.1	WP_160585024.1
OG0000206	WP_160585022.1	WP_160585022.1
OG0000207	WP_146379611.1	WP_146379611.1
OG0000208	WP_146379610.1	WP_146379610.1
OG0000209	WP_011206200.1	WP_011206200.1
OG0000210	WP_160615554.1	WP_160590029.1
OG0000211	WP_160590031.1	WP_160590031.1
OG0000212	WP_011206207.1	WP_011206207.1
OG0000213	WP_160585173.1	WP_160585173.1
OG0000214	WP_044272610.1	WP_160590199.1
OG0000215	WP_146379717.1	WP_160590197.1
OG0000216	WP_011206424.1	WP_011206424.1
OG0000217	WP_011290368.1	WP_160585649.1
OG0000218	WP_160615593.1	WP_160590195.1
OG0000219	WP_160615585.1	WP_160590191.1
OG0000220	WP_135619070.1	WP_135619070.1
OG0000221	WP_160615583.1	WP_160590189.1
OG0000222	WP_146379725.1	WP_160590187.1
OG0000223	WP_160585273.1	WP_160585273.1
OG0000224	WP_044272620.1	WP_044272620.1
OG0000225	WP_160615581.1	WP_160590185.1
OG0000226	WP_160590183.1	WP_160590183.1
OG0000227	WP_160585638.1	WP_160590181.1
OG0000228	WP_160615579.1	WP_160590179.1
OG0000229	WP_160585796.1	WP_160590523.1
OG0000230	WP_011284337.1	WP_011206453.1
OG0000231	WP_160585802.1	WP_160590340.1
OG0000232	WP_160615901.1	WP_160590342.1
OG0000233	WP_160606868.1	WP_011206457.1
OG0000234	WP_011206458.1	WP_011206458.1
OG0000235	WP_011206459.1	WP_011206459.1
OG0000236	WP_160615897.1	WP_160590344.1
OG0000237	WP_160615907.1	WP_011206469.1
OG0000238	WP_160585238.1	WP_011206468.1
OG0000239	WP_160615905.1	WP_160590352.1
OG0000240	WP_146379741.1	WP_160590350.1
OG0000241	WP_020835897.1	WP_020835897.1
OG0000242	WP_160615916.1	WP_160590452.1
OG0000243	WP_160615667.1	WP_146379568.1
OG0000244	WP_020835656.1	WP_160590268.1
OG0000245	WP_011290131.1	WP_011290131.1
OG0000246	WP_135618720.1	WP_160590266.1
OG0000247	WP_011284055.1	WP_011284055.1
OG0000248	WP_011284056.1	WP_011284056.1
OG0000249	WP_011205932.1	WP_011205932.1
OG0000250	WP_160615909.1	WP_160590301.1
OG0000251	WP_160615911.1	WP_011206256.1
OG0000252	WP_160588285.1	WP_258555694.1
OG0000253	WP_020835755.1	WP_135619204.1
OG0000254	WP_011205992.1	WP_011284001.1
OG0000255	WP_011283999.1	WP_011283999.1
OG0000256	WP_160585563.1	WP_160590375.1
OG0000257	WP_011290023.1	WP_160590430.1
OG0000258	WP_160615782.1	WP_011290024.1
OG0000259	WP_011206093.1	WP_011206093.1
OG0000260	WP_020835572.1	WP_160590432.1
OG0000261	WP_179695841.1	WP_179695841.1
OG0000262	WP_041361572.1	WP_041361572.1
OG0000263	WP_011283930.1	WP_011283930.1
OG0000264	WP_011206086.1	WP_011206086.1
OG0000265	WP_011206085.1	WP_020835574.1
OG0000266	WP_014579644.1	WP_020835575.1
OG0000267	WP_160606653.1	WP_020835576.1
OG0000268	WP_011283934.1	WP_011283934.1
OG0000269	WP_146379503.1	WP_011206080.1
OG0000270	WP_160584803.1	WP_160590497.1
OG0000271	WP_146379504.1	WP_146379504.1
OG0000272	WP_011206073.1	WP_160590491.1
OG0000273	WP_011206072.1	WP_011206072.1
OG0000274	WP_160615804.1	WP_308704708.1
OG0000275	WP_160584811.1	WP_160585610.1
OG0000276	WP_160584813.1	WP_135618585.1
OG0000277	WP_160584816.1	WP_135618587.1
OG0000278	WP_011290044.1	WP_011290044.1
OG0000279	WP_011206065.1	WP_011206065.1
OG0000280	WP_011206064.1	WP_011206064.1
OG0000281	WP_011206063.1	WP_094521594.1
OG0000282	WP_135618591.1	WP_160590413.1
OG0000283	WP_011206061.1	WP_011206061.1
OG0000284	WP_160615808.1	WP_011206054.1
OG0000285	WP_135618604.1	WP_011206052.1
OG0000286	WP_011290054.1	WP_011206050.1
OG0000287	WP_011206049.1	WP_011206049.1
OG0000288	WP_011206048.1	WP_011206048.1
OG0000289	WP_160585195.1	WP_011283963.1
OG0000290	WP_011206047.1	WP_011206047.1
OG0000291	WP_160585193.1	WP_160590389.1
OG0000292	WP_160585731.1	WP_011206044.1
OG0000293	WP_011290058.1	WP_011290058.1
OG0000294	WP_011206041.1	WP_011206041.1
OG0000295	WP_135618616.1	WP_160590391.1
OG0000296	WP_011206039.1	WP_011206039.1
OG0000297	WP_011206038.1	WP_011206038.1
OG0000298	WP_041361589.1	WP_041361589.1
OG0000299	WP_160615864.1	WP_160590395.1
OG0000300	WP_011206032.1	WP_011206032.1
OG0000301	WP_011290064.1	WP_011206031.1
OG0000302	WP_160615866.1	WP_094521599.1
OG0000303	WP_011206028.1	WP_011206028.1
OG0000304	WP_011206027.1	WP_160585185.1
OG0000305	WP_050195474.1	WP_094521600.1
OG0000306	WP_011206025.1	WP_011206025.1
OG0000307	WP_011290067.1	WP_160590397.1
OG0000308	WP_014579601.1	WP_014579601.1
OG0000309	WP_146379528.1	WP_011290071.1
OG0000310	WP_160615748.1	WP_160590251.1
OG0000311	WP_011206014.1	WP_011206014.1
OG0000312	WP_044284602.1	WP_160590253.1
OG0000313	WP_160615752.1	WP_160590255.1
OG0000314	WP_160584678.1	WP_160584678.1
OG0000315	WP_160615754.1	WP_011290078.1
OG0000316	WP_011283989.1	WP_011283989.1
OG0000317	WP_160615756.1	WP_160590257.1
OG0000318	WP_011206006.1	WP_011283991.1
OG0000319	WP_011206005.1	WP_011206005.1
OG0000320	WP_160615758.1	WP_160590259.1
OG0000321	WP_160615760.1	WP_160590261.1
OG0000322	WP_160590263.1	WP_160590263.1
OG0000323	WP_146379700.1	WP_146379700.1
OG0000324	WP_020835851.1	WP_020835851.1
OG0000325	WP_160615607.1	WP_160585229.1
OG0000326	WP_044272588.1	WP_044272588.1
OG0000327	WP_020835854.1	WP_146379702.1
OG0000328	WP_146379703.1	WP_146379703.1
OG0000329	WP_160615603.1	WP_011206406.1
OG0000330	WP_146379707.1	WP_135619044.1
OG0000331	WP_011284299.1	WP_135619046.1
OG0000332	WP_258555948.1	WP_258555717.1
OG0000333	WP_160615834.1	WP_258555718.1
OG0000334	WP_308507025.1	WP_308704696.1
OG0000335	WP_020835500.1	WP_243215933.1
OG0000336	WP_160585547.1	WP_146379459.1
OG0000337	WP_011289957.1	WP_011289957.1
OG0000338	WP_044272282.1	WP_044272282.1
OG0000339	WP_011205880.1	WP_011205880.1
OG0000340	WP_146379462.1	WP_146379462.1
OG0000341	WP_146379463.1	WP_146379463.1
OG0000342	WP_011205883.1	WP_011205883.1
OG0000343	WP_160589983.1	WP_160589983.1
OG0000344	WP_044284571.1	WP_044284571.1
OG0000345	WP_160589986.1	WP_160589986.1
OG0000346	WP_014579550.1	WP_014579550.1
OG0000347	WP_011205889.1	WP_011205889.1
OG0000348	WP_020835512.1	WP_094521758.1
OG0000349	WP_160615529.1	WP_135618497.1
OG0000350	WP_014579553.1	WP_014579553.1
OG0000351	WP_020835515.1	WP_146379468.1
OG0000352	WP_011289973.1	WP_011289973.1
OG0000353	WP_011289974.1	WP_011289974.1
OG0000354	WP_020835518.1	WP_020835518.1
OG0000355	WP_011289976.1	WP_011205897.1
OG0000356	WP_011289977.1	WP_011289977.1
OG0000357	WP_135618505.1	WP_135618505.1
OG0000358	WP_220191250.1	WP_020835520.1
OG0000359	WP_011289981.1	WP_160584763.1
OG0000360	WP_146379471.1	WP_011289982.1
OG0000361	WP_160615525.1	WP_160589995.1
OG0000362	WP_160615523.1	WP_160589998.1
OG0000363	WP_135618519.1	WP_135618519.1
OG0000364	WP_160607908.1	WP_160584756.1
OG0000365	WP_011283885.1	WP_160590002.1
OG0000366	WP_011283887.1	WP_011283887.1
OG0000367	WP_044284579.1	WP_044284579.1
OG0000368	WP_258555899.1	WP_160584747.1
OG0000369	WP_011205923.1	WP_011205923.1
OG0000370	WP_146379477.1	WP_146379477.1
OG0000371	WP_160615515.1	WP_146379478.1
OG0000372	WP_011283896.1	WP_160590007.1
OG0000373	WP_011206134.1	WP_011206134.1
OG0000374	WP_160590360.1	WP_160590360.1
OG0000375	WP_160615634.1	WP_160590356.1
OG0000376	WP_160615632.1	WP_160590354.1
OG0000377	WP_146379758.1	WP_146379758.1
OG0000378	WP_011206502.1	WP_011206502.1
OG0000379	WP_220191147.1	WP_220191147.1
OG0000380	WP_160590207.1	WP_160590207.1
OG0000381	WP_308507031.1	WP_228366117.1
OG0000382	WP_160600741.1	WP_011290421.1
OG0000383	WP_011206494.1	WP_011206494.1
OG0000384	WP_011290418.1	WP_011290418.1
OG0000385	WP_011206490.1	WP_011206490.1
OG0000386	WP_011290416.1	WP_011290416.1
OG0000387	WP_011206487.1	WP_011206487.1
OG0000388	WP_160615626.1	WP_160590212.1
OG0000389	WP_014580009.1	WP_160590214.1
OG0000390	WP_011206484.1	WP_160590216.1
OG0000391	WP_160615625.1	WP_160584909.1
OG0000392	WP_160615623.1	WP_160590218.1
OG0000393	WP_160615969.1	WP_146379652.1
OG0000394	WP_160585766.1	WP_160590143.1
OG0000395	WP_160615882.1	WP_011206299.1
OG0000396	WP_160615884.1	WP_160590139.1
OG0000397	WP_160615886.1	WP_044272549.1
OG0000398	WP_160590123.1	WP_160590123.1
OG0000399	WP_011206320.1	WP_011206320.1
OG0000400	WP_160615820.1	WP_160590127.1
OG0000401	WP_160615822.1	WP_160590129.1
OG0000402	WP_160615824.1	WP_160590133.1
OG0000403	WP_160615826.1	WP_160590135.1
OG0000404	WP_160615828.1	WP_220200762.1
OG0000405	WP_160615830.1	WP_011284228.1
OG0000406	WP_160585762.1	WP_011284227.1
OG0000407	WP_044272552.1	WP_041361673.1
OG0000408	WP_160608046.1	WP_011284225.1
OG0000409	WP_160615535.1	WP_160589980.1
OG0000410	WP_094521545.1	WP_011205878.1
OG0000411	WP_041361533.1	WP_041361533.1
OG0000412	WP_135618529.1	WP_160590003.1
OG0000413	WP_011205925.1	WP_011205925.1
OG0000414	WP_146379484.1	WP_011206118.1
OG0000415	WP_011283978.1	WP_011283978.1
OG0000416	WP_160590159.1	WP_160590159.1
OG0000417	WP_011206346.1	WP_160590460.1
OG0000418	WP_160615679.1	WP_160590113.1
OG0000419	WP_160607822.1	WP_160590117.1
OG0000420	WP_146379668.1	WP_160590137.1
OG0000421	WP_011206298.1	WP_160590141.1
OG0000422	WP_011206293.1	WP_011206293.1
OG0000423	WP_011206141.1	WP_011206141.1
OG0000424	WP_160615552.1	WP_160590026.1
OG0000425	WP_160585171.1	WP_160585171.1
OG0000426	WP_160615557.1	WP_160590036.1
OG0000427	WP_135618864.1	WP_146379589.1
OG0000428	WP_014579824.1	WP_014579824.1
OG0000429	WP_220191255.1	WP_220190711.1
OG0000430	WP_135618880.1	WP_308704706.1
OG0000431	WP_160615720.1	WP_160590446.1
OG0000432	WP_011205969.1	WP_011205969.1
OG0000433	WP_020835642.1	WP_020835642.1
OG0000434	WP_146379567.1	WP_160590272.1
OG0000435	WP_094521693.1	WP_094521693.1
OG0000436	WP_011206094.1	WP_011206094.1
OG0000437	WP_160615787.1	WP_160590495.1
OG0000438	WP_146379506.1	WP_160590493.1
OG0000439	WP_011206069.1	WP_011206069.1
OG0000440	WP_041361583.1	WP_041361583.1
OG0000441	WP_135618597.1	WP_011206056.1
OG0000442	WP_135618603.1	WP_014579622.1
OG0000443	WP_011206016.1	WP_011206016.1
OG0000444	WP_160615605.1	WP_146379704.1
OG0000445	WP_011290372.1	WP_011290372.1
OG0000446	WP_011206433.1	WP_011206433.1
OG0000447	WP_014579986.1	WP_160590521.1
OG0000448	WP_160615903.1	WP_160590338.1
OG0000449	WP_011284361.1	WP_011206488.1
OG0000450	WP_041361708.1	WP_041361708.1
OG0000451	WP_044272671.1	WP_160588156.1
OG0000452	WP_011205931.1	WP_011205931.1
OG0000453	WP_011284387.1	WP_011290441.1
OG0000454	WP_094521531.1	WP_011284394.1
OG0000455	WP_160590131.1	WP_160590131.1
OG0000456	WP_011284150.1	WP_160590061.1
OG0000457	WP_160590509.1	WP_160590509.1
OG0000458	WP_011205973.1	WP_011205973.1
OG0000459	WP_011290226.1	WP_160590303.1
OG0000460	WP_146379499.1	WP_094521586.1
OG0000461	WP_011206435.1	WP_011206435.1
OG0000462	WP_160615628.1	WP_160590209.1
OG0000463	WP_020835636.1	WP_160590295.1
OG0000464	WP_160615858.1	WP_160590335.1
OG0000465	WP_014579611.1	WP_160590393.1
OG0000466	WP_308507030.1	WP_232039558.1
OG0000467	WP_160615642.1	WP_160590364.1
OG0000468	WP_011205955.1	WP_011205955.1
OG0000469	WP_225973015.1	WP_240536364.1
OG0000470	WP_011206380.1	WP_020835837.1
OG0000471	WP_094521522.1	WP_094521522.1
OG0000472	WP_011206218.1	WP_011206218.1
OG0000473	WP_044272343.1	WP_308704712.1
OG0000474	WP_258555926.1	WP_160590468.1
OG0000475	WP_308507022.1	WP_308704698.1
OG0000476	WP_160615546.1	WP_160590018.1
OG0000477	WP_146379591.1	WP_160590070.1
OG0000478	WP_160607804.1	WP_160590290.1
OG0000479	WP_308507047.1	WP_308507047.1
OG0000480	WP_220191254.1	WP_011206194.1
OG0000481	WP_308507027.1	WP_308704699.1
OG0000482	WP_308507029.1	WP_228366113.1
OG0000483	WP_160615589.1	WP_160588052.1
OG0000484	WP_308507023.1	WP_225973007.1
OG0000485	WP_225973008.1	WP_225973008.1
OG0000486	WP_160615527.1	WP_160589992.1
OG0000487	WP_011290282.1	WP_011290282.1
OG0000488	WP_160615595.1	WP_160590201.1
OG0000489	WP_308507035.1	WP_308704679.1
OG0000491	WP_011283834.1	WP_011283834.1
OG0000492	WP_011289930.1	WP_160588112.1
OG0000493	WP_044272260.1	WP_044272260.1
OG0000494	WP_160615740.1	WP_146379773.1
OG0000496	WP_160615927.1	WP_146379640.1
OG0000497	WP_011205962.1	WP_011205962.1
OG0000498	WP_160588252.1	WP_146379558.1
OG0000499	WP_160615704.1	WP_160590286.1
OG0000500	WP_160615953.1	WP_160590327.1
OG0000501	WP_160585737.1	WP_160585737.1
OG0000502	WP_052269169.1	WP_160590403.1
OG0000504	WP_160615655.1	WP_160590151.1
OG0000505	WP_011290314.1	WP_011290314.1
OG0000506	WP_160615695.1	WP_160590539.1
OG0000507	WP_160615689.1	WP_011206333.1
OG0000508	WP_160615894.1	WP_160585153.1
OG0000509	WP_220191265.1	WP_220200770.1
OG0000510	WP_220191264.1	WP_220200769.1
OG0000512	WP_160615914.1	WP_160590305.1
OG0000513	WP_135618599.1	WP_146379514.1
OG0000514	WP_011290053.1	WP_011290053.1
OG0000515	WP_020835590.1	WP_160585191.1
OG0000516	WP_011206036.1	WP_011206036.1
OG0000517	WP_011289986.1	WP_011289986.1
OG0000518	WP_160615519.1	WP_011205913.1
OG0000519	WP_160615517.1	WP_020835528.1
OG0000520	WP_011289994.1	WP_160590005.1
OG0000521	WP_160615673.1	WP_160590247.1
OG0000522	WP_160615619.1	WP_160590222.1
OG0000523	WP_160615617.1	WP_160590224.1
OG0000524	WP_014579890.1	WP_014579890.1
OG0000525	WP_160615888.1	WP_160585006.1
OG0000526	WP_135618955.1	WP_011206310.1
OG0000527	WP_011206309.1	WP_011206309.1
OG0000528	WP_011205922.1	WP_011205922.1
OG0000529	WP_160615677.1	WP_160590115.1
OG0000530	WP_160607658.1	WP_011290194.1
OG0000531	WP_160615636.1	WP_041361711.1
OG0000532	WP_160615638.1	WP_160590358.1
OG0000533	WP_160585562.1	WP_160590377.1
OG0000534	WP_020835615.1	WP_020835615.1
OG0000535	WP_160615651.1	WP_160590157.1
OG0000536	WP_011290228.1	WP_160585249.1
OG0000539	WP_011283955.1	WP_011283955.1
OG0000540	WP_160615921.1	WP_160590456.1
OG0000543	WP_011206110.1	WP_160584784.1
OG0000544	WP_308507046.1	WP_160590348.1
OG0000545	WP_011284067.1	WP_160590479.1
OG0000546	WP_146379706.1	WP_135619042.1
OG0000547	WP_220191275.1	WP_220191275.1
OG0000548	WP_160615818.1	WP_160590125.1
OG0000552	WP_160590087.1	WP_160590087.1
OG0000553	WP_258555930.1	WP_258555725.1
OG0000554	WP_258555903.1	WP_258555664.1
OG0000557	WP_220191312.1	WP_014579530.1
OG0000558	WP_160615726.1	WP_160590436.1
OG0000559	WP_160615683.1	WP_160590422.1
OG0000560	WP_258555624.1	WP_258555239.1
OG0000561	WP_160585642.1	WP_094521504.1
OG0000565	WP_160615846.1	WP_160590470.1
OG0000566	WP_160615842.1	WP_160590473.1
OG0000567	WP_160615791.1	WP_160590387.1
OG0000568	WP_011205983.1	WP_011205983.1
OG0000569	WP_233688696.1	WP_308704707.1
OG0000570	WP_011205986.1	WP_011205986.1
OG0000571	WP_160601083.1	WP_160590385.1
OG0000572	WP_160615793.1	WP_160590383.1
OG0000573	WP_160615795.1	WP_160590381.1
OG0000574	WP_011290089.1	WP_146379542.1
OG0000575	WP_160584672.1	WP_011290073.1
OG0000576	WP_160615780.1	WP_160590428.1
OG0000577	WP_160585066.1	WP_011290145.1
OG0000578	WP_160615764.1	WP_160590243.1
OG0000579	WP_160615766.1	WP_160590241.1
OG0000580	WP_160615768.1	WP_160590236.1
OG0000581	WP_160615770.1	WP_160590232.1
OG0000582	WP_020835677.1	WP_014579758.1
OG0000583	WP_160585756.1	WP_160590085.1
OG0000584	WP_011284100.1	WP_011284100.1
OG0000585	WP_160585755.1	WP_160585755.1
OG0000586	WP_308507026.1	WP_308704700.1
OG0000587	WP_160615540.1	WP_160590099.1
OG0000588	WP_160615544.1	WP_011290180.1
OG0000589	WP_146379612.1	WP_146379612.1
OG0000590	WP_258555957.1	WP_160585200.1
OG0000591	WP_160615681.1	WP_258555672.1
OG0000592	WP_160615698.1	WP_160585259.1
OG0000593	WP_011206475.1	WP_020835902.1
OG0000594	WP_160615640.1	WP_160590362.1
OG0000595	WP_308507042.1	WP_308507054.1
OG0000596	WP_252862181.1	WP_258555724.1
