Orthogroup	MHP_153B_genes	MHP_168L_genes
OG0000120	NB625_RS01360	MHP168L_RS01450
OG0000121	NB625_RS01385	MHP168L_RS01475
OG0000122	NB625_RS01390	MHP168L_RS01480
OG0000123	NB625_RS01410	MHP168L_RS01500
OG0000124	NB625_RS01415	MHP168L_RS01505
OG0000125	NB625_RS01420	MHP168L_RS01510
OG0000126	NB625_RS01430	MHP168L_RS01520
OG0000127	NB625_RS01440	MHP168L_RS01530
OG0000128	NB625_RS01460	MHP168L_RS01545
OG0000129	NB625_RS01465	MHP168L_RS01550
OG0000130	NB625_RS01475	MHP168L_RS01560
OG0000131	NB625_RS01505	MHP168L_RS01590
OG0000132	NB625_RS01520	MHP168L_RS01605
OG0000133	NB625_RS00530	MHP168L_RS00515
OG0000134	NB625_RS00535	MHP168L_RS00520
OG0000135	NB625_RS00550	MHP168L_RS00535
OG0000136	NB625_RS00555	MHP168L_RS00540
OG0000137	NB625_RS00595	MHP168L_RS00575
OG0000138	NB625_RS01065	MHP168L_RS01030
OG0000139	NB625_RS01035	MHP168L_RS01005
OG0000140	NB625_RS01030	MHP168L_RS01000
OG0000141	NB625_RS03090	MHP168L_RS02965
OG0000142	NB625_RS03085	MHP168L_RS02960
OG0000143	NB625_RS03065	MHP168L_RS02935
OG0000144	NB625_RS03050	MHP168L_RS02925
OG0000145	NB625_RS03040	MHP168L_RS02915
OG0000146	NB625_RS03030	MHP168L_RS02905
OG0000147	NB625_RS03025	MHP168L_RS02900
OG0000148	NB625_RS03010	MHP168L_RS02885
OG0000149	NB625_RS03000	MHP168L_RS02875
OG0000150	NB625_RS02985	MHP168L_RS02860
OG0000151	NB625_RS02940	MHP168L_RS02815
OG0000152	NB625_RS02935	MHP168L_RS02810
OG0000153	NB625_RS02930	MHP168L_RS02805
OG0000154	NB625_RS02920	MHP168L_RS02795
OG0000155	NB625_RS02880	MHP168L_RS02755
OG0000156	NB625_RS02870	MHP168L_RS02745
OG0000157	NB625_RS02865	MHP168L_RS02740
OG0000158	NB625_RS02855	MHP168L_RS04120
OG0000159	NB625_RS02610	MHP168L_RS04145
OG0000160	NB625_RS02605	MHP168L_RS02485
OG0000161	NB625_RS02600	MHP168L_RS02480
OG0000162	NB625_RS02590	MHP168L_RS02470
OG0000163	NB625_RS02585	MHP168L_RS02465
OG0000164	NB625_RS01610	MHP168L_RS01825
OG0000165	NB625_RS01945	MHP168L_RS02030
OG0000166	NB625_RS01960	MHP168L_RS02050
OG0000167	NB625_RS01975	MHP168L_RS02065
OG0000168	NB625_RS01980	MHP168L_RS02070
OG0000169	NB625_RS03200	MHP168L_RS03045
OG0000170	NB625_RS03215	MHP168L_RS03060
OG0000171	NB625_RS03225	MHP168L_RS03070
OG0000172	NB625_RS03230	MHP168L_RS03075
OG0000173	NB625_RS03235	MHP168L_RS03080
OG0000174	NB625_RS03240	MHP168L_RS03085
OG0000175	NB625_RS03255	MHP168L_RS03100
OG0000176	NB625_RS03315	MHP168L_RS03150
OG0000177	NB625_RS03320	MHP168L_RS03155
OG0000178	NB625_RS03330	MHP168L_RS03160
OG0000179	NB625_RS03335	MHP168L_RS03170
OG0000180	NB625_RS03340	MHP168L_RS03175
OG0000181	NB625_RS03380	MHP168L_RS03215
OG0000182	NB625_RS03390	MHP168L_RS03225
OG0000183	NB625_RS03425	MHP168L_RS03260
OG0000184	NB625_RS03470	MHP168L_RS03300
OG0000185	NB625_RS03455	MHP168L_RS03285
OG0000186	NB625_RS01530	MHP168L_RS01615
OG0000187	NB625_RS01545	MHP168L_RS01630
OG0000188	NB625_RS01555	MHP168L_RS01640
OG0000189	NB625_RS02450	MHP168L_RS02320
OG0000190	NB625_RS02445	MHP168L_RS02315
OG0000191	NB625_RS02420	MHP168L_RS02295
OG0000192	NB625_RS01215	MHP168L_RS01300
OG0000193	NB625_RS01200	MHP168L_RS01290
OG0000194	NB625_RS00995	MHP168L_RS00970
OG0000195	NB625_RS00990	MHP168L_RS00965
OG0000196	NB625_RS00965	MHP168L_RS00945
OG0000197	NB625_RS00960	MHP168L_RS00940
OG0000198	NB625_RS00945	MHP168L_RS00925
OG0000199	NB625_RS00940	MHP168L_RS00920
OG0000200	NB625_RS00925	MHP168L_RS00910
OG0000201	NB625_RS00915	MHP168L_RS00900
OG0000202	NB625_RS00860	MHP168L_RS00845
OG0000203	NB625_RS00855	MHP168L_RS00840
OG0000204	NB625_RS00850	MHP168L_RS00835
OG0000205	NB625_RS00845	MHP168L_RS00830
OG0000206	NB625_RS00825	MHP168L_RS00810
OG0000207	NB625_RS00810	MHP168L_RS00795
OG0000208	NB625_RS00805	MHP168L_RS00790
OG0000209	NB625_RS00800	MHP168L_RS00785
OG0000210	NB625_RS00755	MHP168L_RS00735
OG0000211	NB625_RS00745	MHP168L_RS00720
OG0000212	NB625_RS00735	MHP168L_RS00710
OG0000213	NB625_RS00730	MHP168L_RS03705
OG0000214	NB625_RS00725	MHP168L_RS00705
OG0000215	NB625_RS00720	MHP168L_RS00700
OG0000216	NB625_RS00715	MHP168L_RS00695
OG0000217	NB625_RS00710	MHP168L_RS00690
OG0000218	NB625_RS00700	MHP168L_RS00680
OG0000219	NB625_RS00695	MHP168L_RS00675
OG0000220	NB625_RS00690	MHP168L_RS00670
OG0000221	NB625_RS00685	MHP168L_RS00665
OG0000222	NB625_RS00680	MHP168L_RS00660
OG0000223	NB625_RS00675	MHP168L_RS00655
OG0000224	NB625_RS00665	MHP168L_RS00645
OG0000225	NB625_RS00655	MHP168L_RS00635
OG0000226	NB625_RS00650	MHP168L_RS00630
OG0000227	NB625_RS00645	MHP168L_RS00625
OG0000228	NB625_RS00640	MHP168L_RS04125
OG0000229	NB625_RS00635	MHP168L_RS00615
OG0000230	NB625_RS00630	MHP168L_RS00610
OG0000231	NB625_RS00620	MHP168L_RS00600
OG0000232	NB625_RS00610	MHP168L_RS00590
OG0000233	NB625_RS01100	MHP168L_RS01075
OG0000234	NB625_RS01135	MHP168L_RS01110
OG0000235	NB625_RS01145	MHP168L_RS01120
OG0000236	NB625_RS01150	MHP168L_RS01125
OG0000237	NB625_RS01155	MHP168L_RS01130
OG0000238	NB625_RS01160	MHP168L_RS01140
OG0000239	NB625_RS03100	MHP168L_RS02975
OG0000240	NB625_RS03105	MHP168L_RS02980
OG0000241	NB625_RS03115	MHP168L_RS02990
OG0000242	NB625_RS03120	MHP168L_RS02995
OG0000243	NB625_RS03125	MHP168L_RS03000
OG0000244	NB625_RS03135	MHP168L_RS03010
OG0000245	NB625_RS03145	MHP168L_RS03020
OG0000246	NB625_RS00145	MHP168L_RS00120
OG0000247	NB625_RS00155	MHP168L_RS00130
OG0000248	NB625_RS00165	MHP168L_RS00140
OG0000249	NB625_RS00170	MHP168L_RS00145
OG0000250	NB625_RS00185	MHP168L_RS00160
OG0000251	NB625_RS00215	MHP168L_RS00185
OG0000252	NB625_RS00225	MHP168L_RS00195
OG0000253	NB625_RS00230	MHP168L_RS00200
OG0000254	NB625_RS00240	MHP168L_RS00210
OG0000255	NB625_RS00245	MHP168L_RS00220
OG0000256	NB625_RS00250	MHP168L_RS00225
OG0000257	NB625_RS00275	MHP168L_RS00250
OG0000258	NB625_RS00285	MHP168L_RS00260
OG0000259	NB625_RS00315	MHP168L_RS00290
OG0000260	NB625_RS00325	MHP168L_RS00300
OG0000261	NB625_RS00335	MHP168L_RS00310
OG0000262	NB625_RS00350	MHP168L_RS00325
OG0000263	NB625_RS00365	MHP168L_RS00340
OG0000264	NB625_RS00385	MHP168L_RS00355
OG0000265	NB625_RS00390	MHP168L_RS00365
OG0000266	NB625_RS00405	MHP168L_RS00380
OG0000267	NB625_RS00420	MHP168L_RS00395
OG0000268	NB625_RS00425	MHP168L_RS00400
OG0000269	NB625_RS00440	MHP168L_RS00415
OG0000270	NB625_RS03640	MHP168L_RS03475
OG0000271	NB625_RS03635	MHP168L_RS03470
OG0000272	NB625_RS03630	MHP168L_RS03465
OG0000273	NB625_RS03625	MHP168L_RS03460
OG0000274	NB625_RS03610	MHP168L_RS03440
OG0000275	NB625_RS03600	MHP168L_RS03435
OG0000276	NB625_RS03595	MHP168L_RS03430
OG0000277	NB625_RS03585	MHP168L_RS03420
OG0000278	NB625_RS03580	MHP168L_RS03415
OG0000279	NB625_RS03570	MHP168L_RS03405
OG0000280	NB625_RS03565	MHP168L_RS03400
OG0000281	NB625_RS03560	MHP168L_RS03780
OG0000282	NB625_RS03535	MHP168L_RS03375
OG0000283	NB625_RS03530	MHP168L_RS03370
OG0000284	NB625_RS03525	MHP168L_RS03365
OG0000285	NB625_RS03520	MHP168L_RS03360
OG0000286	NB625_RS02570	MHP168L_RS02450
OG0000287	NB625_RS02670	MHP168L_RS02550
OG0000288	NB625_RS02680	MHP168L_RS02560
OG0000289	NB625_RS02685	MHP168L_RS02565
OG0000290	NB625_RS02800	MHP168L_RS02675
OG0000291	NB625_RS02790	MHP168L_RS02665
OG0000292	NB625_RS02785	MHP168L_RS02660
OG0000293	NB625_RS02780	MHP168L_RS02655
OG0000294	NB625_RS02770	MHP168L_RS02645
OG0000295	NB625_RS02765	MHP168L_RS02640
OG0000296	NB625_RS02720	MHP168L_RS02600
OG0000297	NB625_RS02715	MHP168L_RS02595
OG0000298	NB625_RS00180	MHP168L_RS00155
OG0000299	NB625_RS00200	MHP168L_RS03690
OG0000300	NB625_RS00375	MHP168L_RS00350
OG0000301	NB625_RS00410	MHP168L_RS00385
OG0000302	NB625_RS00415	MHP168L_RS00390
OG0000303	NB625_RS00560	MHP168L_RS00545
OG0000304	NB625_RS00605	MHP168L_RS00585
OG0000305	NB625_RS03035	MHP168L_RS02910
OG0000306	NB625_RS02960	MHP168L_RS02835
OG0000307	NB625_RS02925	MHP168L_RS02800
OG0000308	NB625_RS02825	MHP168L_RS02700
OG0000309	NB625_RS02755	MHP168L_RS02630
OG0000310	NB625_RS02675	MHP168L_RS02555
OG0000311	NB625_RS02630	MHP168L_RS02510
OG0000312	NB625_RS02615	MHP168L_RS02495
OG0000313	NB625_RS01600	MHP168L_RS01835
OG0000314	NB625_RS01955	MHP168L_RS02045
OG0000315	NB625_RS01985	MHP168L_RS02075
OG0000316	NB625_RS01995	MHP168L_RS02085
OG0000317	NB625_RS02185	MHP168L_RS02225
OG0000318	NB625_RS02000	MHP168L_RS02090
OG0000319	NB625_RS02375	MHP168L_RS02160
OG0000320	NB625_RS02505	MHP168L_RS02385
OG0000321	NB625_RS01335	MHP168L_RS01425
OG0000322	NB625_RS01380	MHP168L_RS01470
OG0000323	NB625_RS01515	MHP168L_RS01600
OG0000324	NB625_RS02415	MHP168L_RS02290
OG0000325	NB625_RS00985	MHP168L_RS00960
OG0000326	NB625_RS00885	MHP168L_RS00870
OG0000327	NB625_RS00880	MHP168L_RS00865
OG0000328	NB625_RS00795	MHP168L_RS00780
OG0000329	NB625_RS00775	MHP168L_RS00755
OG0000330	NB625_RS01110	MHP168L_RS01085
OG0000331	NB625_RS03130	MHP168L_RS03005
OG0000332	NB625_RS03270	MHP168L_RS03110
OG0000333	NB625_RS03280	MHP168L_RS03120
OG0000334	NB625_RS03385	MHP168L_RS03220
OG0000335	NB625_RS03395	MHP168L_RS03230
OG0000336	NB625_RS03550	MHP168L_RS03390
OG0000337	NB625_RS03715	MHP168L_RS03620
OG0000338	NB625_RS03755	MHP168L_RS03660
OG0000339	NB625_RS02480	MHP168L_RS02355
OG0000340	NB625_RS01315	MHP168L_RS01400
OG0000341	NB625_RS02440	MHP168L_RS02310
OG0000342	NB625_RS00955	MHP168L_RS00930
OG0000343	NB625_RS03290	MHP168L_RS03130
OG0000344	NB625_RS00575	MHP168L_RS00560
OG0000345	NB625_RS00660	MHP168L_RS00640
OG0000346	NB625_RS03555	MHP168L_RS03395
OG0000347	NB625_RS01405	MHP168L_RS01495
OG0000348	NB625_RS00875	MHP168L_RS00860
OG0000349	NB625_RS03615	MHP168L_RS03450
OG0000350	NB625_RS02915	MHP168L_RS02790
OG0000351	NB625_RS00495	MHP168L_RS00475
OG0000352	NB625_RS01935	MHP168L_RS02025
OG0000353	NB625_RS01375	MHP168L_RS01465
OG0000354	NB625_RS01050	MHP168L_RS01015
OG0000355	NB625_RS01910	MHP168L_RS01995
OG0000356	NB625_RS01990	MHP168L_RS02080
OG0000357	NB625_RS03245	MHP168L_RS03090
OG0000358	NB625_RS03250	MHP168L_RS03095
OG0000359	NB625_RS00905	MHP168L_RS00890
OG0000360	NB625_RS00280	MHP168L_RS00255
OG0000361	NB625_RS00310	MHP168L_RS00285
OG0000362	NB625_RS02695	MHP168L_RS02575
OG0000363	NB625_RS01445	MHP168L_RS03960
OG0000364	NB625_RS01885	MHP168L_RS01970
OG0000365	NB625_RS02040	MHP168L_RS02280
OG0000366	NB625_RS02060	MHP168L_RS02255
OG0000367	NB625_RS02165	MHP168L_RS02245
OG0000368	NB625_RS00060	MHP168L_RS00060
OG0000369	NB625_RS00025	MHP168L_RS00025
OG0000370	NB625_RS00020	MHP168L_RS00020
OG0000371	NB625_RS00015	MHP168L_RS00015
OG0000372	NB625_RS00010	MHP168L_RS00010
OG0000373	NB625_RS03745	MHP168L_RS03650
OG0000374	NB625_RS03735	MHP168L_RS03640
OG0000375	NB625_RS02370	MHP168L_RS02165
OG0000376	NB625_RS02520	MHP168L_RS02400
OG0000377	NB625_RS02510	MHP168L_RS02390
OG0000378	NB625_RS01295	MHP168L_RS01380
OG0000379	NB625_RS01370	MHP168L_RS01460
OG0000380	NB625_RS01400	MHP168L_RS01485
OG0000381	NB625_RS01435	MHP168L_RS01525
OG0000382	NB625_RS01470	MHP168L_RS01555
OG0000383	NB625_RS01510	MHP168L_RS01595
OG0000384	NB625_RS00515	MHP168L_RS00500
OG0000385	NB625_RS00520	MHP168L_RS00505
OG0000386	NB625_RS00540	MHP168L_RS00525
OG0000387	NB625_RS00565	MHP168L_RS00550
OG0000388	NB625_RS00570	MHP168L_RS00555
OG0000389	NB625_RS01070	MHP168L_RS01035
OG0000390	NB625_RS03055	MHP168L_RS02930
OG0000391	NB625_RS03045	MHP168L_RS02920
OG0000392	NB625_RS03020	MHP168L_RS02895
OG0000393	NB625_RS02965	MHP168L_RS02840
OG0000394	NB625_RS02895	MHP168L_RS02765
OG0000395	NB625_RS02885	MHP168L_RS02760
OG0000396	NB625_RS02575	MHP168L_RS02455
OG0000397	NB625_RS01920	MHP168L_RS02010
OG0000398	NB625_RS01925	MHP168L_RS02015
OG0000399	NB625_RS01970	MHP168L_RS02060
OG0000400	NB625_RS03210	MHP168L_RS03055
OG0000401	NB625_RS03275	MHP168L_RS03115
OG0000402	NB625_RS03285	MHP168L_RS03125
OG0000403	NB625_RS03295	MHP168L_RS03135
OG0000405	NB625_RS03350	MHP168L_RS03180
OG0000406	NB625_RS03400	MHP168L_RS03235
OG0000407	NB625_RS03405	MHP168L_RS03240
OG0000408	NB625_RS03410	MHP168L_RS03245
OG0000409	NB625_RS03415	MHP168L_RS03250
OG0000410	NB625_RS03480	MHP168L_RS03305
OG0000411	NB625_RS03465	MHP168L_RS03295
OG0000412	NB625_RS03460	MHP168L_RS03290
OG0000413	NB625_RS01525	MHP168L_RS01610
OG0000414	NB625_RS01535	MHP168L_RS01620
OG0000415	NB625_RS01540	MHP168L_RS01625
OG0000416	NB625_RS01550	MHP168L_RS01635
OG0000417	NB625_RS02435	MHP168L_RS02305
OG0000418	NB625_RS02425	MHP168L_RS02300
OG0000419	NB625_RS00970	MHP168L_RS00950
OG0000420	NB625_RS00935	MHP168L_RS00915
OG0000421	NB625_RS00900	MHP168L_RS00885
OG0000422	NB625_RS00895	MHP168L_RS00875
OG0000423	NB625_RS00835	MHP168L_RS00820
OG0000424	NB625_RS00830	MHP168L_RS00815
OG0000425	NB625_RS00820	MHP168L_RS00805
OG0000426	NB625_RS00815	MHP168L_RS00800
OG0000427	NB625_RS00790	MHP168L_RS00775
OG0000428	NB625_RS00765	MHP168L_RS00745
OG0000429	NB625_RS00670	MHP168L_RS00650
OG0000430	NB625_RS00625	MHP168L_RS00605
OG0000431	NB625_RS00615	MHP168L_RS00595
OG0000432	NB625_RS01105	MHP168L_RS01080
OG0000433	NB625_RS01120	MHP168L_RS01095
OG0000434	NB625_RS01130	MHP168L_RS01100
OG0000435	NB625_RS01140	MHP168L_RS01115
OG0000436	NB625_RS01165	MHP168L_RS01145
OG0000437	NB625_RS01175	MHP168L_RS01155
OG0000438	NB625_RS01180	MHP168L_RS01160
OG0000439	NB625_RS01185	MHP168L_RS01165
OG0000440	NB625_RS03110	MHP168L_RS02985
OG0000441	NB625_RS03150	MHP168L_RS03025
OG0000442	NB625_RS00150	MHP168L_RS00125
OG0000443	NB625_RS00195	MHP168L_RS00170
OG0000444	NB625_RS00210	MHP168L_RS00180
OG0000445	NB625_RS00235	MHP168L_RS00205
OG0000446	NB625_RS00260	MHP168L_RS00235
OG0000447	NB625_RS00265	MHP168L_RS00240
OG0000448	NB625_RS00295	MHP168L_RS00270
OG0000449	NB625_RS00320	MHP168L_RS00295
OG0000450	NB625_RS00330	MHP168L_RS00305
OG0000451	NB625_RS00370	MHP168L_RS00345
OG0000452	NB625_RS00395	MHP168L_RS00370
OG0000453	NB625_RS00430	MHP168L_RS00405
OG0000455	NB625_RS03660	MHP168L_RS03495
OG0000456	NB625_RS03540	MHP168L_RS03380
OG0000457	NB625_RS03510	MHP168L_RS03355
OG0000458	NB625_RS02665	MHP168L_RS02545
OG0000459	NB625_RS02690	MHP168L_RS02570
OG0000460	NB625_RS02700	MHP168L_RS02580
OG0000461	NB625_RS02745	MHP168L_RS02625
OG0000462	NB625_RS02740	MHP168L_RS02620
OG0000463	NB625_RS02735	MHP168L_RS02615
OG0000464	NB625_RS02730	MHP168L_RS02610
OG0000465	NB625_RS02725	MHP168L_RS02605
OG0000466	NB625_RS00400	MHP168L_RS00375
OG0000467	NB625_RS02835	MHP168L_RS02710
OG0000468	NB625_RS01965	MHP168L_RS02055
OG0000469	NB625_RS02025	MHP168L_RS02115
OG0000470	NB625_RS00840	MHP168L_RS03850
OG0000471	NB625_RS00760	MHP168L_RS00740
OG0000472	NB625_RS03485	MHP168L_RS03315
OG0000473	NB625_RS03645	MHP168L_RS03485
OG0000475	NB625_RS03655	MHP168L_RS03490
OG0000476	NB625_RS01565	MHP168L_RS01645
OG0000477	NB625_RS02775	MHP168L_RS02650
OG0000478	NB625_RS03590	MHP168L_RS03425
OG0000479	NB625_RS01330	MHP168L_RS01420
OG0000480	NB625_RS02030	MHP168L_RS03885
OG0000481	NB625_RS00865	MHP168L_RS00850
OG0000482	NB625_RS01205	MHP168L_RS01295
OG0000483	NB625_RS02170	MHP168L_RS02240
OG0000484	NB625_RS00205	MHP168L_RS00175
OG0000485	NB625_RS01170	MHP168L_RS01150
OG0000486	NB625_RS02455	MHP168L_RS02325
OG0000487	NB625_RS02005	MHP168L_RS02095
OG0000488	NB625_RS02045	MHP168L_RS02270
OG0000489	NB625_RS00050	MHP168L_RS00050
OG0000490	NB625_RS03750	MHP168L_RS03655
OG0000491	NB625_RS01350	MHP168L_RS01440
OG0000492	NB625_RS01425	MHP168L_RS01515
OG0000493	NB625_RS00580	MHP168L_RS00565
OG0000495	NB625_RS02990	MHP168L_RS02865
OG0000496	NB625_RS02980	MHP168L_RS02855
OG0000498	NB625_RS02900	MHP168L_RS02770
OG0000499	NB625_RS02860	MHP168L_RS02735
OG0000500	NB625_RS01930	MHP168L_RS02020
OG0000501	NB625_RS03220	MHP168L_RS03065
OG0000503	NB625_RS00920	MHP168L_RS00905
OG0000505	NB625_RS00750	MHP168L_RS00725
OG0000506	NB625_RS00740	MHP168L_RS00715
OG0000507	NB625_RS00705	MHP168L_RS00685
OG0000508	NB625_RS00255	MHP168L_RS00230
OG0000509	NB625_RS00290	MHP168L_RS00265
OG0000510	NB625_RS00300	MHP168L_RS00275
OG0000511	NB625_RS00435	MHP168L_RS00410
OG0000512	NB625_RS02705	MHP168L_RS02585
OG0000513	NB625_RS03575	MHP168L_RS03410
OG0000514	NB625_RS03015	MHP168L_RS02890
OG0000515	NB625_RS01570, NB625_RS01840	MHP168L_RS01655
OG0000516	NB625_RS02015	MHP168L_RS02100
