Orthogroup	MHP_153B_genes	MHP_Ue273_genes
OG0000023	NB625_RS01320	VQY17_RS01335
OG0000024	NB625_RS02905	VQY17_RS02725
OG0000024	NB625_RS01275	VQY17_RS01295
OG0000025	NB625_RS01670	VQY17_RS01700
OG0000025	NB625_RS01715	VQY17_RS01755
OG0000026	NB625_RS01365	VQY17_RS01380
OG0000026	NB625_RS01695	VQY17_RS01735
OG0000027	NB625_RS03505	VQY17_RS03330
OG0000028	NB625_RS02565	VQY17_RS02415
OG0000029	NB625_RS00600	VQY17_RS01115
OG0000029	NB625_RS01080	VQY17_RS00610
OG0000031	NB625_RS01605	VQY17_RS01635
OG0000032	NB625_RS01585	VQY17_RS01610
OG0000033	NB625_RS02555	VQY17_RS02410
OG0000035	NB625_RS03365	VQY17_RS03200
OG0000036	NB625_RS00110	VQY17_RS00115
OG0000036	NB625_RS00130	VQY17_RS00130
OG0000037	NB625_RS01595	VQY17_RS01620
OG0000038	NB625_RS01745	VQY17_RS01860
OG0000038	NB625_RS00500	VQY17_RS00500
OG0000039	NB625_RS01615	VQY17_RS01650, VQY17_RS01645
OG0000040	NB625_RS03440	VQY17_RS03270
OG0000041	NB625_RS01015	VQY17_RS00670
OG0000042	NB625_RS03095	VQY17_RS02925
OG0000043	NB625_RS01915	VQY17_RS01990
OG0000044	NB625_RS01680	VQY17_RS01710
OG0000045	NB625_RS01620	VQY17_RS01655
OG0000046	NB625_RS03445	VQY17_RS03280
OG0000046	NB625_RS03450	VQY17_RS03285
OG0000048	NB625_RS02195	VQY17_RS02180
OG0000049	NB625_RS03205	VQY17_RS03040
OG0000050	NB625_RS02595	VQY17_RS02445
OG0000051	NB625_RS02810	VQY17_RS02645
OG0000052	NB625_RS00075	VQY17_RS00075
OG0000053	NB625_RS01450	VQY17_RS01470
OG0000054	NB625_RS02620	VQY17_RS02470
OG0000055	NB625_RS00135	VQY17_RS00135
OG0000056	NB625_RS03680	VQY17_RS03535
OG0000057	NB625_RS03080	VQY17_RS02900, VQY17_RS02905
OG0000060	NB625_RS00080	VQY17_RS00080
OG0000061	NB625_RS01860	VQY17_RS01930
OG0000062	NB625_RS03725	VQY17_RS03585
OG0000063	NB625_RS03720	VQY17_RS03580
OG0000064	NB625_RS03710	VQY17_RS03570
OG0000065	NB625_RS02395	VQY17_RS02255
OG0000066	NB625_RS01355	VQY17_RS01370
OG0000067	NB625_RS00525	VQY17_RS00525
OG0000068	NB625_RS01040	VQY17_RS00645
OG0000069	NB625_RS02975	VQY17_RS02795
OG0000070	NB625_RS02625	VQY17_RS02475
OG0000071	NB625_RS03430	VQY17_RS03260
OG0000072	NB625_RS03435	VQY17_RS03265
OG0000073	NB625_RS00980	VQY17_RS00705
OG0000074	NB625_RS00780	VQY17_RS00910
OG0000075	NB625_RS00345	VQY17_RS00345
OG0000076	NB625_RS00360	VQY17_RS00360
OG0000077	NB625_RS00445	VQY17_RS00445
OG0000078	NB625_RS01685	VQY17_RS01715
OG0000079	NB625_RS02710	VQY17_RS02550
OG0000080	NB625_RS02760	VQY17_RS02595
OG0000081	NB625_RS00340	VQY17_RS00340
OG0000082	NB625_RS02540	VQY17_RS02400
OG0000083	NB625_RS02020	VQY17_RS02095
OG0000084	NB625_RS02050	VQY17_RS02125
OG0000085	NB625_RS02055	VQY17_RS02135
OG0000086	NB625_RS02160	VQY17_RS02145
OG0000087	NB625_RS02175	VQY17_RS02160
OG0000088	NB625_RS02180	VQY17_RS02165
OG0000089	NB625_RS02190	VQY17_RS02175
OG0000090	NB625_RS00070	VQY17_RS00070
OG0000091	NB625_RS00055	VQY17_RS00055
OG0000092	NB625_RS00040	VQY17_RS00040
OG0000093	NB625_RS00035	VQY17_RS00035
OG0000094	NB625_RS00030	VQY17_RS00030
OG0000095	NB625_RS00005	VQY17_RS00005
OG0000096	NB625_RS03760	VQY17_RS03620
OG0000097	NB625_RS03740	VQY17_RS03600
OG0000098	NB625_RS03730	VQY17_RS03590
OG0000099	NB625_RS03685	VQY17_RS03540
OG0000100	NB625_RS03675	VQY17_RS03525
OG0000101	NB625_RS03665	VQY17_RS03520
OG0000102	NB625_RS01710	VQY17_RS01750
OG0000103	NB625_RS02360	VQY17_RS02220
OG0000104	NB625_RS02365	VQY17_RS02225
OG0000105	NB625_RS02380	VQY17_RS02240
OG0000106	NB625_RS02390	VQY17_RS02250
OG0000107	NB625_RS02400	VQY17_RS02260
OG0000108	NB625_RS02405	VQY17_RS02265
OG0000109	NB625_RS02410	VQY17_RS02270
OG0000110	NB625_RS02530	VQY17_RS02390
OG0000111	NB625_RS02525	VQY17_RS02385
OG0000112	NB625_RS02515	VQY17_RS02375
OG0000113	NB625_RS02495	VQY17_RS02355
OG0000114	NB625_RS02485	VQY17_RS02345
OG0000115	NB625_RS02475	VQY17_RS02335
OG0000116	NB625_RS01300	VQY17_RS01315
OG0000117	NB625_RS01305	VQY17_RS01320
OG0000118	NB625_RS01340	VQY17_RS01355
OG0000119	NB625_RS01345	VQY17_RS01360
OG0000120	NB625_RS01360	VQY17_RS01375
OG0000121	NB625_RS01385	VQY17_RS01405
OG0000122	NB625_RS01390	VQY17_RS01410
OG0000123	NB625_RS01410	VQY17_RS01430
OG0000124	NB625_RS01415	VQY17_RS01435
OG0000125	NB625_RS01420	VQY17_RS01440
OG0000126	NB625_RS01430	VQY17_RS01455
OG0000127	NB625_RS01440	VQY17_RS01460
OG0000128	NB625_RS01460	VQY17_RS01475
OG0000129	NB625_RS01465	VQY17_RS01480
OG0000130	NB625_RS01475	VQY17_RS01490
OG0000131	NB625_RS01505	VQY17_RS01520
OG0000132	NB625_RS01520	VQY17_RS01535
OG0000133	NB625_RS00530	VQY17_RS00530
OG0000134	NB625_RS00535	VQY17_RS00535
OG0000135	NB625_RS00550	VQY17_RS00550
OG0000136	NB625_RS00555	VQY17_RS00555
OG0000137	NB625_RS00595	VQY17_RS00595
OG0000138	NB625_RS01065	VQY17_RS00620
OG0000139	NB625_RS01035	VQY17_RS00650
OG0000140	NB625_RS01030	VQY17_RS00655
OG0000141	NB625_RS03090	VQY17_RS02915
OG0000142	NB625_RS03085	VQY17_RS02910
OG0000143	NB625_RS03065	VQY17_RS02885
OG0000144	NB625_RS03050	VQY17_RS02875
OG0000145	NB625_RS03040	VQY17_RS02865
OG0000146	NB625_RS03030	VQY17_RS02855
OG0000147	NB625_RS03025	VQY17_RS02850
OG0000148	NB625_RS03010	VQY17_RS02835
OG0000149	NB625_RS03000	VQY17_RS02825
OG0000150	NB625_RS02985	VQY17_RS02810
OG0000151	NB625_RS02940	VQY17_RS02760
OG0000152	NB625_RS02935	VQY17_RS02755
OG0000153	NB625_RS02930	VQY17_RS02750
OG0000154	NB625_RS02920	VQY17_RS02740
OG0000155	NB625_RS02880	VQY17_RS02705
OG0000156	NB625_RS02870	VQY17_RS02695
OG0000157	NB625_RS02865	VQY17_RS02690
OG0000158	NB625_RS02855	VQY17_RS02680
OG0000159	NB625_RS02610	VQY17_RS02460
OG0000160	NB625_RS02605	VQY17_RS02455
OG0000161	NB625_RS02600	VQY17_RS02450
OG0000162	NB625_RS02590	VQY17_RS02440
OG0000163	NB625_RS02585	VQY17_RS02435
OG0000164	NB625_RS01610	VQY17_RS01640
OG0000165	NB625_RS01945	VQY17_RS02015
OG0000166	NB625_RS01960	VQY17_RS02035
OG0000167	NB625_RS01975	VQY17_RS02050
OG0000168	NB625_RS01980	VQY17_RS02055
OG0000169	NB625_RS03200	VQY17_RS03035
OG0000170	NB625_RS03215	VQY17_RS03050
OG0000171	NB625_RS03225	VQY17_RS03060
OG0000172	NB625_RS03230	VQY17_RS03065
OG0000173	NB625_RS03235	VQY17_RS03070
OG0000174	NB625_RS03240	VQY17_RS03075
OG0000175	NB625_RS03255	VQY17_RS03090
OG0000176	NB625_RS03315	VQY17_RS03135
OG0000177	NB625_RS03320	VQY17_RS03140
OG0000178	NB625_RS03330	VQY17_RS03145
OG0000179	NB625_RS03335	VQY17_RS03155
OG0000180	NB625_RS03340	VQY17_RS03160
OG0000181	NB625_RS03380	VQY17_RS03210
OG0000182	NB625_RS03390	VQY17_RS03220
OG0000183	NB625_RS03425	VQY17_RS03255
OG0000184	NB625_RS03470	VQY17_RS03305
OG0000185	NB625_RS03455	VQY17_RS03290
OG0000186	NB625_RS01530	VQY17_RS01545
OG0000187	NB625_RS01545	VQY17_RS01560
OG0000188	NB625_RS01555	VQY17_RS01570
OG0000189	NB625_RS02450	VQY17_RS02305
OG0000190	NB625_RS02445	VQY17_RS02300
OG0000191	NB625_RS02420	VQY17_RS02280
OG0000192	NB625_RS01215	VQY17_RS01240
OG0000193	NB625_RS01200	VQY17_RS01230
OG0000194	NB625_RS00995	VQY17_RS00690
OG0000195	NB625_RS00990	VQY17_RS00695
OG0000196	NB625_RS00965	VQY17_RS00715
OG0000197	NB625_RS00960	VQY17_RS00720
OG0000198	NB625_RS00945	VQY17_RS00735
OG0000199	NB625_RS00940	VQY17_RS00740
OG0000200	NB625_RS00925	VQY17_RS00755
OG0000201	NB625_RS00915	VQY17_RS00765
OG0000202	NB625_RS00860	VQY17_RS00825
OG0000203	NB625_RS00855	VQY17_RS00830
OG0000204	NB625_RS00850	VQY17_RS00835
OG0000205	NB625_RS00845	VQY17_RS00840
OG0000206	NB625_RS00825	VQY17_RS00860
OG0000207	NB625_RS00810	VQY17_RS00875
OG0000208	NB625_RS00805	VQY17_RS00880
OG0000209	NB625_RS00800	VQY17_RS00885
OG0000210	NB625_RS00755	VQY17_RS00935
OG0000211	NB625_RS00745	VQY17_RS00970
OG0000212	NB625_RS00735	VQY17_RS00980
OG0000213	NB625_RS00730	VQY17_RS00985
OG0000214	NB625_RS00725	VQY17_RS00990
OG0000215	NB625_RS00720	VQY17_RS00995
OG0000216	NB625_RS00715	VQY17_RS01000
OG0000217	NB625_RS00710	VQY17_RS01005
OG0000218	NB625_RS00700	VQY17_RS01015
OG0000219	NB625_RS00695	VQY17_RS01020
OG0000220	NB625_RS00690	VQY17_RS01025
OG0000221	NB625_RS00685	VQY17_RS01030
OG0000222	NB625_RS00680	VQY17_RS01035
OG0000223	NB625_RS00675	VQY17_RS01040
OG0000224	NB625_RS00665	VQY17_RS01050
OG0000225	NB625_RS00655	VQY17_RS01060
OG0000226	NB625_RS00650	VQY17_RS01065
OG0000227	NB625_RS00645	VQY17_RS01070
OG0000228	NB625_RS00640	VQY17_RS01075
OG0000229	NB625_RS00635	VQY17_RS01080
OG0000230	NB625_RS00630	VQY17_RS01085
OG0000231	NB625_RS00620	VQY17_RS01095
OG0000232	NB625_RS00610	VQY17_RS01105
OG0000233	NB625_RS01100	VQY17_RS01125
OG0000234	NB625_RS01135	VQY17_RS01165
OG0000235	NB625_RS01145	VQY17_RS01175
OG0000236	NB625_RS01150	VQY17_RS01180
OG0000237	NB625_RS01155	VQY17_RS01185
OG0000238	NB625_RS01160	VQY17_RS01190
OG0000239	NB625_RS03100	VQY17_RS02930
OG0000240	NB625_RS03105	VQY17_RS02935
OG0000241	NB625_RS03115	VQY17_RS02945
OG0000242	NB625_RS03120	VQY17_RS02950
OG0000243	NB625_RS03125	VQY17_RS02955
OG0000244	NB625_RS03135	VQY17_RS02965
OG0000245	NB625_RS03145	VQY17_RS02970
OG0000246	NB625_RS00145	VQY17_RS00140
OG0000247	NB625_RS00155	VQY17_RS00150
OG0000248	NB625_RS00165	VQY17_RS00160
OG0000249	NB625_RS00170	VQY17_RS00165
OG0000250	NB625_RS00185	VQY17_RS00180
OG0000251	NB625_RS00215	VQY17_RS00210
OG0000252	NB625_RS00225	VQY17_RS00220
OG0000253	NB625_RS00230	VQY17_RS00225
OG0000254	NB625_RS00240	VQY17_RS00235
OG0000255	NB625_RS00245	VQY17_RS00245
OG0000256	NB625_RS00250	VQY17_RS00250
OG0000257	NB625_RS00275	VQY17_RS00275
OG0000258	NB625_RS00285	VQY17_RS00285
OG0000259	NB625_RS00315	VQY17_RS00315
OG0000260	NB625_RS00325	VQY17_RS00325
OG0000261	NB625_RS00335	VQY17_RS00335
OG0000262	NB625_RS00350	VQY17_RS00350
OG0000263	NB625_RS00365	VQY17_RS00365
OG0000264	NB625_RS00385	VQY17_RS00380
OG0000265	NB625_RS00390	VQY17_RS00390
OG0000266	NB625_RS00405	VQY17_RS00405
OG0000267	NB625_RS00420	VQY17_RS00420
OG0000268	NB625_RS00425	VQY17_RS00425
OG0000269	NB625_RS00440	VQY17_RS00440
OG0000270	NB625_RS03640	VQY17_RS03495
OG0000271	NB625_RS03635	VQY17_RS03490
OG0000272	NB625_RS03630	VQY17_RS03485
OG0000273	NB625_RS03625	VQY17_RS03480
OG0000274	NB625_RS03610	VQY17_RS03460
OG0000275	NB625_RS03600	VQY17_RS03455
OG0000276	NB625_RS03595	VQY17_RS03450
OG0000277	NB625_RS03585	VQY17_RS03435
OG0000278	NB625_RS03580	VQY17_RS03430
OG0000279	NB625_RS03570	VQY17_RS03420
OG0000280	NB625_RS03565	VQY17_RS03415
OG0000281	NB625_RS03560	VQY17_RS03410
OG0000282	NB625_RS03535	VQY17_RS03380
OG0000283	NB625_RS03530	VQY17_RS03375
OG0000284	NB625_RS03525	VQY17_RS03370
OG0000285	NB625_RS03520	VQY17_RS03365
OG0000286	NB625_RS02570	VQY17_RS02420
OG0000287	NB625_RS02670	VQY17_RS02510
OG0000288	NB625_RS02680	VQY17_RS02520
OG0000289	NB625_RS02685	VQY17_RS02525
OG0000290	NB625_RS02800	VQY17_RS02635
OG0000291	NB625_RS02790	VQY17_RS02625
OG0000292	NB625_RS02785	VQY17_RS02620
OG0000293	NB625_RS02780	VQY17_RS02615
OG0000294	NB625_RS02770	VQY17_RS02605
OG0000295	NB625_RS02765	VQY17_RS02600
OG0000296	NB625_RS02720	VQY17_RS02560
OG0000297	NB625_RS02715	VQY17_RS02555
OG0000298	NB625_RS00180	VQY17_RS00175
OG0000299	NB625_RS00200	VQY17_RS00195
OG0000300	NB625_RS00375	VQY17_RS00375
OG0000301	NB625_RS00410	VQY17_RS00410
OG0000302	NB625_RS00415	VQY17_RS00415
OG0000303	NB625_RS00560	VQY17_RS00560
OG0000304	NB625_RS00605	VQY17_RS01110
OG0000305	NB625_RS03035	VQY17_RS02860
OG0000306	NB625_RS02960	VQY17_RS02785
OG0000307	NB625_RS02925	VQY17_RS02745
OG0000308	NB625_RS02825	VQY17_RS02655
OG0000309	NB625_RS02755	VQY17_RS02590
OG0000310	NB625_RS02675	VQY17_RS02515
OG0000311	NB625_RS02630	VQY17_RS02480
OG0000312	NB625_RS02615	VQY17_RS02465
OG0000313	NB625_RS01600	VQY17_RS01630
OG0000314	NB625_RS01955	VQY17_RS02030
OG0000315	NB625_RS01985	VQY17_RS02060
OG0000316	NB625_RS01995	VQY17_RS02070
OG0000317	NB625_RS02185	VQY17_RS02170
OG0000318	NB625_RS02000	VQY17_RS02075
OG0000319	NB625_RS02375	VQY17_RS02235
OG0000320	NB625_RS02505	VQY17_RS02365
OG0000321	NB625_RS01335	VQY17_RS01350
OG0000322	NB625_RS01380	VQY17_RS01400
OG0000323	NB625_RS01515	VQY17_RS01530
OG0000324	NB625_RS02415	VQY17_RS02275
OG0000325	NB625_RS00985	VQY17_RS00700
OG0000326	NB625_RS00885	VQY17_RS00800
OG0000327	NB625_RS00880	VQY17_RS00805
OG0000328	NB625_RS00795	VQY17_RS00890
OG0000329	NB625_RS00775	VQY17_RS00915
OG0000330	NB625_RS01110	VQY17_RS01135
OG0000331	NB625_RS03130	VQY17_RS02960
OG0000332	NB625_RS03270	VQY17_RS03100
OG0000333	NB625_RS03280	VQY17_RS03110
OG0000334	NB625_RS03385	VQY17_RS03215
OG0000335	NB625_RS03395	VQY17_RS03225
OG0000336	NB625_RS03550	VQY17_RS03400
OG0000337	NB625_RS03715	VQY17_RS03575
OG0000338	NB625_RS03755	VQY17_RS03615
OG0000339	NB625_RS02480	VQY17_RS02340
OG0000340	NB625_RS01315	VQY17_RS01330
OG0000341	NB625_RS02440	VQY17_RS02295
OG0000342	NB625_RS00955	VQY17_RS00730
OG0000343	NB625_RS03290	VQY17_RS03120
OG0000344	NB625_RS00575	VQY17_RS00575
OG0000345	NB625_RS00660	VQY17_RS01055
OG0000346	NB625_RS03555	VQY17_RS03405
OG0000347	NB625_RS01405	VQY17_RS01425
OG0000348	NB625_RS00875	VQY17_RS00810
OG0000349	NB625_RS03615	VQY17_RS03470
OG0000350	NB625_RS02915	VQY17_RS02735
OG0000351	NB625_RS00495	VQY17_RS00495
OG0000352	NB625_RS01935	VQY17_RS02010
OG0000353	NB625_RS01375	VQY17_RS01390
OG0000354	NB625_RS01050	VQY17_RS00635
OG0000355	NB625_RS01910	VQY17_RS01985
OG0000356	NB625_RS01990	VQY17_RS02065
OG0000357	NB625_RS03245	VQY17_RS03080
OG0000358	NB625_RS03250	VQY17_RS03085
OG0000359	NB625_RS00905	VQY17_RS00780
OG0000360	NB625_RS00280	VQY17_RS00280
OG0000361	NB625_RS00310	VQY17_RS00310
OG0000362	NB625_RS02695	VQY17_RS02535
OG0000363	NB625_RS01445	VQY17_RS01465
OG0000365	NB625_RS02040	VQY17_RS02110
OG0000366	NB625_RS02060	VQY17_RS02140
OG0000367	NB625_RS02165	VQY17_RS02150
OG0000368	NB625_RS00060	VQY17_RS00060
OG0000369	NB625_RS00025	VQY17_RS00025
OG0000370	NB625_RS00020	VQY17_RS00020
OG0000371	NB625_RS00015	VQY17_RS00015
OG0000372	NB625_RS00010	VQY17_RS00010
OG0000373	NB625_RS03745	VQY17_RS03605
OG0000374	NB625_RS03735	VQY17_RS03595
OG0000375	NB625_RS02370	VQY17_RS02230
OG0000376	NB625_RS02520	VQY17_RS02380
OG0000377	NB625_RS02510	VQY17_RS02370
OG0000378	NB625_RS01295	VQY17_RS01310
OG0000379	NB625_RS01370	VQY17_RS01385
OG0000380	NB625_RS01400	VQY17_RS01415
OG0000382	NB625_RS01470	VQY17_RS01485
OG0000383	NB625_RS01510	VQY17_RS01525
OG0000384	NB625_RS00515	VQY17_RS00515
OG0000385	NB625_RS00520	VQY17_RS00520
OG0000386	NB625_RS00540	VQY17_RS00540
OG0000387	NB625_RS00565	VQY17_RS00565
OG0000388	NB625_RS00570	VQY17_RS00570
OG0000389	NB625_RS01070	VQY17_RS00615
OG0000390	NB625_RS03055	VQY17_RS02880
OG0000391	NB625_RS03045	VQY17_RS02870
OG0000392	NB625_RS03020	VQY17_RS02845
OG0000393	NB625_RS02965	VQY17_RS02790
OG0000394	NB625_RS02895	VQY17_RS02715
OG0000395	NB625_RS02885	VQY17_RS02710
OG0000396	NB625_RS02575	VQY17_RS02425
OG0000397	NB625_RS01920	VQY17_RS01995
OG0000398	NB625_RS01925	VQY17_RS02000
OG0000399	NB625_RS01970	VQY17_RS02045
OG0000400	NB625_RS03210	VQY17_RS03045
OG0000401	NB625_RS03275	VQY17_RS03105
OG0000402	NB625_RS03285	VQY17_RS03115
OG0000403	NB625_RS03295	VQY17_RS03125
OG0000405	NB625_RS03350	VQY17_RS03165
OG0000406	NB625_RS03400	VQY17_RS03230
OG0000407	NB625_RS03405	VQY17_RS03235
OG0000408	NB625_RS03410	VQY17_RS03240
OG0000409	NB625_RS03415	VQY17_RS03245
OG0000410	NB625_RS03480	VQY17_RS03310
OG0000411	NB625_RS03465	VQY17_RS03300
OG0000412	NB625_RS03460	VQY17_RS03295
OG0000413	NB625_RS01525	VQY17_RS01540
OG0000414	NB625_RS01535	VQY17_RS01550
OG0000415	NB625_RS01540	VQY17_RS01555
OG0000416	NB625_RS01550	VQY17_RS01565
OG0000417	NB625_RS02435	VQY17_RS02290
OG0000418	NB625_RS02425	VQY17_RS02285
OG0000419	NB625_RS00970	VQY17_RS00710
OG0000420	NB625_RS00935	VQY17_RS00745
OG0000421	NB625_RS00900	VQY17_RS00785
OG0000422	NB625_RS00895	VQY17_RS00795
OG0000423	NB625_RS00835	VQY17_RS00850
OG0000424	NB625_RS00830	VQY17_RS00855
OG0000425	NB625_RS00820	VQY17_RS00865
OG0000426	NB625_RS00815	VQY17_RS00870
OG0000427	NB625_RS00790	VQY17_RS00900
OG0000428	NB625_RS00765	VQY17_RS00925
OG0000429	NB625_RS00670	VQY17_RS01045
OG0000430	NB625_RS00625	VQY17_RS01090
OG0000431	NB625_RS00615	VQY17_RS01100
OG0000432	NB625_RS01105	VQY17_RS01130
OG0000433	NB625_RS01120	VQY17_RS01145
OG0000434	NB625_RS01130	VQY17_RS01150
OG0000435	NB625_RS01140	VQY17_RS01170
OG0000436	NB625_RS01165	VQY17_RS01195
OG0000438	NB625_RS01180	VQY17_RS01210
OG0000439	NB625_RS01185	VQY17_RS01215
OG0000440	NB625_RS03110	VQY17_RS02940
OG0000441	NB625_RS03150	VQY17_RS02975
OG0000442	NB625_RS00150	VQY17_RS00145
OG0000443	NB625_RS00195	VQY17_RS00190
OG0000444	NB625_RS00210	VQY17_RS00205
OG0000445	NB625_RS00235	VQY17_RS00230
OG0000446	NB625_RS00260	VQY17_RS00260
OG0000447	NB625_RS00265	VQY17_RS00265
OG0000448	NB625_RS00295	VQY17_RS00295
OG0000449	NB625_RS00320	VQY17_RS00320
OG0000450	NB625_RS00330	VQY17_RS00330
OG0000451	NB625_RS00370	VQY17_RS00370
OG0000452	NB625_RS00395	VQY17_RS00395
OG0000453	NB625_RS00430	VQY17_RS00430
OG0000455	NB625_RS03660	VQY17_RS03515
OG0000456	NB625_RS03540	VQY17_RS03390
OG0000458	NB625_RS02665	VQY17_RS02505
OG0000459	NB625_RS02690	VQY17_RS02530
OG0000460	NB625_RS02700	VQY17_RS02540
OG0000461	NB625_RS02745	VQY17_RS02585
OG0000462	NB625_RS02740	VQY17_RS02580
OG0000463	NB625_RS02735	VQY17_RS02575
OG0000464	NB625_RS02730	VQY17_RS02570
OG0000465	NB625_RS02725	VQY17_RS02565
OG0000466	NB625_RS00400	VQY17_RS00400
OG0000467	NB625_RS02835	VQY17_RS02665
OG0000468	NB625_RS01965	VQY17_RS02040
OG0000469	NB625_RS02025	VQY17_RS02100
OG0000470	NB625_RS00840	VQY17_RS00845
OG0000471	NB625_RS00760	VQY17_RS00930
OG0000472	NB625_RS03485	VQY17_RS03320
OG0000473	NB625_RS03645	VQY17_RS03500
OG0000474	NB625_RS03650	VQY17_RS03505
OG0000475	NB625_RS03655	VQY17_RS03510
OG0000476	NB625_RS01565	VQY17_RS01575
OG0000477	NB625_RS02775	VQY17_RS02610
OG0000478	NB625_RS03590	VQY17_RS03445
OG0000479	NB625_RS01330	VQY17_RS01345
OG0000480	NB625_RS02030	VQY17_RS02105
OG0000481	NB625_RS00865	VQY17_RS00820
OG0000482	NB625_RS01205	VQY17_RS01235
OG0000483	NB625_RS02170	VQY17_RS02155
OG0000484	NB625_RS00205	VQY17_RS00200
OG0000485	NB625_RS01170	VQY17_RS01205
OG0000486	NB625_RS02455	VQY17_RS02310
OG0000487	NB625_RS02005	VQY17_RS02080
OG0000488	NB625_RS02045	VQY17_RS02120
OG0000489	NB625_RS00050	VQY17_RS00050
OG0000490	NB625_RS03750	VQY17_RS03610
OG0000491	NB625_RS01350	VQY17_RS01365
OG0000492	NB625_RS01425	VQY17_RS01445
OG0000493	NB625_RS00580	VQY17_RS00580
OG0000494	NB625_RS01045	VQY17_RS00640
OG0000495	NB625_RS02990	VQY17_RS02815
OG0000496	NB625_RS02980	VQY17_RS02805
OG0000498	NB625_RS02900	VQY17_RS02720
OG0000499	NB625_RS02860	VQY17_RS02685
OG0000500	NB625_RS01930	VQY17_RS02005
OG0000501	NB625_RS03220	VQY17_RS03055
OG0000503	NB625_RS00920	VQY17_RS00760
OG0000504	NB625_RS00785	VQY17_RS00905
OG0000505	NB625_RS00750	VQY17_RS00965
OG0000506	NB625_RS00740	VQY17_RS00975
OG0000507	NB625_RS00705	VQY17_RS01010
OG0000508	NB625_RS00255	VQY17_RS00255
OG0000509	NB625_RS00290	VQY17_RS00290
OG0000510	NB625_RS00300	VQY17_RS00305
OG0000511	NB625_RS00435	VQY17_RS00435
OG0000512	NB625_RS02705	VQY17_RS02545
OG0000513	NB625_RS03575	VQY17_RS03425
OG0000514	NB625_RS03015	VQY17_RS02840
OG0000516	NB625_RS02015	VQY17_RS02085
OG0000517	NB625_RS00065	VQY17_RS00065
OG0000518	NB625_RS03260	VQY17_RS03095
OG0000520	NB625_RS00770	VQY17_RS00920
OG0000521	NB625_RS00270	VQY17_RS00270
OG0000524	NB625_RS02830	VQY17_RS02660
OG0000525	NB625_RS03490	VQY17_RS03325
OG0000526	NB625_RS01825	VQY17_RS01905
OG0000527	NB625_RS01765	VQY17_RS01825
OG0000529	NB625_RS02385	VQY17_RS02245
OG0000530	NB625_RS02490	VQY17_RS02350
OG0000532	NB625_RS01625	VQY17_RS01660
OG0000533	NB625_RS01090	VQY17_RS00600
OG0000535	NB625_RS00045	VQY17_RS00045
OG0000536	NB625_RS03690	VQY17_RS03545
OG0000539	NB625_RS00220	VQY17_RS00215
OG0000540	NB625_RS02795	VQY17_RS02630
OG0000541	NB625_RS02875	VQY17_RS02700
OG0000542	NB625_RS00355	VQY17_RS00355
OG0000543	NB625_RS02070	VQY17_RS01600
OG0000544	NB625_RS01250	VQY17_RS01275
OG0000545	NB625_RS01815	VQY17_RS01895
OG0000546	NB625_RS02945	VQY17_RS02765
OG0000552	NB625_RS03305	VQY17_RS03130
OG0000553	NB625_RS02850, NB625_RS02845	VQY17_RS02675
