Orthogroup	MHP_153B_genes	MFC_ATCC27716_genes
OG0000233	NB625_RS01100	MFC_RS02190
OG0000234	NB625_RS01135	MFC_RS02220
OG0000235	NB625_RS01145	MFC_RS02230
OG0000236	NB625_RS01150	MFC_RS02235
OG0000237	NB625_RS01155	MFC_RS02250
OG0000238	NB625_RS01160	MFC_RS02255
OG0000239	NB625_RS03100	MFC_RS02285
OG0000240	NB625_RS03105	MFC_RS02290
OG0000241	NB625_RS03115	MFC_RS02300
OG0000242	NB625_RS03120	MFC_RS02305
OG0000243	NB625_RS03125	MFC_RS02310
OG0000244	NB625_RS03135	MFC_RS02320
OG0000245	NB625_RS03145	MFC_RS02330
OG0000246	NB625_RS00145	MFC_RS02345
OG0000247	NB625_RS00155	MFC_RS02355
OG0000248	NB625_RS00165	MFC_RS02380
OG0000249	NB625_RS00170	MFC_RS02385
OG0000250	NB625_RS00185	MFC_RS02400
OG0000251	NB625_RS00215	MFC_RS02430
OG0000252	NB625_RS00225	MFC_RS02440
OG0000253	NB625_RS00230	MFC_RS02445
OG0000254	NB625_RS00240	MFC_RS02455
OG0000255	NB625_RS00245	MFC_RS02465
OG0000256	NB625_RS00250	MFC_RS02470
OG0000257	NB625_RS00275	MFC_RS02495
OG0000258	NB625_RS00285	MFC_RS02505
OG0000259	NB625_RS00315	MFC_RS02535
OG0000260	NB625_RS00325	MFC_RS02545
OG0000261	NB625_RS00335	MFC_RS02555
OG0000262	NB625_RS00350	MFC_RS02570
OG0000263	NB625_RS00365	MFC_RS02585
OG0000264	NB625_RS00385	MFC_RS02600
OG0000265	NB625_RS00390	MFC_RS02610
OG0000266	NB625_RS00405	MFC_RS02625
OG0000267	NB625_RS00420	MFC_RS02640
OG0000268	NB625_RS00425	MFC_RS02645
OG0000269	NB625_RS00440	MFC_RS02660
OG0000270	NB625_RS03640	MFC_RS02720
OG0000271	NB625_RS03635	MFC_RS02725
OG0000272	NB625_RS03630	MFC_RS02730
OG0000273	NB625_RS03625	MFC_RS02735
OG0000274	NB625_RS03610	MFC_RS02755
OG0000275	NB625_RS03600	MFC_RS03455
OG0000276	NB625_RS03595	MFC_RS02765
OG0000277	NB625_RS03585	MFC_RS02775
OG0000278	NB625_RS03580	MFC_RS02780
OG0000279	NB625_RS03570	MFC_RS02790
OG0000280	NB625_RS03565	MFC_RS02795
OG0000281	NB625_RS03560	MFC_RS03255
OG0000282	NB625_RS03535	MFC_RS02820
OG0000283	NB625_RS03530	MFC_RS02825
OG0000284	NB625_RS03525	MFC_RS02830
OG0000285	NB625_RS03520	MFC_RS02835
OG0000286	NB625_RS02570	MFC_RS02865
OG0000287	NB625_RS02670	MFC_RS02890
OG0000288	NB625_RS02680	MFC_RS02900
OG0000289	NB625_RS02685	MFC_RS02905
OG0000290	NB625_RS02800	MFC_RS03030
OG0000291	NB625_RS02790	MFC_RS03040
OG0000292	NB625_RS02785	MFC_RS03045
OG0000293	NB625_RS02780	MFC_RS03050
OG0000294	NB625_RS02770	MFC_RS03060
OG0000295	NB625_RS02765	MFC_RS03065
OG0000296	NB625_RS02720	MFC_RS03110
OG0000297	NB625_RS02715	MFC_RS03115
OG0000298	NB625_RS00180	MFC_RS02395
OG0000299	NB625_RS00200	MFC_RS02415
OG0000300	NB625_RS00375	MFC_RS02595
OG0000301	NB625_RS00410	MFC_RS02630
OG0000302	NB625_RS00415	MFC_RS02635
OG0000303	NB625_RS00560	MFC_RS00835
OG0000304	NB625_RS00605	MFC_RS00865
OG0000305	NB625_RS03035	MFC_RS01010
OG0000306	NB625_RS02960	MFC_RS01090
OG0000307	NB625_RS02925	MFC_RS01130
OG0000308	NB625_RS02825	MFC_RS03020
OG0000309	NB625_RS02755	MFC_RS03075
OG0000310	NB625_RS02675	MFC_RS02895
OG0000311	NB625_RS02630	MFC_RS01220
OG0000312	NB625_RS02615	MFC_RS01240
OG0000313	NB625_RS01600	MFC_RS01290
OG0000314	NB625_RS01955	MFC_RS01360
OG0000315	NB625_RS01985	MFC_RS01390
OG0000316	NB625_RS01995	MFC_RS01400
OG0000317	NB625_RS02185	MFC_RS00110
OG0000318	NB625_RS02000	MFC_RS00020
OG0000319	NB625_RS02375	MFC_RS00420
OG0000320	NB625_RS02505	MFC_RS00485
OG0000321	NB625_RS01335	MFC_RS00550
OG0000322	NB625_RS01380	MFC_RS00595
OG0000323	NB625_RS01515	MFC_RS00725
OG0000324	NB625_RS02415	MFC_RS01775
OG0000325	NB625_RS00985	MFC_RS01815
OG0000326	NB625_RS00885	MFC_RS01905
OG0000327	NB625_RS00880	MFC_RS01910
OG0000328	NB625_RS00795	MFC_RS01995
OG0000329	NB625_RS00775	MFC_RS02020
OG0000330	NB625_RS01110	MFC_RS02200
OG0000331	NB625_RS03130	MFC_RS02315
OG0000332	NB625_RS03270	MFC_RS01505
OG0000333	NB625_RS03280	MFC_RS01515
OG0000334	NB625_RS03385	MFC_RS01585
OG0000335	NB625_RS03395	MFC_RS01595
OG0000336	NB625_RS03550	MFC_RS02805
OG0000337	NB625_RS03715	MFC_RS00280
OG0000338	NB625_RS03755	MFC_RS00240
OG0000339	NB625_RS02480	MFC_RS00505
OG0000340	NB625_RS01315	MFC_RS00530
OG0000341	NB625_RS02440	MFC_RS01755
OG0000342	NB625_RS00955	MFC_RS01845
OG0000343	NB625_RS03290	MFC_RS01525
OG0000344	NB625_RS00575	MFC_RS00850
OG0000345	NB625_RS00660	MFC_RS02130
OG0000346	NB625_RS03555	MFC_RS02800
OG0000347	NB625_RS01405	MFC_RS00620
OG0000348	NB625_RS00875	MFC_RS01915
OG0000349	NB625_RS03615	MFC_RS02745
OG0000350	NB625_RS02915	MFC_RS03345
OG0000351	NB625_RS00495	MFC_RS00785
OG0000352	NB625_RS01935	MFC_RS01340
OG0000353	NB625_RS01375	MFC_RS00590
OG0000354	NB625_RS01050	MFC_RS00900
OG0000355	NB625_RS01910	MFC_RS01315
OG0000356	NB625_RS01990	MFC_RS01395
OG0000357	NB625_RS03245	MFC_RS01485
OG0000358	NB625_RS03250	MFC_RS01490
OG0000359	NB625_RS00905	MFC_RS01885
OG0000360	NB625_RS00280	MFC_RS02500
OG0000361	NB625_RS00310	MFC_RS02530
OG0000362	NB625_RS02695	MFC_RS02915
OG0000363	NB625_RS01445	MFC_RS00660
OG0000365	NB625_RS02040	MFC_RS00050
OG0000366	NB625_RS02060	MFC_RS00080
OG0000367	NB625_RS02165	MFC_RS00090
OG0000368	NB625_RS00060	MFC_RS00175
OG0000369	NB625_RS00025	MFC_RS00210
OG0000370	NB625_RS00020	MFC_RS00215
OG0000371	NB625_RS00015	MFC_RS00220
OG0000372	NB625_RS00010	MFC_RS00225
OG0000373	NB625_RS03745	MFC_RS00250
OG0000374	NB625_RS03735	MFC_RS00260
OG0000375	NB625_RS02370	MFC_RS00415
OG0000376	NB625_RS02520	MFC_RS00470
OG0000377	NB625_RS02510	MFC_RS00480
OG0000378	NB625_RS01295	MFC_RS00515
OG0000379	NB625_RS01370	MFC_RS00585
OG0000380	NB625_RS01400	MFC_RS00610
OG0000381	NB625_RS01435	MFC_RS00650
OG0000382	NB625_RS01470	MFC_RS00680
OG0000383	NB625_RS01510	MFC_RS00720
OG0000384	NB625_RS00515	MFC_RS00790
OG0000385	NB625_RS00520	MFC_RS00795
OG0000386	NB625_RS00540	MFC_RS00815
OG0000387	NB625_RS00565	MFC_RS00840
OG0000388	NB625_RS00570	MFC_RS00845
OG0000389	NB625_RS01070	MFC_RS00880
OG0000390	NB625_RS03055	MFC_RS00990
OG0000391	NB625_RS03045	MFC_RS01000
OG0000392	NB625_RS03020	MFC_RS01030
OG0000393	NB625_RS02965	MFC_RS01080
OG0000394	NB625_RS02895	MFC_RS01145
OG0000395	NB625_RS02885	MFC_RS01150
OG0000396	NB625_RS02575	MFC_RS01280
OG0000397	NB625_RS01920	MFC_RS01325
OG0000398	NB625_RS01925	MFC_RS01330
OG0000399	NB625_RS01970	MFC_RS01375
OG0000400	NB625_RS03210	MFC_RS01450
OG0000401	NB625_RS03275	MFC_RS01510
OG0000402	NB625_RS03285	MFC_RS01520
OG0000403	NB625_RS03295	MFC_RS01530
OG0000405	NB625_RS03350	MFC_RS01570
OG0000406	NB625_RS03400	MFC_RS01600
OG0000407	NB625_RS03405	MFC_RS01605
OG0000408	NB625_RS03410	MFC_RS01610
OG0000409	NB625_RS03415	MFC_RS01615
OG0000410	NB625_RS03480	MFC_RS01650
OG0000411	NB625_RS03465	MFC_RS01660
OG0000412	NB625_RS03460	MFC_RS01665
OG0000413	NB625_RS01525	MFC_RS01705
OG0000414	NB625_RS01535	MFC_RS01715
OG0000415	NB625_RS01540	MFC_RS01720
OG0000416	NB625_RS01550	MFC_RS01730
OG0000417	NB625_RS02435	MFC_RS01760
OG0000418	NB625_RS02425	MFC_RS01765
OG0000419	NB625_RS00970	MFC_RS01825
OG0000420	NB625_RS00935	MFC_RS01860
OG0000421	NB625_RS00900	MFC_RS01890
OG0000422	NB625_RS00895	MFC_RS01900
OG0000423	NB625_RS00835	MFC_RS01955
OG0000424	NB625_RS00830	MFC_RS01960
OG0000425	NB625_RS00820	MFC_RS01970
OG0000426	NB625_RS00815	MFC_RS01975
OG0000427	NB625_RS00790	MFC_RS02000
OG0000428	NB625_RS00765	MFC_RS02030
OG0000429	NB625_RS00670	MFC_RS02120
OG0000430	NB625_RS00625	MFC_RS02165
OG0000431	NB625_RS00615	MFC_RS02175
OG0000432	NB625_RS01105	MFC_RS02195
OG0000433	NB625_RS01120	MFC_RS02205
OG0000434	NB625_RS01130	MFC_RS02210
OG0000435	NB625_RS01140	MFC_RS02225
OG0000436	NB625_RS01165	MFC_RS03535
OG0000437	NB625_RS01175	MFC_RS02270
OG0000438	NB625_RS01180	MFC_RS02275
OG0000439	NB625_RS01185	MFC_RS02280
OG0000440	NB625_RS03110	MFC_RS02295
OG0000441	NB625_RS03150	MFC_RS02335
OG0000442	NB625_RS00150	MFC_RS02350
OG0000443	NB625_RS00195	MFC_RS02410
OG0000444	NB625_RS00210	MFC_RS02425
OG0000445	NB625_RS00235	MFC_RS02450
OG0000446	NB625_RS00260	MFC_RS02480
OG0000447	NB625_RS00265	MFC_RS02485
OG0000448	NB625_RS00295	MFC_RS02515
OG0000449	NB625_RS00320	MFC_RS02540
OG0000450	NB625_RS00330	MFC_RS02550
OG0000451	NB625_RS00370	MFC_RS02590
OG0000452	NB625_RS00395	MFC_RS02615
OG0000453	NB625_RS00430	MFC_RS02650
OG0000455	NB625_RS03660	MFC_RS02700
OG0000456	NB625_RS03540	MFC_RS02815
OG0000457	NB625_RS03510	MFC_RS02840
OG0000458	NB625_RS02665	MFC_RS02885
OG0000459	NB625_RS02690	MFC_RS02910
OG0000460	NB625_RS02700	MFC_RS02920
OG0000461	NB625_RS02745	MFC_RS03080
OG0000462	NB625_RS02740	MFC_RS03085
OG0000463	NB625_RS02735	MFC_RS03090
OG0000464	NB625_RS02730	MFC_RS03100
OG0000465	NB625_RS02725	MFC_RS03105
OG0000466	NB625_RS00400	MFC_RS02620
OG0000467	NB625_RS02835	MFC_RS03500
OG0000468	NB625_RS01965	MFC_RS01370
OG0000469	NB625_RS02025	MFC_RS00045
OG0000470	NB625_RS00840	MFC_RS01950
OG0000471	NB625_RS00760	MFC_RS02035
OG0000472	NB625_RS03485	MFC_RS01680
OG0000473	NB625_RS03645	MFC_RS02715
OG0000474	NB625_RS03650	MFC_RS02710
OG0000475	NB625_RS03655	MFC_RS02705
OG0000476	NB625_RS01565	MFC_RS00345
OG0000477	NB625_RS02775	MFC_RS03055
OG0000478	NB625_RS03590	MFC_RS02770
OG0000479	NB625_RS01330	MFC_RS00545
OG0000480	NB625_RS02030	MFC_RS03300
OG0000481	NB625_RS00865	MFC_RS01925
OG0000482	NB625_RS01205	MFC_RS01790
OG0000483	NB625_RS02170	MFC_RS00095
OG0000484	NB625_RS00205	MFC_RS02420
OG0000487	NB625_RS02005	MFC_RS00025
OG0000488	NB625_RS02045	MFC_RS00065
OG0000489	NB625_RS00050	MFC_RS00185
OG0000490	NB625_RS03750	MFC_RS00245
OG0000491	NB625_RS01350	MFC_RS00565
OG0000492	NB625_RS01425	MFC_RS00640
OG0000493	NB625_RS00580	MFC_RS00855
OG0000494	NB625_RS01045	MFC_RS00905
OG0000495	NB625_RS02990	MFC_RS01055
OG0000496	NB625_RS02980	MFC_RS01065
OG0000498	NB625_RS02900	MFC_RS01140
OG0000499	NB625_RS02860	MFC_RS01185
OG0000500	NB625_RS01930	MFC_RS01335
OG0000501	NB625_RS03220	MFC_RS01460
OG0000503	NB625_RS00920	MFC_RS01870
OG0000504	NB625_RS00785	MFC_RS02005
OG0000505	NB625_RS00750	MFC_RS02045
OG0000506	NB625_RS00740	MFC_RS02055
OG0000507	NB625_RS00705	MFC_RS02090
OG0000508	NB625_RS00255	MFC_RS02475
OG0000509	NB625_RS00290	MFC_RS02510
OG0000510	NB625_RS00300	MFC_RS02520
OG0000511	NB625_RS00435	MFC_RS02655
OG0000512	NB625_RS02705	MFC_RS02925
OG0000513	NB625_RS03575	MFC_RS02785
OG0000516	NB625_RS02015	MFC_RS00030
OG0000517	NB625_RS00065	MFC_RS00170
OG0000518	NB625_RS03260	MFC_RS01500
OG0000520	NB625_RS00770	MFC_RS02025
OG0000521	NB625_RS00270	MFC_RS02490
OG0000522	NB625_RS00305	MFC_RS02525
OG0000524	NB625_RS02830	MFC_RS03015
OG0000525	NB625_RS03490	MFC_RS01685
OG0000529	NB625_RS02385	MFC_RS00430
OG0000530	NB625_RS02490	MFC_RS00495
OG0000532	NB625_RS01625	MFC_RS00940
OG0000533	NB625_RS01090	MFC_RS02185
OG0000535	NB625_RS00045	MFC_RS00190
OG0000536	NB625_RS03690	MFC_RS00315
OG0000539	NB625_RS00220	MFC_RS02435
OG0000540	NB625_RS02795	MFC_RS03035
OG0000541	NB625_RS02875	MFC_RS01170
OG0000542	NB625_RS00355	MFC_RS02575
OG0000551	NB625_RS03140	MFC_RS02325
OG0000555	NB625_RS03075	MFC_RS03340
OG0000589	NB625_RS02245	MFC_RS03260
OG0000597	NB625_RS03160	MFC_RS01435
