Orthogroup	MHP_153B_genes	MHP_111A_genes
OG0000097	NB625_RS03740	NB623_RS03790
OG0000098	NB625_RS03730	NB623_RS03780
OG0000099	NB625_RS03685	NB623_RS03730
OG0000100	NB625_RS03675	NB623_RS03715
OG0000101	NB625_RS03665	NB623_RS03710
OG0000102	NB625_RS01710	NB623_RS01830
OG0000103	NB625_RS02360	NB623_RS02355
OG0000104	NB625_RS02365	NB623_RS02360
OG0000105	NB625_RS02380	NB623_RS02380
OG0000106	NB625_RS02390	NB623_RS02385
OG0000107	NB625_RS02400	NB623_RS02395
OG0000108	NB625_RS02405	NB623_RS02400
OG0000109	NB625_RS02410	NB623_RS02405
OG0000110	NB625_RS02530	NB623_RS02525
OG0000111	NB625_RS02525	NB623_RS02520
OG0000112	NB625_RS02515	NB623_RS02510
OG0000113	NB625_RS02495	NB623_RS02490
OG0000114	NB625_RS02485	NB623_RS02485
OG0000115	NB625_RS02475	NB623_RS02470
OG0000116	NB625_RS01300	NB623_RS01415
OG0000117	NB625_RS01305	NB623_RS01420
OG0000118	NB625_RS01340	NB623_RS01455
OG0000119	NB625_RS01345	NB623_RS01465
OG0000120	NB625_RS01360	NB623_RS01475
OG0000121	NB625_RS01385	NB623_RS01505
OG0000122	NB625_RS01390	NB623_RS01510
OG0000123	NB625_RS01410	NB623_RS01530
OG0000124	NB625_RS01415	NB623_RS01535
OG0000125	NB625_RS01420	NB623_RS01545
OG0000126	NB625_RS01430	NB623_RS01550
OG0000127	NB625_RS01440	NB623_RS01560
OG0000128	NB625_RS01460	NB623_RS01575
OG0000129	NB625_RS01465	NB623_RS01580
OG0000130	NB625_RS01475	NB623_RS01590
OG0000131	NB625_RS01505	NB623_RS01620
OG0000132	NB625_RS01520	NB623_RS01635
OG0000133	NB625_RS00530	NB623_RS00525
OG0000134	NB625_RS00535	NB623_RS00530
OG0000135	NB625_RS00550	NB623_RS00545
OG0000136	NB625_RS00555	NB623_RS00550
OG0000137	NB625_RS00595	NB623_RS00590
OG0000138	NB625_RS01065	NB623_RS00615
OG0000139	NB625_RS01035	NB623_RS00645
OG0000140	NB625_RS01030	NB623_RS00650
OG0000141	NB625_RS03090	NB623_RS03095
OG0000142	NB625_RS03085	NB623_RS03090
OG0000143	NB625_RS03065	NB623_RS03075
OG0000144	NB625_RS03050	NB623_RS03060
OG0000145	NB625_RS03040	NB623_RS03050
OG0000146	NB625_RS03030	NB623_RS03040
OG0000147	NB625_RS03025	NB623_RS03035
OG0000148	NB625_RS03010	NB623_RS03020
OG0000149	NB625_RS03000	NB623_RS03010
OG0000150	NB625_RS02985	NB623_RS02995
OG0000151	NB625_RS02940	NB623_RS02945
OG0000152	NB625_RS02935	NB623_RS02940
OG0000153	NB625_RS02930	NB623_RS02935
OG0000154	NB625_RS02920	NB623_RS02925
OG0000155	NB625_RS02880	NB623_RS02885
OG0000156	NB625_RS02870	NB623_RS02875
OG0000157	NB625_RS02865	NB623_RS02870
OG0000158	NB625_RS02855	NB623_RS02860
OG0000159	NB625_RS02610	NB623_RS02615
OG0000160	NB625_RS02605	NB623_RS02610
OG0000161	NB625_RS02600	NB623_RS02605
OG0000162	NB625_RS02590	NB623_RS02595
OG0000163	NB625_RS02585	NB623_RS02590
OG0000164	NB625_RS01610	NB623_RS01725
OG0000165	NB625_RS01945	NB623_RS02155
OG0000166	NB625_RS01960	NB623_RS02135
OG0000167	NB625_RS01975	NB623_RS02120
OG0000168	NB625_RS01980	NB623_RS02115
OG0000169	NB625_RS03200	NB623_RS03200
OG0000170	NB625_RS03215	NB623_RS03215
OG0000171	NB625_RS03225	NB623_RS03225
OG0000172	NB625_RS03230	NB623_RS03230
OG0000173	NB625_RS03235	NB623_RS03235
OG0000174	NB625_RS03240	NB623_RS03240
OG0000175	NB625_RS03255	NB623_RS03265
OG0000176	NB625_RS03315	NB623_RS03310
OG0000177	NB625_RS03320	NB623_RS03315
OG0000178	NB625_RS03330	NB623_RS03320
OG0000179	NB625_RS03335	NB623_RS03330
OG0000180	NB625_RS03340	NB623_RS03335
OG0000181	NB625_RS03380	NB623_RS03375
OG0000182	NB625_RS03390	NB623_RS03385
OG0000183	NB625_RS03425	NB623_RS03420
OG0000184	NB625_RS03470	NB623_RS03485
OG0000185	NB625_RS03455	NB623_RS03475
OG0000186	NB625_RS01530	NB623_RS01645
OG0000187	NB625_RS01545	NB623_RS01660
OG0000188	NB625_RS01555	NB623_RS01670
OG0000189	NB625_RS02450	NB623_RS02445
OG0000190	NB625_RS02445	NB623_RS02440
OG0000191	NB625_RS02420	NB623_RS02415
OG0000192	NB625_RS01215	NB623_RS01340
OG0000193	NB625_RS01200	NB623_RS01325
OG0000194	NB625_RS00995	NB623_RS00690
OG0000195	NB625_RS00990	NB623_RS00695
OG0000196	NB625_RS00965	NB623_RS00720
OG0000197	NB625_RS00960	NB623_RS00730
OG0000198	NB625_RS00945	NB623_RS00740
OG0000199	NB625_RS00940	NB623_RS00745
OG0000200	NB625_RS00925	NB623_RS00760
OG0000201	NB625_RS00915	NB623_RS00770
OG0000202	NB625_RS00860	NB623_RS00830
OG0000203	NB625_RS00855	NB623_RS00835
OG0000204	NB625_RS00850	NB623_RS00840
OG0000205	NB625_RS00845	NB623_RS00845
OG0000206	NB625_RS00825	NB623_RS00865
OG0000207	NB625_RS00810	NB623_RS00880
OG0000208	NB625_RS00805	NB623_RS00885
OG0000209	NB625_RS00800	NB623_RS00890
OG0000210	NB625_RS00755	NB623_RS00935
OG0000211	NB625_RS00745	NB623_RS01070
OG0000212	NB625_RS00735	NB623_RS01080
OG0000213	NB625_RS00730	NB623_RS01085
OG0000214	NB625_RS00725	NB623_RS01090
OG0000215	NB625_RS00720	NB623_RS01095
OG0000216	NB625_RS00715	NB623_RS01100
OG0000217	NB625_RS00710	NB623_RS01105
OG0000218	NB625_RS00700	NB623_RS01115
OG0000219	NB625_RS00695	NB623_RS01120
OG0000220	NB625_RS00690	NB623_RS01125
OG0000221	NB625_RS00685	NB623_RS01130
OG0000222	NB625_RS00680	NB623_RS01135
OG0000223	NB625_RS00675	NB623_RS01140
OG0000224	NB625_RS00665	NB623_RS01150
OG0000225	NB625_RS00655	NB623_RS01160
OG0000226	NB625_RS00650	NB623_RS01165
OG0000227	NB625_RS00645	NB623_RS01170
OG0000228	NB625_RS00640	NB623_RS01175
OG0000229	NB625_RS00635	NB623_RS01180
OG0000230	NB625_RS00630	NB623_RS01185
OG0000231	NB625_RS00620	NB623_RS01195
OG0000232	NB625_RS00610	NB623_RS01205
OG0000233	NB625_RS01100	NB623_RS01225
OG0000234	NB625_RS01135	NB623_RS01260
OG0000235	NB625_RS01145	NB623_RS01270
OG0000236	NB625_RS01150	NB623_RS01275
OG0000237	NB625_RS01155	NB623_RS01280
OG0000238	NB625_RS01160	NB623_RS01285
OG0000239	NB625_RS03100	NB623_RS03105
OG0000240	NB625_RS03105	NB623_RS03110
OG0000241	NB625_RS03115	NB623_RS03120
OG0000242	NB625_RS03120	NB623_RS03125
OG0000243	NB625_RS03125	NB623_RS03130
OG0000244	NB625_RS03135	NB623_RS03140
OG0000245	NB625_RS03145	NB623_RS03145
OG0000246	NB625_RS00145	NB623_RS00130
OG0000247	NB625_RS00155	NB623_RS00140
OG0000248	NB625_RS00165	NB623_RS00150
OG0000249	NB625_RS00170	NB623_RS00155
OG0000250	NB625_RS00185	NB623_RS00175
OG0000251	NB625_RS00215	NB623_RS00205
OG0000252	NB625_RS00225	NB623_RS00210
OG0000253	NB625_RS00230	NB623_RS00215
OG0000254	NB625_RS00240	NB623_RS00225
OG0000255	NB625_RS00245	NB623_RS00230
OG0000256	NB625_RS00250	NB623_RS00240
OG0000257	NB625_RS00275	NB623_RS00260
OG0000258	NB625_RS00285	NB623_RS00270
OG0000259	NB625_RS00315	NB623_RS00300
OG0000260	NB625_RS00325	NB623_RS00310
OG0000261	NB625_RS00335	NB623_RS00320
OG0000262	NB625_RS00350	NB623_RS00340
OG0000263	NB625_RS00365	NB623_RS00350
OG0000264	NB625_RS00385	NB623_RS00365
OG0000265	NB625_RS00390	NB623_RS00375
OG0000266	NB625_RS00405	NB623_RS00390
OG0000267	NB625_RS00420	NB623_RS00405
OG0000268	NB625_RS00425	NB623_RS00410
OG0000269	NB625_RS00440	NB623_RS00425
OG0000270	NB625_RS03640	NB623_RS03685
OG0000271	NB625_RS03635	NB623_RS03675
OG0000272	NB625_RS03630	NB623_RS03670
OG0000273	NB625_RS03625	NB623_RS03665
OG0000274	NB625_RS03610	NB623_RS03650
OG0000275	NB625_RS03600	NB623_RS03640
OG0000276	NB625_RS03595	NB623_RS03635
OG0000277	NB625_RS03585	NB623_RS03625
OG0000278	NB625_RS03580	NB623_RS03620
OG0000279	NB625_RS03570	NB623_RS03615
OG0000280	NB625_RS03565	NB623_RS03605
OG0000281	NB625_RS03560	NB623_RS03600
OG0000282	NB625_RS03535	NB623_RS03570, NB623_RS03575
OG0000283	NB625_RS03530	NB623_RS03565
OG0000284	NB625_RS03525	NB623_RS03560
OG0000285	NB625_RS03520	NB623_RS03555
OG0000286	NB625_RS02570	NB623_RS02575
OG0000287	NB625_RS02670	NB623_RS02675
OG0000288	NB625_RS02680	NB623_RS02685
OG0000289	NB625_RS02685	NB623_RS02690
OG0000290	NB625_RS02800	NB623_RS02810
OG0000291	NB625_RS02790	NB623_RS02800
OG0000292	NB625_RS02785	NB623_RS02795
OG0000293	NB625_RS02780	NB623_RS02790
OG0000294	NB625_RS02770	NB623_RS02780
OG0000295	NB625_RS02765	NB623_RS02775
OG0000296	NB625_RS02720	NB623_RS02730
OG0000297	NB625_RS02715	NB623_RS02725
OG0000298	NB625_RS00180	NB623_RS00165
OG0000299	NB625_RS00200	NB623_RS00185
OG0000300	NB625_RS00375	NB623_RS00360
OG0000301	NB625_RS00410	NB623_RS00395
OG0000302	NB625_RS00415	NB623_RS00400
OG0000303	NB625_RS00560	NB623_RS00555
OG0000304	NB625_RS00605	NB623_RS01210
OG0000305	NB625_RS03035	NB623_RS03045
OG0000306	NB625_RS02960	NB623_RS02970
OG0000307	NB625_RS02925	NB623_RS02930
OG0000308	NB625_RS02825	NB623_RS02835
OG0000309	NB625_RS02755	NB623_RS02765
OG0000310	NB625_RS02675	NB623_RS02680
OG0000311	NB625_RS02630	NB623_RS02635
OG0000312	NB625_RS02615	NB623_RS02620
OG0000313	NB625_RS01600	NB623_RS01715
OG0000314	NB625_RS01955	NB623_RS02140
OG0000315	NB625_RS01985	NB623_RS02110
OG0000316	NB625_RS01995	NB623_RS02100
OG0000317	NB625_RS02185	NB623_RS02005
OG0000318	NB625_RS02000	NB623_RS02095
OG0000319	NB625_RS02375	NB623_RS02370
OG0000320	NB625_RS02505	NB623_RS02500
OG0000321	NB625_RS01335	NB623_RS01450
OG0000322	NB625_RS01380	NB623_RS01500
OG0000323	NB625_RS01515	NB623_RS01630
OG0000324	NB625_RS02415	NB623_RS02410
OG0000325	NB625_RS00985	NB623_RS00705
OG0000326	NB625_RS00885	NB623_RS00805
OG0000327	NB625_RS00880	NB623_RS00810
OG0000328	NB625_RS00795	NB623_RS00895
OG0000329	NB625_RS00775	NB623_RS00915
OG0000330	NB625_RS01110	NB623_RS01235
OG0000331	NB625_RS03130	NB623_RS03135
OG0000332	NB625_RS03270	NB623_RS03270
OG0000333	NB625_RS03280	NB623_RS03280
OG0000334	NB625_RS03385	NB623_RS03380
OG0000335	NB625_RS03395	NB623_RS03390
OG0000336	NB625_RS03550	NB623_RS03590
OG0000337	NB625_RS03715	NB623_RS03765
OG0000338	NB625_RS03755	NB623_RS03805
OG0000339	NB625_RS02480	NB623_RS02475
OG0000340	NB625_RS01315	NB623_RS01430
OG0000341	NB625_RS02440	NB623_RS02435
OG0000342	NB625_RS00955	NB623_RS00735
OG0000343	NB625_RS03290	NB623_RS03290
OG0000344	NB625_RS00575	NB623_RS00570
OG0000345	NB625_RS00660	NB623_RS01155
OG0000346	NB625_RS03555	NB623_RS03595
OG0000347	NB625_RS01405	NB623_RS01525
OG0000348	NB625_RS00875	NB623_RS00815
OG0000349	NB625_RS03615	NB623_RS03655
OG0000350	NB625_RS02915	NB623_RS02920
OG0000351	NB625_RS00495	NB623_RS00480
OG0000352	NB625_RS01935	NB623_RS02160
OG0000353	NB625_RS01375	NB623_RS01490
OG0000354	NB625_RS01050	NB623_RS00630
OG0000355	NB625_RS01910	NB623_RS02185
OG0000356	NB625_RS01990	NB623_RS02105
OG0000357	NB625_RS03245	NB623_RS03245
OG0000358	NB625_RS03250	NB623_RS03250
OG0000359	NB625_RS00905	NB623_RS00780
OG0000360	NB625_RS00280	NB623_RS00265
OG0000361	NB625_RS00310	NB623_RS00295
OG0000362	NB625_RS02695	NB623_RS02705
OG0000363	NB625_RS01445	NB623_RS01565
OG0000364	NB625_RS01885	NB623_RS02210
OG0000365	NB625_RS02040	NB623_RS02060
OG0000366	NB625_RS02060	NB623_RS02035
OG0000367	NB625_RS02165	NB623_RS02025
OG0000368	NB625_RS00060	NB623_RS00060
OG0000369	NB625_RS00025	NB623_RS00025
OG0000370	NB625_RS00020	NB623_RS00020
OG0000371	NB625_RS00015	NB623_RS00015
OG0000372	NB625_RS00010	NB623_RS00010
OG0000373	NB625_RS03745	NB623_RS03795
OG0000374	NB625_RS03735	NB623_RS03785
OG0000375	NB625_RS02370	NB623_RS02365
OG0000376	NB625_RS02520	NB623_RS02515
OG0000377	NB625_RS02510	NB623_RS02505
OG0000378	NB625_RS01295	NB623_RS01410
OG0000379	NB625_RS01370	NB623_RS01485
OG0000380	NB625_RS01400	NB623_RS01515
OG0000381	NB625_RS01435	NB623_RS01555
OG0000382	NB625_RS01470	NB623_RS01585
OG0000383	NB625_RS01510	NB623_RS01625
OG0000384	NB625_RS00515	NB623_RS00510
OG0000385	NB625_RS00520	NB623_RS00520
OG0000386	NB625_RS00540	NB623_RS00535
OG0000387	NB625_RS00565	NB623_RS00560
OG0000388	NB625_RS00570	NB623_RS00565
OG0000389	NB625_RS01070	NB623_RS00610
OG0000390	NB625_RS03055	NB623_RS03065
OG0000391	NB625_RS03045	NB623_RS03055
OG0000392	NB625_RS03020	NB623_RS03030
OG0000393	NB625_RS02965	NB623_RS02975
OG0000394	NB625_RS02895	NB623_RS02895
OG0000395	NB625_RS02885	NB623_RS02890
OG0000396	NB625_RS02575	NB623_RS02580
OG0000397	NB625_RS01920	NB623_RS02175
OG0000398	NB625_RS01925	NB623_RS02170
OG0000399	NB625_RS01970	NB623_RS02125
OG0000400	NB625_RS03210	NB623_RS03210
OG0000401	NB625_RS03275	NB623_RS03275
OG0000402	NB625_RS03285	NB623_RS03285
OG0000403	NB625_RS03295	NB623_RS03295
OG0000405	NB625_RS03350	NB623_RS03340
OG0000406	NB625_RS03400	NB623_RS03395
OG0000407	NB625_RS03405	NB623_RS03400
OG0000408	NB625_RS03410	NB623_RS03405
OG0000409	NB625_RS03415	NB623_RS03410
OG0000410	NB625_RS03480	NB623_RS03495
OG0000411	NB625_RS03465	NB623_RS03480
OG0000413	NB625_RS01525	NB623_RS01640
OG0000414	NB625_RS01535	NB623_RS01650
OG0000415	NB625_RS01540	NB623_RS01655
OG0000416	NB625_RS01550	NB623_RS01665
OG0000417	NB625_RS02435	NB623_RS02430
OG0000418	NB625_RS02425	NB623_RS02420
OG0000419	NB625_RS00970	NB623_RS00715
OG0000420	NB625_RS00935	NB623_RS00750
OG0000421	NB625_RS00900	NB623_RS00790
OG0000422	NB625_RS00895	NB623_RS00800
OG0000423	NB625_RS00835	NB623_RS00855
OG0000424	NB625_RS00830	NB623_RS00860
OG0000425	NB625_RS00820	NB623_RS00870
OG0000426	NB625_RS00815	NB623_RS00875
OG0000427	NB625_RS00790	NB623_RS00900
OG0000428	NB625_RS00765	NB623_RS00925
OG0000429	NB625_RS00670	NB623_RS01145
OG0000430	NB625_RS00625	NB623_RS01190
OG0000431	NB625_RS00615	NB623_RS01200
OG0000432	NB625_RS01105	NB623_RS01230
OG0000433	NB625_RS01120	NB623_RS01245
OG0000434	NB625_RS01130	NB623_RS01255
OG0000435	NB625_RS01140	NB623_RS01265
OG0000436	NB625_RS01165	NB623_RS01290
OG0000437	NB625_RS01175	NB623_RS01300
OG0000438	NB625_RS01180	NB623_RS01305
OG0000439	NB625_RS01185	NB623_RS01310
OG0000440	NB625_RS03110	NB623_RS03115
OG0000441	NB625_RS03150	NB623_RS03150
OG0000442	NB625_RS00150	NB623_RS00135
OG0000443	NB625_RS00195	NB623_RS00180
OG0000444	NB625_RS00210	NB623_RS00195
OG0000445	NB625_RS00235	NB623_RS00220
OG0000446	NB625_RS00260	NB623_RS00245
OG0000447	NB625_RS00265	NB623_RS00255
OG0000448	NB625_RS00295	NB623_RS00280
OG0000449	NB625_RS00320	NB623_RS00305
OG0000450	NB625_RS00330	NB623_RS00315
OG0000451	NB625_RS00370	NB623_RS00355
OG0000452	NB625_RS00395	NB623_RS00380
OG0000453	NB625_RS00430	NB623_RS00415
OG0000455	NB625_RS03660	NB623_RS03705
OG0000456	NB625_RS03540	NB623_RS03580
OG0000457	NB625_RS03510	NB623_RS03545
OG0000458	NB625_RS02665	NB623_RS02670
OG0000459	NB625_RS02690	NB623_RS02700
OG0000460	NB625_RS02700	NB623_RS02710
OG0000461	NB625_RS02745	NB623_RS02755
OG0000462	NB625_RS02740	NB623_RS02750
OG0000463	NB625_RS02735	NB623_RS02745
OG0000464	NB625_RS02730	NB623_RS02740
OG0000465	NB625_RS02725	NB623_RS02735
OG0000466	NB625_RS00400	NB623_RS00385
OG0000467	NB625_RS02835	NB623_RS02845
OG0000468	NB625_RS01965	NB623_RS02130
OG0000469	NB625_RS02025	NB623_RS02070
OG0000470	NB625_RS00840	NB623_RS00850
OG0000471	NB625_RS00760	NB623_RS00930
OG0000472	NB625_RS03485	NB623_RS03500
OG0000473	NB625_RS03645	NB623_RS03690
OG0000474	NB625_RS03650	NB623_RS03695
OG0000475	NB625_RS03655	NB623_RS03700
OG0000476	NB625_RS01565	NB623_RS01675
OG0000477	NB625_RS02775	NB623_RS02785
OG0000478	NB625_RS03590	NB623_RS03630
OG0000479	NB625_RS01330	NB623_RS01445
OG0000480	NB625_RS02030	NB623_RS02065
OG0000481	NB625_RS00865	NB623_RS00825
OG0000482	NB625_RS01205	NB623_RS01330
OG0000483	NB625_RS02170	NB623_RS02020
OG0000484	NB625_RS00205	NB623_RS00190
OG0000485	NB625_RS01170	NB623_RS01295
OG0000486	NB625_RS02455	NB623_RS02450
OG0000488	NB625_RS02045	NB623_RS02055
OG0000490	NB625_RS03750	NB623_RS03800
OG0000493	NB625_RS00580	NB623_RS00575
OG0000494	NB625_RS01045	NB623_RS00635
OG0000495	NB625_RS02990	NB623_RS03005
OG0000496	NB625_RS02980	NB623_RS02990
OG0000498	NB625_RS02900	NB623_RS02900
OG0000499	NB625_RS02860	NB623_RS02865
OG0000500	NB625_RS01930	NB623_RS02165
OG0000501	NB625_RS03220	NB623_RS03220
OG0000503	NB625_RS00920	NB623_RS00765
OG0000504	NB625_RS00785	NB623_RS00905
OG0000505	NB625_RS00750	NB623_RS01065
OG0000506	NB625_RS00740	NB623_RS01075
OG0000507	NB625_RS00705	NB623_RS01110
OG0000509	NB625_RS00290	NB623_RS00275
OG0000510	NB625_RS00300	NB623_RS00285
OG0000511	NB625_RS00435	NB623_RS00420
OG0000512	NB625_RS02705	NB623_RS02715
OG0000514	NB625_RS03015	NB623_RS03025
OG0000516	NB625_RS02015	NB623_RS02090
OG0000517	NB625_RS00065	NB623_RS00065
OG0000520	NB625_RS00770	NB623_RS00920
OG0000522	NB625_RS00305	NB623_RS00290
OG0000524	NB625_RS02830	NB623_RS02840
OG0000525	NB625_RS03490	NB623_RS03505
OG0000526	NB625_RS01825	NB623_RS02260
OG0000527	NB625_RS01765	NB623_RS02315
OG0000532	NB625_RS01625	NB623_RS01745
OG0000533	NB625_RS01090	NB623_RS00595
OG0000536	NB625_RS03690	NB623_RS03735
OG0000540	NB625_RS02795	NB623_RS02805
OG0000541	NB625_RS02875	NB623_RS02880
OG0000543	NB625_RS02070	NB623_RS01930
OG0000544	NB625_RS01250	NB623_RS01375
OG0000545	NB625_RS01815	NB623_RS02270
OG0000546	NB625_RS02945	NB623_RS02950
OG0000552	NB625_RS03305	NB623_RS03300
OG0000553	NB625_RS02850, NB625_RS02845	NB623_RS02855
OG0000554	NB625_RS02535	NB623_RS02535
OG0000555	NB625_RS03075	NB623_RS03080
OG0000556	NB625_RS02115	NB623_RS01970
OG0000557	NB625_RS01265	NB623_RS01385
OG0000558	NB625_RS01230	NB623_RS01355
OG0000559	NB625_RS01705	NB623_RS01825
OG0000560	NB625_RS01805	NB623_RS02290
OG0000561	NB625_RS01115	NB623_RS01240
OG0000562	NB625_RS01810	NB623_RS02280
OG0000563	NB625_RS01800	NB623_RS02295
OG0000564	NB625_RS01290	NB623_RS01405
OG0000565	NB625_RS01875	NB623_RS02220
OG0000566	NB625_RS01855	NB623_RS02240
OG0000567	NB625_RS01820	NB623_RS02265
OG0000568	NB625_RS01000	NB623_RS00685
OG0000569	NB625_RS01235	NB623_RS01360
OG0000570	NB625_RS01240	NB623_RS01365
OG0000571	NB625_RS01245	NB623_RS01370
