Orthogroup	MHP_4284_proteins	MHP_154B_proteins
OG0000153	WP_406823157.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_011290318.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_406823151.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_020835818.1
OG0000158	WP_406823149.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_406823128.1	WP_179221158.1
OG0000161	WP_406823127.1	WP_146379654.1
OG0000162	WP_135619210.1	WP_167871270.1
OG0000163	WP_406823125.1	WP_044272529.1
OG0000164	WP_406823258.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_020835712.1
OG0000166	WP_160590029.1	WP_404924182.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_179221201.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_011290367.1	WP_011206422.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_011290368.1
OG0000174	WP_406823176.1	WP_160600929.1
OG0000175	WP_160606707.1	WP_160585645.1
OG0000176	WP_406823178.1	WP_404924025.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_044272620.1	WP_044272620.1
OG0000179	WP_020835880.1	WP_014579979.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_160585238.1
OG0000185	WP_146379740.1	WP_404924034.1
OG0000186	WP_348572074.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_406823100.1	WP_404923954.1
OG0000190	WP_146379637.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_146379633.1
OG0000192	WP_404912441.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_179695841.1	WP_179695841.1
OG0000197	WP_406823236.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_404924099.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_406823234.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_011206071.1
OG0000205	WP_160585610.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_094521594.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_160606686.1	WP_011206052.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_404924088.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_406823232.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_406823231.1	WP_404924087.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_041361598.1	WP_404924109.1
OG0000235	WP_020835611.1	WP_404924111.1
OG0000236	WP_020835612.1	WP_404924112.1
OG0000237	WP_406823239.1	WP_404924113.1
OG0000238	WP_406823240.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_404924009.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_044284696.1
OG0000242	WP_348571822.1	WP_020835854.1
OG0000243	WP_348602596.1	WP_160608089.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_406823170.1	WP_404924010.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_179695932.1	WP_146379457.1
OG0000248	WP_052259122.1	WP_404924202.1
OG0000249	WP_348571927.1	WP_404924064.1
OG0000250	WP_160584772.1	WP_404924066.1
OG0000251	WP_318023737.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_135618489.1	WP_404924069.1
OG0000254	WP_348602687.1	WP_404924070.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011289974.1
OG0000259	WP_041361723.1	WP_146379775.1
OG0000260	WP_011289982.1	WP_011289982.1
OG0000261	WP_406823217.1	WP_404924075.1
OG0000262	WP_041361531.1	WP_041361531.1
OG0000263	WP_160585532.1	WP_160606511.1
OG0000264	WP_011283887.1	WP_011283887.1
OG0000265	WP_233688622.1	WP_404924077.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_044284773.1
OG0000268	WP_011283894.1	WP_404924078.1
OG0000269	WP_406823221.1	WP_011206134.1
OG0000270	WP_348571879.1	WP_404924047.1
OG0000271	WP_404924334.1	WP_404924046.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_404924044.1
OG0000275	WP_238374142.1	WP_228366117.1
OG0000276	WP_011290421.1	WP_160600741.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_011290418.1
OG0000280	WP_094521520.1	WP_011206490.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160590212.1	WP_404924041.1
OG0000283	WP_014580009.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_011290413.1	WP_404924039.1
OG0000286	WP_044272526.1	WP_404923971.1
OG0000287	WP_406823133.1	WP_146379659.1
OG0000288	WP_348602548.1	WP_348571747.1
OG0000289	WP_348602549.1	WP_404923975.1
OG0000290	WP_011290297.1	WP_404923983.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_160585667.1
OG0000293	WP_348571776.1	WP_020835805.1
OG0000294	WP_406823142.1	WP_404923981.1
OG0000295	WP_011206315.1	WP_404924637.1
OG0000296	WP_041361673.1	WP_044272552.1
OG0000297	WP_406823135.1	WP_160608046.1
OG0000298	WP_160606533.1	WP_135618474.1
OG0000299	WP_406823213.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_011206118.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_404924282.1	WP_404924005.1
OG0000306	WP_406823160.1	WP_404924000.1
OG0000307	WP_348602578.1	WP_020835826.1
OG0000308	WP_020835811.1	WP_404924591.1
OG0000309	WP_406823140.1	WP_404923979.1
OG0000310	WP_406823134.1	WP_011206298.1
OG0000311	WP_014579885.1	WP_160606809.1
OG0000312	WP_406823129.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_406823290.1	WP_020835716.1
OG0000315	WP_011290197.1	WP_011290197.1
OG0000316	WP_179696008.1	WP_404911774.1
OG0000317	WP_146379589.1	WP_146379589.1
OG0000318	WP_406823292.1	WP_404924185.1
OG0000319	WP_406823096.1	WP_044272490.1
OG0000320	WP_406823116.1	WP_404923961.1
OG0000321	WP_011205969.1	WP_404924126.1
OG0000322	WP_406823254.1	WP_020835642.1
OG0000323	WP_044284744.1	WP_404924138.1
OG0000324	WP_094521693.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_404924617.1
OG0000327	WP_146379506.1	WP_404924095.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_041361688.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_044272637.1
OG0000335	WP_348571841.1	WP_404924029.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_011284387.1
OG0000338	WP_014580051.1	WP_014580051.1
OG0000339	WP_406823113.1	WP_404923957.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_406823228.1	WP_160606838.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_014579636.1	WP_014579636.1
OG0000349	WP_348571875.1	WP_404924045.1
OG0000350	WP_406823156.1	WP_160608078.1
OG0000351	WP_011206131.1	WP_404924614.1
OG0000352	WP_406823287.1	WP_404924181.1
OG0000353	WP_160607804.1	WP_404924130.1
OG0000354	WP_308507053.1	WP_404924102.1
OG0000355	WP_011206194.1	WP_404924179.1
OG0000356	WP_308507057.1	WP_404924184.1
OG0000357	WP_228366113.1	WP_404924600.1
OG0000358	WP_160606709.1	WP_404924019.1
OG0000359	WP_406823235.1	WP_404924097.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_406823216.1	WP_011289979.1
OG0000362	WP_348602551.1	WP_404924587.1
OG0000363	WP_269076322.1	WP_233417364.1
OG0000364	WP_160585026.1	WP_404924178.1
OG0000365	WP_406823088.1	WP_404924188.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_406823092.1	WP_404924572.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_011289930.1	WP_011205844.1
OG0000370	WP_044272260.1	WP_044272260.1
OG0000371	WP_044272256.1	WP_044272256.1
OG0000372	WP_135618439.1	WP_160584860.1
OG0000373	WP_406823207.1	WP_404924057.1
OG0000374	WP_406823205.1	WP_404924055.1
OG0000375	WP_146379628.1	WP_011284163.1
OG0000376	WP_406823118.1	WP_404923964.1
OG0000377	WP_011206271.1	WP_404923962.1
OG0000378	WP_406823251.1	WP_020835632.1
OG0000379	WP_406823253.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_404924131.1
OG0000381	WP_348572061.1	WP_404924134.1
OG0000382	WP_406823257.1	WP_404924137.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011290004.1	WP_011206121.1
OG0000387	WP_406823226.1	WP_404924084.1
OG0000388	WP_406823227.1	WP_179221014.1
OG0000389	WP_011290013.1	WP_011290013.1
OG0000390	WP_011290340.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_406823164.1	WP_404924004.1
OG0000393	WP_406823161.1	WP_404924001.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_406823152.1	WP_404923992.1
OG0000396	WP_348571728.1	WP_020835781.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_146379611.1	WP_404924180.1
OG0000399	WP_348571612.1	WP_404924183.1
OG0000400	WP_044272610.1	WP_243216310.1
OG0000401	WP_135619070.1	WP_404924021.1
OG0000402	WP_406823177.1	WP_020835872.1
OG0000403	WP_220200714.1	WP_404924022.1
OG0000404	WP_406823179.1	WP_160607775.1
OG0000405	WP_406823180.1	WP_404924026.1
OG0000406	WP_406823185.1	WP_404924030.1
OG0000407	WP_406823186.1	WP_011290391.1
OG0000408	WP_044284717.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_406823190.1	WP_011206469.1
OG0000411	WP_406823191.1	WP_404924035.1
OG0000412	WP_406823192.1	WP_146379741.1
OG0000413	WP_243216061.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_404924139.1
OG0000415	WP_020835657.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_406823099.1	WP_404924579.1
OG0000418	WP_406823098.1	WP_404924578.1
OG0000419	WP_020835572.1	WP_404924100.1
OG0000420	WP_020835574.1	WP_146379500.1
OG0000421	WP_011290034.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_135618585.1	WP_404924094.1
OG0000424	WP_135618587.1	WP_011290043.1
OG0000425	WP_011206065.1	WP_404924093.1
OG0000426	WP_011206064.1	WP_404924092.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011206054.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_050195474.1	WP_050195474.1
OG0000431	WP_011290067.1	WP_146379524.1
OG0000432	WP_406823238.1	WP_404924108.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160584674.1	WP_020835607.1
OG0000435	WP_020835610.1	WP_404924110.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_044272373.1	WP_404924114.1
OG0000438	WP_160606769.1	WP_404924115.1
OG0000439	WP_044272377.1	WP_044272377.1
OG0000440	WP_406823169.1	WP_160588325.1
OG0000442	WP_160607726.1	WP_160607726.1
OG0000443	WP_406823212.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_135618491.1	WP_044284571.1
OG0000446	WP_347952358.1	WP_146379467.1
OG0000447	WP_014579553.1	WP_404924071.1
OG0000448	WP_011289976.1	WP_146379469.1
OG0000449	WP_011289981.1	WP_011289981.1
OG0000450	WP_160584761.1	WP_404924074.1
OG0000451	WP_011205913.1	WP_044272294.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_406823220.1	WP_404924079.1
OG0000455	WP_348571882.1	WP_347952324.1
OG0000456	WP_011206487.1	WP_404924042.1
OG0000457	WP_406823198.1	WP_404924604.1
OG0000458	WP_406823132.1	WP_160588321.1
OG0000459	WP_348602550.1	WP_014579890.1
OG0000460	WP_348602552.1	WP_348602552.1
OG0000461	WP_406823139.1	WP_404924197.1
OG0000462	WP_406823138.1	WP_011284228.1
OG0000463	WP_406823137.1	WP_404923977.1
OG0000464	WP_094521720.1	WP_011206309.1
OG0000465	WP_406823136.1	WP_404924588.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_406823146.1	WP_404923988.1
OG0000468	WP_406823291.1	WP_160585598.1
OG0000469	WP_014579824.1	WP_404924187.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_044272348.1	WP_044272348.1
OG0000472	WP_406823195.1	WP_404924036.1
OG0000473	WP_044272671.1	WP_020835917.1
OG0000474	WP_348571881.1	WP_041361711.1
OG0000475	WP_160584892.1	WP_404924048.1
OG0000476	WP_014579742.1	WP_404924140.1
OG0000477	WP_348571773.1	WP_135618962.1
OG0000478	WP_146379753.1	WP_011284367.1
OG0000479	WP_020835636.1	WP_404924190.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_044272343.1	WP_044272343.1
OG0000482	WP_020835622.1	WP_404924627.1
OG0000483	WP_348602501.1	WP_347952210.1
OG0000484	WP_406823214.1	WP_135618485.1
OG0000485	WP_020835615.1	WP_020835615.1
OG0000486	WP_406823101.1	WP_160585249.1
OG0000487	WP_406823293.1	WP_404924631.1
OG0000488	WP_406823090.1	WP_020835728.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_160606487.1	WP_146379773.1
OG0000491	WP_020835639.1	WP_404924128.1
OG0000492	WP_348572060.1	WP_404924133.1
OG0000493	WP_160585737.1	WP_404924085.1
OG0000494	WP_052269169.1	WP_020835567.1
OG0000495	WP_011284272.1	WP_011290329.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_406823162.1	WP_404924595.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_406823150.1	WP_020835817.1
OG0000500	WP_406823286.1	WP_347952479.1
OG0000501	WP_220190663.1	WP_220190663.1
OG0000502	WP_406823241.1	WP_146379540.1
OG0000503	WP_016340193.1	WP_404924098.1
OG0000504	WP_146379513.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_404924089.1
OG0000506	WP_406823233.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_044272682.1	WP_020835512.1
OG0000509	WP_406823215.1	WP_020835518.1
OG0000510	WP_404924072.1	WP_404924072.1
OG0000511	WP_011206135.1	WP_011283896.1
OG0000512	WP_011206304.1	WP_160585006.1
OG0000513	WP_348571873.1	WP_179695855.1
OG0000514	WP_406823163.1	WP_404924003.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000519	WP_160584803.1	WP_160584803.1
OG0000520	WP_011290050.1	WP_404924090.1
OG0000521	WP_348571936.1	WP_020835515.1
OG0000522	WP_135618505.1	WP_404924073.1
OG0000524	WP_406823145.1	WP_404924592.1
OG0000525	WP_160585255.1	WP_404912046.1
OG0000526	WP_406823280.1	WP_404924171.1
OG0000527	WP_348602820.1	WP_404924163.1
OG0000528	WP_406823087.1	WP_404924632.1
OG0000529	WP_406823097.1	WP_014579831.1
OG0000532	WP_406823262.1	WP_404924144.1
OG0000534	WP_179695948.1	WP_404924612.1
OG0000536	WP_406823201.1	WP_404924606.1
OG0000537	WP_011290028.1	WP_011290028.1
OG0000539	WP_160585545.1	WP_404924068.1
OG0000540	WP_406823143.1	WP_404924590.1, WP_404924589.1
OG0000544	WP_308507042.1	WP_014579703.1
OG0000545	WP_406823278.1	WP_404924169.1
OG0000546	WP_406823159.1	WP_404923998.1
OG0000551	WP_011206407.1	WP_011206407.1
OG0000552	WP_044284704.1	WP_404924024.1
OG0000553	WP_011206330.1	WP_404924593.1
OG0000554	WP_406823120.1	WP_404923965.1
OG0000557	WP_406823247.1	WP_011205983.1
OG0000558	WP_406823244.1	WP_404924118.1
OG0000559	WP_014579758.1	WP_020835677.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_094521603.1	WP_094521603.1
OG0000562	WP_146379618.1	WP_348572112.1
OG0000563	WP_011284098.1	WP_011290172.1
OG0000564	WP_041361605.1	WP_041361605.1
OG0000565	WP_406823284.1	WP_404924177.1
OG0000566	WP_406823283.1	WP_404924176.1
OG0000567	WP_406823279.1	WP_404924170.1
OG0000568	WP_146379498.1	WP_044272325.1
OG0000569	WP_406823245.1	WP_404924119.1
OG0000570	WP_406823246.1	WP_404924120.1
OG0000571	WP_011205986.1	WP_011205986.1
OG0000572	WP_406823248.1	WP_404924123.1
OG0000573	WP_348602814.1	WP_020835676.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_406823243.1	WP_011290089.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_406823147.1	WP_041361678.1
OG0000579	WP_406823277.1	WP_404924167.1
