Orthogroup	MHP_131B_genes	MHP_ES2L_genes
OG0000066	NB627_RS01480	HZK19_RS01320
OG0000067	NB627_RS00635	HZK19_RS00515
OG0000068	NB627_RS00755	HZK19_RS00635
OG0000069	NB627_RS03005	HZK19_RS02780
OG0000070	NB627_RS02660	HZK19_RS02445
OG0000071	NB627_RS03465	HZK19_RS03315
OG0000072	NB627_RS03470	HZK19_RS03320
OG0000073	NB627_RS00820	HZK19_RS00680
OG0000074	NB627_RS01020	HZK19_RS00875
OG0000076	NB627_RS00365	HZK19_RS00340
OG0000077	NB627_RS00550	HZK19_RS00425
OG0000079	NB627_RS02745	HZK19_RS02525
OG0000080	NB627_RS02795	HZK19_RS02570
OG0000081	NB627_RS00340	HZK19_RS00320
OG0000083	NB627_RS02160	HZK19_RS01985
OG0000084	NB627_RS02190	HZK19_RS02015
OG0000085	NB627_RS02195	HZK19_RS02020
OG0000086	NB627_RS02210	HZK19_RS02030
OG0000087	NB627_RS02225	HZK19_RS02045
OG0000088	NB627_RS02230	HZK19_RS02050
OG0000089	NB627_RS02240	HZK19_RS02060
OG0000090	NB627_RS00070	HZK19_RS00070
OG0000091	NB627_RS00055	HZK19_RS00055
OG0000092	NB627_RS00050	HZK19_RS00040
OG0000093	NB627_RS00035	HZK19_RS00035
OG0000094	NB627_RS00030	HZK19_RS00030
OG0000095	NB627_RS00005	HZK19_RS00005
OG0000096	NB627_RS03825	HZK19_RS03665
OG0000097	NB627_RS03805	HZK19_RS03645
OG0000098	NB627_RS03795	HZK19_RS03635
OG0000099	NB627_RS03745	HZK19_RS03585
OG0000100	NB627_RS03725	HZK19_RS03570
OG0000101	NB627_RS03720	HZK19_RS03565
OG0000102	NB627_RS01835	HZK19_RS01675
OG0000103	NB627_RS02375	HZK19_RS02185
OG0000104	NB627_RS02380	HZK19_RS02190
OG0000105	NB627_RS02400	HZK19_RS02205
OG0000106	NB627_RS02405	HZK19_RS02215
OG0000107	NB627_RS02415	HZK19_RS02225
OG0000108	NB627_RS02420	HZK19_RS02230
OG0000109	NB627_RS02425	HZK19_RS02235
OG0000110	NB627_RS02555	HZK19_RS02355
OG0000111	NB627_RS02550	HZK19_RS02350
OG0000112	NB627_RS02540	HZK19_RS02340
OG0000113	NB627_RS02515	HZK19_RS02320
OG0000114	NB627_RS02510	HZK19_RS02310
OG0000115	NB627_RS02495	HZK19_RS02300
OG0000116	NB627_RS01420	HZK19_RS01265
OG0000117	NB627_RS01425	HZK19_RS01270
OG0000118	NB627_RS01460	HZK19_RS01305
OG0000119	NB627_RS01465	HZK19_RS01310
OG0000120	NB627_RS01485	HZK19_RS01325
OG0000121	NB627_RS01515	HZK19_RS01350
OG0000122	NB627_RS01520	HZK19_RS01355
OG0000123	NB627_RS01540	HZK19_RS01375
OG0000124	NB627_RS01545	HZK19_RS01380
OG0000125	NB627_RS01550	HZK19_RS01385
OG0000126	NB627_RS01560	HZK19_RS01395
OG0000127	NB627_RS01570	HZK19_RS01405
OG0000128	NB627_RS01585	HZK19_RS01420
OG0000129	NB627_RS01590	HZK19_RS01425
OG0000130	NB627_RS01600	HZK19_RS01435
OG0000131	NB627_RS01630	HZK19_RS01465
OG0000132	NB627_RS01645	HZK19_RS01480
OG0000133	NB627_RS00640	HZK19_RS00520
OG0000134	NB627_RS00645	HZK19_RS00525
OG0000135	NB627_RS00660	HZK19_RS00540
OG0000136	NB627_RS00665	HZK19_RS00545
OG0000137	NB627_RS00695	HZK19_RS00575
OG0000138	NB627_RS00730	HZK19_RS00610
OG0000139	NB627_RS00760	HZK19_RS00640
OG0000140	NB627_RS00765	HZK19_RS00645
OG0000141	NB627_RS03120	HZK19_RS02895
OG0000142	NB627_RS03115	HZK19_RS02890
OG0000143	NB627_RS03100	HZK19_RS02870
OG0000144	NB627_RS03085	HZK19_RS02860
OG0000145	NB627_RS03075	HZK19_RS02850
OG0000146	NB627_RS03065	HZK19_RS02840
OG0000147	NB627_RS03060	HZK19_RS02835
OG0000148	NB627_RS03045	HZK19_RS02820
OG0000149	NB627_RS03035	HZK19_RS02810
OG0000150	NB627_RS03025	HZK19_RS02795
OG0000151	NB627_RS02970	HZK19_RS02750
OG0000152	NB627_RS02965	HZK19_RS02745
OG0000153	NB627_RS02960	HZK19_RS02740
OG0000154	NB627_RS02950	HZK19_RS02730
OG0000155	NB627_RS02910	HZK19_RS02690
OG0000156	NB627_RS02905	HZK19_RS02680
OG0000157	NB627_RS02895	HZK19_RS02675
OG0000158	NB627_RS02885	HZK19_RS03895
OG0000159	NB627_RS02645	HZK19_RS03970
OG0000160	NB627_RS02640	HZK19_RS02425
OG0000161	NB627_RS02635	HZK19_RS02420
OG0000162	NB627_RS02625	HZK19_RS02410
OG0000163	NB627_RS02620	HZK19_RS02405
OG0000164	NB627_RS01735	HZK19_RS01575
OG0000165	NB627_RS02080	HZK19_RS01905
OG0000166	NB627_RS02100	HZK19_RS01925
OG0000167	NB627_RS02115	HZK19_RS01940
OG0000168	NB627_RS02120	HZK19_RS01945
OG0000169	NB627_RS03235	HZK19_RS02990
OG0000170	NB627_RS03255	HZK19_RS03005
OG0000171	NB627_RS03265	HZK19_RS03110
OG0000172	NB627_RS03270	HZK19_RS03115
OG0000173	NB627_RS03275	HZK19_RS03120
OG0000174	NB627_RS03280	HZK19_RS03125
OG0000175	NB627_RS03295	HZK19_RS03140
OG0000176	NB627_RS03350	HZK19_RS03190
OG0000177	NB627_RS03355	HZK19_RS03195
OG0000178	NB627_RS03365	HZK19_RS03200
OG0000179	NB627_RS03370	HZK19_RS03210
OG0000180	NB627_RS03375	HZK19_RS03215
OG0000181	NB627_RS03415	HZK19_RS03265
OG0000182	NB627_RS03425	HZK19_RS03275
OG0000183	NB627_RS03460	HZK19_RS03310
OG0000184	NB627_RS03505	HZK19_RS03355
OG0000185	NB627_RS03490	HZK19_RS03340
OG0000186	NB627_RS01655	HZK19_RS01490
OG0000187	NB627_RS01670	HZK19_RS01505
OG0000188	NB627_RS01680	HZK19_RS01515
OG0000189	NB627_RS02465	HZK19_RS02270
OG0000190	NB627_RS02460	HZK19_RS02265
OG0000191	NB627_RS02435	HZK19_RS02245
OG0000192	NB627_RS01335	HZK19_RS01180
OG0000193	NB627_RS01315	HZK19_RS01175
OG0000194	NB627_RS00800	HZK19_RS00665
OG0000195	NB627_RS00805	HZK19_RS00670
OG0000196	NB627_RS00830	HZK19_RS00690
OG0000197	NB627_RS00840	HZK19_RS00695
OG0000198	NB627_RS00850	HZK19_RS00710
OG0000199	NB627_RS00855	HZK19_RS00715
OG0000200	NB627_RS00875	HZK19_RS00730
OG0000201	NB627_RS00880	HZK19_RS00740
OG0000202	NB627_RS00940	HZK19_RS00795
OG0000203	NB627_RS00945	HZK19_RS00800
OG0000204	NB627_RS00950	HZK19_RS00805
OG0000205	NB627_RS00955	HZK19_RS00810
OG0000206	NB627_RS00975	HZK19_RS00830
OG0000207	NB627_RS00990	HZK19_RS00845
OG0000208	NB627_RS00995	HZK19_RS00850
OG0000209	NB627_RS01000	HZK19_RS00855
OG0000210	NB627_RS01045	HZK19_RS00900
OG0000211	NB627_RS01055	HZK19_RS00910
OG0000212	NB627_RS01065	HZK19_RS00920
OG0000213	NB627_RS01070	HZK19_RS00925
OG0000214	NB627_RS01075	HZK19_RS00930
OG0000215	NB627_RS01080	HZK19_RS00935
OG0000216	NB627_RS01085	HZK19_RS00940
OG0000217	NB627_RS01090	HZK19_RS00945
OG0000218	NB627_RS01100	HZK19_RS00955
OG0000219	NB627_RS01105	HZK19_RS00960
OG0000220	NB627_RS01110	HZK19_RS00965
OG0000221	NB627_RS01115	HZK19_RS00970
OG0000222	NB627_RS01120	HZK19_RS00975
OG0000223	NB627_RS01125	HZK19_RS00980
OG0000224	NB627_RS01135	HZK19_RS00990
OG0000225	NB627_RS01145	HZK19_RS01000
OG0000226	NB627_RS01150	HZK19_RS01005
OG0000227	NB627_RS01155	HZK19_RS01010
OG0000228	NB627_RS01160	HZK19_RS03950
OG0000229	NB627_RS01165	HZK19_RS01020
OG0000230	NB627_RS01170	HZK19_RS01025
OG0000231	NB627_RS01180	HZK19_RS01035
OG0000232	NB627_RS01190	HZK19_RS01045
OG0000233	NB627_RS01210	HZK19_RS01070
OG0000234	NB627_RS01245	HZK19_RS01105
OG0000235	NB627_RS01255	HZK19_RS01115
OG0000236	NB627_RS01260	HZK19_RS01120
OG0000237	NB627_RS01265	HZK19_RS01125
OG0000238	NB627_RS01270	HZK19_RS01130
OG0000239	NB627_RS03130	HZK19_RS02905
OG0000240	NB627_RS03135	HZK19_RS02910
OG0000241	NB627_RS03145	HZK19_RS02920
OG0000242	NB627_RS03150	HZK19_RS02925
OG0000243	NB627_RS03155	HZK19_RS02930
OG0000244	NB627_RS03165	HZK19_RS02940
OG0000245	NB627_RS03175	HZK19_RS02950
OG0000246	NB627_RS00140	HZK19_RS00125
OG0000247	NB627_RS00150	HZK19_RS00135
OG0000248	NB627_RS00160	HZK19_RS00145
OG0000249	NB627_RS00165	HZK19_RS00150
OG0000250	NB627_RS00180	HZK19_RS00165
OG0000251	NB627_RS00215	HZK19_RS00195
OG0000252	NB627_RS00220	HZK19_RS00205
OG0000253	NB627_RS00225	HZK19_RS00210
OG0000254	NB627_RS00235	HZK19_RS00220
OG0000255	NB627_RS00240	HZK19_RS00225
OG0000256	NB627_RS00245	HZK19_RS00230
OG0000257	NB627_RS00270	HZK19_RS00255
OG0000258	NB627_RS00280	HZK19_RS00265
OG0000259	NB627_RS00310	HZK19_RS00295
OG0000260	NB627_RS00320	HZK19_RS00305
OG0000261	NB627_RS00330	HZK19_RS00315
OG0000262	NB627_RS00360	HZK19_RS00330
OG0000263	NB627_RS00375	HZK19_RS00345
OG0000264	NB627_RS00395	HZK19_RS00360
OG0000265	NB627_RS00400	HZK19_RS00370
OG0000266	NB627_RS00415	HZK19_RS00385
OG0000267	NB627_RS00430	HZK19_RS00400
OG0000268	NB627_RS00530	HZK19_RS00405
OG0000269	NB627_RS00545	HZK19_RS00420
OG0000270	NB627_RS03700	HZK19_RS03540
OG0000271	NB627_RS03690	HZK19_RS03535
OG0000272	NB627_RS03685	HZK19_RS03530
OG0000273	NB627_RS03680	HZK19_RS03525
OG0000274	NB627_RS03665	HZK19_RS03505
OG0000275	NB627_RS03655	HZK19_RS03500
OG0000276	NB627_RS03650	HZK19_RS03495
OG0000277	NB627_RS03640	HZK19_RS03485
OG0000278	NB627_RS03635	HZK19_RS03480
OG0000279	NB627_RS03625	HZK19_RS03470
OG0000280	NB627_RS03620	HZK19_RS03465
OG0000281	NB627_RS03615	HZK19_RS03460
OG0000282	NB627_RS03590	HZK19_RS03435
OG0000283	NB627_RS03585	HZK19_RS03430
OG0000284	NB627_RS03580	HZK19_RS03425
OG0000285	NB627_RS03575	HZK19_RS03420
OG0000286	NB627_RS02605	HZK19_RS02390
OG0000287	NB627_RS02705	HZK19_RS02485
OG0000288	NB627_RS02715	HZK19_RS02495
OG0000289	NB627_RS02720	HZK19_RS02500
OG0000290	NB627_RS02840	HZK19_RS02610
OG0000291	NB627_RS02825	HZK19_RS02600
OG0000292	NB627_RS02820	HZK19_RS02595
OG0000293	NB627_RS02815	HZK19_RS02590
OG0000294	NB627_RS02805	HZK19_RS02580
OG0000295	NB627_RS02800	HZK19_RS02575
OG0000296	NB627_RS02755	HZK19_RS02535
OG0000297	NB627_RS02750	HZK19_RS02530
OG0000298	NB627_RS00175	HZK19_RS00160
OG0000299	NB627_RS00195	HZK19_RS00180
OG0000300	NB627_RS00385	HZK19_RS00355
OG0000301	NB627_RS00420	HZK19_RS00390
OG0000302	NB627_RS00425	HZK19_RS00395
OG0000303	NB627_RS00670	HZK19_RS00550
OG0000304	NB627_RS01195	HZK19_RS01055
OG0000305	NB627_RS03070	HZK19_RS02845
OG0000306	NB627_RS02995	HZK19_RS02770
OG0000307	NB627_RS02955	HZK19_RS02735
OG0000308	NB627_RS02855	HZK19_RS02635
OG0000309	NB627_RS02790	HZK19_RS02565
OG0000310	NB627_RS02710	HZK19_RS02490
OG0000311	NB627_RS02665	HZK19_RS02450
OG0000312	NB627_RS02650	HZK19_RS02435
OG0000313	NB627_RS01725	HZK19_RS01565
OG0000314	NB627_RS02095	HZK19_RS01920
OG0000315	NB627_RS02125	HZK19_RS01950
OG0000316	NB627_RS02135	HZK19_RS01960
OG0000317	NB627_RS02235	HZK19_RS02055
OG0000318	NB627_RS02155	HZK19_RS01965
OG0000319	NB627_RS02390	HZK19_RS02200
OG0000320	NB627_RS02530	HZK19_RS02330
OG0000321	NB627_RS01455	HZK19_RS01300
OG0000322	NB627_RS01510	HZK19_RS01345
OG0000323	NB627_RS01640	HZK19_RS01475
OG0000324	NB627_RS02430	HZK19_RS02240
OG0000325	NB627_RS00815	HZK19_RS00675
OG0000326	NB627_RS00910	HZK19_RS00770
OG0000327	NB627_RS00915	HZK19_RS00775
OG0000328	NB627_RS01005	HZK19_RS00860
OG0000329	NB627_RS01025	HZK19_RS00880
OG0000330	NB627_RS01220	HZK19_RS01080
OG0000331	NB627_RS03160	HZK19_RS02935
OG0000332	NB627_RS03305	HZK19_RS03150
OG0000333	NB627_RS03315	HZK19_RS03160
OG0000334	NB627_RS03420	HZK19_RS03270
OG0000335	NB627_RS03430	HZK19_RS03280
OG0000336	NB627_RS03605	HZK19_RS03450
OG0000337	NB627_RS03780	HZK19_RS03620
OG0000338	NB627_RS03820	HZK19_RS03660
OG0000339	NB627_RS02500	HZK19_RS02305
OG0000340	NB627_RS01435	HZK19_RS01280
OG0000341	NB627_RS02455	HZK19_RS02260
OG0000342	NB627_RS00845	HZK19_RS00705
OG0000343	NB627_RS03325	HZK19_RS03170
OG0000344	NB627_RS00685	HZK19_RS00565
OG0000345	NB627_RS01140	HZK19_RS00995
OG0000346	NB627_RS03610	HZK19_RS03455
OG0000347	NB627_RS01535	HZK19_RS01370
OG0000348	NB627_RS00920	HZK19_RS00780
OG0000349	NB627_RS03670	HZK19_RS03515
OG0000350	NB627_RS02945	HZK19_RS02725
OG0000351	NB627_RS00600	HZK19_RS00480
OG0000352	NB627_RS02075	HZK19_RS01895
OG0000353	NB627_RS01500	HZK19_RS01340
OG0000354	NB627_RS00745	HZK19_RS00625
OG0000355	NB627_RS02050	HZK19_RS01870
OG0000356	NB627_RS02130	HZK19_RS01955
OG0000357	NB627_RS03285	HZK19_RS03130
OG0000358	NB627_RS03290	HZK19_RS03135
OG0000359	NB627_RS00890	HZK19_RS00750
OG0000360	NB627_RS00275	HZK19_RS00260
OG0000361	NB627_RS00305	HZK19_RS00290
OG0000362	NB627_RS02730	HZK19_RS02510
OG0000363	NB627_RS01575	HZK19_RS03730
OG0000364	NB627_RS02025	HZK19_RS03760, HZK19_RS01855
OG0000365	NB627_RS02180	HZK19_RS02000
OG0000366	NB627_RS02200	HZK19_RS02025
OG0000367	NB627_RS02215	HZK19_RS02035
OG0000368	NB627_RS00060	HZK19_RS00060
OG0000369	NB627_RS00025	HZK19_RS00025
OG0000370	NB627_RS00020	HZK19_RS00020
OG0000371	NB627_RS00015	HZK19_RS00015
OG0000372	NB627_RS00010	HZK19_RS00010
OG0000373	NB627_RS03810	HZK19_RS03650
OG0000374	NB627_RS03800	HZK19_RS03640
OG0000375	NB627_RS02385	HZK19_RS02195
OG0000376	NB627_RS02545	HZK19_RS02345
OG0000377	NB627_RS02535	HZK19_RS02335
OG0000378	NB627_RS01415	HZK19_RS01260
OG0000379	NB627_RS01495	HZK19_RS01335
OG0000380	NB627_RS01525	HZK19_RS01360
OG0000381	NB627_RS01565	HZK19_RS01400
OG0000382	NB627_RS01595	HZK19_RS01430
OG0000383	NB627_RS01635	HZK19_RS01470
OG0000384	NB627_RS00625	HZK19_RS00505
OG0000385	NB627_RS00630	HZK19_RS00510
OG0000386	NB627_RS00650	HZK19_RS00530
OG0000387	NB627_RS00675	HZK19_RS00555
OG0000388	NB627_RS00680	HZK19_RS00560
OG0000389	NB627_RS00725	HZK19_RS00605
OG0000390	NB627_RS03090	HZK19_RS02865
OG0000391	NB627_RS03080	HZK19_RS02855
OG0000392	NB627_RS03055	HZK19_RS02830
OG0000393	NB627_RS03000	HZK19_RS02775
OG0000394	NB627_RS02920	HZK19_RS02700
OG0000395	NB627_RS02915	HZK19_RS02695
OG0000396	NB627_RS02610	HZK19_RS02395
OG0000397	NB627_RS02060	HZK19_RS01880
OG0000398	NB627_RS02065	HZK19_RS01885
OG0000399	NB627_RS02110	HZK19_RS01935
OG0000400	NB627_RS03250	HZK19_RS03000
OG0000401	NB627_RS03310	HZK19_RS03155
OG0000402	NB627_RS03320	HZK19_RS03165
OG0000403	NB627_RS03330	HZK19_RS03175
OG0000405	NB627_RS03380	HZK19_RS03220
OG0000406	NB627_RS03435	HZK19_RS03285
OG0000407	NB627_RS03440	HZK19_RS03290
OG0000408	NB627_RS03445	HZK19_RS03295
OG0000409	NB627_RS03450	HZK19_RS03300
OG0000410	NB627_RS03515	HZK19_RS03360
OG0000411	NB627_RS03500	HZK19_RS03350
OG0000412	NB627_RS03495	HZK19_RS03345
OG0000413	NB627_RS01650	HZK19_RS01485
OG0000414	NB627_RS01660	HZK19_RS01495
OG0000415	NB627_RS01665	HZK19_RS01500
OG0000416	NB627_RS01675	HZK19_RS01510
OG0000417	NB627_RS02450	HZK19_RS02255
OG0000418	NB627_RS02440	HZK19_RS02250
OG0000419	NB627_RS00825	HZK19_RS00685
OG0000420	NB627_RS00860	HZK19_RS00720
OG0000421	NB627_RS00900	HZK19_RS00755
OG0000422	NB627_RS00905	HZK19_RS00765
OG0000423	NB627_RS00965	HZK19_RS00820
OG0000424	NB627_RS00970	HZK19_RS00825
OG0000425	NB627_RS00980	HZK19_RS00835
OG0000426	NB627_RS00985	HZK19_RS00840
OG0000427	NB627_RS01010	HZK19_RS00865
OG0000429	NB627_RS01130	HZK19_RS00985
OG0000430	NB627_RS01175	HZK19_RS01030
OG0000431	NB627_RS01185	HZK19_RS01040
OG0000432	NB627_RS01215	HZK19_RS01075
OG0000433	NB627_RS01230	HZK19_RS01090
OG0000434	NB627_RS01235	HZK19_RS01095
OG0000435	NB627_RS01250	HZK19_RS01110
OG0000436	NB627_RS01275	HZK19_RS01135
OG0000437	NB627_RS01285	HZK19_RS01145
OG0000438	NB627_RS01290	HZK19_RS01150
OG0000439	NB627_RS01295	HZK19_RS01155
OG0000440	NB627_RS03140	HZK19_RS02915
OG0000441	NB627_RS03185	HZK19_RS02955
OG0000442	NB627_RS00145	HZK19_RS00130
OG0000443	NB627_RS00190	HZK19_RS00175
OG0000444	NB627_RS00205	HZK19_RS00190
OG0000445	NB627_RS00230	HZK19_RS00215
OG0000446	NB627_RS00255	HZK19_RS00240
OG0000447	NB627_RS00260	HZK19_RS00245
OG0000448	NB627_RS00290	HZK19_RS00275
OG0000449	NB627_RS00315	HZK19_RS00300
OG0000450	NB627_RS00325	HZK19_RS00310
OG0000451	NB627_RS00380	HZK19_RS00350
OG0000452	NB627_RS00405	HZK19_RS00375
OG0000453	NB627_RS00535	HZK19_RS00410
OG0000454	NB627_RS00520	HZK19_RS03100
OG0000455	NB627_RS03715	HZK19_RS03560
OG0000456	NB627_RS03595	HZK19_RS03440
OG0000457	NB627_RS03565	HZK19_RS03415
OG0000458	NB627_RS02700	HZK19_RS02480
OG0000459	NB627_RS02725	HZK19_RS02505
OG0000460	NB627_RS02735	HZK19_RS02520
OG0000461	NB627_RS02780	HZK19_RS02560
OG0000462	NB627_RS02775	HZK19_RS02555
OG0000463	NB627_RS02770	HZK19_RS02550
OG0000465	NB627_RS02760	HZK19_RS02545
OG0000466	NB627_RS00410	HZK19_RS00380
OG0000467	NB627_RS02865	HZK19_RS02645
OG0000468	NB627_RS02105	HZK19_RS01930
OG0000469	NB627_RS02165	HZK19_RS01990
OG0000470	NB627_RS00960	HZK19_RS00815
OG0000471	NB627_RS01040	HZK19_RS00895
OG0000472	NB627_RS03520	HZK19_RS03370
OG0000474	NB627_RS03705	HZK19_RS03550
OG0000475	NB627_RS03710	HZK19_RS03555
OG0000476	NB627_RS01685	HZK19_RS01520
OG0000477	NB627_RS02810	HZK19_RS02585
OG0000478	NB627_RS03645	HZK19_RS03490
OG0000479	NB627_RS01450	HZK19_RS01295
OG0000480	NB627_RS02170	HZK19_RS01995
OG0000481	NB627_RS00935	HZK19_RS00790
OG0000483	NB627_RS02220	HZK19_RS02040
OG0000484	NB627_RS00200	HZK19_RS00185
OG0000485	NB627_RS01280	HZK19_RS01140
OG0000486	NB627_RS02470	HZK19_RS02275
OG0000488	NB627_RS02185	HZK19_RS02010
OG0000490	NB627_RS03815	HZK19_RS03655
OG0000491	NB627_RS01470	HZK19_RS01315
OG0000492	NB627_RS01555	HZK19_RS01390
OG0000493	NB627_RS00690	HZK19_RS00570
OG0000494	NB627_RS00750	HZK19_RS00630
OG0000496	NB627_RS03015	HZK19_RS02790
OG0000497	NB627_RS03010	HZK19_RS02785
OG0000498	NB627_RS02925	HZK19_RS02705
OG0000499	NB627_RS02890	HZK19_RS02670
OG0000500	NB627_RS02070	HZK19_RS01890
OG0000501	NB627_RS03260	HZK19_RS03010
OG0000504	NB627_RS01015	HZK19_RS00870
OG0000505	NB627_RS01050	HZK19_RS00905
OG0000506	NB627_RS01060	HZK19_RS00915
OG0000507	NB627_RS01095	HZK19_RS00950
OG0000508	NB627_RS00250	HZK19_RS00235
OG0000509	NB627_RS00285	HZK19_RS00270
OG0000510	NB627_RS00300	HZK19_RS00280
OG0000511	NB627_RS00540	HZK19_RS00415
OG0000513	NB627_RS03630	HZK19_RS03475
OG0000514	NB627_RS03050	HZK19_RS02825
OG0000517	NB627_RS00065	HZK19_RS00065
OG0000518	NB627_RS03300	HZK19_RS03145
OG0000520	NB627_RS01035	HZK19_RS00885
OG0000521	NB627_RS00265	HZK19_RS00250
OG0000523	NB627_RS03560	HZK19_RS03410
OG0000524	NB627_RS02860	HZK19_RS02640
OG0000525	NB627_RS03525	HZK19_RS03375
OG0000526	NB627_RS01970	HZK19_RS03755
OG0000527	NB627_RS01910	HZK19_RS01730
OG0000531	NB627_RS01530	HZK19_RS01365
OG0000532	NB627_RS01750, NB627_RS01755	HZK19_RS01590
OG0000533	NB627_RS00710	HZK19_RS00590
OG0000538	NB627_RS01240	HZK19_RS01100
OG0000540	NB627_RS02830	HZK19_RS02605
OG0000543	NB627_RS00515	HZK19_RS03095
OG0000544	NB627_RS01370	HZK19_RS01215
OG0000545	NB627_RS01955	HZK19_RS01785
OG0000546	NB627_RS02975	HZK19_RS02755
OG0000551	NB627_RS03170	HZK19_RS02945
OG0000552	NB627_RS03340	HZK19_RS03180
OG0000553	NB627_RS02875	HZK19_RS02655
OG0000554	NB627_RS02565	HZK19_RS02360
