Orthogroup	MHP_131B_genes	MHP_LH_genes
OG0000092	NB627_RS00050	KUD10_RS00040
OG0000093	NB627_RS00035	KUD10_RS00035
OG0000094	NB627_RS00030	KUD10_RS00030
OG0000095	NB627_RS00005	KUD10_RS00005
OG0000096	NB627_RS03825	KUD10_RS03690
OG0000097	NB627_RS03805	KUD10_RS03670
OG0000099	NB627_RS03745	KUD10_RS03610
OG0000100	NB627_RS03725	KUD10_RS03590
OG0000101	NB627_RS03720	KUD10_RS03585
OG0000102	NB627_RS01835	KUD10_RS01765
OG0000103	NB627_RS02375	KUD10_RS02280
OG0000104	NB627_RS02380	KUD10_RS02285
OG0000105	NB627_RS02400	KUD10_RS02300
OG0000106	NB627_RS02405	KUD10_RS02310
OG0000107	NB627_RS02415	KUD10_RS02320
OG0000108	NB627_RS02420	KUD10_RS02325
OG0000109	NB627_RS02425	KUD10_RS02330
OG0000110	NB627_RS02555	KUD10_RS02450
OG0000111	NB627_RS02550	KUD10_RS02445
OG0000112	NB627_RS02540	KUD10_RS02435
OG0000113	NB627_RS02515	KUD10_RS02415
OG0000114	NB627_RS02510	KUD10_RS02405
OG0000115	NB627_RS02495	KUD10_RS02395
OG0000116	NB627_RS01420	KUD10_RS01370
OG0000117	NB627_RS01425	KUD10_RS01375
OG0000118	NB627_RS01460	KUD10_RS01410
OG0000119	NB627_RS01465	KUD10_RS01415
OG0000120	NB627_RS01485	KUD10_RS01430
OG0000121	NB627_RS01515	KUD10_RS01455
OG0000122	NB627_RS01520	KUD10_RS01460
OG0000123	NB627_RS01540	KUD10_RS01480
OG0000124	NB627_RS01545	KUD10_RS01485
OG0000125	NB627_RS01550	KUD10_RS01490
OG0000126	NB627_RS01560	KUD10_RS01500
OG0000127	NB627_RS01570	KUD10_RS01510
OG0000128	NB627_RS01585	KUD10_RS01525
OG0000129	NB627_RS01590	KUD10_RS01530
OG0000130	NB627_RS01600	KUD10_RS01540
OG0000131	NB627_RS01630	KUD10_RS01570
OG0000132	NB627_RS01645	KUD10_RS01585
OG0000133	NB627_RS00640	KUD10_RS00535
OG0000134	NB627_RS00645	KUD10_RS00540
OG0000135	NB627_RS00660	KUD10_RS00555
OG0000136	NB627_RS00665	KUD10_RS00560
OG0000137	NB627_RS00695	KUD10_RS00600
OG0000138	NB627_RS00730	KUD10_RS00630
OG0000139	NB627_RS00760	KUD10_RS00660
OG0000140	NB627_RS00765	KUD10_RS00665
OG0000141	NB627_RS03120	KUD10_RS03005
OG0000142	NB627_RS03115	KUD10_RS03000
OG0000143	NB627_RS03100	KUD10_RS02980
OG0000144	NB627_RS03085	KUD10_RS02970
OG0000145	NB627_RS03075	KUD10_RS02960
OG0000146	NB627_RS03065	KUD10_RS02950
OG0000147	NB627_RS03060	KUD10_RS02945
OG0000148	NB627_RS03045	KUD10_RS02930
OG0000149	NB627_RS03035	KUD10_RS02920
OG0000150	NB627_RS03025	KUD10_RS02905
OG0000151	NB627_RS02970	KUD10_RS02860
OG0000152	NB627_RS02965	KUD10_RS02855
OG0000153	NB627_RS02960	KUD10_RS02850
OG0000154	NB627_RS02950	KUD10_RS02840
OG0000155	NB627_RS02910	KUD10_RS02805
OG0000156	NB627_RS02905	KUD10_RS02795
OG0000157	NB627_RS02895	KUD10_RS02790
OG0000158	NB627_RS02885	KUD10_RS03710
OG0000159	NB627_RS02645	KUD10_RS02545
OG0000160	NB627_RS02640	KUD10_RS02540
OG0000161	NB627_RS02635	KUD10_RS02535
OG0000162	NB627_RS02625	KUD10_RS02525
OG0000163	NB627_RS02620	KUD10_RS02520
OG0000164	NB627_RS01735	KUD10_RS01670
OG0000165	NB627_RS02080	KUD10_RS01990
OG0000166	NB627_RS02100	KUD10_RS02010
OG0000167	NB627_RS02115	KUD10_RS02025
OG0000168	NB627_RS02120	KUD10_RS02030
OG0000169	NB627_RS03235	KUD10_RS03115
OG0000170	NB627_RS03255	KUD10_RS03130
OG0000171	NB627_RS03265	KUD10_RS03140
OG0000172	NB627_RS03270	KUD10_RS03145
OG0000173	NB627_RS03275	KUD10_RS03150
OG0000174	NB627_RS03280	KUD10_RS03155
OG0000175	NB627_RS03295	KUD10_RS03170
OG0000176	NB627_RS03350	KUD10_RS03215
OG0000177	NB627_RS03355	KUD10_RS03220
OG0000178	NB627_RS03365	KUD10_RS03225
OG0000179	NB627_RS03370	KUD10_RS03235
OG0000180	NB627_RS03375	KUD10_RS03240
OG0000181	NB627_RS03415	KUD10_RS03285
OG0000182	NB627_RS03425	KUD10_RS03295
OG0000183	NB627_RS03460	KUD10_RS03330
OG0000184	NB627_RS03505	KUD10_RS03375
OG0000185	NB627_RS03490	KUD10_RS03360
OG0000186	NB627_RS01655	KUD10_RS01595
OG0000187	NB627_RS01670	KUD10_RS01610
OG0000188	NB627_RS01680	KUD10_RS01620
OG0000189	NB627_RS02465	KUD10_RS02365
OG0000190	NB627_RS02460	KUD10_RS02360
OG0000191	NB627_RS02435	KUD10_RS02340
OG0000192	NB627_RS01335	KUD10_RS01290
OG0000193	NB627_RS01315	KUD10_RS01275
OG0000194	NB627_RS00800	KUD10_RS00685
OG0000195	NB627_RS00805	KUD10_RS00690
OG0000196	NB627_RS00830	KUD10_RS00710
OG0000197	NB627_RS00840	KUD10_RS00715
OG0000198	NB627_RS00850	KUD10_RS00730
OG0000199	NB627_RS00855	KUD10_RS00735
OG0000200	NB627_RS00875	KUD10_RS00750
OG0000201	NB627_RS00880	KUD10_RS00760
OG0000202	NB627_RS00940	KUD10_RS00815
OG0000203	NB627_RS00945	KUD10_RS00820
OG0000204	NB627_RS00950	KUD10_RS00825
OG0000205	NB627_RS00955	KUD10_RS00830
OG0000206	NB627_RS00975	KUD10_RS00850
OG0000207	NB627_RS00990	KUD10_RS00865
OG0000208	NB627_RS00995	KUD10_RS00870
OG0000209	NB627_RS01000	KUD10_RS00875
OG0000210	NB627_RS01045	KUD10_RS00920
OG0000211	NB627_RS01055	KUD10_RS00930
OG0000212	NB627_RS01065	KUD10_RS00940
OG0000213	NB627_RS01070	KUD10_RS00945
OG0000214	NB627_RS01075	KUD10_RS00950
OG0000215	NB627_RS01080	KUD10_RS00955
OG0000216	NB627_RS01085	KUD10_RS00960
OG0000217	NB627_RS01090	KUD10_RS00965
OG0000218	NB627_RS01100	KUD10_RS00975
OG0000219	NB627_RS01105	KUD10_RS00980
OG0000220	NB627_RS01110	KUD10_RS00985
OG0000221	NB627_RS01115	KUD10_RS00990
OG0000222	NB627_RS01120	KUD10_RS00995
OG0000223	NB627_RS01125	KUD10_RS01000
OG0000224	NB627_RS01135	KUD10_RS01010
OG0000225	NB627_RS01145	KUD10_RS01020
OG0000226	NB627_RS01150	KUD10_RS01025
OG0000227	NB627_RS01155	KUD10_RS01030
OG0000228	NB627_RS01160	KUD10_RS03740
OG0000229	NB627_RS01165	KUD10_RS01040
OG0000230	NB627_RS01170	KUD10_RS01045
OG0000231	NB627_RS01180	KUD10_RS01055
OG0000232	NB627_RS01190	KUD10_RS01065
OG0000233	NB627_RS01210	KUD10_RS01090
OG0000234	NB627_RS01245	KUD10_RS01125
OG0000235	NB627_RS01255	KUD10_RS01135
OG0000236	NB627_RS01260	KUD10_RS01140
OG0000237	NB627_RS01265	KUD10_RS01230
OG0000238	NB627_RS01270	KUD10_RS01235
OG0000239	NB627_RS03130	KUD10_RS03015
OG0000240	NB627_RS03135	KUD10_RS03020
OG0000241	NB627_RS03145	KUD10_RS03030
OG0000242	NB627_RS03150	KUD10_RS03035
OG0000243	NB627_RS03155	KUD10_RS03040
OG0000244	NB627_RS03165	KUD10_RS03050
OG0000245	NB627_RS03175	KUD10_RS03055
OG0000246	NB627_RS00140	KUD10_RS00140
OG0000247	NB627_RS00150	KUD10_RS00150
OG0000248	NB627_RS00160	KUD10_RS00160
OG0000249	NB627_RS00165	KUD10_RS00165
OG0000250	NB627_RS00180	KUD10_RS00180
OG0000251	NB627_RS00215	KUD10_RS00210
OG0000252	NB627_RS00220	KUD10_RS00220
OG0000253	NB627_RS00225	KUD10_RS00225
OG0000254	NB627_RS00235	KUD10_RS00235
OG0000255	NB627_RS00240	KUD10_RS00240
OG0000256	NB627_RS00245	KUD10_RS00245
OG0000257	NB627_RS00270	KUD10_RS00270
OG0000258	NB627_RS00280	KUD10_RS00280
OG0000259	NB627_RS00310	KUD10_RS00310
OG0000260	NB627_RS00320	KUD10_RS00320
OG0000261	NB627_RS00330	KUD10_RS00330
OG0000262	NB627_RS00360	KUD10_RS00345
OG0000263	NB627_RS00375	KUD10_RS00360
OG0000264	NB627_RS00395	KUD10_RS00375
OG0000265	NB627_RS00400	KUD10_RS00385
OG0000266	NB627_RS00415	KUD10_RS00400
OG0000267	NB627_RS00430	KUD10_RS00415
OG0000268	NB627_RS00530	KUD10_RS00420
OG0000269	NB627_RS00545	KUD10_RS00435
OG0000270	NB627_RS03700	KUD10_RS03560
OG0000271	NB627_RS03690	KUD10_RS03555
OG0000272	NB627_RS03685	KUD10_RS03550
OG0000273	NB627_RS03680	KUD10_RS03545
OG0000274	NB627_RS03665	KUD10_RS03525
OG0000275	NB627_RS03655	KUD10_RS03520
OG0000276	NB627_RS03650	KUD10_RS03515
OG0000277	NB627_RS03640	KUD10_RS03505
OG0000278	NB627_RS03635	KUD10_RS03500
OG0000279	NB627_RS03625	KUD10_RS03490
OG0000280	NB627_RS03620	KUD10_RS03485
OG0000281	NB627_RS03615	KUD10_RS03480
OG0000282	NB627_RS03590	KUD10_RS03455
OG0000283	NB627_RS03585	KUD10_RS03450
OG0000284	NB627_RS03580	KUD10_RS03445
OG0000285	NB627_RS03575	KUD10_RS03440
OG0000286	NB627_RS02605	KUD10_RS02505
OG0000287	NB627_RS02705	KUD10_RS02600
OG0000288	NB627_RS02715	KUD10_RS02610
OG0000289	NB627_RS02720	KUD10_RS02615
OG0000290	NB627_RS02840	KUD10_RS02730
OG0000291	NB627_RS02825	KUD10_RS02720
OG0000292	NB627_RS02820	KUD10_RS02715
OG0000293	NB627_RS02815	KUD10_RS02710
OG0000294	NB627_RS02805	KUD10_RS02700
OG0000295	NB627_RS02800	KUD10_RS02695
OG0000296	NB627_RS02755	KUD10_RS02650
OG0000297	NB627_RS02750	KUD10_RS02645
OG0000298	NB627_RS00175	KUD10_RS00175
OG0000299	NB627_RS00195	KUD10_RS00195
OG0000300	NB627_RS00385	KUD10_RS00370
OG0000301	NB627_RS00420	KUD10_RS00405
OG0000302	NB627_RS00425	KUD10_RS00410
OG0000303	NB627_RS00670	KUD10_RS00565
OG0000304	NB627_RS01195	KUD10_RS01070
OG0000305	NB627_RS03070	KUD10_RS02955
OG0000306	NB627_RS02995	KUD10_RS02880
OG0000307	NB627_RS02955	KUD10_RS02845
OG0000308	NB627_RS02855	KUD10_RS02750
OG0000309	NB627_RS02790	KUD10_RS02685
OG0000310	NB627_RS02710	KUD10_RS02605
OG0000311	NB627_RS02665	KUD10_RS02565
OG0000312	NB627_RS02650	KUD10_RS02550
OG0000313	NB627_RS01725	KUD10_RS01660
OG0000314	NB627_RS02095	KUD10_RS02005
OG0000315	NB627_RS02125	KUD10_RS02035
OG0000316	NB627_RS02135	KUD10_RS02045
OG0000317	NB627_RS02235	KUD10_RS02140
OG0000318	NB627_RS02155	KUD10_RS02050
OG0000319	NB627_RS02390	KUD10_RS02295
OG0000320	NB627_RS02530	KUD10_RS02425
OG0000321	NB627_RS01455	KUD10_RS01405
OG0000322	NB627_RS01510	KUD10_RS01450
OG0000323	NB627_RS01640	KUD10_RS01580
OG0000324	NB627_RS02430	KUD10_RS02335
OG0000325	NB627_RS00815	KUD10_RS00695
OG0000326	NB627_RS00910	KUD10_RS00790
OG0000327	NB627_RS00915	KUD10_RS00795
OG0000328	NB627_RS01005	KUD10_RS00880
OG0000329	NB627_RS01025	KUD10_RS00900
OG0000330	NB627_RS01220	KUD10_RS01100
OG0000331	NB627_RS03160	KUD10_RS03045
OG0000332	NB627_RS03305	KUD10_RS03180
OG0000333	NB627_RS03315	KUD10_RS03190
OG0000334	NB627_RS03420	KUD10_RS03290
OG0000335	NB627_RS03430	KUD10_RS03300
OG0000336	NB627_RS03605	KUD10_RS03470
OG0000337	NB627_RS03780	KUD10_RS03645
OG0000338	NB627_RS03820	KUD10_RS03685
OG0000339	NB627_RS02500	KUD10_RS02400
OG0000340	NB627_RS01435	KUD10_RS01385
OG0000341	NB627_RS02455	KUD10_RS02355
OG0000342	NB627_RS00845	KUD10_RS00725
OG0000343	NB627_RS03325	KUD10_RS03200
OG0000344	NB627_RS00685	KUD10_RS00580
OG0000345	NB627_RS01140	KUD10_RS01015
OG0000346	NB627_RS03610	KUD10_RS03475
OG0000347	NB627_RS01535	KUD10_RS01475
OG0000348	NB627_RS00920	KUD10_RS00800
OG0000349	NB627_RS03670	KUD10_RS03535
OG0000350	NB627_RS02945	KUD10_RS02835
OG0000351	NB627_RS00600	KUD10_RS00490
OG0000352	NB627_RS02075	KUD10_RS01985
OG0000353	NB627_RS01500	KUD10_RS01445
OG0000354	NB627_RS00745	KUD10_RS00645
OG0000355	NB627_RS02050	KUD10_RS01960
OG0000356	NB627_RS02130	KUD10_RS02040
OG0000357	NB627_RS03285	KUD10_RS03160
OG0000358	NB627_RS03290	KUD10_RS03165
OG0000359	NB627_RS00890	KUD10_RS00770
OG0000360	NB627_RS00275	KUD10_RS00275
OG0000361	NB627_RS00305	KUD10_RS00305
OG0000362	NB627_RS02730	KUD10_RS02625
OG0000363	NB627_RS01575	KUD10_RS01515
OG0000364	NB627_RS02025	KUD10_RS01940
OG0000365	NB627_RS02180	KUD10_RS02085
OG0000366	NB627_RS02200	KUD10_RS02110
OG0000367	NB627_RS02215	KUD10_RS02120
OG0000368	NB627_RS00060	KUD10_RS00060
OG0000369	NB627_RS00025	KUD10_RS00025
OG0000370	NB627_RS00020	KUD10_RS00020
OG0000371	NB627_RS00015	KUD10_RS00015
OG0000372	NB627_RS00010	KUD10_RS00010
OG0000373	NB627_RS03810	KUD10_RS03675
OG0000374	NB627_RS03800	KUD10_RS03665
OG0000375	NB627_RS02385	KUD10_RS02290
OG0000376	NB627_RS02545	KUD10_RS02440
OG0000377	NB627_RS02535	KUD10_RS02430
OG0000378	NB627_RS01415	KUD10_RS01365
OG0000379	NB627_RS01495	KUD10_RS01440
OG0000380	NB627_RS01525	KUD10_RS01465
OG0000381	NB627_RS01565	KUD10_RS01505
OG0000382	NB627_RS01595	KUD10_RS01535
OG0000383	NB627_RS01635	KUD10_RS01575
OG0000384	NB627_RS00625	KUD10_RS00520
OG0000385	NB627_RS00630	KUD10_RS00525
OG0000386	NB627_RS00650	KUD10_RS00545
OG0000387	NB627_RS00675	KUD10_RS00570
OG0000388	NB627_RS00680	KUD10_RS00575
OG0000389	NB627_RS00725	KUD10_RS00625
OG0000390	NB627_RS03090	KUD10_RS02975
OG0000391	NB627_RS03080	KUD10_RS02965
OG0000392	NB627_RS03055	KUD10_RS02940
OG0000393	NB627_RS03000	KUD10_RS02885
OG0000394	NB627_RS02920	KUD10_RS02815
OG0000395	NB627_RS02915	KUD10_RS02810
OG0000396	NB627_RS02610	KUD10_RS02510
OG0000397	NB627_RS02060	KUD10_RS01970
OG0000398	NB627_RS02065	KUD10_RS01975
OG0000399	NB627_RS02110	KUD10_RS02020
OG0000400	NB627_RS03250	KUD10_RS03125
OG0000401	NB627_RS03310	KUD10_RS03185
OG0000402	NB627_RS03320	KUD10_RS03195
OG0000403	NB627_RS03330	KUD10_RS03205
OG0000405	NB627_RS03380	KUD10_RS03245
OG0000406	NB627_RS03435	KUD10_RS03305
OG0000407	NB627_RS03440	KUD10_RS03310
OG0000408	NB627_RS03445	KUD10_RS03315
OG0000409	NB627_RS03450	KUD10_RS03320
OG0000410	NB627_RS03515	KUD10_RS03380
OG0000411	NB627_RS03500	KUD10_RS03370
OG0000412	NB627_RS03495	KUD10_RS03365
OG0000413	NB627_RS01650	KUD10_RS01590
OG0000414	NB627_RS01660	KUD10_RS01600
OG0000415	NB627_RS01665	KUD10_RS01605
OG0000416	NB627_RS01675	KUD10_RS01615
OG0000417	NB627_RS02450	KUD10_RS02350
OG0000418	NB627_RS02440	KUD10_RS02345
OG0000419	NB627_RS00825	KUD10_RS00705
OG0000420	NB627_RS00860	KUD10_RS00740
OG0000421	NB627_RS00900	KUD10_RS00775
OG0000422	NB627_RS00905	KUD10_RS00785
OG0000423	NB627_RS00965	KUD10_RS00840
OG0000424	NB627_RS00970	KUD10_RS00845
OG0000425	NB627_RS00980	KUD10_RS00855
OG0000426	NB627_RS00985	KUD10_RS00860
OG0000427	NB627_RS01010	KUD10_RS00885
OG0000429	NB627_RS01130	KUD10_RS01005
OG0000430	NB627_RS01175	KUD10_RS01050
OG0000431	NB627_RS01185	KUD10_RS01060
OG0000432	NB627_RS01215	KUD10_RS01095
OG0000433	NB627_RS01230	KUD10_RS01110
OG0000434	NB627_RS01235	KUD10_RS01115
OG0000435	NB627_RS01250	KUD10_RS01130
OG0000436	NB627_RS01275	KUD10_RS01240
OG0000437	NB627_RS01285	KUD10_RS01250
OG0000438	NB627_RS01290	KUD10_RS01255
OG0000439	NB627_RS01295	KUD10_RS01260
OG0000440	NB627_RS03140	KUD10_RS03025
OG0000441	NB627_RS03185	KUD10_RS03060
OG0000442	NB627_RS00145	KUD10_RS00145
OG0000443	NB627_RS00190	KUD10_RS00190
OG0000444	NB627_RS00205	KUD10_RS00205
OG0000445	NB627_RS00230	KUD10_RS00230
OG0000446	NB627_RS00255	KUD10_RS00255
OG0000447	NB627_RS00260	KUD10_RS00260
OG0000448	NB627_RS00290	KUD10_RS00290
OG0000449	NB627_RS00315	KUD10_RS00315
OG0000450	NB627_RS00325	KUD10_RS00325
OG0000451	NB627_RS00380	KUD10_RS00365
OG0000452	NB627_RS00405	KUD10_RS00390
OG0000453	NB627_RS00535	KUD10_RS00425
OG0000454	NB627_RS00520	KUD10_RS01220
OG0000455	NB627_RS03715	KUD10_RS03580
OG0000456	NB627_RS03595	KUD10_RS03460
OG0000457	NB627_RS03565	KUD10_RS03435
OG0000458	NB627_RS02700	KUD10_RS02595
OG0000459	NB627_RS02725	KUD10_RS02620
OG0000460	NB627_RS02735	KUD10_RS02630
OG0000461	NB627_RS02780	KUD10_RS02680
OG0000462	NB627_RS02775	KUD10_RS02670
OG0000463	NB627_RS02770	KUD10_RS02665
OG0000464	NB627_RS02765	KUD10_RS02660
OG0000465	NB627_RS02760	KUD10_RS02655
OG0000466	NB627_RS00410	KUD10_RS00395
OG0000467	NB627_RS02865	KUD10_RS02760
OG0000468	NB627_RS02105	KUD10_RS02015
OG0000469	NB627_RS02165	KUD10_RS02075
OG0000470	NB627_RS00960	KUD10_RS00835
OG0000471	NB627_RS01040	KUD10_RS00915
OG0000472	NB627_RS03520	KUD10_RS03390
OG0000474	NB627_RS03705	KUD10_RS03570
OG0000475	NB627_RS03710	KUD10_RS03575
OG0000476	NB627_RS01685	KUD10_RS01625
OG0000477	NB627_RS02810	KUD10_RS02705
OG0000478	NB627_RS03645	KUD10_RS03510
OG0000479	NB627_RS01450	KUD10_RS01400
OG0000480	NB627_RS02170	KUD10_RS02080
OG0000481	NB627_RS00935	KUD10_RS00810
OG0000482	NB627_RS01320	KUD10_RS01280
OG0000483	NB627_RS02220	KUD10_RS02125
OG0000484	NB627_RS00200	KUD10_RS00200
OG0000485	NB627_RS01280	KUD10_RS01245
OG0000486	NB627_RS02470	KUD10_RS02370
OG0000488	NB627_RS02185	KUD10_RS02095
OG0000490	NB627_RS03815	KUD10_RS03680
OG0000491	NB627_RS01470	KUD10_RS01420
OG0000492	NB627_RS01555	KUD10_RS01495
OG0000493	NB627_RS00690	KUD10_RS00585
OG0000494	NB627_RS00750	KUD10_RS00650
OG0000496	NB627_RS03015	KUD10_RS02900
OG0000497	NB627_RS03010	KUD10_RS02895
OG0000498	NB627_RS02925	KUD10_RS02820
OG0000499	NB627_RS02890	KUD10_RS02785
OG0000500	NB627_RS02070	KUD10_RS01980
OG0000501	NB627_RS03260	KUD10_RS03135
OG0000504	NB627_RS01015	KUD10_RS00890
OG0000505	NB627_RS01050	KUD10_RS00925
OG0000506	NB627_RS01060	KUD10_RS00935
OG0000507	NB627_RS01095	KUD10_RS00970
OG0000508	NB627_RS00250	KUD10_RS00250
OG0000509	NB627_RS00285	KUD10_RS00285
OG0000510	NB627_RS00300	KUD10_RS00295
OG0000511	NB627_RS00540	KUD10_RS00430
OG0000512	NB627_RS02740	KUD10_RS02635
OG0000513	NB627_RS03630	KUD10_RS03495
OG0000514	NB627_RS03050	KUD10_RS02935
OG0000517	NB627_RS00065	KUD10_RS00065
OG0000518	NB627_RS03300	KUD10_RS03175
OG0000520	NB627_RS01035	KUD10_RS00905
OG0000521	NB627_RS00265	KUD10_RS00265
OG0000523	NB627_RS03560	KUD10_RS03430
OG0000524	NB627_RS02860	KUD10_RS02755
OG0000525	NB627_RS03525	KUD10_RS03395
OG0000526	NB627_RS01970, NB627_RS01965	KUD10_RS01895
OG0000527	NB627_RS01910	KUD10_RS01830
OG0000531	NB627_RS01530	KUD10_RS01470
OG0000532	NB627_RS01755	KUD10_RS01685
OG0000533	NB627_RS00710	KUD10_RS00605
OG0000538	NB627_RS01240	KUD10_RS01120
OG0000540	NB627_RS02830	KUD10_RS02725
OG0000543	NB627_RS00515	KUD10_RS01215
OG0000544	NB627_RS01370	KUD10_RS01325
OG0000545	NB627_RS01955	KUD10_RS01885
OG0000546	NB627_RS02975	KUD10_RS02865
OG0000553	NB627_RS02875	KUD10_RS02770
OG0000554	NB627_RS02565	KUD10_RS02455
OG0000555	NB627_RS03105	KUD10_RS02990
OG0000556	NB627_RS00460	KUD10_RS01170
OG0000557	NB627_RS01385	KUD10_RS01335
OG0000558	NB627_RS01345	KUD10_RS01305
