Orthogroup	MHP_MHP691_proteins	MHP_LH_proteins
OG0000440	WP_160608084.1	WP_014579953.1
OG0000441	WP_011284299.1	WP_233688514.1
OG0000442	WP_160607726.1	WP_179220985.1
OG0000443	WP_044272282.1	WP_233688608.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160585544.1	WP_044284571.1
OG0000446	WP_135618497.1	WP_233688612.1
OG0000447	WP_014579553.1	WP_160600671.1
OG0000448	WP_011205897.1	WP_233688615.1
OG0000449	WP_160607900.1	WP_233688618.1
OG0000450	WP_160607904.1	WP_233688619.1
OG0000451	WP_160607910.1	WP_160606509.1
OG0000452	WP_258555618.1	WP_160584747.1
OG0000453	WP_160608048.1	WP_233688624.1
OG0000454	WP_160607934.1	WP_016340205.1, WP_233688728.1
OG0000455	WP_160607751.1	WP_233688570.1
OG0000456	WP_160607740.1	WP_233688560.1
OG0000457	WP_160607736.1	WP_233688559.1
OG0000458	WP_160608038.1	WP_020835790.1
OG0000459	WP_160608042.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_011206303.1
OG0000461	WP_220200620.1	WP_233688479.1
OG0000462	WP_160607834.1	WP_011206311.1
OG0000463	WP_011206310.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_233688477.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160607818.1	WP_233688489.1
OG0000468	WP_160607658.1	WP_014579812.1
OG0000469	WP_014579824.1	WP_233688411.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_135618603.1	WP_014579622.1
OG0000472	WP_160607961.1	WP_233688554.1
OG0000473	WP_044272671.1	WP_011206506.1
OG0000474	WP_160585578.1	WP_011284377.1
OG0000475	WP_160607749.1	WP_233688569.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_160607830.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_233688564.1
OG0000479	WP_160607806.1	WP_233688706.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_308704684.1	WP_160600884.1
OG0000482	WP_160585562.1	WP_020835622.1
OG0000483	WP_160590070.1	WP_011206227.1
OG0000484	WP_225973007.1	WP_233688609.1
OG0000485	WP_160607922.1	WP_011206004.1
OG0000486	WP_160585249.1	WP_160585249.1
OG0000487	WP_220200602.1	WP_233688409.1
OG0000488	WP_011206221.1	WP_233688414.1
OG0000489	WP_160607714.1	WP_233688589.1
OG0000490	WP_146379773.1	WP_160606487.1
OG0000491	WP_160588241.1	WP_011205966.1
OG0000492	WP_160607802.1	WP_160607802.1
OG0000493	WP_160608034.1	WP_011206114.1
OG0000494	WP_052259108.1	WP_233688644.1
OG0000495	WP_160607844.1	WP_135619008.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_160607842.1	WP_044272567.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_011284249.1
OG0000500	WP_146379610.1	WP_233688754.1
OG0000501	WP_220190663.1	WP_233688527.1
OG0000502	WP_094521609.1	WP_233688692.1
OG0000503	WP_016340193.1	WP_233688648.1
OG0000504	WP_011283955.1	WP_233688660.1
OG0000505	WP_011290053.1	WP_146379519.1
OG0000506	WP_160608017.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_233688665.1
OG0000508	WP_044272682.1	WP_233688611.1
OG0000509	WP_220200635.1	WP_233688614.1
OG0000510	WP_011289977.1	WP_050195448.1
OG0000511	WP_011206135.1	WP_179695952.1
OG0000512	WP_160585006.1	WP_160585006.1
OG0000513	WP_146379751.1	WP_233688562.1
OG0000514	WP_160607850.1	WP_233688503.1
OG0000516	WP_160607660.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_160607783.1	WP_233688531.1
OG0000519	WP_020835579.1	WP_135618573.1
OG0000520	WP_135618599.1	WP_011283957.1
OG0000521	WP_011205893.1	WP_160600673.1
OG0000522	WP_135618505.1	WP_135618505.1
OG0000523	WP_160607734.1	WP_233688558.1
OG0000524	WP_160607820.1	WP_233688488.1
OG0000525	WP_160607959.1	WP_233688555.1
OG0000526	WP_225972970.1	WP_233688749.1
OG0000528	WP_160607662.1	WP_233688410.1
OG0000529	WP_160585770.1	WP_233688432.1
OG0000530	WP_160585298.1	WP_011284186.1
OG0000531	WP_020835645.1	WP_011205956.1
OG0000532	WP_160590479.1	WP_011290141.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000534	WP_160607912.1	WP_011289989.1
OG0000535	WP_011205848.1	WP_160588116.1
OG0000537	WP_011290028.1	WP_233688645.1
OG0000538	WP_160607930.1	WP_233688675.1
OG0000539	WP_160600661.1	WP_160600661.1
OG0000540	WP_160607828.1	WP_233688483.1
OG0000541	WP_160590426.1	WP_233688492.1
OG0000542	WP_160585533.1	WP_044284771.1
OG0000543	WP_160585706.1	WP_233688685.1
OG0000544	WP_014579703.1	WP_014579703.1
OG0000545	WP_160590087.1	WP_011290175.1
OG0000546	WP_258555624.1	WP_179696083.1
OG0000547	WP_160607858.1	WP_233688510.1
OG0000548	WP_135618730.1	WP_233688724.1
OG0000549	WP_160607963.1	WP_233688553.1
OG0000550	WP_220200614.1	WP_233688566.1
OG0000552	WP_160607779.1	WP_233688534.1
OG0000553	WP_160607814.1	WP_233688491.1
OG0000554	WP_160607886.1	WP_233688452.1
OG0000555	WP_308507032.1	WP_228366107.1
OG0000556	WP_160607692.1	WP_233688679.1, WP_094521569.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160608026.1	WP_014579699.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_160607878.1	WP_011284100.1
OG0000561	WP_160584672.1	WP_011206015.1
OG0000562	WP_160585755.1	WP_146379618.1
OG0000563	WP_160607880.1	WP_011284098.1
OG0000564	WP_252862181.1	WP_233688700.1
OG0000565	WP_160607874.1	WP_160606463.1
OG0000566	WP_225972969.1	WP_233688751.1
OG0000567	WP_258555574.1	WP_233688748.1
OG0000568	WP_160607975.1	WP_160585617.1
OG0000569	WP_160601085.1	WP_160585559.1
OG0000570	WP_308704687.1	WP_233688695.1
OG0000571	WP_014579702.1	WP_044284610.1
