Orthogroup	MHP_MHP691_proteins	MHP_153B_proteins
OG0000316	WP_160590036.1	WP_404911774.1
OG0000317	WP_146379589.1	WP_146379589.1
OG0000318	WP_220200601.1	WP_404924185.1
OG0000319	WP_160607674.1	WP_044272490.1
OG0000320	WP_160607890.1	WP_404923961.1
OG0000321	WP_011205969.1	WP_404924126.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_258555552.1	WP_404924138.1
OG0000324	WP_160607680.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160588270.1	WP_404924096.1
OG0000327	WP_146379506.1	WP_404924095.1
OG0000328	WP_041361583.1	WP_041361583.1
OG0000329	WP_160585607.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_160608090.1	WP_041361688.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160607767.1	WP_044272637.1
OG0000335	WP_160585799.1	WP_404924029.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011290441.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_014580051.1
OG0000339	WP_160607894.1	WP_404923957.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_011290226.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160590335.1	WP_160606838.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_041361706.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_225973015.1	WP_014579636.1
OG0000349	WP_160607746.1	WP_404924045.1
OG0000350	WP_258555623.1	WP_404923995.1
OG0000351	WP_160608052.1	WP_404924081.1
OG0000352	WP_160585020.1	WP_404924181.1
OG0000353	WP_160607804.1	WP_404924130.1
OG0000354	WP_308507053.1	WP_404924102.1
OG0000355	WP_011206194.1	WP_404924179.1
OG0000356	WP_308506994.1	WP_404924184.1
OG0000357	WP_228366113.1	WP_404924018.1
OG0000358	WP_160607785.1	WP_404924019.1
OG0000359	WP_308704683.1	WP_404924097.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011289979.1	WP_011289979.1
OG0000362	WP_011290282.1	WP_094521719.1
OG0000363	WP_308704679.1	WP_233417364.1
OG0000364	WP_160607872.1	WP_404924178.1
OG0000365	WP_160590046.1	WP_404924188.1
OG0000366	WP_146379594.1	WP_011206224.1
OG0000367	WP_220200603.1	WP_225973040.1
OG0000368	WP_011289935.1	WP_011289935.1
OG0000369	WP_011289930.1	WP_011205844.1
OG0000371	WP_146379443.1	WP_044272256.1
OG0000372	WP_160584860.1	WP_160584860.1
OG0000373	WP_160585758.1	WP_404924057.1
OG0000374	WP_160607712.1	WP_404924055.1
OG0000375	WP_011284163.1	WP_011284163.1
OG0000376	WP_146379646.1	WP_404923964.1
OG0000377	WP_160590444.1	WP_404923962.1
OG0000378	WP_011205977.1	WP_020835632.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_404924131.1
OG0000381	WP_160607800.1	WP_404924134.1
OG0000382	WP_160607793.1	WP_404924137.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_014579586.1	WP_041361727.1
OG0000385	WP_044272311.1	WP_044272311.1
OG0000386	WP_011206121.1	WP_011206121.1
OG0000387	WP_160608032.1	WP_404924084.1
OG0000388	WP_160585142.1	WP_179221014.1
OG0000389	WP_160608060.1	WP_011290013.1
OG0000390	WP_160590163.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_020835843.1
OG0000392	WP_160607852.1	WP_404924004.1
OG0000393	WP_160607840.1	WP_404924001.1
OG0000394	WP_160608116.1	WP_011290313.1
OG0000395	WP_160608114.1	WP_404923992.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_160585022.1	WP_011206196.1
OG0000398	WP_020835709.1	WP_404924180.1
OG0000399	WP_160590031.1	WP_404924183.1
OG0000400	WP_044272610.1	WP_243216310.1
OG0000401	WP_135619070.1	WP_404924021.1
OG0000402	WP_160607781.1	WP_020835872.1
OG0000403	WP_220191162.1	WP_404924022.1
OG0000405	WP_160585278.1	WP_404924026.1
OG0000406	WP_160585802.1	WP_404924030.1
OG0000407	WP_160607764.1	WP_011290391.1
OG0000408	WP_160607762.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_160607965.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_404924035.1
OG0000412	WP_160607967.1	WP_146379741.1
OG0000413	WP_160608098.1	WP_146379568.1
OG0000414	WP_011290131.1	WP_404924139.1
OG0000415	WP_020835657.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_160607684.1	WP_160585790.1
OG0000418	WP_258555520.1	WP_404923952.1
OG0000419	WP_020835572.1	WP_404924100.1
OG0000420	WP_160607977.1	WP_146379500.1
OG0000421	WP_011206080.1	WP_011290034.1
OG0000422	WP_146379504.1	WP_146379504.1
OG0000423	WP_020835585.1	WP_404924094.1
OG0000424	WP_011290043.1	WP_011290043.1
OG0000425	WP_011206065.1	WP_404924093.1
OG0000426	WP_011206064.1	WP_404924092.1
OG0000427	WP_160608008.1	WP_135618593.1
OG0000428	WP_160608006.1	WP_011206054.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_160608023.1	WP_050195474.1
OG0000431	WP_146379524.1	WP_146379524.1
OG0000432	WP_160585570.1	WP_404924108.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160607932.1	WP_020835607.1
OG0000435	WP_011290077.1	WP_404924110.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_160584684.1	WP_404924114.1
OG0000438	WP_160607920.1	WP_404924115.1
OG0000439	WP_160607918.1	WP_044272377.1
OG0000440	WP_160608084.1	WP_160588325.1
OG0000441	WP_011284299.1	WP_404924011.1
OG0000442	WP_160607726.1	WP_160607726.1
OG0000443	WP_044272282.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160585544.1	WP_044284571.1
OG0000446	WP_135618497.1	WP_146379467.1
OG0000447	WP_014579553.1	WP_404924071.1
OG0000448	WP_011205897.1	WP_146379469.1
OG0000449	WP_160607900.1	WP_011289981.1
OG0000450	WP_160607904.1	WP_404924074.1
OG0000451	WP_160607910.1	WP_044272294.1
OG0000452	WP_258555618.1	WP_011205921.1
OG0000453	WP_160608048.1	WP_404924079.1
OG0000455	WP_160607751.1	WP_347952324.1
OG0000456	WP_160607740.1	WP_404924042.1
OG0000457	WP_160607736.1	WP_404924201.1
OG0000458	WP_160608038.1	WP_160588321.1
OG0000459	WP_160608042.1	WP_014579890.1
OG0000460	WP_044272549.1	WP_348602552.1
OG0000461	WP_220200620.1	WP_404924197.1
OG0000462	WP_160607834.1	WP_011284228.1
OG0000463	WP_011206310.1	WP_404923977.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_160585762.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160607818.1	WP_404923988.1
OG0000468	WP_160607658.1	WP_160585598.1
OG0000469	WP_014579824.1	WP_404924187.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_135618603.1	WP_044272348.1
OG0000472	WP_160607961.1	WP_404924036.1
OG0000473	WP_044272671.1	WP_020835917.1
OG0000474	WP_160585578.1	WP_041361711.1
OG0000475	WP_160607749.1	WP_404924048.1
OG0000476	WP_011205931.1	WP_404924140.1
OG0000477	WP_160607830.1	WP_135618962.1
OG0000478	WP_146379753.1	WP_011284367.1
OG0000479	WP_160607806.1	WP_404924190.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_308704684.1	WP_044272343.1
OG0000482	WP_160585562.1	WP_404924117.1
OG0000483	WP_160590070.1	WP_347952210.1
OG0000484	WP_225973007.1	WP_135618485.1
OG0000485	WP_160607922.1	WP_020835615.1
OG0000486	WP_160585249.1	WP_160585249.1
OG0000487	WP_220200602.1	WP_404924186.1
OG0000488	WP_011206221.1	WP_020835728.1
OG0000489	WP_160607714.1	WP_011205849.1
OG0000490	WP_146379773.1	WP_146379773.1
OG0000491	WP_160588241.1	WP_404924128.1
OG0000492	WP_160607802.1	WP_404924133.1
OG0000493	WP_160608034.1	WP_404924085.1
OG0000494	WP_052259108.1	WP_404924101.1
OG0000495	WP_160607844.1	WP_011290329.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_146379610.1	WP_347952479.1
OG0000501	WP_220190663.1	WP_220190663.1
OG0000503	WP_016340193.1	WP_404924098.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_404924089.1
OG0000506	WP_160608017.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_044272682.1	WP_020835512.1
OG0000509	WP_220200635.1	WP_020835518.1
OG0000510	WP_011289977.1	WP_404924072.1
OG0000511	WP_011206135.1	WP_011283896.1
OG0000512	WP_160585006.1	WP_160585006.1
OG0000513	WP_146379751.1	WP_179695855.1
OG0000514	WP_160607850.1	WP_404924003.1
OG0000515	WP_014579793.1	WP_404924141.1, WP_404924173.1
OG0000516	WP_160607660.1	WP_160607660.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_160607783.1	WP_404924200.1
OG0000520	WP_135618599.1	WP_404924090.1
OG0000521	WP_011205893.1	WP_020835515.1
OG0000522	WP_135618505.1	WP_404924073.1
OG0000524	WP_160607820.1	WP_404923987.1
OG0000525	WP_160607959.1	WP_404912046.1
OG0000526	WP_225972970.1	WP_404924171.1
OG0000529	WP_160585770.1	WP_014579831.1
OG0000530	WP_160585298.1	WP_011284186.1
OG0000532	WP_160590479.1	WP_404924144.1
OG0000533	WP_011206110.1	WP_011206110.1
OG0000535	WP_011205848.1	WP_404924058.1
OG0000539	WP_160600661.1	WP_404924068.1
OG0000540	WP_160607828.1	WP_404923982.1
OG0000541	WP_160590426.1	WP_404923991.1
OG0000542	WP_160585533.1	WP_011289986.1
OG0000543	WP_160585706.1	WP_160585706.1
OG0000544	WP_014579703.1	WP_014579703.1
OG0000545	WP_160590087.1	WP_404924169.1
OG0000546	WP_258555624.1	WP_404923998.1
OG0000551	WP_160608094.1	WP_011206407.1
OG0000552	WP_160607779.1	WP_404924024.1
OG0000553	WP_160607814.1	WP_404923990.1, WP_404923989.1
OG0000554	WP_160607886.1	WP_404923965.1
OG0000555	WP_308507032.1	WP_308507032.1
OG0000556	WP_160607692.1	WP_404923924.1, WP_094521569.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160608026.1	WP_404924118.1
OG0000559	WP_014579758.1	WP_020835677.1
OG0000560	WP_160607878.1	WP_011284100.1
OG0000561	WP_160584672.1	WP_094521603.1
OG0000562	WP_160585755.1	WP_348572112.1
OG0000563	WP_160607880.1	WP_011290172.1
OG0000564	WP_252862181.1	WP_041361605.1
OG0000565	WP_160607874.1	WP_404924177.1
OG0000566	WP_225972969.1	WP_404924176.1
OG0000567	WP_258555573.1, WP_258555574.1	WP_404924170.1
OG0000568	WP_160607975.1	WP_044272325.1
OG0000569	WP_160601085.1	WP_404924119.1
OG0000570	WP_308704687.1	WP_404924120.1
OG0000571	WP_014579702.1	WP_011205986.1
OG0000572	WP_160608028.1	WP_404924123.1
OG0000573	WP_160590232.1	WP_020835676.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_146379542.1	WP_011290089.1
OG0000576	WP_160607939.1	WP_404924148.1
