#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQSN01000029.1:6878-7669|+   -            264 1679at2085           -            265   2.4e-78  258.5  11.8   1   1   2.8e-80   2.6e-78  258.4  11.8    12   256     1   255     1   263 0.90 NZ_QQSN01000029.1_5 # 6878 # 7669 # 1 # ID=22_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_QQSN01000007.1:31413-32270|- -            286 1679at2085           -            265   2.1e-05   19.4   8.0   1   1   4.7e-05    0.0044   11.8   8.0    19   173    65   212    58   231 0.62 NZ_QQSN01000007.1_35 # 31413 # 32270 # -1 # ID=67_35;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.283
NZ_QQSN01000041.1:1781-2884|+   -            368 1679at2085           -            265   3.2e-05   18.8   0.1   1   2   3.4e-07   3.2e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_QQSN01000041.1_4 # 1781 # 2884 # 1 # ID=35_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NZ_QQSN01000041.1:1781-2884|+   -            368 1679at2085           -            265   3.2e-05   18.8   0.1   2   2       1.9   1.8e+02   -3.4   0.1   100   103   148   151   119   177 0.52 NZ_QQSN01000041.1_4 # 1781 # 2884 # 1 # ID=35_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP650/Use
# Date:            Thu Nov 28 19:37:13 2024
# [ok]
