Orthogroup	MHP_4284_genes	MHP_NCTC10127_genes
OG0000039	ABLE99_RS01565	EXC50_RS00560
OG0000040	ABLE99_RS03165	EXC50_RS02120
OG0000042	ABLE99_RS02830	EXC50_RS01780
OG0000043	ABLE99_RS01830	EXC50_RS00860
OG0000044	ABLE99_RS01625	EXC50_RS04255
OG0000044	ABLE99_RS01720	EXC50_RS00745
OG0000045	ABLE99_RS01575	EXC50_RS00570
OG0000048	ABLE99_RS02015	EXC50_RS01040
OG0000049	ABLE99_RS02940	EXC50_RS01890
OG0000050	ABLE99_RS02350	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	ABLE99_RS02550	EXC50_RS01500
OG0000052	ABLE99_RS00075	EXC50_RS00075
OG0000053	ABLE99_RS01415	EXC50_RS02640
OG0000054	ABLE99_RS02375	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250
OG0000055	ABLE99_RS00135	EXC50_RS00135
OG0000056	ABLE99_RS03395	EXC50_RS02375
OG0000057	ABLE99_RS02815	EXC50_RS01765
OG0000060	ABLE99_RS01160	EXC50_RS04110
OG0000061	ABLE99_RS01780	EXC50_RS00525
OG0000062	ABLE99_RS03445	EXC50_RS02425
OG0000063	ABLE99_RS03440	EXC50_RS02420
OG0000064	ABLE99_RS03430	EXC50_RS02410
OG0000065	ABLE99_RS02085	EXC50_RS01100
OG0000066	ABLE99_RS01320	EXC50_RS02735
OG0000067	ABLE99_RS00520	EXC50_RS03560
OG0000068	ABLE99_RS01015	EXC50_RS03440
OG0000069	ABLE99_RS02710	EXC50_RS01655
OG0000070	ABLE99_RS02380	EXC50_RS03840, EXC50_RS01325
OG0000071	ABLE99_RS03155	EXC50_RS02110
OG0000072	ABLE99_RS03160	EXC50_RS02115
OG0000073	ABLE99_RS00970	EXC50_RS03380
OG0000074	ABLE99_RS00775	EXC50_RS03185
OG0000075	ABLE99_RS00340	EXC50_RS00355
OG0000076	ABLE99_RS00355	EXC50_RS00370
OG0000077	ABLE99_RS00440	EXC50_RS03640
OG0000078	ABLE99_RS01630	EXC50_RS00635
OG0000079	ABLE99_RS02455	EXC50_RS01405
OG0000080	ABLE99_RS02500	EXC50_RS03930
OG0000081	ABLE99_RS00335	EXC50_RS00350
OG0000082	ABLE99_RS02300	EXC50_RS01250
OG0000083	ABLE99_RS01935	EXC50_RS00965
OG0000084	ABLE99_RS01965	EXC50_RS00990
OG0000085	ABLE99_RS01970	EXC50_RS00995
OG0000086	ABLE99_RS01980	EXC50_RS01005
OG0000087	ABLE99_RS01995	EXC50_RS01020
OG0000088	ABLE99_RS02000	EXC50_RS01025
OG0000089	ABLE99_RS02010	EXC50_RS01035
OG0000090	ABLE99_RS00070	EXC50_RS00070
OG0000091	ABLE99_RS00055	EXC50_RS00055
OG0000092	ABLE99_RS00040	EXC50_RS00040
OG0000093	ABLE99_RS00035	EXC50_RS00035
OG0000094	ABLE99_RS00030	EXC50_RS00030
OG0000095	ABLE99_RS00005	EXC50_RS00005
OG0000096	ABLE99_RS03480	EXC50_RS02460
OG0000097	ABLE99_RS03460	EXC50_RS02440
OG0000098	ABLE99_RS03450	EXC50_RS02430
OG0000099	ABLE99_RS03400	EXC50_RS02380
OG0000100	ABLE99_RS03385	EXC50_RS02365
OG0000101	ABLE99_RS03380	EXC50_RS02360
OG0000102	ABLE99_RS01655	EXC50_RS00660
OG0000103	ABLE99_RS02050	EXC50_RS01065
OG0000104	ABLE99_RS02055	EXC50_RS01070
OG0000105	ABLE99_RS02070	EXC50_RS01085
OG0000106	ABLE99_RS02080	EXC50_RS01095
OG0000107	ABLE99_RS02090	EXC50_RS01105
OG0000108	ABLE99_RS02095	EXC50_RS01110
OG0000109	ABLE99_RS02100	EXC50_RS01115
OG0000110	ABLE99_RS02290	EXC50_RS01240
OG0000111	ABLE99_RS02285	EXC50_RS01235
OG0000112	ABLE99_RS02275	EXC50_RS01225
OG0000113	ABLE99_RS02255	EXC50_RS01205
OG0000114	ABLE99_RS02245	EXC50_RS01195
OG0000115	ABLE99_RS02235	EXC50_RS01180
OG0000116	ABLE99_RS01265	EXC50_RS02790
OG0000117	ABLE99_RS01270	EXC50_RS02785
OG0000118	ABLE99_RS01305	EXC50_RS02750
OG0000119	ABLE99_RS01310	EXC50_RS02745
OG0000120	ABLE99_RS01325	EXC50_RS02730
OG0000121	ABLE99_RS01350	EXC50_RS02705
OG0000122	ABLE99_RS01355	EXC50_RS02700
OG0000123	ABLE99_RS01375	EXC50_RS02680
OG0000124	ABLE99_RS01380	EXC50_RS02675
OG0000125	ABLE99_RS01385	EXC50_RS02670
OG0000126	ABLE99_RS01395	EXC50_RS02660
OG0000127	ABLE99_RS01405	EXC50_RS02650
OG0000128	ABLE99_RS01420	EXC50_RS02635
OG0000129	ABLE99_RS01425	EXC50_RS02630
OG0000130	ABLE99_RS01435	EXC50_RS02620
OG0000131	ABLE99_RS01465	EXC50_RS02590
OG0000132	ABLE99_RS01480	EXC50_RS02575
OG0000133	ABLE99_RS00525	EXC50_RS03555
OG0000134	ABLE99_RS00530	EXC50_RS03550
OG0000135	ABLE99_RS00545	EXC50_RS03535
OG0000136	ABLE99_RS00550	EXC50_RS03530
OG0000137	ABLE99_RS00580	EXC50_RS03500
OG0000138	ABLE99_RS01040	EXC50_RS03465
OG0000139	ABLE99_RS01010	EXC50_RS03435
OG0000140	ABLE99_RS01005	EXC50_RS03430
OG0000141	ABLE99_RS02825	EXC50_RS01775
OG0000142	ABLE99_RS02820	EXC50_RS01770
OG0000143	ABLE99_RS02800	EXC50_RS01745
OG0000144	ABLE99_RS02790	EXC50_RS01735
OG0000145	ABLE99_RS02780	EXC50_RS01725
OG0000146	ABLE99_RS02770	EXC50_RS01715
OG0000147	ABLE99_RS02765	EXC50_RS01710
OG0000148	ABLE99_RS02750	EXC50_RS01695
OG0000149	ABLE99_RS02740	EXC50_RS01685
OG0000150	ABLE99_RS02725	EXC50_RS01670
OG0000151	ABLE99_RS02675	EXC50_RS01625
OG0000152	ABLE99_RS02670	EXC50_RS01620
OG0000153	ABLE99_RS02665	EXC50_RS01615
OG0000154	ABLE99_RS02655	EXC50_RS01605
OG0000155	ABLE99_RS02615	EXC50_RS01565
OG0000156	ABLE99_RS02610	EXC50_RS01555
OG0000157	ABLE99_RS02600	EXC50_RS01550
OG0000158	ABLE99_RS02590	EXC50_RS04235
OG0000159	ABLE99_RS02365	EXC50_RS03825
OG0000160	ABLE99_RS02360	EXC50_RS03820
OG0000161	ABLE99_RS02355	EXC50_RS03815
OG0000162	ABLE99_RS02345	EXC50_RS01290
OG0000163	ABLE99_RS02340	EXC50_RS01285
OG0000164	ABLE99_RS01560	EXC50_RS00550
OG0000165	ABLE99_RS01855	EXC50_RS00885
OG0000166	ABLE99_RS01875	EXC50_RS00905
OG0000167	ABLE99_RS01890	EXC50_RS00920
OG0000168	ABLE99_RS01895	EXC50_RS00925
OG0000169	ABLE99_RS02935	EXC50_RS01885
OG0000170	ABLE99_RS02950	EXC50_RS01900
OG0000171	ABLE99_RS02960	EXC50_RS01910
OG0000172	ABLE99_RS02965	EXC50_RS01915
OG0000173	ABLE99_RS02970	EXC50_RS01920
OG0000174	ABLE99_RS02975	EXC50_RS01925
OG0000175	ABLE99_RS02990	EXC50_RS01940
OG0000176	ABLE99_RS03040	EXC50_RS01990
OG0000177	ABLE99_RS03045	EXC50_RS01995
OG0000178	ABLE99_RS03050	EXC50_RS02000
OG0000179	ABLE99_RS03060	EXC50_RS02010
OG0000180	ABLE99_RS03065	EXC50_RS02015
OG0000181	ABLE99_RS03105	EXC50_RS02060
OG0000182	ABLE99_RS03115	EXC50_RS02070
OG0000183	ABLE99_RS03150	EXC50_RS02105
OG0000184	ABLE99_RS03175	EXC50_RS02150
OG0000185	ABLE99_RS03190	EXC50_RS02135
OG0000186	ABLE99_RS01490	EXC50_RS02565
OG0000187	ABLE99_RS01505	EXC50_RS02550
OG0000188	ABLE99_RS01515	EXC50_RS02540
OG0000189	ABLE99_RS02135	EXC50_RS01150
OG0000190	ABLE99_RS02130	EXC50_RS01145
OG0000191	ABLE99_RS02110	EXC50_RS01125
OG0000192	ABLE99_RS01185	EXC50_RS02870
OG0000193	ABLE99_RS01170	EXC50_RS02880
OG0000194	ABLE99_RS00985	EXC50_RS03395
OG0000195	ABLE99_RS00980	EXC50_RS03390
OG0000196	ABLE99_RS00960	EXC50_RS03370
OG0000197	ABLE99_RS00955	EXC50_RS03365
OG0000198	ABLE99_RS00940	EXC50_RS03350
OG0000199	ABLE99_RS00935	EXC50_RS03345
OG0000200	ABLE99_RS00920	EXC50_RS03330
OG0000201	ABLE99_RS00910	EXC50_RS03320
OG0000202	ABLE99_RS00855	EXC50_RS03265
OG0000203	ABLE99_RS00850	EXC50_RS03260
OG0000204	ABLE99_RS00845	EXC50_RS03255
OG0000205	ABLE99_RS00840	EXC50_RS03250
OG0000206	ABLE99_RS00820	EXC50_RS03230
OG0000207	ABLE99_RS00805	EXC50_RS03215
OG0000208	ABLE99_RS00800	EXC50_RS03210
OG0000209	ABLE99_RS00795	EXC50_RS03205
OG0000210	ABLE99_RS00750	EXC50_RS03160
OG0000211	ABLE99_RS00740	EXC50_RS03150
OG0000212	ABLE99_RS00730	EXC50_RS03140
OG0000213	ABLE99_RS00725	EXC50_RS03135
OG0000214	ABLE99_RS00720	EXC50_RS03130
OG0000215	ABLE99_RS00715	EXC50_RS03125
OG0000216	ABLE99_RS00710	EXC50_RS03120
OG0000217	ABLE99_RS00705	EXC50_RS03115
OG0000218	ABLE99_RS00695	EXC50_RS03105
OG0000219	ABLE99_RS00690	EXC50_RS03100
OG0000220	ABLE99_RS00685	EXC50_RS03095
OG0000221	ABLE99_RS00680	EXC50_RS03090
OG0000222	ABLE99_RS00675	EXC50_RS03085
OG0000223	ABLE99_RS00670	EXC50_RS03080
OG0000224	ABLE99_RS00660	EXC50_RS03070
OG0000225	ABLE99_RS00650	EXC50_RS03060
OG0000226	ABLE99_RS00645	EXC50_RS03055
OG0000227	ABLE99_RS00640	EXC50_RS03050
OG0000228	ABLE99_RS00635	EXC50_RS03045
OG0000229	ABLE99_RS00630	EXC50_RS03040
OG0000230	ABLE99_RS00625	EXC50_RS03035
OG0000231	ABLE99_RS00615	EXC50_RS03025
OG0000232	ABLE99_RS00605	EXC50_RS03015
OG0000233	ABLE99_RS01065	EXC50_RS02995
OG0000234	ABLE99_RS01100	EXC50_RS02960
OG0000235	ABLE99_RS01110	EXC50_RS02950
OG0000236	ABLE99_RS01115	EXC50_RS02945
OG0000237	ABLE99_RS01120	EXC50_RS02940
OG0000238	ABLE99_RS01125	EXC50_RS02930
OG0000239	ABLE99_RS02835	EXC50_RS01785
OG0000240	ABLE99_RS02840	EXC50_RS01790
OG0000241	ABLE99_RS02850	EXC50_RS01800
OG0000242	ABLE99_RS02855	EXC50_RS01805
OG0000243	ABLE99_RS02860	EXC50_RS01810
OG0000244	ABLE99_RS02870	EXC50_RS01820
OG0000245	ABLE99_RS02880	EXC50_RS01830
OG0000246	ABLE99_RS00140	EXC50_RS00140
OG0000247	ABLE99_RS00150	EXC50_RS00150
OG0000248	ABLE99_RS00160	EXC50_RS00160
OG0000249	ABLE99_RS00165	EXC50_RS00165
OG0000250	ABLE99_RS00185	EXC50_RS00180
OG0000251	ABLE99_RS00210	EXC50_RS00215
OG0000252	ABLE99_RS00220	EXC50_RS00225
OG0000253	ABLE99_RS00225	EXC50_RS00230
OG0000254	ABLE99_RS00235	EXC50_RS00240
OG0000255	ABLE99_RS00240	EXC50_RS00250
OG0000256	ABLE99_RS00245	EXC50_RS00255
OG0000257	ABLE99_RS00270	EXC50_RS00280
OG0000258	ABLE99_RS00280	EXC50_RS00290
OG0000259	ABLE99_RS00310	EXC50_RS00320
OG0000260	ABLE99_RS00320	EXC50_RS00330
OG0000261	ABLE99_RS00330	EXC50_RS00340
OG0000262	ABLE99_RS00345	EXC50_RS00360
OG0000263	ABLE99_RS00360	EXC50_RS00375
OG0000264	ABLE99_RS00375	EXC50_RS00390
OG0000265	ABLE99_RS00385	EXC50_RS00400
OG0000266	ABLE99_RS00400	EXC50_RS00420
OG0000267	ABLE99_RS00415	EXC50_RS00435
OG0000268	ABLE99_RS00420	EXC50_RS03665
OG0000269	ABLE99_RS00435	EXC50_RS03650
OG0000270	ABLE99_RS03355	EXC50_RS02335
OG0000271	ABLE99_RS03350	EXC50_RS02330
OG0000272	ABLE99_RS03345	EXC50_RS02325
OG0000273	ABLE99_RS03340	EXC50_RS02320
OG0000274	ABLE99_RS03320	EXC50_RS02300
OG0000275	ABLE99_RS03315	EXC50_RS02295
OG0000276	ABLE99_RS03310	EXC50_RS02290
OG0000277	ABLE99_RS03300	EXC50_RS02280
OG0000278	ABLE99_RS03295	EXC50_RS02275
OG0000279	ABLE99_RS03285	EXC50_RS02265
OG0000280	ABLE99_RS03280	EXC50_RS02260
OG0000281	ABLE99_RS03275	EXC50_RS02255
OG0000282	ABLE99_RS03250	EXC50_RS02230
OG0000283	ABLE99_RS03245	EXC50_RS02225
OG0000284	ABLE99_RS03240	EXC50_RS02220
OG0000285	ABLE99_RS03235	EXC50_RS02215
OG0000286	ABLE99_RS02325	EXC50_RS01270
OG0000287	ABLE99_RS02415	EXC50_RS01365
OG0000288	ABLE99_RS02425	EXC50_RS01375
OG0000289	ABLE99_RS02430	EXC50_RS01380
OG0000290	ABLE99_RS02540	EXC50_RS01490
OG0000291	ABLE99_RS02530	EXC50_RS01480
OG0000292	ABLE99_RS02525	EXC50_RS01475
OG0000293	ABLE99_RS02520	EXC50_RS01470
OG0000294	ABLE99_RS02510	EXC50_RS01460
OG0000295	ABLE99_RS02505	EXC50_RS01455
OG0000296	ABLE99_RS02465	EXC50_RS01415
OG0000297	ABLE99_RS02460	EXC50_RS01410
OG0000298	ABLE99_RS00175	EXC50_RS00175
OG0000299	ABLE99_RS00195	EXC50_RS00200
OG0000300	ABLE99_RS00370	EXC50_RS00385
OG0000301	ABLE99_RS00405	EXC50_RS00425
OG0000302	ABLE99_RS00410	EXC50_RS00430
OG0000303	ABLE99_RS00555	EXC50_RS03525
OG0000304	ABLE99_RS00600	EXC50_RS03010
OG0000305	ABLE99_RS02775	EXC50_RS01720
OG0000306	ABLE99_RS02700	EXC50_RS01645
OG0000307	ABLE99_RS02660	EXC50_RS01610
OG0000308	ABLE99_RS02560	EXC50_RS01510
OG0000309	ABLE99_RS02495	EXC50_RS01445
OG0000310	ABLE99_RS02420	EXC50_RS01370
OG0000311	ABLE99_RS02385	EXC50_RS01330
OG0000312	ABLE99_RS02370	EXC50_RS01315
OG0000313	ABLE99_RS01550	EXC50_RS00540
OG0000314	ABLE99_RS01870	EXC50_RS00900
OG0000315	ABLE99_RS01900	EXC50_RS00930
OG0000316	ABLE99_RS01910	EXC50_RS00940
OG0000317	ABLE99_RS02005	EXC50_RS01030
OG0000318	ABLE99_RS01915	EXC50_RS00945
OG0000319	ABLE99_RS02065	EXC50_RS01080
OG0000320	ABLE99_RS02265	EXC50_RS01215
OG0000321	ABLE99_RS01300	EXC50_RS02755
OG0000322	ABLE99_RS01345	EXC50_RS02710
OG0000323	ABLE99_RS01475	EXC50_RS02580
OG0000324	ABLE99_RS02105	EXC50_RS01120
OG0000325	ABLE99_RS00975	EXC50_RS03385
OG0000326	ABLE99_RS00880	EXC50_RS03290
OG0000327	ABLE99_RS00875	EXC50_RS03285
OG0000328	ABLE99_RS00790	EXC50_RS03200
OG0000329	ABLE99_RS00770	EXC50_RS03180
OG0000330	ABLE99_RS01075	EXC50_RS02985
OG0000331	ABLE99_RS02865	EXC50_RS01815
OG0000332	ABLE99_RS03000	EXC50_RS01950
OG0000333	ABLE99_RS03010	EXC50_RS01960
OG0000334	ABLE99_RS03110	EXC50_RS02065
OG0000335	ABLE99_RS03120	EXC50_RS02075
OG0000336	ABLE99_RS03265	EXC50_RS02245
OG0000337	ABLE99_RS03435	EXC50_RS02415
OG0000338	ABLE99_RS03475	EXC50_RS02455
OG0000339	ABLE99_RS02240	EXC50_RS01185
OG0000340	ABLE99_RS01280	EXC50_RS02775
OG0000341	ABLE99_RS02125	EXC50_RS01140
OG0000342	ABLE99_RS00945	EXC50_RS03355
OG0000343	ABLE99_RS03020	EXC50_RS01970
OG0000344	ABLE99_RS00570	EXC50_RS03510
OG0000345	ABLE99_RS00655	EXC50_RS03065
OG0000346	ABLE99_RS03270	EXC50_RS02250
OG0000347	ABLE99_RS01370	EXC50_RS02685
OG0000348	ABLE99_RS00870	EXC50_RS03280
OG0000349	ABLE99_RS03330	EXC50_RS02310
OG0000350	ABLE99_RS02650	EXC50_RS01600
OG0000351	ABLE99_RS00490	EXC50_RS03590
OG0000352	ABLE99_RS01850	EXC50_RS00880
OG0000353	ABLE99_RS01340	EXC50_RS02715
OG0000354	ABLE99_RS01025	EXC50_RS03450
OG0000355	ABLE99_RS01825	EXC50_RS00850
OG0000356	ABLE99_RS01905	EXC50_RS00935
OG0000357	ABLE99_RS02980	EXC50_RS01930
OG0000358	ABLE99_RS02985	EXC50_RS01935
OG0000359	ABLE99_RS00900	EXC50_RS03310
OG0000360	ABLE99_RS00275	EXC50_RS00285
OG0000361	ABLE99_RS00305	EXC50_RS00315
OG0000362	ABLE99_RS02440	EXC50_RS01390
OG0000363	ABLE99_RS01410	EXC50_RS02645
OG0000364	ABLE99_RS01800	EXC50_RS03915, EXC50_RS03920
OG0000365	ABLE99_RS01950	EXC50_RS00975
OG0000366	ABLE99_RS01975	EXC50_RS01000
OG0000367	ABLE99_RS01985	EXC50_RS01010
OG0000368	ABLE99_RS00060	EXC50_RS00060
OG0000369	ABLE99_RS00025	EXC50_RS00025
OG0000370	ABLE99_RS00020	EXC50_RS00020
OG0000371	ABLE99_RS00015	EXC50_RS00015
OG0000372	ABLE99_RS00010	EXC50_RS00010
OG0000373	ABLE99_RS03465	EXC50_RS02445
OG0000374	ABLE99_RS03455	EXC50_RS02435
OG0000375	ABLE99_RS02060	EXC50_RS01075
OG0000376	ABLE99_RS02280	EXC50_RS01230
OG0000377	ABLE99_RS02270	EXC50_RS01220
OG0000378	ABLE99_RS01260	EXC50_RS02795
OG0000379	ABLE99_RS01335	EXC50_RS02720
OG0000380	ABLE99_RS01360	EXC50_RS02695
OG0000381	ABLE99_RS01400	EXC50_RS02655
OG0000382	ABLE99_RS01430	EXC50_RS02625
OG0000383	ABLE99_RS01470	EXC50_RS02585
OG0000384	ABLE99_RS00510	EXC50_RS03570
OG0000385	ABLE99_RS00515	EXC50_RS03565
OG0000386	ABLE99_RS00535	EXC50_RS03545
OG0000387	ABLE99_RS00560	EXC50_RS03520
OG0000388	ABLE99_RS00565	EXC50_RS03515
OG0000389	ABLE99_RS01050	EXC50_RS03470
OG0000390	ABLE99_RS02795	EXC50_RS01740
OG0000391	ABLE99_RS02785	EXC50_RS01730
OG0000392	ABLE99_RS02760	EXC50_RS01705
OG0000393	ABLE99_RS02705	EXC50_RS01650
OG0000394	ABLE99_RS02625	EXC50_RS01575
OG0000395	ABLE99_RS02620	EXC50_RS01570
OG0000396	ABLE99_RS02330	EXC50_RS01275
OG0000397	ABLE99_RS01835	EXC50_RS00865
OG0000398	ABLE99_RS01840	EXC50_RS00870
OG0000399	ABLE99_RS01885	EXC50_RS00915
OG0000400	ABLE99_RS02945	EXC50_RS01895
OG0000401	ABLE99_RS03005	EXC50_RS01955
OG0000402	ABLE99_RS03015	EXC50_RS01965
OG0000403	ABLE99_RS03025	EXC50_RS01975
OG0000404	ABLE99_RS03055	EXC50_RS02005
OG0000405	ABLE99_RS03075	EXC50_RS02020
OG0000406	ABLE99_RS03125	EXC50_RS02080
OG0000407	ABLE99_RS03130	EXC50_RS02085
OG0000408	ABLE99_RS03135	EXC50_RS02090
OG0000409	ABLE99_RS03140	EXC50_RS02095
OG0000410	ABLE99_RS03170	EXC50_RS02155
OG0000411	ABLE99_RS03180	EXC50_RS02145
OG0000412	ABLE99_RS03185	EXC50_RS02140
OG0000413	ABLE99_RS01485	EXC50_RS02570
OG0000414	ABLE99_RS01495	EXC50_RS02560
OG0000415	ABLE99_RS01500	EXC50_RS02555
OG0000416	ABLE99_RS01510	EXC50_RS02545
OG0000417	ABLE99_RS02120	EXC50_RS01135
OG0000418	ABLE99_RS02115	EXC50_RS01130
OG0000419	ABLE99_RS00965	EXC50_RS03375
OG0000420	ABLE99_RS00930	EXC50_RS03340
OG0000421	ABLE99_RS00895	EXC50_RS03305
OG0000422	ABLE99_RS00885	EXC50_RS03295
OG0000423	ABLE99_RS00830	EXC50_RS03240
OG0000424	ABLE99_RS00825	EXC50_RS03235
OG0000425	ABLE99_RS00815	EXC50_RS03225
OG0000426	ABLE99_RS00810	EXC50_RS03220
OG0000427	ABLE99_RS00785	EXC50_RS03195
OG0000428	ABLE99_RS00760	EXC50_RS03170
OG0000429	ABLE99_RS00665	EXC50_RS03075
OG0000430	ABLE99_RS00620	EXC50_RS03030
OG0000431	ABLE99_RS00610	EXC50_RS03020
OG0000432	ABLE99_RS01070	EXC50_RS02990
OG0000433	ABLE99_RS01085	EXC50_RS02975
OG0000434	ABLE99_RS01090	EXC50_RS02970
OG0000435	ABLE99_RS01105	EXC50_RS02955
OG0000436	ABLE99_RS01130	EXC50_RS02925
OG0000437	ABLE99_RS01140	EXC50_RS02915
OG0000438	ABLE99_RS01145	EXC50_RS02910
OG0000439	ABLE99_RS01150	EXC50_RS02905
OG0000440	ABLE99_RS02845	EXC50_RS01795
OG0000442	ABLE99_RS00145	EXC50_RS00145
OG0000443	ABLE99_RS00190	EXC50_RS00195
OG0000444	ABLE99_RS00205	EXC50_RS00210
OG0000445	ABLE99_RS00230	EXC50_RS00235
OG0000446	ABLE99_RS00255	EXC50_RS00265
OG0000447	ABLE99_RS00260	EXC50_RS00270
OG0000448	ABLE99_RS00290	EXC50_RS00300
OG0000449	ABLE99_RS00315	EXC50_RS00325
OG0000450	ABLE99_RS00325	EXC50_RS00335
OG0000451	ABLE99_RS00365	EXC50_RS00380
OG0000452	ABLE99_RS00390	EXC50_RS00410
OG0000453	ABLE99_RS00425	EXC50_RS03660
OG0000454	ABLE99_RS01530	EXC50_RS03725, EXC50_RS03855, EXC50_RS03675
OG0000455	ABLE99_RS03375	EXC50_RS02355
OG0000456	ABLE99_RS03255	EXC50_RS02235
OG0000457	ABLE99_RS03230	EXC50_RS02210
OG0000458	ABLE99_RS02410	EXC50_RS01360
OG0000459	ABLE99_RS02435	EXC50_RS01385
OG0000460	ABLE99_RS02445	EXC50_RS01395
OG0000461	ABLE99_RS02490	EXC50_RS01440
OG0000462	ABLE99_RS02485	EXC50_RS01435
OG0000463	ABLE99_RS02480	EXC50_RS01430
OG0000464	ABLE99_RS02475	EXC50_RS01425
OG0000465	ABLE99_RS02470	EXC50_RS01420
OG0000466	ABLE99_RS00395	EXC50_RS00415
OG0000467	ABLE99_RS02570	EXC50_RS01520
OG0000468	ABLE99_RS01880	EXC50_RS00910
OG0000469	ABLE99_RS01940	EXC50_RS00970
OG0000470	ABLE99_RS00835	EXC50_RS03950
OG0000471	ABLE99_RS00755	EXC50_RS03165
OG0000472	ABLE99_RS03205	EXC50_RS02165
OG0000473	ABLE99_RS03360	EXC50_RS02340
OG0000474	ABLE99_RS03365	EXC50_RS02345
OG0000475	ABLE99_RS03370	EXC50_RS02350
OG0000476	ABLE99_RS01520	EXC50_RS02535
OG0000477	ABLE99_RS02515	EXC50_RS01465
OG0000478	ABLE99_RS03305	EXC50_RS02285
OG0000479	ABLE99_RS01295	EXC50_RS02760
OG0000480	ABLE99_RS01945	EXC50_RS03895
OG0000481	ABLE99_RS00860	EXC50_RS03270
OG0000482	ABLE99_RS01175	EXC50_RS02875
OG0000483	ABLE99_RS01990	EXC50_RS01015
OG0000484	ABLE99_RS00200	EXC50_RS00205
OG0000485	ABLE99_RS01135	EXC50_RS02920
OG0000486	ABLE99_RS02140	EXC50_RS01155
OG0000487	ABLE99_RS01920	EXC50_RS00950
OG0000488	ABLE99_RS01960	EXC50_RS00985
OG0000489	ABLE99_RS00050	EXC50_RS00050
OG0000490	ABLE99_RS03470	EXC50_RS02450
OG0000491	ABLE99_RS01315	EXC50_RS02740
OG0000492	ABLE99_RS01390	EXC50_RS02665
OG0000493	ABLE99_RS00575	EXC50_RS03505
OG0000494	ABLE99_RS01020	EXC50_RS03445
OG0000495	ABLE99_RS02730	EXC50_RS01675
OG0000496	ABLE99_RS02720	EXC50_RS01665
