Orthogroup	MHP_MHP650_proteins	MFC_Ms42_proteins
OG0000134	WP_308704761.1	WP_002557575.1
OG0000135	WP_011206120.1	WP_002557577.1
OG0000136	WP_135618546.1	WP_002557578.1
OG0000137	WP_011206113.1	WP_002557585.1
OG0000138	WP_160584793.1	WP_002557590.1
OG0000139	WP_011206102.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_160600792.1	WP_002557602.1
OG0000142	WP_160600791.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_002557607.1
OG0000144	WP_160600787.1	WP_002557609.1
OG0000145	WP_228365394.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_160600783.1	WP_002557614.1
OG0000148	WP_160600779.1	WP_002557618.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_160600775.1	WP_002557623.1
OG0000151	WP_160600765.1	WP_002557634.1
OG0000152	WP_160600763.1	WP_002557635.1
OG0000153	WP_160600761.1	WP_002557636.1
OG0000154	WP_011206345.1	WP_002557638.1
OG0000155	WP_011206337.1	WP_002557642.1
OG0000156	WP_160601028.1	WP_002557647.1
OG0000157	WP_160601030.1	WP_002557648.1
OG0000158	WP_160601032.1	WP_002557650.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_011284209.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_002557669.1
OG0000162	WP_135619210.1	WP_002557671.1
OG0000163	WP_160600721.1	WP_002557672.1
OG0000164	WP_160601269.1	WP_002557677.1
OG0000165	WP_160600902.1	WP_002557684.1
OG0000166	WP_160600910.1	WP_002557689.1
OG0000167	WP_011206207.1	WP_002557692.1
OG0000168	WP_160587908.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_011206420.1	WP_002557704.1
OG0000171	WP_050195447.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_160600927.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_002557709.1
OG0000175	WP_160588054.1	WP_002557712.1
OG0000176	WP_160600939.1	WP_002557719.1
OG0000177	WP_014579977.1	WP_039387687.1
OG0000178	WP_020835878.1	WP_002557721.1
OG0000179	WP_160600943.1	WP_002557724.1
OG0000180	WP_160600945.1	WP_002557725.1
OG0000181	WP_160601136.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_135619119.1	WP_002557740.1
OG0000185	WP_020835897.1	WP_002557743.1
OG0000186	WP_160601247.1	WP_002557750.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_160601241.1	WP_002557755.1
OG0000189	WP_160601185.1	WP_039387623.1
OG0000190	WP_011206256.1	WP_002557757.1
OG0000191	WP_135619204.1	WP_002557761.1
OG0000192	WP_011284001.1	WP_002557763.1
OG0000193	WP_011283999.1	WP_002557766.1
OG0000194	WP_094521582.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_228729168.1	WP_002557774.1
OG0000197	WP_041361572.1	WP_002557775.1
OG0000198	WP_011283930.1	WP_002557778.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_160600870.1	WP_002557781.1
OG0000201	WP_160600874.1	WP_002557783.1
OG0000202	WP_308704756.1	WP_002557791.1
OG0000203	WP_011206072.1	WP_002557792.1
OG0000204	WP_014579633.1	WP_002557793.1
OG0000205	WP_014579632.1	WP_002557794.1
OG0000206	WP_160600886.1	WP_002557798.1
OG0000207	WP_011283951.1	WP_002557801.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_044284597.1	WP_002557811.1
OG0000211	WP_011206050.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_160601104.1	WP_002557817.1
OG0000215	WP_011206046.1	WP_002557818.1
OG0000216	WP_014579616.1	WP_002557819.1
OG0000217	WP_011206044.1	WP_002557820.1
OG0000218	WP_011206042.1	WP_002557822.1
OG0000219	WP_220200886.1	WP_002557823.1
OG0000220	WP_011206040.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_041361589.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_160601098.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011206031.1	WP_002557833.1
OG0000228	WP_094521599.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_014579605.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_011290071.1	WP_002557842.1
OG0000234	WP_044284822.1	WP_002557848.1
OG0000235	WP_020835611.1	WP_002557850.1
OG0000236	WP_160600997.1	WP_002557851.1
OG0000237	WP_160600995.1	WP_002557855.1
OG0000238	WP_160600993.1	WP_002557856.1
OG0000239	WP_160600796.1	WP_002557863.1
OG0000240	WP_011206400.1	WP_002557864.1
OG0000241	WP_011206402.1	WP_002557866.1
OG0000242	WP_160600798.1	WP_002557867.1
OG0000243	WP_011206404.1	WP_002557868.1
OG0000244	WP_160600800.1	WP_002557870.1
OG0000245	WP_011206408.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_160600649.1	WP_002557877.1
OG0000248	WP_160600703.1	WP_002557882.1
OG0000249	WP_160600651.1	WP_002557883.1
OG0000250	WP_011205875.1	WP_002557886.1
OG0000251	WP_318023737.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_002557893.1
OG0000253	WP_011289964.1	WP_002557894.1
OG0000254	WP_160600665.1	WP_002557896.1
OG0000255	WP_160600667.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011283871.1	WP_002557905.1
OG0000259	WP_220200824.1	WP_002557911.1
OG0000260	WP_011283879.1	WP_002557913.1
OG0000261	WP_160600687.1	WP_002557915.1
OG0000262	WP_014579569.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_011205916.1	WP_002557925.1
OG0000265	WP_160600699.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_014579577.1	WP_002557932.1
OG0000268	WP_011283894.1	WP_002557933.1
OG0000269	WP_011206134.1	WP_002557936.1
OG0000270	WP_160600753.1	WP_002557945.1
OG0000271	WP_160600751.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_011206502.1	WP_002557948.1
OG0000274	WP_160600745.1	WP_002557951.1
OG0000275	WP_308704753.1	WP_039387710.1
OG0000276	WP_160600741.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_002557956.1
OG0000278	WP_160600739.1	WP_002557957.1
OG0000279	WP_014580014.1	WP_002557959.1
OG0000280	WP_135619140.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_160600735.1	WP_002557964.1
OG0000283	WP_160584907.1	WP_002557965.1
OG0000284	WP_014580008.1	WP_002557966.1
OG0000285	WP_160600733.1	WP_002557967.1
OG0000286	WP_146379652.1	WP_002557972.1
OG0000287	WP_011206297.1	WP_002557978.1
OG0000288	WP_160600959.1	WP_002557980.1
OG0000289	WP_020835793.1	WP_002557981.1
OG0000290	WP_135618967.1	WP_002558003.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_011206319.1	WP_002558006.1
OG0000293	WP_094521723.1	WP_002558007.1
OG0000294	WP_160600980.1	WP_002558009.1
OG0000295	WP_011206315.1	WP_002558010.1
OG0000296	WP_160600968.1	WP_002558018.1
OG0000297	WP_011284225.1	WP_002558019.1
OG0000298	WP_160600655.1	WP_039387485.1
OG0000299	WP_011205878.1	WP_039387487.1
OG0000300	WP_014579572.1	WP_039387496.1
OG0000301	WP_011283891.1	WP_039387501.1
OG0000302	WP_014579576.1	WP_039387504.1
OG0000303	WP_011206118.1	WP_039387509.1
OG0000304	WP_011283978.1	WP_039387510.1
OG0000305	WP_160600785.1	WP_039387514.1
OG0000306	WP_160600769.1	WP_039387523.1
OG0000307	WP_160600759.1	WP_039387525.1
OG0000308	WP_160601043.1	WP_039387535.1
OG0000309	WP_160600978.1	WP_039387539.1
OG0000310	WP_160600957.1	WP_039387544.1
OG0000311	WP_160600729.1	WP_039387548.1
OG0000312	WP_160600725.1	WP_039387550.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_160600908.1	WP_039387562.1
OG0000315	WP_011290197.1	WP_039387569.1
OG0000316	WP_160587912.1	WP_039387574.1
OG0000317	WP_160601140.1	WP_039387578.1
OG0000318	WP_220200854.1	WP_039387594.1
OG0000319	WP_146379629.1	WP_236681771.1
OG0000320	WP_160601193.1	WP_039387609.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_135618712.1	WP_039387619.1
OG0000324	WP_011284172.1	WP_039387626.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_160600880.1	WP_039387636.1
OG0000327	WP_011206076.1	WP_039387638.1
OG0000328	WP_220200845.1	WP_039387644.1
OG0000329	WP_044284742.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_039387658.1
OG0000331	WP_011206405.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_039387681.1
OG0000333	WP_011206433.1	WP_039387683.1
OG0000334	WP_160601134.1	WP_039387693.1
OG0000335	WP_160601132.1	WP_039387695.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_011290441.1	WP_039387722.1
OG0000338	WP_011284394.1	WP_039387723.1
OG0000339	WP_160601221.1	WP_039387775.1
OG0000340	WP_146379551.1	WP_039387777.1
OG0000341	WP_160601183.1	WP_039387782.1
OG0000342	WP_258556639.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_160601077.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_051054328.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_160600882.1	WP_081605285.1
OG0000349	WP_160600749.1	WP_155897264.1
OG0000350	WP_160600757.1	WP_201771011.1
OG0000351	WP_240536362.1	WP_220189978.1
OG0000352	WP_160600900.1	WP_002557683.1
OG0000353	WP_160584724.1	WP_002557547.1
OG0000354	WP_258556697.1	WP_002557591.1
OG0000355	WP_011206194.1	WP_231237866.1
OG0000356	WP_308507057.1	WP_231237867.1
OG0000357	WP_228366113.1	WP_002557710.1
OG0000358	WP_135619062.1	WP_231237872.1
OG0000359	WP_160600876.1	WP_236681774.1
OG0000360	WP_225973008.1	WP_231237879.1
OG0000361	WP_160600681.1	WP_231237880.1
OG0000362	WP_160600961.1	WP_231237889.1
OG0000363	WP_308704679.1	WP_323749062.1
OG0000365	WP_160600917.1	WP_002557448.1
OG0000366	WP_160601150.1	WP_002557453.1
OG0000367	WP_220200893.1	WP_002557455.1
OG0000368	WP_160600824.1	WP_002557467.1
OG0000369	WP_160588112.1	WP_039387473.1
OG0000370	WP_160588110.1	WP_002557476.1
OG0000371	WP_160600818.1	WP_002557477.1
OG0000372	WP_160584860.1	WP_236681780.1
OG0000373	WP_160585758.1	WP_002557482.1
OG0000374	WP_160590174.1	WP_002557484.1
OG0000375	WP_011284163.1	WP_002557511.1
OG0000376	WP_160601197.1	WP_002557524.1
OG0000377	WP_011206271.1	WP_002557526.1
OG0000378	WP_011205977.1	WP_002557533.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_160588252.1	WP_002557550.1
OG0000381	WP_160600838.1	WP_002557558.1
OG0000382	WP_160600830.1	WP_002557564.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_160601065.1	WP_002557571.1
OG0000385	WP_160601067.1	WP_002557572.1
OG0000386	WP_160601071.1	WP_002557576.1
OG0000387	WP_160601073.1	WP_002557580.1
OG0000388	WP_160601075.1	WP_002557581.1
OG0000390	WP_011206390.1	WP_002557608.1
OG0000391	WP_044284693.1	WP_002557610.1
OG0000392	WP_011284277.1	WP_002557615.1
OG0000393	WP_160600771.1	WP_002557627.1
OG0000394	WP_014579921.1	WP_002557640.1
OG0000395	WP_160601235.1	WP_002557641.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_044284644.1	WP_002557680.1
OG0000398	WP_011206197.1	WP_002557681.1
OG0000399	WP_160600914.1	WP_002557691.1
OG0000400	WP_135619057.1	WP_002557703.1
OG0000401	WP_160600933.1	WP_002557714.1
OG0000402	WP_160600935.1	WP_002557715.1
OG0000403	WP_220200860.1	WP_002557717.1
OG0000404	WP_160600941.1	WP_039387689.1
OG0000406	WP_160601138.1	WP_002557731.1
OG0000407	WP_160601130.1	WP_039387697.1
OG0000408	WP_160601129.1	WP_002557733.1
OG0000409	WP_160601127.1	WP_002557734.1
OG0000410	WP_011206469.1	WP_002557739.1
OG0000411	WP_011206467.1	WP_002557741.1
OG0000412	WP_011290399.1	WP_002557742.1
OG0000413	WP_146379568.1	WP_002557749.1
OG0000414	WP_011284053.1	WP_002557751.1
OG0000415	WP_160601245.1	WP_002557752.1
OG0000416	WP_160601243.1	WP_002557754.1
OG0000417	WP_160601181.1	WP_002557759.1
OG0000418	WP_258556689.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_160600868.1	WP_002557780.1
OG0000421	WP_011283936.1	WP_002557784.1
OG0000422	WP_160600878.1	WP_002557786.1
OG0000423	WP_011206068.1	WP_002557796.1
OG0000424	WP_011206067.1	WP_002557797.1
OG0000425	WP_160600888.1	WP_002557799.1
OG0000426	WP_160600890.1	WP_002557800.1
OG0000427	WP_135618593.1	WP_002557805.1
OG0000428	WP_011283958.1	WP_002557810.1
OG0000429	WP_160601100.1	WP_002557828.1
OG0000430	WP_014579604.1	WP_002557837.1
OG0000431	WP_011290067.1	WP_002557839.1
OG0000432	WP_160601002.1	WP_002557843.1
OG0000433	WP_011206014.1	WP_002557845.1
OG0000434	WP_160601000.1	WP_002557846.1
OG0000435	WP_011283987.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_011206003.1	WP_002557860.1
OG0000438	WP_160600989.1	WP_002557861.1
OG0000439	WP_160600987.1	WP_002557862.1
OG0000440	WP_014579953.1	WP_002557865.1
OG0000441	WP_011284299.1	WP_236681776.1
OG0000442	WP_160600647.1	WP_002557876.1
OG0000443	WP_160600657.1	WP_002557888.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_160600663.1	WP_002557895.1
OG0000446	WP_011205891.1	WP_002557901.1
OG0000447	WP_160600671.1	WP_002557902.1
OG0000448	WP_160600675.1	WP_002557907.1
OG0000449	WP_160600683.1	WP_002557912.1
OG0000450	WP_160600685.1	WP_002557914.1
OG0000451	WP_160600695.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_160600701.1	WP_002557934.1
OG0000455	WP_160600804.1	WP_002557941.1
OG0000456	WP_011206487.1	WP_002557963.1
OG0000457	WP_160600731.1	WP_002557968.1
OG0000458	WP_160600955.1	WP_002557977.1
OG0000459	WP_014579890.1	WP_002557982.1
OG0000460	WP_160600962.1	WP_002557984.1
OG0000461	WP_160600976.1	WP_039387541.1
OG0000462	WP_160600974.1	WP_002558013.1
OG0000463	WP_160600972.1	WP_002558014.1
OG0000464	WP_160600970.1	WP_002558016.1
OG0000465	WP_160585762.1	WP_002558017.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_160601040.1	WP_039387531.1
OG0000468	WP_160600912.1	WP_039387564.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_308704757.1	WP_039387651.1
OG0000472	WP_160601175.1	WP_039387700.1
OG0000473	WP_160600755.1	WP_039387713.1
OG0000474	WP_011284377.1	WP_039387714.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_160600982.1	WP_039387750.1
OG0000478	WP_011284367.1	WP_039387817.1
OG0000479	WP_160600852.1	WP_051054268.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_160600884.1	WP_002557790.1
OG0000482	WP_094521611.1	WP_201771017.1
OG0000483	WP_160601144.1	WP_236681784.1
OG0000484	WP_160600659.1	WP_231237877.1
OG0000485	WP_160600991.1	WP_039387661.1
OG0000486	WP_160601187.1	WP_236681773.1
OG0000487	WP_220200855.1	WP_052234586.1
OG0000489	WP_011205849.1	WP_002557469.1
OG0000490	WP_146379773.1	WP_002557481.1
OG0000491	WP_160600848.1	WP_002557542.1
OG0000492	WP_160600840.1	WP_002557556.1
OG0000493	WP_011206114.1	WP_002557584.1
OG0000494	WP_052259108.1	WP_002557592.1
OG0000495	WP_011284272.1	WP_002557622.1
OG0000496	WP_160600773.1	WP_002557624.1
OG0000497	WP_011206374.1	WP_002557625.1
OG0000498	WP_011206340.1	WP_002557639.1
OG0000499	WP_011206333.1	WP_002557649.1
OG0000500	WP_160600898.1	WP_002557682.1
OG0000501	WP_220200859.1	WP_002557705.1
OG0000502	WP_160590375.1	WP_002557767.1
OG0000503	WP_160600872.1	WP_002557782.1
OG0000504	WP_160600892.1	WP_002557806.1
OG0000505	WP_160601106.1	WP_002557812.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_160601102.1	WP_002557821.1
OG0000508	WP_160600669.1	WP_002557900.1
OG0000509	WP_187286314.1	WP_002557906.1
OG0000510	WP_160600677.1	WP_002557908.1
OG0000512	WP_160600964.1	WP_002557985.1
OG0000513	WP_011206492.1	WP_039387707.1
OG0000514	WP_160600781.1	WP_039387516.1
OG0000516	WP_160587914.1	WP_002557444.1
OG0000518	WP_160600931.1	WP_002557713.1
OG0000519	WP_020835579.1	WP_002557785.1
OG0000521	WP_160600673.1	WP_002557903.1
OG0000522	WP_160600679.1	WP_002557909.1
OG0000524	WP_160601041.1	WP_039387533.1
OG0000528	WP_160600916.1	WP_002557445.1
OG0000529	WP_011206243.1	WP_002557515.1
OG0000530	WP_160601225.1	WP_002557529.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000532	WP_258556706.1	WP_002557598.1
OG0000533	WP_011206110.1	WP_002557841.1
OG0000534	WP_160600697.1	WP_002557926.1
OG0000535	WP_160600820.1	WP_002557470.1
OG0000536	WP_160600814.1	WP_002557493.1
OG0000537	WP_011206089.1	WP_002557776.1
OG0000538	WP_160600998.1	WP_002557847.1
OG0000539	WP_160600661.1	WP_002557892.1
OG0000540	WP_160600983.1	WP_002558004.1
OG0000541	WP_371863324.1	WP_002557646.1
OG0000542	WP_160600691.1	WP_002557920.1
OG0000547	WP_160600789.1	WP_002557606.1
OG0000548	WP_020835662.1	WP_002557674.1
OG0000549	WP_160601173.1	WP_002557744.1
OG0000550	WP_220200832.1	WP_002557950.1
OG0000589	WP_160601265.1	WP_002557988.1
