Orthogroup	MHP_MHP650_proteins	MHP_111A_proteins
OG0000025	WP_160601016.1	WP_404912384.1
OG0000026	WP_044284614.1	WP_192894288.1
OG0000026	WP_160585054.1	WP_160606777.1
OG0000027	WP_011206475.1	WP_404912049.1
OG0000027	WP_160601209.1	WP_404912055.1
OG0000028	WP_160600719.1, WP_160600717.1	WP_404911882.1, WP_404911884.1
OG0000029	WP_160601095.1	WP_404912268.1
OG0000029	WP_160601231.1	WP_404912190.1
OG0000030	WP_308704764.1	WP_240536353.1
OG0000030	WP_160590224.1	WP_404912053.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_088172525.1	WP_404912416.1
OG0000032	WP_160601271.1	WP_135618726.1
OG0000032	WP_308704765.1	WP_404912051.1
OG0000033	WP_160600708.1	WP_404911880.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160601253.1	WP_404912019.1
OG0000036	WP_014579530.1	WP_404912137.1
OG0000037	WP_308704768.1	WP_404912443.1
OG0000039	WP_160601257.1	WP_179221095.1
OG0000040	WP_160601121.1	WP_404912035.1, WP_404912033.1, WP_404912462.1
OG0000041	WP_232039589.1	WP_011290019.1
OG0000041	WP_220200864.1	WP_404912290.1
OG0000042	WP_160600794.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_404911800.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000044	WP_011206179.1	WP_404911819.1
OG0000045	WP_160590485.1	WP_404912363.1, WP_404912361.1
OG0000046	WP_308704763.1	WP_404912037.1
OG0000047	WP_160601275.1	WP_404912400.1
OG0000048	WP_011284150.1	WP_404912397.1
OG0000049	WP_160600923.1	WP_020835860.1
OG0000050	WP_160600723.1	WP_404911890.1
OG0000051	WP_160601045.1	WP_404911930.1
OG0000052	WP_011283836.1	WP_404912127.1
OG0000053	WP_160600836.1	WP_160585093.1
OG0000054	WP_160600727.1	WP_020835786.1
OG0000055	WP_014579531.1	WP_160606887.1
OG0000056	WP_160600810.1	WP_404912090.1
OG0000057	WP_258556625.1, WP_258556626.1	WP_220191159.1
OG0000058	WP_160601091.1	WP_404912420.1
OG0000058	WP_160601093.1	WP_404912418.1
OG0000060	WP_220200887.1	WP_258556516.1
OG0000061	WP_160587888.1	WP_404911806.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_404912101.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_243216185.1	WP_233688433.1
OG0000066	WP_160600846.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160601125.1	WP_146379735.1
OG0000072	WP_160601123.1	WP_404912031.1
OG0000073	WP_011290025.1	WP_404912207.1
OG0000074	WP_011206057.1	WP_308704709.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160600693.1	WP_404912160.1
OG0000077	WP_160601219.1	WP_404912169.1
OG0000078	WP_160601010.1	WP_404912379.1
OG0000079	WP_160600966.1	WP_404911913.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_160600689.1	WP_160615521.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160601152.1	WP_011206223.1
OG0000086	WP_160601147.1	WP_404912428.1
OG0000087	WP_160601142.1	WP_404912425.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_020835488.1
OG0000091	WP_160600822.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_404912113.1
OG0000097	WP_146379771.1	WP_404912105.1
OG0000098	WP_160600816.1	WP_011290444.1
OG0000099	WP_160600812.1	WP_404912092.1
OG0000100	WP_160600806.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_404912445.1
OG0000103	WP_160601114.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_146379630.1
OG0000106	WP_011284167.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_404911836.1
OG0000109	WP_160601110.1	WP_146379632.1
OG0000110	WP_160601201.1	WP_020835772.1
OG0000111	WP_258556696.1	WP_020835771.1
OG0000112	WP_258556695.1	WP_404911866.1
OG0000113	WP_160601227.1	WP_404911858.1
OG0000114	WP_258555507.1	WP_404911856.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_160600860.1	WP_404912315.1
OG0000117	WP_160600858.1	WP_160615714.1
OG0000118	WP_011284023.1	WP_404912325.1
OG0000119	WP_160600850.1	WP_160585678.1
OG0000120	WP_160600844.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_160600842.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_160600834.1	WP_404912339.1
OG0000129	WP_160600832.1	WP_020835651.1
OG0000130	WP_160600828.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_094521635.1
OG0000132	WP_094521636.1	WP_404912347.1
OG0000133	WP_011206123.1	WP_014579589.1
OG0000134	WP_308704761.1	WP_404912178.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_160600792.1	WP_011284290.1
OG0000142	WP_160600791.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_160600787.1	WP_404911973.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_160600783.1	WP_011206384.1
OG0000148	WP_160600779.1	WP_404911967.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_160600775.1	WP_011206376.1
OG0000151	WP_160600765.1	WP_020835828.1
OG0000152	WP_160600763.1	WP_020835827.1
OG0000153	WP_160600761.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_160587842.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_160601028.1	WP_011206335.1
OG0000157	WP_160601030.1	WP_011290309.1
OG0000158	WP_160601032.1	WP_404911941.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_160600721.1	WP_404911888.1
OG0000164	WP_160601269.1	WP_160601269.1
OG0000165	WP_160600902.1	WP_011206200.1
OG0000166	WP_160600910.1	WP_404911786.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160587908.1	WP_404911779.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_011206420.1	WP_020835862.1
OG0000171	WP_050195447.1	WP_404911998.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160600927.1	WP_011206425.1
OG0000174	WP_160600929.1	WP_404912001.1
OG0000175	WP_160588054.1	WP_404912008.1
OG0000176	WP_160600939.1	WP_160607777.1
OG0000177	WP_014579977.1	WP_160585273.1
OG0000178	WP_020835878.1	WP_020835878.1
OG0000179	WP_160600943.1	WP_160585639.1
OG0000180	WP_160600945.1	WP_160585638.1
OG0000181	WP_160601136.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_135619119.1	WP_011206468.1
OG0000185	WP_020835897.1	WP_020835897.1
OG0000186	WP_160601247.1	WP_404912349.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_160601241.1	WP_011205932.1
OG0000189	WP_160601185.1	WP_404911845.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_135619204.1	WP_146379633.1
OG0000192	WP_011284001.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_404912294.1
OG0000194	WP_094521582.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179221025.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160600870.1	WP_020835575.1
OG0000201	WP_160600874.1	WP_011283934.1
OG0000202	WP_308704756.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_146379508.1
OG0000205	WP_014579632.1	WP_160606691.1
OG0000206	WP_160600886.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_135618591.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_146379515.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_160601104.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_160585193.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011206042.1	WP_404912251.1
OG0000219	WP_220200886.1	WP_220190714.1
OG0000220	WP_011206040.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_404912255.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160601098.1	WP_404912259.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_094521599.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_404912263.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_404912276.1
OG0000235	WP_020835611.1	WP_094521605.1
OG0000236	WP_160600997.1	WP_011283989.1
OG0000237	WP_160600995.1	WP_404912280.1
OG0000238	WP_160600993.1	WP_011206006.1
OG0000239	WP_160600796.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_404911978.1
OG0000241	WP_011206402.1	WP_044272588.1
OG0000242	WP_160600798.1	WP_404911981.1
OG0000243	WP_011206404.1	WP_146379703.1
OG0000244	WP_160600800.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_146379707.1
OG0000246	WP_050195463.1	WP_404912139.1
OG0000247	WP_160600649.1	WP_404912141.1
OG0000248	WP_160600703.1	WP_052259122.1
OG0000249	WP_160600651.1	WP_160588044.1
OG0000250	WP_011205875.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011289964.1	WP_011289964.1
OG0000254	WP_160600665.1	WP_160584767.1
OG0000255	WP_160600667.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_220200824.1	WP_041361723.1
OG0000260	WP_011283879.1	WP_094521550.1
OG0000261	WP_160600687.1	WP_044272293.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_160600699.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_020835532.1
OG0000268	WP_011283894.1	WP_179695950.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_160600753.1	WP_404912080.1
OG0000271	WP_160600751.1	WP_404912076.1
OG0000272	WP_011284373.1	WP_404912074.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_160600745.1	WP_011290423.1
OG0000275	WP_308704753.1	WP_404912071.1
OG0000276	WP_160600741.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160600739.1	WP_011206493.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_135619140.1	WP_404912067.1
OG0000281	WP_014580012.1	WP_011290416.1
OG0000282	WP_160600735.1	WP_404912062.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_014580008.1	WP_160585585.1
OG0000285	WP_160600733.1	WP_404912060.1
OG0000286	WP_146379652.1	WP_160615969.1
OG0000287	WP_011206297.1	WP_404911902.1
OG0000288	WP_160600959.1	WP_404911904.1
OG0000289	WP_020835793.1	WP_404911906.1
OG0000290	WP_135618967.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_011206319.1	WP_044272553.1
OG0000293	WP_094521723.1	WP_135618964.1
OG0000294	WP_160600980.1	WP_404911922.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_160600968.1	WP_041361673.1
OG0000297	WP_011284225.1	WP_146379664.1
OG0000298	WP_160600655.1	WP_404912146.1
OG0000299	WP_011205878.1	WP_160606529.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011289991.1
OG0000302	WP_014579576.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_404912180.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_160600785.1	WP_020835841.1
OG0000306	WP_160600769.1	WP_044272563.1
OG0000307	WP_160600759.1	WP_160585265.1
OG0000308	WP_160601043.1	WP_404911934.1
OG0000309	WP_160600978.1	WP_146379668.1
OG0000310	WP_160600957.1	WP_011206298.1
OG0000311	WP_160600729.1	WP_011206293.1
OG0000312	WP_160600725.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_160600908.1	WP_404911788.1
OG0000315	WP_011290197.1	WP_014579816.1
OG0000316	WP_160587912.1	WP_404911774.1
OG0000317	WP_160601140.1	WP_404912423.1
OG0000318	WP_220200854.1	WP_404911772.1
OG0000319	WP_146379629.1	WP_404911833.1
OG0000320	WP_160601193.1	WP_404911862.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_135618712.1	WP_011290127.1
OG0000324	WP_011284172.1	WP_011290222.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_160600880.1	WP_404912219.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_220200845.1	WP_041361583.1
OG0000329	WP_044284742.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_020835889.1
OG0000335	WP_160601132.1	WP_160606864.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011290441.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_404912111.1
OG0000339	WP_160601221.1	WP_404911854.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_160601183.1	WP_011290226.1
OG0000342	WP_258556639.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_160601077.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_232039558.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_160600882.1	WP_014579636.1
OG0000349	WP_160600749.1	WP_094521522.1
OG0000350	WP_160600757.1	WP_404911952.1
OG0000351	WP_240536362.1	WP_404912171.1
OG0000352	WP_160600900.1	WP_404911795.1
OG0000353	WP_160584724.1	WP_404912328.1
OG0000354	WP_258556697.1	WP_404912194.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_308507057.1	WP_404911776.1
OG0000357	WP_228366113.1	WP_404912003.1
OG0000358	WP_135619062.1	WP_404912004.1
OG0000359	WP_160600876.1	WP_404912214.1
OG0000360	WP_225973008.1	WP_404912153.1
OG0000361	WP_160600681.1	WP_011289979.1
OG0000362	WP_160600961.1	WP_160600961.1
OG0000363	WP_308704679.1	WP_232039606.1
OG0000364	WP_220200878.1	WP_404911802.1
OG0000365	WP_160600917.1	WP_404912433.1
OG0000366	WP_160601150.1	WP_404912430.1
OG0000367	WP_220200893.1	WP_225973040.1
OG0000368	WP_160600824.1	WP_404912121.1
OG0000369	WP_160588112.1	WP_011205844.1
OG0000370	WP_160588110.1	WP_044272260.1
OG0000371	WP_160600818.1	WP_044272256.1
OG0000372	WP_160584860.1	WP_404912115.1
OG0000373	WP_160585758.1	WP_404912107.1
OG0000374	WP_160590174.1	WP_404912104.1
OG0000375	WP_011284163.1	WP_404911831.1
OG0000376	WP_160601197.1	WP_404911868.1
OG0000377	WP_011206271.1	WP_404911864.1
OG0000378	WP_011205977.1	WP_011205977.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_160588252.1	WP_160588252.1
OG0000381	WP_160600838.1	WP_404912336.1
OG0000382	WP_160600830.1	WP_404912342.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_160601065.1	WP_041361727.1
OG0000385	WP_160601067.1	WP_044272311.1
OG0000386	WP_160601071.1	WP_011290004.1
OG0000387	WP_160601073.1	WP_404912182.1
OG0000388	WP_160601075.1	WP_179221014.1
OG0000390	WP_011206390.1	WP_011290340.1
OG0000391	WP_044284693.1	WP_020835843.1
OG0000392	WP_011284277.1	WP_160607852.1
OG0000393	WP_160600771.1	WP_404911961.1
OG0000394	WP_014579921.1	WP_011290313.1
OG0000395	WP_160601235.1	WP_404911946.1
OG0000396	WP_020835781.1	WP_020835781.1
OG0000397	WP_044284644.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_020835709.1
OG0000399	WP_160600914.1	WP_404911782.1
OG0000400	WP_135619057.1	WP_044272610.1
OG0000401	WP_160600933.1	WP_135619070.1
OG0000402	WP_160600935.1	WP_020835872.1
OG0000403	WP_220200860.1	WP_020835873.1
OG0000404	WP_160600941.1	WP_404912014.1
OG0000406	WP_160601138.1	WP_404912025.1
OG0000407	WP_160601130.1	WP_404912027.1
OG0000408	WP_160601129.1	WP_011206457.1
OG0000409	WP_160601127.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011206467.1	WP_146379742.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_011284053.1	WP_011290131.1
OG0000415	WP_160601245.1	WP_404912351.1
OG0000416	WP_160601243.1	WP_011284056.1
OG0000417	WP_160601181.1	WP_404911842.1
OG0000418	WP_258556689.1	WP_160588285.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_160600868.1	WP_020835574.1
OG0000421	WP_011283936.1	WP_011206080.1
OG0000422	WP_160600878.1	WP_146379504.1
OG0000423	WP_011206068.1	WP_404912224.1
OG0000424	WP_011206067.1	WP_011290043.1
OG0000425	WP_160600888.1	WP_044277967.1
OG0000426	WP_160600890.1	WP_011206064.1
OG0000427	WP_135618593.1	WP_135618593.1
OG0000428	WP_011283958.1	WP_011206054.1
OG0000429	WP_160601100.1	WP_404912257.1
OG0000430	WP_014579604.1	WP_404912265.1
OG0000431	WP_011290067.1	WP_011290067.1
OG0000432	WP_160601002.1	WP_404912272.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_160601000.1	WP_020835607.1
OG0000435	WP_011283987.1	WP_404912278.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_404912284.1
OG0000438	WP_160600989.1	WP_404912286.1
OG0000439	WP_160600987.1	WP_404912288.1
OG0000440	WP_014579953.1	WP_011290349.1
OG0000441	WP_011284299.1	WP_011284299.1
OG0000442	WP_160600647.1	WP_160607726.1
OG0000443	WP_160600657.1	WP_044272282.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_160600663.1	WP_160585544.1
OG0000446	WP_011205891.1	WP_348602689.1
OG0000447	WP_160600671.1	WP_014579553.1
OG0000448	WP_160600675.1	WP_011289976.1
OG0000449	WP_160600683.1	WP_348571941.1
OG0000450	WP_160600685.1	WP_160588027.1
OG0000451	WP_160600695.1	WP_160585531.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_160600701.1	WP_011283895.1
OG0000454	WP_160601169.1	WP_404912367.1
OG0000455	WP_160600804.1	WP_404912085.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_160600731.1	WP_404912464.1
OG0000458	WP_160600955.1	WP_020835790.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_160600962.1	WP_044272549.1
OG0000461	WP_160600976.1	WP_404912452.1
OG0000462	WP_160600974.1	WP_404911917.1
OG0000463	WP_160600972.1	WP_011206310.1
OG0000464	WP_160600970.1	WP_011206309.1
OG0000465	WP_160585762.1	WP_135618953.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_160601040.1	WP_404911938.1
OG0000468	WP_160600912.1	WP_404911784.1
OG0000469	WP_014579824.1	WP_011290203.1
OG0000470	WP_011206069.1	WP_011206069.1
OG0000471	WP_308704757.1	WP_044272348.1
OG0000472	WP_160601175.1	WP_404912044.1
OG0000473	WP_160600755.1	WP_020835917.1
OG0000474	WP_011284377.1	WP_041361711.1
OG0000476	WP_011205931.1	WP_011205931.1
OG0000477	WP_160600982.1	WP_011206317.1
OG0000478	WP_011284367.1	WP_011284367.1
OG0000479	WP_160600852.1	WP_404912322.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_160600884.1	WP_044272343.1
OG0000482	WP_094521611.1	WP_404912296.1
OG0000483	WP_160601144.1	WP_347952210.1
OG0000484	WP_160600659.1	WP_135618485.1
OG0000485	WP_160600991.1	WP_020835615.1
OG0000486	WP_160601187.1	WP_011290228.1
OG0000490	WP_146379773.1	WP_404912109.1
OG0000493	WP_011206114.1	WP_404912185.1
OG0000494	WP_052259108.1	WP_404912196.1
OG0000495	WP_011284272.1	WP_404911964.1
OG0000496	WP_160600773.1	WP_011290327.1
OG0000497	WP_011206374.1	WP_135619004.1
OG0000498	WP_011206340.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_020835817.1
OG0000500	WP_160600898.1	WP_404911797.1
OG0000501	WP_220200859.1	WP_404911996.1
OG0000502	WP_160590375.1	WP_404912292.1
OG0000503	WP_160600872.1	WP_404912212.1
OG0000504	WP_160600892.1	WP_011283955.1
OG0000505	WP_160601106.1	WP_146379519.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160601102.1	WP_020835590.1
OG0000509	WP_187286314.1	WP_020835518.1
OG0000510	WP_160600677.1	WP_011289977.1
OG0000512	WP_160600964.1	WP_404911911.1
OG0000514	WP_160600781.1	WP_404911969.1
OG0000516	WP_160587914.1	WP_160607660.1
OG0000519	WP_020835579.1	WP_020835579.1
OG0000522	WP_160600679.1	WP_135618505.1
OG0000524	WP_160601041.1	WP_404911936.1
OG0000525	WP_160601177.1	WP_404912046.1
OG0000526	WP_258556670.1	WP_404911812.1
OG0000527	WP_258556663.1	WP_404911823.1
OG0000528	WP_160600916.1	WP_404912437.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_258556706.1	WP_404912365.1
OG0000533	WP_011206110.1	WP_011290010.1
OG0000534	WP_160600697.1	WP_404912163.1
OG0000536	WP_160600814.1	WP_404912094.1
OG0000540	WP_160600983.1	WP_404911926.1
OG0000541	WP_371863324.1	WP_404911944.1
OG0000543	WP_160585706.1	WP_160585706.1
OG0000544	WP_014579703.1	WP_308507042.1
OG0000545	WP_258556669.1, WP_258556667.1	WP_404911816.1
OG0000546	WP_258556622.1	WP_404911955.1
OG0000552	WP_160600937.1	WP_044284704.1
OG0000553	WP_160601038.1	WP_347952255.1
OG0000554	WP_160601203.1	WP_404911871.1
OG0000556	WP_160601239.1	WP_404912412.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_160601087.1	WP_011205989.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_094521603.1
OG0000562	WP_160601053.1	WP_160585755.1
OG0000563	WP_014579786.1	WP_160587877.1
OG0000564	WP_094521768.1	WP_252862181.1
OG0000565	WP_160601059.1	WP_404911804.1
OG0000566	WP_258556671.1	WP_404911808.1
OG0000567	WP_308704760.1	WP_404911814.1
OG0000568	WP_011206097.1	WP_404912204.1
OG0000569	WP_160601085.1	WP_404912299.1
OG0000570	WP_160601083.1	WP_404912300.1
OG0000571	WP_044284610.1	WP_404912302.1
OG0000572	WP_160601081.1	WP_404912308.1
OG0000573	WP_160601014.1	WP_404912382.1
OG0000574	WP_160600856.1	WP_011284018.1
OG0000575	WP_011284002.1	WP_011290089.1
OG0000576	WP_011290145.1	WP_011290145.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_044284684.1	WP_041361678.1
OG0000579	WP_160601051.1	WP_146379623.1
OG0000580	WP_258556623.1	WP_236607953.1
OG0000581	WP_160601048.1	WP_404911821.1
OG0000582	WP_308704762.1	WP_404912305.1
OG0000583	WP_160601012.1	WP_404912380.1
OG0000584	WP_160601156.1, WP_318026602.1	WP_404912408.1
