Orthogroup	MHP_7422_proteins	MHP_UFV01_proteins
OG0000030	WP_236607958.1	WP_243215857.1
OG0000030	WP_020835904.1	WP_243215862.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_011290238.1	WP_011290238.1
OG0000032	WP_236607959.1	WP_243215860.1
OG0000034	WP_236607948.1	WP_233688423.1
OG0000035	WP_020835886.1	WP_179695901.1
OG0000036	WP_020835495.1	WP_011205863.1
OG0000036	WP_020835498.1	WP_243215930.1
OG0000039	WP_041361612.1	WP_179221095.1
OG0000041	WP_011290019.1	WP_243215987.1
OG0000042	WP_041361801.1	WP_243216302.1
OG0000043	WP_011290239.1	WP_243216108.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_020835667.1	WP_243216072.1, WP_243216073.1
OG0000046	WP_236607957.1	WP_243216347.1
OG0000047	WP_020835556.1	WP_020835556.1
OG0000048	WP_020835735.1	WP_243216169.1
OG0000049	WP_020835860.1	WP_011290363.1
OG0000050	WP_020835784.1	WP_044272534.1
OG0000052	WP_011289937.1	WP_094521536.1
OG0000053	WP_020835649.1	WP_243216057.1
OG0000054	WP_020835786.1	WP_243216226.1
OG0000055	WP_011205867.1	WP_011205867.1
OG0000056	WP_020835923.1	WP_243215894.1
OG0000057	WP_020835847.1	WP_011290343.1
OG0000058	WP_011290242.1	WP_243216113.1
OG0000059	WP_020835553.1	WP_243216109.1
OG0000061	WP_020835703.1	WP_044284624.1
OG0000062	WP_011206522.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_011206521.1
OG0000064	WP_020835930.1	WP_160615736.1
OG0000065	WP_020835752.1	WP_160601112.1
OG0000066	WP_011205965.1	WP_243216052.1
OG0000067	WP_020835540.1	WP_243215973.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_020835893.1	WP_044272640.1
OG0000072	WP_236607956.1	WP_243216342.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_020835587.1, WP_236607966.1	WP_014579624.1
OG0000075	WP_020835523.1	WP_243215955.1
OG0000076	WP_011289987.1	WP_243215957.1
OG0000077	WP_011289996.1	WP_243215965.1
OG0000078	WP_020835673.1	WP_243216087.1
OG0000079	WP_020835797.1	WP_233688475.1
OG0000080	WP_011206314.1	WP_179695988.1
OG0000081	WP_011289985.1	WP_243215952.1
OG0000082	WP_236607951.1	WP_243216212.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_020835729.1	WP_243216165.1
OG0000086	WP_011290207.1	WP_243216167.1
OG0000087	WP_020835732.1	WP_044272477.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011290212.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_011283835.1
OG0000091	WP_020835487.1	WP_243215921.1
OG0000092	WP_020835485.1	WP_243215917.1
OG0000093	WP_020835484.1	WP_243215915.1
OG0000094	WP_020835483.1	WP_233688588.1
OG0000095	WP_020835480.1	WP_243215907.1
OG0000096	WP_011206529.1	WP_243215905.1
OG0000097	WP_041361816.1	WP_243215900.1
OG0000098	WP_020835932.1	WP_243215898.1
OG0000099	WP_020835924.1	WP_243215895.1
OG0000100	WP_020835921.1	WP_243215892.1
OG0000101	WP_011206510.1	WP_243215891.1
OG0000102	WP_020835678.1	WP_243216094.1
OG0000103	WP_011290214.1	WP_243216182.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011290216.1	WP_135618882.1
OG0000106	WP_011290218.1	WP_243216184.1
OG0000107	WP_020835753.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_179696020.1
OG0000109	WP_020835754.1	WP_243216186.1
OG0000110	WP_020835772.1	WP_243216208.1
OG0000111	WP_020835771.1	WP_243216207.1
OG0000112	WP_020835769.1	WP_243216205.1
OG0000113	WP_020835765.1	WP_020835765.1
OG0000114	WP_236607949.1	WP_243216202.1
OG0000115	WP_011284183.1	WP_014579859.1
OG0000116	WP_011290103.1	WP_243216047.1
OG0000117	WP_020835633.1	WP_243216048.1
OG0000118	WP_011290108.1	WP_228729171.1
OG0000119	WP_020835638.1	WP_179696055.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_243216054.1
OG0000124	WP_011290118.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_011205950.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_020835650.1	WP_243216059.1
OG0000129	WP_020835651.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_011284047.1	WP_160588225.1
OG0000132	WP_011205939.1	WP_135618714.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_020835541.1	WP_020835541.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_020835542.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_020835566.1	WP_135618563.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_243215985.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_020835848.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_020835844.1	WP_044272582.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_041361684.1	WP_243216296.1
OG0000149	WP_011290331.1	WP_011206379.1
OG0000150	WP_011206376.1	WP_243216288.1
OG0000151	WP_020835828.1	WP_020835828.1
OG0000152	WP_228366106.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_041361682.1	WP_243216280.1
OG0000155	WP_020835820.1	WP_011290311.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_020835818.1	WP_011290309.1
OG0000158	WP_020835816.1	WP_308704549.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_020835785.1	WP_011290271.1
OG0000161	WP_014579880.1	WP_011206287.1
OG0000162	WP_081430781.1	WP_044272532.1
OG0000163	WP_020835782.1	WP_243216224.1
OG0000164	WP_020835663.1	WP_160601269.1
OG0000165	WP_020835712.1	WP_011206200.1
OG0000166	WP_020835717.1	WP_011290193.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_236607945.1	WP_233688406.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_020835864.1	WP_011290367.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_020835865.1	WP_243216312.1
OG0000174	WP_020835866.1	WP_011290369.1
OG0000175	WP_020835868.1	WP_011206429.1
OG0000176	WP_020835876.1	WP_243216326.1
OG0000177	WP_020835877.1	WP_233688536.1
OG0000178	WP_020835878.1	WP_011206441.1
OG0000179	WP_020835880.1	WP_179221227.1
OG0000180	WP_081642895.1	WP_160590181.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011290401.1	WP_160585238.1
OG0000185	WP_020835897.1	WP_011206465.1
OG0000186	WP_020835656.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_243216062.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_020835758.1	WP_243216195.1
OG0000190	WP_020835757.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_011206251.1
OG0000192	WP_011290088.1	WP_011205992.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_243215993.1
OG0000195	WP_011290024.1	WP_011283924.1
OG0000196	WP_020835573.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_011206090.1
OG0000198	WP_011283930.1	WP_243215996.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_020835575.1	WP_020835575.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011283943.1
OG0000203	WP_011206072.1	WP_011283944.1
OG0000204	WP_011206071.1	WP_014579633.1
OG0000205	WP_020835584.1	WP_243216001.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_011206063.1	WP_011283951.1
OG0000208	WP_011290046.1	WP_011206062.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_011206052.1	WP_243216005.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_020835589.1
OG0000216	WP_011290056.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_020835592.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011290064.1
OG0000228	WP_041361593.1	WP_160608021.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_020835604.1	WP_011290071.1
OG0000234	WP_041361598.1	WP_044284822.1
OG0000235	WP_020835611.1	WP_243216014.1
OG0000236	WP_020835612.1	WP_011283989.1
OG0000237	WP_020835613.1	WP_243216016.1
OG0000238	WP_011283991.1	WP_011283991.1
OG0000239	WP_011290347.1	WP_011290347.1
OG0000240	WP_020835851.1	WP_020835851.1
OG0000241	WP_020835853.1	WP_135619036.1
OG0000242	WP_020835854.1	WP_243216305.1
OG0000243	WP_041361686.1	WP_011290352.1
OG0000244	WP_041361690.1	WP_041361690.1
OG0000245	WP_020835856.1	WP_020835856.1
OG0000246	WP_041361522.1	WP_232039502.1
OG0000247	WP_011289951.1	WP_243215932.1
OG0000248	WP_014579535.1	WP_014579535.1
OG0000249	WP_020835502.1	WP_243216353.1, WP_243215934.1
OG0000250	WP_011289957.1	WP_243215937.1
OG0000251	WP_020835507.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011289964.1	WP_011283860.1
OG0000254	WP_020835510.1	WP_014579548.1
OG0000255	WP_020835511.1	WP_044284572.1
OG0000256	WP_011205889.1	WP_011283865.1
OG0000257	WP_011289973.1	WP_011205894.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_020835520.1	WP_243215945.1
OG0000260	WP_011289982.1	WP_243215948.1
OG0000261	WP_020835521.1	WP_243215950.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011205916.1
OG0000265	WP_020835529.1	WP_243215961.1
OG0000266	WP_041361536.1	WP_011205923.1
OG0000267	WP_020835532.1	WP_014579577.1
OG0000268	WP_011289993.1	WP_011289993.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_020835916.1	WP_243215887.1
OG0000271	WP_020835915.1	WP_135619152.1
OG0000272	WP_011284373.1	WP_243215885.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_243215879.1
OG0000275	WP_020835912.1	WP_238374142.1
OG0000276	WP_011290421.1	WP_243215878.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_011206493.1	WP_011206493.1
OG0000279	WP_011290418.1	WP_243215875.1
OG0000280	WP_011206490.1	WP_044284728.1
OG0000281	WP_011290416.1	WP_081430772.1
OG0000282	WP_020835909.1	WP_243215874.1
OG0000283	WP_011206485.1	WP_243215873.1
OG0000284	WP_011206484.1	WP_011206484.1
OG0000285	WP_020835908.1	WP_243215870.1
OG0000286	WP_020835780.1	WP_146379652.1
OG0000287	WP_020835791.1	WP_243216240.1
OG0000288	WP_041361791.1	WP_160600959.1
OG0000289	WP_020835793.1	WP_243216242.1
OG0000290	WP_020835808.1	WP_243216258.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_020835806.1	WP_243216256.1
OG0000293	WP_020835805.1	WP_243216254.1
OG0000294	WP_041361676.1	WP_243216251.1
OG0000295	WP_011206315.1	WP_243216250.1
OG0000296	WP_041361673.1	WP_233688476.1
OG0000297	WP_020835798.1	WP_011206306.1
OG0000298	WP_011289956.1	WP_243215936.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_011206118.1
OG0000304	WP_220190741.1	WP_011283978.1
OG0000305	WP_020835841.1	WP_044272575.1
OG0000306	WP_020835832.1	WP_243216282.1
OG0000307	WP_020835826.1	WP_044284687.1
OG0000308	WP_020835811.1	WP_243216263.1
OG0000309	WP_011206313.1	WP_243216248.1
OG0000310	WP_011206298.1	WP_160606445.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_041361671.1	WP_041361671.1
OG0000313	WP_011206141.1	WP_011206141.1
OG0000314	WP_020835716.1	WP_094521675.1
OG0000315	WP_011290197.1	WP_243216153.1
OG0000316	WP_014579818.1	WP_014579818.1
OG0000317	WP_020835734.1	WP_011290211.1
OG0000318	WP_020835722.1	WP_243216157.1
OG0000319	WP_020835750.1	WP_146379629.1
OG0000320	WP_020835767.1	WP_243216204.1
OG0000321	WP_011205969.1	WP_243216051.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_041361746.1	WP_135618712.1
OG0000324	WP_011290222.1	WP_243216187.1
OG0000325	WP_011206094.1	WP_243215994.1
OG0000326	WP_041361576.1	WP_243216000.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_011206060.1
OG0000329	WP_011206056.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_041361688.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_160601134.1
OG0000335	WP_041361699.1	WP_243216335.1
OG0000336	WP_011206488.1	WP_011284361.1
OG0000337	WP_011290441.1	WP_011206520.1
OG0000338	WP_011284394.1	WP_243215903.1
OG0000339	WP_020835763.1	WP_243216236.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_243216193.1
OG0000342	WP_011290029.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_041361546.1	WP_243215977.1
OG0000345	WP_051129925.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_041361706.1
OG0000347	WP_011205955.1	WP_243216053.1
OG0000348	WP_020835582.1	WP_160600882.1
OG0000349	WP_236607960.1	WP_243215882.1
OG0000350	WP_041361796.1	WP_228366105.1
OG0000351	WP_011289997.1	WP_233688626.1
OG0000352	WP_020835711.1	WP_243216148.1
OG0000353	WP_020835641.1	WP_044284615.1
OG0000354	WP_220200712.1	WP_237697228.1
OG0000355	WP_020835708.1	WP_243216143.1
OG0000356	WP_236607946.1	WP_243216155.1
OG0000357	WP_011206427.1	WP_228366113.1
OG0000358	WP_020835867.1	WP_243216314.1
OG0000359	WP_051129934.1	WP_243215998.1
OG0000360	WP_225973008.1	WP_228365406.1
OG0000361	WP_011289979.1	WP_243215944.1
OG0000362	WP_020835794.1	WP_011206302.1
OG0000363	WP_269076336.1	WP_269076322.1
OG0000364	WP_020835705.1	WP_243216141.1
OG0000365	WP_020835726.1	WP_243216163.1
OG0000366	WP_011206224.1	WP_146379594.1
OG0000367	WP_020835730.1	WP_220190703.1
OG0000368	WP_011289935.1	WP_011283833.1
OG0000369	WP_011289930.1	WP_243215913.1
OG0000370	WP_041361514.1	WP_135618444.1
OG0000371	WP_020835481.1	WP_243215911.1
OG0000372	WP_011289927.1	WP_243215909.1
OG0000373	WP_020835935.1	WP_243215901.1
OG0000374	WP_020835933.1	WP_243215899.1
OG0000375	WP_011284163.1	WP_135618878.1
OG0000376	WP_020835770.1	WP_243216206.1
OG0000377	WP_041361661.1	WP_011206271.1
OG0000378	WP_020835632.1	WP_179221065.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_020835644.1	WP_233688710.1
OG0000381	WP_020835647.1	WP_243216055.1
OG0000382	WP_020835652.1	WP_243216060.1
OG0000383	WP_014579735.1	WP_014579735.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000386	WP_011290004.1	WP_011290004.1
OG0000387	WP_020835543.1	WP_243215975.1
OG0000388	WP_020835544.1	WP_243215976.1
OG0000389	WP_020835565.1	WP_243215983.1
OG0000390	WP_011284284.1	WP_011290340.1
OG0000391	WP_020835843.1	WP_044272578.1
OG0000392	WP_020835840.1	WP_243216301.1
OG0000393	WP_020835833.1	WP_243216285.1
OG0000394	WP_011290313.1	WP_011290313.1
OG0000395	WP_020835821.1	WP_243216274.1
OG0000396	WP_020835781.1	WP_160585153.1
OG0000397	WP_011206196.1	WP_243216145.1
OG0000398	WP_020835709.1	WP_243216146.1
OG0000399	WP_011290195.1	WP_160600914.1
OG0000400	WP_020835861.1	WP_243216310.1
OG0000401	WP_020835871.1	WP_135619070.1
OG0000402	WP_020835872.1	WP_243216318.1
OG0000403	WP_020835873.1	WP_243216321.1
OG0000404	WP_020835879.1	WP_243216329.1
OG0000405	WP_081642900.1	WP_243216331.1
OG0000406	WP_020835892.1	WP_014579989.1
OG0000407	WP_011290391.1	WP_243216339.1
OG0000408	WP_011206457.1	WP_044284717.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011290400.1	WP_146379742.1
OG0000412	WP_011290399.1	WP_011290399.1
OG0000413	WP_020835655.1	WP_243216061.1
OG0000414	WP_011290131.1	WP_011290131.1
OG0000415	WP_020835657.1	WP_020835657.1
OG0000416	WP_011284056.1	WP_160601243.1
OG0000417	WP_011290225.1	WP_243216192.1
OG0000418	WP_020835756.1	WP_243216189.1
OG0000419	WP_020835572.1	WP_011206092.1
OG0000420	WP_020835574.1	WP_020835574.1
OG0000421	WP_011206080.1	WP_011290034.1
OG0000422	WP_020835580.1	WP_243215999.1
OG0000423	WP_020835585.1	WP_011206068.1
OG0000424	WP_011290043.1	WP_011206067.1
OG0000425	WP_041361580.1	WP_011206065.1
OG0000426	WP_011206064.1	WP_011283950.1
OG0000427	WP_011290048.1	WP_011283954.1
OG0000428	WP_011206054.1	WP_243216004.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_020835599.1	WP_243216006.1
OG0000431	WP_020835600.1	WP_146379524.1
OG0000432	WP_020835605.1	WP_243216010.1
OG0000433	WP_011290074.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_233688674.1
OG0000435	WP_020835610.1	WP_020835610.1
OG0000436	WP_020835614.1	WP_011206005.1
OG0000437	WP_020835616.1	WP_233688689.1
OG0000438	WP_020835617.1	WP_243216021.1
OG0000439	WP_020835619.1	WP_243216023.1
OG0000440	WP_020835852.1	WP_243216303.1
OG0000441	WP_020835857.1	WP_020835857.1
OG0000442	WP_020835499.1	WP_243215931.1
OG0000443	WP_020835505.1	WP_243215940.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_020835509.1	WP_044284571.1
OG0000446	WP_020835513.1	WP_233688612.1
OG0000447	WP_014579553.1	WP_243215941.1
OG0000448	WP_011289976.1	WP_011283873.1
OG0000449	WP_011289981.1	WP_243215947.1
OG0000450	WP_011289983.1	WP_160600685.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_011289994.1	WP_243215963.1
OG0000455	WP_041361713.1	WP_243215890.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_020835907.1	WP_243215868.1
OG0000458	WP_020835790.1	WP_179221160.1
OG0000459	WP_014579890.1	WP_014579890.1
OG0000460	WP_020835795.1	WP_011206303.1
OG0000461	WP_041361674.1	WP_243216245.1
OG0000462	WP_020835802.1	WP_011284228.1
OG0000463	WP_020835801.1	WP_011206310.1
OG0000464	WP_011206309.1	WP_011206309.1
OG0000465	WP_020835800.1	WP_233688477.1
OG0000466	WP_011205922.1	WP_011205922.1
OG0000467	WP_020835813.1	WP_243216269.1
OG0000468	WP_011290194.1	WP_243216151.1
OG0000469	WP_011290203.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_243216002.1
OG0000471	WP_041361586.1	WP_094521595.1
OG0000472	WP_020835900.1	WP_243215853.1
OG0000473	WP_020835917.1	WP_243215889.1
OG0000474	WP_041361711.1	WP_011284377.1
OG0000475	WP_020835919.1	WP_044889046.1
OG0000476	WP_011205931.1	WP_243216064.1
OG0000477	WP_011290293.1	WP_243216252.1
OG0000478	WP_011284367.1	WP_243215877.1
OG0000479	WP_020835636.1	WP_243216050.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_020835583.1	WP_160600884.1
OG0000482	WP_020835622.1	WP_014579695.1
OG0000483	WP_051129930.1	WP_011206227.1
OG0000484	WP_228366121.1	WP_233688609.1
OG0000485	WP_020835615.1	WP_243216018.1
OG0000486	WP_020835759.1	WP_243216198.1
OG0000487	WP_044272470.1	WP_243216159.1
OG0000488	WP_020835728.1	WP_020835728.1
OG0000489	WP_011205849.1	WP_243215919.1
OG0000491	WP_020835639.1	WP_011205966.1
OG0000492	WP_020835646.1	WP_160607802.1
OG0000494	WP_020835567.1	WP_052259108.1
OG0000495	WP_011284272.1	WP_243216290.1
OG0000496	WP_020835835.1	WP_011284271.1
OG0000497	WP_011206374.1	WP_014579936.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_020835817.1	WP_011206333.1
OG0000500	WP_020835710.1	WP_243216147.1
OG0000502	WP_020835621.1	WP_243216028.1
OG0000503	WP_020835576.1	WP_020835576.1
OG0000504	WP_011283955.1	WP_088764595.1
OG0000505	WP_011290053.1	WP_011290053.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_020835590.1	WP_020835590.1
OG0000508	WP_020835512.1	WP_233688611.1
OG0000509	WP_020835518.1	WP_193325077.1
OG0000510	WP_011289977.1	WP_011289977.1
OG0000511	WP_011206135.1	WP_011206135.1
OG0000512	WP_020835796.1	WP_011206304.1
OG0000513	WP_041361708.1	WP_243215876.1
OG0000514	WP_020835839.1	WP_243216299.1
OG0000515	WP_014579793.1	WP_243216070.1, WP_243216069.1, WP_243216068.1
OG0000516	WP_020835724.1	WP_011206214.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_318023954.1	WP_243216317.1
OG0000519	WP_020835579.1	WP_135618573.1
OG0000520	WP_011290050.1	WP_243216003.1
OG0000521	WP_020835515.1	WP_243215942.1
OG0000522	WP_020835519.1	WP_243215943.1
OG0000523	WP_020835906.1	WP_243215866.1
OG0000524	WP_020835812.1	WP_243216266.1
OG0000525	WP_011290405.1	WP_243215854.1
OG0000526	WP_236607970.1	WP_243216125.1
OG0000527	WP_020835689.1	WP_011206174.1
OG0000528	WP_011290201.1	WP_243216161.1
OG0000529	WP_014579831.1	WP_011206243.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000531	WP_020835645.1	WP_011205956.1
OG0000532	WP_236607969.1	WP_243216074.1
OG0000533	WP_236607965.1, WP_236607964.1	WP_179221017.1
OG0000534	WP_020835528.1	WP_160600697.1
OG0000535	WP_020835486.1	WP_160588116.1
OG0000536	WP_020835926.1	WP_243215896.1
OG0000537	WP_011290028.1	WP_011206089.1
OG0000538	WP_020835608.1	WP_243216013.1
OG0000539	WP_020835508.1	WP_160600661.1
OG0000540	WP_020835807.1	WP_243216257.1
OG0000541	WP_020835819.1	WP_243216273.1
OG0000542	WP_020835525.1	WP_044284771.1
OG0000544	WP_020835626.1	WP_014579703.1
OG0000545	WP_020835698.1	WP_243216121.1
OG0000546	WP_020835829.1	WP_020835829.1
OG0000547	WP_020835845.1	WP_020835845.1
OG0000548	WP_020835662.1	WP_243216071.1
OG0000549	WP_020835899.1	WP_243215852.1
OG0000550	WP_020835913.1	WP_243215880.1
OG0000551	WP_011206407.1	WP_011206407.1
OG0000553	WP_020835815.1	WP_243216271.1
OG0000554	WP_236607950.1	WP_243216210.1
OG0000556	WP_041361557.1	WP_243216111.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_020835624.1	WP_243216031.1
