Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_040026965.1	ASM4002696v1	Mesomycoplasma hyopneumoniae		1257					GCF_040026965.1-RS_2024_06_03	Complete Genome	2024-06-04		1
GCA_045348605.1	ASM4534860v1	Mesomycoplasma hyopneumoniae		4284					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-05		1
GCF_045348605.1	ASM4534860v1	Mesomycoplasma hyopneumoniae		4284					GCF_045348605.1-RS_2024_11_27	Complete Genome	2024-11-27		1
GCA_900660565.1	51334_A01-3	Mesomycoplasma hyopneumoniae		NCTC10127					Annotation submitted by SC	Complete Genome	2019-01-29		5
GCF_900660565.1	51334_A01-3	Mesomycoplasma hyopneumoniae		NCTC10127					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-29		5
GCA_000183185.1	ASM18318v1	Mesomycoplasma hyopneumoniae 168		168					Annotation submitted by Huazhong Agricultural University	Complete Genome	2010-11-24		1
GCF_000183185.1	ASM18318v1	Mesomycoplasma hyopneumoniae 168		168					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2010-11-24		1
GCA_000400855.1	ASM40085v1	Mesomycoplasma hyopneumoniae 168L		168L					Annotation submitted by Huazhong Agricultural University	Complete Genome	2013-05-22		1
GCF_000400855.1	ASM40085v1	Mesomycoplasma hyopneumoniae 168L		168L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-05-22		1
GCA_000008225.1	ASM822v1	Mesomycoplasma hyopneumoniae 7448		7448					Annotation submitted by LNCC - Laboratorio Nacional de Computacao Cientifica	Complete Genome	2005-08-08		1
GCF_000008225.1	ASM822v1	Mesomycoplasma hyopneumoniae 7448		7448					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-08-08		1
GCA_000427215.1	ASM42721v1	Mesomycoplasma hyopneumoniae 7422		7422					Annotation submitted by Genesul	Complete Genome	2013-07-15		1
GCF_000427215.1	ASM42721v1	Mesomycoplasma hyopneumoniae 7422		7422					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2013-07-15		1
GCA_000008405.1	ASM840v1	Mesomycoplasma hyopneumoniae 232		232					Annotation submitted by Iowa State University	Complete Genome	2004-10-08		1
GCF_000008405.1	ASM840v1	Mesomycoplasma hyopneumoniae 232		232					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2004-10-08		1
GCA_045006685.1	ASM4500668v1	Mesomycoplasma hyopneumoniae		112B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2024-11-18		1
GCF_045006685.1	ASM4500668v1	Mesomycoplasma hyopneumoniae		112B					GCF_045006685.1-RS_2024_11_18	Chromosome	2024-11-22		1
GCA_022793035.1	ASM2279303v1	Mesomycoplasma hyopneumoniae		UFV01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-01	VBRW01	
GCF_022793035.1	ASM2279303v1	Mesomycoplasma hyopneumoniae		UFV01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-04-01	VBRW01	
GCA_002193015.1	ASM219301v1	Mesomycoplasma hyopneumoniae		11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-14	MWWN01	5
GCF_002193015.1	ASM219301v1	Mesomycoplasma hyopneumoniae		11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-14	MWWN01	5
GCA_013412725.1	ASM1341272v1	Mesomycoplasma hyopneumoniae		98					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-07-13	WTQC01	19
GCF_013412725.1	ASM1341272v1	Mesomycoplasma hyopneumoniae		98					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-07-13	WTQC01	19
GCA_022793015.1	ASM2279301v1	Mesomycoplasma hyopneumoniae		UFV02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-01	VBRV01	14
GCF_022793015.1	ASM2279301v1	Mesomycoplasma hyopneumoniae		UFV02					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-04-01	VBRV01	14
GCA_009832085.1	ASM983208v1	Mesomycoplasma hyopneumoniae		MHP691					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRK01	69
GCF_009832085.1	ASM983208v1	Mesomycoplasma hyopneumoniae		MHP691					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRK01	69
GCA_009832035.1	ASM983203v1	Mesomycoplasma hyopneumoniae		MHP696					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRH01	64
GCF_009832035.1	ASM983203v1	Mesomycoplasma hyopneumoniae		MHP696					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRH01	64
GCA_009831855.1	ASM983185v1	Mesomycoplasma hyopneumoniae		MHP699					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQQX01	74
GCF_009831855.1	ASM983185v1	Mesomycoplasma hyopneumoniae		MHP699					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQQX01	74
GCA_009831905.1	ASM983190v1	Mesomycoplasma hyopneumoniae		MHP694					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQQY01	51
GCF_009831905.1	ASM983190v1	Mesomycoplasma hyopneumoniae		MHP694					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQQY01	51
GCA_009832075.1	ASM983207v1	Mesomycoplasma hyopneumoniae		MHP709					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRJ01	58
GCF_009832075.1	ASM983207v1	Mesomycoplasma hyopneumoniae		MHP709					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRJ01	58
GCA_009832175.1	ASM983217v1	Mesomycoplasma hyopneumoniae		MHP650					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-01-06	QQSN01	
GCF_009832175.1	ASM983217v1	Mesomycoplasma hyopneumoniae		MHP650					GCF_009832175.1-RS_2024_08_26	Contig	2020-01-06	QQSN01	
GCA_009831945.1	ASM983194v1	Mesomycoplasma hyopneumoniae		MHP653					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRB01	74
GCF_009831945.1	ASM983194v1	Mesomycoplasma hyopneumoniae		MHP653					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRB01	74
GCA_009831895.1	ASM983189v1	Mesomycoplasma hyopneumoniae		MHP682					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRA01	85
GCF_009831895.1	ASM983189v1	Mesomycoplasma hyopneumoniae		MHP682					GCF_009831895.1-RS_2024_08_25	Scaffold	2020-01-06	QQRA01	85
GCA_009832125.1	ASM983212v1	Mesomycoplasma hyopneumoniae		MHP679					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRL01	102
GCF_009832125.1	ASM983212v1	Mesomycoplasma hyopneumoniae		MHP679					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-06	QQRL01	102
GCA_002213485.1	ASM221348v1	Mesomycoplasma hyopneumoniae		TB1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-30	NBBN01	57
GCF_002213485.1	ASM221348v1	Mesomycoplasma hyopneumoniae		TB1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-06-30	NBBN01	57
GCA_002257505.1	ASM225750v1	Mesomycoplasma hyopneumoniae		KM014					Annotation submitted by KBNP,INC.	Complete Genome	2017-08-16		1
GCF_002257505.1	ASM225750v1	Mesomycoplasma hyopneumoniae		KM014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-08-16		1
