Orthogroup	MHP_ES2L_genes	MHP_MHP650_genes
OG0000026	HZK19_RS01660	DR083_RS02085
OG0000027	HZK19_RS03390	DR083_RS02995
OG0000027	HZK19_RS03405	DR083_RS04880
OG0000028	HZK19_RS02380	DR083_RS00320
OG0000029	HZK19_RS01065	DR083_RS02525
OG0000029	HZK19_RS00600	DR083_RS03325
OG0000030	HZK19_RS03380	DR083_RS04855
OG0000030	HZK19_RS03400	DR083_RS04885
OG0000031	HZK19_RS01570	DR083_RS03560
OG0000031	HZK19_RS03025	DR083_RS02520
OG0000032	HZK19_RS01545	DR083_RS03590
OG0000032	HZK19_RS03395	DR083_RS03215
OG0000034	HZK19_RS03770	DR083_RS04525
OG0000034	HZK19_RS03775	DR083_RS04530
OG0000035	HZK19_RS03235	DR083_RS03445
OG0000036	HZK19_RS00100, HZK19_RS03705, HZK19_RS03710	DR083_RS03040
OG0000037	HZK19_RS01550	DR083_RS04925
OG0000039	HZK19_RS01580	DR083_RS03505
OG0000040	HZK19_RS03325	DR083_RS02780
OG0000041	HZK19_RS01160	DR083_RS01935
OG0000042	HZK19_RS02900	DR083_RS00730
OG0000043	HZK19_RS01875	DR083_RS01520
OG0000044	HZK19_RS03955	DR083_RS04960
OG0000044	HZK19_RS01755	DR083_RS02245
OG0000045	HZK19_RS01585	DR083_RS03515
OG0000047	HZK19_RS03090	DR083_RS02945
OG0000048	HZK19_RS02065	DR083_RS02860
OG0000049	HZK19_RS02995	DR083_RS01660
OG0000050	HZK19_RS02415	DR083_RS00350
OG0000051	HZK19_RS02620	DR083_RS02195
OG0000052	HZK19_RS00075	DR083_RS02690
OG0000053	HZK19_RS01415	DR083_RS04665
OG0000054	HZK19_RS02440	DR083_RS00375
OG0000055	HZK19_RS00120	DR083_RS00005
OG0000057	HZK19_RS02885	DR083_RS03975, DR083_RS03980
OG0000058	HZK19_RS03015	DR083_RS02505
OG0000058	HZK19_RS03020	DR083_RS02510
OG0000060	HZK19_RS00080	DR083_RS02685
OG0000061	HZK19_RS01820	DR083_RS02315
OG0000062	HZK19_RS03630	DR083_RS00865
OG0000063	HZK19_RS03625	DR083_RS04645
OG0000064	HZK19_RS03615	DR083_RS00850
OG0000065	HZK19_RS02220	DR083_RS02715
OG0000066	HZK19_RS01320	DR083_RS01130
OG0000067	HZK19_RS00515	DR083_RS02350
OG0000068	HZK19_RS00635	DR083_RS03160
OG0000069	HZK19_RS02780	DR083_RS00605
OG0000070	HZK19_RS02445	DR083_RS00380
OG0000071	HZK19_RS03315	DR083_RS02790
OG0000072	HZK19_RS03320	DR083_RS04820
OG0000073	HZK19_RS00680	DR083_RS01265
OG0000074	HZK19_RS00875	DR083_RS04700
OG0000075	HZK19_RS00325	DR083_RS00220
OG0000076	HZK19_RS00340	DR083_RS00235
OG0000077	HZK19_RS00425	DR083_RS03235
OG0000078	HZK19_RS01645	DR083_RS02075
OG0000079	HZK19_RS02525	DR083_RS01845
OG0000080	HZK19_RS02570	DR083_RS04190
OG0000081	HZK19_RS00320	DR083_RS00215
OG0000083	HZK19_RS01985	DR083_RS01625
OG0000084	HZK19_RS02015	DR083_RS02910
OG0000085	HZK19_RS02020	DR083_RS02905
OG0000086	HZK19_RS02030	DR083_RS02895
OG0000087	HZK19_RS02045	DR083_RS02880
OG0000088	HZK19_RS02050	DR083_RS02875
OG0000089	HZK19_RS02060	DR083_RS02865
OG0000090	HZK19_RS00070	DR083_RS02695
OG0000091	HZK19_RS00055	DR083_RS00955
OG0000092	HZK19_RS00040	DR083_RS00940
OG0000093	HZK19_RS00035	DR083_RS00935
OG0000094	HZK19_RS00030	DR083_RS00930
OG0000095	HZK19_RS00005	DR083_RS00905
OG0000096	HZK19_RS03665	DR083_RS00900
OG0000097	HZK19_RS03645	DR083_RS00880
OG0000098	HZK19_RS03635	DR083_RS00870
OG0000099	HZK19_RS03585	DR083_RS04630
OG0000100	HZK19_RS03570	DR083_RS00805
OG0000101	HZK19_RS03565	DR083_RS00800
OG0000102	HZK19_RS01675	DR083_RS02100
OG0000103	HZK19_RS02185	DR083_RS02750
OG0000104	HZK19_RS02190	DR083_RS02745
OG0000105	HZK19_RS02205	DR083_RS02730
OG0000106	HZK19_RS02215	DR083_RS02720
OG0000107	HZK19_RS02225	DR083_RS02710
OG0000108	HZK19_RS02230	DR083_RS02705
OG0000109	HZK19_RS02235	DR083_RS02700
OG0000110	HZK19_RS02355	DR083_RS03140
OG0000111	HZK19_RS02350	DR083_RS03135
OG0000112	HZK19_RS02340	DR083_RS03125
OG0000113	HZK19_RS02320	DR083_RS03315
OG0000114	HZK19_RS02310	DR083_RS03305
OG0000115	HZK19_RS02300	DR083_RS03290
OG0000116	HZK19_RS01265	DR083_RS01185
OG0000117	HZK19_RS01270	DR083_RS01180
OG0000118	HZK19_RS01305	DR083_RS01145
OG0000119	HZK19_RS01310	DR083_RS01140
OG0000120	HZK19_RS01325	DR083_RS01125
OG0000121	HZK19_RS01350	DR083_RS01100
OG0000122	HZK19_RS01355	DR083_RS01095
OG0000123	HZK19_RS01375	DR083_RS01075
OG0000124	HZK19_RS01380	DR083_RS01070
OG0000125	HZK19_RS01385	DR083_RS01065
OG0000126	HZK19_RS01395	DR083_RS01055
OG0000127	HZK19_RS01405	DR083_RS01045
OG0000128	HZK19_RS01420	DR083_RS01030
OG0000129	HZK19_RS01425	DR083_RS01025
OG0000130	HZK19_RS01435	DR083_RS01015
OG0000131	HZK19_RS01465	DR083_RS00985
OG0000132	HZK19_RS01480	DR083_RS04660
OG0000133	HZK19_RS00520	DR083_RS02355
OG0000134	HZK19_RS00525	DR083_RS04790
OG0000135	HZK19_RS00540	DR083_RS02375
OG0000136	HZK19_RS00545	DR083_RS02380
OG0000137	HZK19_RS00575	DR083_RS02420
OG0000138	HZK19_RS00610	DR083_RS03185
OG0000139	HZK19_RS00640	DR083_RS03155
OG0000140	HZK19_RS00645	DR083_RS03150
OG0000141	HZK19_RS02895	DR083_RS00725
OG0000142	HZK19_RS02890	DR083_RS04625
OG0000143	HZK19_RS02870	DR083_RS00695
OG0000144	HZK19_RS02860	DR083_RS00685
OG0000145	HZK19_RS02850	DR083_RS00675
OG0000146	HZK19_RS02840	DR083_RS00665
OG0000147	HZK19_RS02835	DR083_RS00660
OG0000148	HZK19_RS02820	DR083_RS00645
OG0000149	HZK19_RS02810	DR083_RS00635
OG0000150	HZK19_RS02795	DR083_RS00620
OG0000151	HZK19_RS02750	DR083_RS00575
OG0000152	HZK19_RS02745	DR083_RS00570
OG0000153	HZK19_RS02740	DR083_RS00565
OG0000154	HZK19_RS02730	DR083_RS00555
OG0000155	HZK19_RS02690	DR083_RS03340
OG0000156	HZK19_RS02680	DR083_RS02140
OG0000157	HZK19_RS02675	DR083_RS04765
OG0000158	HZK19_RS03895	DR083_RS04770
OG0000159	HZK19_RS03970	DR083_RS04945
OG0000160	HZK19_RS02425	DR083_RS00360
OG0000161	HZK19_RS02420	DR083_RS00355
OG0000162	HZK19_RS02410	DR083_RS00345
OG0000163	HZK19_RS02405	DR083_RS00340
OG0000164	HZK19_RS01575	DR083_RS03555
OG0000165	HZK19_RS01905	DR083_RS01545
OG0000166	HZK19_RS01925	DR083_RS01565
OG0000167	HZK19_RS01940	DR083_RS01580
OG0000168	HZK19_RS01945	DR083_RS01585
OG0000169	HZK19_RS02990	DR083_RS01655
OG0000170	HZK19_RS03005	DR083_RS01670
OG0000171	HZK19_RS03110	DR083_RS01680
OG0000172	HZK19_RS03115	DR083_RS01690
OG0000173	HZK19_RS03120	DR083_RS01695
OG0000174	HZK19_RS03125	DR083_RS01700
OG0000175	HZK19_RS03140	DR083_RS01715
OG0000176	HZK19_RS03190	DR083_RS01765
OG0000177	HZK19_RS03195	DR083_RS01770
OG0000178	HZK19_RS03200	DR083_RS01775
OG0000179	HZK19_RS03210	DR083_RS01785
OG0000180	HZK19_RS03215	DR083_RS01790
OG0000181	HZK19_RS03265	DR083_RS04830
OG0000182	HZK19_RS03275	DR083_RS02830
OG0000183	HZK19_RS03310	DR083_RS02795
OG0000184	HZK19_RS03355	DR083_RS03100
OG0000185	HZK19_RS03340	DR083_RS03085
OG0000186	HZK19_RS01490	DR083_RS04900
OG0000187	HZK19_RS01505	DR083_RS03415
OG0000188	HZK19_RS01515	DR083_RS03405
OG0000189	HZK19_RS02270	DR083_RS04865
OG0000190	HZK19_RS02265	DR083_RS03025
OG0000191	HZK19_RS02245	DR083_RS03005
OG0000192	HZK19_RS01180	DR083_RS02475
OG0000193	HZK19_RS01175	DR083_RS02490
OG0000194	HZK19_RS00665	DR083_RS01250
OG0000195	HZK19_RS00670	DR083_RS01255
OG0000196	HZK19_RS00690	DR083_RS01275
OG0000197	HZK19_RS00695	DR083_RS01280
OG0000198	HZK19_RS00710	DR083_RS01295
OG0000199	HZK19_RS00715	DR083_RS01300
OG0000200	HZK19_RS00730	DR083_RS01315
OG0000201	HZK19_RS00740	DR083_RS01325
OG0000202	HZK19_RS00795	DR083_RS04685
OG0000203	HZK19_RS00800	DR083_RS01385
OG0000204	HZK19_RS00805	DR083_RS01390
OG0000205	HZK19_RS00810	DR083_RS01395
OG0000206	HZK19_RS00830	DR083_RS01415
OG0000207	HZK19_RS00845	DR083_RS01430
OG0000208	HZK19_RS00850	DR083_RS01435
OG0000209	HZK19_RS00855	DR083_RS01440
OG0000210	HZK19_RS00900	DR083_RS02680
OG0000211	HZK19_RS00910	DR083_RS02670
OG0000212	HZK19_RS00920	DR083_RS02660
OG0000213	HZK19_RS00925	DR083_RS02655
OG0000214	HZK19_RS00930	DR083_RS02650
OG0000215	HZK19_RS00935	DR083_RS02645
OG0000216	HZK19_RS00940	DR083_RS02640
OG0000217	HZK19_RS00945	DR083_RS02635
OG0000218	HZK19_RS00955	DR083_RS02625
OG0000219	HZK19_RS00960	DR083_RS02620
OG0000220	HZK19_RS00965	DR083_RS02615
OG0000221	HZK19_RS00970	DR083_RS02610
OG0000222	HZK19_RS00975	DR083_RS02605
OG0000223	HZK19_RS00980	DR083_RS02600
OG0000224	HZK19_RS00990	DR083_RS02590
OG0000225	HZK19_RS01000	DR083_RS02580
OG0000226	HZK19_RS01005	DR083_RS02575
OG0000227	HZK19_RS01010	DR083_RS02570
OG0000228	HZK19_RS03950	DR083_RS05030
OG0000229	HZK19_RS01020	DR083_RS02560
OG0000230	HZK19_RS01025	DR083_RS02555
OG0000231	HZK19_RS01035	DR083_RS02545
OG0000232	HZK19_RS01045	DR083_RS02535
OG0000233	HZK19_RS01070	DR083_RS02035
OG0000234	HZK19_RS01105	DR083_RS01995
OG0000235	HZK19_RS01115	DR083_RS01985
OG0000236	HZK19_RS01120	DR083_RS01980
OG0000237	HZK19_RS01125	DR083_RS01975
OG0000238	HZK19_RS01130	DR083_RS01965
OG0000239	HZK19_RS02905	DR083_RS00735
OG0000240	HZK19_RS02910	DR083_RS00740
OG0000241	HZK19_RS02920	DR083_RS00750
OG0000242	HZK19_RS02925	DR083_RS00755
OG0000243	HZK19_RS02930	DR083_RS00760
OG0000244	HZK19_RS02940	DR083_RS00770
OG0000245	HZK19_RS02950	DR083_RS00780
OG0000246	HZK19_RS00125	DR083_RS00010
OG0000247	HZK19_RS00135	DR083_RS00020
OG0000248	HZK19_RS00145	DR083_RS00030
OG0000249	HZK19_RS00150	DR083_RS00035
OG0000250	HZK19_RS00165	DR083_RS00050
OG0000251	HZK19_RS00195	DR083_RS00085
OG0000252	HZK19_RS00205	DR083_RS00095
OG0000253	HZK19_RS00210	DR083_RS00100
OG0000254	HZK19_RS00220	DR083_RS00110
OG0000255	HZK19_RS00225	DR083_RS00120
OG0000256	HZK19_RS00230	DR083_RS00125
OG0000257	HZK19_RS00255	DR083_RS00150
OG0000258	HZK19_RS00265	DR083_RS00160
OG0000259	HZK19_RS00295	DR083_RS00190
OG0000260	HZK19_RS00305	DR083_RS00200
OG0000261	HZK19_RS00315	DR083_RS04585
OG0000262	HZK19_RS00330	DR083_RS00225
OG0000263	HZK19_RS00345	DR083_RS00240
OG0000264	HZK19_RS00360	DR083_RS00255
OG0000265	HZK19_RS00370	DR083_RS00265
OG0000266	HZK19_RS00385	DR083_RS00280
OG0000267	HZK19_RS00400	DR083_RS00295
OG0000268	HZK19_RS00405	DR083_RS00300
OG0000269	HZK19_RS00420	DR083_RS03225
OG0000270	HZK19_RS03540	DR083_RS04615
OG0000271	HZK19_RS03535	DR083_RS00515
OG0000272	HZK19_RS03530	DR083_RS00510
OG0000273	HZK19_RS03525	DR083_RS00505
OG0000274	HZK19_RS03505	DR083_RS00485
OG0000275	HZK19_RS03500	DR083_RS04605
OG0000276	HZK19_RS03495	DR083_RS00475
OG0000277	HZK19_RS03485	DR083_RS00465
OG0000278	HZK19_RS03480	DR083_RS00460
OG0000279	HZK19_RS03470	DR083_RS00450
OG0000280	HZK19_RS03465	DR083_RS00445
OG0000281	HZK19_RS03460	DR083_RS00440
OG0000282	HZK19_RS03435	DR083_RS04595
OG0000283	HZK19_RS03430	DR083_RS00410
OG0000284	HZK19_RS03425	DR083_RS00405
OG0000285	HZK19_RS03420	DR083_RS04590
OG0000286	HZK19_RS02390	DR083_RS00325
OG0000287	HZK19_RS02485	DR083_RS01805
OG0000288	HZK19_RS02495	DR083_RS01815
OG0000289	HZK19_RS02500	DR083_RS01820
OG0000290	HZK19_RS02610	DR083_RS02205
OG0000291	HZK19_RS02600	DR083_RS01920
OG0000292	HZK19_RS02595	DR083_RS01915
OG0000293	HZK19_RS02590	DR083_RS01910
OG0000294	HZK19_RS02580	DR083_RS01900
OG0000295	HZK19_RS02575	DR083_RS01895
OG0000296	HZK19_RS02535	DR083_RS01855
OG0000297	HZK19_RS02530	DR083_RS01850
OG0000298	HZK19_RS00160	DR083_RS00045
OG0000299	HZK19_RS00180	DR083_RS00070
OG0000300	HZK19_RS00355	DR083_RS00250
OG0000301	HZK19_RS00390	DR083_RS00285
OG0000302	HZK19_RS00395	DR083_RS00290
OG0000303	HZK19_RS00550	DR083_RS02385
OG0000304	HZK19_RS01055	DR083_RS02530
OG0000305	HZK19_RS02845	DR083_RS00670
OG0000306	HZK19_RS02770	DR083_RS00595
OG0000307	HZK19_RS02735	DR083_RS00560
OG0000308	HZK19_RS02635	DR083_RS02185
OG0000309	HZK19_RS02565	DR083_RS01885
OG0000310	HZK19_RS02490	DR083_RS01810
OG0000311	HZK19_RS02450	DR083_RS00385
OG0000312	HZK19_RS02435	DR083_RS00370
OG0000313	HZK19_RS01565	DR083_RS03565
OG0000314	HZK19_RS01920	DR083_RS01560
OG0000315	HZK19_RS01950	DR083_RS01590
OG0000316	HZK19_RS01960	DR083_RS01600
OG0000317	HZK19_RS02055	DR083_RS02870
OG0000318	HZK19_RS01965	DR083_RS04715
OG0000319	HZK19_RS02200	DR083_RS02735
OG0000320	HZK19_RS02330	DR083_RS03115
OG0000321	HZK19_RS01300	DR083_RS01150
OG0000322	HZK19_RS01345	DR083_RS01105
OG0000323	HZK19_RS01475	DR083_RS00975
OG0000324	HZK19_RS02240	DR083_RS03000
OG0000325	HZK19_RS00675	DR083_RS01260
OG0000326	HZK19_RS00770	DR083_RS01355
OG0000327	HZK19_RS00775	DR083_RS01360
OG0000328	HZK19_RS00860	DR083_RS01445
OG0000329	HZK19_RS00880	DR083_RS01470
OG0000330	HZK19_RS01080	DR083_RS02020
OG0000331	HZK19_RS02935	DR083_RS00765
OG0000332	HZK19_RS03150	DR083_RS01725
OG0000333	HZK19_RS03160	DR083_RS01735
OG0000334	HZK19_RS03270	DR083_RS02835
OG0000335	HZK19_RS03280	DR083_RS02825
OG0000336	HZK19_RS03450	DR083_RS04600
OG0000337	HZK19_RS03620	DR083_RS00855
OG0000338	HZK19_RS03660	DR083_RS00895
OG0000339	HZK19_RS02305	DR083_RS03295
OG0000340	HZK19_RS01280	DR083_RS01170
OG0000341	HZK19_RS02260	DR083_RS03020
OG0000342	HZK19_RS00705	DR083_RS01290
OG0000343	HZK19_RS03170	DR083_RS01745
OG0000344	HZK19_RS00565	DR083_RS02400
OG0000345	HZK19_RS00995	DR083_RS02585
OG0000346	HZK19_RS03455	DR083_RS04950
OG0000347	HZK19_RS01370	DR083_RS01080
OG0000348	HZK19_RS00780	DR083_RS01365
OG0000349	HZK19_RS03515	DR083_RS04610
OG0000350	HZK19_RS02725	DR083_RS00550
OG0000351	HZK19_RS00480	DR083_RS03285
OG0000352	HZK19_RS01895	DR083_RS01540
OG0000353	HZK19_RS01340	DR083_RS01110
OG0000354	HZK19_RS00625	DR083_RS03170
OG0000355	HZK19_RS01870	DR083_RS04705
OG0000356	HZK19_RS01955	DR083_RS04710
OG0000357	HZK19_RS03130	DR083_RS04740
OG0000358	HZK19_RS03135	DR083_RS01710
OG0000359	HZK19_RS00750	DR083_RS04680
OG0000360	HZK19_RS00260	DR083_RS00155
OG0000361	HZK19_RS00290	DR083_RS00185
OG0000362	HZK19_RS02510	DR083_RS01830
OG0000363	HZK19_RS03730	DR083_RS04670
OG0000364	HZK19_RS03760	DR083_RS03850
OG0000365	HZK19_RS02000	DR083_RS03815
OG0000366	HZK19_RS02025	DR083_RS02900
OG0000367	HZK19_RS02035	DR083_RS02890
OG0000368	HZK19_RS00060	DR083_RS05110
OG0000369	HZK19_RS00025	DR083_RS04650
OG0000370	HZK19_RS00020	DR083_RS00920
OG0000371	HZK19_RS00015	DR083_RS00915
OG0000372	HZK19_RS00010	DR083_RS00910
OG0000373	HZK19_RS03650	DR083_RS00885
OG0000374	HZK19_RS03640	DR083_RS00875
OG0000375	HZK19_RS02195	DR083_RS02740
OG0000376	HZK19_RS02345	DR083_RS03130
OG0000377	HZK19_RS02335	DR083_RS03120
OG0000378	HZK19_RS01260	DR083_RS01190
OG0000379	HZK19_RS01335	DR083_RS01115
OG0000380	HZK19_RS01360	DR083_RS01090
OG0000381	HZK19_RS01400	DR083_RS01050
OG0000382	HZK19_RS01430	DR083_RS01020
OG0000383	HZK19_RS01470	DR083_RS00980
OG0000384	HZK19_RS00505	DR083_RS02340
OG0000385	HZK19_RS00510	DR083_RS02345
OG0000386	HZK19_RS00530	DR083_RS02365
OG0000387	HZK19_RS00555	DR083_RS02390
OG0000388	HZK19_RS00560	DR083_RS04795
OG0000390	HZK19_RS02865	DR083_RS00690
OG0000391	HZK19_RS02855	DR083_RS00680
OG0000392	HZK19_RS02830	DR083_RS00655
OG0000393	HZK19_RS02775	DR083_RS04620
OG0000394	HZK19_RS02700	DR083_RS03350
OG0000395	HZK19_RS02695	DR083_RS03345
OG0000396	HZK19_RS02395	DR083_RS00330
OG0000397	HZK19_RS01880	DR083_RS01525
OG0000398	HZK19_RS01885	DR083_RS01530
OG0000399	HZK19_RS01935	DR083_RS01575
OG0000400	HZK19_RS03000	DR083_RS01665
OG0000401	HZK19_RS03155	DR083_RS01730
OG0000402	HZK19_RS03165	DR083_RS01740
OG0000403	HZK19_RS03175	DR083_RS01750
OG0000404	HZK19_RS03205	DR083_RS01780
OG0000406	HZK19_RS03285	DR083_RS02820
OG0000407	HZK19_RS03290	DR083_RS04825
OG0000408	HZK19_RS03295	DR083_RS02810
OG0000409	HZK19_RS03300	DR083_RS02805
OG0000410	HZK19_RS03360	DR083_RS03105
OG0000411	HZK19_RS03350	DR083_RS03095
OG0000412	HZK19_RS03345	DR083_RS03090
OG0000413	HZK19_RS01485	DR083_RS03435
OG0000414	HZK19_RS01495	DR083_RS03425
OG0000415	HZK19_RS01500	DR083_RS03420
OG0000416	HZK19_RS01510	DR083_RS03410
OG0000417	HZK19_RS02255	DR083_RS03015
OG0000418	HZK19_RS02250	DR083_RS03010
OG0000419	HZK19_RS00685	DR083_RS01270
OG0000420	HZK19_RS00720	DR083_RS01305
OG0000421	HZK19_RS00755	DR083_RS01340
OG0000422	HZK19_RS00765	DR083_RS01350
OG0000423	HZK19_RS00820	DR083_RS01405
OG0000424	HZK19_RS00825	DR083_RS01410
OG0000425	HZK19_RS00835	DR083_RS01420
OG0000426	HZK19_RS00840	DR083_RS04690
OG0000427	HZK19_RS00865	DR083_RS04695
OG0000428	HZK19_RS00890	DR083_RS01475
OG0000429	HZK19_RS00985	DR083_RS02595
OG0000430	HZK19_RS01030	DR083_RS02550
OG0000431	HZK19_RS01040	DR083_RS02540
OG0000432	HZK19_RS01075	DR083_RS02025
OG0000433	HZK19_RS01090	DR083_RS02010
OG0000434	HZK19_RS01095	DR083_RS02005
OG0000435	HZK19_RS01110	DR083_RS01990
OG0000436	HZK19_RS01135	DR083_RS01960
OG0000437	HZK19_RS01145	DR083_RS01950
OG0000438	HZK19_RS01150	DR083_RS01945
OG0000439	HZK19_RS01155	DR083_RS04745
OG0000440	HZK19_RS02915	DR083_RS00745
OG0000441	HZK19_RS02955	DR083_RS00785
OG0000442	HZK19_RS00130	DR083_RS00015
OG0000443	HZK19_RS00175	DR083_RS00065
OG0000444	HZK19_RS00190	DR083_RS00080
OG0000445	HZK19_RS00215	DR083_RS00105
OG0000446	HZK19_RS00240	DR083_RS00135
OG0000447	HZK19_RS00245	DR083_RS00140
OG0000448	HZK19_RS00275	DR083_RS00170
OG0000449	HZK19_RS00300	DR083_RS00195
OG0000450	HZK19_RS00310	DR083_RS00205
OG0000451	HZK19_RS00350	DR083_RS00245
OG0000452	HZK19_RS00375	DR083_RS00270
OG0000453	HZK19_RS00410	DR083_RS00305
OG0000455	HZK19_RS03560	DR083_RS00795
OG0000456	HZK19_RS03440	DR083_RS00420
OG0000457	HZK19_RS03415	DR083_RS00395
OG0000458	HZK19_RS02480	DR083_RS01800
OG0000459	HZK19_RS02505	DR083_RS01825
OG0000460	HZK19_RS02520	DR083_RS01835
OG0000461	HZK19_RS02560	DR083_RS01880
OG0000462	HZK19_RS02555	DR083_RS01875
OG0000463	HZK19_RS02550	DR083_RS01870
OG0000465	HZK19_RS02545	DR083_RS01860
OG0000466	HZK19_RS00380	DR083_RS00275
OG0000467	HZK19_RS02645	DR083_RS04780
OG0000468	HZK19_RS01930	DR083_RS01570
OG0000469	HZK19_RS01990	DR083_RS01630
OG0000470	HZK19_RS00815	DR083_RS03825
OG0000471	HZK19_RS00895	DR083_RS03775
OG0000472	HZK19_RS03370	DR083_RS02975
OG0000473	HZK19_RS03545	DR083_RS00525
OG0000474	HZK19_RS03550	DR083_RS00530
OG0000476	HZK19_RS01520	DR083_RS03485
OG0000477	HZK19_RS02585	DR083_RS01905
OG0000478	HZK19_RS03490	DR083_RS00470
OG0000479	HZK19_RS01295	DR083_RS01155
OG0000480	HZK19_RS01995	DR083_RS03830
OG0000481	HZK19_RS00790	DR083_RS01375
OG0000483	HZK19_RS02040	DR083_RS02885
OG0000484	HZK19_RS00185	DR083_RS04580
OG0000485	HZK19_RS01140	DR083_RS01955
OG0000486	HZK19_RS02275	DR083_RS03035
OG0000487	HZK19_RS01970	DR083_RS04720
OG0000489	HZK19_RS00050	DR083_RS00950
OG0000490	HZK19_RS03655	DR083_RS00890
OG0000491	HZK19_RS01315	DR083_RS01135
OG0000492	HZK19_RS01390	DR083_RS01060
OG0000493	HZK19_RS00570	DR083_RS02405
OG0000494	HZK19_RS00630	DR083_RS03165
OG0000495	HZK19_RS02800	DR083_RS00625
OG0000496	HZK19_RS02790	DR083_RS00615
OG0000497	HZK19_RS02785	DR083_RS00610
OG0000498	HZK19_RS02705	DR083_RS03355
OG0000499	HZK19_RS02670	DR083_RS02150
OG0000500	HZK19_RS01890	DR083_RS01535
OG0000501	HZK19_RS03010	DR083_RS01675
OG0000502	HZK19_RS01165	DR083_RS02495
OG0000503	HZK19_RS00735	DR083_RS01320
OG0000504	HZK19_RS00870	DR083_RS01455
OG0000505	HZK19_RS00905	DR083_RS02675
OG0000506	HZK19_RS00915	DR083_RS02665
OG0000507	HZK19_RS00950	DR083_RS02630
OG0000508	HZK19_RS00235	DR083_RS00130
OG0000509	HZK19_RS00270	DR083_RS00165
OG0000510	HZK19_RS00280	DR083_RS00175
OG0000513	HZK19_RS03475	DR083_RS00455
OG0000514	HZK19_RS02825	DR083_RS00650
OG0000515	HZK19_RS01530	DR083_RS03495
OG0000516	HZK19_RS01975	DR083_RS04725
OG0000518	HZK19_RS03145	DR083_RS01720
OG0000519	HZK19_RS00760	DR083_RS01345
OG0000521	HZK19_RS00250	DR083_RS00145
OG0000522	HZK19_RS00285	DR083_RS00180
OG0000524	HZK19_RS02640	DR083_RS02180
OG0000525	HZK19_RS03375	DR083_RS04850
OG0000526	HZK19_RS03755	DR083_RS04265
OG0000527	HZK19_RS01730	DR083_RS02220
OG0000528	HZK19_RS01980	DR083_RS04730
OG0000529	HZK19_RS02210	DR083_RS02725
OG0000530	HZK19_RS02315	DR083_RS03310
OG0000531	HZK19_RS01365	DR083_RS01085
OG0000532	HZK19_RS01590	DR083_RS05100
OG0000533	HZK19_RS00590	DR083_RS03335
OG0000534	HZK19_RS00365	DR083_RS00260
OG0000535	HZK19_RS00045	DR083_RS04655
OG0000536	HZK19_RS03590	DR083_RS00825
OG0000537	HZK19_RS00700	DR083_RS01285
OG0000538	HZK19_RS01100	DR083_RS02000
