Orthogroup	MHP_ES2L_genes	MHP_168_genes
OG0000192	HZK19_RS01180	MHP168_RS01290
OG0000193	HZK19_RS01175	MHP168_RS01280
OG0000194	HZK19_RS00665	MHP168_RS00965
OG0000195	HZK19_RS00670	MHP168_RS00960
OG0000196	HZK19_RS00690	MHP168_RS00940
OG0000197	HZK19_RS00695	MHP168_RS00935
OG0000198	HZK19_RS00710	MHP168_RS00920
OG0000199	HZK19_RS00715	MHP168_RS00915
OG0000200	HZK19_RS00730	MHP168_RS00905
OG0000201	HZK19_RS00740	MHP168_RS00895
OG0000202	HZK19_RS00795	MHP168_RS00840
OG0000203	HZK19_RS00800	MHP168_RS00835
OG0000204	HZK19_RS00805	MHP168_RS00830
OG0000205	HZK19_RS00810	MHP168_RS00825
OG0000206	HZK19_RS00830	MHP168_RS00805
OG0000207	HZK19_RS00845	MHP168_RS00790
OG0000208	HZK19_RS00850	MHP168_RS00785
OG0000209	HZK19_RS00855	MHP168_RS00780
OG0000210	HZK19_RS00900	MHP168_RS00730
OG0000211	HZK19_RS00910	MHP168_RS00715
OG0000212	HZK19_RS00920	MHP168_RS00705
OG0000213	HZK19_RS00925	MHP168_RS03705
OG0000214	HZK19_RS00930	MHP168_RS00700
OG0000215	HZK19_RS00935	MHP168_RS00695
OG0000216	HZK19_RS00940	MHP168_RS00690
OG0000217	HZK19_RS00945	MHP168_RS00685
OG0000218	HZK19_RS00955	MHP168_RS00675
OG0000219	HZK19_RS00960	MHP168_RS00670
OG0000220	HZK19_RS00965	MHP168_RS00665
OG0000221	HZK19_RS00970	MHP168_RS00660
OG0000222	HZK19_RS00975	MHP168_RS00655
OG0000223	HZK19_RS00980	MHP168_RS00650
OG0000224	HZK19_RS00990	MHP168_RS00640
OG0000225	HZK19_RS01000	MHP168_RS00630
OG0000226	HZK19_RS01005	MHP168_RS00625
OG0000227	HZK19_RS01010	MHP168_RS00620
OG0000228	HZK19_RS03950	MHP168_RS04100
OG0000229	HZK19_RS01020	MHP168_RS00610
OG0000230	HZK19_RS01025	MHP168_RS00605
OG0000231	HZK19_RS01035	MHP168_RS00595
OG0000232	HZK19_RS01045	MHP168_RS00585
OG0000233	HZK19_RS01070	MHP168_RS01075
OG0000234	HZK19_RS01105	MHP168_RS01110
OG0000235	HZK19_RS01115	MHP168_RS01120
OG0000236	HZK19_RS01120	MHP168_RS01125
OG0000237	HZK19_RS01125	MHP168_RS01130
OG0000238	HZK19_RS01130	MHP168_RS01140
OG0000239	HZK19_RS02905	MHP168_RS02955
OG0000240	HZK19_RS02910	MHP168_RS02960
OG0000241	HZK19_RS02920	MHP168_RS02970
OG0000242	HZK19_RS02925	MHP168_RS02975
OG0000243	HZK19_RS02930	MHP168_RS02980
OG0000244	HZK19_RS02940	MHP168_RS02990
OG0000245	HZK19_RS02950	MHP168_RS03000
OG0000246	HZK19_RS00125	MHP168_RS00115
OG0000247	HZK19_RS00135	MHP168_RS00125
OG0000248	HZK19_RS00145	MHP168_RS00135
OG0000249	HZK19_RS00150	MHP168_RS00140
OG0000250	HZK19_RS00165	MHP168_RS00155
OG0000251	HZK19_RS00195	MHP168_RS00180
OG0000252	HZK19_RS00205	MHP168_RS00190
OG0000253	HZK19_RS00210	MHP168_RS00195
OG0000254	HZK19_RS00220	MHP168_RS00205
OG0000255	HZK19_RS00225	MHP168_RS00215
OG0000256	HZK19_RS00230	MHP168_RS00220
OG0000257	HZK19_RS00255	MHP168_RS00245
OG0000258	HZK19_RS00265	MHP168_RS00255
OG0000259	HZK19_RS00295	MHP168_RS00285
OG0000260	HZK19_RS00305	MHP168_RS00295
OG0000261	HZK19_RS00315	MHP168_RS00305
OG0000262	HZK19_RS00330	MHP168_RS00320
OG0000263	HZK19_RS00345	MHP168_RS00335
OG0000264	HZK19_RS00360	MHP168_RS00350
OG0000265	HZK19_RS00370	MHP168_RS00360
OG0000266	HZK19_RS00385	MHP168_RS00375
OG0000267	HZK19_RS00400	MHP168_RS00390
OG0000268	HZK19_RS00405	MHP168_RS00395
OG0000269	HZK19_RS00420	MHP168_RS00410
OG0000270	HZK19_RS03540	MHP168_RS03460
OG0000271	HZK19_RS03535	MHP168_RS03455
OG0000272	HZK19_RS03530	MHP168_RS03450
OG0000273	HZK19_RS03525	MHP168_RS03445
OG0000274	HZK19_RS03505	MHP168_RS03425
OG0000275	HZK19_RS03500	MHP168_RS03420
OG0000276	HZK19_RS03495	MHP168_RS03415
OG0000277	HZK19_RS03485	MHP168_RS03405
OG0000278	HZK19_RS03480	MHP168_RS03400
OG0000279	HZK19_RS03470	MHP168_RS03390
OG0000280	HZK19_RS03465	MHP168_RS03385
OG0000281	HZK19_RS03460	MHP168_RS03790
OG0000282	HZK19_RS03435	MHP168_RS03360
OG0000283	HZK19_RS03430	MHP168_RS03355
OG0000284	HZK19_RS03425	MHP168_RS03350
OG0000285	HZK19_RS03420	MHP168_RS03345
OG0000286	HZK19_RS02390	MHP168_RS02425
OG0000287	HZK19_RS02485	MHP168_RS02525
OG0000288	HZK19_RS02495	MHP168_RS02535
OG0000289	HZK19_RS02500	MHP168_RS02540
OG0000290	HZK19_RS02610	MHP168_RS02650
OG0000291	HZK19_RS02600	MHP168_RS02640
OG0000292	HZK19_RS02595	MHP168_RS02635
OG0000293	HZK19_RS02590	MHP168_RS02630
OG0000294	HZK19_RS02580	MHP168_RS02620
OG0000295	HZK19_RS02575	MHP168_RS02615
OG0000296	HZK19_RS02535	MHP168_RS02575
OG0000297	HZK19_RS02530	MHP168_RS02570
OG0000298	HZK19_RS00160	MHP168_RS00150
OG0000299	HZK19_RS00180	MHP168_RS03690
OG0000300	HZK19_RS00355	MHP168_RS00345
OG0000301	HZK19_RS00390	MHP168_RS00380
OG0000302	HZK19_RS00395	MHP168_RS00385
OG0000303	HZK19_RS00550	MHP168_RS00540
OG0000304	HZK19_RS01055	MHP168_RS00580
OG0000305	HZK19_RS02845	MHP168_RS02890
OG0000306	HZK19_RS02770	MHP168_RS02810
OG0000307	HZK19_RS02735	MHP168_RS02775
OG0000308	HZK19_RS02635	MHP168_RS02675
OG0000309	HZK19_RS02565	MHP168_RS02605
OG0000310	HZK19_RS02490	MHP168_RS02530
OG0000311	HZK19_RS02450	MHP168_RS02485
OG0000312	HZK19_RS02435	MHP168_RS02470
OG0000313	HZK19_RS01565	MHP168_RS01820
OG0000314	HZK19_RS01920	MHP168_RS02030
OG0000315	HZK19_RS01950	MHP168_RS02060
OG0000316	HZK19_RS01960	MHP168_RS02070
OG0000317	HZK19_RS02055	MHP168_RS02205
OG0000318	HZK19_RS01965	MHP168_RS02075
OG0000319	HZK19_RS02200	MHP168_RS02145
OG0000320	HZK19_RS02330	MHP168_RS02360
OG0000321	HZK19_RS01300	MHP168_RS01420
OG0000322	HZK19_RS01345	MHP168_RS01465
OG0000323	HZK19_RS01475	MHP168_RS01595
OG0000324	HZK19_RS02240	MHP168_RS02270
OG0000325	HZK19_RS00675	MHP168_RS00955
OG0000326	HZK19_RS00770	MHP168_RS00865
OG0000327	HZK19_RS00775	MHP168_RS00860
OG0000328	HZK19_RS00860	MHP168_RS00775
OG0000329	HZK19_RS00880	MHP168_RS00750
OG0000330	HZK19_RS01080	MHP168_RS01085
OG0000331	HZK19_RS02935	MHP168_RS02985
OG0000332	HZK19_RS03150	MHP168_RS03095
OG0000333	HZK19_RS03160	MHP168_RS03105
OG0000334	HZK19_RS03270	MHP168_RS03205
OG0000335	HZK19_RS03280	MHP168_RS03215
OG0000336	HZK19_RS03450	MHP168_RS03375
OG0000337	HZK19_RS03620	MHP168_RS03615
OG0000338	HZK19_RS03660	MHP168_RS03655
OG0000339	HZK19_RS02305	MHP168_RS02330
OG0000340	HZK19_RS01280	MHP168_RS01395
OG0000341	HZK19_RS02260	MHP168_RS02290
OG0000342	HZK19_RS00705	MHP168_RS00925
OG0000343	HZK19_RS03170	MHP168_RS03115
OG0000344	HZK19_RS00565	MHP168_RS00555
OG0000345	HZK19_RS00995	MHP168_RS00635
OG0000346	HZK19_RS03455	MHP168_RS03380
OG0000347	HZK19_RS01370	MHP168_RS01490
OG0000348	HZK19_RS00780	MHP168_RS00855
OG0000349	HZK19_RS03515	MHP168_RS03435
OG0000350	HZK19_RS02725	MHP168_RS02765
OG0000351	HZK19_RS00480	MHP168_RS00475
OG0000352	HZK19_RS01895	MHP168_RS02005
OG0000353	HZK19_RS01340	MHP168_RS01460
OG0000354	HZK19_RS00625	MHP168_RS01015
OG0000355	HZK19_RS01870	MHP168_RS01975
OG0000356	HZK19_RS01955	MHP168_RS02065
OG0000357	HZK19_RS03130	MHP168_RS03075
OG0000358	HZK19_RS03135	MHP168_RS03080
OG0000359	HZK19_RS00750	MHP168_RS00885
OG0000360	HZK19_RS00260	MHP168_RS00250
OG0000361	HZK19_RS00290	MHP168_RS00280
OG0000362	HZK19_RS02510	MHP168_RS02550
OG0000363	HZK19_RS03730	MHP168_RS01530
OG0000364	HZK19_RS03760, HZK19_RS01855	MHP168_RS01955
OG0000365	HZK19_RS02000	MHP168_RS02260
OG0000366	HZK19_RS02025	MHP168_RS02235
OG0000367	HZK19_RS02035	MHP168_RS02225
OG0000368	HZK19_RS00060	MHP168_RS00060
OG0000369	HZK19_RS00025	MHP168_RS00025
OG0000370	HZK19_RS00020	MHP168_RS00020
OG0000371	HZK19_RS00015	MHP168_RS00015
OG0000372	HZK19_RS00010	MHP168_RS00010
OG0000373	HZK19_RS03650	MHP168_RS03645
OG0000374	HZK19_RS03640	MHP168_RS03635
OG0000375	HZK19_RS02195	MHP168_RS02150
OG0000376	HZK19_RS02345	MHP168_RS02375
OG0000377	HZK19_RS02335	MHP168_RS02365
OG0000378	HZK19_RS01260	MHP168_RS01375
OG0000379	HZK19_RS01335	MHP168_RS01455
OG0000380	HZK19_RS01360	MHP168_RS01480
OG0000381	HZK19_RS01400	MHP168_RS01520
OG0000382	HZK19_RS01430	MHP168_RS01550
OG0000383	HZK19_RS01470	MHP168_RS01590
OG0000384	HZK19_RS00505	MHP168_RS00495
OG0000385	HZK19_RS00510	MHP168_RS00500
OG0000386	HZK19_RS00530	MHP168_RS00520
OG0000387	HZK19_RS00555	MHP168_RS00545
OG0000388	HZK19_RS00560	MHP168_RS00550
OG0000389	HZK19_RS00605	MHP168_RS01035
OG0000390	HZK19_RS02865	MHP168_RS02910
OG0000391	HZK19_RS02855	MHP168_RS02900
OG0000392	HZK19_RS02830	MHP168_RS02875
OG0000393	HZK19_RS02775	MHP168_RS02815
OG0000394	HZK19_RS02700	MHP168_RS02740
OG0000395	HZK19_RS02695	MHP168_RS02735
OG0000396	HZK19_RS02395	MHP168_RS02430
OG0000397	HZK19_RS01880	MHP168_RS01990
OG0000398	HZK19_RS01885	MHP168_RS01995
OG0000399	HZK19_RS01935	MHP168_RS02045
OG0000400	HZK19_RS03000	MHP168_RS03040
OG0000401	HZK19_RS03155	MHP168_RS03100
OG0000402	HZK19_RS03165	MHP168_RS03110
OG0000403	HZK19_RS03175	MHP168_RS03120
OG0000404	HZK19_RS03205	MHP168_RS03150
OG0000405	HZK19_RS03220	MHP168_RS03165
OG0000406	HZK19_RS03285	MHP168_RS03220
OG0000407	HZK19_RS03290	MHP168_RS03225
OG0000408	HZK19_RS03295	MHP168_RS03230
OG0000409	HZK19_RS03300	MHP168_RS03235
OG0000410	HZK19_RS03360	MHP168_RS03290
OG0000411	HZK19_RS03350	MHP168_RS03280
OG0000412	HZK19_RS03345	MHP168_RS03275
OG0000413	HZK19_RS01485	MHP168_RS01605
OG0000414	HZK19_RS01495	MHP168_RS01615
OG0000415	HZK19_RS01500	MHP168_RS01620
OG0000416	HZK19_RS01510	MHP168_RS01630
OG0000417	HZK19_RS02255	MHP168_RS03990
OG0000418	HZK19_RS02250	MHP168_RS02280
OG0000419	HZK19_RS00685	MHP168_RS00945
OG0000420	HZK19_RS00720	MHP168_RS00910
OG0000421	HZK19_RS00755	MHP168_RS00880
OG0000422	HZK19_RS00765	MHP168_RS00870
OG0000423	HZK19_RS00820	MHP168_RS00815
OG0000424	HZK19_RS00825	MHP168_RS00810
OG0000425	HZK19_RS00835	MHP168_RS00800
OG0000426	HZK19_RS00840	MHP168_RS00795
OG0000427	HZK19_RS00865	MHP168_RS00770
OG0000428	HZK19_RS00890	MHP168_RS00740
OG0000429	HZK19_RS00985	MHP168_RS00645
OG0000430	HZK19_RS01030	MHP168_RS00600
OG0000431	HZK19_RS01040	MHP168_RS00590
OG0000432	HZK19_RS01075	MHP168_RS01080
OG0000433	HZK19_RS01090	MHP168_RS01095
OG0000434	HZK19_RS01095	MHP168_RS01100
OG0000435	HZK19_RS01110	MHP168_RS01115
OG0000436	HZK19_RS01135	MHP168_RS01145
OG0000437	HZK19_RS01145	MHP168_RS01155
OG0000438	HZK19_RS01150	MHP168_RS01160
OG0000439	HZK19_RS01155	MHP168_RS01165
OG0000440	HZK19_RS02915	MHP168_RS02965
OG0000441	HZK19_RS02955	MHP168_RS03010
OG0000442	HZK19_RS00130	MHP168_RS00120
OG0000443	HZK19_RS00175	MHP168_RS00165
OG0000444	HZK19_RS00190	MHP168_RS00175
OG0000445	HZK19_RS00215	MHP168_RS00200
OG0000446	HZK19_RS00240	MHP168_RS00230
OG0000447	HZK19_RS00245	MHP168_RS00235
OG0000448	HZK19_RS00275	MHP168_RS00265
OG0000449	HZK19_RS00300	MHP168_RS00290
OG0000450	HZK19_RS00310	MHP168_RS00300
OG0000451	HZK19_RS00350	MHP168_RS00340
OG0000452	HZK19_RS00375	MHP168_RS00365
OG0000453	HZK19_RS00410	MHP168_RS00400
OG0000455	HZK19_RS03560	MHP168_RS03480
OG0000456	HZK19_RS03440	MHP168_RS03365
OG0000457	HZK19_RS03415	MHP168_RS03340
OG0000458	HZK19_RS02480	MHP168_RS02520
OG0000459	HZK19_RS02505	MHP168_RS02545
OG0000460	HZK19_RS02520	MHP168_RS02555
OG0000461	HZK19_RS02560	MHP168_RS02600
OG0000462	HZK19_RS02555	MHP168_RS02595
OG0000463	HZK19_RS02550	MHP168_RS02590
OG0000465	HZK19_RS02545	MHP168_RS02580
OG0000466	HZK19_RS00380	MHP168_RS00370
OG0000467	HZK19_RS02645	MHP168_RS02685
OG0000468	HZK19_RS01930	MHP168_RS02040
OG0000469	HZK19_RS01990	MHP168_RS02100
OG0000470	HZK19_RS00815	MHP168_RS03855
OG0000471	HZK19_RS00895	MHP168_RS00735
OG0000472	HZK19_RS03370	MHP168_RS03300
OG0000473	HZK19_RS03545	MHP168_RS03465
OG0000474	HZK19_RS03550	MHP168_RS03470
OG0000475	HZK19_RS03555	MHP168_RS03475
OG0000476	HZK19_RS01520	MHP168_RS01640
OG0000477	HZK19_RS02585	MHP168_RS02625
OG0000478	HZK19_RS03490	MHP168_RS03410
OG0000479	HZK19_RS01295	MHP168_RS01415
OG0000480	HZK19_RS01995	MHP168_RS03890
OG0000481	HZK19_RS00790	MHP168_RS00845
OG0000483	HZK19_RS02040	MHP168_RS02220
OG0000484	HZK19_RS00185	MHP168_RS00170
OG0000485	HZK19_RS01140	MHP168_RS01150
OG0000486	HZK19_RS02275	MHP168_RS02305
OG0000487	HZK19_RS01970	MHP168_RS02080
OG0000488	HZK19_RS02010	MHP168_RS02250
OG0000489	HZK19_RS00050	MHP168_RS00050
OG0000490	HZK19_RS03655	MHP168_RS03650
OG0000491	HZK19_RS01315	MHP168_RS01435
OG0000492	HZK19_RS01390	MHP168_RS01510
OG0000493	HZK19_RS00570	MHP168_RS00560
OG0000494	HZK19_RS00630	MHP168_RS01010
OG0000495	HZK19_RS02800	MHP168_RS02845
OG0000496	HZK19_RS02790	MHP168_RS02835
OG0000497	HZK19_RS02785	MHP168_RS02830
OG0000498	HZK19_RS02705	MHP168_RS02745
OG0000499	HZK19_RS02670	MHP168_RS02710
OG0000500	HZK19_RS01890	MHP168_RS02000
OG0000501	HZK19_RS03010	MHP168_RS03050
OG0000502	HZK19_RS01165	MHP168_RS01275
OG0000503	HZK19_RS00735	MHP168_RS00900
OG0000505	HZK19_RS00905	MHP168_RS00720
OG0000506	HZK19_RS00915	MHP168_RS00710
OG0000507	HZK19_RS00950	MHP168_RS00680
OG0000508	HZK19_RS00235	MHP168_RS00225
OG0000509	HZK19_RS00270	MHP168_RS00260
OG0000510	HZK19_RS00280	MHP168_RS00270
OG0000511	HZK19_RS00415	MHP168_RS00405
OG0000513	HZK19_RS03475	MHP168_RS03395
OG0000514	HZK19_RS02825	MHP168_RS02870
OG0000515	HZK19_RS01530	MHP168_RS01650
OG0000516	HZK19_RS01975	MHP168_RS02085
OG0000518	HZK19_RS03145	MHP168_RS03090
