Orthogroup	MHP_ES2L_genes	MHP_7422_genes
OG0000219	HZK19_RS00960	MHL_RS01070
OG0000220	HZK19_RS00965	MHL_RS01075
OG0000221	HZK19_RS00970	MHL_RS01080
OG0000222	HZK19_RS00975	MHL_RS01085
OG0000223	HZK19_RS00980	MHL_RS01090
OG0000224	HZK19_RS00990	MHL_RS01100
OG0000225	HZK19_RS01000	MHL_RS01110
OG0000226	HZK19_RS01005	MHL_RS01115
OG0000227	HZK19_RS01010	MHL_RS01120
OG0000228	HZK19_RS03950	MHL_RS04215
OG0000229	HZK19_RS01020	MHL_RS01130
OG0000230	HZK19_RS01025	MHL_RS01135
OG0000231	HZK19_RS01035	MHL_RS01145
OG0000232	HZK19_RS01045	MHL_RS01155
OG0000233	HZK19_RS01070	MHL_RS01175
OG0000234	HZK19_RS01105	MHL_RS01210
OG0000235	HZK19_RS01115	MHL_RS01220
OG0000236	HZK19_RS01120	MHL_RS01225
OG0000237	HZK19_RS01125	MHL_RS01230
OG0000238	HZK19_RS01130	MHL_RS01240
OG0000239	HZK19_RS02905	MHL_RS02990
OG0000240	HZK19_RS02910	MHL_RS02995
OG0000241	HZK19_RS02920	MHL_RS03005
OG0000242	HZK19_RS02925	MHL_RS03010
OG0000243	HZK19_RS02930	MHL_RS03015
OG0000244	HZK19_RS02940	MHL_RS03025
OG0000245	HZK19_RS02950	MHL_RS03035
OG0000246	HZK19_RS00125	MHL_RS00145
OG0000247	HZK19_RS00135	MHL_RS00155
OG0000248	HZK19_RS00145	MHL_RS00165
OG0000249	HZK19_RS00150	MHL_RS00170
OG0000250	HZK19_RS00165	MHL_RS00185
OG0000251	HZK19_RS00195	MHL_RS00210
OG0000252	HZK19_RS00205	MHL_RS00220
OG0000253	HZK19_RS00210	MHL_RS00225
OG0000254	HZK19_RS00220	MHL_RS00235
OG0000255	HZK19_RS00225	MHL_RS00245
OG0000256	HZK19_RS00230	MHL_RS00250
OG0000257	HZK19_RS00255	MHL_RS00275
OG0000258	HZK19_RS00265	MHL_RS00285
OG0000259	HZK19_RS00295	MHL_RS00315
OG0000260	HZK19_RS00305	MHL_RS00325
OG0000261	HZK19_RS00315	MHL_RS00335
OG0000262	HZK19_RS00330	MHL_RS00350
OG0000263	HZK19_RS00345	MHL_RS00370
OG0000264	HZK19_RS00360	MHL_RS00380
OG0000265	HZK19_RS00370	MHL_RS00390
OG0000266	HZK19_RS00385	MHL_RS00405
OG0000267	HZK19_RS00400	MHL_RS00420
OG0000268	HZK19_RS00405	MHL_RS00425
OG0000269	HZK19_RS00420	MHL_RS00440
OG0000270	HZK19_RS03540	MHL_RS03490
OG0000271	HZK19_RS03535	MHL_RS03485
OG0000272	HZK19_RS03530	MHL_RS03480
OG0000273	HZK19_RS03525	MHL_RS03475
OG0000274	HZK19_RS03505	MHL_RS03455
OG0000275	HZK19_RS03500	MHL_RS03450
OG0000276	HZK19_RS03495	MHL_RS03445
OG0000277	HZK19_RS03485	MHL_RS03435
OG0000278	HZK19_RS03480	MHL_RS03430
OG0000279	HZK19_RS03470	MHL_RS03420
OG0000280	HZK19_RS03465	MHL_RS03415
OG0000281	HZK19_RS03460	MHL_RS03760
OG0000282	HZK19_RS03435	MHL_RS03390
OG0000283	HZK19_RS03430	MHL_RS03385
OG0000284	HZK19_RS03425	MHL_RS03380
OG0000285	HZK19_RS03420	MHL_RS03375
OG0000286	HZK19_RS02390	MHL_RS02485
OG0000287	HZK19_RS02485	MHL_RS02575
OG0000288	HZK19_RS02495	MHL_RS02585
OG0000289	HZK19_RS02500	MHL_RS02590
OG0000290	HZK19_RS02610	MHL_RS02700
OG0000291	HZK19_RS02600	MHL_RS02690
OG0000292	HZK19_RS02595	MHL_RS02685
OG0000293	HZK19_RS02590	MHL_RS02680
OG0000294	HZK19_RS02580	MHL_RS02670
OG0000295	HZK19_RS02575	MHL_RS02665
OG0000296	HZK19_RS02535	MHL_RS02625
OG0000297	HZK19_RS02530	MHL_RS02620
OG0000298	HZK19_RS00160	MHL_RS00180
OG0000299	HZK19_RS00180	MHL_RS03650
OG0000300	HZK19_RS00355	MHL_RS00375
OG0000301	HZK19_RS00390	MHL_RS00410
OG0000302	HZK19_RS00395	MHL_RS00415
OG0000303	HZK19_RS00550	MHL_RS00560
OG0000304	HZK19_RS01055	MHL_RS01160
OG0000305	HZK19_RS02845	MHL_RS02925
OG0000306	HZK19_RS02770	MHL_RS02850
OG0000307	HZK19_RS02735	MHL_RS02815
OG0000308	HZK19_RS02635	MHL_RS02720
OG0000309	HZK19_RS02565	MHL_RS02655
OG0000310	HZK19_RS02490	MHL_RS02580
OG0000311	HZK19_RS02450	MHL_RS02545
OG0000312	HZK19_RS02435	MHL_RS02530
OG0000313	HZK19_RS01565	MHL_RS01680
OG0000314	HZK19_RS01920	MHL_RS02030
OG0000315	HZK19_RS01950	MHL_RS02060
OG0000316	HZK19_RS01960	MHL_RS02070
OG0000317	HZK19_RS02055	MHL_RS02160
OG0000318	HZK19_RS01965	MHL_RS02075
OG0000319	HZK19_RS02200	MHL_RS02290
OG0000320	HZK19_RS02330	MHL_RS02425
OG0000321	HZK19_RS01300	MHL_RS01415
OG0000322	HZK19_RS01345	MHL_RS01460
OG0000323	HZK19_RS01475	MHL_RS01590
OG0000324	HZK19_RS02240	MHL_RS02335
OG0000325	HZK19_RS00675	MHL_RS00790
OG0000326	HZK19_RS00770	MHL_RS00880
OG0000327	HZK19_RS00775	MHL_RS00885
OG0000328	HZK19_RS00860	MHL_RS00970
OG0000329	HZK19_RS00880	MHL_RS00990
OG0000330	HZK19_RS01080	MHL_RS01185
OG0000331	HZK19_RS02935	MHL_RS03020
OG0000332	HZK19_RS03150	MHL_RS03120
OG0000333	HZK19_RS03160	MHL_RS03130
OG0000334	HZK19_RS03270	MHL_RS03230
OG0000335	HZK19_RS03280	MHL_RS03240
OG0000336	HZK19_RS03450	MHL_RS03405
OG0000337	HZK19_RS03620	MHL_RS03570
OG0000338	HZK19_RS03660	MHL_RS03610
OG0000339	HZK19_RS02305	MHL_RS02400
OG0000340	HZK19_RS01280	MHL_RS01395
OG0000341	HZK19_RS02260	MHL_RS02355
OG0000342	HZK19_RS00705	MHL_RS00820
OG0000343	HZK19_RS03170	MHL_RS03140
OG0000344	HZK19_RS00565	MHL_RS00580
OG0000345	HZK19_RS00995	MHL_RS01105
OG0000346	HZK19_RS03455	MHL_RS03410
OG0000347	HZK19_RS01370	MHL_RS01485
OG0000348	HZK19_RS00780	MHL_RS00890
OG0000349	HZK19_RS03515	MHL_RS03640
OG0000350	HZK19_RS02725	MHL_RS02805
OG0000351	HZK19_RS00480	MHL_RS00505
OG0000352	HZK19_RS01895	MHL_RS02010
OG0000353	HZK19_RS01340	MHL_RS01455
OG0000354	HZK19_RS00625	MHL_RS00725
OG0000355	HZK19_RS01870	MHL_RS01980
OG0000356	HZK19_RS01955	MHL_RS02065
OG0000357	HZK19_RS03130	MHL_RS03100
OG0000358	HZK19_RS03135	MHL_RS03105
OG0000359	HZK19_RS00750	MHL_RS00860
OG0000360	HZK19_RS00260	MHL_RS00280
OG0000361	HZK19_RS00290	MHL_RS00310
OG0000362	HZK19_RS02510	MHL_RS02600
OG0000363	HZK19_RS03730	MHL_RS03985
OG0000364	HZK19_RS03760	MHL_RS04025
OG0000364	HZK19_RS01855	MHL_RS01955
OG0000365	HZK19_RS02000	MHL_RS02105
OG0000366	HZK19_RS02025	MHL_RS02130
OG0000367	HZK19_RS02035	MHL_RS02140
OG0000368	HZK19_RS00060	MHL_RS00065
OG0000369	HZK19_RS00025	MHL_RS00030
OG0000370	HZK19_RS00020	MHL_RS00025
OG0000371	HZK19_RS00015	MHL_RS00020
OG0000372	HZK19_RS00010	MHL_RS00015
OG0000373	HZK19_RS03650	MHL_RS03605
OG0000374	HZK19_RS03640	MHL_RS03590
OG0000375	HZK19_RS02195	MHL_RS02285
OG0000376	HZK19_RS02345	MHL_RS02440
OG0000377	HZK19_RS02335	MHL_RS02430
OG0000378	HZK19_RS01260	MHL_RS01375
OG0000379	HZK19_RS01335	MHL_RS01450
OG0000380	HZK19_RS01360	MHL_RS01475
OG0000381	HZK19_RS01400	MHL_RS01515
OG0000382	HZK19_RS01430	MHL_RS01545
OG0000383	HZK19_RS01470	MHL_RS01585
OG0000384	HZK19_RS00505	MHL_RS00520
OG0000386	HZK19_RS00530	MHL_RS00540
OG0000387	HZK19_RS00555	MHL_RS00565
OG0000388	HZK19_RS00560	MHL_RS00570
OG0000389	HZK19_RS00605	MHL_RS00705
OG0000390	HZK19_RS02865	MHL_RS02945
OG0000391	HZK19_RS02855	MHL_RS02935
OG0000392	HZK19_RS02830	MHL_RS02910
OG0000393	HZK19_RS02775	MHL_RS02855
OG0000394	HZK19_RS02700	MHL_RS02780
OG0000395	HZK19_RS02695	MHL_RS02775
OG0000396	HZK19_RS02395	MHL_RS02490
OG0000397	HZK19_RS01880	MHL_RS01995
OG0000398	HZK19_RS01885	MHL_RS02000
OG0000399	HZK19_RS01935	MHL_RS02045
OG0000400	HZK19_RS03000	MHL_RS03065
OG0000401	HZK19_RS03155	MHL_RS03125
OG0000402	HZK19_RS03165	MHL_RS03135
OG0000403	HZK19_RS03175	MHL_RS03145
OG0000404	HZK19_RS03205	MHL_RS03175
OG0000405	HZK19_RS03220	MHL_RS03190
OG0000406	HZK19_RS03285	MHL_RS03245
OG0000407	HZK19_RS03290	MHL_RS03250
OG0000408	HZK19_RS03295	MHL_RS03255
OG0000409	HZK19_RS03300	MHL_RS03260
OG0000410	HZK19_RS03360	MHL_RS03315
OG0000411	HZK19_RS03350	MHL_RS03305
OG0000412	HZK19_RS03345	MHL_RS03300
OG0000413	HZK19_RS01485	MHL_RS01600
OG0000414	HZK19_RS01495	MHL_RS01610
OG0000415	HZK19_RS01500	MHL_RS01615
OG0000416	HZK19_RS01510	MHL_RS01625
OG0000417	HZK19_RS02255	MHL_RS02350
OG0000418	HZK19_RS02250	MHL_RS02345
OG0000419	HZK19_RS00685	MHL_RS00800
OG0000420	HZK19_RS00720	MHL_RS00835
OG0000421	HZK19_RS00755	MHL_RS00865
OG0000422	HZK19_RS00765	MHL_RS00875
OG0000423	HZK19_RS00820	MHL_RS00930
OG0000424	HZK19_RS00825	MHL_RS00935
OG0000425	HZK19_RS00835	MHL_RS00945
OG0000426	HZK19_RS00840	MHL_RS00950
OG0000427	HZK19_RS00865	MHL_RS00975
OG0000428	HZK19_RS00890	MHL_RS01000
OG0000429	HZK19_RS00985	MHL_RS01095
OG0000430	HZK19_RS01030	MHL_RS01140
OG0000431	HZK19_RS01040	MHL_RS01150
OG0000432	HZK19_RS01075	MHL_RS01180
OG0000433	HZK19_RS01090	MHL_RS01195
OG0000434	HZK19_RS01095	MHL_RS01200
OG0000435	HZK19_RS01110	MHL_RS01215
OG0000436	HZK19_RS01135	MHL_RS01245
OG0000437	HZK19_RS01145	MHL_RS01255
OG0000438	HZK19_RS01150	MHL_RS03965
OG0000439	HZK19_RS01155	MHL_RS01265
OG0000440	HZK19_RS02915	MHL_RS03000
OG0000441	HZK19_RS02955	MHL_RS03040
OG0000442	HZK19_RS00130	MHL_RS00150
OG0000443	HZK19_RS00175	MHL_RS00195
OG0000444	HZK19_RS00190	MHL_RS00205
OG0000445	HZK19_RS00215	MHL_RS00230
OG0000446	HZK19_RS00240	MHL_RS00260
OG0000447	HZK19_RS00245	MHL_RS00265
OG0000448	HZK19_RS00275	MHL_RS00295
OG0000449	HZK19_RS00300	MHL_RS00320
OG0000450	HZK19_RS00310	MHL_RS00330
OG0000452	HZK19_RS00375	MHL_RS00395
OG0000453	HZK19_RS00410	MHL_RS00430
OG0000455	HZK19_RS03560	MHL_RS03510
OG0000456	HZK19_RS03440	MHL_RS03395
OG0000457	HZK19_RS03415	MHL_RS03370
OG0000458	HZK19_RS02480	MHL_RS02570
OG0000459	HZK19_RS02505	MHL_RS02595
OG0000460	HZK19_RS02520	MHL_RS02605
OG0000461	HZK19_RS02560	MHL_RS02650
OG0000462	HZK19_RS02555	MHL_RS02645
OG0000463	HZK19_RS02550	MHL_RS02640
OG0000465	HZK19_RS02545	MHL_RS02630
OG0000466	HZK19_RS00380	MHL_RS00400
OG0000467	HZK19_RS02645	MHL_RS02730
OG0000468	HZK19_RS01930	MHL_RS02040
OG0000469	HZK19_RS01990	MHL_RS02100
OG0000470	HZK19_RS00815	MHL_RS03825
OG0000471	HZK19_RS00895	MHL_RS01005
OG0000472	HZK19_RS03370	MHL_RS03325
OG0000473	HZK19_RS03545	MHL_RS03495
OG0000474	HZK19_RS03550	MHL_RS03500
OG0000475	HZK19_RS03555	MHL_RS03505
OG0000476	HZK19_RS01520	MHL_RS01635
OG0000477	HZK19_RS02585	MHL_RS02675
OG0000478	HZK19_RS03490	MHL_RS03440
OG0000479	HZK19_RS01295	MHL_RS01410
OG0000480	HZK19_RS01995	MHL_RS03850
OG0000481	HZK19_RS00790	MHL_RS00900
OG0000483	HZK19_RS02040	MHL_RS02145
OG0000484	HZK19_RS00185	MHL_RS00200
OG0000485	HZK19_RS01140	MHL_RS01250
OG0000486	HZK19_RS02275	MHL_RS02370
OG0000487	HZK19_RS01970	MHL_RS02080
OG0000488	HZK19_RS02010	MHL_RS02115
OG0000489	HZK19_RS00050	MHL_RS00055
OG0000491	HZK19_RS01315	MHL_RS01430
OG0000492	HZK19_RS01390	MHL_RS01505
OG0000494	HZK19_RS00630	MHL_RS00730
OG0000495	HZK19_RS02800	MHL_RS02880
OG0000496	HZK19_RS02790	MHL_RS04090
OG0000497	HZK19_RS02785	MHL_RS02865
OG0000498	HZK19_RS02705	MHL_RS02785
OG0000499	HZK19_RS02670	MHL_RS02750
OG0000500	HZK19_RS01890	MHL_RS02005
OG0000501	HZK19_RS03010	MHL_RS03075
OG0000502	HZK19_RS01165	MHL_RS01285
OG0000503	HZK19_RS00735	MHL_RS00845
OG0000504	HZK19_RS00870	MHL_RS00980
OG0000505	HZK19_RS00905	MHL_RS01015
OG0000506	HZK19_RS00915	MHL_RS01025
OG0000507	HZK19_RS00950	MHL_RS01060
OG0000508	HZK19_RS00235	MHL_RS00255
OG0000509	HZK19_RS00270	MHL_RS00290
OG0000510	HZK19_RS00280	MHL_RS00300
OG0000511	HZK19_RS00415	MHL_RS00435
OG0000513	HZK19_RS03475	MHL_RS03425
OG0000514	HZK19_RS02825	MHL_RS02905
OG0000515	HZK19_RS01530	MHL_RS01925
OG0000516	HZK19_RS01975	MHL_RS02085
OG0000517	HZK19_RS00065	MHL_RS00070
OG0000518	HZK19_RS03145	MHL_RS03115
OG0000519	HZK19_RS00760	MHL_RS00870
OG0000520	HZK19_RS00885	MHL_RS00995
OG0000521	HZK19_RS00250	MHL_RS00270
OG0000522	HZK19_RS00285	MHL_RS00305
OG0000523	HZK19_RS03410	MHL_RS03365
OG0000524	HZK19_RS02640	MHL_RS02725
OG0000525	HZK19_RS03375	MHL_RS03330
OG0000526	HZK19_RS03755	MHL_RS04020
OG0000527	HZK19_RS01730	MHL_RS01840
OG0000528	HZK19_RS01980	MHL_RS02090
OG0000529	HZK19_RS02210	MHL_RS02300
OG0000530	HZK19_RS02315	MHL_RS02410
OG0000531	HZK19_RS01365	MHL_RS01480
OG0000532	HZK19_RS01590	MHL_RS01715
OG0000533	HZK19_RS00590	MHL_RS03945, MHL_RS03940
OG0000534	HZK19_RS00365	MHL_RS00385
