Orthogroup	MHP_ES2L_genes	MHP_131B_genes
OG0000019	HZK19_RS03850	NB627_RS03230
OG0000020	HZK19_RS03860	NB627_RS03755
OG0000020	HZK19_RS03600	NB627_RS03760
OG0000021	HZK19_RS01725	NB627_RS00615
OG0000022	HZK19_RS01625	NB627_RS01790
OG0000022	HZK19_RS01685	NB627_RS01845
OG0000023	HZK19_RS01285	NB627_RS01440
OG0000023	HZK19_RS03085	NB627_RS00500
OG0000024	HZK19_RS02710	NB627_RS02930
OG0000024	HZK19_RS01240	NB627_RS01395
OG0000025	HZK19_RS01630	NB627_RS01795
OG0000025	HZK19_RS01680	NB627_RS01840
OG0000026	HZK19_RS01330	NB627_RS01490
OG0000026	HZK19_RS01660	NB627_RS01820
OG0000027	HZK19_RS03390	NB627_RS03540
OG0000027	HZK19_RS03405	NB627_RS03555
OG0000028	HZK19_RS02380	NB627_RS02600, NB627_RS02595
OG0000029	HZK19_RS01065	NB627_RS01200
OG0000029	HZK19_RS00600	NB627_RS00720
OG0000030	HZK19_RS03380	NB627_RS03530
OG0000030	HZK19_RS03400	NB627_RS03550
OG0000031	HZK19_RS03025	NB627_RS00445
OG0000032	HZK19_RS01545	NB627_RS01700
OG0000032	HZK19_RS03395	NB627_RS03545
OG0000035	HZK19_RS03235	NB627_RS03400
OG0000035	HZK19_RS03225	NB627_RS03385
OG0000036	HZK19_RS00100	NB627_RS00115
OG0000036	HZK19_RS03705, HZK19_RS03710	NB627_RS00130
OG0000037	HZK19_RS01555	NB627_RS01710
OG0000037	HZK19_RS01550	NB627_RS01705
OG0000038	HZK19_RS01710	NB627_RS00605, NB627_RS01895
OG0000039	HZK19_RS01580	NB627_RS01740
OG0000040	HZK19_RS03325	NB627_RS03475
OG0000041	HZK19_RS01160	NB627_RS01300
OG0000042	HZK19_RS02900	NB627_RS03125
OG0000043	HZK19_RS01875	NB627_RS02055
OG0000044	HZK19_RS03955	NB627_RS01805
OG0000044	HZK19_RS01755	NB627_RS01925
OG0000045	HZK19_RS01585	NB627_RS01745
OG0000046	HZK19_RS03335	NB627_RS03485
OG0000047	HZK19_RS03090	NB627_RS00510
OG0000048	HZK19_RS02065	NB627_RS02245
OG0000049	HZK19_RS02995	NB627_RS03240
OG0000050	HZK19_RS02415	NB627_RS02630
OG0000051	HZK19_RS02620	NB627_RS02845
OG0000052	HZK19_RS00075	NB627_RS00075
OG0000053	HZK19_RS01415	NB627_RS01580
OG0000054	HZK19_RS02440	NB627_RS02655
OG0000055	HZK19_RS00120	NB627_RS00135
OG0000056	HZK19_RS03580	NB627_RS03735
OG0000057	HZK19_RS02885	NB627_RS03110
OG0000058	HZK19_RS03015	NB627_RS00435
OG0000058	HZK19_RS03020	NB627_RS00440
OG0000060	HZK19_RS00080	NB627_RS00080
OG0000061	HZK19_RS01820	NB627_RS01995
OG0000062	HZK19_RS03630	NB627_RS03790
OG0000063	HZK19_RS03625	NB627_RS03785
OG0000064	HZK19_RS03615	NB627_RS03775
OG0000065	HZK19_RS02220	NB627_RS02410
OG0000066	HZK19_RS01320	NB627_RS01480
OG0000067	HZK19_RS00515	NB627_RS00635
OG0000068	HZK19_RS00635	NB627_RS00755
OG0000069	HZK19_RS02780	NB627_RS03005
OG0000070	HZK19_RS02445	NB627_RS02660
OG0000071	HZK19_RS03315	NB627_RS03465
OG0000072	HZK19_RS03320	NB627_RS03470
OG0000073	HZK19_RS00680	NB627_RS00820
OG0000074	HZK19_RS00875	NB627_RS01020
OG0000076	HZK19_RS00340	NB627_RS00365
OG0000077	HZK19_RS00425	NB627_RS00550
OG0000079	HZK19_RS02525	NB627_RS02745
OG0000080	HZK19_RS02570	NB627_RS02795
OG0000081	HZK19_RS00320	NB627_RS00340
OG0000083	HZK19_RS01985	NB627_RS02160
OG0000084	HZK19_RS02015	NB627_RS02190
OG0000085	HZK19_RS02020	NB627_RS02195
OG0000086	HZK19_RS02030	NB627_RS02210
OG0000087	HZK19_RS02045	NB627_RS02225
OG0000088	HZK19_RS02050	NB627_RS02230
OG0000089	HZK19_RS02060	NB627_RS02240
OG0000090	HZK19_RS00070	NB627_RS00070
OG0000091	HZK19_RS00055	NB627_RS00055
OG0000092	HZK19_RS00040	NB627_RS00050
OG0000093	HZK19_RS00035	NB627_RS00035
OG0000094	HZK19_RS00030	NB627_RS00030
OG0000095	HZK19_RS00005	NB627_RS00005
OG0000096	HZK19_RS03665	NB627_RS03825
OG0000097	HZK19_RS03645	NB627_RS03805
OG0000098	HZK19_RS03635	NB627_RS03795
OG0000099	HZK19_RS03585	NB627_RS03745
OG0000100	HZK19_RS03570	NB627_RS03725
OG0000101	HZK19_RS03565	NB627_RS03720
OG0000102	HZK19_RS01675	NB627_RS01835
OG0000103	HZK19_RS02185	NB627_RS02375
OG0000104	HZK19_RS02190	NB627_RS02380
OG0000105	HZK19_RS02205	NB627_RS02400
OG0000106	HZK19_RS02215	NB627_RS02405
OG0000107	HZK19_RS02225	NB627_RS02415
OG0000108	HZK19_RS02230	NB627_RS02420
OG0000109	HZK19_RS02235	NB627_RS02425
OG0000110	HZK19_RS02355	NB627_RS02555
OG0000111	HZK19_RS02350	NB627_RS02550
OG0000112	HZK19_RS02340	NB627_RS02540
OG0000113	HZK19_RS02320	NB627_RS02515
OG0000114	HZK19_RS02310	NB627_RS02510
OG0000115	HZK19_RS02300	NB627_RS02495
OG0000116	HZK19_RS01265	NB627_RS01420
OG0000117	HZK19_RS01270	NB627_RS01425
OG0000118	HZK19_RS01305	NB627_RS01460
OG0000119	HZK19_RS01310	NB627_RS01465
OG0000120	HZK19_RS01325	NB627_RS01485
OG0000121	HZK19_RS01350	NB627_RS01515
OG0000122	HZK19_RS01355	NB627_RS01520
OG0000123	HZK19_RS01375	NB627_RS01540
OG0000124	HZK19_RS01380	NB627_RS01545
OG0000125	HZK19_RS01385	NB627_RS01550
OG0000126	HZK19_RS01395	NB627_RS01560
OG0000127	HZK19_RS01405	NB627_RS01570
OG0000128	HZK19_RS01420	NB627_RS01585
OG0000129	HZK19_RS01425	NB627_RS01590
OG0000130	HZK19_RS01435	NB627_RS01600
OG0000131	HZK19_RS01465	NB627_RS01630
OG0000132	HZK19_RS01480	NB627_RS01645
OG0000133	HZK19_RS00520	NB627_RS00640
OG0000134	HZK19_RS00525	NB627_RS00645
OG0000135	HZK19_RS00540	NB627_RS00660
OG0000136	HZK19_RS00545	NB627_RS00665
OG0000137	HZK19_RS00575	NB627_RS00695
OG0000138	HZK19_RS00610	NB627_RS00730
OG0000139	HZK19_RS00640	NB627_RS00760
OG0000140	HZK19_RS00645	NB627_RS00765
OG0000141	HZK19_RS02895	NB627_RS03120
OG0000142	HZK19_RS02890	NB627_RS03115
OG0000143	HZK19_RS02870	NB627_RS03100
OG0000144	HZK19_RS02860	NB627_RS03085
OG0000145	HZK19_RS02850	NB627_RS03075
OG0000146	HZK19_RS02840	NB627_RS03065
OG0000147	HZK19_RS02835	NB627_RS03060
OG0000148	HZK19_RS02820	NB627_RS03045
OG0000149	HZK19_RS02810	NB627_RS03035
OG0000150	HZK19_RS02795	NB627_RS03025
OG0000151	HZK19_RS02750	NB627_RS02970
OG0000152	HZK19_RS02745	NB627_RS02965
OG0000153	HZK19_RS02740	NB627_RS02960
OG0000154	HZK19_RS02730	NB627_RS02950
OG0000155	HZK19_RS02690	NB627_RS02910
OG0000156	HZK19_RS02680	NB627_RS02905
OG0000157	HZK19_RS02675	NB627_RS02895
OG0000158	HZK19_RS03895	NB627_RS02885
OG0000159	HZK19_RS03970	NB627_RS02645
OG0000160	HZK19_RS02425	NB627_RS02640
OG0000161	HZK19_RS02420	NB627_RS02635
OG0000162	HZK19_RS02410	NB627_RS02625
OG0000163	HZK19_RS02405	NB627_RS02620
OG0000164	HZK19_RS01575	NB627_RS01735
OG0000165	HZK19_RS01905	NB627_RS02080
OG0000166	HZK19_RS01925	NB627_RS02100
OG0000167	HZK19_RS01940	NB627_RS02115
OG0000168	HZK19_RS01945	NB627_RS02120
OG0000169	HZK19_RS02990	NB627_RS03235
OG0000170	HZK19_RS03005	NB627_RS03255
OG0000171	HZK19_RS03110	NB627_RS03265
OG0000172	HZK19_RS03115	NB627_RS03270
OG0000173	HZK19_RS03120	NB627_RS03275
OG0000174	HZK19_RS03125	NB627_RS03280
OG0000175	HZK19_RS03140	NB627_RS03295
OG0000176	HZK19_RS03190	NB627_RS03350
OG0000177	HZK19_RS03195	NB627_RS03355
OG0000178	HZK19_RS03200	NB627_RS03365
OG0000179	HZK19_RS03210	NB627_RS03370
OG0000180	HZK19_RS03215	NB627_RS03375
OG0000181	HZK19_RS03265	NB627_RS03415
OG0000182	HZK19_RS03275	NB627_RS03425
OG0000183	HZK19_RS03310	NB627_RS03460
OG0000184	HZK19_RS03355	NB627_RS03505
OG0000185	HZK19_RS03340	NB627_RS03490
OG0000186	HZK19_RS01490	NB627_RS01655
OG0000187	HZK19_RS01505	NB627_RS01670
OG0000188	HZK19_RS01515	NB627_RS01680
OG0000189	HZK19_RS02270	NB627_RS02465
OG0000190	HZK19_RS02265	NB627_RS02460
OG0000191	HZK19_RS02245	NB627_RS02435
OG0000192	HZK19_RS01180	NB627_RS01335
OG0000193	HZK19_RS01175	NB627_RS01315
OG0000194	HZK19_RS00665	NB627_RS00800
OG0000195	HZK19_RS00670	NB627_RS00805
OG0000196	HZK19_RS00690	NB627_RS00830
OG0000197	HZK19_RS00695	NB627_RS00840
OG0000198	HZK19_RS00710	NB627_RS00850
OG0000199	HZK19_RS00715	NB627_RS00855
OG0000200	HZK19_RS00730	NB627_RS00875
OG0000201	HZK19_RS00740	NB627_RS00880
OG0000202	HZK19_RS00795	NB627_RS00940
OG0000203	HZK19_RS00800	NB627_RS00945
OG0000204	HZK19_RS00805	NB627_RS00950
OG0000205	HZK19_RS00810	NB627_RS00955
OG0000206	HZK19_RS00830	NB627_RS00975
OG0000207	HZK19_RS00845	NB627_RS00990
OG0000208	HZK19_RS00850	NB627_RS00995
OG0000209	HZK19_RS00855	NB627_RS01000
OG0000210	HZK19_RS00900	NB627_RS01045
OG0000211	HZK19_RS00910	NB627_RS01055
OG0000212	HZK19_RS00920	NB627_RS01065
OG0000213	HZK19_RS00925	NB627_RS01070
OG0000214	HZK19_RS00930	NB627_RS01075
OG0000215	HZK19_RS00935	NB627_RS01080
OG0000216	HZK19_RS00940	NB627_RS01085
OG0000217	HZK19_RS00945	NB627_RS01090
OG0000218	HZK19_RS00955	NB627_RS01100
OG0000219	HZK19_RS00960	NB627_RS01105
OG0000220	HZK19_RS00965	NB627_RS01110
OG0000221	HZK19_RS00970	NB627_RS01115
OG0000222	HZK19_RS00975	NB627_RS01120
OG0000223	HZK19_RS00980	NB627_RS01125
OG0000224	HZK19_RS00990	NB627_RS01135
OG0000225	HZK19_RS01000	NB627_RS01145
OG0000226	HZK19_RS01005	NB627_RS01150
OG0000227	HZK19_RS01010	NB627_RS01155
OG0000228	HZK19_RS03950	NB627_RS01160
OG0000229	HZK19_RS01020	NB627_RS01165
OG0000230	HZK19_RS01025	NB627_RS01170
OG0000231	HZK19_RS01035	NB627_RS01180
OG0000232	HZK19_RS01045	NB627_RS01190
OG0000233	HZK19_RS01070	NB627_RS01210
OG0000234	HZK19_RS01105	NB627_RS01245
OG0000235	HZK19_RS01115	NB627_RS01255
OG0000236	HZK19_RS01120	NB627_RS01260
OG0000237	HZK19_RS01125	NB627_RS01265
OG0000238	HZK19_RS01130	NB627_RS01270
OG0000239	HZK19_RS02905	NB627_RS03130
OG0000240	HZK19_RS02910	NB627_RS03135
OG0000241	HZK19_RS02920	NB627_RS03145
OG0000242	HZK19_RS02925	NB627_RS03150
OG0000243	HZK19_RS02930	NB627_RS03155
OG0000244	HZK19_RS02940	NB627_RS03165
OG0000245	HZK19_RS02950	NB627_RS03175
OG0000246	HZK19_RS00125	NB627_RS00140
OG0000247	HZK19_RS00135	NB627_RS00150
OG0000248	HZK19_RS00145	NB627_RS00160
OG0000249	HZK19_RS00150	NB627_RS00165
OG0000250	HZK19_RS00165	NB627_RS00180
OG0000251	HZK19_RS00195	NB627_RS00215
OG0000252	HZK19_RS00205	NB627_RS00220
OG0000253	HZK19_RS00210	NB627_RS00225
OG0000254	HZK19_RS00220	NB627_RS00235
OG0000255	HZK19_RS00225	NB627_RS00240
OG0000256	HZK19_RS00230	NB627_RS00245
OG0000257	HZK19_RS00255	NB627_RS00270
OG0000258	HZK19_RS00265	NB627_RS00280
OG0000259	HZK19_RS00295	NB627_RS00310
OG0000260	HZK19_RS00305	NB627_RS00320
OG0000261	HZK19_RS00315	NB627_RS00330
OG0000262	HZK19_RS00330	NB627_RS00360
OG0000263	HZK19_RS00345	NB627_RS00375
OG0000264	HZK19_RS00360	NB627_RS00395
OG0000265	HZK19_RS00370	NB627_RS00400
OG0000266	HZK19_RS00385	NB627_RS00415
OG0000267	HZK19_RS00400	NB627_RS00430
OG0000268	HZK19_RS00405	NB627_RS00530
OG0000269	HZK19_RS00420	NB627_RS00545
OG0000270	HZK19_RS03540	NB627_RS03700
OG0000271	HZK19_RS03535	NB627_RS03690
OG0000272	HZK19_RS03530	NB627_RS03685
OG0000273	HZK19_RS03525	NB627_RS03680
OG0000274	HZK19_RS03505	NB627_RS03665
OG0000275	HZK19_RS03500	NB627_RS03655
OG0000276	HZK19_RS03495	NB627_RS03650
OG0000277	HZK19_RS03485	NB627_RS03640
OG0000278	HZK19_RS03480	NB627_RS03635
OG0000279	HZK19_RS03470	NB627_RS03625
OG0000280	HZK19_RS03465	NB627_RS03620
OG0000281	HZK19_RS03460	NB627_RS03615
OG0000282	HZK19_RS03435	NB627_RS03590
OG0000283	HZK19_RS03430	NB627_RS03585
OG0000284	HZK19_RS03425	NB627_RS03580
OG0000285	HZK19_RS03420	NB627_RS03575
OG0000286	HZK19_RS02390	NB627_RS02605
OG0000287	HZK19_RS02485	NB627_RS02705
OG0000288	HZK19_RS02495	NB627_RS02715
OG0000289	HZK19_RS02500	NB627_RS02720
OG0000290	HZK19_RS02610	NB627_RS02840
OG0000291	HZK19_RS02600	NB627_RS02825
OG0000292	HZK19_RS02595	NB627_RS02820
OG0000293	HZK19_RS02590	NB627_RS02815
OG0000294	HZK19_RS02580	NB627_RS02805
OG0000295	HZK19_RS02575	NB627_RS02800
OG0000296	HZK19_RS02535	NB627_RS02755
OG0000297	HZK19_RS02530	NB627_RS02750
OG0000298	HZK19_RS00160	NB627_RS00175
OG0000299	HZK19_RS00180	NB627_RS00195
OG0000300	HZK19_RS00355	NB627_RS00385
OG0000301	HZK19_RS00390	NB627_RS00420
OG0000302	HZK19_RS00395	NB627_RS00425
OG0000303	HZK19_RS00550	NB627_RS00670
OG0000304	HZK19_RS01055	NB627_RS01195
OG0000305	HZK19_RS02845	NB627_RS03070
OG0000306	HZK19_RS02770	NB627_RS02995
OG0000307	HZK19_RS02735	NB627_RS02955
OG0000308	HZK19_RS02635	NB627_RS02855
OG0000309	HZK19_RS02565	NB627_RS02790
OG0000310	HZK19_RS02490	NB627_RS02710
OG0000311	HZK19_RS02450	NB627_RS02665
OG0000312	HZK19_RS02435	NB627_RS02650
OG0000313	HZK19_RS01565	NB627_RS01725
OG0000314	HZK19_RS01920	NB627_RS02095
OG0000315	HZK19_RS01950	NB627_RS02125
OG0000316	HZK19_RS01960	NB627_RS02135
OG0000317	HZK19_RS02055	NB627_RS02235
OG0000318	HZK19_RS01965	NB627_RS02155
OG0000319	HZK19_RS02200	NB627_RS02390
OG0000320	HZK19_RS02330	NB627_RS02530
OG0000321	HZK19_RS01300	NB627_RS01455
OG0000322	HZK19_RS01345	NB627_RS01510
OG0000323	HZK19_RS01475	NB627_RS01640
OG0000324	HZK19_RS02240	NB627_RS02430
OG0000325	HZK19_RS00675	NB627_RS00815
OG0000326	HZK19_RS00770	NB627_RS00910
OG0000327	HZK19_RS00775	NB627_RS00915
OG0000328	HZK19_RS00860	NB627_RS01005
OG0000329	HZK19_RS00880	NB627_RS01025
OG0000330	HZK19_RS01080	NB627_RS01220
OG0000331	HZK19_RS02935	NB627_RS03160
OG0000332	HZK19_RS03150	NB627_RS03305
OG0000333	HZK19_RS03160	NB627_RS03315
OG0000334	HZK19_RS03270	NB627_RS03420
OG0000335	HZK19_RS03280	NB627_RS03430
OG0000336	HZK19_RS03450	NB627_RS03605
OG0000337	HZK19_RS03620	NB627_RS03780
OG0000338	HZK19_RS03660	NB627_RS03820
OG0000339	HZK19_RS02305	NB627_RS02500
OG0000340	HZK19_RS01280	NB627_RS01435
OG0000341	HZK19_RS02260	NB627_RS02455
OG0000342	HZK19_RS00705	NB627_RS00845
OG0000343	HZK19_RS03170	NB627_RS03325
OG0000344	HZK19_RS00565	NB627_RS00685
OG0000345	HZK19_RS00995	NB627_RS01140
OG0000346	HZK19_RS03455	NB627_RS03610
OG0000347	HZK19_RS01370	NB627_RS01535
OG0000348	HZK19_RS00780	NB627_RS00920
OG0000349	HZK19_RS03515	NB627_RS03670
OG0000350	HZK19_RS02725	NB627_RS02945
OG0000351	HZK19_RS00480	NB627_RS00600
OG0000352	HZK19_RS01895	NB627_RS02075
OG0000353	HZK19_RS01340	NB627_RS01500
OG0000354	HZK19_RS00625	NB627_RS00745
OG0000355	HZK19_RS01870	NB627_RS02050
OG0000356	HZK19_RS01955	NB627_RS02130
OG0000357	HZK19_RS03130	NB627_RS03285
OG0000358	HZK19_RS03135	NB627_RS03290
OG0000359	HZK19_RS00750	NB627_RS00890
OG0000360	HZK19_RS00260	NB627_RS00275
OG0000361	HZK19_RS00290	NB627_RS00305
OG0000362	HZK19_RS02510	NB627_RS02730
OG0000363	HZK19_RS03730	NB627_RS01575
OG0000364	HZK19_RS03760, HZK19_RS01855	NB627_RS02025
OG0000365	HZK19_RS02000	NB627_RS02180
OG0000366	HZK19_RS02025	NB627_RS02200
OG0000367	HZK19_RS02035	NB627_RS02215
OG0000368	HZK19_RS00060	NB627_RS00060
OG0000369	HZK19_RS00025	NB627_RS00025
OG0000370	HZK19_RS00020	NB627_RS00020
OG0000371	HZK19_RS00015	NB627_RS00015
OG0000372	HZK19_RS00010	NB627_RS00010
OG0000373	HZK19_RS03650	NB627_RS03810
OG0000374	HZK19_RS03640	NB627_RS03800
OG0000375	HZK19_RS02195	NB627_RS02385
OG0000376	HZK19_RS02345	NB627_RS02545
OG0000377	HZK19_RS02335	NB627_RS02535
OG0000378	HZK19_RS01260	NB627_RS01415
OG0000379	HZK19_RS01335	NB627_RS01495
OG0000380	HZK19_RS01360	NB627_RS01525
OG0000381	HZK19_RS01400	NB627_RS01565
OG0000382	HZK19_RS01430	NB627_RS01595
OG0000383	HZK19_RS01470	NB627_RS01635
OG0000384	HZK19_RS00505	NB627_RS00625
OG0000385	HZK19_RS00510	NB627_RS00630
OG0000386	HZK19_RS00530	NB627_RS00650
OG0000387	HZK19_RS00555	NB627_RS00675
OG0000388	HZK19_RS00560	NB627_RS00680
OG0000389	HZK19_RS00605	NB627_RS00725
OG0000390	HZK19_RS02865	NB627_RS03090
OG0000391	HZK19_RS02855	NB627_RS03080
OG0000392	HZK19_RS02830	NB627_RS03055
OG0000393	HZK19_RS02775	NB627_RS03000
OG0000394	HZK19_RS02700	NB627_RS02920
OG0000395	HZK19_RS02695	NB627_RS02915
OG0000396	HZK19_RS02395	NB627_RS02610
OG0000397	HZK19_RS01880	NB627_RS02060
OG0000398	HZK19_RS01885	NB627_RS02065
OG0000399	HZK19_RS01935	NB627_RS02110
OG0000400	HZK19_RS03000	NB627_RS03250
OG0000401	HZK19_RS03155	NB627_RS03310
OG0000402	HZK19_RS03165	NB627_RS03320
OG0000403	HZK19_RS03175	NB627_RS03330
OG0000405	HZK19_RS03220	NB627_RS03380
OG0000406	HZK19_RS03285	NB627_RS03435
OG0000407	HZK19_RS03290	NB627_RS03440
OG0000408	HZK19_RS03295	NB627_RS03445
OG0000409	HZK19_RS03300	NB627_RS03450
OG0000410	HZK19_RS03360	NB627_RS03515
OG0000411	HZK19_RS03350	NB627_RS03500
OG0000412	HZK19_RS03345	NB627_RS03495
OG0000413	HZK19_RS01485	NB627_RS01650
OG0000414	HZK19_RS01495	NB627_RS01660
OG0000415	HZK19_RS01500	NB627_RS01665
OG0000416	HZK19_RS01510	NB627_RS01675
OG0000417	HZK19_RS02255	NB627_RS02450
OG0000418	HZK19_RS02250	NB627_RS02440
OG0000419	HZK19_RS00685	NB627_RS00825
OG0000420	HZK19_RS00720	NB627_RS00860
OG0000421	HZK19_RS00755	NB627_RS00900
OG0000422	HZK19_RS00765	NB627_RS00905
OG0000423	HZK19_RS00820	NB627_RS00965
OG0000424	HZK19_RS00825	NB627_RS00970
OG0000425	HZK19_RS00835	NB627_RS00980
OG0000426	HZK19_RS00840	NB627_RS00985
OG0000427	HZK19_RS00865	NB627_RS01010
OG0000429	HZK19_RS00985	NB627_RS01130
OG0000430	HZK19_RS01030	NB627_RS01175
OG0000431	HZK19_RS01040	NB627_RS01185
OG0000432	HZK19_RS01075	NB627_RS01215
OG0000433	HZK19_RS01090	NB627_RS01230
OG0000434	HZK19_RS01095	NB627_RS01235
OG0000435	HZK19_RS01110	NB627_RS01250
OG0000436	HZK19_RS01135	NB627_RS01275
OG0000437	HZK19_RS01145	NB627_RS01285
OG0000438	HZK19_RS01150	NB627_RS01290
OG0000439	HZK19_RS01155	NB627_RS01295
OG0000440	HZK19_RS02915	NB627_RS03140
OG0000441	HZK19_RS02955	NB627_RS03185
OG0000442	HZK19_RS00130	NB627_RS00145
OG0000443	HZK19_RS00175	NB627_RS00190
OG0000444	HZK19_RS00190	NB627_RS00205
OG0000445	HZK19_RS00215	NB627_RS00230
OG0000446	HZK19_RS00240	NB627_RS00255
OG0000447	HZK19_RS00245	NB627_RS00260
OG0000448	HZK19_RS00275	NB627_RS00290
OG0000449	HZK19_RS00300	NB627_RS00315
OG0000450	HZK19_RS00310	NB627_RS00325
OG0000451	HZK19_RS00350	NB627_RS00380
OG0000452	HZK19_RS00375	NB627_RS00405
OG0000453	HZK19_RS00410	NB627_RS00535
OG0000454	HZK19_RS03100	NB627_RS00520
OG0000455	HZK19_RS03560	NB627_RS03715
OG0000456	HZK19_RS03440	NB627_RS03595
OG0000457	HZK19_RS03415	NB627_RS03565
OG0000458	HZK19_RS02480	NB627_RS02700
OG0000459	HZK19_RS02505	NB627_RS02725
OG0000460	HZK19_RS02520	NB627_RS02735
OG0000461	HZK19_RS02560	NB627_RS02780
OG0000462	HZK19_RS02555	NB627_RS02775
OG0000463	HZK19_RS02550	NB627_RS02770
OG0000465	HZK19_RS02545	NB627_RS02760
OG0000466	HZK19_RS00380	NB627_RS00410
OG0000467	HZK19_RS02645	NB627_RS02865
OG0000468	HZK19_RS01930	NB627_RS02105
OG0000469	HZK19_RS01990	NB627_RS02165
OG0000470	HZK19_RS00815	NB627_RS00960
OG0000471	HZK19_RS00895	NB627_RS01040
OG0000472	HZK19_RS03370	NB627_RS03520
OG0000474	HZK19_RS03550	NB627_RS03705
OG0000475	HZK19_RS03555	NB627_RS03710
OG0000476	HZK19_RS01520	NB627_RS01685
OG0000477	HZK19_RS02585	NB627_RS02810
OG0000478	HZK19_RS03490	NB627_RS03645
OG0000479	HZK19_RS01295	NB627_RS01450
OG0000480	HZK19_RS01995	NB627_RS02170
OG0000481	HZK19_RS00790	NB627_RS00935
OG0000483	HZK19_RS02040	NB627_RS02220
OG0000484	HZK19_RS00185	NB627_RS00200
OG0000485	HZK19_RS01140	NB627_RS01280
OG0000486	HZK19_RS02275	NB627_RS02470
OG0000488	HZK19_RS02010	NB627_RS02185
OG0000490	HZK19_RS03655	NB627_RS03815
OG0000491	HZK19_RS01315	NB627_RS01470
OG0000492	HZK19_RS01390	NB627_RS01555
OG0000493	HZK19_RS00570	NB627_RS00690
OG0000494	HZK19_RS00630	NB627_RS00750
OG0000496	HZK19_RS02790	NB627_RS03015
OG0000497	HZK19_RS02785	NB627_RS03010
OG0000498	HZK19_RS02705	NB627_RS02925
OG0000499	HZK19_RS02670	NB627_RS02890
OG0000500	HZK19_RS01890	NB627_RS02070
OG0000501	HZK19_RS03010	NB627_RS03260
OG0000504	HZK19_RS00870	NB627_RS01015
OG0000505	HZK19_RS00905	NB627_RS01050
OG0000506	HZK19_RS00915	NB627_RS01060
OG0000507	HZK19_RS00950	NB627_RS01095
OG0000508	HZK19_RS00235	NB627_RS00250
OG0000509	HZK19_RS00270	NB627_RS00285
OG0000510	HZK19_RS00280	NB627_RS00300
OG0000511	HZK19_RS00415	NB627_RS00540
OG0000513	HZK19_RS03475	NB627_RS03630
OG0000514	HZK19_RS02825	NB627_RS03050
OG0000517	HZK19_RS00065	NB627_RS00065
OG0000518	HZK19_RS03145	NB627_RS03300
OG0000520	HZK19_RS00885	NB627_RS01035
OG0000521	HZK19_RS00250	NB627_RS00265
OG0000523	HZK19_RS03410	NB627_RS03560
OG0000524	HZK19_RS02640	NB627_RS02860
OG0000525	HZK19_RS03375	NB627_RS03525
OG0000526	HZK19_RS03755	NB627_RS01970
OG0000527	HZK19_RS01730	NB627_RS01910
OG0000531	HZK19_RS01365	NB627_RS01530
OG0000532	HZK19_RS01590	NB627_RS01750, NB627_RS01755
OG0000533	HZK19_RS00590	NB627_RS00710
OG0000538	HZK19_RS01100	NB627_RS01240
OG0000540	HZK19_RS02605	NB627_RS02830
OG0000543	HZK19_RS03095	NB627_RS00515
OG0000544	HZK19_RS01215	NB627_RS01370
OG0000545	HZK19_RS01785	NB627_RS01955
OG0000546	HZK19_RS02755	NB627_RS02975
OG0000551	HZK19_RS02945	NB627_RS03170
OG0000552	HZK19_RS03180	NB627_RS03340
OG0000553	HZK19_RS02655	NB627_RS02875
OG0000554	HZK19_RS02360	NB627_RS02565
