Orthogroup	MHP_7422_genes	MHP_F72C_genes
OG0000061	MHL_RS01940	EHI52_RS02075
OG0000062	MHL_RS03580	EHI52_RS03585
OG0000063	MHL_RS03575	EHI52_RS03580
OG0000064	MHL_RS03565	EHI52_RS03570
OG0000065	MHL_RS02310	EHI52_RS02260
OG0000066	MHL_RS01435	EHI52_RS01415
OG0000067	MHL_RS00525	EHI52_RS00540
OG0000068	MHL_RS00735	EHI52_RS00660
OG0000069	MHL_RS02860	EHI52_RS02805
OG0000070	MHL_RS02540	EHI52_RS02480
OG0000071	MHL_RS03275	EHI52_RS03285
OG0000072	MHL_RS03280	EHI52_RS03290
OG0000073	MHL_RS00795	EHI52_RS00705
OG0000074	MHL_RS03950, MHL_RS04210	EHI52_RS00900
OG0000075	MHL_RS00345	EHI52_RS00355
OG0000076	MHL_RS00360	EHI52_RS00370
OG0000077	MHL_RS00450	EHI52_RS00460
OG0000078	MHL_RS01755	EHI52_RS01735
OG0000079	MHL_RS02615	EHI52_RS02555
OG0000080	MHL_RS03870	EHI52_RS03675
OG0000081	MHL_RS00340	EHI52_RS00350
OG0000082	MHL_RS02460	EHI52_RS02405
OG0000083	MHL_RS02095	EHI52_RS01915
OG0000084	MHL_RS02120	EHI52_RS01890
OG0000085	MHL_RS02125	EHI52_RS01885
OG0000086	MHL_RS02135	EHI52_RS01875
OG0000087	MHL_RS02150	EHI52_RS01860
OG0000088	MHL_RS02155	EHI52_RS01855
OG0000089	MHL_RS02165	EHI52_RS01845
OG0000090	MHL_RS00075	EHI52_RS00070
OG0000091	MHL_RS00060	EHI52_RS00055
OG0000092	MHL_RS00045	EHI52_RS00040
OG0000093	MHL_RS00040	EHI52_RS00035
OG0000094	MHL_RS00035	EHI52_RS00030
OG0000095	MHL_RS00010	EHI52_RS00005
OG0000096	MHL_RS03615	EHI52_RS03620
OG0000097	MHL_RS03595	EHI52_RS03600
OG0000098	MHL_RS03585	EHI52_RS03590
OG0000099	MHL_RS03535	EHI52_RS03540
OG0000100	MHL_RS03520	EHI52_RS03520
OG0000101	MHL_RS03515	EHI52_RS03515
OG0000102	MHL_RS01780	EHI52_RS01760
OG0000103	MHL_RS02275	EHI52_RS02225
OG0000104	MHL_RS02280	EHI52_RS02230
OG0000105	MHL_RS02295	EHI52_RS02245
OG0000106	MHL_RS02305	EHI52_RS02255
OG0000107	MHL_RS02315	EHI52_RS02265
OG0000108	MHL_RS02320	EHI52_RS02270
OG0000109	MHL_RS02325	EHI52_RS02275
OG0000110	MHL_RS02450	EHI52_RS02395
OG0000111	MHL_RS02445	EHI52_RS02390
OG0000112	MHL_RS02435	EHI52_RS02380
OG0000113	MHL_RS02415	EHI52_RS02360
OG0000114	MHL_RS02405	EHI52_RS02350
OG0000115	MHL_RS02395	EHI52_RS02335
OG0000116	MHL_RS01380	EHI52_RS01360
OG0000117	MHL_RS01385	EHI52_RS01365
OG0000118	MHL_RS01420	EHI52_RS01400
OG0000119	MHL_RS01425	EHI52_RS01405
OG0000120	MHL_RS01440	EHI52_RS01420
OG0000121	MHL_RS01465	EHI52_RS01445
OG0000122	MHL_RS01470	EHI52_RS01450
OG0000123	MHL_RS01490	EHI52_RS01470
OG0000124	MHL_RS01495	EHI52_RS01475
OG0000125	MHL_RS01500	EHI52_RS01480
OG0000126	MHL_RS01510	EHI52_RS01490
OG0000127	MHL_RS01520	EHI52_RS01500
OG0000128	MHL_RS01535	EHI52_RS01515
OG0000129	MHL_RS01540	EHI52_RS01520
OG0000130	MHL_RS01550	EHI52_RS01530
OG0000131	MHL_RS01580	EHI52_RS01560
OG0000132	MHL_RS01595	EHI52_RS01575
OG0000133	MHL_RS00530	EHI52_RS00545
OG0000134	MHL_RS00535	EHI52_RS00550
OG0000135	MHL_RS00550	EHI52_RS00565
OG0000136	MHL_RS00555	EHI52_RS00570
OG0000137	MHL_RS00585	EHI52_RS00600
OG0000138	MHL_RS00710	EHI52_RS00635
OG0000139	MHL_RS00740	EHI52_RS00665
OG0000140	MHL_RS00745	EHI52_RS00670
OG0000141	MHL_RS02980	EHI52_RS02925
OG0000142	MHL_RS02975	EHI52_RS02920
OG0000143	MHL_RS02950	EHI52_RS02895
OG0000144	MHL_RS02940	EHI52_RS02885
OG0000145	MHL_RS02930	EHI52_RS02875
OG0000146	MHL_RS02920	EHI52_RS02865
OG0000147	MHL_RS02915	EHI52_RS02860
OG0000148	MHL_RS02900	EHI52_RS02845
OG0000149	MHL_RS02890	EHI52_RS02835
OG0000150	MHL_RS02875	EHI52_RS02820
OG0000151	MHL_RS02830	EHI52_RS02775
OG0000152	MHL_RS02825	EHI52_RS02770
OG0000153	MHL_RS02820	EHI52_RS02765
OG0000154	MHL_RS02810	EHI52_RS02755
OG0000155	MHL_RS02770	EHI52_RS02715
OG0000156	MHL_RS02760	EHI52_RS02705
OG0000157	MHL_RS02755	EHI52_RS02700
OG0000158	MHL_RS04195	EHI52_RS03885
OG0000159	MHL_RS02525	EHI52_RS03925
OG0000160	MHL_RS02520	EHI52_RS02460
OG0000161	MHL_RS02515	EHI52_RS02455
OG0000162	MHL_RS02505	EHI52_RS02445
OG0000163	MHL_RS02500	EHI52_RS02440
OG0000164	MHL_RS01690	EHI52_RS01665
OG0000165	MHL_RS02015	EHI52_RS01995
OG0000166	MHL_RS02035	EHI52_RS01975
OG0000167	MHL_RS02050	EHI52_RS01960
OG0000168	MHL_RS04040	EHI52_RS01955
OG0000169	MHL_RS03055	EHI52_RS03055
OG0000170	MHL_RS03070	EHI52_RS03075
OG0000171	MHL_RS03080	EHI52_RS03085
OG0000172	MHL_RS03085	EHI52_RS03095
OG0000173	MHL_RS03090	EHI52_RS03100
OG0000174	MHL_RS03095	EHI52_RS03105
OG0000175	MHL_RS03110	EHI52_RS03120
OG0000176	MHL_RS03160	EHI52_RS03170
OG0000177	MHL_RS03165	EHI52_RS03175
OG0000178	MHL_RS03170	EHI52_RS03180
OG0000179	MHL_RS03180	EHI52_RS03190
OG0000180	MHL_RS03185	EHI52_RS03195
OG0000181	MHL_RS03225	EHI52_RS03235
OG0000182	MHL_RS03235	EHI52_RS03245
OG0000183	MHL_RS03270	EHI52_RS03280
OG0000184	MHL_RS03310	EHI52_RS03325
OG0000185	MHL_RS03295	EHI52_RS03310
OG0000186	MHL_RS01605	EHI52_RS01585
OG0000187	MHL_RS01620	EHI52_RS01600
OG0000188	MHL_RS01630	EHI52_RS01610
OG0000189	MHL_RS02365	EHI52_RS02310
OG0000190	MHL_RS02360	EHI52_RS02305
OG0000191	MHL_RS02340	EHI52_RS02285
OG0000192	MHL_RS01300	EHI52_RS01280
OG0000193	MHL_RS01290	EHI52_RS01270
OG0000194	MHL_RS00780	EHI52_RS00690
OG0000195	MHL_RS00785	EHI52_RS00695
OG0000196	MHL_RS00805	EHI52_RS00715
OG0000197	MHL_RS00810	EHI52_RS00720
OG0000198	MHL_RS00825	EHI52_RS00735
OG0000199	MHL_RS00830	EHI52_RS00740
OG0000200	MHL_RS00840	EHI52_RS00755
OG0000201	MHL_RS00850	EHI52_RS00765
OG0000202	MHL_RS00905	EHI52_RS00820
OG0000203	MHL_RS00910	EHI52_RS00825
OG0000204	MHL_RS00915	EHI52_RS00830
OG0000205	MHL_RS00920	EHI52_RS00835
OG0000206	MHL_RS00940	EHI52_RS00855
OG0000207	MHL_RS00955	EHI52_RS00870
OG0000208	MHL_RS00960	EHI52_RS00875
OG0000209	MHL_RS00965	EHI52_RS00880
OG0000210	MHL_RS01010	EHI52_RS00925
OG0000211	MHL_RS01020	EHI52_RS01005
OG0000212	MHL_RS01030	EHI52_RS01015
OG0000213	MHL_RS01035	EHI52_RS01020
OG0000214	MHL_RS01040	EHI52_RS01025
OG0000215	MHL_RS01045	EHI52_RS01030
OG0000216	MHL_RS01050	EHI52_RS01035
OG0000217	MHL_RS01055	EHI52_RS01040
OG0000218	MHL_RS01065	EHI52_RS01050
OG0000219	MHL_RS01070	EHI52_RS01055
OG0000220	MHL_RS01075	EHI52_RS01060
OG0000221	MHL_RS01080	EHI52_RS01065
OG0000222	MHL_RS01085	EHI52_RS01070
OG0000223	MHL_RS01090	EHI52_RS01075
OG0000224	MHL_RS01100	EHI52_RS01085
OG0000225	MHL_RS01110	EHI52_RS01095
OG0000226	MHL_RS01115	EHI52_RS01100
OG0000227	MHL_RS01120	EHI52_RS01105
OG0000228	MHL_RS04215	EHI52_RS03905
OG0000229	MHL_RS01130	EHI52_RS01115
OG0000230	MHL_RS01135	EHI52_RS01120
OG0000231	MHL_RS01145	EHI52_RS01130
OG0000232	MHL_RS01155	EHI52_RS01140
OG0000233	MHL_RS01175	EHI52_RS01165
OG0000234	MHL_RS01210	EHI52_RS01200
OG0000235	MHL_RS01220	EHI52_RS01210
OG0000236	MHL_RS01225	EHI52_RS01215
OG0000237	MHL_RS01230	EHI52_RS01220
OG0000238	MHL_RS01240	EHI52_RS01230
OG0000239	MHL_RS02990	EHI52_RS02935
OG0000240	MHL_RS02995	EHI52_RS02940
OG0000241	MHL_RS03005	EHI52_RS02950
OG0000242	MHL_RS03010	EHI52_RS02955
OG0000243	MHL_RS03015	EHI52_RS02960
OG0000244	MHL_RS03025	EHI52_RS02970
OG0000245	MHL_RS03035	EHI52_RS02980
OG0000246	MHL_RS00145	EHI52_RS00140
OG0000247	MHL_RS00155	EHI52_RS00150
OG0000248	MHL_RS00165	EHI52_RS00160
OG0000249	MHL_RS00170	EHI52_RS00165
OG0000250	MHL_RS00185	EHI52_RS00180
OG0000251	MHL_RS00210	EHI52_RS00215
OG0000252	MHL_RS00220	EHI52_RS00225
OG0000253	MHL_RS00225	EHI52_RS00230
OG0000254	MHL_RS00235	EHI52_RS00240
OG0000255	MHL_RS00245	EHI52_RS00250
OG0000256	MHL_RS00250	EHI52_RS00255
OG0000257	MHL_RS00275	EHI52_RS00280
OG0000258	MHL_RS00285	EHI52_RS00290
OG0000259	MHL_RS00315	EHI52_RS00320
OG0000260	MHL_RS00325	EHI52_RS00330
OG0000261	MHL_RS00335	EHI52_RS00340
OG0000262	MHL_RS00350	EHI52_RS00360
OG0000263	MHL_RS00370	EHI52_RS00375
OG0000264	MHL_RS00380	EHI52_RS00390
OG0000265	MHL_RS00390	EHI52_RS00400
OG0000266	MHL_RS00405	EHI52_RS00415
OG0000267	MHL_RS00420	EHI52_RS00430
OG0000268	MHL_RS00425	EHI52_RS00435
OG0000269	MHL_RS00440	EHI52_RS00450
OG0000270	MHL_RS03490	EHI52_RS03490
OG0000271	MHL_RS03485	EHI52_RS03485
OG0000272	MHL_RS03480	EHI52_RS03480
OG0000273	MHL_RS03475	EHI52_RS03475
OG0000274	MHL_RS03455	EHI52_RS03455
OG0000275	MHL_RS03450	EHI52_RS03450
OG0000276	MHL_RS03445	EHI52_RS03445
OG0000277	MHL_RS03435	EHI52_RS03435
OG0000278	MHL_RS03430	EHI52_RS03430
OG0000279	MHL_RS03420	EHI52_RS03420
OG0000280	MHL_RS03415	EHI52_RS03415
OG0000281	MHL_RS03760	EHI52_RS03410
OG0000282	MHL_RS03390	EHI52_RS03385
OG0000283	MHL_RS03385	EHI52_RS03380
OG0000284	MHL_RS03380	EHI52_RS03375
OG0000285	MHL_RS03375	EHI52_RS03370
OG0000286	MHL_RS02485	EHI52_RS02425
OG0000287	MHL_RS02575	EHI52_RS02515
OG0000288	MHL_RS02585	EHI52_RS02525
OG0000289	MHL_RS02590	EHI52_RS02530
OG0000290	MHL_RS02700	EHI52_RS02640
OG0000291	MHL_RS02690	EHI52_RS02630
OG0000292	MHL_RS02685	EHI52_RS02625
OG0000293	MHL_RS02680	EHI52_RS02620
OG0000294	MHL_RS02670	EHI52_RS02610
OG0000295	MHL_RS02665	EHI52_RS02605
OG0000296	MHL_RS02625	EHI52_RS02565
OG0000297	MHL_RS02620	EHI52_RS02560
OG0000298	MHL_RS00180	EHI52_RS00175
OG0000299	MHL_RS03650	EHI52_RS00200
OG0000300	MHL_RS00375	EHI52_RS00385
OG0000301	MHL_RS00410	EHI52_RS00420
OG0000302	MHL_RS00415	EHI52_RS00425
OG0000303	MHL_RS00560	EHI52_RS00575
OG0000304	MHL_RS01160	EHI52_RS01145
OG0000305	MHL_RS02925	EHI52_RS02870
OG0000306	MHL_RS02850	EHI52_RS02795
OG0000307	MHL_RS02815	EHI52_RS02760
OG0000308	MHL_RS02720	EHI52_RS02660
OG0000309	MHL_RS02655	EHI52_RS02595
OG0000310	MHL_RS02580	EHI52_RS02520
OG0000311	MHL_RS02545	EHI52_RS02485
OG0000312	MHL_RS02530	EHI52_RS02470
OG0000313	MHL_RS01680	EHI52_RS01655
OG0000314	MHL_RS02030	EHI52_RS01980
OG0000315	MHL_RS02060	EHI52_RS01950
OG0000316	MHL_RS02070	EHI52_RS01940
OG0000317	MHL_RS02160	EHI52_RS01850
OG0000318	MHL_RS02075	EHI52_RS01935
OG0000319	MHL_RS02290	EHI52_RS02240
OG0000320	MHL_RS02425	EHI52_RS02370
OG0000321	MHL_RS01415	EHI52_RS01395
OG0000322	MHL_RS01460	EHI52_RS01440
OG0000323	MHL_RS01590	EHI52_RS01570
OG0000324	MHL_RS02335	EHI52_RS02280
OG0000325	MHL_RS00790	EHI52_RS00700
OG0000326	MHL_RS00880	EHI52_RS00795
OG0000327	MHL_RS00885	EHI52_RS00800
OG0000328	MHL_RS00970	EHI52_RS00885
OG0000329	MHL_RS00990	EHI52_RS00905
OG0000330	MHL_RS01185	EHI52_RS01175
OG0000331	MHL_RS03020	EHI52_RS02965
OG0000332	MHL_RS03120	EHI52_RS03130
OG0000333	MHL_RS03130	EHI52_RS03140
OG0000334	MHL_RS03230	EHI52_RS03240
OG0000335	MHL_RS03240	EHI52_RS03250
OG0000336	MHL_RS03405	EHI52_RS03400
OG0000337	MHL_RS03570	EHI52_RS03575
OG0000338	MHL_RS03610	EHI52_RS03615
OG0000339	MHL_RS02400	EHI52_RS02340
OG0000340	MHL_RS01395	EHI52_RS01375
OG0000341	MHL_RS02355	EHI52_RS02300
OG0000342	MHL_RS00820	EHI52_RS00730
OG0000343	MHL_RS03140	EHI52_RS03150
OG0000344	MHL_RS00580	EHI52_RS00590
OG0000345	MHL_RS01105	EHI52_RS01090
OG0000346	MHL_RS03410	EHI52_RS03405
OG0000347	MHL_RS01485	EHI52_RS01465
OG0000348	MHL_RS00890	EHI52_RS00805
OG0000349	MHL_RS03640	EHI52_RS03465
OG0000350	MHL_RS02805	EHI52_RS02750
OG0000351	MHL_RS00505	EHI52_RS00510
OG0000352	MHL_RS02010	EHI52_RS02000
OG0000353	MHL_RS01455	EHI52_RS01435
OG0000354	MHL_RS00725	EHI52_RS00650
OG0000355	MHL_RS01980	EHI52_RS02030
OG0000356	MHL_RS02065	EHI52_RS01945
OG0000357	MHL_RS03100	EHI52_RS03110
OG0000358	MHL_RS03105	EHI52_RS03115
OG0000359	MHL_RS00860	EHI52_RS00775
OG0000360	MHL_RS00280	EHI52_RS00285
OG0000361	MHL_RS00310	EHI52_RS00315
OG0000362	MHL_RS02600	EHI52_RS02540
OG0000363	MHL_RS03985	EHI52_RS01505
OG0000364	MHL_RS04025	EHI52_RS03790, EHI52_RS02055
OG0000365	MHL_RS02105	EHI52_RS01905
OG0000366	MHL_RS02130	EHI52_RS01880
OG0000367	MHL_RS02140	EHI52_RS01870
OG0000368	MHL_RS00065	EHI52_RS00060
OG0000369	MHL_RS00030	EHI52_RS00025
OG0000370	MHL_RS00025	EHI52_RS00020
OG0000371	MHL_RS00020	EHI52_RS00015
OG0000372	MHL_RS00015	EHI52_RS00010
OG0000373	MHL_RS03605	EHI52_RS03605
OG0000374	MHL_RS03590	EHI52_RS03595
OG0000375	MHL_RS02285	EHI52_RS02235
OG0000376	MHL_RS02440	EHI52_RS02385
OG0000377	MHL_RS02430	EHI52_RS02375
OG0000378	MHL_RS01375	EHI52_RS01355
OG0000379	MHL_RS01450	EHI52_RS01430
OG0000380	MHL_RS01475	EHI52_RS01455
OG0000381	MHL_RS01515	EHI52_RS01495
OG0000382	MHL_RS01545	EHI52_RS01525
OG0000383	MHL_RS01585	EHI52_RS01565
OG0000384	MHL_RS00520	EHI52_RS00530
OG0000386	MHL_RS00540	EHI52_RS00555
OG0000387	MHL_RS00565	EHI52_RS00580
OG0000388	MHL_RS00570	EHI52_RS00585
OG0000389	MHL_RS00705	EHI52_RS00630
OG0000390	MHL_RS02945	EHI52_RS02890
OG0000391	MHL_RS02935	EHI52_RS02880
OG0000392	MHL_RS02910	EHI52_RS02855
OG0000393	MHL_RS02855	EHI52_RS02800
OG0000394	MHL_RS02780	EHI52_RS02725
OG0000395	MHL_RS02775	EHI52_RS02720
OG0000396	MHL_RS02490	EHI52_RS02430
OG0000397	MHL_RS01995	EHI52_RS02015
OG0000398	MHL_RS02000	EHI52_RS02010
OG0000399	MHL_RS02045	EHI52_RS01965
OG0000400	MHL_RS03065	EHI52_RS03070
OG0000401	MHL_RS03125	EHI52_RS03135
OG0000402	MHL_RS03135	EHI52_RS03145
OG0000403	MHL_RS03145	EHI52_RS03155
OG0000404	MHL_RS03175	EHI52_RS03185
OG0000405	MHL_RS03190	EHI52_RS03200
OG0000406	MHL_RS03245	EHI52_RS03255
OG0000407	MHL_RS03250	EHI52_RS03260
OG0000408	MHL_RS03255	EHI52_RS03265
OG0000409	MHL_RS03260	EHI52_RS03270
OG0000410	MHL_RS03315	EHI52_RS03330
OG0000411	MHL_RS03305	EHI52_RS03320
OG0000412	MHL_RS03300	EHI52_RS03315
OG0000413	MHL_RS01600	EHI52_RS01580
OG0000414	MHL_RS01610	EHI52_RS01590
OG0000415	MHL_RS01615	EHI52_RS01595
OG0000416	MHL_RS01625	EHI52_RS01605
OG0000417	MHL_RS02350	EHI52_RS02295
OG0000418	MHL_RS02345	EHI52_RS02290
OG0000419	MHL_RS00800	EHI52_RS00710
OG0000420	MHL_RS00835	EHI52_RS00745
OG0000421	MHL_RS00865	EHI52_RS00780
OG0000422	MHL_RS00875	EHI52_RS00790
OG0000423	MHL_RS00930	EHI52_RS00845
OG0000424	MHL_RS00935	EHI52_RS00850
OG0000425	MHL_RS00945	EHI52_RS00860
OG0000426	MHL_RS00950	EHI52_RS00865
OG0000427	MHL_RS00975	EHI52_RS00890
OG0000428	MHL_RS01000	EHI52_RS00915
OG0000429	MHL_RS01095	EHI52_RS01080
OG0000430	MHL_RS01140	EHI52_RS01125
OG0000431	MHL_RS01150	EHI52_RS01135
OG0000432	MHL_RS01180	EHI52_RS01170
OG0000433	MHL_RS01195	EHI52_RS01185
OG0000434	MHL_RS01200	EHI52_RS01190
OG0000435	MHL_RS01215	EHI52_RS01205
OG0000436	MHL_RS01245	EHI52_RS01235
OG0000437	MHL_RS01255	EHI52_RS01245
OG0000438	MHL_RS03965	EHI52_RS01250
OG0000439	MHL_RS01265	EHI52_RS01255
OG0000440	MHL_RS03000	EHI52_RS02945
OG0000441	MHL_RS03040	EHI52_RS02985
OG0000442	MHL_RS00150	EHI52_RS00145
OG0000443	MHL_RS00195	EHI52_RS00195
OG0000444	MHL_RS00205	EHI52_RS00210
OG0000445	MHL_RS00230	EHI52_RS00235
OG0000446	MHL_RS00260	EHI52_RS00265
OG0000447	MHL_RS00265	EHI52_RS00270
OG0000448	MHL_RS00295	EHI52_RS00300
OG0000449	MHL_RS00320	EHI52_RS00325
OG0000450	MHL_RS00330	EHI52_RS00335
OG0000452	MHL_RS00395	EHI52_RS00405
OG0000453	MHL_RS00430	EHI52_RS00440
OG0000455	MHL_RS03510	EHI52_RS03510
OG0000456	MHL_RS03395	EHI52_RS03390
OG0000457	MHL_RS03370	EHI52_RS03365
OG0000458	MHL_RS02570	EHI52_RS02510
OG0000459	MHL_RS02595	EHI52_RS02535
OG0000460	MHL_RS02605	EHI52_RS02545
OG0000461	MHL_RS02650	EHI52_RS02590
OG0000462	MHL_RS02645	EHI52_RS02585
OG0000463	MHL_RS02640	EHI52_RS02580
OG0000464	MHL_RS02635	EHI52_RS02575
OG0000465	MHL_RS02630	EHI52_RS02570
OG0000466	MHL_RS00400	EHI52_RS00410
OG0000467	MHL_RS02730	EHI52_RS02670
OG0000468	MHL_RS02040	EHI52_RS01970
OG0000469	MHL_RS02100	EHI52_RS01910
OG0000470	MHL_RS03825	EHI52_RS03650
OG0000471	MHL_RS01005	EHI52_RS00920
OG0000472	MHL_RS03325	EHI52_RS03340
OG0000473	MHL_RS03495	EHI52_RS03495
OG0000474	MHL_RS03500	EHI52_RS03500
OG0000475	MHL_RS03505	EHI52_RS03505
OG0000476	MHL_RS01635	EHI52_RS01615
OG0000477	MHL_RS02675	EHI52_RS02615
OG0000478	MHL_RS03440	EHI52_RS03440
OG0000479	MHL_RS01410	EHI52_RS01390
OG0000480	MHL_RS03850	EHI52_RS03665
OG0000481	MHL_RS00900	EHI52_RS00815
OG0000482	MHL_RS01295	EHI52_RS01275
OG0000483	MHL_RS02145	EHI52_RS01865
OG0000484	MHL_RS00200	EHI52_RS00205
OG0000485	MHL_RS01250	EHI52_RS01240
OG0000486	MHL_RS02370	EHI52_RS02315
OG0000487	MHL_RS02080	EHI52_RS01930
OG0000488	MHL_RS02115	EHI52_RS01895
OG0000489	MHL_RS00055	EHI52_RS00050
OG0000491	MHL_RS01430	EHI52_RS01410
OG0000492	MHL_RS01505	EHI52_RS01485
OG0000494	MHL_RS00730	EHI52_RS00655
OG0000495	MHL_RS02880	EHI52_RS02825
OG0000496	MHL_RS04090	EHI52_RS02815
OG0000497	MHL_RS02865	EHI52_RS02810
OG0000498	MHL_RS02785	EHI52_RS02730
OG0000499	MHL_RS02750	EHI52_RS02695
OG0000500	MHL_RS02005	EHI52_RS02005
OG0000501	MHL_RS03075	EHI52_RS03080
OG0000502	MHL_RS01285	EHI52_RS01265
OG0000503	MHL_RS00845	EHI52_RS00760
OG0000504	MHL_RS00980	EHI52_RS00895
OG0000505	MHL_RS01015	EHI52_RS01000
OG0000506	MHL_RS01025	EHI52_RS01010
OG0000507	MHL_RS01060	EHI52_RS01045
OG0000508	MHL_RS00255	EHI52_RS00260
OG0000509	MHL_RS00290	EHI52_RS00295
OG0000510	MHL_RS00300	EHI52_RS00305
OG0000511	MHL_RS00435	EHI52_RS00445
OG0000512	MHL_RS02610	EHI52_RS02550
OG0000513	MHL_RS03425	EHI52_RS03425
OG0000514	MHL_RS02905	EHI52_RS02850
OG0000515	MHL_RS01925	EHI52_RS02090
OG0000516	MHL_RS02085	EHI52_RS01925
OG0000517	MHL_RS00070	EHI52_RS00065
OG0000518	MHL_RS03115	EHI52_RS03125
OG0000519	MHL_RS00870	EHI52_RS00785
OG0000520	MHL_RS00995	EHI52_RS00910
OG0000521	MHL_RS00270	EHI52_RS00275
OG0000522	MHL_RS00305	EHI52_RS00310
OG0000523	MHL_RS03365	EHI52_RS03360
OG0000524	MHL_RS02725	EHI52_RS02665
OG0000525	MHL_RS03330	EHI52_RS03345
OG0000526	MHL_RS04020	EHI52_RS03800
OG0000527	MHL_RS01840	EHI52_RS02185
OG0000528	MHL_RS02090	EHI52_RS01920
OG0000529	MHL_RS02300	EHI52_RS02250
OG0000530	MHL_RS02410	EHI52_RS02355
OG0000531	MHL_RS01480	EHI52_RS01460
OG0000532	MHL_RS01715	EHI52_RS01685
OG0000534	MHL_RS00385	EHI52_RS00395
OG0000535	MHL_RS00050	EHI52_RS00045
OG0000536	MHL_RS03540	EHI52_RS03545
