Orthogroup	MHP_116_proteins	MHP_ES2L_proteins
OG0000113	WP_348602528.1	WP_011206268.1
OG0000114	WP_348602527.1	WP_240536596.1
OG0000115	WP_011290245.1	WP_179221143.1
OG0000116	WP_348602777.1	WP_179221066.1
OG0000117	WP_348602778.1	WP_179221067.1
OG0000118	WP_348572057.1	WP_179221071.1
OG0000119	WP_348602783.1	WP_179221072.1
OG0000120	WP_348602785.1	WP_011284027.1
OG0000121	WP_348602788.1	WP_011284032.1
OG0000122	WP_348602789.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_348602791.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011290120.1
OG0000127	WP_011205948.1	WP_011205948.1
OG0000128	WP_348602795.1	WP_179221081.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_179221083.1
OG0000132	WP_135618714.1	WP_179221086.1
OG0000133	WP_011206123.1	WP_179221012.1
OG0000134	WP_348602707.1	WP_237697227.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_348602708.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_179221021.1
OG0000139	WP_011206102.1	WP_179221023.1
OG0000140	WP_146379496.1	WP_011206101.1
OG0000141	WP_160584965.1	WP_160600792.1
OG0000142	WP_348602592.1	WP_179221197.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_348602590.1	WP_179221195.1
OG0000145	WP_225972996.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_348602586.1	WP_179221191.1
OG0000149	WP_348602585.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_348602580.1	WP_160600765.1
OG0000152	WP_348602579.1	WP_011206348.1
OG0000153	WP_233688497.1	WP_160615699.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_348602573.1	WP_179221183.1
OG0000156	WP_348602572.1	WP_179221181.1
OG0000157	WP_348602571.1	WP_011206334.1
OG0000158	WP_348602570.1	WP_179221179.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_348571730.1	WP_179221156.1
OG0000164	WP_233688726.1	WP_179221094.1
OG0000165	WP_348602846.1	WP_011206200.1
OG0000166	WP_348602850.1	WP_179221120.1
OG0000167	WP_348602852.1	WP_135618846.1
OG0000168	WP_348602853.1	WP_135618848.1
OG0000169	WP_179221201.1	WP_179221201.1
OG0000170	WP_020835862.1	WP_179221204.1
OG0000171	WP_348602609.1	WP_050195447.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160588049.1	WP_135619059.1
OG0000174	WP_348602610.1	WP_011290369.1
OG0000175	WP_160585645.1	WP_011206429.1
OG0000176	WP_348602616.1	WP_179221225.1
OG0000177	WP_160606697.1	WP_160585273.1
OG0000178	WP_348602617.1	WP_011206441.1
OG0000179	WP_014579979.1	WP_179221227.1
OG0000180	WP_011206445.1	WP_160600945.1
OG0000181	WP_348602622.1	WP_179221235.1
OG0000182	WP_014579987.1	WP_014579987.1
OG0000183	WP_348571845.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_146379743.1
OG0000185	WP_146379740.1	WP_011290398.1
OG0000186	WP_135618718.1	WP_011205937.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_348602521.1	WP_179221142.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_348602517.1	WP_135619204.1
OG0000192	WP_348602857.1	WP_179221288.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_011283924.1	WP_011290024.1
OG0000196	WP_228729168.1	WP_179221025.1
OG0000197	WP_348602746.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_146379501.1	WP_179221026.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_348602735.1	WP_011206073.1
OG0000203	WP_348602734.1	WP_011206072.1
OG0000204	WP_348602733.1	WP_179221034.1
OG0000205	WP_348602732.1	WP_179221035.1
OG0000206	WP_135618589.1	WP_011206066.1
OG0000207	WP_011283951.1	WP_179221038.1
OG0000208	WP_348602727.1	WP_179221039.1
OG0000209	WP_348602726.1	WP_011206061.1
OG0000210	WP_135618604.1	WP_044284597.1
OG0000211	WP_011290054.1	WP_135618610.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_020835589.1	WP_011206046.1
OG0000216	WP_348602720.1	WP_014579616.1
OG0000217	WP_348602719.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_179221043.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_160590391.1	WP_179221044.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_011206037.1	WP_179221045.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160585734.1	WP_044284599.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_348602718.1	WP_179221046.1
OG0000228	WP_348602717.1	WP_179221047.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_348602716.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_179221048.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_179221050.1
OG0000234	WP_348602756.1	WP_044284822.1
OG0000235	WP_348602758.1	WP_160587980.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_348572018.1	WP_179221055.1
OG0000238	WP_348572020.1	WP_011206006.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_160585231.1	WP_160585231.1
OG0000242	WP_348602595.1	WP_179221199.1
OG0000243	WP_348602596.1	WP_014579955.1
OG0000244	WP_348602597.1	WP_011206406.1
OG0000245	WP_348602599.1	WP_020835856.1
OG0000246	WP_050195463.1	WP_240536630.1
OG0000247	WP_348602680.1	WP_179220986.1
OG0000248	WP_348602866.1	WP_179221284.1
OG0000249	WP_348602681.1	WP_179220987.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_318023737.1	WP_179220991.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_179220992.1
OG0000254	WP_348602687.1	WP_160584767.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_348602690.1	WP_011289973.1
OG0000258	WP_011289974.1	WP_011283871.1
OG0000259	WP_020835520.1	WP_240536633.1
OG0000260	WP_348602694.1	WP_011289982.1
OG0000261	WP_348602696.1	WP_179221000.1
OG0000262	WP_041361531.1	WP_135618519.1
OG0000263	WP_348602697.1	WP_011283885.1
OG0000264	WP_011283887.1	WP_011205916.1
OG0000265	WP_348602699.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_014579577.1
OG0000268	WP_179695950.1	WP_179221004.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_348602648.1	WP_179221266.1
OG0000271	WP_348602647.1	WP_179221265.1
OG0000272	WP_348602646.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_179221264.1
OG0000274	WP_348602643.1	WP_179221261.1
OG0000275	WP_228366117.1	WP_240536623.1
OG0000276	WP_011290421.1	WP_011284368.1
OG0000277	WP_011206494.1	WP_179221259.1
OG0000278	WP_011206493.1	WP_179221258.1
OG0000279	WP_011290418.1	WP_014580014.1
OG0000280	WP_011206490.1	WP_135619140.1
OG0000281	WP_011290416.1	WP_014580012.1
OG0000282	WP_348602640.1	WP_179221256.1
OG0000283	WP_160584907.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_179221255.1
OG0000285	WP_348602639.1	WP_179221254.1
OG0000286	WP_044272526.1	WP_179221154.1
OG0000287	WP_348602546.1	WP_179221161.1
OG0000288	WP_348602548.1	WP_179221163.1
OG0000289	WP_348602549.1	WP_179221164.1
OG0000290	WP_011290297.1	WP_135618967.1
OG0000291	WP_348602563.1	WP_011206320.1
OG0000292	WP_044284681.1	WP_179221172.1
OG0000293	WP_348602562.1	WP_179221171.1
OG0000294	WP_348602561.1	WP_179221170.1
OG0000295	WP_160590135.1	WP_011206315.1
OG0000296	WP_348602554.1	WP_011206307.1
OG0000297	WP_011206306.1	WP_020835798.1
OG0000298	WP_348602683.1	WP_179220989.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_348602709.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_348602589.1	WP_179221193.1
OG0000306	WP_044272563.1	WP_179221188.1
OG0000307	WP_348602578.1	WP_160608072.1
OG0000308	WP_020835811.1	WP_179221175.1
OG0000309	WP_348602559.1	WP_011206313.1
OG0000310	WP_348602547.1	WP_179221162.1
OG0000311	WP_014579885.1	WP_011206293.1
OG0000312	WP_348602540.1	WP_179221159.1
OG0000313	WP_011206141.1	WP_179221093.1
OG0000314	WP_348602849.1	WP_179221119.1
OG0000315	WP_011290197.1	WP_179221124.1
OG0000316	WP_348571614.1	WP_179221125.1
OG0000317	WP_160585126.1	WP_179221134.1
OG0000318	WP_348602854.1	WP_240536661.1
OG0000319	WP_135618880.1	WP_135618880.1
OG0000320	WP_348602530.1	WP_179221145.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179696045.1	WP_179221085.1
OG0000324	WP_348602516.1	WP_135618886.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_348602739.1	WP_179221031.1
OG0000327	WP_348602738.1	WP_011206076.1
OG0000328	WP_348602725.1	WP_220200845.1
OG0000329	WP_011206056.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_179221219.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_348602623.1	WP_160601134.1
OG0000335	WP_348602624.1	WP_179221236.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011284387.1	WP_011206520.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_348602526.1	WP_179221144.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_348602520.1	WP_135618892.1
OG0000342	WP_348602744.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_348602712.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_240536622.1
OG0000347	WP_011205955.1	WP_179221076.1
OG0000348	WP_348602737.1	WP_179221032.1
OG0000349	WP_348602645.1	WP_179221263.1
OG0000350	WP_348602577.1	WP_240536608.1
OG0000351	WP_308704698.1	WP_179221007.1
OG0000352	WP_348602845.1	WP_011290189.1
OG0000353	WP_348602787.1	WP_179221075.1
OG0000354	WP_348602750.1	WP_237697228.1
OG0000355	WP_011206194.1	WP_020835708.1
OG0000356	WP_308507057.1	WP_240536660.1
OG0000357	WP_228366113.1	WP_240536619.1
OG0000358	WP_348602611.1	WP_135619062.1
OG0000359	WP_348602741.1	WP_240536635.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_348602692.1	WP_179220997.1
OG0000362	WP_348602551.1	WP_011206302.1
OG0000363	WP_348572138.1	WP_276310607.1
OG0000364	WP_348602839.1	WP_236607972.1
OG0000365	WP_160606601.1	WP_179221129.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_348602500.1	WP_240536587.1
OG0000368	WP_011289935.1	WP_179220980.1
OG0000369	WP_160588112.1	WP_179220976.1
OG0000370	WP_044272260.1	WP_179220975.1
OG0000371	WP_348602666.1	WP_179220974.1
OG0000372	WP_348571907.1	WP_011205841.1
OG0000373	WP_348602665.1	WP_179221280.1
OG0000374	WP_348571901.1	WP_179221278.1
OG0000375	WP_135618878.1	WP_011206240.1
OG0000376	WP_348602532.1	WP_179221147.1
OG0000377	WP_011206271.1	WP_044284661.1
OG0000378	WP_348602776.1	WP_179221065.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_348602790.1	WP_160588252.1
OG0000381	WP_348602793.1	WP_179221078.1
OG0000382	WP_348602796.1	WP_179221082.1
OG0000383	WP_014579735.1	WP_179221084.1
OG0000384	WP_041361727.1	WP_041361727.1
OG0000385	WP_348602705.1	WP_179221010.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_348602710.1	WP_179221013.1
OG0000388	WP_348602711.1	WP_179221014.1
OG0000389	WP_348602751.1	WP_179221020.1
OG0000390	WP_011284284.1	WP_011206390.1
OG0000391	WP_020835843.1	WP_179221194.1
OG0000392	WP_348602588.1	WP_020835840.1
OG0000393	WP_348602583.1	WP_179221189.1
OG0000394	WP_160585688.1	WP_179221185.1
OG0000395	WP_348602574.1	WP_179221184.1
OG0000396	WP_348571728.1	WP_179221155.1
OG0000397	WP_348602842.1	WP_011206196.1
OG0000398	WP_348602843.1	WP_020835709.1
OG0000399	WP_348602851.1	WP_179221122.1
OG0000400	WP_348602607.1	WP_179221203.1
OG0000401	WP_135619070.1	WP_179221220.1
OG0000402	WP_348602613.1	WP_179221221.1
OG0000403	WP_348602614.1	WP_179221222.1
OG0000404	WP_348602618.1	WP_179221226.1
OG0000405	WP_011290381.1	WP_179221228.1
OG0000406	WP_348602625.1	WP_179221237.1
OG0000407	WP_348602626.1	WP_179221238.1
OG0000408	WP_348602627.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_146379742.1	WP_179221244.1
OG0000412	WP_011290399.1	WP_179221243.1
OG0000413	WP_146379568.1	WP_146379568.1
OG0000414	WP_348602797.1	WP_179221087.1
OG0000415	WP_348602798.1	WP_179221088.1
OG0000416	WP_011284056.1	WP_011284056.1
OG0000417	WP_348602519.1	WP_179221141.1
OG0000418	WP_348602518.1	WP_240536592.1
OG0000419	WP_020835572.1	WP_020835572.1
OG0000420	WP_348602743.1	WP_020835574.1
OG0000421	WP_011290034.1	WP_179221028.1
OG0000422	WP_348602740.1	WP_179221030.1
OG0000423	WP_348602731.1	WP_011206068.1
OG0000424	WP_348602730.1	WP_179221037.1
OG0000425	WP_348602729.1	WP_011283949.1
OG0000426	WP_348602728.1	WP_011283950.1
OG0000427	WP_348602724.1	WP_179221040.1
OG0000428	WP_348602721.1	WP_179221042.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_050195474.1	WP_014579604.1
OG0000431	WP_348602715.1	WP_011290067.1
OG0000432	WP_348602755.1	WP_179221051.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_020835607.1	WP_179221053.1
OG0000435	WP_348602757.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_014579672.1	WP_160584684.1
OG0000438	WP_348602759.1	WP_179221056.1
OG0000439	WP_044272377.1	WP_179221057.1
OG0000440	WP_348602594.1	WP_160585229.1
OG0000441	WP_348602600.1	WP_011284299.1
OG0000442	WP_348602679.1	WP_179220985.1
OG0000443	WP_348602685.1	WP_160600657.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_044284571.1	WP_044284571.1
OG0000446	WP_348602689.1	WP_135618497.1
OG0000447	WP_014579553.1	WP_014579553.1
OG0000448	WP_011289976.1	WP_179220995.1
OG0000449	WP_348602693.1	WP_179220998.1
OG0000450	WP_348602695.1	WP_179220999.1
OG0000451	WP_094521553.1	WP_160600695.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_348602700.1	WP_011283895.1
OG0000454	WP_225973031.1	WP_179221215.1
OG0000455	WP_348602652.1	WP_179221269.1
OG0000456	WP_348602641.1	WP_011206487.1
OG0000457	WP_348602638.1	WP_179221253.1
OG0000458	WP_348602545.1	WP_179221160.1
OG0000459	WP_348602550.1	WP_014579890.1
OG0000460	WP_348602552.1	WP_179221165.1
OG0000461	WP_348602558.1	WP_179221169.1
OG0000462	WP_348602557.1	WP_179221168.1
OG0000463	WP_348602556.1	WP_135618955.1
OG0000465	WP_348602555.1	WP_179221167.1
OG0000466	WP_011205922.1	WP_179221003.1
OG0000467	WP_348602567.1	WP_179221177.1
OG0000468	WP_160585598.1	WP_179221121.1
OG0000469	WP_014579824.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_179221036.1
OG0000471	WP_348571977.1	WP_014579622.1
OG0000472	WP_348602633.1	WP_179221246.1
OG0000473	WP_348602649.1	WP_179221267.1
OG0000474	WP_348602650.1	WP_011284377.1
OG0000475	WP_348602651.1	WP_179221268.1
OG0000476	WP_014579742.1	WP_179221089.1
OG0000477	WP_348571773.1	WP_011206317.1
OG0000478	WP_146379753.1	WP_011284367.1
OG0000479	WP_348602782.1	WP_179221070.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_348602736.1	WP_179221033.1
OG0000483	WP_348602501.1	WP_011206227.1
OG0000484	WP_348602686.1	WP_240536632.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_348602522.1	WP_011290228.1
OG0000487	WP_348602855.1	WP_240536662.1
OG0000488	WP_348571630.1	WP_011206221.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_011206527.1	WP_179221281.1
OG0000491	WP_348602784.1	WP_179221073.1
OG0000492	WP_348602792.1	WP_179221077.1
OG0000493	WP_348571965.1	WP_179221015.1
OG0000494	WP_052269169.1	WP_179221022.1
OG0000495	WP_011284272.1	WP_135619008.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_160585682.1	WP_160587850.1
OG0000498	WP_011290314.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_179221180.1
OG0000500	WP_348602844.1	WP_179221117.1
OG0000501	WP_348602608.1	WP_240536614.1
OG0000502	WP_348602764.1	WP_179221058.1
OG0000503	WP_348602742.1	WP_020835576.1
OG0000504	WP_348602723.1	WP_011283955.1
OG0000505	WP_011290053.1	WP_011283961.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_160585191.1	WP_160585191.1
OG0000508	WP_348602688.1	WP_179220993.1
OG0000509	WP_020835518.1	WP_179220994.1
OG0000510	WP_011289977.1	WP_160600677.1
OG0000511	WP_011206135.1	WP_179221005.1
OG0000513	WP_348602642.1	WP_011206492.1
OG0000514	WP_348602587.1	WP_179221192.1
OG0000516	WP_011206214.1	WP_179221126.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_348602612.1	WP_179221218.1
OG0000519	WP_160584803.1	WP_179221029.1
OG0000520	WP_011283957.1	WP_011283957.1
OG0000521	WP_020835515.1	WP_020835515.1
OG0000522	WP_348602691.1	WP_179220996.1
OG0000523	WP_348602637.1	WP_179221252.1
OG0000524	WP_348602566.1	WP_179221176.1
OG0000525	WP_348602634.1	WP_179221247.1
OG0000527	WP_348602820.1	WP_240536651.1
OG0000528	WP_348602497.1	WP_179221127.1
OG0000529	WP_348602513.1	WP_179221138.1
OG0000530	WP_011290248.1	WP_011284186.1
OG0000531	WP_020835645.1	WP_020835645.1
OG0000532	WP_348602803.1	WP_179221096.1
OG0000533	WP_011206110.1	WP_179221017.1
OG0000534	WP_348602698.1	WP_160600697.1
OG0000535	WP_011205848.1	WP_179220978.1
OG0000536	WP_348602655.1	WP_240536624.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_020835608.1	WP_179221054.1
OG0000539	WP_160585545.1	WP_011205882.1
OG0000540	WP_348602564.1	WP_179221173.1
OG0000542	WP_011289986.1	WP_011289986.1
OG0000544	WP_348602770.1	WP_240536637.1
OG0000545	WP_348602827.1	WP_094521665.1
OG0000546	WP_011206350.1	WP_179221187.1
OG0000547	WP_233688510.1	WP_160600789.1
OG0000548	WP_160606621.1	WP_179221092.1
OG0000549	WP_348602632.1	WP_179221245.1
OG0000550	WP_348602644.1	WP_179221262.1
OG0000551	WP_348602598.1	WP_011206407.1
OG0000552	WP_348602615.1	WP_179221223.1
OG0000553	WP_348602569.1	WP_179221178.1
OG0000554	WP_348602534.1	WP_179221150.1
OG0000555	WP_179221196.1	WP_179221196.1
OG0000557	WP_011205983.1	WP_160606544.1
OG0000558	WP_348602767.1	WP_179221059.1
OG0000559	WP_014579758.1	WP_011206161.1
OG0000560	WP_348602826.1	WP_011206182.1
OG0000561	WP_094521603.1	WP_179221052.1
OG0000562	WP_146379618.1	WP_179221111.1
OG0000563	WP_348602824.1	WP_179221110.1
OG0000564	WP_348602775.1	WP_094521768.1
OG0000565	WP_348602837.1	WP_011290181.1
