#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP079799.1:590123-590653|- -            177 4324at2085           -            135   8.8e-42  137.7   2.8   1   1   2.2e-43   1.7e-41  136.8   2.8     1   134     1   168     1   169 0.79 NZ_CP079799.1_476 # 590123 # 590653 # -1 # ID=1_476;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.303
NZ_CP079799.1:191396-192253|- -            286 4324at2085           -            135     7e-06   21.5   2.2   1   2       0.6        47   -0.7   0.2    96   117    99   120    87   142 0.60 NZ_CP079799.1_153 # 191396 # 192253 # -1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_CP079799.1:191396-192253|- -            286 4324at2085           -            135     7e-06   21.5   2.2   2   2   1.3e-07     1e-05   20.9   0.1    13    77   156   232   148   241 0.73 NZ_CP079799.1_153 # 191396 # 192253 # -1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.284
NZ_CP079799.1:777618-779417|- -            600 4324at2085           -            135   0.00037   15.9   0.1   1   3       1.3     1e+02   -1.7   0.1    77   115    30    68    16    78 0.77 NZ_CP079799.1_613 # 777618 # 779417 # -1 # ID=1_613;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP079799.1:777618-779417|- -            600 4324at2085           -            135   0.00037   15.9   0.1   2   3   4.7e-06   0.00037   15.9   0.1    12   123   116   236   112   245 0.79 NZ_CP079799.1_613 # 777618 # 779417 # -1 # ID=1_613;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP079799.1:777618-779417|- -            600 4324at2085           -            135   0.00037   15.9   0.1   3   3       2.5     2e+02   -2.7   0.1    90   116   468   494   448   500 0.74 NZ_CP079799.1_613 # 777618 # 779417 # -1 # ID=1_613;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP079799.1:55473-56732|+   -            420 4324at2085           -            135   0.00037   15.9   2.4   1   2   6.7e-06   0.00053   15.4   0.2    10   121   157   273   152   282 0.79 NZ_CP079799.1_42 # 55473 # 56732 # 1 # ID=1_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NZ_CP079799.1:55473-56732|+   -            420 4324at2085           -            135   0.00037   15.9   2.4   2   2      0.54        42   -0.5   0.1    33   103   300   370   293   384 0.73 NZ_CP079799.1_42 # 55473 # 56732 # 1 # ID=1_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NZ_CP079799.1:120570-123413|- -            948 4324at2085           -            135    0.0047   12.3   1.9   1   2     0.085       6.7    2.1   0.0    10    29    32    52    24    59 0.80 NZ_CP079799.1_95 # 120570 # 123413 # -1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
NZ_CP079799.1:120570-123413|- -            948 4324at2085           -            135    0.0047   12.3   1.9   2   2    0.0016      0.13    7.7   0.4    12    36   641   665   637   676 0.89 NZ_CP079799.1_95 # 120570 # 123413 # -1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/4324at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/LH/Use
# Date:            Thu Nov 28 19:21:23 2024
# [ok]
