Orthogroup	MHP_7448_genes	MHP_F72C_genes
OG0000110	MHP7448_RS02410	EHI52_RS02395
OG0000111	MHP7448_RS02405	EHI52_RS02390
OG0000112	MHP7448_RS02395	EHI52_RS02380
OG0000113	MHP7448_RS02375	EHI52_RS02360
OG0000114	MHP7448_RS02365	EHI52_RS02350
OG0000115	MHP7448_RS02355	EHI52_RS02335
OG0000116	MHP7448_RS01315	EHI52_RS01360
OG0000117	MHP7448_RS01320	EHI52_RS01365
OG0000118	MHP7448_RS01355	EHI52_RS01400
OG0000119	MHP7448_RS01360	EHI52_RS01405
OG0000120	MHP7448_RS01375	EHI52_RS01420
OG0000121	MHP7448_RS01400	EHI52_RS01445
OG0000122	MHP7448_RS01405	EHI52_RS01450
OG0000123	MHP7448_RS01425	EHI52_RS01470
OG0000124	MHP7448_RS01430	EHI52_RS01475
OG0000125	MHP7448_RS01435	EHI52_RS01480
OG0000126	MHP7448_RS01445	EHI52_RS01490
OG0000127	MHP7448_RS01455	EHI52_RS01500
OG0000128	MHP7448_RS01470	EHI52_RS01515
OG0000129	MHP7448_RS01475	EHI52_RS01520
OG0000130	MHP7448_RS01485	EHI52_RS01530
OG0000131	MHP7448_RS01515	EHI52_RS01560
OG0000132	MHP7448_RS01530	EHI52_RS01575
OG0000133	MHP7448_RS00530	EHI52_RS00545
OG0000134	MHP7448_RS00535	EHI52_RS00550
OG0000135	MHP7448_RS00550	EHI52_RS00565
OG0000136	MHP7448_RS00555	EHI52_RS00570
OG0000137	MHP7448_RS00590	EHI52_RS00600
OG0000138	MHP7448_RS00630	EHI52_RS00635
OG0000139	MHP7448_RS00660	EHI52_RS00665
OG0000140	MHP7448_RS00665	EHI52_RS00670
OG0000141	MHP7448_RS02960	EHI52_RS02925
OG0000142	MHP7448_RS02955	EHI52_RS02920
OG0000143	MHP7448_RS02930	EHI52_RS02895
OG0000144	MHP7448_RS02920	EHI52_RS02885
OG0000145	MHP7448_RS02910	EHI52_RS02875
OG0000146	MHP7448_RS02900	EHI52_RS02865
OG0000147	MHP7448_RS02895	EHI52_RS02860
OG0000148	MHP7448_RS02880	EHI52_RS02845
OG0000149	MHP7448_RS02870	EHI52_RS02835
OG0000150	MHP7448_RS02850	EHI52_RS02820
OG0000151	MHP7448_RS02805	EHI52_RS02775
OG0000152	MHP7448_RS02800	EHI52_RS02770
OG0000153	MHP7448_RS02795	EHI52_RS02765
OG0000154	MHP7448_RS02785	EHI52_RS02755
OG0000155	MHP7448_RS02745	EHI52_RS02715
OG0000156	MHP7448_RS02735	EHI52_RS02705
OG0000157	MHP7448_RS02730	EHI52_RS02700
OG0000158	MHP7448_RS04110	EHI52_RS03885
OG0000159	MHP7448_RS02485	EHI52_RS03925
OG0000160	MHP7448_RS02480	EHI52_RS02460
OG0000161	MHP7448_RS02475	EHI52_RS02455
OG0000162	MHP7448_RS02465	EHI52_RS02445
OG0000163	MHP7448_RS02460	EHI52_RS02440
OG0000164	MHP7448_RS01625	EHI52_RS01665
OG0000165	MHP7448_RS01960	EHI52_RS01995
OG0000166	MHP7448_RS01980	EHI52_RS01975
OG0000167	MHP7448_RS01995	EHI52_RS01960
OG0000168	MHP7448_RS02000	EHI52_RS01955
OG0000169	MHP7448_RS03080	EHI52_RS03055
OG0000170	MHP7448_RS03095	EHI52_RS03075
OG0000171	MHP7448_RS03105	EHI52_RS03085
OG0000172	MHP7448_RS03115	EHI52_RS03095
OG0000173	MHP7448_RS03120	EHI52_RS03100
OG0000174	MHP7448_RS03125	EHI52_RS03105
OG0000175	MHP7448_RS03140	EHI52_RS03120
OG0000176	MHP7448_RS03190	EHI52_RS03170
OG0000177	MHP7448_RS03195	EHI52_RS03175
OG0000178	MHP7448_RS03200	EHI52_RS03180
OG0000179	MHP7448_RS03210	EHI52_RS03190
OG0000180	MHP7448_RS03215	EHI52_RS03195
OG0000181	MHP7448_RS03255	EHI52_RS03235
OG0000182	MHP7448_RS03265	EHI52_RS03245
OG0000183	MHP7448_RS03300	EHI52_RS03280
OG0000184	MHP7448_RS03345	EHI52_RS03325
OG0000185	MHP7448_RS03330	EHI52_RS03310
OG0000186	MHP7448_RS01540	EHI52_RS01585
OG0000187	MHP7448_RS01555	EHI52_RS01600
OG0000188	MHP7448_RS01565	EHI52_RS01610
OG0000189	MHP7448_RS02230	EHI52_RS02310
OG0000190	MHP7448_RS02225	EHI52_RS02305
OG0000191	MHP7448_RS02205	EHI52_RS02285
OG0000192	MHP7448_RS01230	EHI52_RS01280
OG0000193	MHP7448_RS01210	EHI52_RS01270
OG0000194	MHP7448_RS00700	EHI52_RS00690
OG0000195	MHP7448_RS00705	EHI52_RS00695
OG0000196	MHP7448_RS00725	EHI52_RS00715
OG0000197	MHP7448_RS00730	EHI52_RS00720
OG0000198	MHP7448_RS00745	EHI52_RS00735
OG0000199	MHP7448_RS00750	EHI52_RS00740
OG0000200	MHP7448_RS00760	EHI52_RS00755
OG0000201	MHP7448_RS00770	EHI52_RS00765
OG0000202	MHP7448_RS00825	EHI52_RS00820
OG0000203	MHP7448_RS00830	EHI52_RS00825
OG0000204	MHP7448_RS00835	EHI52_RS00830
OG0000205	MHP7448_RS00840	EHI52_RS00835
OG0000206	MHP7448_RS00860	EHI52_RS00855
OG0000207	MHP7448_RS00875	EHI52_RS00870
OG0000208	MHP7448_RS00880	EHI52_RS00875
OG0000209	MHP7448_RS00885	EHI52_RS00880
OG0000210	MHP7448_RS00930	EHI52_RS00925
OG0000211	MHP7448_RS00940	EHI52_RS01005
OG0000212	MHP7448_RS00950	EHI52_RS01015
OG0000213	MHP7448_RS00955	EHI52_RS01020
OG0000214	MHP7448_RS00960	EHI52_RS01025
OG0000215	MHP7448_RS00965	EHI52_RS01030
OG0000216	MHP7448_RS00970	EHI52_RS01035
OG0000217	MHP7448_RS00975	EHI52_RS01040
OG0000218	MHP7448_RS00985	EHI52_RS01050
OG0000219	MHP7448_RS00990	EHI52_RS01055
OG0000220	MHP7448_RS00995	EHI52_RS01060
OG0000221	MHP7448_RS01000	EHI52_RS01065
OG0000222	MHP7448_RS01005	EHI52_RS01070
OG0000223	MHP7448_RS01010	EHI52_RS01075
OG0000224	MHP7448_RS01020	EHI52_RS01085
OG0000225	MHP7448_RS01030	EHI52_RS01095
OG0000226	MHP7448_RS01035	EHI52_RS01100
OG0000227	MHP7448_RS01040	EHI52_RS01105
OG0000228	MHP7448_RS04115	EHI52_RS03905
OG0000229	MHP7448_RS01050	EHI52_RS01115
OG0000230	MHP7448_RS01055	EHI52_RS01120
OG0000231	MHP7448_RS01065	EHI52_RS01130
OG0000232	MHP7448_RS01075	EHI52_RS01140
OG0000233	MHP7448_RS01095	EHI52_RS01165
OG0000234	MHP7448_RS01130	EHI52_RS01200
OG0000235	MHP7448_RS01140	EHI52_RS01210
OG0000236	MHP7448_RS01145	EHI52_RS01215
OG0000237	MHP7448_RS01150	EHI52_RS01220
OG0000238	MHP7448_RS01160	EHI52_RS01230
OG0000239	MHP7448_RS02970	EHI52_RS02935
OG0000240	MHP7448_RS02975	EHI52_RS02940
OG0000241	MHP7448_RS02985	EHI52_RS02950
OG0000242	MHP7448_RS02990	EHI52_RS02955
OG0000243	MHP7448_RS02995	EHI52_RS02960
OG0000244	MHP7448_RS03005	EHI52_RS02970
OG0000245	MHP7448_RS04055	EHI52_RS02980
OG0000246	MHP7448_RS00140	EHI52_RS00140
OG0000247	MHP7448_RS00150	EHI52_RS00150
OG0000248	MHP7448_RS00160	EHI52_RS00160
OG0000249	MHP7448_RS00165	EHI52_RS00165
OG0000250	MHP7448_RS00180	EHI52_RS00180
OG0000251	MHP7448_RS00205	EHI52_RS00215
OG0000252	MHP7448_RS00215	EHI52_RS00225
OG0000253	MHP7448_RS00220	EHI52_RS00230
OG0000254	MHP7448_RS00230	EHI52_RS00240
OG0000255	MHP7448_RS00240	EHI52_RS00250
OG0000256	MHP7448_RS00245	EHI52_RS00255
OG0000257	MHP7448_RS00270	EHI52_RS00280
OG0000258	MHP7448_RS00280	EHI52_RS00290
OG0000259	MHP7448_RS00310	EHI52_RS00320
OG0000260	MHP7448_RS00320	EHI52_RS00330
OG0000261	MHP7448_RS00330	EHI52_RS00340
OG0000262	MHP7448_RS00345	EHI52_RS00360
OG0000263	MHP7448_RS00360	EHI52_RS00375
OG0000264	MHP7448_RS00375	EHI52_RS00390
OG0000265	MHP7448_RS00385	EHI52_RS00400
OG0000266	MHP7448_RS00400	EHI52_RS00415
OG0000267	MHP7448_RS00415	EHI52_RS00430
OG0000268	MHP7448_RS00420	EHI52_RS00435
OG0000269	MHP7448_RS00435	EHI52_RS00450
OG0000270	MHP7448_RS03525	EHI52_RS03490
OG0000271	MHP7448_RS03520	EHI52_RS03485
OG0000272	MHP7448_RS03515	EHI52_RS03480
OG0000273	MHP7448_RS03510	EHI52_RS03475
OG0000274	MHP7448_RS03490	EHI52_RS03455
OG0000275	MHP7448_RS03485	EHI52_RS03450
OG0000276	MHP7448_RS03480	EHI52_RS03445
OG0000277	MHP7448_RS03470	EHI52_RS03435
OG0000278	MHP7448_RS03465	EHI52_RS03430
OG0000279	MHP7448_RS03455	EHI52_RS03420
OG0000280	MHP7448_RS03450	EHI52_RS03415
OG0000281	MHP7448_RS03795	EHI52_RS03410
OG0000282	MHP7448_RS03420	EHI52_RS03385
OG0000283	MHP7448_RS03415	EHI52_RS03380
OG0000284	MHP7448_RS03410	EHI52_RS03375
OG0000285	MHP7448_RS03405	EHI52_RS03370
OG0000286	MHP7448_RS02445	EHI52_RS02425
OG0000287	MHP7448_RS02540	EHI52_RS02515
OG0000288	MHP7448_RS02550	EHI52_RS02525
OG0000289	MHP7448_RS02555	EHI52_RS02530
OG0000290	MHP7448_RS02665	EHI52_RS02640
OG0000291	MHP7448_RS02655	EHI52_RS02630
OG0000292	MHP7448_RS02650	EHI52_RS02625
OG0000293	MHP7448_RS02645	EHI52_RS02620
OG0000294	MHP7448_RS02635	EHI52_RS02610
OG0000295	MHP7448_RS02630	EHI52_RS02605
OG0000296	MHP7448_RS02590	EHI52_RS02565
OG0000297	MHP7448_RS02585	EHI52_RS02560
OG0000298	MHP7448_RS00175	EHI52_RS00175
OG0000299	MHP7448_RS03685	EHI52_RS00200
OG0000300	MHP7448_RS00370	EHI52_RS00385
OG0000301	MHP7448_RS00405	EHI52_RS00420
OG0000302	MHP7448_RS00410	EHI52_RS00425
OG0000303	MHP7448_RS00560	EHI52_RS00575
OG0000304	MHP7448_RS01080	EHI52_RS01145
OG0000305	MHP7448_RS02905	EHI52_RS02870
OG0000306	MHP7448_RS02825	EHI52_RS02795
OG0000307	MHP7448_RS02790	EHI52_RS02760
OG0000308	MHP7448_RS02685	EHI52_RS02660
OG0000309	MHP7448_RS02620	EHI52_RS02595
OG0000310	MHP7448_RS02545	EHI52_RS02520
OG0000311	MHP7448_RS02505	EHI52_RS02485
OG0000312	MHP7448_RS02490	EHI52_RS02470
OG0000313	MHP7448_RS01615	EHI52_RS01655
OG0000314	MHP7448_RS01975	EHI52_RS01980
OG0000315	MHP7448_RS02005	EHI52_RS01950
OG0000316	MHP7448_RS02015	EHI52_RS01940
OG0000317	MHP7448_RS02105	EHI52_RS01850
OG0000318	MHP7448_RS02020	EHI52_RS01935
OG0000319	MHP7448_RS02160	EHI52_RS02240
OG0000320	MHP7448_RS02385	EHI52_RS02370
OG0000321	MHP7448_RS01350	EHI52_RS01395
OG0000322	MHP7448_RS01395	EHI52_RS01440
OG0000323	MHP7448_RS01525	EHI52_RS01570
OG0000324	MHP7448_RS02200	EHI52_RS02280
OG0000325	MHP7448_RS00710	EHI52_RS00700
OG0000326	MHP7448_RS00800	EHI52_RS00795
OG0000327	MHP7448_RS00805	EHI52_RS00800
OG0000328	MHP7448_RS00890	EHI52_RS00885
OG0000329	MHP7448_RS00910	EHI52_RS00905
OG0000330	MHP7448_RS01105	EHI52_RS01175
OG0000331	MHP7448_RS03000	EHI52_RS02965
OG0000332	MHP7448_RS03150	EHI52_RS03130
OG0000333	MHP7448_RS03160	EHI52_RS03140
OG0000334	MHP7448_RS03260	EHI52_RS03240
OG0000335	MHP7448_RS03270	EHI52_RS03250
OG0000336	MHP7448_RS03440	EHI52_RS03400
OG0000337	MHP7448_RS03605	EHI52_RS03575
OG0000338	MHP7448_RS03650	EHI52_RS03615
OG0000339	MHP7448_RS02360	EHI52_RS02340
OG0000340	MHP7448_RS01330	EHI52_RS01375
OG0000341	MHP7448_RS02220	EHI52_RS02300
OG0000342	MHP7448_RS00740	EHI52_RS00730
OG0000343	MHP7448_RS03170	EHI52_RS03150
OG0000344	MHP7448_RS00575	EHI52_RS00590
OG0000345	MHP7448_RS01025	EHI52_RS01090
OG0000346	MHP7448_RS04140	EHI52_RS03405
OG0000347	MHP7448_RS01420	EHI52_RS01465
OG0000348	MHP7448_RS00810	EHI52_RS00805
OG0000349	MHP7448_RS03500	EHI52_RS03465
OG0000350	MHP7448_RS03675	EHI52_RS02750
OG0000351	MHP7448_RS00495	EHI52_RS00510
OG0000352	MHP7448_RS01955	EHI52_RS02000
OG0000353	MHP7448_RS01390	EHI52_RS01435
OG0000354	MHP7448_RS00645	EHI52_RS00650
OG0000355	MHP7448_RS01925	EHI52_RS02030
OG0000356	MHP7448_RS02010	EHI52_RS01945
OG0000357	MHP7448_RS03130	EHI52_RS03110
OG0000358	MHP7448_RS03135	EHI52_RS03115
OG0000359	MHP7448_RS00780	EHI52_RS00775
OG0000360	MHP7448_RS00275	EHI52_RS00285
OG0000361	MHP7448_RS00305	EHI52_RS00315
OG0000362	MHP7448_RS02565	EHI52_RS02540
OG0000363	MHP7448_RS01460	EHI52_RS01505
OG0000364	MHP7448_RS01905	EHI52_RS03790, EHI52_RS02055
OG0000365	MHP7448_RS02050	EHI52_RS01905
OG0000366	MHP7448_RS02075	EHI52_RS01880
OG0000367	MHP7448_RS02085	EHI52_RS01870
OG0000368	MHP7448_RS00060	EHI52_RS00060
OG0000369	MHP7448_RS00025	EHI52_RS00025
OG0000370	MHP7448_RS00020	EHI52_RS00020
OG0000371	MHP7448_RS00015	EHI52_RS00015
OG0000372	MHP7448_RS00010	EHI52_RS00010
OG0000373	MHP7448_RS03640	EHI52_RS03605
OG0000374	MHP7448_RS03625	EHI52_RS03595
OG0000375	MHP7448_RS02155	EHI52_RS02235
OG0000376	MHP7448_RS02400	EHI52_RS02385
OG0000377	MHP7448_RS02390	EHI52_RS02375
OG0000378	MHP7448_RS01310	EHI52_RS01355
OG0000379	MHP7448_RS01385	EHI52_RS01430
OG0000380	MHP7448_RS01410	EHI52_RS01455
OG0000381	MHP7448_RS01450	EHI52_RS01495
OG0000382	MHP7448_RS01480	EHI52_RS01525
OG0000383	MHP7448_RS01520	EHI52_RS01565
OG0000384	MHP7448_RS00515	EHI52_RS00530
OG0000385	MHP7448_RS00520	EHI52_RS00535
OG0000386	MHP7448_RS00540	EHI52_RS00555
OG0000387	MHP7448_RS00565	EHI52_RS00580
OG0000388	MHP7448_RS00570	EHI52_RS00585
OG0000389	MHP7448_RS00615	EHI52_RS00630
OG0000390	MHP7448_RS02925	EHI52_RS02890
OG0000391	MHP7448_RS02915	EHI52_RS02880
OG0000392	MHP7448_RS02890	EHI52_RS02855
OG0000393	MHP7448_RS02830	EHI52_RS02800
OG0000394	MHP7448_RS02755	EHI52_RS02725
OG0000395	MHP7448_RS02750	EHI52_RS02720
OG0000396	MHP7448_RS02450	EHI52_RS02430
OG0000397	MHP7448_RS01940	EHI52_RS02015
OG0000398	MHP7448_RS01945	EHI52_RS02010
OG0000399	MHP7448_RS01990	EHI52_RS01965
OG0000400	MHP7448_RS03090	EHI52_RS03070
OG0000401	MHP7448_RS03155	EHI52_RS03135
OG0000402	MHP7448_RS03165	EHI52_RS03145
OG0000403	MHP7448_RS03175	EHI52_RS03155
OG0000404	MHP7448_RS03205	EHI52_RS03185
OG0000405	MHP7448_RS03220	EHI52_RS03200
OG0000406	MHP7448_RS03275	EHI52_RS03255
OG0000407	MHP7448_RS03280	EHI52_RS03260
OG0000408	MHP7448_RS03285	EHI52_RS03265
OG0000409	MHP7448_RS03290	EHI52_RS03270
OG0000410	MHP7448_RS03350	EHI52_RS03330
OG0000411	MHP7448_RS03340	EHI52_RS03320
OG0000412	MHP7448_RS03335	EHI52_RS03315
OG0000413	MHP7448_RS01535	EHI52_RS01580
OG0000414	MHP7448_RS01545	EHI52_RS01590
OG0000415	MHP7448_RS01550	EHI52_RS01595
OG0000416	MHP7448_RS01560	EHI52_RS01605
OG0000417	MHP7448_RS02215	EHI52_RS02295
OG0000418	MHP7448_RS02210	EHI52_RS02290
OG0000419	MHP7448_RS00720	EHI52_RS00710
OG0000420	MHP7448_RS00755	EHI52_RS00745
OG0000421	MHP7448_RS00785	EHI52_RS00780
OG0000422	MHP7448_RS00795	EHI52_RS00790
OG0000423	MHP7448_RS00850	EHI52_RS00845
OG0000424	MHP7448_RS00855	EHI52_RS00850
OG0000425	MHP7448_RS00865	EHI52_RS00860
OG0000426	MHP7448_RS00870	EHI52_RS00865
OG0000427	MHP7448_RS00895	EHI52_RS00890
OG0000428	MHP7448_RS00920	EHI52_RS00915
OG0000429	MHP7448_RS01015	EHI52_RS01080
OG0000430	MHP7448_RS01060	EHI52_RS01125
OG0000431	MHP7448_RS01070	EHI52_RS01135
OG0000432	MHP7448_RS01100	EHI52_RS01170
OG0000433	MHP7448_RS01115	EHI52_RS01185
OG0000434	MHP7448_RS01120	EHI52_RS01190
OG0000435	MHP7448_RS01135	EHI52_RS01205
OG0000436	MHP7448_RS01165	EHI52_RS01235
OG0000437	MHP7448_RS01175	EHI52_RS01245
OG0000438	MHP7448_RS01180	EHI52_RS01250
OG0000439	MHP7448_RS01185	EHI52_RS01255
OG0000440	MHP7448_RS02980	EHI52_RS02945
OG0000441	MHP7448_RS03020	EHI52_RS02985
OG0000442	MHP7448_RS00145	EHI52_RS00145
OG0000443	MHP7448_RS00190	EHI52_RS00195
OG0000444	MHP7448_RS00200	EHI52_RS00210
OG0000445	MHP7448_RS00225	EHI52_RS00235
OG0000446	MHP7448_RS00255	EHI52_RS00265
OG0000447	MHP7448_RS00260	EHI52_RS00270
OG0000448	MHP7448_RS00290	EHI52_RS00300
OG0000449	MHP7448_RS00315	EHI52_RS00325
OG0000450	MHP7448_RS00325	EHI52_RS00335
OG0000451	MHP7448_RS00365	EHI52_RS00380
OG0000452	MHP7448_RS00390	EHI52_RS00405
OG0000453	MHP7448_RS00425	EHI52_RS00440
OG0000455	MHP7448_RS03545	EHI52_RS03510
OG0000456	MHP7448_RS03425	EHI52_RS03390
OG0000457	MHP7448_RS03400	EHI52_RS03365
OG0000458	MHP7448_RS02535	EHI52_RS02510
OG0000459	MHP7448_RS02560	EHI52_RS02535
OG0000460	MHP7448_RS02570	EHI52_RS02545
OG0000461	MHP7448_RS02615	EHI52_RS02590
OG0000462	MHP7448_RS02610	EHI52_RS02585
OG0000464	MHP7448_RS04135	EHI52_RS02575
OG0000465	MHP7448_RS02595	EHI52_RS02570
OG0000466	MHP7448_RS00395	EHI52_RS00410
OG0000467	MHP7448_RS02700	EHI52_RS02670
OG0000468	MHP7448_RS01985	EHI52_RS01970
OG0000469	MHP7448_RS02045	EHI52_RS01910
OG0000470	MHP7448_RS03850	EHI52_RS03650
OG0000471	MHP7448_RS00925	EHI52_RS00920
OG0000472	MHP7448_RS03360	EHI52_RS03340
OG0000473	MHP7448_RS03530	EHI52_RS03495
OG0000474	MHP7448_RS03535	EHI52_RS03500
OG0000475	MHP7448_RS03540	EHI52_RS03505
OG0000476	MHP7448_RS01570	EHI52_RS01615
OG0000477	MHP7448_RS02640	EHI52_RS02615
OG0000478	MHP7448_RS03475	EHI52_RS03440
OG0000479	MHP7448_RS01345	EHI52_RS01390
OG0000480	MHP7448_RS03895	EHI52_RS03665
OG0000481	MHP7448_RS00820	EHI52_RS00815
OG0000482	MHP7448_RS01215	EHI52_RS01275
OG0000483	MHP7448_RS02090	EHI52_RS01865
