Orthogroup	MHP_7448_genes	MFC_ATCC27716_genes
OG0000050	MHP7448_RS02470	MFC_RS01260
OG0000051	MHP7448_RS02675	MFC_RS02240
OG0000052	MHP7448_RS00075	MFC_RS00160
OG0000053	MHP7448_RS01465	MFC_RS00665
OG0000054	MHP7448_RS02495	MFC_RS01235
OG0000055	MHP7448_RS00135	MFC_RS03415, MFC_RS03540
OG0000056	MHP7448_RS03565	MFC_RS00325
OG0000057	MHP7448_RS02950	MFC_RS00965
OG0000062	MHP7448_RS03615	MFC_RS00270
OG0000063	MHP7448_RS03610	MFC_RS00275
OG0000064	MHP7448_RS03600	MFC_RS00285
OG0000065	MHP7448_RS02180	MFC_RS00440
OG0000066	MHP7448_RS01370	MFC_RS00570
OG0000068	MHP7448_RS00655	MFC_RS00910
OG0000069	MHP7448_RS02835	MFC_RS01075
OG0000070	MHP7448_RS02500	MFC_RS01215
OG0000071	MHP7448_RS03305	MFC_RS01630
OG0000072	MHP7448_RS03310	MFC_RS01635
OG0000073	MHP7448_RS00715	MFC_RS03395, MFC_RS03390
OG0000075	MHP7448_RS00340	MFC_RS02565
OG0000076	MHP7448_RS00355	MFC_RS02580
OG0000077	MHP7448_RS00445	MFC_RS02670
OG0000079	MHP7448_RS02580	MFC_RS02930, MFC_RS03120
OG0000080	MHP7448_RS03915	MFC_RS03315
OG0000081	MHP7448_RS00335	MFC_RS03430, MFC_RS02560
OG0000082	MHP7448_RS02425	MFC_RS02870
OG0000083	MHP7448_RS02040	MFC_RS00040
OG0000084	MHP7448_RS02065	MFC_RS00070
OG0000085	MHP7448_RS02070	MFC_RS00075
OG0000086	MHP7448_RS02080	MFC_RS00085
OG0000087	MHP7448_RS02095	MFC_RS03320
OG0000088	MHP7448_RS02100	MFC_RS00105
OG0000089	MHP7448_RS02110	MFC_RS00115
OG0000090	MHP7448_RS00070	MFC_RS00165
OG0000091	MHP7448_RS00055	MFC_RS00180
OG0000092	MHP7448_RS00040	MFC_RS00195
OG0000093	MHP7448_RS00035	MFC_RS00200
OG0000094	MHP7448_RS00030	MFC_RS00205
OG0000095	MHP7448_RS00005	MFC_RS00230
OG0000096	MHP7448_RS03655	MFC_RS00235
OG0000097	MHP7448_RS03635	MFC_RS00255
OG0000098	MHP7448_RS03620	MFC_RS00265
OG0000099	MHP7448_RS03570	MFC_RS00320
OG0000100	MHP7448_RS03555	MFC_RS00335
OG0000101	MHP7448_RS03550	MFC_RS00340
OG0000102	MHP7448_RS01720	MFC_RS00350
OG0000103	MHP7448_RS02145	MFC_RS00405
OG0000104	MHP7448_RS02150	MFC_RS00410
OG0000105	MHP7448_RS02165	MFC_RS00425
OG0000106	MHP7448_RS02175	MFC_RS00435
OG0000107	MHP7448_RS02185	MFC_RS00445
OG0000108	MHP7448_RS02190	MFC_RS00450
OG0000109	MHP7448_RS02195	MFC_RS00455
OG0000110	MHP7448_RS02410	MFC_RS00460
OG0000111	MHP7448_RS02405	MFC_RS00465
OG0000112	MHP7448_RS02395	MFC_RS00475
OG0000113	MHP7448_RS02375	MFC_RS00490
OG0000114	MHP7448_RS02365	MFC_RS00500
OG0000115	MHP7448_RS02355	MFC_RS00510
OG0000116	MHP7448_RS01315	MFC_RS00520
OG0000117	MHP7448_RS01320	MFC_RS00525
OG0000118	MHP7448_RS01355	MFC_RS00555
OG0000119	MHP7448_RS01360	MFC_RS00560
OG0000120	MHP7448_RS01375	MFC_RS00575
OG0000121	MHP7448_RS01400	MFC_RS00600
OG0000122	MHP7448_RS01405	MFC_RS00605
OG0000123	MHP7448_RS01425	MFC_RS00625
OG0000124	MHP7448_RS01430	MFC_RS00630
OG0000125	MHP7448_RS01435	MFC_RS00635
OG0000126	MHP7448_RS01445	MFC_RS00645
OG0000127	MHP7448_RS01455	MFC_RS00655
OG0000128	MHP7448_RS01470	MFC_RS00670
OG0000129	MHP7448_RS01475	MFC_RS00675
OG0000130	MHP7448_RS01485	MFC_RS00685
OG0000131	MHP7448_RS01515	MFC_RS00715
OG0000132	MHP7448_RS01530	MFC_RS00735
OG0000133	MHP7448_RS00530	MFC_RS00805
OG0000134	MHP7448_RS00535	MFC_RS00810
OG0000135	MHP7448_RS00550	MFC_RS00825
OG0000136	MHP7448_RS00555	MFC_RS00830
OG0000137	MHP7448_RS00590	MFC_RS00860
OG0000138	MHP7448_RS00630	MFC_RS00885
OG0000139	MHP7448_RS00660	MFC_RS00915
OG0000140	MHP7448_RS00665	MFC_RS00920
OG0000141	MHP7448_RS02960	MFC_RS00955
OG0000142	MHP7448_RS02955	MFC_RS00960
OG0000143	MHP7448_RS02930	MFC_RS00985
OG0000144	MHP7448_RS02920	MFC_RS00995
OG0000145	MHP7448_RS02910	MFC_RS01005
OG0000146	MHP7448_RS02900	MFC_RS01015
OG0000147	MHP7448_RS02895	MFC_RS01020
OG0000148	MHP7448_RS02880	MFC_RS01035
OG0000149	MHP7448_RS02870	MFC_RS01045
OG0000150	MHP7448_RS02850	MFC_RS01060
OG0000151	MHP7448_RS02805	MFC_RS01115
OG0000152	MHP7448_RS02800	MFC_RS01120
OG0000153	MHP7448_RS02795	MFC_RS01125
OG0000154	MHP7448_RS02785	MFC_RS01135
OG0000155	MHP7448_RS02745	MFC_RS01155
OG0000156	MHP7448_RS02735	MFC_RS01175
OG0000157	MHP7448_RS02730	MFC_RS01180
OG0000158	MHP7448_RS04110	MFC_RS01190
OG0000159	MHP7448_RS02485	MFC_RS01245
OG0000160	MHP7448_RS02480	MFC_RS01250
OG0000161	MHP7448_RS02475	MFC_RS01255
OG0000162	MHP7448_RS02465	MFC_RS01265
OG0000163	MHP7448_RS02460	MFC_RS01270
OG0000164	MHP7448_RS01625	MFC_RS01300
OG0000165	MHP7448_RS01960	MFC_RS01345
OG0000166	MHP7448_RS01980	MFC_RS01365
OG0000167	MHP7448_RS01995	MFC_RS01380
OG0000168	MHP7448_RS02000	MFC_RS01385
OG0000169	MHP7448_RS03080	MFC_RS01430
OG0000170	MHP7448_RS03095	MFC_RS01455
OG0000171	MHP7448_RS03105	MFC_RS01465
OG0000172	MHP7448_RS03115	MFC_RS01470
OG0000173	MHP7448_RS03120	MFC_RS01475
OG0000174	MHP7448_RS03125	MFC_RS01480
OG0000175	MHP7448_RS03140	MFC_RS01495
OG0000176	MHP7448_RS03190	MFC_RS01540
OG0000177	MHP7448_RS03195	MFC_RS01545
OG0000178	MHP7448_RS03200	MFC_RS01550
OG0000179	MHP7448_RS03210	MFC_RS01560
OG0000180	MHP7448_RS03215	MFC_RS01565
OG0000181	MHP7448_RS03255	MFC_RS01580
OG0000182	MHP7448_RS03265	MFC_RS01590
OG0000183	MHP7448_RS03300	MFC_RS01625
OG0000184	MHP7448_RS03345	MFC_RS01655
OG0000185	MHP7448_RS03330	MFC_RS01670
OG0000186	MHP7448_RS01540	MFC_RS01710
OG0000187	MHP7448_RS01555	MFC_RS01725
OG0000188	MHP7448_RS01565	MFC_RS01735
OG0000189	MHP7448_RS02230	MFC_RS03385
OG0000190	MHP7448_RS02225	MFC_RS01750
OG0000191	MHP7448_RS02205	MFC_RS01770
OG0000192	MHP7448_RS01230	MFC_RS01780
OG0000193	MHP7448_RS01210	MFC_RS01795
OG0000194	MHP7448_RS00700	MFC_RS01805
OG0000195	MHP7448_RS00705	MFC_RS01810
OG0000196	MHP7448_RS00725	MFC_RS01830
OG0000197	MHP7448_RS00730	MFC_RS01835
OG0000198	MHP7448_RS00745	MFC_RS01850
OG0000199	MHP7448_RS00750	MFC_RS01855
OG0000200	MHP7448_RS00760	MFC_RS01865
OG0000201	MHP7448_RS00770	MFC_RS01875
OG0000202	MHP7448_RS00825	MFC_RS01930
OG0000203	MHP7448_RS00830	MFC_RS01935
OG0000204	MHP7448_RS00835	MFC_RS01940
OG0000205	MHP7448_RS00840	MFC_RS01945
OG0000206	MHP7448_RS00860	MFC_RS01965
OG0000207	MHP7448_RS00875	MFC_RS01980
OG0000208	MHP7448_RS00880	MFC_RS01985
OG0000209	MHP7448_RS00885	MFC_RS01990
OG0000210	MHP7448_RS00930	MFC_RS02040
OG0000211	MHP7448_RS00940	MFC_RS02050
OG0000212	MHP7448_RS00950	MFC_RS02060
OG0000213	MHP7448_RS00955	MFC_RS02065
OG0000214	MHP7448_RS00960	MFC_RS02070
OG0000215	MHP7448_RS00965	MFC_RS02075
OG0000216	MHP7448_RS00970	MFC_RS02080
OG0000217	MHP7448_RS00975	MFC_RS02085
OG0000218	MHP7448_RS00985	MFC_RS02095
OG0000219	MHP7448_RS00990	MFC_RS02100
OG0000220	MHP7448_RS00995	MFC_RS02105
OG0000221	MHP7448_RS01000	MFC_RS02110
OG0000222	MHP7448_RS01005	MFC_RS03235
OG0000223	MHP7448_RS01010	MFC_RS02115
OG0000224	MHP7448_RS01020	MFC_RS02125
OG0000225	MHP7448_RS01030	MFC_RS02135
OG0000226	MHP7448_RS01035	MFC_RS02140
OG0000227	MHP7448_RS01040	MFC_RS02145
OG0000228	MHP7448_RS04115	MFC_RS03530
OG0000229	MHP7448_RS01050	MFC_RS02155
OG0000230	MHP7448_RS01055	MFC_RS02160
OG0000231	MHP7448_RS01065	MFC_RS02170
OG0000232	MHP7448_RS01075	MFC_RS02180
OG0000233	MHP7448_RS01095	MFC_RS02190
OG0000234	MHP7448_RS01130	MFC_RS02220
OG0000235	MHP7448_RS01140	MFC_RS02230
OG0000236	MHP7448_RS01145	MFC_RS02235
OG0000237	MHP7448_RS01150	MFC_RS02250
OG0000238	MHP7448_RS01160	MFC_RS02255
OG0000239	MHP7448_RS02970	MFC_RS02285
OG0000240	MHP7448_RS02975	MFC_RS02290
OG0000241	MHP7448_RS02985	MFC_RS02300
OG0000242	MHP7448_RS02990	MFC_RS02305
OG0000243	MHP7448_RS02995	MFC_RS02310
OG0000244	MHP7448_RS03005	MFC_RS02320
OG0000245	MHP7448_RS04055	MFC_RS02330
OG0000246	MHP7448_RS00140	MFC_RS02345
OG0000247	MHP7448_RS00150	MFC_RS02355
OG0000248	MHP7448_RS00160	MFC_RS02380
OG0000249	MHP7448_RS00165	MFC_RS02385
OG0000250	MHP7448_RS00180	MFC_RS02400
OG0000251	MHP7448_RS00205	MFC_RS02430
OG0000252	MHP7448_RS00215	MFC_RS02440
OG0000253	MHP7448_RS00220	MFC_RS02445
OG0000254	MHP7448_RS00230	MFC_RS02455
OG0000255	MHP7448_RS00240	MFC_RS02465
OG0000256	MHP7448_RS00245	MFC_RS02470
OG0000257	MHP7448_RS00270	MFC_RS02495
OG0000258	MHP7448_RS00280	MFC_RS02505
OG0000259	MHP7448_RS00310	MFC_RS02535
OG0000260	MHP7448_RS00320	MFC_RS02545
OG0000261	MHP7448_RS00330	MFC_RS02555
OG0000262	MHP7448_RS00345	MFC_RS02570
OG0000263	MHP7448_RS00360	MFC_RS02585
OG0000264	MHP7448_RS00375	MFC_RS02600
OG0000265	MHP7448_RS00385	MFC_RS02610
OG0000266	MHP7448_RS00400	MFC_RS02625
OG0000267	MHP7448_RS00415	MFC_RS02640
OG0000268	MHP7448_RS00420	MFC_RS02645
OG0000269	MHP7448_RS00435	MFC_RS02660
OG0000270	MHP7448_RS03525	MFC_RS02720
OG0000271	MHP7448_RS03520	MFC_RS02725
OG0000272	MHP7448_RS03515	MFC_RS02730
OG0000273	MHP7448_RS03510	MFC_RS02735
OG0000274	MHP7448_RS03490	MFC_RS02755
OG0000275	MHP7448_RS03485	MFC_RS03455
OG0000276	MHP7448_RS03480	MFC_RS02765
OG0000277	MHP7448_RS03470	MFC_RS02775
OG0000278	MHP7448_RS03465	MFC_RS02780
OG0000279	MHP7448_RS03455	MFC_RS02790
OG0000280	MHP7448_RS03450	MFC_RS02795
OG0000281	MHP7448_RS03795	MFC_RS03255
OG0000282	MHP7448_RS03420	MFC_RS02820
OG0000283	MHP7448_RS03415	MFC_RS02825
OG0000284	MHP7448_RS03410	MFC_RS02830
OG0000285	MHP7448_RS03405	MFC_RS02835
OG0000286	MHP7448_RS02445	MFC_RS02865
OG0000287	MHP7448_RS02540	MFC_RS02890
OG0000288	MHP7448_RS02550	MFC_RS02900
OG0000289	MHP7448_RS02555	MFC_RS02905
OG0000290	MHP7448_RS02665	MFC_RS03030
OG0000291	MHP7448_RS02655	MFC_RS03040
OG0000292	MHP7448_RS02650	MFC_RS03045
OG0000293	MHP7448_RS02645	MFC_RS03050
OG0000294	MHP7448_RS02635	MFC_RS03060
OG0000295	MHP7448_RS02630	MFC_RS03065
OG0000296	MHP7448_RS02590	MFC_RS03110
OG0000297	MHP7448_RS02585	MFC_RS03115
OG0000298	MHP7448_RS00175	MFC_RS02395
OG0000299	MHP7448_RS03685	MFC_RS02415
OG0000300	MHP7448_RS00370	MFC_RS02595
OG0000301	MHP7448_RS00405	MFC_RS02630
OG0000302	MHP7448_RS00410	MFC_RS02635
OG0000303	MHP7448_RS00560	MFC_RS00835
OG0000304	MHP7448_RS01080	MFC_RS00865
OG0000305	MHP7448_RS02905	MFC_RS01010
OG0000306	MHP7448_RS02825	MFC_RS01090
OG0000307	MHP7448_RS02790	MFC_RS01130
OG0000308	MHP7448_RS02685	MFC_RS03020
OG0000309	MHP7448_RS02620	MFC_RS03075
OG0000310	MHP7448_RS02545	MFC_RS02895
OG0000311	MHP7448_RS02505	MFC_RS01220
OG0000312	MHP7448_RS02490	MFC_RS01240
OG0000313	MHP7448_RS01615	MFC_RS01290
OG0000314	MHP7448_RS01975	MFC_RS01360
OG0000315	MHP7448_RS02005	MFC_RS01390
OG0000316	MHP7448_RS02015	MFC_RS01400
OG0000317	MHP7448_RS02105	MFC_RS00110
OG0000318	MHP7448_RS02020	MFC_RS00020
OG0000319	MHP7448_RS02160	MFC_RS00420
OG0000320	MHP7448_RS02385	MFC_RS00485
OG0000321	MHP7448_RS01350	MFC_RS00550
OG0000322	MHP7448_RS01395	MFC_RS00595
OG0000323	MHP7448_RS01525	MFC_RS00725
OG0000324	MHP7448_RS02200	MFC_RS01775
OG0000325	MHP7448_RS00710	MFC_RS01815
OG0000326	MHP7448_RS00800	MFC_RS01905
OG0000327	MHP7448_RS00805	MFC_RS01910
OG0000328	MHP7448_RS00890	MFC_RS01995
OG0000329	MHP7448_RS00910	MFC_RS02020
OG0000330	MHP7448_RS01105	MFC_RS02200
OG0000331	MHP7448_RS03000	MFC_RS02315
OG0000332	MHP7448_RS03150	MFC_RS01505
OG0000333	MHP7448_RS03160	MFC_RS01515
OG0000334	MHP7448_RS03260	MFC_RS01585
OG0000335	MHP7448_RS03270	MFC_RS01595
OG0000336	MHP7448_RS03440	MFC_RS02805
OG0000337	MHP7448_RS03605	MFC_RS00280
OG0000338	MHP7448_RS03650	MFC_RS00240
OG0000339	MHP7448_RS02360	MFC_RS00505
OG0000340	MHP7448_RS01330	MFC_RS00530
OG0000341	MHP7448_RS02220	MFC_RS01755
OG0000342	MHP7448_RS00740	MFC_RS01845
OG0000343	MHP7448_RS03170	MFC_RS01525
OG0000344	MHP7448_RS00575	MFC_RS00850
OG0000345	MHP7448_RS01025	MFC_RS02130
OG0000346	MHP7448_RS04140	MFC_RS02800
OG0000347	MHP7448_RS01420	MFC_RS00620
OG0000348	MHP7448_RS00810	MFC_RS01915
OG0000349	MHP7448_RS03500	MFC_RS02745
OG0000350	MHP7448_RS03675	MFC_RS03345
OG0000351	MHP7448_RS00495	MFC_RS00785
OG0000352	MHP7448_RS01955	MFC_RS01340
OG0000353	MHP7448_RS01390	MFC_RS00590
OG0000354	MHP7448_RS00645	MFC_RS00900
OG0000355	MHP7448_RS01925	MFC_RS01315
OG0000356	MHP7448_RS02010	MFC_RS01395
OG0000357	MHP7448_RS03130	MFC_RS01485
OG0000358	MHP7448_RS03135	MFC_RS01490
OG0000359	MHP7448_RS00780	MFC_RS01885
OG0000360	MHP7448_RS00275	MFC_RS02500
OG0000361	MHP7448_RS00305	MFC_RS02530
OG0000362	MHP7448_RS02565	MFC_RS02915
OG0000363	MHP7448_RS01460	MFC_RS00660
OG0000365	MHP7448_RS02050	MFC_RS00050
OG0000366	MHP7448_RS02075	MFC_RS00080
OG0000367	MHP7448_RS02085	MFC_RS00090
OG0000368	MHP7448_RS00060	MFC_RS00175
OG0000369	MHP7448_RS00025	MFC_RS00210
OG0000370	MHP7448_RS00020	MFC_RS00215
OG0000371	MHP7448_RS00015	MFC_RS00220
OG0000372	MHP7448_RS00010	MFC_RS00225
OG0000373	MHP7448_RS03640	MFC_RS00250
OG0000374	MHP7448_RS03625	MFC_RS00260
OG0000375	MHP7448_RS02155	MFC_RS00415
OG0000376	MHP7448_RS02400	MFC_RS00470
OG0000377	MHP7448_RS02390	MFC_RS00480
OG0000378	MHP7448_RS01310	MFC_RS00515
OG0000379	MHP7448_RS01385	MFC_RS00585
OG0000380	MHP7448_RS01410	MFC_RS00610
OG0000381	MHP7448_RS01450	MFC_RS00650
OG0000382	MHP7448_RS01480	MFC_RS00680
OG0000383	MHP7448_RS01520	MFC_RS00720
OG0000384	MHP7448_RS00515	MFC_RS00790
OG0000385	MHP7448_RS00520	MFC_RS00795
OG0000386	MHP7448_RS00540	MFC_RS00815
OG0000387	MHP7448_RS00565	MFC_RS00840
OG0000388	MHP7448_RS00570	MFC_RS00845
OG0000389	MHP7448_RS00615	MFC_RS00880
OG0000390	MHP7448_RS02925	MFC_RS00990
OG0000391	MHP7448_RS02915	MFC_RS01000
OG0000392	MHP7448_RS02890	MFC_RS01030
OG0000393	MHP7448_RS02830	MFC_RS01080
OG0000394	MHP7448_RS02755	MFC_RS01145
OG0000395	MHP7448_RS02750	MFC_RS01150
OG0000396	MHP7448_RS02450	MFC_RS01280
OG0000397	MHP7448_RS01940	MFC_RS01325
OG0000398	MHP7448_RS01945	MFC_RS01330
OG0000399	MHP7448_RS01990	MFC_RS01375
OG0000400	MHP7448_RS03090	MFC_RS01450
OG0000401	MHP7448_RS03155	MFC_RS01510
OG0000402	MHP7448_RS03165	MFC_RS01520
OG0000403	MHP7448_RS03175	MFC_RS01530
OG0000404	MHP7448_RS03205	MFC_RS03375, MFC_RS01555
OG0000405	MHP7448_RS03220	MFC_RS01570
OG0000406	MHP7448_RS03275	MFC_RS01600
OG0000407	MHP7448_RS03280	MFC_RS01605
OG0000408	MHP7448_RS03285	MFC_RS01610
OG0000409	MHP7448_RS03290	MFC_RS01615
OG0000410	MHP7448_RS03350	MFC_RS01650
OG0000411	MHP7448_RS03340	MFC_RS01660
OG0000412	MHP7448_RS03335	MFC_RS01665
OG0000413	MHP7448_RS01535	MFC_RS01705
OG0000414	MHP7448_RS01545	MFC_RS01715
OG0000415	MHP7448_RS01550	MFC_RS01720
OG0000416	MHP7448_RS01560	MFC_RS01730
OG0000417	MHP7448_RS02215	MFC_RS01760
OG0000418	MHP7448_RS02210	MFC_RS01765
OG0000419	MHP7448_RS00720	MFC_RS01825
OG0000420	MHP7448_RS00755	MFC_RS01860
OG0000421	MHP7448_RS00785	MFC_RS01890
OG0000422	MHP7448_RS00795	MFC_RS01900
OG0000423	MHP7448_RS00850	MFC_RS01955
OG0000424	MHP7448_RS00855	MFC_RS01960
OG0000425	MHP7448_RS00865	MFC_RS01970
OG0000426	MHP7448_RS00870	MFC_RS01975
OG0000427	MHP7448_RS00895	MFC_RS02000
OG0000428	MHP7448_RS00920	MFC_RS02030
OG0000429	MHP7448_RS01015	MFC_RS02120
OG0000430	MHP7448_RS01060	MFC_RS02165
OG0000431	MHP7448_RS01070	MFC_RS02175
OG0000432	MHP7448_RS01100	MFC_RS02195
OG0000433	MHP7448_RS01115	MFC_RS02205
OG0000434	MHP7448_RS01120	MFC_RS02210
OG0000435	MHP7448_RS01135	MFC_RS02225
OG0000436	MHP7448_RS01165	MFC_RS03535
OG0000437	MHP7448_RS01175	MFC_RS02270
OG0000438	MHP7448_RS01180	MFC_RS02275
OG0000439	MHP7448_RS01185	MFC_RS02280
OG0000440	MHP7448_RS02980	MFC_RS02295
OG0000441	MHP7448_RS03020	MFC_RS02335
OG0000442	MHP7448_RS00145	MFC_RS02350
OG0000443	MHP7448_RS00190	MFC_RS02410
OG0000444	MHP7448_RS00200	MFC_RS02425
OG0000445	MHP7448_RS00225	MFC_RS02450
OG0000446	MHP7448_RS00255	MFC_RS02480
OG0000447	MHP7448_RS00260	MFC_RS02485
OG0000448	MHP7448_RS00290	MFC_RS02515
OG0000449	MHP7448_RS00315	MFC_RS02540
OG0000450	MHP7448_RS00325	MFC_RS02550
OG0000451	MHP7448_RS00365	MFC_RS02590
OG0000452	MHP7448_RS00390	MFC_RS02615
OG0000453	MHP7448_RS00425	MFC_RS02650
OG0000454	MHP7448_RS01580	MFC_RS03440, MFC_RS03435
OG0000455	MHP7448_RS03545	MFC_RS02700
OG0000456	MHP7448_RS03425	MFC_RS02815
OG0000457	MHP7448_RS03400	MFC_RS02840
OG0000458	MHP7448_RS02535	MFC_RS02885
OG0000459	MHP7448_RS02560	MFC_RS02910
OG0000460	MHP7448_RS02570	MFC_RS02920
OG0000461	MHP7448_RS02615	MFC_RS03080
OG0000462	MHP7448_RS02610	MFC_RS03085
OG0000464	MHP7448_RS04135	MFC_RS03100
OG0000465	MHP7448_RS02595	MFC_RS03105
OG0000466	MHP7448_RS00395	MFC_RS02620
OG0000467	MHP7448_RS02700	MFC_RS03500
OG0000468	MHP7448_RS01985	MFC_RS01370
OG0000469	MHP7448_RS02045	MFC_RS00045
OG0000470	MHP7448_RS03850	MFC_RS01950
OG0000471	MHP7448_RS00925	MFC_RS02035
OG0000472	MHP7448_RS03360	MFC_RS01680
OG0000473	MHP7448_RS03530	MFC_RS02715
OG0000474	MHP7448_RS03535	MFC_RS02710
OG0000475	MHP7448_RS03540	MFC_RS02705
OG0000476	MHP7448_RS01570	MFC_RS00345
OG0000477	MHP7448_RS02640	MFC_RS03055
OG0000478	MHP7448_RS03475	MFC_RS02770
OG0000479	MHP7448_RS01345	MFC_RS00545
OG0000480	MHP7448_RS03895	MFC_RS03300
OG0000481	MHP7448_RS00820	MFC_RS01925
OG0000482	MHP7448_RS01215	MFC_RS01790
OG0000483	MHP7448_RS02090	MFC_RS00095
OG0000484	MHP7448_RS00195	MFC_RS02420
OG0000487	MHP7448_RS02025	MFC_RS00025
OG0000488	MHP7448_RS02060	MFC_RS00065
OG0000489	MHP7448_RS00050	MFC_RS00185
OG0000490	MHP7448_RS03645	MFC_RS00245
OG0000491	MHP7448_RS01365	MFC_RS00565
OG0000492	MHP7448_RS01440	MFC_RS00640
OG0000493	MHP7448_RS00580	MFC_RS00855
OG0000494	MHP7448_RS00650	MFC_RS00905
OG0000495	MHP7448_RS02855	MFC_RS01055
OG0000496	MHP7448_RS02845	MFC_RS01065
OG0000497	MHP7448_RS02840	MFC_RS01070
OG0000498	MHP7448_RS02760	MFC_RS01140
OG0000499	MHP7448_RS02725	MFC_RS01185
OG0000500	MHP7448_RS01950	MFC_RS01335
OG0000501	MHP7448_RS03100	MFC_RS01460
OG0000502	MHP7448_RS01205	MFC_RS01800
OG0000503	MHP7448_RS00765	MFC_RS01870
OG0000504	MHP7448_RS00900	MFC_RS02005
OG0000505	MHP7448_RS00935	MFC_RS02045
OG0000506	MHP7448_RS00945	MFC_RS02055
OG0000507	MHP7448_RS00980	MFC_RS02090
OG0000508	MHP7448_RS00250	MFC_RS02475
OG0000509	MHP7448_RS00285	MFC_RS02510
OG0000510	MHP7448_RS00295	MFC_RS02520
OG0000511	MHP7448_RS00430	MFC_RS02655
OG0000512	MHP7448_RS02575	MFC_RS02925
OG0000513	MHP7448_RS03460	MFC_RS02785
OG0000516	MHP7448_RS02030	MFC_RS00030
OG0000517	MHP7448_RS00065	MFC_RS00170
OG0000518	MHP7448_RS03145	MFC_RS01500
OG0000519	MHP7448_RS00790	MFC_RS01895
OG0000520	MHP7448_RS00915	MFC_RS02025
OG0000521	MHP7448_RS00265	MFC_RS02490
OG0000522	MHP7448_RS00300	MFC_RS02525
OG0000523	MHP7448_RS03395	MFC_RS02845
OG0000524	MHP7448_RS02695	MFC_RS03015
OG0000525	MHP7448_RS03365	MFC_RS01685
OG0000528	MHP7448_RS02035	MFC_RS00035
OG0000529	MHP7448_RS02170	MFC_RS00430
OG0000530	MHP7448_RS02370	MFC_RS00495
OG0000531	MHP7448_RS01415	MFC_RS00615
OG0000532	MHP7448_RS01645	MFC_RS00940
OG0000533	MHP7448_RS00600	MFC_RS02185
OG0000534	MHP7448_RS00380	MFC_RS02605
OG0000535	MHP7448_RS00045	MFC_RS00190
OG0000536	MHP7448_RS03575	MFC_RS00315
OG0000537	MHP7448_RS00735	MFC_RS01840
OG0000538	MHP7448_RS01125	MFC_RS02215
OG0000539	MHP7448_RS00210	MFC_RS02435
OG0000540	MHP7448_RS02660	MFC_RS03035
OG0000541	MHP7448_RS02740	MFC_RS01170
OG0000542	MHP7448_RS00350	MFC_RS02575
OG0000547	MHP7448_RS02935	MFC_RS00980
OG0000548	MHP7448_RS01610	MFC_RS01285
OG0000549	MHP7448_RS03355	MFC_RS01675
OG0000550	MHP7448_RS03495	MFC_RS02750
OG0000551	MHP7448_RS03010	MFC_RS02325
OG0000555	MHP7448_RS04050	MFC_RS03340
OG0000595	MHP7448_RS03030	MFC_RS01440
