Orthogroup	MHP_7448_genes	MHP_TB1_genes
OG0000134	MHP7448_RS00535	B5M19_RS02385
OG0000135	MHP7448_RS00550	B5M19_RS02400
OG0000136	MHP7448_RS00555	B5M19_RS02405
OG0000137	MHP7448_RS00590	B5M19_RS02445
OG0000138	MHP7448_RS00630	B5M19_RS03090
OG0000139	MHP7448_RS00660	B5M19_RS03070
OG0000140	MHP7448_RS00665	B5M19_RS03065
OG0000141	MHP7448_RS02960	B5M19_RS01330
OG0000142	MHP7448_RS02955	B5M19_RS01335
OG0000143	MHP7448_RS02930	B5M19_RS01360
OG0000144	MHP7448_RS02920	B5M19_RS01370
OG0000145	MHP7448_RS02910	B5M19_RS01380
OG0000146	MHP7448_RS02900	B5M19_RS01390
OG0000147	MHP7448_RS02895	B5M19_RS01395
OG0000148	MHP7448_RS02880	B5M19_RS01410
OG0000149	MHP7448_RS02870	B5M19_RS01420
OG0000150	MHP7448_RS02850	B5M19_RS04180
OG0000151	MHP7448_RS02805	B5M19_RS02540
OG0000152	MHP7448_RS02800	B5M19_RS02535
OG0000153	MHP7448_RS02795	B5M19_RS02530
OG0000154	MHP7448_RS02785	B5M19_RS02520
OG0000155	MHP7448_RS02745	B5M19_RS02480
OG0000156	MHP7448_RS02735	B5M19_RS00860
OG0000157	MHP7448_RS02730	B5M19_RS00865
OG0000158	MHP7448_RS04110	B5M19_RS04580
OG0000159	MHP7448_RS02485	B5M19_RS02810
OG0000160	MHP7448_RS02480	B5M19_RS02815
OG0000161	MHP7448_RS02475	B5M19_RS02820
OG0000162	MHP7448_RS02465	B5M19_RS02830
OG0000163	MHP7448_RS02460	B5M19_RS02835
OG0000164	MHP7448_RS01625	B5M19_RS04495
OG0000165	MHP7448_RS01960	B5M19_RS00760
OG0000166	MHP7448_RS01980	B5M19_RS00785
OG0000167	MHP7448_RS01995	B5M19_RS00800
OG0000168	MHP7448_RS02000	B5M19_RS00805
OG0000169	MHP7448_RS03080	B5M19_RS01450
OG0000170	MHP7448_RS03095	B5M19_RS01465
OG0000171	MHP7448_RS03105	B5M19_RS01475
OG0000172	MHP7448_RS03115	B5M19_RS01480
OG0000173	MHP7448_RS03120	B5M19_RS01490
OG0000174	MHP7448_RS03125	B5M19_RS01495
OG0000175	MHP7448_RS03140	B5M19_RS01510
OG0000176	MHP7448_RS03190	B5M19_RS01560
OG0000177	MHP7448_RS03195	B5M19_RS01565
OG0000178	MHP7448_RS03200	B5M19_RS04200
OG0000179	MHP7448_RS03210	B5M19_RS01580
OG0000180	MHP7448_RS03215	B5M19_RS01585
OG0000181	MHP7448_RS03255	B5M19_RS03045
OG0000182	MHP7448_RS03265	B5M19_RS03035
OG0000183	MHP7448_RS03300	B5M19_RS03000
OG0000184	MHP7448_RS03345	B5M19_RS03105
OG0000185	MHP7448_RS03330	B5M19_RS03120
OG0000186	MHP7448_RS01540	B5M19_RS03550
OG0000187	MHP7448_RS01555	B5M19_RS03535
OG0000188	MHP7448_RS01565	B5M19_RS03525
OG0000189	MHP7448_RS02230	B5M19_RS03210
OG0000190	MHP7448_RS02225	B5M19_RS03215
OG0000191	MHP7448_RS02205	B5M19_RS03235
OG0000192	MHP7448_RS01230	B5M19_RS03675
OG0000193	MHP7448_RS01210	B5M19_RS02360
OG0000194	MHP7448_RS00700	B5M19_RS01855
OG0000195	MHP7448_RS00705	B5M19_RS01850
OG0000196	MHP7448_RS00725	B5M19_RS01830
OG0000197	MHP7448_RS00730	B5M19_RS01825
OG0000198	MHP7448_RS00745	B5M19_RS01810
OG0000199	MHP7448_RS00750	B5M19_RS01805
OG0000200	MHP7448_RS00760	B5M19_RS01790
OG0000201	MHP7448_RS00770	B5M19_RS01780
OG0000202	MHP7448_RS00825	B5M19_RS01725
OG0000203	MHP7448_RS00830	B5M19_RS01720
OG0000204	MHP7448_RS00835	B5M19_RS01715
OG0000205	MHP7448_RS00840	B5M19_RS01710
OG0000206	MHP7448_RS00860	B5M19_RS01690
OG0000207	MHP7448_RS00875	B5M19_RS01675
OG0000208	MHP7448_RS00880	B5M19_RS01670
OG0000209	MHP7448_RS00885	B5M19_RS01665
OG0000210	MHP7448_RS00930	B5M19_RS01620
OG0000211	MHP7448_RS00940	B5M19_RS03415
OG0000212	MHP7448_RS00950	B5M19_RS03405
OG0000213	MHP7448_RS00955	B5M19_RS03400
OG0000214	MHP7448_RS00960	B5M19_RS03395
OG0000215	MHP7448_RS00965	B5M19_RS03390
OG0000216	MHP7448_RS00970	B5M19_RS03385
OG0000217	MHP7448_RS00975	B5M19_RS03380
OG0000218	MHP7448_RS00985	B5M19_RS03370
OG0000219	MHP7448_RS00990	B5M19_RS03365
OG0000220	MHP7448_RS00995	B5M19_RS03360
OG0000221	MHP7448_RS01000	B5M19_RS03355
OG0000222	MHP7448_RS01005	B5M19_RS03350
OG0000223	MHP7448_RS01010	B5M19_RS03345
OG0000224	MHP7448_RS01020	B5M19_RS03130
OG0000225	MHP7448_RS01030	B5M19_RS03140
OG0000226	MHP7448_RS01035	B5M19_RS03145
OG0000227	MHP7448_RS01040	B5M19_RS03150
OG0000228	MHP7448_RS04115	B5M19_RS04630
OG0000229	MHP7448_RS01050	B5M19_RS03160
OG0000230	MHP7448_RS01055	B5M19_RS03165
OG0000231	MHP7448_RS01065	B5M19_RS03175
OG0000232	MHP7448_RS01075	B5M19_RS03185
OG0000233	MHP7448_RS01095	B5M19_RS02225
OG0000234	MHP7448_RS01130	B5M19_RS04335
OG0000235	MHP7448_RS01140	B5M19_RS02175
OG0000236	MHP7448_RS01145	B5M19_RS02170
OG0000237	MHP7448_RS01150	B5M19_RS02165
OG0000238	MHP7448_RS01160	B5M19_RS02155
OG0000239	MHP7448_RS02970	B5M19_RS01315
OG0000240	MHP7448_RS02975	B5M19_RS01310
OG0000241	MHP7448_RS02985	B5M19_RS01300
OG0000242	MHP7448_RS02990	B5M19_RS04160
OG0000243	MHP7448_RS02995	B5M19_RS01290
OG0000244	MHP7448_RS03005	B5M19_RS01280
OG0000245	MHP7448_RS04055	B5M19_RS01270
OG0000246	MHP7448_RS00140	B5M19_RS00050
OG0000247	MHP7448_RS00150	B5M19_RS00060
OG0000248	MHP7448_RS00160	B5M19_RS00070
OG0000249	MHP7448_RS00165	B5M19_RS00075
OG0000250	MHP7448_RS00180	B5M19_RS03880
OG0000251	MHP7448_RS00205	B5M19_RS00125
OG0000252	MHP7448_RS00215	B5M19_RS00135
OG0000253	MHP7448_RS00220	B5M19_RS00140
OG0000254	MHP7448_RS00230	B5M19_RS00150
OG0000255	MHP7448_RS00240	B5M19_RS00160
OG0000256	MHP7448_RS00245	B5M19_RS00165
OG0000257	MHP7448_RS00270	B5M19_RS00190
OG0000258	MHP7448_RS00280	B5M19_RS04020
OG0000259	MHP7448_RS00310	B5M19_RS00230
OG0000260	MHP7448_RS00320	B5M19_RS00240
OG0000261	MHP7448_RS00330	B5M19_RS00250
OG0000262	MHP7448_RS00345	B5M19_RS00270
OG0000263	MHP7448_RS00360	B5M19_RS00285
OG0000264	MHP7448_RS00375	B5M19_RS04030
OG0000265	MHP7448_RS00385	B5M19_RS00315
OG0000266	MHP7448_RS00400	B5M19_RS00335
OG0000267	MHP7448_RS00415	B5M19_RS04035
OG0000268	MHP7448_RS00420	B5M19_RS00355
OG0000269	MHP7448_RS00435	B5M19_RS03680
OG0000270	MHP7448_RS03525	B5M19_RS00415
OG0000271	MHP7448_RS03520	B5M19_RS00420
OG0000272	MHP7448_RS03515	B5M19_RS00425
OG0000273	MHP7448_RS03510	B5M19_RS00430
OG0000274	MHP7448_RS03490	B5M19_RS00450
OG0000275	MHP7448_RS03485	B5M19_RS00455
OG0000276	MHP7448_RS03480	B5M19_RS00460
OG0000277	MHP7448_RS03470	B5M19_RS00470
OG0000278	MHP7448_RS03465	B5M19_RS00475
OG0000279	MHP7448_RS03455	B5M19_RS00485
OG0000280	MHP7448_RS03450	B5M19_RS00490
OG0000281	MHP7448_RS03795	B5M19_RS00495
OG0000282	MHP7448_RS03420	B5M19_RS00520
OG0000283	MHP7448_RS03415	B5M19_RS00525
OG0000284	MHP7448_RS03410	B5M19_RS00530
OG0000285	MHP7448_RS03405	B5M19_RS00535
OG0000286	MHP7448_RS02445	B5M19_RS02850
OG0000287	MHP7448_RS02540	B5M19_RS01050
OG0000288	MHP7448_RS02550	B5M19_RS01040
OG0000289	MHP7448_RS02555	B5M19_RS01035
OG0000290	MHP7448_RS02665	B5M19_RS04120
OG0000291	MHP7448_RS02655	B5M19_RS00935
OG0000292	MHP7448_RS02650	B5M19_RS00940
OG0000293	MHP7448_RS02645	B5M19_RS00945
OG0000294	MHP7448_RS02635	B5M19_RS00955
OG0000295	MHP7448_RS02630	B5M19_RS00960
OG0000296	MHP7448_RS02590	B5M19_RS01000
OG0000297	MHP7448_RS02585	B5M19_RS01005
OG0000298	MHP7448_RS00175	B5M19_RS00085
OG0000299	MHP7448_RS03685	B5M19_RS00110
OG0000300	MHP7448_RS00370	B5M19_RS00300
OG0000301	MHP7448_RS00405	B5M19_RS00340
OG0000302	MHP7448_RS00410	B5M19_RS00345
OG0000303	MHP7448_RS00560	B5M19_RS02410
OG0000304	MHP7448_RS01080	B5M19_RS03190
OG0000305	MHP7448_RS02905	B5M19_RS01385
OG0000306	MHP7448_RS02825	B5M19_RS02560
OG0000307	MHP7448_RS02790	B5M19_RS02525
OG0000308	MHP7448_RS02685	B5M19_RS00905
OG0000309	MHP7448_RS02620	B5M19_RS00970
OG0000310	MHP7448_RS02545	B5M19_RS01045
OG0000311	MHP7448_RS02505	B5M19_RS02790
OG0000312	MHP7448_RS02490	B5M19_RS02805
OG0000313	MHP7448_RS01615	B5M19_RS03300
OG0000314	MHP7448_RS01975	B5M19_RS00780
OG0000315	MHP7448_RS02005	B5M19_RS00810
OG0000316	MHP7448_RS02015	B5M19_RS00820
OG0000317	MHP7448_RS02105	B5M19_RS02720
OG0000318	MHP7448_RS02020	B5M19_RS00825
OG0000319	MHP7448_RS02160	B5M19_RS02945
OG0000320	MHP7448_RS02385	B5M19_RS04425
OG0000321	MHP7448_RS01350	B5M19_RS01240
OG0000322	MHP7448_RS01395	B5M19_RS01195
OG0000323	MHP7448_RS01525	B5M19_RS01065
OG0000324	MHP7448_RS02200	B5M19_RS03240
OG0000325	MHP7448_RS00710	B5M19_RS01845
OG0000326	MHP7448_RS00800	B5M19_RS01750
OG0000327	MHP7448_RS00805	B5M19_RS01745
OG0000328	MHP7448_RS00890	B5M19_RS01660
OG0000329	MHP7448_RS00910	B5M19_RS01640
OG0000330	MHP7448_RS01105	B5M19_RS02210
OG0000331	MHP7448_RS03000	B5M19_RS01285
OG0000332	MHP7448_RS03150	B5M19_RS01520
OG0000333	MHP7448_RS03160	B5M19_RS01530
OG0000334	MHP7448_RS03260	B5M19_RS03040
OG0000335	MHP7448_RS03270	B5M19_RS03030
OG0000336	MHP7448_RS03440	B5M19_RS00505
OG0000337	MHP7448_RS03605	B5M19_RS01985
OG0000338	MHP7448_RS03650	B5M19_RS01940
OG0000339	MHP7448_RS02360	B5M19_RS03615
OG0000340	MHP7448_RS01330	B5M19_RS02565
OG0000341	MHP7448_RS02220	B5M19_RS03220
OG0000342	MHP7448_RS00740	B5M19_RS01815
OG0000343	MHP7448_RS03170	B5M19_RS04195
OG0000344	MHP7448_RS00575	B5M19_RS02425
OG0000345	MHP7448_RS01025	B5M19_RS03135
OG0000346	MHP7448_RS04140	B5M19_RS04590
OG0000347	MHP7448_RS01420	B5M19_RS01170
OG0000348	MHP7448_RS00810	B5M19_RS01740
OG0000349	MHP7448_RS03500	B5M19_RS00440
OG0000350	MHP7448_RS03675	B5M19_RS02515
OG0000351	MHP7448_RS00495	B5M19_RS03490
OG0000352	MHP7448_RS01955	B5M19_RS00755
OG0000353	MHP7448_RS01390	B5M19_RS01200
OG0000354	MHP7448_RS00645	B5M19_RS03080
OG0000355	MHP7448_RS01925	B5M19_RS00725
OG0000356	MHP7448_RS02010	B5M19_RS00815
OG0000357	MHP7448_RS03130	B5M19_RS01500
OG0000358	MHP7448_RS03135	B5M19_RS01505
OG0000359	MHP7448_RS00780	B5M19_RS01770
OG0000360	MHP7448_RS00275	B5M19_RS00195
OG0000361	MHP7448_RS00305	B5M19_RS00225
OG0000362	MHP7448_RS02565	B5M19_RS01025
OG0000363	MHP7448_RS01460	B5M19_RS01125
OG0000364	MHP7448_RS01905	B5M19_RS00700
OG0000365	MHP7448_RS02050	B5M19_RS02775
OG0000366	MHP7448_RS02075	B5M19_RS02750
OG0000367	MHP7448_RS02085	B5M19_RS02740
OG0000368	MHP7448_RS00060	B5M19_RS04270
OG0000369	MHP7448_RS00025	B5M19_RS01910
OG0000370	MHP7448_RS00020	B5M19_RS01915
OG0000371	MHP7448_RS00015	B5M19_RS01920
OG0000372	MHP7448_RS00010	B5M19_RS01925
OG0000373	MHP7448_RS03640	B5M19_RS01950
OG0000374	MHP7448_RS03625	B5M19_RS01960
OG0000375	MHP7448_RS02155	B5M19_RS02950
OG0000376	MHP7448_RS02400	B5M19_RS02670
OG0000377	MHP7448_RS02390	B5M19_RS02680
OG0000378	MHP7448_RS01310	B5M19_RS02585
OG0000379	MHP7448_RS01385	B5M19_RS01205
OG0000380	MHP7448_RS01410	B5M19_RS01180
OG0000381	MHP7448_RS01450	B5M19_RS01140
OG0000382	MHP7448_RS01480	B5M19_RS01105
OG0000383	MHP7448_RS01520	B5M19_RS01070
OG0000384	MHP7448_RS00515	B5M19_RS02365
OG0000385	MHP7448_RS00520	B5M19_RS02370
OG0000386	MHP7448_RS00540	B5M19_RS02390
OG0000387	MHP7448_RS00565	B5M19_RS02415
OG0000388	MHP7448_RS00570	B5M19_RS02420
OG0000389	MHP7448_RS00615	B5M19_RS03095
OG0000390	MHP7448_RS02925	B5M19_RS01365
OG0000391	MHP7448_RS02915	B5M19_RS01375
OG0000392	MHP7448_RS02890	B5M19_RS01400
OG0000393	MHP7448_RS02830	B5M19_RS03515
OG0000394	MHP7448_RS02755	B5M19_RS02490
OG0000395	MHP7448_RS02750	B5M19_RS02485
OG0000396	MHP7448_RS02450	B5M19_RS02845
OG0000397	MHP7448_RS01940	B5M19_RS00740
OG0000398	MHP7448_RS01945	B5M19_RS00745
OG0000399	MHP7448_RS01990	B5M19_RS00795
OG0000400	MHP7448_RS03090	B5M19_RS01460
OG0000401	MHP7448_RS03155	B5M19_RS01525
OG0000402	MHP7448_RS03165	B5M19_RS01535
OG0000404	MHP7448_RS03205	B5M19_RS04205
OG0000405	MHP7448_RS03220	B5M19_RS01590
OG0000406	MHP7448_RS03275	B5M19_RS03025
OG0000407	MHP7448_RS03280	B5M19_RS03020
OG0000408	MHP7448_RS03285	B5M19_RS03015
OG0000409	MHP7448_RS03290	B5M19_RS03010
OG0000410	MHP7448_RS03350	B5M19_RS03100
OG0000411	MHP7448_RS03340	B5M19_RS03110
OG0000412	MHP7448_RS03335	B5M19_RS03115
OG0000413	MHP7448_RS01535	B5M19_RS03555
OG0000414	MHP7448_RS01545	B5M19_RS03545
OG0000415	MHP7448_RS01550	B5M19_RS03540
OG0000416	MHP7448_RS01560	B5M19_RS03530
OG0000417	MHP7448_RS02215	B5M19_RS03225
OG0000418	MHP7448_RS02210	B5M19_RS03230
OG0000419	MHP7448_RS00720	B5M19_RS01835
OG0000420	MHP7448_RS00755	B5M19_RS01800
OG0000421	MHP7448_RS00785	B5M19_RS01765
OG0000422	MHP7448_RS00795	B5M19_RS01755
OG0000423	MHP7448_RS00850	B5M19_RS01700
OG0000424	MHP7448_RS00855	B5M19_RS01695
OG0000425	MHP7448_RS00865	B5M19_RS01685
OG0000426	MHP7448_RS00870	B5M19_RS01680
OG0000427	MHP7448_RS00895	B5M19_RS01655
OG0000428	MHP7448_RS00920	B5M19_RS01630
OG0000430	MHP7448_RS01060	B5M19_RS03170
OG0000431	MHP7448_RS01070	B5M19_RS03180
OG0000432	MHP7448_RS01100	B5M19_RS04345
OG0000433	MHP7448_RS01115	B5M19_RS02200
OG0000434	MHP7448_RS01120	B5M19_RS02195
OG0000435	MHP7448_RS01135	B5M19_RS02180
OG0000436	MHP7448_RS01165	B5M19_RS02150
OG0000437	MHP7448_RS01175	B5M19_RS02140
OG0000438	MHP7448_RS01180	B5M19_RS02135
OG0000439	MHP7448_RS01185	B5M19_RS02130
OG0000440	MHP7448_RS02980	B5M19_RS04165
OG0000441	MHP7448_RS03020	B5M19_RS01265
OG0000442	MHP7448_RS00145	B5M19_RS00055
OG0000443	MHP7448_RS00190	B5M19_RS00105
OG0000444	MHP7448_RS00200	B5M19_RS00120
OG0000445	MHP7448_RS00225	B5M19_RS00145
OG0000446	MHP7448_RS00255	B5M19_RS00175
OG0000447	MHP7448_RS00260	B5M19_RS00180
OG0000448	MHP7448_RS00290	B5M19_RS00210
OG0000449	MHP7448_RS00315	B5M19_RS00235
OG0000450	MHP7448_RS00325	B5M19_RS00245
OG0000451	MHP7448_RS00365	B5M19_RS00295
OG0000452	MHP7448_RS00390	B5M19_RS00330
OG0000453	MHP7448_RS00425	B5M19_RS04040
OG0000454	MHP7448_RS01580	B5M19_RS03255
OG0000455	MHP7448_RS03545	B5M19_RS00395
OG0000456	MHP7448_RS03425	B5M19_RS00515
OG0000457	MHP7448_RS03400	B5M19_RS00540
OG0000458	MHP7448_RS02535	B5M19_RS01055
OG0000459	MHP7448_RS02560	B5M19_RS01030
OG0000460	MHP7448_RS02570	B5M19_RS01020
OG0000461	MHP7448_RS02615	B5M19_RS04125
OG0000462	MHP7448_RS02610	B5M19_RS00980
OG0000464	MHP7448_RS04135	B5M19_RS00990
OG0000465	MHP7448_RS02595	B5M19_RS00995
OG0000467	MHP7448_RS02700	B5M19_RS00895
OG0000468	MHP7448_RS01985	B5M19_RS00790
OG0000469	MHP7448_RS02045	B5M19_RS00850
OG0000470	MHP7448_RS03850	B5M19_RS03910
OG0000471	MHP7448_RS00925	B5M19_RS01625
OG0000472	MHP7448_RS03360	B5M19_RS00580
OG0000473	MHP7448_RS03530	B5M19_RS00410
OG0000474	MHP7448_RS03535	B5M19_RS00405
OG0000475	MHP7448_RS03540	B5M19_RS00400
OG0000476	MHP7448_RS01570	B5M19_RS03280
OG0000477	MHP7448_RS02640	B5M19_RS00950
OG0000478	MHP7448_RS03475	B5M19_RS00465
OG0000479	MHP7448_RS01345	B5M19_RS04145
OG0000480	MHP7448_RS03895	B5M19_RS03895
OG0000481	MHP7448_RS00820	B5M19_RS01730
OG0000482	MHP7448_RS01215	B5M19_RS03730
OG0000483	MHP7448_RS02090	B5M19_RS02735
OG0000484	MHP7448_RS00195	B5M19_RS00115
OG0000485	MHP7448_RS01170	B5M19_RS02145
OG0000486	MHP7448_RS02235	B5M19_RS03205
OG0000487	MHP7448_RS02025	B5M19_RS00830
OG0000488	MHP7448_RS02060	B5M19_RS02770
OG0000489	MHP7448_RS00050	B5M19_RS01885
OG0000490	MHP7448_RS03645	B5M19_RS01945
OG0000491	MHP7448_RS01365	B5M19_RS01225
OG0000492	MHP7448_RS01440	B5M19_RS04140
