Orthogroup	MHP_131B_proteins	MFC_MF30_proteins
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_160605398.1
OG0000071	WP_404924311.1	WP_160605649.1, WP_160581282.1
OG0000072	WP_404924312.1	WP_160605550.1
OG0000073	WP_404912207.1	WP_039387630.1
OG0000076	WP_404924369.1	WP_002557921.1
OG0000077	WP_135618533.1	WP_160605308.1
OG0000079	WP_020835797.1	WP_160580968.1
OG0000080	WP_192894279.1	WP_196792423.1
OG0000081	WP_404924544.1	WP_308705447.1
OG0000083	WP_014579823.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000085	WP_404924208.1	WP_002557452.1
OG0000086	WP_404924507.1	WP_160605611.1
OG0000087	WP_020835732.1	WP_236681783.1
OG0000088	WP_020835733.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_160605617.1
OG0000090	WP_404924539.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_160605562.1
OG0000092	WP_404924538.1	WP_002557471.1
OG0000093	WP_160584856.1	WP_002557472.1
OG0000094	WP_160606485.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_160605558.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_404924537.1	WP_002557483.1
OG0000098	WP_404924345.1	WP_160581106.1
OG0000099	WP_404924341.1	WP_160605586.1
OG0000100	WP_404924338.1	WP_160605582.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_404924487.1	WP_160593490.1
OG0000103	WP_404924223.1	WP_160605508.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_146379630.1	WP_002557514.1
OG0000106	WP_146379631.1	WP_160605510.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_404924224.1	WP_160583943.1
OG0000110	WP_404924239.1	WP_160581160.1
OG0000111	WP_404924516.1	WP_002557523.1
OG0000112	WP_404924236.1	WP_160605514.1
OG0000113	WP_404924231.1	WP_002557528.1
OG0000114	WP_404923958.1	WP_002557530.1
OG0000115	WP_011290245.1	WP_160583957.1
OG0000116	WP_404924436.1	WP_002557534.1
OG0000117	WP_160590503.1	WP_002557535.1
OG0000118	WP_011290108.1	WP_160605524.1
OG0000119	WP_135618686.1	WP_160605526.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_002557548.1
OG0000122	WP_020835643.1	WP_002557549.1
OG0000123	WP_011205954.1	WP_160581199.1
OG0000124	WP_011290118.1	WP_002557554.1
OG0000125	WP_011205952.1	WP_002557555.1
OG0000126	WP_160585089.1	WP_160605532.1
OG0000127	WP_404924444.1	WP_160583976.1
OG0000128	WP_404924446.1	WP_160605625.1
OG0000129	WP_014579732.1	WP_002557563.1
OG0000130	WP_011284046.1	WP_160593526.1
OG0000131	WP_160588225.1	WP_002557566.1
OG0000132	WP_011205939.1	WP_002557569.1
OG0000133	WP_094521764.1	WP_002557574.1
OG0000134	WP_308507044.1	WP_160605314.1
OG0000135	WP_160585148.1	WP_002557577.1
OG0000136	WP_011206119.1	WP_160605316.1
OG0000137	WP_404924396.1	WP_160583687.1
OG0000138	WP_404924401.1	WP_002557590.1
OG0000139	WP_011290017.1	WP_002557594.1
OG0000140	WP_011206101.1	WP_002557595.1
OG0000141	WP_146379698.1	WP_002557602.1
OG0000142	WP_011284289.1	WP_002557603.1
OG0000143	WP_011206391.1	WP_160580880.1
OG0000144	WP_404924284.1	WP_160605328.1
OG0000145	WP_225972996.1	WP_002557611.1
OG0000146	WP_011206385.1	WP_002557613.1
OG0000147	WP_011206384.1	WP_002557614.1
OG0000148	WP_041361684.1	WP_160583667.1
OG0000149	WP_011290331.1	WP_002557620.1
OG0000150	WP_135619006.1	WP_002557623.1
OG0000151	WP_404924277.1	WP_160580918.1
OG0000152	WP_404924276.1	WP_160605342.1
OG0000153	WP_233688497.1	WP_160605344.1
OG0000154	WP_160587842.1	WP_160580926.1
OG0000155	WP_020835820.1	WP_160605350.1
OG0000156	WP_011206335.1	WP_160583648.1
OG0000157	WP_011206334.1	WP_160583646.1
OG0000158	WP_404924268.1	WP_160605356.1
OG0000159	WP_011206289.1	WP_002557667.1
OG0000160	WP_179221158.1	WP_002557668.1
OG0000161	WP_011206287.1	WP_160603116.1
OG0000162	WP_135619210.1	WP_160605651.1, WP_160581406.1
OG0000163	WP_404924246.1	WP_160581408.1
OG0000164	WP_348572081.1	WP_160581414.1
OG0000165	WP_011206200.1	WP_002557684.1
OG0000166	WP_160590029.1	WP_160605426.1
OG0000167	WP_011206207.1	WP_160581429.1
OG0000168	WP_404924203.1	WP_160605430.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_160603210.1
OG0000171	WP_404924298.1	WP_002557706.1
OG0000172	WP_011206424.1	WP_002557707.1
OG0000173	WP_011206425.1	WP_002557708.1
OG0000174	WP_160600929.1	WP_160605538.1
OG0000175	WP_404924532.1	WP_160605541.1
OG0000176	WP_160585271.1	WP_160593449.1
OG0000177	WP_160585273.1	WP_160581270.1
OG0000178	WP_160585275.1	WP_002557721.1
OG0000179	WP_020835880.1	WP_002557724.1
OG0000180	WP_081642895.1	WP_002557725.1
OG0000181	WP_020835888.1	WP_039387691.1
OG0000182	WP_011206453.1	WP_002557729.1
OG0000183	WP_011206459.1	WP_002557735.1
OG0000184	WP_160585238.1	WP_160605633.1
OG0000185	WP_146379740.1	WP_002557743.1
OG0000186	WP_020835656.1	WP_160603234.1
OG0000187	WP_011284055.1	WP_002557753.1
OG0000188	WP_011205932.1	WP_002557755.1
OG0000189	WP_160607686.1	WP_160605456.1
OG0000190	WP_011206256.1	WP_160605458.1
OG0000191	WP_020835755.1	WP_255454511.1
OG0000192	WP_160587990.1	WP_160605464.1
OG0000193	WP_094521610.1	WP_002557766.1
OG0000194	WP_011290023.1	WP_002557768.1
OG0000195	WP_094521583.1	WP_002557769.1
OG0000196	WP_020835573.1	WP_160581303.1
OG0000197	WP_404924405.1	WP_160605466.1
OG0000198	WP_011283930.1	WP_160605468.1
OG0000199	WP_011206086.1	WP_002557779.1
OG0000200	WP_160588272.1	WP_002557781.1
OG0000201	WP_404924407.1	WP_160605470.1
OG0000202	WP_011290039.1	WP_160605476.1
OG0000203	WP_011206072.1	WP_160583979.1
OG0000204	WP_011206071.1	WP_160605479.1
OG0000205	WP_404924414.1	WP_002557794.1
OG0000206	WP_011290044.1	WP_002557798.1
OG0000207	WP_011206063.1	WP_002557801.1
OG0000208	WP_011290046.1	WP_002557802.1
OG0000209	WP_011206061.1	WP_002557803.1
OG0000210	WP_404924418.1	WP_160581347.1
OG0000211	WP_011290054.1	WP_002557813.1
OG0000212	WP_011206048.1	WP_002557815.1
OG0000213	WP_011283963.1	WP_002557816.1
OG0000214	WP_011206047.1	WP_002557817.1
OG0000215	WP_011290055.1	WP_002557818.1
OG0000216	WP_014579616.1	WP_160581343.1
OG0000217	WP_404924419.1	WP_160605481.1
OG0000218	WP_011290058.1	WP_160605485.1
OG0000219	WP_011206041.1	WP_160603160.1
OG0000220	WP_020835592.1	WP_002557824.1
OG0000221	WP_011206039.1	WP_002557825.1
OG0000222	WP_011206038.1	WP_002557826.1
OG0000223	WP_404924420.1	WP_002557827.1
OG0000224	WP_011206035.1	WP_002557829.1
OG0000225	WP_020835596.1	WP_002557831.1
OG0000226	WP_011206032.1	WP_002557832.1
OG0000227	WP_011290064.1	WP_002557833.1
OG0000228	WP_404924421.1	WP_002557834.1
OG0000229	WP_011206028.1	WP_002557835.1
OG0000230	WP_011206027.1	WP_002557836.1
OG0000231	WP_011206025.1	WP_002557838.1
OG0000232	WP_014579601.1	WP_002557840.1
OG0000233	WP_233688672.1	WP_160605487.1
OG0000234	WP_404924425.1	WP_002557848.1
OG0000235	WP_011290078.1	WP_002557850.1
OG0000236	WP_011283989.1	WP_160581215.1
OG0000237	WP_404924426.1	WP_160583882.1
OG0000238	WP_011206006.1	WP_160605501.1
OG0000239	WP_011290347.1	WP_160583887.1
OG0000240	WP_020835851.1	WP_002557864.1
OG0000241	WP_135619036.1	WP_002557866.1
OG0000242	WP_020835854.1	WP_002557867.1
OG0000243	WP_011290352.1	WP_002557868.1
OG0000244	WP_041361690.1	WP_002557870.1
OG0000245	WP_404924288.1	WP_002557872.1
OG0000246	WP_050195463.1	WP_002557875.1
OG0000247	WP_404924356.1	WP_160593344.1
OG0000248	WP_146379774.1	WP_160583743.1
OG0000249	WP_404924357.1	WP_160605570.1
OG0000250	WP_011289957.1	WP_002557886.1
OG0000251	WP_347952354.1	WP_002557891.1
OG0000252	WP_011205883.1	WP_160581051.1
OG0000253	WP_160606527.1	WP_160605282.1
OG0000254	WP_160584767.1	WP_160605284.1
OG0000255	WP_014579550.1	WP_002557898.1
OG0000256	WP_011205889.1	WP_002557899.1
OG0000257	WP_011289973.1	WP_002557904.1
OG0000258	WP_011283871.1	WP_160605290.1
OG0000259	WP_404924364.1	WP_160581036.1
OG0000260	WP_404924365.1	WP_160605298.1
OG0000261	WP_404924542.1	WP_160605302.1
OG0000262	WP_135618519.1	WP_002557919.1
OG0000263	WP_011283885.1	WP_002557922.1
OG0000264	WP_404924371.1	WP_160581017.1
OG0000265	WP_404924372.1	WP_002557927.1
OG0000266	WP_011205923.1	WP_002557930.1
OG0000267	WP_146379477.1	WP_160581015.1
OG0000268	WP_404924385.1	WP_160583705.1
OG0000269	WP_011206134.1	WP_160583703.1
OG0000270	WP_404924335.1	WP_160605574.1
OG0000271	WP_404924334.1	WP_002557946.1
OG0000272	WP_011284373.1	WP_002557947.1
OG0000273	WP_404924333.1	WP_002557948.1
OG0000274	WP_011290423.1	WP_160605591.1
OG0000275	WP_228366117.1	WP_039387710.1
OG0000276	WP_011290421.1	WP_002557954.1
OG0000277	WP_011206494.1	WP_160581382.1
OG0000278	WP_160588182.1	WP_160581384.1
OG0000279	WP_404924043.1	WP_002557959.1
OG0000280	WP_011206490.1	WP_002557960.1
OG0000281	WP_014580012.1	WP_002557961.1
OG0000282	WP_404924327.1	WP_160605597.1
OG0000283	WP_160584907.1	WP_002557965.1
OG0000284	WP_011206484.1	WP_002557966.1
OG0000285	WP_404924325.1	WP_002557967.1
OG0000286	WP_146379652.1	WP_160605389.1
OG0000287	WP_011206297.1	WP_160605383.1
OG0000288	WP_011206299.1	WP_002557980.1
OG0000289	WP_404924251.1	WP_160605379.1
OG0000290	WP_011290297.1	WP_160605363.1
OG0000291	WP_011206320.1	WP_002558005.1
OG0000292	WP_404924261.1	WP_002558006.1
OG0000293	WP_404924260.1	WP_002558007.1
OG0000294	WP_404924259.1	WP_160605367.1
OG0000295	WP_404924258.1	WP_160580958.1
OG0000296	WP_404924255.1	WP_160580964.1
OG0000297	WP_146379664.1	WP_160580966.1
OG0000298	WP_160606533.1	WP_160605278.1
OG0000299	WP_094521545.1	WP_039387487.1
OG0000300	WP_041361533.1	WP_039387496.1
OG0000301	WP_135618529.1	WP_039387501.1
OG0000302	WP_011205925.1	WP_039387504.1
OG0000303	WP_146379484.1	WP_160580856.1
OG0000304	WP_220190741.1	WP_160580864.1
OG0000305	WP_404924282.1	WP_160605330.1
OG0000306	WP_146379686.1	WP_160583660.1
OG0000307	WP_404924275.1	WP_160580924.1
OG0000308	WP_020835811.1	WP_160605361.1
OG0000309	WP_011206313.1	WP_039387539.1
OG0000310	WP_011206298.1	WP_160605381.1
OG0000311	WP_011206293.1	WP_039387548.1
OG0000312	WP_041361671.1	WP_160605402.1
OG0000313	WP_011206141.1	WP_039387554.1
OG0000314	WP_404924483.1	WP_160605424.1
OG0000315	WP_011290197.1	WP_160581431.1
OG0000316	WP_404924204.1	WP_160605432.1
OG0000317	WP_135618864.1	WP_160605615.1
OG0000318	WP_404924205.1	WP_160605629.1
OG0000319	WP_135618880.1	WP_039387606.1
OG0000320	WP_404924234.1	WP_160605516.1
OG0000321	WP_011205969.1	WP_039387610.1
OG0000322	WP_020835642.1	WP_039387613.1
OG0000323	WP_160588227.1	WP_039387619.1
OG0000324	WP_011290222.1	WP_160605462.1
OG0000325	WP_011206094.1	WP_039387628.1
OG0000326	WP_404924411.1	WP_039387636.1
OG0000327	WP_160584807.1	WP_039387638.1
OG0000328	WP_041361583.1	WP_039387644.1
OG0000329	WP_225973017.1	WP_039387648.1
OG0000330	WP_011206016.1	WP_160605489.1
OG0000331	WP_146379704.1	WP_039387665.1
OG0000332	WP_011290372.1	WP_160605543.1
OG0000333	WP_011206433.1	WP_160605544.1
OG0000334	WP_020835889.1	WP_039387693.1
OG0000335	WP_041361699.1	WP_160605548.1
OG0000336	WP_011206488.1	WP_039387704.1
OG0000337	WP_050195472.1	WP_160581112.1
OG0000338	WP_014580051.1	WP_039387723.1
OG0000339	WP_404924230.1	WP_160605518.1
OG0000340	WP_146379551.1	WP_039387777.1
OG0000341	WP_011290226.1	WP_039387782.1
OG0000342	WP_011290029.1	WP_039387785.1
OG0000343	WP_011206435.1	WP_039387808.1
OG0000344	WP_404924394.1	WP_051054279.1
OG0000345	WP_014579611.1	WP_051054304.1
OG0000346	WP_232039558.1	WP_081605287.1
OG0000347	WP_011205955.1	WP_081605280.1
OG0000348	WP_404924412.1	WP_160605474.1
OG0000349	WP_404924332.1	WP_155897264.1
OG0000350	WP_404924274.1	WP_201771011.1
OG0000351	WP_011206131.1	WP_220190748.1
OG0000352	WP_404924481.1	WP_220190755.1
OG0000353	WP_404924440.1	WP_308705452.1
OG0000354	WP_404924550.1	WP_220190750.1
OG0000355	WP_011206194.1	WP_231237866.1
OG0000356	WP_404924505.1	WP_308705446.1
OG0000357	WP_404924531.1	WP_160605540.1
OG0000358	WP_404924299.1	WP_002557711.1
OG0000359	WP_192894285.1	WP_308705450.1
OG0000360	WP_404924361.1	WP_231237879.1
OG0000361	WP_011289979.1	WP_258555097.1
OG0000362	WP_094521719.1	WP_255454460.1
OG0000363	WP_233417364.1	WP_334199004.1
OG0000365	WP_404924207.1	WP_160605631.1
OG0000366	WP_146379594.1	WP_160581449.1
OG0000367	WP_404924210.1	WP_160605613.1
OG0000368	WP_011289935.1	WP_160605564.1
OG0000369	WP_404924349.1	WP_039387473.1
OG0000370	WP_044272260.1	WP_002557476.1
OG0000371	WP_044272256.1	WP_002557477.1
OG0000372	WP_135618439.1	WP_002557478.1
OG0000373	WP_404924348.1	WP_160605556.1
OG0000374	WP_404924346.1	WP_160605554.1
OG0000375	WP_146379628.1	WP_002557511.1
OG0000376	WP_404924237.1	WP_160605512.1
OG0000377	WP_011206271.1	WP_160581167.1
OG0000378	WP_404924557.1	WP_160605520.1
OG0000379	WP_011205962.1	WP_002557546.1
OG0000380	WP_404924442.1	WP_002557550.1
OG0000381	WP_404924443.1	WP_160605534.1
OG0000382	WP_404924558.1	WP_160605627.1
OG0000383	WP_014579735.1	WP_002557567.1
OG0000384	WP_404924391.1	WP_160605310.1
OG0000385	WP_044272311.1	WP_160605312.1
OG0000386	WP_011290004.1	WP_002557576.1
OG0000387	WP_404924392.1	WP_160605318.1
OG0000388	WP_404924393.1	WP_160605320.1
OG0000389	WP_020835565.1	WP_002557589.1
OG0000390	WP_011290340.1	WP_160580882.1
OG0000391	WP_404924283.1	WP_002557610.1
OG0000392	WP_404924281.1	WP_160580892.1
OG0000393	WP_404924279.1	WP_160605338.1
OG0000394	WP_011284253.1	WP_160605346.1
OG0000395	WP_404924270.1	WP_160605348.1
OG0000396	WP_020835781.1	WP_002557673.1
OG0000397	WP_011206196.1	WP_160605412.1
OG0000398	WP_146379611.1	WP_160605414.1
OG0000399	WP_348571612.1	WP_220190081.1
OG0000400	WP_404924530.1	WP_160603208.1
OG0000401	WP_404924302.1	WP_160581263.1
OG0000402	WP_404924303.1	WP_002557715.1
OG0000403	WP_404924022.1	WP_160605545.1
OG0000405	WP_160585278.1	WP_160605547.1
OG0000406	WP_404924308.1	WP_002557731.1
OG0000407	WP_404924309.1	WP_160583916.1
OG0000408	WP_404924310.1	WP_160605549.1
OG0000409	WP_011206458.1	WP_002557734.1
OG0000410	WP_404924318.1	WP_002557739.1
OG0000411	WP_404924317.1	WP_160605635.1
OG0000412	WP_404924316.1	WP_002557742.1
OG0000413	WP_146379568.1	WP_002557749.1
OG0000414	WP_011290131.1	WP_002557751.1
OG0000415	WP_404924448.1	WP_160603232.1
OG0000416	WP_404924449.1	WP_002557754.1
OG0000417	WP_404924514.1	WP_160605460.1
OG0000418	WP_404924512.1	WP_002557760.1
OG0000419	WP_020835572.1	WP_002557773.1
OG0000420	WP_020835574.1	WP_002557780.1
OG0000421	WP_011290034.1	WP_002557784.1
OG0000422	WP_020835580.1	WP_160581307.1
OG0000423	WP_404924415.1	WP_002557796.1
OG0000424	WP_135618587.1	WP_160581357.1
OG0000425	WP_011283949.1	WP_002557799.1
OG0000426	WP_011206064.1	WP_002557800.1
OG0000427	WP_135618593.1	WP_002557805.1
OG0000429	WP_011206036.1	WP_160581337.1
OG0000430	WP_146379523.1	WP_002557837.1
OG0000431	WP_146379524.1	WP_002557839.1
OG0000432	WP_404924424.1	WP_160603164.1
OG0000433	WP_160606761.1	WP_002557845.1
OG0000434	WP_160606763.1	WP_160583871.1
OG0000435	WP_011290077.1	WP_002557849.1
OG0000436	WP_011206005.1	WP_002557857.1
OG0000437	WP_020835616.1	WP_002557860.1
OG0000438	WP_404924427.1	WP_160605495.1
OG0000439	WP_404924428.1	WP_160603176.1
OG0000440	WP_020835852.1	WP_160583891.1
OG0000441	WP_404924290.1	WP_002557873.1
OG0000442	WP_404924355.1	WP_002557876.1
OG0000443	WP_044272282.1	WP_160581057.1
OG0000444	WP_011205880.1	WP_002557890.1
OG0000445	WP_404924360.1	WP_002557895.1
OG0000446	WP_135618497.1	WP_002557901.1
OG0000447	WP_044284573.1	WP_160605288.1
OG0000448	WP_404924362.1	WP_160605292.1
OG0000449	WP_348571941.1	WP_002557912.1
OG0000450	WP_404924074.1	WP_160605300.1
OG0000451	WP_404924370.1	WP_002557923.1
OG0000452	WP_011205921.1	WP_002557928.1
OG0000453	WP_404924386.1	WP_002557934.1
OG0000455	WP_404924337.1	WP_160583788.1
OG0000456	WP_011206487.1	WP_160605595.1
OG0000457	WP_404924500.1	WP_160605599.1
OG0000458	WP_020835790.1	WP_002557977.1
OG0000459	WP_404924252.1	WP_002557982.1
OG0000460	WP_404924253.1	WP_160605377.1
OG0000461	WP_404924496.1	WP_160605369.1
OG0000462	WP_011206311.1	WP_160603085.1
OG0000463	WP_011206310.1	WP_002558014.1
OG0000464	WP_011206309.1	WP_160605371.1
OG0000465	WP_404924256.1	WP_160605373.1
OG0000466	WP_011205922.1	WP_039387498.1
OG0000467	WP_404924266.1	WP_220190751.1
OG0000468	WP_404924484.1	WP_160605428.1
OG0000469	WP_014579824.1	WP_039387592.1
OG0000470	WP_011206069.1	WP_039387641.1
OG0000471	WP_044272348.1	WP_039387651.1
OG0000472	WP_404924319.1	WP_160605607.1
OG0000474	WP_404924336.1	WP_039387714.1
OG0000475	WP_160584892.1	WP_220190796.1
OG0000476	WP_011205931.1	WP_039387719.1
OG0000477	WP_135618962.1	WP_039387750.1
OG0000478	WP_404924331.1	WP_160603144.1
OG0000479	WP_404924439.1	WP_160583965.1
OG0000480	WP_011206218.1	WP_169742226.1
OG0000481	WP_044272343.1	WP_308507115.1
OG0000482	WP_404924553.1	WP_334296058.1
OG0000483	WP_404924211.1	WP_236681784.1
OG0000484	WP_404924359.1	WP_308705441.1
OG0000485	WP_020835615.1	WP_039387661.1
OG0000486	WP_011290228.1	WP_258555124.1
OG0000488	WP_020835728.1	WP_160581452.1
OG0000490	WP_011206527.1	WP_002557481.1
OG0000491	WP_160588241.1	WP_002557542.1
OG0000492	WP_146379559.1	WP_160605530.1
OG0000493	WP_404924395.1	WP_160580862.1
OG0000494	WP_404924551.1	WP_160580870.1
OG0000496	WP_011206375.1	WP_160605336.1
OG0000497	WP_014579936.1	WP_002557625.1
OG0000498	WP_011290314.1	WP_002557639.1
OG0000499	WP_020835817.1	WP_160605354.1
OG0000500	WP_146379610.1	WP_160605416.1
OG0000501	WP_404924297.1	WP_160605536.1
OG0000504	WP_404924485.1	WP_160583855.1
OG0000505	WP_146379519.1	WP_160581345.1
OG0000506	WP_011206049.1	WP_002557814.1
OG0000507	WP_020835590.1	WP_160605483.1
OG0000508	WP_404924540.1	WP_160605286.1
OG0000509	WP_020835518.1	WP_220190747.1
OG0000510	WP_404924363.1	WP_160605294.1
OG0000511	WP_011206135.1	WP_002557935.1
OG0000512	WP_404924254.1	WP_160605375.1
OG0000513	WP_160585582.1	WP_160605593.1
OG0000514	WP_404924527.1	WP_160605332.1
OG0000517	WP_011283834.1	WP_160581087.1
OG0000518	WP_404924301.1	WP_160605542.1
OG0000520	WP_404924090.1	WP_002557809.1
OG0000521	WP_404924541.1	WP_002557903.1
OG0000523	WP_404924324.1	WP_160605601.1
OG0000524	WP_404924265.1	WP_220190752.1
OG0000525	WP_404924320.1	WP_308705459.1
OG0000531	WP_020835645.1	WP_002557551.1
OG0000533	WP_404924398.1	WP_002557841.1
OG0000538	WP_020835608.1	WP_160605491.1
OG0000540	WP_404924523.1	WP_160605365.1
OG0000551	WP_404924287.1	WP_231237875.1
OG0000555	WP_308507032.1	WP_258555108.1
OG0000596	WP_404924563.1	WP_160605568.1
OG0000598	WP_404924468.1	WP_160605566.1
OG0000599	WP_011206170.1	WP_039387482.1
