Orthogroup	MFC_MF29_proteins	MHP_MHP650_proteins
OG0000267	WP_160581015.1	WP_014579577.1
OG0000268	WP_160581013.1	WP_011283894.1
OG0000269	WP_002557936.1	WP_011206134.1
OG0000270	WP_160581371.1	WP_160600753.1
OG0000271	WP_002557946.1	WP_160600751.1
OG0000272	WP_002557947.1	WP_011284373.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_160581375.1	WP_160600745.1
OG0000275	WP_160581377.1	WP_308704753.1
OG0000276	WP_002557954.1	WP_160600741.1
OG0000277	WP_160581382.1	WP_011206494.1
OG0000278	WP_160581384.1	WP_160600739.1
OG0000279	WP_002557959.1	WP_014580014.1
OG0000280	WP_002557960.1	WP_135619140.1
OG0000281	WP_002557961.1	WP_014580012.1
OG0000282	WP_160581388.1	WP_160600735.1
OG0000283	WP_002557965.1	WP_160584907.1
OG0000284	WP_160581390.1	WP_014580008.1
OG0000285	WP_002557967.1	WP_160600733.1
OG0000286	WP_160580983.1	WP_146379652.1
OG0000287	WP_002557978.1	WP_011206297.1
OG0000288	WP_002557980.1	WP_160600959.1
OG0000289	WP_160580975.1	WP_020835793.1
OG0000290	WP_002558003.1	WP_135618967.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_160580955.1	WP_011206319.1
OG0000293	WP_002558007.1	WP_094521723.1
OG0000294	WP_160580957.1	WP_160600980.1
OG0000295	WP_160580958.1	WP_011206315.1
OG0000296	WP_160580964.1	WP_160600968.1
OG0000297	WP_160580966.1	WP_011284225.1
OG0000298	WP_160581061.1	WP_160600655.1
OG0000299	WP_039387487.1	WP_011205878.1
OG0000300	WP_039387496.1	WP_014579572.1
OG0000301	WP_039387501.1	WP_011283891.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_160580856.1	WP_011206118.1
OG0000304	WP_160580864.1	WP_011283978.1
OG0000305	WP_258555751.1	WP_160600785.1
OG0000306	WP_160580911.1	WP_160600769.1
OG0000307	WP_160580924.1	WP_160600759.1
OG0000308	WP_160580950.1	WP_160601043.1
OG0000309	WP_160580960.1	WP_160600978.1
OG0000310	WP_160580977.1	WP_160600957.1
OG0000311	WP_039387548.1	WP_160600729.1
OG0000312	WP_160580991.1	WP_160600725.1
OG0000313	WP_039387554.1	WP_011206141.1
OG0000314	WP_039387562.1	WP_160600908.1
OG0000315	WP_160581431.1	WP_011290197.1
OG0000316	WP_160581432.1	WP_160587912.1
OG0000317	WP_160581441.1	WP_160601140.1
OG0000318	WP_160581470.1	WP_220200854.1
OG0000319	WP_308704654.1	WP_146379629.1
OG0000320	WP_160581169.1	WP_160601193.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_020835642.1
OG0000323	WP_160581463.1	WP_135618712.1
OG0000324	WP_160581297.1	WP_011284172.1
OG0000325	WP_039387628.1	WP_011206094.1
OG0000326	WP_039387636.1	WP_160600880.1
OG0000327	WP_160581309.1	WP_011206076.1
OG0000328	WP_220200580.1	WP_220200845.1
OG0000329	WP_160581352.1	WP_044284742.1
OG0000330	WP_039387658.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_011206405.1
OG0000332	WP_039387681.1	WP_011290372.1
OG0000333	WP_039387683.1	WP_011206433.1
OG0000334	WP_160581276.1	WP_160601134.1
OG0000335	WP_160581278.1	WP_160601132.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_160581112.1	WP_011290441.1
OG0000338	WP_039387723.1	WP_011284394.1
OG0000339	WP_160581172.1	WP_160601221.1
OG0000340	WP_039387777.1	WP_146379551.1
OG0000341	WP_039387782.1	WP_160601183.1
OG0000342	WP_039387785.1	WP_258556639.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_160601077.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_081605287.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_308704659.1	WP_160600882.1
OG0000349	WP_155897264.1	WP_160600749.1
OG0000350	WP_220200545.1	WP_160600757.1
OG0000351	WP_220190748.1	WP_240536362.1
OG0000352	WP_220190833.1	WP_160600900.1
OG0000353	WP_308704656.1	WP_160584724.1
OG0000354	WP_220200544.1	WP_258556697.1
OG0000355	WP_231237866.1	WP_011206194.1
OG0000356	WP_308507120.1	WP_308507057.1
OG0000357	WP_002557710.1	WP_228366113.1
OG0000358	WP_160581259.1	WP_135619062.1
OG0000359	WP_308704658.1	WP_160600876.1
OG0000360	WP_231237879.1	WP_225973008.1
OG0000361	WP_258555761.1	WP_160600681.1
OG0000362	WP_255454460.1	WP_160600961.1
OG0000363	WP_334199004.1	WP_308704679.1
OG0000365	WP_160581485.1	WP_160600917.1
OG0000366	WP_160581449.1	WP_160601150.1
OG0000367	WP_160581445.1	WP_220200893.1
OG0000368	WP_160581089.1	WP_160600824.1
OG0000369	WP_308704650.1	WP_160588112.1
OG0000370	WP_002557476.1	WP_160588110.1
OG0000371	WP_002557477.1	WP_160600818.1
OG0000372	WP_002557478.1	WP_160584860.1
OG0000373	WP_160581100.1	WP_160585758.1
OG0000374	WP_160581104.1	WP_160590174.1
OG0000375	WP_002557511.1	WP_011284163.1
OG0000376	WP_160581163.1	WP_160601197.1
OG0000377	WP_160581167.1	WP_011206271.1
OG0000378	WP_160581174.1	WP_011205977.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_160581196.1	WP_160588252.1
OG0000381	WP_160581209.1	WP_160600838.1
OG0000382	WP_160581461.1	WP_160600830.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_160581005.1	WP_160601065.1
OG0000385	WP_160580848.1	WP_160601067.1
OG0000386	WP_002557576.1	WP_160601071.1
OG0000387	WP_160580858.1	WP_160601073.1
OG0000388	WP_160580860.1	WP_160601075.1
OG0000390	WP_160580882.1	WP_011206390.1
OG0000391	WP_160580886.1	WP_044284693.1
OG0000392	WP_160580892.1	WP_011284277.1
OG0000393	WP_160580907.1	WP_160600771.1
OG0000394	WP_002557640.1	WP_014579921.1
OG0000395	WP_160580928.1	WP_160601235.1
OG0000396	WP_002557673.1	WP_020835781.1
OG0000397	WP_160581417.1	WP_044284644.1
OG0000398	WP_160581419.1	WP_011206197.1
OG0000399	WP_220190081.1	WP_160600914.1
OG0000400	WP_002557703.1	WP_135619057.1
OG0000401	WP_160581263.1	WP_160600933.1
OG0000402	WP_160581265.1	WP_160600935.1
OG0000403	WP_160581266.1	WP_220200860.1
OG0000404	WP_160581272.1	WP_160600941.1
OG0000406	WP_002557731.1	WP_160601138.1
OG0000407	WP_160581280.1	WP_160601130.1
OG0000408	WP_002557733.1	WP_160601129.1
OG0000409	WP_002557734.1	WP_160601127.1
OG0000410	WP_002557739.1	WP_011206469.1
OG0000411	WP_160581469.1	WP_011206467.1
OG0000412	WP_002557742.1	WP_011290399.1
OG0000413	WP_160581290.1	WP_146379568.1
OG0000414	WP_002557751.1	WP_011284053.1
OG0000415	WP_002557752.1	WP_160601245.1
OG0000416	WP_002557754.1	WP_160601243.1
OG0000417	WP_160581295.1	WP_160601181.1
OG0000418	WP_002557760.1	WP_258556689.1
OG0000419	WP_002557773.1	WP_020835572.1
OG0000420	WP_220200575.1	WP_160600868.1
OG0000421	WP_002557784.1	WP_011283936.1
OG0000422	WP_160581307.1	WP_160600878.1
OG0000423	WP_002557796.1	WP_011206068.1
OG0000424	WP_160581357.1	WP_011206067.1
OG0000425	WP_002557799.1	WP_160600888.1
OG0000426	WP_258555790.1	WP_160600890.1
OG0000427	WP_002557805.1	WP_135618593.1
OG0000428	WP_160581348.1	WP_011283958.1
OG0000429	WP_160581337.1	WP_160601100.1
OG0000430	WP_002557837.1	WP_014579604.1
OG0000431	WP_002557839.1	WP_011290067.1
OG0000432	WP_160581328.1	WP_160601002.1
OG0000433	WP_002557845.1	WP_011206014.1
OG0000434	WP_160581326.1	WP_160601000.1
OG0000435	WP_002557849.1	WP_011283987.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_160581219.1	WP_011206003.1
OG0000438	WP_160581221.1	WP_160600989.1
OG0000439	WP_160581223.1	WP_160600987.1
OG0000440	WP_160581244.1	WP_014579953.1
OG0000441	WP_160581250.1	WP_011284299.1
OG0000442	WP_160581080.1	WP_160600647.1
OG0000443	WP_160581057.1	WP_160600657.1
OG0000444	WP_160581053.1	WP_011205880.1
OG0000445	WP_002557895.1	WP_160600663.1
OG0000446	WP_002557901.1	WP_011205891.1
OG0000447	WP_002557902.1	WP_160600671.1
OG0000448	WP_160581042.1	WP_160600675.1
OG0000449	WP_002557912.1	WP_160600683.1
OG0000450	WP_002557914.1	WP_160600685.1
OG0000451	WP_160581019.1	WP_160600695.1
OG0000452	WP_002557928.1	WP_011205921.1
OG0000453	WP_160581011.1	WP_160600701.1
OG0000455	WP_160581138.1	WP_160600804.1
OG0000456	WP_160581386.1	WP_011206487.1
OG0000457	WP_160581392.1	WP_160600731.1
OG0000458	WP_002557977.1	WP_160600955.1
OG0000459	WP_160580973.1	WP_014579890.1
OG0000460	WP_002557984.1	WP_160600962.1
OG0000461	WP_160580962.1	WP_160600976.1
OG0000462	WP_002558013.1	WP_160600974.1
OG0000463	WP_002558014.1	WP_160600972.1
OG0000464	WP_002558016.1	WP_160600970.1
OG0000465	WP_002558017.1	WP_160585762.1
OG0000466	WP_039387498.1	WP_011205922.1
OG0000467	WP_220200546.1	WP_160601040.1
OG0000468	WP_160581425.1	WP_160600912.1
OG0000469	WP_039387592.1	WP_014579824.1
OG0000470	WP_039387641.1	WP_011206069.1
OG0000471	WP_039387651.1	WP_308704757.1
OG0000472	WP_160581399.1	WP_160601175.1
OG0000473	WP_039387713.1	WP_160600755.1
OG0000474	WP_160581369.1	WP_011284377.1
OG0000476	WP_039387719.1	WP_011205931.1
OG0000477	WP_039387750.1	WP_160600982.1
OG0000478	WP_160581379.1	WP_011284367.1
OG0000479	WP_258555777.1	WP_160600852.1
OG0000480	WP_169742226.1	WP_011206218.1
OG0000481	WP_308704660.1	WP_160600884.1
OG0000482	WP_201771017.1	WP_094521611.1
OG0000483	WP_236681784.1	WP_160601144.1
OG0000484	WP_231237877.1	WP_160600659.1
OG0000485	WP_039387661.1	WP_160600991.1
OG0000486	WP_258555787.1	WP_160601187.1
OG0000487	WP_052234586.1	WP_220200855.1
OG0000489	WP_160581091.1	WP_011205849.1
OG0000490	WP_160581098.1	WP_146379773.1
OG0000491	WP_002557542.1	WP_160600848.1
OG0000492	WP_160581205.1	WP_160600840.1
OG0000493	WP_160580862.1	WP_011206114.1
OG0000494	WP_160580870.1	WP_052259108.1
OG0000495	WP_160580903.1	WP_011284272.1
OG0000496	WP_160580905.1	WP_160600773.1
OG0000497	WP_002557625.1	WP_011206374.1
OG0000498	WP_002557639.1	WP_011206340.1
OG0000499	WP_160580943.1	WP_011206333.1
OG0000500	WP_160581421.1	WP_160600898.1
OG0000501	WP_160581254.1	WP_220200859.1
OG0000502	WP_160581301.1	WP_160590375.1
OG0000503	WP_160581305.1	WP_160600872.1
OG0000504	WP_002557806.1	WP_160600892.1
OG0000505	WP_160581345.1	WP_160601106.1
OG0000506	WP_002557814.1	WP_011206049.1
OG0000507	WP_002557821.1	WP_160601102.1
OG0000508	WP_002557900.1	WP_160600669.1
OG0000509	WP_220190183.1	WP_187286314.1
OG0000510	WP_160581040.1	WP_160600677.1
OG0000512	WP_002557985.1	WP_160600964.1
OG0000513	WP_039387707.1	WP_011206492.1
OG0000514	WP_160580894.1	WP_160600781.1
OG0000516	WP_160581472.1	WP_160587914.1
OG0000518	WP_160581261.1	WP_160600931.1
OG0000519	WP_002557785.1	WP_020835579.1
OG0000521	WP_002557903.1	WP_160600673.1
OG0000522	WP_160581038.1	WP_160600679.1
OG0000524	WP_220200547.1	WP_160601041.1
OG0000525	WP_308704662.1	WP_160601177.1
OG0000528	WP_160581474.1	WP_160600916.1
OG0000529	WP_160581156.1	WP_011206243.1
OG0000530	WP_160581171.1	WP_160601225.1
OG0000531	WP_160581198.1	WP_020835645.1
OG0000533	WP_160581332.1	WP_011206110.1
OG0000534	WP_002557926.1	WP_160600697.1
OG0000535	WP_002557470.1	WP_160600820.1
OG0000536	WP_160581120.1	WP_160600814.1
OG0000537	WP_002557776.1	WP_011206089.1
OG0000538	WP_160581324.1	WP_160600998.1
OG0000539	WP_002557892.1	WP_160600661.1
OG0000541	WP_160580939.1	WP_371863324.1
OG0000542	WP_160581026.1	WP_160600691.1
OG0000547	WP_160580878.1	WP_160600789.1
OG0000548	WP_160581410.1	WP_020835662.1
OG0000549	WP_160581401.1	WP_160601173.1
OG0000550	WP_160581373.1	WP_220200832.1
OG0000556	WP_014579679.1	WP_160601239.1
OG0000584	WP_014579687.1	WP_160601156.1, WP_318026602.1
OG0000585	WP_258555775.1	WP_258556676.1
OG0000589	WP_002557988.1	WP_160601265.1
OG0000600	WP_160581237.1	WP_160584945.1
OG0000603	WP_014579683.1	WP_135618745.1
OG0000605	WP_160581232.1	WP_160585712.1
OG0000632	WP_308704647.1	WP_371863323.1
