Orthogroup	MFC_MF29_proteins	MFC_Ms42_proteins
OG0000080	WP_196792423.1	WP_002558011.1, WP_196792423.1
OG0000081	WP_308704652.1	WP_039387493.1
OG0000082	WP_220200548.1	WP_231237888.1
OG0000083	WP_160581484.1	WP_002557446.1
OG0000084	WP_002557451.1	WP_002557451.1
OG0000085	WP_160581451.1	WP_002557452.1
OG0000086	WP_160581447.1	WP_002557454.1
OG0000087	WP_258555794.1	WP_236681783.1
OG0000088	WP_160581443.1	WP_002557458.1
OG0000089	WP_002557461.1	WP_002557461.1
OG0000090	WP_160581085.1	WP_002557465.1
OG0000091	WP_002557468.1	WP_002557468.1
OG0000092	WP_160581094.1	WP_002557471.1
OG0000093	WP_002557472.1	WP_002557472.1
OG0000094	WP_160581096.1	WP_002557473.1
OG0000095	WP_002557479.1	WP_002557479.1
OG0000096	WP_002557480.1	WP_002557480.1
OG0000097	WP_160581102.1	WP_002557483.1
OG0000098	WP_160581106.1	WP_002557485.1
OG0000099	WP_160581122.1	WP_002557494.1
OG0000100	WP_160581126.1	WP_002557496.1
OG0000101	WP_002557497.1	WP_002557497.1
OG0000102	WP_160581128.1	WP_002557499.1
OG0000103	WP_160581150.1	WP_002557509.1
OG0000104	WP_002557510.1	WP_002557510.1
OG0000105	WP_160581154.1	WP_002557514.1
OG0000106	WP_160581158.1	WP_002557516.1
OG0000107	WP_002557518.1	WP_002557518.1
OG0000108	WP_308704655.1	WP_002557519.1
OG0000109	WP_002557520.1	WP_002557520.1
OG0000110	WP_160581160.1	WP_002557522.1
OG0000111	WP_220200563.1	WP_002557523.1
OG0000112	WP_160581165.1	WP_002557525.1
OG0000113	WP_002557528.1	WP_002557528.1
OG0000114	WP_258555776.1	WP_002557530.1
OG0000115	WP_002557532.1	WP_002557532.1
OG0000116	WP_160581176.1	WP_002557534.1
OG0000117	WP_160581178.1	WP_002557535.1
OG0000118	WP_160581185.1	WP_002557540.1
OG0000119	WP_160581187.1	WP_002557541.1
OG0000120	WP_160581189.1	WP_002557544.1
OG0000121	WP_160581194.1	WP_002557548.1
OG0000122	WP_002557549.1	WP_002557549.1
OG0000123	WP_160581199.1	WP_002557553.1
OG0000124	WP_160581201.1	WP_002557554.1
OG0000125	WP_160581203.1	WP_002557555.1
OG0000126	WP_160581207.1	WP_002557557.1
OG0000127	WP_160581211.1	WP_002557559.1
OG0000128	WP_160581457.1	WP_002557562.1
OG0000129	WP_160581459.1	WP_002557563.1
OG0000130	WP_002557565.1	WP_002557565.1
OG0000131	WP_002557566.1	WP_002557566.1
OG0000132	WP_160581465.1	WP_002557569.1
OG0000133	WP_002557574.1	WP_002557574.1
OG0000134	WP_160580852.1	WP_002557575.1
OG0000135	WP_002557577.1	WP_002557577.1
OG0000136	WP_160580854.1	WP_002557578.1
OG0000137	WP_002557585.1	WP_002557585.1
OG0000138	WP_160580868.1	WP_002557590.1
OG0000139	WP_160580872.1	WP_002557594.1
OG0000140	WP_002557595.1	WP_002557595.1
OG0000141	WP_002557602.1	WP_002557602.1
OG0000142	WP_002557603.1	WP_002557603.1
OG0000143	WP_160580880.1	WP_002557607.1
OG0000144	WP_160580884.1	WP_002557609.1
OG0000145	WP_160580888.1	WP_002557611.1
OG0000146	WP_002557613.1	WP_002557613.1
OG0000147	WP_002557614.1	WP_002557614.1
OG0000148	WP_160580896.1	WP_002557618.1
OG0000149	WP_160580900.1	WP_002557620.1
OG0000150	WP_002557623.1	WP_002557623.1
OG0000151	WP_160580918.1	WP_002557634.1
OG0000152	WP_160580920.1	WP_002557635.1
OG0000153	WP_160580922.1	WP_002557636.1
OG0000154	WP_160580926.1	WP_002557638.1
OG0000155	WP_002557642.1	WP_002557642.1
OG0000156	WP_160580941.1	WP_002557647.1
OG0000157	WP_002557648.1	WP_002557648.1
OG0000158	WP_002557650.1	WP_002557650.1
OG0000159	WP_002557667.1	WP_002557667.1
OG0000160	WP_160580992.1	WP_002557668.1
OG0000161	WP_160580994.1	WP_002557669.1
OG0000162	WP_160581406.1	WP_002557671.1
OG0000163	WP_160581408.1	WP_002557672.1
OG0000164	WP_160581414.1	WP_002557677.1
OG0000165	WP_002557684.1	WP_002557684.1
OG0000166	WP_160581423.1	WP_002557689.1
OG0000167	WP_160581429.1	WP_002557692.1
OG0000168	WP_002557693.1	WP_002557693.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_002557704.1	WP_002557704.1
OG0000171	WP_160581256.1	WP_002557706.1
OG0000172	WP_002557707.1	WP_002557707.1
OG0000173	WP_002557708.1	WP_002557708.1
OG0000174	WP_002557709.1	WP_002557709.1
OG0000175	WP_002557712.1	WP_002557712.1
OG0000176	WP_160581268.1	WP_002557719.1
OG0000177	WP_160581270.1	WP_039387687.1
OG0000178	WP_002557721.1	WP_002557721.1
OG0000179	WP_160581274.1	WP_002557724.1
OG0000180	WP_002557725.1	WP_002557725.1
OG0000181	WP_039387691.1	WP_039387691.1
OG0000182	WP_002557729.1	WP_002557729.1
OG0000183	WP_002557735.1	WP_002557735.1
OG0000184	WP_160581467.1	WP_002557740.1
OG0000185	WP_002557743.1	WP_002557743.1
OG0000186	WP_160581292.1	WP_002557750.1
OG0000187	WP_002557753.1	WP_002557753.1
OG0000188	WP_002557755.1	WP_002557755.1
OG0000189	WP_160581293.1	WP_039387623.1
OG0000190	WP_002557757.1	WP_002557757.1
OG0000191	WP_002557761.1	WP_002557761.1
OG0000192	WP_160581299.1	WP_002557763.1
OG0000193	WP_002557766.1	WP_002557766.1
OG0000194	WP_002557768.1	WP_002557768.1
OG0000195	WP_002557769.1	WP_002557769.1
OG0000196	WP_160581303.1	WP_002557774.1
OG0000197	WP_002557775.1	WP_002557775.1
OG0000198	WP_002557778.1	WP_002557778.1
OG0000199	WP_002557779.1	WP_002557779.1
OG0000200	WP_002557781.1	WP_002557781.1
OG0000201	WP_002557783.1	WP_002557783.1
OG0000202	WP_002557791.1	WP_002557791.1
OG0000203	WP_160581315.1	WP_002557792.1
OG0000204	WP_160581361.1	WP_002557793.1
OG0000205	WP_160581359.1	WP_002557794.1
OG0000206	WP_002557798.1	WP_002557798.1
OG0000207	WP_160581354.1	WP_002557801.1
OG0000208	WP_002557802.1	WP_002557802.1
OG0000209	WP_002557803.1	WP_002557803.1
OG0000210	WP_160581347.1	WP_002557811.1
OG0000211	WP_002557813.1	WP_002557813.1
OG0000212	WP_002557815.1	WP_002557815.1
OG0000213	WP_002557816.1	WP_002557816.1
OG0000214	WP_002557817.1	WP_002557817.1
OG0000215	WP_002557818.1	WP_002557818.1
OG0000216	WP_160581343.1	WP_002557819.1
OG0000217	WP_160581341.1	WP_002557820.1
OG0000218	WP_160581339.1	WP_002557822.1
OG0000219	WP_002557823.1	WP_002557823.1
OG0000220	WP_002557824.1	WP_002557824.1
OG0000221	WP_002557825.1	WP_002557825.1
OG0000222	WP_002557826.1	WP_002557826.1
OG0000223	WP_002557827.1	WP_002557827.1
OG0000224	WP_002557829.1	WP_002557829.1
OG0000225	WP_002557831.1	WP_002557831.1
OG0000226	WP_002557832.1	WP_002557832.1
OG0000227	WP_002557833.1	WP_002557833.1
OG0000228	WP_002557834.1	WP_002557834.1
OG0000229	WP_002557835.1	WP_002557835.1
OG0000230	WP_160581335.1	WP_002557836.1
OG0000231	WP_160581334.1	WP_002557838.1
OG0000232	WP_002557840.1	WP_002557840.1
OG0000233	WP_160581330.1	WP_002557842.1
OG0000234	WP_318026671.1	WP_002557848.1
OG0000235	WP_002557850.1	WP_002557850.1
OG0000236	WP_160581215.1	WP_002557851.1
OG0000237	WP_002557855.1	WP_002557855.1
OG0000238	WP_002557856.1	WP_002557856.1
OG0000239	WP_002557863.1	WP_002557863.1
OG0000240	WP_002557864.1	WP_002557864.1
OG0000241	WP_002557866.1	WP_002557866.1
OG0000242	WP_160581246.1	WP_002557867.1
OG0000243	WP_002557868.1	WP_002557868.1
OG0000244	WP_002557870.1	WP_002557870.1
OG0000245	WP_002557872.1	WP_002557872.1
OG0000246	WP_160581082.1	WP_002557875.1
OG0000247	WP_160581077.1	WP_002557877.1
OG0000248	WP_160581067.1	WP_002557882.1
OG0000249	WP_160581065.1	WP_002557883.1
OG0000250	WP_160581059.1	WP_002557886.1
OG0000251	WP_002557891.1	WP_002557891.1
OG0000252	WP_160581051.1	WP_002557893.1
OG0000253	WP_160581049.1	WP_002557894.1
OG0000254	WP_160581047.1	WP_002557896.1
OG0000255	WP_002557898.1	WP_002557898.1
OG0000256	WP_002557899.1	WP_002557899.1
OG0000257	WP_002557904.1	WP_002557904.1
OG0000258	WP_160581044.1	WP_002557905.1
OG0000259	WP_160581036.1	WP_002557911.1
OG0000260	WP_160581035.1	WP_002557913.1
OG0000261	WP_160581032.1	WP_002557915.1
OG0000262	WP_002557919.1	WP_002557919.1
OG0000263	WP_160581022.1	WP_002557922.1
OG0000264	WP_160581017.1	WP_002557925.1
OG0000265	WP_002557927.1	WP_002557927.1
OG0000266	WP_002557930.1	WP_002557930.1
OG0000267	WP_160581015.1	WP_002557932.1
OG0000268	WP_160581013.1	WP_002557933.1
OG0000269	WP_002557936.1	WP_002557936.1
OG0000270	WP_160581371.1	WP_002557945.1
OG0000271	WP_002557946.1	WP_002557946.1
OG0000272	WP_002557947.1	WP_002557947.1
OG0000273	WP_002557948.1	WP_002557948.1
OG0000274	WP_160581375.1	WP_002557951.1
OG0000275	WP_160581377.1	WP_039387710.1
OG0000276	WP_002557954.1	WP_002557954.1
OG0000277	WP_160581382.1	WP_002557956.1
OG0000278	WP_160581384.1	WP_002557957.1
OG0000279	WP_002557959.1	WP_002557959.1
OG0000280	WP_002557960.1	WP_002557960.1
OG0000281	WP_002557961.1	WP_002557961.1
OG0000282	WP_160581388.1	WP_002557964.1
OG0000283	WP_002557965.1	WP_002557965.1
OG0000284	WP_160581390.1	WP_002557966.1
OG0000285	WP_002557967.1	WP_002557967.1
OG0000286	WP_160580983.1	WP_002557972.1
OG0000287	WP_002557978.1	WP_002557978.1
OG0000288	WP_002557980.1	WP_002557980.1
OG0000289	WP_160580975.1	WP_002557981.1
OG0000290	WP_002558003.1	WP_002558003.1
OG0000291	WP_002558005.1	WP_002558005.1
OG0000292	WP_160580955.1	WP_002558006.1
OG0000293	WP_002558007.1	WP_002558007.1
OG0000294	WP_160580957.1	WP_002558009.1
OG0000295	WP_160580958.1	WP_002558010.1
OG0000296	WP_160580964.1	WP_002558018.1
OG0000297	WP_160580966.1	WP_002558019.1
OG0000298	WP_160581061.1	WP_039387485.1
OG0000299	WP_039387487.1	WP_039387487.1
OG0000300	WP_039387496.1	WP_039387496.1
OG0000301	WP_039387501.1	WP_039387501.1
OG0000302	WP_039387504.1	WP_039387504.1
OG0000303	WP_160580856.1	WP_039387509.1
OG0000304	WP_160580864.1	WP_039387510.1
OG0000305	WP_258555751.1	WP_039387514.1
OG0000306	WP_160580911.1	WP_039387523.1
OG0000307	WP_160580924.1	WP_039387525.1
OG0000308	WP_160580950.1	WP_039387535.1
OG0000309	WP_160580960.1	WP_039387539.1
OG0000310	WP_160580977.1	WP_039387544.1
OG0000311	WP_039387548.1	WP_039387548.1
OG0000312	WP_160580991.1	WP_039387550.1
OG0000313	WP_039387554.1	WP_039387554.1
OG0000314	WP_039387562.1	WP_039387562.1
OG0000315	WP_160581431.1	WP_039387569.1
OG0000316	WP_160581432.1	WP_039387574.1
OG0000317	WP_160581441.1	WP_039387578.1
OG0000318	WP_160581470.1	WP_039387594.1
OG0000319	WP_308704654.1	WP_236681771.1
OG0000320	WP_160581169.1	WP_039387609.1
OG0000321	WP_039387610.1	WP_039387610.1
OG0000322	WP_039387613.1	WP_039387613.1
OG0000323	WP_160581463.1	WP_039387619.1
OG0000324	WP_160581297.1	WP_039387626.1
OG0000325	WP_039387628.1	WP_039387628.1
OG0000326	WP_039387636.1	WP_039387636.1
OG0000327	WP_160581309.1	WP_039387638.1
OG0000328	WP_220200580.1	WP_039387644.1
OG0000329	WP_160581352.1	WP_039387648.1
OG0000330	WP_039387658.1	WP_039387658.1
OG0000331	WP_039387665.1	WP_039387665.1
OG0000332	WP_039387681.1	WP_039387681.1
OG0000333	WP_039387683.1	WP_039387683.1
OG0000334	WP_160581276.1	WP_039387693.1
OG0000335	WP_160581278.1	WP_039387695.1
OG0000336	WP_039387704.1	WP_039387704.1
OG0000337	WP_160581112.1	WP_039387722.1
OG0000338	WP_039387723.1	WP_039387723.1
OG0000339	WP_160581172.1	WP_039387775.1
OG0000340	WP_039387777.1	WP_039387777.1
OG0000341	WP_039387782.1	WP_039387782.1
OG0000342	WP_039387785.1	WP_039387785.1
OG0000343	WP_039387808.1	WP_039387808.1
OG0000344	WP_051054279.1	WP_051054279.1
OG0000345	WP_051054304.1	WP_051054304.1
OG0000346	WP_081605287.1	WP_051054328.1
OG0000347	WP_081605280.1	WP_081605280.1
OG0000348	WP_308704659.1	WP_081605285.1
OG0000349	WP_155897264.1	WP_155897264.1
OG0000350	WP_220200545.1	WP_201771011.1
OG0000351	WP_220190748.1	WP_220189978.1
OG0000352	WP_220190833.1	WP_002557683.1
OG0000353	WP_308704656.1	WP_002557547.1
OG0000354	WP_220200544.1	WP_002557591.1
OG0000355	WP_231237866.1	WP_231237866.1
OG0000356	WP_308507120.1	WP_231237867.1
OG0000357	WP_002557710.1	WP_002557710.1
OG0000358	WP_160581259.1	WP_231237872.1
OG0000359	WP_308704658.1	WP_236681774.1
OG0000360	WP_231237879.1	WP_231237879.1
OG0000361	WP_258555761.1	WP_231237880.1
OG0000362	WP_255454460.1	WP_231237889.1
OG0000363	WP_334199004.1	WP_323749062.1
OG0000365	WP_160581485.1	WP_002557448.1
OG0000366	WP_160581449.1	WP_002557453.1
OG0000367	WP_160581445.1	WP_002557455.1
OG0000368	WP_160581089.1	WP_002557467.1
OG0000369	WP_308704650.1	WP_039387473.1
OG0000370	WP_002557476.1	WP_002557476.1
OG0000371	WP_002557477.1	WP_002557477.1
OG0000372	WP_002557478.1	WP_236681780.1
OG0000373	WP_160581100.1	WP_002557482.1
OG0000374	WP_160581104.1	WP_002557484.1
OG0000375	WP_002557511.1	WP_002557511.1
OG0000376	WP_160581163.1	WP_002557524.1
OG0000377	WP_160581167.1	WP_002557526.1
OG0000378	WP_160581174.1	WP_002557533.1
OG0000379	WP_002557546.1	WP_002557546.1
OG0000380	WP_160581196.1	WP_002557550.1
OG0000381	WP_160581209.1	WP_002557558.1
OG0000382	WP_160581461.1	WP_002557564.1
OG0000383	WP_002557567.1	WP_002557567.1
OG0000384	WP_160581005.1	WP_002557571.1
OG0000385	WP_160580848.1	WP_002557572.1
OG0000386	WP_002557576.1	WP_002557576.1
OG0000387	WP_160580858.1	WP_002557580.1
OG0000388	WP_160580860.1	WP_002557581.1
OG0000389	WP_002557589.1	WP_002557589.1
OG0000390	WP_160580882.1	WP_002557608.1
OG0000391	WP_160580886.1	WP_002557610.1
OG0000392	WP_160580892.1	WP_002557615.1
OG0000393	WP_160580907.1	WP_002557627.1
OG0000394	WP_002557640.1	WP_002557640.1
OG0000395	WP_160580928.1	WP_002557641.1
OG0000396	WP_002557673.1	WP_002557673.1
OG0000397	WP_160581417.1	WP_002557680.1
OG0000398	WP_160581419.1	WP_002557681.1
OG0000399	WP_220190081.1	WP_002557691.1
OG0000400	WP_002557703.1	WP_002557703.1
OG0000401	WP_160581263.1	WP_002557714.1
OG0000402	WP_160581265.1	WP_002557715.1
OG0000403	WP_160581266.1	WP_002557717.1
OG0000404	WP_160581272.1	WP_039387689.1
OG0000405	WP_002557726.1	WP_002557726.1
OG0000406	WP_002557731.1	WP_002557731.1
OG0000407	WP_160581280.1	WP_039387697.1
OG0000408	WP_002557733.1	WP_002557733.1
OG0000409	WP_002557734.1	WP_002557734.1
OG0000410	WP_002557739.1	WP_002557739.1
OG0000411	WP_160581469.1	WP_002557741.1
OG0000412	WP_002557742.1	WP_002557742.1
OG0000413	WP_160581290.1	WP_002557749.1
OG0000414	WP_002557751.1	WP_002557751.1
OG0000415	WP_002557752.1	WP_002557752.1
OG0000416	WP_002557754.1	WP_002557754.1
OG0000417	WP_160581295.1	WP_002557759.1
OG0000418	WP_002557760.1	WP_002557760.1
OG0000419	WP_002557773.1	WP_002557773.1
OG0000420	WP_220200575.1	WP_002557780.1
OG0000421	WP_002557784.1	WP_002557784.1
OG0000422	WP_160581307.1	WP_002557786.1
OG0000423	WP_002557796.1	WP_002557796.1
OG0000424	WP_160581357.1	WP_002557797.1
OG0000425	WP_002557799.1	WP_002557799.1
OG0000426	WP_258555790.1	WP_002557800.1
OG0000427	WP_002557805.1	WP_002557805.1
OG0000428	WP_160581348.1	WP_002557810.1
OG0000429	WP_160581337.1	WP_002557828.1
OG0000430	WP_002557837.1	WP_002557837.1
OG0000431	WP_002557839.1	WP_002557839.1
OG0000432	WP_160581328.1	WP_002557843.1
OG0000433	WP_002557845.1	WP_002557845.1
OG0000434	WP_160581326.1	WP_002557846.1
OG0000435	WP_002557849.1	WP_002557849.1
OG0000436	WP_002557857.1	WP_002557857.1
OG0000437	WP_160581219.1	WP_002557860.1
OG0000438	WP_160581221.1	WP_002557861.1
OG0000439	WP_160581223.1	WP_002557862.1
OG0000440	WP_160581244.1	WP_002557865.1
OG0000441	WP_160581250.1	WP_236681776.1
OG0000442	WP_160581080.1	WP_002557876.1
OG0000443	WP_160581057.1	WP_002557888.1
OG0000444	WP_160581053.1	WP_002557890.1
OG0000445	WP_002557895.1	WP_002557895.1
OG0000446	WP_002557901.1	WP_002557901.1
OG0000447	WP_002557902.1	WP_002557902.1
OG0000448	WP_160581042.1	WP_002557907.1
OG0000449	WP_002557912.1	WP_002557912.1
OG0000450	WP_002557914.1	WP_002557914.1
OG0000451	WP_160581019.1	WP_002557923.1
OG0000452	WP_002557928.1	WP_002557928.1
OG0000453	WP_160581011.1	WP_002557934.1
OG0000455	WP_160581138.1	WP_002557941.1
OG0000456	WP_160581386.1	WP_002557963.1
OG0000457	WP_160581392.1	WP_002557968.1
OG0000458	WP_002557977.1	WP_002557977.1
OG0000459	WP_160580973.1	WP_002557982.1
OG0000460	WP_002557984.1	WP_002557984.1
OG0000461	WP_160580962.1	WP_039387541.1
OG0000462	WP_002558013.1	WP_002558013.1
OG0000463	WP_002558014.1	WP_002558014.1
OG0000464	WP_002558016.1	WP_002558016.1
OG0000465	WP_002558017.1	WP_002558017.1
OG0000466	WP_039387498.1	WP_039387498.1
OG0000467	WP_220200546.1	WP_039387531.1
OG0000468	WP_160581425.1	WP_039387564.1
OG0000469	WP_039387592.1	WP_039387592.1
OG0000470	WP_039387641.1	WP_039387641.1
OG0000471	WP_039387651.1	WP_039387651.1
OG0000472	WP_160581399.1	WP_039387700.1
OG0000473	WP_039387713.1	WP_039387713.1
OG0000474	WP_160581369.1	WP_039387714.1
OG0000475	WP_220200585.1	WP_039387715.1
OG0000476	WP_039387719.1	WP_039387719.1
OG0000477	WP_039387750.1	WP_039387750.1
OG0000478	WP_160581379.1	WP_039387817.1
OG0000479	WP_258555777.1	WP_051054268.1
OG0000480	WP_169742226.1	WP_169742226.1
OG0000481	WP_308704660.1	WP_002557790.1
OG0000482	WP_201771017.1	WP_201771017.1
OG0000483	WP_236681784.1	WP_236681784.1
OG0000484	WP_231237877.1	WP_231237877.1
OG0000485	WP_039387661.1	WP_039387661.1
OG0000486	WP_258555787.1	WP_236681773.1
OG0000487	WP_052234586.1	WP_052234586.1
OG0000488	WP_160581452.1	WP_002557450.1
OG0000489	WP_160581091.1	WP_002557469.1
OG0000490	WP_160581098.1	WP_002557481.1
OG0000491	WP_002557542.1	WP_002557542.1
OG0000492	WP_160581205.1	WP_002557556.1
OG0000493	WP_160580862.1	WP_002557584.1
OG0000494	WP_160580870.1	WP_002557592.1
OG0000495	WP_160580903.1	WP_002557622.1
OG0000496	WP_160580905.1	WP_002557624.1
OG0000497	WP_002557625.1	WP_002557625.1
OG0000498	WP_002557639.1	WP_002557639.1
OG0000499	WP_160580943.1	WP_002557649.1
OG0000500	WP_160581421.1	WP_002557682.1
OG0000501	WP_160581254.1	WP_002557705.1
OG0000502	WP_160581301.1	WP_002557767.1
OG0000503	WP_160581305.1	WP_002557782.1
OG0000504	WP_002557806.1	WP_002557806.1
OG0000505	WP_160581345.1	WP_002557812.1
OG0000506	WP_002557814.1	WP_002557814.1
OG0000507	WP_002557821.1	WP_002557821.1
OG0000508	WP_002557900.1	WP_002557900.1
OG0000509	WP_220190183.1	WP_002557906.1
OG0000510	WP_160581040.1	WP_002557908.1
OG0000511	WP_002557935.1	WP_002557935.1
OG0000512	WP_002557985.1	WP_002557985.1
OG0000513	WP_039387707.1	WP_039387707.1
OG0000514	WP_160580894.1	WP_039387516.1
OG0000516	WP_160581472.1	WP_002557444.1
OG0000517	WP_160581087.1	WP_002557466.1
OG0000518	WP_160581261.1	WP_002557713.1
OG0000519	WP_002557785.1	WP_002557785.1
OG0000520	WP_160581350.1	WP_002557809.1
OG0000521	WP_002557903.1	WP_002557903.1
OG0000522	WP_160581038.1	WP_002557909.1
OG0000523	WP_160581394.1	WP_002557969.1
OG0000524	WP_220200547.1	WP_039387533.1
OG0000528	WP_160581474.1	WP_002557445.1
OG0000529	WP_160581156.1	WP_002557515.1
OG0000530	WP_160581171.1	WP_002557529.1
OG0000531	WP_160581198.1	WP_002557551.1
OG0000533	WP_160581332.1	WP_002557841.1
OG0000534	WP_002557926.1	WP_002557926.1
OG0000535	WP_002557470.1	WP_002557470.1
OG0000536	WP_160581120.1	WP_002557493.1
OG0000537	WP_002557776.1	WP_002557776.1
OG0000538	WP_160581324.1	WP_002557847.1
OG0000539	WP_002557892.1	WP_002557892.1
OG0000541	WP_160580939.1	WP_002557646.1
OG0000542	WP_160581026.1	WP_002557920.1
OG0000547	WP_160580878.1	WP_002557606.1
OG0000548	WP_160581410.1	WP_002557674.1
OG0000549	WP_160581401.1	WP_002557744.1
OG0000550	WP_160581373.1	WP_002557950.1
OG0000551	WP_258555783.1	WP_231237875.1
OG0000555	WP_002557605.1	WP_002557605.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000595	WP_160580930.1	WP_002557700.1
OG0000596	WP_160581071.1	WP_002557880.1
OG0000597	WP_160580932.1	WP_051054290.1
OG0000598	WP_160581073.1	WP_002557879.1
OG0000599	WP_160581075.1	WP_039387482.1
OG0000602	WP_160581454.1	WP_002557449.1
OG0000627	WP_160581118.1	WP_040538372.1
OG0000634	WP_160581148.1	WP_002557508.1
OG0000635	WP_160580945.1	WP_002557651.1
OG0000636	WP_255454504.1	WP_002557702.1
OG0000637	WP_002557764.1	WP_002557764.1
OG0000638	WP_002557938.1	WP_002557938.1
OG0000639	WP_155897263.1	WP_155897263.1
OG0000640	WP_255454454.1	WP_255454454.1
OG0000641	WP_255454503.1	WP_255454503.1, WP_269076341.1
OG0000643	WP_002557854.1	WP_002557854.1
OG0000655	WP_002557748.1	WP_002557748.1
