Orthogroup	MHP_MHP650_genes	MHP_LH_genes
OG0000140	DR083_RS03150	KUD10_RS00665
OG0000141	DR083_RS00725	KUD10_RS03005
OG0000142	DR083_RS04625	KUD10_RS03000
OG0000143	DR083_RS00695	KUD10_RS02980
OG0000144	DR083_RS00685	KUD10_RS02970
OG0000145	DR083_RS00675	KUD10_RS02960
OG0000146	DR083_RS00665	KUD10_RS02950
OG0000147	DR083_RS00660	KUD10_RS02945
OG0000148	DR083_RS00645	KUD10_RS02930
OG0000149	DR083_RS00635	KUD10_RS02920
OG0000150	DR083_RS00620	KUD10_RS02905
OG0000151	DR083_RS00575	KUD10_RS02860
OG0000152	DR083_RS00570	KUD10_RS02855
OG0000153	DR083_RS00565	KUD10_RS02850
OG0000154	DR083_RS00555	KUD10_RS02840
OG0000155	DR083_RS03340	KUD10_RS02805
OG0000156	DR083_RS02140	KUD10_RS02795
OG0000157	DR083_RS04765	KUD10_RS02790
OG0000158	DR083_RS04770	KUD10_RS03710
OG0000159	DR083_RS04945	KUD10_RS02545
OG0000160	DR083_RS00360	KUD10_RS02540
OG0000161	DR083_RS00355	KUD10_RS02535
OG0000162	DR083_RS00345	KUD10_RS02525
OG0000163	DR083_RS00340	KUD10_RS02520
OG0000164	DR083_RS03555	KUD10_RS01670
OG0000165	DR083_RS01545	KUD10_RS01990
OG0000166	DR083_RS01565	KUD10_RS02010
OG0000167	DR083_RS01580	KUD10_RS02025
OG0000168	DR083_RS01585	KUD10_RS02030
OG0000169	DR083_RS01655	KUD10_RS03115
OG0000170	DR083_RS01670	KUD10_RS03130
OG0000171	DR083_RS01680	KUD10_RS03140
OG0000172	DR083_RS01690	KUD10_RS03145
OG0000173	DR083_RS01695	KUD10_RS03150
OG0000174	DR083_RS01700	KUD10_RS03155
OG0000175	DR083_RS01715	KUD10_RS03170
OG0000176	DR083_RS01765	KUD10_RS03215
OG0000177	DR083_RS01770	KUD10_RS03220
OG0000178	DR083_RS01775	KUD10_RS03225
OG0000179	DR083_RS01785	KUD10_RS03235
OG0000180	DR083_RS01790	KUD10_RS03240
OG0000181	DR083_RS04830	KUD10_RS03285
OG0000182	DR083_RS02830	KUD10_RS03295
OG0000183	DR083_RS02795	KUD10_RS03330
OG0000184	DR083_RS03100	KUD10_RS03375
OG0000185	DR083_RS03085	KUD10_RS03360
OG0000186	DR083_RS04900	KUD10_RS01595
OG0000187	DR083_RS03415	KUD10_RS01610
OG0000188	DR083_RS03405	KUD10_RS01620
OG0000189	DR083_RS04865	KUD10_RS02365
OG0000190	DR083_RS03025	KUD10_RS02360
OG0000191	DR083_RS03005	KUD10_RS02340
OG0000192	DR083_RS02475	KUD10_RS01290
OG0000193	DR083_RS02490	KUD10_RS01275
OG0000194	DR083_RS01250	KUD10_RS00685
OG0000195	DR083_RS01255	KUD10_RS00690
OG0000196	DR083_RS01275	KUD10_RS00710
OG0000197	DR083_RS01280	KUD10_RS00715
OG0000198	DR083_RS01295	KUD10_RS00730
OG0000199	DR083_RS01300	KUD10_RS00735
OG0000200	DR083_RS01315	KUD10_RS00750
OG0000201	DR083_RS01325	KUD10_RS00760
OG0000202	DR083_RS04685	KUD10_RS00815
OG0000203	DR083_RS01385	KUD10_RS00820
OG0000204	DR083_RS01390	KUD10_RS00825
OG0000205	DR083_RS01395	KUD10_RS00830
OG0000206	DR083_RS01415	KUD10_RS00850
OG0000207	DR083_RS01430	KUD10_RS00865
OG0000208	DR083_RS01435	KUD10_RS00870
OG0000209	DR083_RS01440	KUD10_RS00875
OG0000210	DR083_RS02680	KUD10_RS00920
OG0000211	DR083_RS02670	KUD10_RS00930
OG0000212	DR083_RS02660	KUD10_RS00940
OG0000213	DR083_RS02655	KUD10_RS00945
OG0000214	DR083_RS02650	KUD10_RS00950
OG0000215	DR083_RS02645	KUD10_RS00955
OG0000216	DR083_RS02640	KUD10_RS00960
OG0000217	DR083_RS02635	KUD10_RS00965
OG0000218	DR083_RS02625	KUD10_RS00975
OG0000219	DR083_RS02620	KUD10_RS00980
OG0000220	DR083_RS02615	KUD10_RS00985
OG0000221	DR083_RS02610	KUD10_RS00990
OG0000222	DR083_RS02605	KUD10_RS00995
OG0000223	DR083_RS02600	KUD10_RS01000
OG0000224	DR083_RS02590	KUD10_RS01010
OG0000225	DR083_RS02580	KUD10_RS01020
OG0000226	DR083_RS02575	KUD10_RS01025
OG0000227	DR083_RS02570	KUD10_RS01030
OG0000228	DR083_RS05030	KUD10_RS03740
OG0000229	DR083_RS02560	KUD10_RS01040
OG0000230	DR083_RS02555	KUD10_RS01045
OG0000231	DR083_RS02545	KUD10_RS01055
OG0000232	DR083_RS02535	KUD10_RS01065
OG0000233	DR083_RS02035	KUD10_RS01090
OG0000234	DR083_RS01995	KUD10_RS01125
OG0000235	DR083_RS01985	KUD10_RS01135
OG0000236	DR083_RS01980	KUD10_RS01140
OG0000237	DR083_RS01975	KUD10_RS01230
OG0000238	DR083_RS01965	KUD10_RS01235
OG0000239	DR083_RS00735	KUD10_RS03015
OG0000240	DR083_RS00740	KUD10_RS03020
OG0000241	DR083_RS00750	KUD10_RS03030
OG0000242	DR083_RS00755	KUD10_RS03035
OG0000243	DR083_RS00760	KUD10_RS03040
OG0000244	DR083_RS00770	KUD10_RS03050
OG0000245	DR083_RS00780	KUD10_RS03055
OG0000246	DR083_RS00010	KUD10_RS00140
OG0000247	DR083_RS00020	KUD10_RS00150
OG0000248	DR083_RS00030	KUD10_RS00160
OG0000249	DR083_RS00035	KUD10_RS00165
OG0000250	DR083_RS00050	KUD10_RS00180
OG0000251	DR083_RS00085	KUD10_RS00210
OG0000252	DR083_RS00095	KUD10_RS00220
OG0000253	DR083_RS00100	KUD10_RS00225
OG0000254	DR083_RS00110	KUD10_RS00235
OG0000255	DR083_RS00120	KUD10_RS00240
OG0000256	DR083_RS00125	KUD10_RS00245
OG0000257	DR083_RS00150	KUD10_RS00270
OG0000258	DR083_RS00160	KUD10_RS00280
OG0000259	DR083_RS00190	KUD10_RS00310
OG0000260	DR083_RS00200	KUD10_RS00320
OG0000261	DR083_RS04585	KUD10_RS00330
OG0000262	DR083_RS00225	KUD10_RS00345
OG0000263	DR083_RS00240	KUD10_RS00360
OG0000264	DR083_RS00255	KUD10_RS00375
OG0000265	DR083_RS00265	KUD10_RS00385
OG0000266	DR083_RS00280	KUD10_RS00400
OG0000267	DR083_RS00295	KUD10_RS00415
OG0000268	DR083_RS00300	KUD10_RS00420
OG0000269	DR083_RS03225	KUD10_RS00435
OG0000270	DR083_RS04615	KUD10_RS03560
OG0000271	DR083_RS00515	KUD10_RS03555
OG0000272	DR083_RS00510	KUD10_RS03550
OG0000273	DR083_RS00505	KUD10_RS03545
OG0000274	DR083_RS00485	KUD10_RS03525
OG0000275	DR083_RS04605	KUD10_RS03520
OG0000276	DR083_RS00475	KUD10_RS03515
OG0000277	DR083_RS00465	KUD10_RS03505
OG0000278	DR083_RS00460	KUD10_RS03500
OG0000279	DR083_RS00450	KUD10_RS03490
OG0000280	DR083_RS00445	KUD10_RS03485
OG0000281	DR083_RS00440	KUD10_RS03480
OG0000282	DR083_RS04595	KUD10_RS03455
OG0000283	DR083_RS00410	KUD10_RS03450
OG0000284	DR083_RS00405	KUD10_RS03445
OG0000285	DR083_RS04590	KUD10_RS03440
OG0000286	DR083_RS00325	KUD10_RS02505
OG0000287	DR083_RS01805	KUD10_RS02600
OG0000288	DR083_RS01815	KUD10_RS02610
OG0000289	DR083_RS01820	KUD10_RS02615
OG0000290	DR083_RS02205	KUD10_RS02730
OG0000291	DR083_RS01920	KUD10_RS02720
OG0000292	DR083_RS01915	KUD10_RS02715
OG0000293	DR083_RS01910	KUD10_RS02710
OG0000294	DR083_RS01900	KUD10_RS02700
OG0000295	DR083_RS01895	KUD10_RS02695
OG0000296	DR083_RS01855	KUD10_RS02650
OG0000297	DR083_RS01850	KUD10_RS02645
OG0000298	DR083_RS00045	KUD10_RS00175
OG0000299	DR083_RS00070	KUD10_RS00195
OG0000300	DR083_RS00250	KUD10_RS00370
OG0000301	DR083_RS00285	KUD10_RS00405
OG0000302	DR083_RS00290	KUD10_RS00410
OG0000303	DR083_RS02385	KUD10_RS00565
OG0000304	DR083_RS02530	KUD10_RS01070
OG0000305	DR083_RS00670	KUD10_RS02955
OG0000306	DR083_RS00595	KUD10_RS02880
OG0000307	DR083_RS00560	KUD10_RS02845
OG0000308	DR083_RS02185	KUD10_RS02750
OG0000309	DR083_RS01885	KUD10_RS02685
OG0000310	DR083_RS01810	KUD10_RS02605
OG0000311	DR083_RS00385	KUD10_RS02565
OG0000312	DR083_RS00370	KUD10_RS02550
OG0000313	DR083_RS03565	KUD10_RS01660
OG0000314	DR083_RS01560	KUD10_RS02005
OG0000315	DR083_RS01590	KUD10_RS02035
OG0000316	DR083_RS01600	KUD10_RS02045
OG0000317	DR083_RS02870	KUD10_RS02140
OG0000318	DR083_RS04715	KUD10_RS02050
OG0000319	DR083_RS02735	KUD10_RS02295
OG0000320	DR083_RS03115	KUD10_RS02425
OG0000321	DR083_RS01150	KUD10_RS01405
OG0000322	DR083_RS01105	KUD10_RS01450
OG0000323	DR083_RS00975	KUD10_RS01580
OG0000324	DR083_RS03000	KUD10_RS02335
OG0000325	DR083_RS01260	KUD10_RS00695
OG0000326	DR083_RS01355	KUD10_RS00790
OG0000327	DR083_RS01360	KUD10_RS00795
OG0000328	DR083_RS01445	KUD10_RS00880
OG0000329	DR083_RS01470	KUD10_RS00900
OG0000330	DR083_RS02020	KUD10_RS01100
OG0000331	DR083_RS00765	KUD10_RS03045
OG0000332	DR083_RS01725	KUD10_RS03180
OG0000333	DR083_RS01735	KUD10_RS03190
OG0000334	DR083_RS02835	KUD10_RS03290
OG0000335	DR083_RS02825	KUD10_RS03300
OG0000336	DR083_RS04600	KUD10_RS03470
OG0000337	DR083_RS00855	KUD10_RS03645
OG0000338	DR083_RS00895	KUD10_RS03685
OG0000339	DR083_RS03295	KUD10_RS02400
OG0000340	DR083_RS01170	KUD10_RS01385
OG0000341	DR083_RS03020	KUD10_RS02355
OG0000342	DR083_RS01290	KUD10_RS00725
OG0000343	DR083_RS01745	KUD10_RS03200
OG0000344	DR083_RS02400	KUD10_RS00580
OG0000345	DR083_RS02585	KUD10_RS01015
OG0000346	DR083_RS04950	KUD10_RS03475
OG0000347	DR083_RS01080	KUD10_RS01475
OG0000348	DR083_RS01365	KUD10_RS00800
OG0000349	DR083_RS04610	KUD10_RS03535
OG0000350	DR083_RS00550	KUD10_RS02835
OG0000351	DR083_RS03285	KUD10_RS00490
OG0000352	DR083_RS01540	KUD10_RS01985
OG0000353	DR083_RS01110	KUD10_RS01445
OG0000354	DR083_RS03170	KUD10_RS00645
OG0000355	DR083_RS04705	KUD10_RS01960
OG0000356	DR083_RS04710	KUD10_RS02040
OG0000357	DR083_RS04740	KUD10_RS03160
OG0000358	DR083_RS01710	KUD10_RS03165
OG0000359	DR083_RS04680	KUD10_RS00770
OG0000360	DR083_RS00155	KUD10_RS00275
OG0000361	DR083_RS00185	KUD10_RS00305
OG0000362	DR083_RS01830	KUD10_RS02625
OG0000363	DR083_RS04670	KUD10_RS01515
OG0000365	DR083_RS03815	KUD10_RS02085
OG0000366	DR083_RS02900	KUD10_RS02110
OG0000367	DR083_RS02890	KUD10_RS02120
OG0000368	DR083_RS05110	KUD10_RS00060
OG0000369	DR083_RS04650	KUD10_RS00025
OG0000370	DR083_RS00920	KUD10_RS00020
OG0000371	DR083_RS00915	KUD10_RS00015
OG0000372	DR083_RS00910	KUD10_RS00010
OG0000373	DR083_RS00885	KUD10_RS03675
OG0000374	DR083_RS00875	KUD10_RS03665
OG0000375	DR083_RS02740	KUD10_RS02290
OG0000376	DR083_RS03130	KUD10_RS02440
OG0000377	DR083_RS03120	KUD10_RS02430
OG0000378	DR083_RS01190	KUD10_RS01365
OG0000379	DR083_RS01115	KUD10_RS01440
OG0000380	DR083_RS01090	KUD10_RS01465
OG0000381	DR083_RS01050	KUD10_RS01505
OG0000382	DR083_RS01020	KUD10_RS01535
OG0000383	DR083_RS00980	KUD10_RS01575
OG0000384	DR083_RS02340	KUD10_RS00520
OG0000385	DR083_RS02345	KUD10_RS00525
OG0000386	DR083_RS02365	KUD10_RS00545
OG0000387	DR083_RS02390	KUD10_RS00570
OG0000388	DR083_RS04795	KUD10_RS00575
OG0000390	DR083_RS00690	KUD10_RS02975
OG0000391	DR083_RS00680	KUD10_RS02965
OG0000392	DR083_RS00655	KUD10_RS02940
OG0000393	DR083_RS04620	KUD10_RS02885
OG0000394	DR083_RS03350	KUD10_RS02815
OG0000395	DR083_RS03345	KUD10_RS02810
OG0000396	DR083_RS00330	KUD10_RS02510
OG0000397	DR083_RS01525	KUD10_RS01970
OG0000398	DR083_RS01530	KUD10_RS01975
OG0000399	DR083_RS01575	KUD10_RS02020
OG0000400	DR083_RS01665	KUD10_RS03125
OG0000401	DR083_RS01730	KUD10_RS03185
OG0000402	DR083_RS01740	KUD10_RS03195
OG0000403	DR083_RS01750	KUD10_RS03205
OG0000404	DR083_RS01780	KUD10_RS03230
OG0000406	DR083_RS02820	KUD10_RS03305
OG0000407	DR083_RS04825	KUD10_RS03310
OG0000408	DR083_RS02810	KUD10_RS03315
OG0000409	DR083_RS02805	KUD10_RS03320
OG0000410	DR083_RS03105	KUD10_RS03380
OG0000411	DR083_RS03095	KUD10_RS03370
OG0000412	DR083_RS03090	KUD10_RS03365
OG0000413	DR083_RS03435	KUD10_RS01590
OG0000414	DR083_RS03425	KUD10_RS01600
OG0000415	DR083_RS03420	KUD10_RS01605
OG0000416	DR083_RS03410	KUD10_RS01615
OG0000417	DR083_RS03015	KUD10_RS02350
OG0000418	DR083_RS03010	KUD10_RS02345
OG0000419	DR083_RS01270	KUD10_RS00705
OG0000420	DR083_RS01305	KUD10_RS00740
OG0000421	DR083_RS01340	KUD10_RS00775
OG0000422	DR083_RS01350	KUD10_RS00785
OG0000423	DR083_RS01405	KUD10_RS00840
OG0000424	DR083_RS01410	KUD10_RS00845
OG0000425	DR083_RS01420	KUD10_RS00855
OG0000426	DR083_RS04690	KUD10_RS00860
OG0000427	DR083_RS04695	KUD10_RS00885
OG0000428	DR083_RS01475	KUD10_RS00910
OG0000429	DR083_RS02595	KUD10_RS01005
OG0000430	DR083_RS02550	KUD10_RS01050
OG0000431	DR083_RS02540	KUD10_RS01060
OG0000432	DR083_RS02025	KUD10_RS01095
OG0000433	DR083_RS02010	KUD10_RS01110
OG0000434	DR083_RS02005	KUD10_RS01115
OG0000435	DR083_RS01990	KUD10_RS01130
OG0000436	DR083_RS01960	KUD10_RS01240
OG0000437	DR083_RS01950	KUD10_RS01250
OG0000438	DR083_RS01945	KUD10_RS01255
OG0000439	DR083_RS04745	KUD10_RS01260
OG0000440	DR083_RS00745	KUD10_RS03025
OG0000441	DR083_RS00785	KUD10_RS03060
OG0000442	DR083_RS00015	KUD10_RS00145
OG0000443	DR083_RS00065	KUD10_RS00190
OG0000444	DR083_RS00080	KUD10_RS00205
OG0000445	DR083_RS00105	KUD10_RS00230
OG0000446	DR083_RS00135	KUD10_RS00255
OG0000447	DR083_RS00140	KUD10_RS00260
OG0000448	DR083_RS00170	KUD10_RS00290
OG0000449	DR083_RS00195	KUD10_RS00315
OG0000450	DR083_RS00205	KUD10_RS00325
OG0000451	DR083_RS00245	KUD10_RS00365
OG0000452	DR083_RS00270	KUD10_RS00390
OG0000453	DR083_RS00305	KUD10_RS00425
OG0000454	DR083_RS05035	KUD10_RS01690
OG0000455	DR083_RS00795	KUD10_RS03580
OG0000456	DR083_RS00420	KUD10_RS03460
OG0000457	DR083_RS00395	KUD10_RS03435
OG0000458	DR083_RS01800	KUD10_RS02595
OG0000459	DR083_RS01825	KUD10_RS02620
OG0000460	DR083_RS01835	KUD10_RS02630
OG0000461	DR083_RS01880	KUD10_RS02680
OG0000462	DR083_RS01875	KUD10_RS02670
OG0000463	DR083_RS01870	KUD10_RS02665
OG0000464	DR083_RS01865	KUD10_RS02660
OG0000465	DR083_RS01860	KUD10_RS02655
OG0000466	DR083_RS00275	KUD10_RS00395
OG0000467	DR083_RS04780	KUD10_RS02760
OG0000468	DR083_RS01570	KUD10_RS02015
OG0000469	DR083_RS01630	KUD10_RS02075
OG0000470	DR083_RS03825	KUD10_RS00835
OG0000471	DR083_RS03775	KUD10_RS00915
OG0000472	DR083_RS02975	KUD10_RS03390
OG0000473	DR083_RS00525	KUD10_RS03565
OG0000474	DR083_RS00530	KUD10_RS03570
OG0000476	DR083_RS03485	KUD10_RS01625
OG0000477	DR083_RS01905	KUD10_RS02705
OG0000478	DR083_RS00470	KUD10_RS03510
OG0000479	DR083_RS01155	KUD10_RS01400
OG0000480	DR083_RS03830	KUD10_RS02080
OG0000481	DR083_RS01375	KUD10_RS00810
OG0000482	DR083_RS02485	KUD10_RS01280
OG0000483	DR083_RS02885	KUD10_RS02125
OG0000484	DR083_RS04580	KUD10_RS00200
OG0000485	DR083_RS01955	KUD10_RS01245
OG0000486	DR083_RS03035	KUD10_RS02370
OG0000487	DR083_RS04720	KUD10_RS02055
OG0000489	DR083_RS00950	KUD10_RS00050
OG0000490	DR083_RS00890	KUD10_RS03680
OG0000491	DR083_RS01135	KUD10_RS01420
OG0000492	DR083_RS01060	KUD10_RS01495
OG0000493	DR083_RS02405	KUD10_RS00585
OG0000494	DR083_RS03165	KUD10_RS00650
OG0000495	DR083_RS00625	KUD10_RS02910
OG0000496	DR083_RS00615	KUD10_RS02900
OG0000497	DR083_RS00610	KUD10_RS02895
OG0000498	DR083_RS03355	KUD10_RS02820
OG0000499	DR083_RS02150	KUD10_RS02785
OG0000500	DR083_RS01535	KUD10_RS01980
OG0000501	DR083_RS01675	KUD10_RS03135
OG0000502	DR083_RS02495	KUD10_RS01270
OG0000503	DR083_RS01320	KUD10_RS00755
OG0000504	DR083_RS01455	KUD10_RS00890
OG0000505	DR083_RS02675	KUD10_RS00925
OG0000506	DR083_RS02665	KUD10_RS00935
OG0000507	DR083_RS02630	KUD10_RS00970
OG0000508	DR083_RS00130	KUD10_RS00250
OG0000509	DR083_RS00165	KUD10_RS00285
OG0000510	DR083_RS00175	KUD10_RS00295
OG0000512	DR083_RS01840	KUD10_RS02635
OG0000513	DR083_RS00455	KUD10_RS03495
OG0000514	DR083_RS00650	KUD10_RS02935
OG0000516	DR083_RS04725	KUD10_RS02060
OG0000518	DR083_RS01720	KUD10_RS03175
OG0000519	DR083_RS01345	KUD10_RS00780
OG0000521	DR083_RS00145	KUD10_RS00265
OG0000522	DR083_RS00180	KUD10_RS00300
OG0000524	DR083_RS02180	KUD10_RS02755
OG0000525	DR083_RS04850	KUD10_RS03395
OG0000526	DR083_RS04265	KUD10_RS01895
OG0000527	DR083_RS02220	KUD10_RS01830
OG0000528	DR083_RS04730	KUD10_RS02065
OG0000529	DR083_RS02725	KUD10_RS02305
OG0000530	DR083_RS03310	KUD10_RS02410
OG0000531	DR083_RS01085	KUD10_RS01470
OG0000532	DR083_RS05100	KUD10_RS01685
OG0000533	DR083_RS03335	KUD10_RS00605
OG0000534	DR083_RS00260	KUD10_RS00380
OG0000535	DR083_RS04655	KUD10_RS00045
OG0000536	DR083_RS00825	KUD10_RS03615
OG0000537	DR083_RS01285	KUD10_RS00720
OG0000538	DR083_RS02000	KUD10_RS01120
OG0000539	DR083_RS00090	KUD10_RS00215
OG0000540	DR083_RS01925	KUD10_RS02725
OG0000541	DR083_RS02135	KUD10_RS02800
OG0000542	DR083_RS00230	KUD10_RS00350
OG0000543	DR083_RS03635	KUD10_RS01215
