Orthogroup	MHP_MHP650_genes	MHP_Ue273_genes
OG0000169	DR083_RS01655	VQY17_RS03035
OG0000170	DR083_RS01670	VQY17_RS03050
OG0000171	DR083_RS01680	VQY17_RS03060
OG0000172	DR083_RS01690	VQY17_RS03065
OG0000173	DR083_RS01695	VQY17_RS03070
OG0000174	DR083_RS01700	VQY17_RS03075
OG0000175	DR083_RS01715	VQY17_RS03090
OG0000176	DR083_RS01765	VQY17_RS03135
OG0000177	DR083_RS01770	VQY17_RS03140
OG0000178	DR083_RS01775	VQY17_RS03145
OG0000179	DR083_RS01785	VQY17_RS03155
OG0000180	DR083_RS01790	VQY17_RS03160
OG0000181	DR083_RS04830	VQY17_RS03210
OG0000182	DR083_RS02830	VQY17_RS03220
OG0000183	DR083_RS02795	VQY17_RS03255
OG0000184	DR083_RS03100	VQY17_RS03305
OG0000185	DR083_RS03085	VQY17_RS03290
OG0000186	DR083_RS04900	VQY17_RS01545
OG0000187	DR083_RS03415	VQY17_RS01560
OG0000188	DR083_RS03405	VQY17_RS01570
OG0000189	DR083_RS04865	VQY17_RS02305
OG0000190	DR083_RS03025	VQY17_RS02300
OG0000191	DR083_RS03005	VQY17_RS02280
OG0000192	DR083_RS02475	VQY17_RS01240
OG0000193	DR083_RS02490	VQY17_RS01230
OG0000194	DR083_RS01250	VQY17_RS00690
OG0000195	DR083_RS01255	VQY17_RS00695
OG0000196	DR083_RS01275	VQY17_RS00715
OG0000197	DR083_RS01280	VQY17_RS00720
OG0000198	DR083_RS01295	VQY17_RS00735
OG0000199	DR083_RS01300	VQY17_RS00740
OG0000200	DR083_RS01315	VQY17_RS00755
OG0000201	DR083_RS01325	VQY17_RS00765
OG0000202	DR083_RS04685	VQY17_RS00825
OG0000203	DR083_RS01385	VQY17_RS00830
OG0000204	DR083_RS01390	VQY17_RS00835
OG0000205	DR083_RS01395	VQY17_RS00840
OG0000206	DR083_RS01415	VQY17_RS00860
OG0000207	DR083_RS01430	VQY17_RS00875
OG0000208	DR083_RS01435	VQY17_RS00880
OG0000209	DR083_RS01440	VQY17_RS00885
OG0000210	DR083_RS02680	VQY17_RS00935
OG0000211	DR083_RS02670	VQY17_RS00970
OG0000212	DR083_RS02660	VQY17_RS00980
OG0000213	DR083_RS02655	VQY17_RS00985
OG0000214	DR083_RS02650	VQY17_RS00990
OG0000215	DR083_RS02645	VQY17_RS00995
OG0000216	DR083_RS02640	VQY17_RS01000
OG0000217	DR083_RS02635	VQY17_RS01005
OG0000218	DR083_RS02625	VQY17_RS01015
OG0000219	DR083_RS02620	VQY17_RS01020
OG0000220	DR083_RS02615	VQY17_RS01025
OG0000221	DR083_RS02610	VQY17_RS01030
OG0000222	DR083_RS02605	VQY17_RS01035
OG0000223	DR083_RS02600	VQY17_RS01040
OG0000224	DR083_RS02590	VQY17_RS01050
OG0000225	DR083_RS02580	VQY17_RS01060
OG0000226	DR083_RS02575	VQY17_RS01065
OG0000227	DR083_RS02570	VQY17_RS01070
OG0000228	DR083_RS05030	VQY17_RS01075
OG0000229	DR083_RS02560	VQY17_RS01080
OG0000230	DR083_RS02555	VQY17_RS01085
OG0000231	DR083_RS02545	VQY17_RS01095
OG0000232	DR083_RS02535	VQY17_RS01105
OG0000233	DR083_RS02035	VQY17_RS01125
OG0000234	DR083_RS01995	VQY17_RS01165
OG0000235	DR083_RS01985	VQY17_RS01175
OG0000236	DR083_RS01980	VQY17_RS01180
OG0000237	DR083_RS01975	VQY17_RS01185
OG0000238	DR083_RS01965	VQY17_RS01190
OG0000239	DR083_RS00735	VQY17_RS02930
OG0000240	DR083_RS00740	VQY17_RS02935
OG0000241	DR083_RS00750	VQY17_RS02945
OG0000242	DR083_RS00755	VQY17_RS02950
OG0000243	DR083_RS00760	VQY17_RS02955
OG0000244	DR083_RS00770	VQY17_RS02965
OG0000245	DR083_RS00780	VQY17_RS02970
OG0000246	DR083_RS00010	VQY17_RS00140
OG0000247	DR083_RS00020	VQY17_RS00150
OG0000248	DR083_RS00030	VQY17_RS00160
OG0000249	DR083_RS00035	VQY17_RS00165
OG0000250	DR083_RS00050	VQY17_RS00180
OG0000251	DR083_RS00085	VQY17_RS00210
OG0000252	DR083_RS00095	VQY17_RS00220
OG0000253	DR083_RS00100	VQY17_RS00225
OG0000254	DR083_RS00110	VQY17_RS00235
OG0000255	DR083_RS00120	VQY17_RS00245
OG0000256	DR083_RS00125	VQY17_RS00250
OG0000257	DR083_RS00150	VQY17_RS00275
OG0000258	DR083_RS00160	VQY17_RS00285
OG0000259	DR083_RS00190	VQY17_RS00315
OG0000260	DR083_RS00200	VQY17_RS00325
OG0000261	DR083_RS04585	VQY17_RS00335
OG0000262	DR083_RS00225	VQY17_RS00350
OG0000263	DR083_RS00240	VQY17_RS00365
OG0000264	DR083_RS00255	VQY17_RS00380
OG0000265	DR083_RS00265	VQY17_RS00390
OG0000266	DR083_RS00280	VQY17_RS00405
OG0000267	DR083_RS00295	VQY17_RS00420
OG0000268	DR083_RS00300	VQY17_RS00425
OG0000269	DR083_RS03225	VQY17_RS00440
OG0000270	DR083_RS04615	VQY17_RS03495
OG0000271	DR083_RS00515	VQY17_RS03490
OG0000272	DR083_RS00510	VQY17_RS03485
OG0000273	DR083_RS00505	VQY17_RS03480
OG0000274	DR083_RS00485	VQY17_RS03460
OG0000275	DR083_RS04605	VQY17_RS03455
OG0000276	DR083_RS00475	VQY17_RS03450
OG0000277	DR083_RS00465	VQY17_RS03435
OG0000278	DR083_RS00460	VQY17_RS03430
OG0000279	DR083_RS00450	VQY17_RS03420
OG0000280	DR083_RS00445	VQY17_RS03415
OG0000281	DR083_RS00440	VQY17_RS03410
OG0000282	DR083_RS04595	VQY17_RS03380
OG0000283	DR083_RS00410	VQY17_RS03375
OG0000284	DR083_RS00405	VQY17_RS03370
OG0000285	DR083_RS04590	VQY17_RS03365
OG0000286	DR083_RS00325	VQY17_RS02420
OG0000287	DR083_RS01805	VQY17_RS02510
OG0000288	DR083_RS01815	VQY17_RS02520
OG0000289	DR083_RS01820	VQY17_RS02525
OG0000290	DR083_RS02205	VQY17_RS02635
OG0000291	DR083_RS01920	VQY17_RS02625
OG0000292	DR083_RS01915	VQY17_RS02620
OG0000293	DR083_RS01910	VQY17_RS02615
OG0000294	DR083_RS01900	VQY17_RS02605
OG0000295	DR083_RS01895	VQY17_RS02600
OG0000296	DR083_RS01855	VQY17_RS02560
OG0000297	DR083_RS01850	VQY17_RS02555
OG0000298	DR083_RS00045	VQY17_RS00175
OG0000299	DR083_RS00070	VQY17_RS00195
OG0000300	DR083_RS00250	VQY17_RS00375
OG0000301	DR083_RS00285	VQY17_RS00410
OG0000302	DR083_RS00290	VQY17_RS00415
OG0000303	DR083_RS02385	VQY17_RS00560
OG0000304	DR083_RS02530	VQY17_RS01110
OG0000305	DR083_RS00670	VQY17_RS02860
OG0000306	DR083_RS00595	VQY17_RS02785
OG0000307	DR083_RS00560	VQY17_RS02745
OG0000308	DR083_RS02185	VQY17_RS02655
OG0000309	DR083_RS01885	VQY17_RS02590
OG0000310	DR083_RS01810	VQY17_RS02515
OG0000311	DR083_RS00385	VQY17_RS02480
OG0000312	DR083_RS00370	VQY17_RS02465
OG0000313	DR083_RS03565	VQY17_RS01630
OG0000314	DR083_RS01560	VQY17_RS02030
OG0000315	DR083_RS01590	VQY17_RS02060
OG0000316	DR083_RS01600	VQY17_RS02070
OG0000317	DR083_RS02870	VQY17_RS02170
OG0000318	DR083_RS04715	VQY17_RS02075
OG0000319	DR083_RS02735	VQY17_RS02235
OG0000320	DR083_RS03115	VQY17_RS02365
OG0000321	DR083_RS01150	VQY17_RS01350
OG0000322	DR083_RS01105	VQY17_RS01400
OG0000323	DR083_RS00975	VQY17_RS01530
OG0000324	DR083_RS03000	VQY17_RS02275
OG0000325	DR083_RS01260	VQY17_RS00700
OG0000326	DR083_RS01355	VQY17_RS00800
OG0000327	DR083_RS01360	VQY17_RS00805
OG0000328	DR083_RS01445	VQY17_RS00890
OG0000329	DR083_RS01470	VQY17_RS00915
OG0000330	DR083_RS02020	VQY17_RS01135
OG0000331	DR083_RS00765	VQY17_RS02960
OG0000332	DR083_RS01725	VQY17_RS03100
OG0000333	DR083_RS01735	VQY17_RS03110
OG0000334	DR083_RS02835	VQY17_RS03215
OG0000335	DR083_RS02825	VQY17_RS03225
OG0000336	DR083_RS04600	VQY17_RS03400
OG0000337	DR083_RS00855	VQY17_RS03575
OG0000338	DR083_RS00895	VQY17_RS03615
OG0000339	DR083_RS03295	VQY17_RS02340
OG0000340	DR083_RS01170	VQY17_RS01330
OG0000341	DR083_RS03020	VQY17_RS02295
OG0000342	DR083_RS01290	VQY17_RS00730
OG0000343	DR083_RS01745	VQY17_RS03120
OG0000344	DR083_RS02400	VQY17_RS00575
OG0000345	DR083_RS02585	VQY17_RS01055
OG0000346	DR083_RS04950	VQY17_RS03405
OG0000347	DR083_RS01080	VQY17_RS01425
OG0000348	DR083_RS01365	VQY17_RS00810
OG0000349	DR083_RS04610	VQY17_RS03470
OG0000350	DR083_RS00550	VQY17_RS02735
OG0000351	DR083_RS03285	VQY17_RS00495
OG0000352	DR083_RS01540	VQY17_RS02010
OG0000353	DR083_RS01110	VQY17_RS01390
OG0000354	DR083_RS03170	VQY17_RS00635
OG0000355	DR083_RS04705	VQY17_RS01985
OG0000356	DR083_RS04710	VQY17_RS02065
OG0000357	DR083_RS04740	VQY17_RS03080
OG0000358	DR083_RS01710	VQY17_RS03085
OG0000359	DR083_RS04680	VQY17_RS00780
OG0000360	DR083_RS00155	VQY17_RS00280
OG0000361	DR083_RS00185	VQY17_RS00310
OG0000362	DR083_RS01830	VQY17_RS02535
OG0000363	DR083_RS04670	VQY17_RS01465
OG0000364	DR083_RS03850	VQY17_RS01955
OG0000365	DR083_RS03815	VQY17_RS02110
OG0000366	DR083_RS02900	VQY17_RS02140
OG0000367	DR083_RS02890	VQY17_RS02150
OG0000368	DR083_RS05110	VQY17_RS00060
OG0000369	DR083_RS04650	VQY17_RS00025
OG0000370	DR083_RS00920	VQY17_RS00020
OG0000371	DR083_RS00915	VQY17_RS00015
OG0000372	DR083_RS00910	VQY17_RS00010
OG0000373	DR083_RS00885	VQY17_RS03605
OG0000374	DR083_RS00875	VQY17_RS03595
OG0000375	DR083_RS02740	VQY17_RS02230
OG0000376	DR083_RS03130	VQY17_RS02380
OG0000377	DR083_RS03120	VQY17_RS02370
OG0000378	DR083_RS01190	VQY17_RS01310
OG0000379	DR083_RS01115	VQY17_RS01385
OG0000380	DR083_RS01090	VQY17_RS01415
OG0000382	DR083_RS01020	VQY17_RS01485
OG0000383	DR083_RS00980	VQY17_RS01525
OG0000384	DR083_RS02340	VQY17_RS00515
OG0000385	DR083_RS02345	VQY17_RS00520
OG0000386	DR083_RS02365	VQY17_RS00540
OG0000387	DR083_RS02390	VQY17_RS00565
OG0000388	DR083_RS04795	VQY17_RS00570
OG0000390	DR083_RS00690	VQY17_RS02880
OG0000391	DR083_RS00680	VQY17_RS02870
OG0000392	DR083_RS00655	VQY17_RS02845
OG0000393	DR083_RS04620	VQY17_RS02790
OG0000394	DR083_RS03350	VQY17_RS02715
OG0000395	DR083_RS03345	VQY17_RS02710
OG0000396	DR083_RS00330	VQY17_RS02425
OG0000397	DR083_RS01525	VQY17_RS01995
OG0000398	DR083_RS01530	VQY17_RS02000
OG0000399	DR083_RS01575	VQY17_RS02045
OG0000400	DR083_RS01665	VQY17_RS03045
OG0000401	DR083_RS01730	VQY17_RS03105
OG0000402	DR083_RS01740	VQY17_RS03115
OG0000403	DR083_RS01750	VQY17_RS03125
OG0000404	DR083_RS01780	VQY17_RS03150
OG0000406	DR083_RS02820	VQY17_RS03230
OG0000407	DR083_RS04825	VQY17_RS03235
OG0000408	DR083_RS02810	VQY17_RS03240
OG0000409	DR083_RS02805	VQY17_RS03245
OG0000410	DR083_RS03105	VQY17_RS03310
OG0000411	DR083_RS03095	VQY17_RS03300
OG0000412	DR083_RS03090	VQY17_RS03295
OG0000413	DR083_RS03435	VQY17_RS01540
OG0000414	DR083_RS03425	VQY17_RS01550
OG0000415	DR083_RS03420	VQY17_RS01555
OG0000416	DR083_RS03410	VQY17_RS01565
OG0000417	DR083_RS03015	VQY17_RS02290
OG0000418	DR083_RS03010	VQY17_RS02285
OG0000419	DR083_RS01270	VQY17_RS00710
OG0000420	DR083_RS01305	VQY17_RS00745
OG0000421	DR083_RS01340	VQY17_RS00785
OG0000422	DR083_RS01350	VQY17_RS00795
OG0000423	DR083_RS01405	VQY17_RS00850
OG0000424	DR083_RS01410	VQY17_RS00855
OG0000425	DR083_RS01420	VQY17_RS00865
OG0000426	DR083_RS04690	VQY17_RS00870
OG0000427	DR083_RS04695	VQY17_RS00900
OG0000428	DR083_RS01475	VQY17_RS00925
OG0000429	DR083_RS02595	VQY17_RS01045
OG0000430	DR083_RS02550	VQY17_RS01090
OG0000431	DR083_RS02540	VQY17_RS01100
OG0000432	DR083_RS02025	VQY17_RS01130
OG0000433	DR083_RS02010	VQY17_RS01145
OG0000434	DR083_RS02005	VQY17_RS01150
OG0000435	DR083_RS01990	VQY17_RS01170
OG0000436	DR083_RS01960	VQY17_RS01195
OG0000438	DR083_RS01945	VQY17_RS01210
OG0000439	DR083_RS04745	VQY17_RS01215
OG0000440	DR083_RS00745	VQY17_RS02940
OG0000441	DR083_RS00785	VQY17_RS02975
OG0000442	DR083_RS00015	VQY17_RS00145
OG0000443	DR083_RS00065	VQY17_RS00190
OG0000444	DR083_RS00080	VQY17_RS00205
OG0000445	DR083_RS00105	VQY17_RS00230
OG0000446	DR083_RS00135	VQY17_RS00260
OG0000447	DR083_RS00140	VQY17_RS00265
OG0000448	DR083_RS00170	VQY17_RS00295
OG0000449	DR083_RS00195	VQY17_RS00320
OG0000450	DR083_RS00205	VQY17_RS00330
OG0000451	DR083_RS00245	VQY17_RS00370
OG0000452	DR083_RS00270	VQY17_RS00395
OG0000453	DR083_RS00305	VQY17_RS00430
OG0000455	DR083_RS00795	VQY17_RS03515
OG0000456	DR083_RS00420	VQY17_RS03390
OG0000458	DR083_RS01800	VQY17_RS02505
OG0000459	DR083_RS01825	VQY17_RS02530
OG0000460	DR083_RS01835	VQY17_RS02540
OG0000461	DR083_RS01880	VQY17_RS02585
OG0000462	DR083_RS01875	VQY17_RS02580
OG0000463	DR083_RS01870	VQY17_RS02575
OG0000464	DR083_RS01865	VQY17_RS02570
OG0000465	DR083_RS01860	VQY17_RS02565
OG0000466	DR083_RS00275	VQY17_RS00400
OG0000467	DR083_RS04780	VQY17_RS02665
OG0000468	DR083_RS01570	VQY17_RS02040
OG0000469	DR083_RS01630	VQY17_RS02100
OG0000470	DR083_RS03825	VQY17_RS00845
OG0000471	DR083_RS03775	VQY17_RS00930
OG0000472	DR083_RS02975	VQY17_RS03320
OG0000473	DR083_RS00525	VQY17_RS03500
OG0000474	DR083_RS00530	VQY17_RS03505
OG0000476	DR083_RS03485	VQY17_RS01575
OG0000477	DR083_RS01905	VQY17_RS02610
OG0000478	DR083_RS00470	VQY17_RS03445
OG0000479	DR083_RS01155	VQY17_RS01345
OG0000480	DR083_RS03830	VQY17_RS02105
OG0000481	DR083_RS01375	VQY17_RS00820
OG0000482	DR083_RS02485	VQY17_RS01235
OG0000483	DR083_RS02885	VQY17_RS02155
OG0000484	DR083_RS04580	VQY17_RS00200
OG0000485	DR083_RS01955	VQY17_RS01205
OG0000486	DR083_RS03035	VQY17_RS02310
OG0000487	DR083_RS04720	VQY17_RS02080
OG0000489	DR083_RS00950	VQY17_RS00050
OG0000490	DR083_RS00890	VQY17_RS03610
OG0000491	DR083_RS01135	VQY17_RS01365
OG0000492	DR083_RS01060	VQY17_RS01445
OG0000493	DR083_RS02405	VQY17_RS00580
OG0000494	DR083_RS03165	VQY17_RS00640
OG0000495	DR083_RS00625	VQY17_RS02815
OG0000496	DR083_RS00615	VQY17_RS02805
OG0000497	DR083_RS00610	VQY17_RS02800
OG0000498	DR083_RS03355	VQY17_RS02720
OG0000499	DR083_RS02150	VQY17_RS02685
OG0000500	DR083_RS01535	VQY17_RS02005
OG0000501	DR083_RS01675	VQY17_RS03055
OG0000502	DR083_RS02495	VQY17_RS01225
OG0000503	DR083_RS01320	VQY17_RS00760
OG0000504	DR083_RS01455	VQY17_RS00905
OG0000505	DR083_RS02675	VQY17_RS00965
OG0000506	DR083_RS02665	VQY17_RS00975
OG0000507	DR083_RS02630	VQY17_RS01010
OG0000508	DR083_RS00130	VQY17_RS00255
OG0000509	DR083_RS00165	VQY17_RS00290
OG0000510	DR083_RS00175	VQY17_RS00305
OG0000512	DR083_RS01840	VQY17_RS02545
OG0000513	DR083_RS00455	VQY17_RS03425
OG0000514	DR083_RS00650	VQY17_RS02840
OG0000515	DR083_RS03495	VQY17_RS01590
OG0000516	DR083_RS04725	VQY17_RS02085
OG0000518	DR083_RS01720	VQY17_RS03095
OG0000519	DR083_RS01345	VQY17_RS00790
OG0000521	DR083_RS00145	VQY17_RS00270
OG0000524	DR083_RS02180	VQY17_RS02660
OG0000525	DR083_RS04850	VQY17_RS03325
OG0000526	DR083_RS04265	VQY17_RS01905
OG0000527	DR083_RS02220	VQY17_RS01825
OG0000528	DR083_RS04730	VQY17_RS02090
OG0000529	DR083_RS02725	VQY17_RS02245
OG0000530	DR083_RS03310	VQY17_RS02350
OG0000531	DR083_RS01085	VQY17_RS01420
OG0000532	DR083_RS05100	VQY17_RS01660
OG0000533	DR083_RS03335	VQY17_RS00600
OG0000534	DR083_RS00260	VQY17_RS00385
OG0000535	DR083_RS04655	VQY17_RS00045
OG0000536	DR083_RS00825	VQY17_RS03545
OG0000537	DR083_RS01285	VQY17_RS00725
OG0000538	DR083_RS02000	VQY17_RS01160
OG0000539	DR083_RS00090	VQY17_RS00215
OG0000540	DR083_RS01925	VQY17_RS02630
OG0000541	DR083_RS02135	VQY17_RS02700
OG0000542	DR083_RS00230	VQY17_RS00355
OG0000543	DR083_RS02950, DR083_RS03635	VQY17_RS01600
OG0000544	DR083_RS04805	VQY17_RS01275
OG0000545	DR083_RS04260, DR083_RS04250	VQY17_RS01895
OG0000546	DR083_RS00580	VQY17_RS02765
OG0000547	DR083_RS05065	VQY17_RS02895
OG0000548	DR083_RS03570	VQY17_RS01625
OG0000549	DR083_RS04845	VQY17_RS03315
OG0000550	DR083_RS00490	VQY17_RS03465
OG0000552	DR083_RS01755	VQY17_RS03130
OG0000553	DR083_RS04775	VQY17_RS02675
OG0000554	DR083_RS03145	VQY17_RS02395
OG0000557	DR083_RS02430	VQY17_RS01285
OG0000558	DR083_RS02460	VQY17_RS01255
