#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_VBRV01000001.1:8039-9835|+   -            599 501at2085            -            526  5.4e-249  822.6   9.1   1   1  8.8e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 NZ_VBRV01000001.1_9 # 8039 # 9835 # 1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_VBRV01000006.1:9185-10393|-  -            403 501at2085            -            526   2.2e-18   61.7   2.9   1   2   4.4e-20   5.6e-18   60.3   0.2     8   140    20   155    14   168 0.88 NZ_VBRV01000006.1_4 # 9185 # 10393 # -1 # ID=6_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
NZ_VBRV01000006.1:9185-10393|-  -            403 501at2085            -            526   2.2e-18   61.7   2.9   2   2     0.028       3.5    1.6   0.2   161   256   205   309   194   325 0.67 NZ_VBRV01000006.1_4 # 9185 # 10393 # -1 # ID=6_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.401
NZ_VBRV01000001.1:6180-7481|+   -            434 501at2085            -            526   1.5e-13   45.7   0.6   1   2   4.4e-06   0.00055   14.2   0.1    62   180    45   170    35   173 0.76 NZ_VBRV01000001.1_6 # 6180 # 7481 # 1 # ID=1_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_VBRV01000001.1:6180-7481|+   -            434 501at2085            -            526   1.5e-13   45.7   0.6   2   2   7.8e-11   9.9e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_VBRV01000001.1_6 # 6180 # 7481 # 1 # ID=1_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/UFV02/Use
# Date:            Thu Nov 28 19:32:45 2024
# [ok]
