	MFC_ATCC27716_proteins	MFC_MF11_proteins	MFC_MF18_proteins	MFC_MF22_proteins	MFC_MF29_proteins	MFC_MF30_proteins	MFC_MF33_proteins	MFC_Ms42_proteins	MHP_111A_proteins	MHP_112B_proteins	MHP_116_proteins	MHP_11_proteins	MHP_1257_proteins	MHP_131B_proteins	MHP_133A_proteins	MHP_153B_proteins	MHP_154B_proteins	MHP_168L_proteins	MHP_168_proteins	MHP_232_proteins	MHP_4284_proteins	MHP_7422_proteins	MHP_7448_proteins	MHP_98_proteins	MHP_ES2L_proteins	MHP_ES2_proteins	MHP_F72C_proteins	MHP_J_proteins	MHP_KM014_proteins	MHP_LH_proteins	MHP_MHP650_proteins	MHP_MHP653_proteins	MHP_MHP679_proteins	MHP_MHP682_proteins	MHP_MHP691_proteins	MHP_MHP694_proteins	MHP_MHP696_proteins	MHP_MHP699_proteins	MHP_MHP709_proteins	MHP_NCTC10127_proteins	MHP_TB1_proteins	MHP_UFV01_proteins	MHP_UFV02_proteins	MHP_Ue273_proteins
MHP_133A_proteins	22.0	17.0	17.0	17.0	11.0	28.0	26.0	22.0	8.0	10.0	25.0	14.0	26.0	2.0	0.0	10.0	10.0	10.0	8.0	18.0	15.0	12.0	13.0	22.0	15.0	8.0	22.0	14.0	16.0	12.0	12.0	10.0	15.0	19.0	10.0	20.0	31.0	15.0	33.0	14.0	10.0	6.0	6.0	6.0
MHP_153B_proteins	19.0	14.0	12.0	10.0	12.0	25.0	22.0	19.0	6.0	10.0	10.0	7.0	18.0	6.0	6.0	0.0	4.0	12.0	10.0	9.0	10.0	12.0	10.0	12.0	14.0	14.0	12.0	12.0	7.0	12.0	12.0	13.0	15.0	11.0	14.0	12.0	22.0	22.0	26.0	12.0	12.0	12.0	12.0	4.0
MHP_154B_proteins	19.0	13.0	11.0	9.0	11.0	25.0	20.0	19.0	6.0	12.0	12.0	7.0	19.0	6.0	6.0	2.0	0.0	12.0	10.0	11.0	10.0	10.0	12.0	14.0	14.0	16.0	15.0	12.0	3.0	12.0	12.0	13.0	16.0	13.0	12.0	14.0	22.0	22.0	24.0	12.0	14.0	12.0	10.0	4.0
MHP_168L_proteins	25.0	28.0	26.0	25.0	17.0	27.0	29.0	27.0	10.0	10.0	12.0	9.0	16.0	8.0	8.0	12.0	12.0	0.0	0.0	11.0	11.0	9.0	9.0	18.0	14.0	17.0	17.0	13.0	18.0	15.0	10.0	11.0	18.0	16.0	10.0	16.0	35.0	16.0	35.0	12.0	9.0	7.0	7.0	18.0
MHP_168_proteins	27.0	29.0	27.0	27.0	19.0	31.0	29.0	29.0	12.0	12.0	14.0	9.0	9.0	10.0	10.0	14.0	14.0	2.0	0.0	11.0	9.0	10.0	8.0	14.0	10.0	11.0	16.0	13.0	14.0	13.0	10.0	10.0	14.0	17.0	8.0	18.0	34.0	13.0	36.0	11.0	11.0	5.0	5.0	16.0
MHP_232_proteins	21.0	22.0	22.0	20.0	14.0	28.0	23.0	21.0	6.0	8.0	15.0	0.0	15.0	6.0	6.0	10.0	10.0	18.0	16.0	0.0	8.0	10.0	8.0	14.0	10.0	2.0	10.0	8.0	12.0	8.0	14.0	8.0	13.0	10.0	10.0	8.0	21.0	4.0	24.0	0.0	12.0	6.0	6.0	4.0
MHP_4284_proteins	12.0	10.0	10.0	8.0	8.0	23.0	18.0	14.0	2.0	2.0	6.0	2.0	11.0	2.0	2.0	2.0	2.0	8.0	4.0	4.0	0.0	2.0	7.0	8.0	4.0	0.0	2.0	6.0	8.0	2.0	8.0	7.0	14.0	4.0	8.0	9.0	4.0	5.0	10.0	4.0	4.0	2.0	2.0	0.0
MHP_7422_proteins	17.0	20.0	18.0	18.0	13.0	19.0	17.0	19.0	0.0	0.0	12.0	6.0	9.0	4.0	4.0	7.0	7.0	14.0	12.0	6.0	6.0	0.0	6.0	11.0	4.0	6.0	6.0	6.0	6.0	6.0	12.0	11.0	12.0	13.0	12.0	7.0	20.0	12.0	21.0	6.0	12.0	6.0	6.0	4.0
MHP_7448_proteins	19.0	19.0	19.0	14.0	14.0	24.0	21.0	19.0	2.0	2.0	10.0	8.0	20.0	2.0	2.0	10.0	10.0	11.0	9.0	11.0	4.0	4.0	0.0	14.0	7.0	7.0	6.0	10.0	9.0	5.0	8.0	6.0	20.0	14.0	13.0	4.0	14.0	9.0	23.0	13.0	9.0	9.0	9.0	3.0
MHP_98_proteins	25.0	21.0	21.0	21.0	14.0	23.0	24.0	25.0	6.0	4.0	17.0	10.0	21.0	8.0	8.0	12.0	14.0	2.0	2.0	8.0	15.0	12.0	10.0	0.0	10.0	10.0	10.0	4.0	12.0	6.0	8.0	11.0	10.0	15.0	8.0	6.0	20.0	12.0	22.0	10.0	2.0	6.0	4.0	8.0
MHP_ES2L_proteins	15.0	18.0	16.0	18.0	12.0	21.0	20.0	17.0	2.0	0.0	14.0	6.0	17.0	6.0	6.0	9.0	9.0	11.0	9.0	6.0	8.0	11.0	11.0	9.0	0.0	8.0	4.0	8.0	9.0	8.0	9.0	11.0	13.0	16.0	11.0	5.0	18.0	15.0	21.0	6.0	7.0	6.0	6.0	4.0
MHP_ES2_proteins	24.0	28.0	26.0	24.0	21.0	31.0	28.0	26.0	20.0	22.0	21.0	15.0	25.0	20.0	22.0	26.0	26.0	19.0	17.0	18.0	16.0	18.0	20.0	29.0	22.0	0.0	14.0	14.0	23.0	20.0	17.0	12.0	21.0	25.0	25.0	20.0	29.0	17.0	34.0	13.0	19.0	15.0	15.0	8.0
MHP_F72C_proteins	16.0	10.0	10.0	10.0	8.0	23.0	18.0	14.0	6.0	6.0	6.0	6.0	28.0	4.0	4.0	2.0	2.0	9.0	11.0	8.0	6.0	8.0	19.0	13.0	12.0	9.0	0.0	8.0	7.0	2.0	8.0	8.0	12.0	17.0	12.0	11.0	10.0	16.0	16.0	8.0	9.0	8.0	8.0	7.0
MHP_J_proteins	19.0	20.0	16.0	16.0	14.0	27.0	25.0	21.0	13.0	13.0	8.0	15.0	26.0	4.0	4.0	12.0	10.0	4.0	4.0	17.0	6.0	8.0	12.0	8.0	8.0	12.0	8.0	0.0	14.0	10.0	4.0	4.0	11.0	13.0	6.0	4.0	18.0	8.0	27.0	13.0	6.0	11.0	11.0	12.0
MHP_KM014_proteins	17.0	17.0	13.0	13.0	14.0	21.0	17.0	19.0	21.0	21.0	11.0	10.0	19.0	15.0	15.0	20.0	20.0	6.0	6.0	15.0	11.0	12.0	17.0	18.0	12.0	20.0	10.0	11.0	0.0	15.0	18.0	16.0	23.0	22.0	19.0	11.0	23.0	26.0	24.0	15.0	10.0	10.0	10.0	7.0
MHP_LH_proteins	25.0	22.0	23.0	19.0	13.0	33.0	23.0	21.0	4.0	9.0	12.0	2.0	18.0	4.0	6.0	8.0	8.0	8.0	6.0	7.0	8.0	8.0	10.0	10.0	2.0	13.0	8.0	11.0	3.0	0.0	8.0	12.0	14.0	12.0	10.0	8.0	17.0	10.0	20.0	5.0	8.0	0.0	0.0	6.0
MHP_MHP650_proteins	22.0	16.0	16.0	18.0	14.0	24.0	19.0	22.0	9.0	11.0	18.0	4.0	13.0	16.0	18.0	13.0	13.0	6.0	6.0	6.0	10.0	17.0	13.0	15.0	15.0	8.0	15.0	12.0	17.0	10.0	0.0	8.0	10.0	11.0	4.0	9.0	19.0	14.0	17.0	4.0	11.0	6.0	6.0	6.0
MHP_MHP653_proteins	16.0	11.0	11.0	11.0	8.0	17.0	12.0	16.0	0.0	2.0	9.0	4.0	11.0	0.0	0.0	7.0	7.0	6.0	4.0	6.0	7.0	4.0	8.0	10.0	4.0	4.0	4.0	4.0	8.0	2.0	8.0	0.0	12.0	10.0	10.0	10.0	10.0	12.0	10.0	4.0	6.0	4.0	4.0	6.0
MHP_MHP679_proteins	10.0	10.0	10.0	10.0	8.0	10.0	13.0	10.0	11.0	13.0	12.0	8.0	17.0	15.0	15.0	15.0	15.0	8.0	8.0	8.0	14.0	11.0	14.0	11.0	6.0	9.0	10.0	8.0	11.0	8.0	12.0	9.0	0.0	12.0	4.0	6.0	19.0	8.0	18.0	6.0	4.0	3.0	3.0	13.0
MHP_MHP682_proteins	17.0	16.0	16.0	16.0	10.0	17.0	17.0	17.0	4.0	6.0	6.0	4.0	8.0	2.0	4.0	15.0	15.0	10.0	8.0	4.0	8.0	8.0	9.0	8.0	4.0	4.0	12.0	2.0	8.0	4.0	10.0	4.0	4.0	0.0	10.0	6.0	20.0	6.0	22.0	6.0	6.0	4.0	4.0	4.0
MHP_MHP691_proteins	17.0	16.0	14.0	18.0	12.0	19.0	18.0	19.0	6.0	6.0	15.0	2.0	13.0	6.0	6.0	12.0	12.0	2.0	2.0	4.0	8.0	6.0	10.0	10.0	7.0	6.0	11.0	6.0	10.0	10.0	4.0	7.0	4.0	8.0	0.0	8.0	21.0	4.0	18.0	2.0	4.0	4.0	4.0	8.0
MHP_MHP694_proteins	19.0	18.0	12.0	14.0	10.0	21.0	18.0	19.0	12.0	14.0	21.0	4.0	12.0	12.0	10.0	17.0	17.0	4.0	4.0	8.0	13.0	20.0	14.0	12.0	14.0	8.0	14.0	6.0	16.0	6.0	12.0	12.0	6.0	8.0	10.0	0.0	18.0	14.0	18.0	6.0	2.0	10.0	10.0	6.0
MHP_MHP696_proteins	18.0	14.0	14.0	14.0	12.0	23.0	18.0	18.0	0.0	0.0	12.0	6.0	7.0	2.0	2.0	7.0	9.0	7.0	5.0	6.0	3.0	4.0	7.0	9.0	2.0	0.0	6.0	2.0	6.0	2.0	5.0	3.0	7.0	3.0	7.0	5.0	0.0	6.0	0.0	6.0	5.0	0.0	0.0	8.0
MHP_MHP699_proteins	20.0	22.0	20.0	20.0	18.0	26.0	21.0	20.0	8.0	10.0	18.0	4.0	16.0	10.0	10.0	18.0	16.0	8.0	6.0	6.0	10.0	8.0	10.0	16.0	12.0	6.0	18.0	6.0	12.0	4.0	10.0	6.0	14.0	11.0	10.0	8.0	18.0	0.0	25.0	6.0	6.0	4.0	4.0	12.0
MHP_MHP709_proteins	18.0	14.0	14.0	14.0	12.0	23.0	19.0	18.0	0.0	0.0	11.0	6.0	9.0	2.0	2.0	9.0	7.0	7.0	5.0	6.0	2.0	4.0	7.0	7.0	2.0	0.0	4.0	2.0	6.0	2.0	5.0	3.0	7.0	3.0	7.0	5.0	0.0	6.0	0.0	6.0	5.0	0.0	0.0	10.0
MHP_NCTC10127_proteins	37.0	40.0	40.0	35.0	32.0	41.0	40.0	37.0	31.0	39.0	32.0	26.0	29.0	32.0	32.0	40.0	40.0	44.0	37.0	26.0	23.0	22.0	28.0	40.0	32.0	17.0	22.0	22.0	26.0	43.0	33.0	20.0	33.0	31.0	34.0	17.0	42.0	29.0	41.0	0.0	36.0	17.0	17.0	22.0
MHP_TB1_proteins	27.0	32.0	28.0	27.0	21.0	27.0	28.0	29.0	14.0	14.0	20.0	12.0	8.0	10.0	10.0	17.0	15.0	4.0	4.0	14.0	10.0	8.0	10.0	18.0	17.0	16.0	16.0	18.0	15.0	17.0	12.0	11.0	9.0	15.0	10.0	12.0	35.0	14.0	36.0	15.0	0.0	6.0	6.0	18.0
MHP_UFV01_proteins	24.0	19.0	17.0	17.0	17.0	24.0	24.0	22.0	8.0	11.0	15.0	8.0	12.0	6.0	6.0	11.0	11.0	17.0	15.0	10.0	8.0	11.0	6.0	17.0	13.0	10.0	11.0	13.0	9.0	8.0	15.0	8.0	12.0	16.0	13.0	12.0	20.0	8.0	24.0	8.0	12.0	0.0	2.0	8.0
MHP_UFV02_proteins	24.0	19.0	17.0	17.0	17.0	24.0	24.0	22.0	12.0	17.0	21.0	10.0	13.0	10.0	10.0	15.0	13.0	17.0	15.0	14.0	10.0	15.0	12.0	19.0	17.0	14.0	13.0	15.0	10.0	10.0	15.0	12.0	14.0	19.0	15.0	18.0	24.0	10.0	27.0	10.0	14.0	4.0	0.0	12.0
MHP_Ue273_proteins	18.0	18.0	18.0	16.0	12.0	23.0	22.0	22.0	6.0	6.0	13.0	15.0	16.0	8.0	8.0	12.0	12.0	14.0	10.0	17.0	6.0	6.0	13.0	10.0	10.0	8.0	11.0	15.0	10.0	8.0	10.0	11.0	23.0	10.0	14.0	11.0	13.0	15.0	26.0	15.0	10.0	8.0	10.0	0.0
