Orthogroup	MHP_NCTC10127_proteins	MHP_ES2L_proteins
OG0000035	WP_011206447.1	WP_179221229.1
OG0000036	WP_011205863.1	WP_240536627.1
OG0000036	WP_011205866.1	WP_240536628.1, WP_240536629.1
OG0000037	WP_044284786.1	WP_240536665.1
OG0000038	WP_011206130.1, WP_011206171.1	WP_179221109.1
OG0000039	WP_232039515.1, WP_011206145.1	WP_179221095.1
OG0000040	WP_011206462.1	WP_179221240.1
OG0000042	WP_044284805.1	WP_179221198.1
OG0000043	WP_011206195.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_011206147.1	WP_240536645.1
OG0000046	WP_011206464.1	WP_179221242.1
OG0000047	WP_197724688.1, WP_232039593.1	WP_240536618.1
OG0000048	WP_011206232.1	WP_011284150.1
OG0000049	WP_011206418.1	WP_179221202.1
OG0000050	WP_232039629.1, WP_232039637.1, WP_232039635.1, WP_232039631.1, WP_232039639.1, WP_011206286.1	WP_179221157.1
OG0000051	WP_011206324.1	WP_179221174.1
OG0000052	WP_011205854.1	WP_179220981.1
OG0000053	WP_011205946.1	WP_179221080.1
OG0000054	WP_276315192.1	WP_011206291.1
OG0000055	WP_011205867.1	WP_135618462.1
OG0000056	WP_011206513.1	WP_179221272.1
OG0000057	WP_232039550.1	WP_240536610.1
OG0000058	WP_011206355.1	WP_240536615.1
OG0000059	WP_129640553.1	WP_179221206.1
OG0000059	WP_129640608.1	WP_240536616.1
OG0000060	WP_011205855.1, WP_232039581.1	WP_220191083.1
OG0000061	WP_011206139.1	WP_135618818.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_011206521.1	WP_179221276.1
OG0000064	WP_011206518.1	WP_179221275.1
OG0000065	WP_232039533.1	WP_179221139.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_129640624.1	WP_179221011.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_129640641.1, WP_011206292.1	WP_011206292.1
OG0000071	WP_011206460.1	WP_179221239.1
OG0000072	WP_232039553.1	WP_240536620.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_011206057.1	WP_179221041.1
OG0000075	WP_011205908.1	WP_179221001.1
OG0000076	WP_044284772.1	WP_179221002.1
OG0000077	WP_011206132.1	WP_179221006.1
OG0000078	WP_011206157.1	WP_179221103.1
OG0000079	WP_011206305.1	WP_146379663.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_044284770.1	WP_240536634.1
OG0000082	WP_232039541.1	WP_240536601.1
OG0000083	WP_011206216.1	WP_179221128.1
OG0000084	WP_011206222.1	WP_011206222.1
OG0000085	WP_011206223.1	WP_179221131.1
OG0000086	WP_011206225.1	WP_179221132.1
OG0000087	WP_011206228.1	WP_044272477.1
OG0000088	WP_011206229.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011205853.1	WP_011283835.1
OG0000091	WP_011205850.1	WP_179220979.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_179220977.1
OG0000094	WP_044284766.1	WP_014579519.1
OG0000095	WP_011205840.1	WP_179220973.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_011206525.1	WP_179221279.1
OG0000098	WP_011206523.1	WP_179221277.1
OG0000099	WP_011206514.1	WP_179221273.1
OG0000100	WP_011206511.1	WP_179221270.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_011206162.1	WP_240536650.1
OG0000103	WP_011206238.1	WP_160585202.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011206242.1	WP_011206242.1
OG0000106	WP_044284796.1	WP_160585203.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_044284797.1	WP_014579826.1
OG0000110	WP_011206275.1	WP_179221149.1
OG0000111	WP_044284798.1	WP_240536600.1
OG0000112	WP_232039539.1	WP_240536599.1
OG0000113	WP_011206268.1	WP_011206268.1
OG0000114	WP_011206266.1	WP_240536596.1
OG0000115	WP_011206264.1	WP_179221143.1
OG0000116	WP_011205976.1	WP_179221066.1
OG0000117	WP_044284776.1	WP_179221067.1
OG0000118	WP_044284775.1	WP_179221071.1
OG0000119	WP_011205967.1	WP_179221072.1
OG0000120	WP_011205964.1	WP_011284027.1
OG0000121	WP_011205959.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011290120.1
OG0000127	WP_011205948.1	WP_011205948.1
OG0000128	WP_011205945.1	WP_179221081.1
OG0000129	WP_011205944.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_044284819.1	WP_179221083.1
OG0000132	WP_011205939.1	WP_179221086.1
OG0000133	WP_011206123.1	WP_179221012.1
OG0000134	WP_011206122.1	WP_237697227.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_011206119.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_179221021.1
OG0000139	WP_011206102.1	WP_179221023.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_044284804.1	WP_160600792.1
OG0000142	WP_011206395.1	WP_179221197.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_011206389.1	WP_179221195.1
OG0000145	WP_173670097.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_011206381.1	WP_179221191.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_011206349.1	WP_160600765.1
OG0000152	WP_011206348.1	WP_011206348.1
OG0000153	WP_011206347.1	WP_160615699.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_011206337.1	WP_179221183.1
OG0000156	WP_011206335.1	WP_179221181.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_011206332.1	WP_179221179.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_044284799.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000162	WP_081430781.1	WP_135619210.1
OG0000163	WP_011206284.1	WP_179221156.1
OG0000164	WP_011206143.1	WP_179221094.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_011206204.1	WP_179221120.1
OG0000167	WP_011206207.1	WP_135618846.1
OG0000168	WP_044284793.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_179221201.1
OG0000170	WP_011206420.1	WP_179221204.1
OG0000171	WP_011206422.1	WP_050195447.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_135619059.1
OG0000174	WP_011206426.1	WP_011290369.1
OG0000175	WP_011206429.1	WP_011206429.1
OG0000176	WP_011206439.1	WP_179221225.1
OG0000177	WP_011206440.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_011206441.1
OG0000179	WP_011206444.1	WP_179221227.1
OG0000180	WP_011206445.1	WP_160600945.1
OG0000181	WP_020835888.1	WP_179221235.1
OG0000182	WP_011206453.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_146379743.1
OG0000185	WP_011206465.1	WP_011290398.1
OG0000186	WP_011205937.1	WP_011205937.1
OG0000187	WP_011205934.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_011206257.1	WP_179221142.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_011206251.1	WP_135619204.1
OG0000192	WP_011205992.1	WP_179221288.1
OG0000193	WP_011283999.1	WP_011283999.1
OG0000194	WP_011206096.1	WP_011290023.1
OG0000195	WP_011206095.1	WP_011290024.1
OG0000196	WP_011206091.1	WP_179221025.1
OG0000197	WP_011206090.1	WP_041361572.1
OG0000198	WP_011206087.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_129640622.1	WP_179221026.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011206073.1	WP_011206073.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_179221034.1
OG0000205	WP_011206070.1	WP_179221035.1
OG0000206	WP_011206066.1	WP_011206066.1
OG0000207	WP_011206063.1	WP_179221038.1
OG0000208	WP_011206062.1	WP_179221039.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_011206052.1	WP_044284597.1
OG0000211	WP_011206050.1	WP_135618610.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011206046.1
OG0000216	WP_011206045.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011206042.1	WP_179221043.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_011206040.1	WP_179221044.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_011206037.1	WP_179221045.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_011206033.1	WP_044284599.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_179221046.1
OG0000228	WP_011206030.1	WP_179221047.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_179221048.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011206018.1	WP_179221050.1
OG0000234	WP_044284822.1	WP_044284822.1
OG0000235	WP_011206009.1	WP_160587980.1
OG0000236	WP_011206008.1	WP_011283989.1
OG0000237	WP_011206007.1	WP_179221055.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_011206399.1
OG0000240	WP_011206400.1	WP_011206400.1
OG0000241	WP_011206402.1	WP_160585231.1
OG0000242	WP_011206403.1	WP_179221199.1
OG0000243	WP_011206404.1	WP_014579955.1
OG0000244	WP_011206406.1	WP_011206406.1
OG0000245	WP_011206408.1	WP_020835856.1
OG0000246	WP_232039502.1	WP_240536630.1
OG0000247	WP_011205869.1	WP_179220986.1
OG0000248	WP_011205871.1	WP_179221284.1
OG0000249	WP_011205872.1	WP_179220987.1
OG0000250	WP_011205875.1	WP_011289957.1
OG0000251	WP_011205881.1	WP_179220991.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011205884.1	WP_179220992.1
OG0000254	WP_011205886.1	WP_160584767.1
OG0000255	WP_011205888.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011205894.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011283871.1
OG0000259	WP_232039509.1	WP_240536633.1
OG0000260	WP_011205903.1	WP_011289982.1
OG0000261	WP_011205905.1	WP_179221000.1
OG0000262	WP_011205909.1	WP_135618519.1
OG0000263	WP_011205912.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011205916.1
OG0000265	WP_044284579.1	WP_044284579.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_044284773.1	WP_014579577.1
OG0000268	WP_011206137.1	WP_179221004.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_011206505.1	WP_179221266.1
OG0000271	WP_011206504.1	WP_179221265.1
OG0000272	WP_011206503.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_179221264.1
OG0000274	WP_044284809.1	WP_179221261.1
OG0000275	WP_011206497.1	WP_240536623.1
OG0000276	WP_011206496.1	WP_011284368.1
OG0000277	WP_011206494.1	WP_179221259.1
OG0000278	WP_011206493.1	WP_179221258.1
OG0000279	WP_011206491.1	WP_014580014.1
OG0000280	WP_011206490.1	WP_135619140.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_011206486.1	WP_179221256.1
OG0000283	WP_011206485.1	WP_044272663.1
OG0000284	WP_011206484.1	WP_179221255.1
OG0000285	WP_011206483.1	WP_179221254.1
OG0000286	WP_011206282.1	WP_179221154.1
OG0000287	WP_011206297.1	WP_179221161.1
OG0000288	WP_011206299.1	WP_179221163.1
OG0000289	WP_011206300.1	WP_179221164.1
OG0000290	WP_011206322.1	WP_135618967.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_011206319.1	WP_179221172.1
OG0000293	WP_129640583.1	WP_179221171.1
OG0000294	WP_011206316.1	WP_179221170.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_011206307.1	WP_011206307.1
OG0000297	WP_011206306.1	WP_020835798.1
OG0000298	WP_011205874.1	WP_179220989.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_011205924.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_011206118.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_011283978.1
OG0000305	WP_011206386.1	WP_179221193.1
OG0000306	WP_011206354.1	WP_179221188.1
OG0000307	WP_011206346.1	WP_160608072.1
OG0000308	WP_011206326.1	WP_179221175.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_179221162.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_011206290.1	WP_179221159.1
OG0000313	WP_011206141.1	WP_179221093.1
OG0000314	WP_011206203.1	WP_179221119.1
OG0000315	WP_011206209.1	WP_179221124.1
OG0000316	WP_011206211.1	WP_179221125.1
OG0000317	WP_011206230.1	WP_179221134.1
OG0000318	WP_011206212.1	WP_240536661.1
OG0000319	WP_232039531.1	WP_135618880.1
OG0000320	WP_088172540.1	WP_179221145.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_011205960.1	WP_020835642.1
OG0000323	WP_011205940.1	WP_179221085.1
OG0000324	WP_011206250.1	WP_135618886.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_088172534.1	WP_179221031.1
OG0000327	WP_011206076.1	WP_011206076.1
OG0000328	WP_011206060.1	WP_220200845.1
OG0000329	WP_011206056.1	WP_044284742.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_011206405.1
OG0000332	WP_011206431.1	WP_179221219.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_011206452.1	WP_160601134.1
OG0000335	WP_011206454.1	WP_179221236.1
OG0000336	WP_129640593.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011206520.1
OG0000338	WP_014580051.1	WP_011284394.1
OG0000339	WP_011206265.1	WP_179221144.1
OG0000340	WP_011205973.1	WP_011205973.1
OG0000341	WP_011206255.1	WP_135618892.1
OG0000342	WP_044284780.1	WP_011290029.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_011206115.1	WP_052269168.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_240536622.1
OG0000347	WP_011205955.1	WP_179221076.1
OG0000348	WP_232039585.1	WP_179221032.1
OG0000349	WP_011206501.1	WP_179221263.1
OG0000350	WP_011206344.1	WP_240536608.1
OG0000351	WP_011206131.1	WP_179221007.1
OG0000352	WP_011206199.1	WP_011290189.1
OG0000353	WP_044284774.1	WP_179221075.1
OG0000354	WP_232039591.1	WP_237697228.1
OG0000355	WP_011206194.1	WP_020835708.1
OG0000356	WP_232039529.1	WP_240536660.1
OG0000357	WP_228366113.1	WP_240536619.1
OG0000358	WP_011206428.1	WP_135619062.1
OG0000359	WP_232039586.1	WP_240536635.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_011205900.1	WP_179220997.1
OG0000362	WP_011206302.1	WP_011206302.1
OG0000363	WP_318023859.1	WP_276310607.1
OG0000364	WP_011206191.1	WP_236607972.1
OG0000364	WP_173670107.1	WP_240536657.1
OG0000365	WP_011206219.1	WP_179221129.1
OG0000366	WP_011206224.1	WP_011206224.1
OG0000367	WP_044284794.1	WP_240536587.1
OG0000368	WP_011205851.1	WP_179220980.1
OG0000369	WP_011205844.1	WP_179220976.1
OG0000370	WP_011205843.1	WP_179220975.1
OG0000371	WP_011205842.1	WP_179220974.1
OG0000372	WP_011205841.1	WP_011205841.1
OG0000373	WP_011206526.1	WP_179221280.1
OG0000374	WP_011206524.1	WP_179221278.1
OG0000375	WP_011206240.1	WP_011206240.1
OG0000376	WP_011206273.1	WP_179221147.1
OG0000377	WP_011206271.1	WP_044284661.1
OG0000378	WP_011205977.1	WP_179221065.1
OG0000379	WP_011205962.1	WP_011205962.1
OG0000380	WP_011205957.1	WP_160588252.1
OG0000381	WP_011205949.1	WP_179221078.1
OG0000382	WP_011205943.1	WP_179221082.1
OG0000383	WP_011205941.1	WP_179221084.1
OG0000384	WP_044284784.1	WP_041361727.1
OG0000385	WP_011206125.1	WP_179221010.1
OG0000386	WP_011206121.1	WP_011290004.1
OG0000387	WP_011206117.1	WP_179221013.1
OG0000388	WP_011206116.1	WP_179221014.1
OG0000389	WP_011206107.1	WP_179221020.1
OG0000390	WP_011206390.1	WP_011206390.1
OG0000391	WP_011206388.1	WP_179221194.1
OG0000392	WP_011284277.1	WP_020835840.1
OG0000393	WP_011206372.1	WP_179221189.1
OG0000394	WP_011206339.1	WP_179221185.1
OG0000395	WP_011206338.1	WP_179221184.1
OG0000396	WP_011206283.1	WP_179221155.1
OG0000397	WP_011206196.1	WP_011206196.1
OG0000398	WP_011206197.1	WP_020835709.1
OG0000399	WP_011206206.1	WP_179221122.1
OG0000400	WP_011206419.1	WP_179221203.1
OG0000401	WP_011206432.1	WP_179221220.1
OG0000402	WP_088172514.1	WP_179221221.1
OG0000403	WP_011206436.1	WP_179221222.1
OG0000404	WP_011206442.1	WP_179221226.1
OG0000405	WP_081430784.1	WP_179221228.1
OG0000406	WP_088172518.1	WP_179221237.1
OG0000407	WP_011206456.1	WP_179221238.1
OG0000408	WP_011206457.1	WP_011206457.1
OG0000409	WP_011206458.1	WP_011206458.1
OG0000410	WP_011206469.1	WP_011206469.1
OG0000411	WP_011206467.1	WP_179221244.1
OG0000412	WP_088172519.1	WP_179221243.1
OG0000413	WP_011205938.1	WP_146379568.1
OG0000414	WP_011205936.1	WP_179221087.1
OG0000415	WP_011205935.1	WP_179221088.1
OG0000416	WP_011205933.1	WP_011284056.1
OG0000417	WP_011206253.1	WP_179221141.1
OG0000418	WP_232039535.1	WP_240536592.1
OG0000419	WP_011206092.1	WP_020835572.1
OG0000420	WP_011206085.1	WP_020835574.1
OG0000421	WP_011206080.1	WP_179221028.1
OG0000422	WP_011206078.1	WP_179221030.1
OG0000423	WP_011206068.1	WP_011206068.1
OG0000424	WP_011206067.1	WP_179221037.1
OG0000425	WP_011206065.1	WP_011283949.1
OG0000426	WP_011206064.1	WP_011283950.1
OG0000427	WP_011206059.1	WP_179221040.1
OG0000428	WP_011206054.1	WP_179221042.1
OG0000429	WP_011206036.1	WP_011206036.1
OG0000430	WP_011206026.1	WP_014579604.1
OG0000431	WP_011206024.1	WP_011290067.1
OG0000432	WP_011206017.1	WP_179221051.1
OG0000433	WP_011206014.1	WP_011206014.1
OG0000434	WP_011206013.1	WP_179221053.1
OG0000435	WP_011206010.1	WP_020835610.1
OG0000436	WP_011206005.1	WP_011206005.1
OG0000437	WP_011206003.1	WP_160584684.1
OG0000438	WP_011206002.1	WP_179221056.1
OG0000439	WP_129640616.1	WP_179221057.1
OG0000440	WP_011206401.1	WP_160585229.1
OG0000441	WP_011206409.1	WP_011284299.1
OG0000442	WP_011205868.1	WP_179220985.1
OG0000443	WP_011205877.1	WP_160600657.1
OG0000444	WP_011205880.1	WP_011205880.1
OG0000445	WP_011205885.1	WP_044284571.1
OG0000446	WP_011205891.1	WP_135618497.1
OG0000447	WP_011205892.1	WP_014579553.1
OG0000448	WP_011205897.1	WP_179220995.1
OG0000449	WP_011205902.1	WP_179220998.1
OG0000450	WP_011205904.1	WP_179220999.1
OG0000451	WP_011205913.1	WP_160600695.1
OG0000452	WP_011205921.1	WP_011205921.1
OG0000453	WP_129640626.1	WP_011283895.1
OG0000454	WP_232039616.1, WP_232039625.1, WP_011206370.1	WP_179221215.1
OG0000455	WP_011206509.1	WP_179221269.1
OG0000456	WP_011206487.1	WP_011206487.1
OG0000457	WP_011206482.1	WP_179221253.1
OG0000458	WP_011206296.1	WP_179221160.1
OG0000459	WP_011206301.1	WP_014579890.1
OG0000460	WP_011206303.1	WP_179221165.1
OG0000461	WP_011206312.1	WP_179221169.1
OG0000462	WP_011206311.1	WP_179221168.1
OG0000463	WP_011206310.1	WP_135618955.1
OG0000465	WP_011206308.1	WP_179221167.1
OG0000466	WP_011205922.1	WP_179221003.1
OG0000467	WP_129640587.1	WP_179221177.1
OG0000468	WP_011206205.1	WP_179221121.1
OG0000469	WP_011206217.1	WP_014579824.1
OG0000470	WP_011206069.1	WP_179221036.1
OG0000471	WP_011206053.1	WP_014579622.1
OG0000472	WP_011206471.1	WP_179221246.1
OG0000473	WP_011206506.1	WP_179221267.1
OG0000474	WP_011206507.1	WP_011284377.1
OG0000475	WP_011206508.1	WP_179221268.1
OG0000476	WP_011205931.1	WP_179221089.1
OG0000477	WP_011206317.1	WP_011206317.1
OG0000478	WP_011206495.1	WP_011284367.1
OG0000479	WP_011205970.1	WP_179221070.1
OG0000480	WP_011206218.1	WP_011206218.1
OG0000481	WP_052259123.1	WP_179221033.1
OG0000483	WP_011206227.1	WP_011206227.1
OG0000484	WP_232039506.1	WP_240536632.1
OG0000485	WP_011206004.1	WP_020835615.1
OG0000486	WP_011206258.1	WP_011290228.1
OG0000487	WP_129640567.1	WP_240536662.1
OG0000488	WP_011206221.1	WP_011206221.1
OG0000489	WP_011205849.1	WP_011205849.1
OG0000490	WP_011206527.1	WP_179221281.1
OG0000491	WP_011205966.1	WP_179221073.1
OG0000492	WP_011205951.1	WP_179221077.1
OG0000493	WP_011206114.1	WP_179221015.1
OG0000494	WP_052259117.1	WP_179221022.1
OG0000495	WP_011206377.1	WP_135619008.1
OG0000496	WP_011206375.1	WP_011206375.1
OG0000497	WP_011206374.1	WP_160587850.1
OG0000498	WP_011206340.1	WP_011290314.1
OG0000499	WP_011206333.1	WP_179221180.1
OG0000500	WP_011206198.1	WP_179221117.1
OG0000501	WP_011206421.1	WP_240536614.1
OG0000502	WP_129640614.1	WP_179221058.1
OG0000503	WP_011206083.1	WP_020835576.1
OG0000504	WP_011283955.1	WP_011283955.1
OG0000505	WP_011206051.1	WP_011283961.1
OG0000506	WP_011206049.1	WP_011206049.1
OG0000507	WP_011206043.1	WP_160585191.1
OG0000508	WP_011205890.1	WP_179220993.1
OG0000509	WP_011205896.1	WP_179220994.1
OG0000510	WP_011205898.1	WP_160600677.1
OG0000511	WP_011206135.1	WP_179221005.1
OG0000513	WP_011206492.1	WP_011206492.1
OG0000514	WP_011206382.1	WP_179221192.1
OG0000515	WP_232039577.1	WP_240536642.1
OG0000516	WP_011206214.1	WP_179221126.1
OG0000517	WP_011283834.1	WP_011283834.1
OG0000518	WP_011206430.1	WP_179221218.1
OG0000519	WP_011206079.1	WP_179221029.1
OG0000520	WP_011206055.1	WP_011283957.1
OG0000521	WP_011205893.1	WP_020835515.1
OG0000522	WP_011205899.1	WP_179220996.1
OG0000523	WP_044284849.1	WP_179221252.1
OG0000524	WP_129640585.1	WP_179221176.1
OG0000525	WP_011206472.1	WP_179221247.1
OG0000526	WP_232039525.1	WP_240536654.1
OG0000527	WP_011206174.1	WP_240536651.1
OG0000528	WP_011206215.1	WP_179221127.1
OG0000529	WP_011206243.1	WP_179221138.1
OG0000530	WP_011284186.1	WP_011284186.1
OG0000531	WP_011205956.1	WP_020835645.1
OG0000532	WP_011206148.1	WP_179221096.1
OG0000533	WP_011206110.1	WP_179221017.1
OG0000534	WP_011205917.1	WP_160600697.1
OG0000535	WP_011205848.1	WP_179220978.1
OG0000536	WP_129640595.1	WP_240536624.1
OG0000537	WP_011206089.1	WP_011290028.1
OG0000538	WP_011206012.1	WP_179221054.1
OG0000539	WP_011205882.1	WP_011205882.1
OG0000540	WP_011206321.1	WP_179221173.1
OG0000541	WP_011206336.1	WP_179221182.1
OG0000542	WP_044284771.1	WP_011289986.1
OG0000543	WP_129640561.1, WP_044284843.1	WP_135618906.1
OG0000544	WP_014579703.1	WP_240536637.1
OG0000545	WP_011206184.1	WP_094521665.1
